"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"DIST_RATIO_1"|"DIST_RATIO_2"|"DIST_RATIO_3"|"DIST_RATIO_4"|"DIST_RATIO_5"|"AVG_DIST_RATIO"|"VALUE_NONCHAR_ASSETS"|"ONE_PCT_INV_INC"|"RATIO_PLUS_INV_INC"|"QUAL_DIST_V"|"DIST_RATIO_NONCHAR_ASSETS"
"02-0762484"|"The Alan K and Isabelle DerKazanan Fdn"|"1061681"|""|""|""|""|""|""|""|""|""|""|""
"02-6010880"|"MARY E ELLIOTT TRUST"|"1061682"|"0.0465270000"|""|""|""|""|""|""|""|""|""|""
"02-6013381"|"NORWIN S AND ELIZABETH N BEAN FOUNDATION"|"1061683"|"0.0394970000"|"0.0431820000"|"0.0540120000"|"0.0555550000"|"0.0610140000"|""|""|""|""|""|""
"02-6144776"|"Gladys M Thomas Testamentary Trust Kearns Peter D Trustee"|"1061684"|"0.0661420000"|"0.0643170000"|"0.0557150000"|"0.0486940000"|"0.0462330000"|""|""|""|""|""|""
"03-0549778"|"The Dignity Seed Foundation"|"1061686"|"1.0692930000"|"0.0402300000"|"3.0266740000"|"1.4066120000"|"0.7014810000"|""|""|""|""|""|""
"03-0594338"|"SWIFTWATER FOUNDATION INC"|"1061687"|"0.0504220000"|"0.0570260000"|"0.0336290000"|"0.0427880000"|"0.0000000000"|""|""|""|""|""|""
"04-2137061"|"ARTEMAS W STEARNS TRUST"|"1061689"|"0.0502410000"|"0.0532700000"|"0.0536270000"|"0.0460800000"|"0.0487120000"|""|""|""|""|""|""
"04-2368188"|"THE GEORGE S BISSELL CHARITABLE FOUNDATION"|"1061690"|"0.0491280000"|"0.0647860000"|"0.0586750000"|"0.0466010000"|"0.0458620000"|""|""|""|""|""|""
"04-2720087"|"GEORGE C WADLEIGH FOUNDATION INC"|"1061691"|"0.0450160000"|"0.0562740000"|"0.0558750000"|"0.0463300000"|"0.0482120000"|""|""|""|""|""|""
"04-3235379"|"PODUSKA FAMILY FOUNDATION INC"|"1061693"|"0.0000000000"|"0.0000000000"|"0.0000000000"|"0.0000000000"|"2.2576870000"|""|""|""|""|""|""
"04-3254488"|"THE RIVER FOUNDATION"|"1061694"|"0.0269890000"|"0.0190620000"|"0.0569880000"|"0.0456300000"|"0.0496420000"|""|""|""|""|""|""
"04-3256673"|"RUSSELL'S GARDEN CENTER CHARITABLE FOUNDATION INC"|"1061695"|"0.0996490000"|"0.3476980000"|"0.3200120000"|"0.1812490000"|"0.2551160000"|""|""|""|""|""|""
"04-3265080"|"DENTAQUEST FOUNDATION INC"|"1061696"|"0.0995100000"|"0.1160410000"|"0.1432030000"|"0.1137590000"|"0.2818890000"|""|""|""|""|""|""
"04-3292638"|"JAMES AND BEATRICE SALAH FOUDNATION TWN CANTON"|"1061697"|"0.0416740000"|"0.0549410000"|"0.0581220000"|"0.0604610000"|"0.0547340000"|""|""|""|""|""|""
"04-3322480"|"THE SANTAYANA FUND INC"|"1061698"|"3.4281270000"|"4.9433770000"|"5.0785560000"|"2.8041830000"|"4.1656710000"|""|""|""|""|""|""
"04-3340178"|"THE HARMAN CAIN FAMILY FOUNDATION"|"1061700"|"0.0770050000"|"0.0624280000"|"0.0451870000"|"0.0570920000"|"0.0569550000"|""|""|""|""|""|""
"04-3368079"|"THE AUSOLUS TRUST"|"1061702"|"0.0440420000"|"0.0426510000"|"0.0529700000"|"0.0285880000"|"0.0000000000"|""|""|""|""|""|""
"04-3372484"|"ENABLE HOPE FOUNDATION"|"1061703"|"0.0599930000"|"0.0634290000"|"0.0547960000"|"0.0453000000"|"0.0371470000"|""|""|""|""|""|""
"04-3398587"|"PETER H KAMIN FAMILY FOUNDATION"|"1061704"|"0.1543040000"|"0.0800080000"|"0.0539640000"|"0.0542080000"|"0.0562640000"|""|""|""|""|""|""
"04-3425079"|"HOWELL FAMILY CHARITABLE FOUNDATION"|"1061705"|"0.0684120000"|"0.0617720000"|"0.0562340000"|"0.0574400000"|"0.0511120000"|""|""|""|""|""|""
"04-3464855"|"THOMAS S GUNNING SCHOLARSHIP FOUNDATION INC"|"1061706"|""|""|""|""|""|""|""|""|""|""|""
"04-3476677"|"NEIGHBORHOOD PARTNERS FUND INC"|"1061707"|"2.1840970000"|"1.1496460000"|"0.6009050000"|"0.9113040000"|"0.2503700000"|""|""|""|""|""|""
"04-3484188"|"GISELA B HOGAN CHARITABLE FOUNDATION"|"1061708"|"0.0534730000"|"0.0271020000"|"0.0274520000"|"0.0290380000"|"0.0604210000"|""|""|""|""|""|""
"04-3493460"|"ROSENBAUMSTEINBERG FAMILY FOUNDATION"|"1061709"|"0.0415530000"|"0.0470750000"|"0.0357050000"|"0.0363140000"|"0.0450550000"|""|""|""|""|""|""
"04-3496738"|"THE LINDA LORING NATURE FOUNDATION INC"|"1061710"|"0.0374110000"|"0.0498600000"|"0.0490700000"|"0.0909780000"|"0.0650480000"|""|""|""|""|""|""
"04-3519886"|"COGHLIN FAMILY FOUNDATION"|"1061712"|"0.1958780000"|"0.2311660000"|"0.0721680000"|"0.1503020000"|"0.0975450000"|""|""|""|""|""|""
"04-3551974"|"JOHN JOSEPH MOAKLEY CHARITABLE FOUNDATION INC"|"1061713"|"0.1101890000"|"0.1131460000"|"0.1037150000"|""|""|""|""|""|""|""|""
"04-3578370"|"NICHOLS VILLAGE INC"|"1061714"|"0.0000000000"|"0.0000000000"|"0.0000000000"|"0.0000000000"|"0.0000000000"|""|""|""|""|""|""
"04-3580383"|"THE LINDA WISNEWSKI AND WILLIAM COLLATOS FAMILY FOUNDATION"|"1061715"|"0.0754380000"|"0.0706340000"|"0.0832770000"|"0.0502490000"|"0.0603100000"|""|""|""|""|""|""
"04-3683486"|"BRADLEY D AND DEBORAH R HOWARD FAMILY FOUNDATION"|"1061716"|"0.1376270000"|"0.1257680000"|"0.0707270000"|"0.0961860000"|"0.1082910000"|""|""|""|""|""|""
"04-3744965"|"KRISHNAMURTHY TANDON FOUNDATION INC"|"1061718"|"0.1684840000"|"0.0717100000"|"1.6890680000"|"1.1803000000"|"1.8706320000"|""|""|""|""|""|""
"04-6013680"|"THE HYAMS FOUNDATION INC"|"1061719"|"0.0526190000"|"0.0548580000"|"0.0550110000"|"0.0454320000"|"0.0475820000"|""|""|""|""|""|""
"04-6036092"|"THEODORE EDSON PARKER FOUNDATION"|"1061720"|"0.0537860000"|"0.0409880000"|"0.0493550000"|"0.0594260000"|"0.0477470000"|""|""|""|""|""|""
"04-6036558"|"Amelia Peabody Foundation"|"1061721"|"0.0497870000"|"0.0459180000"|"0.0441030000"|"0.0516000000"|"0.0501880000"|""|""|""|""|""|""
"04-6036788"|"CHARLES H HOOD FUND"|"1061722"|"0.0937880000"|"0.0855780000"|"0.0606110000"|"0.0438750000"|"0.0441420000"|""|""|""|""|""|""
"04-6037391"|"WILLIAM CASPAR GRAUSTEIN MEMORIAL FUND"|"1061723"|"0.0599360000"|"0.0808240000"|"0.0752590000"|"0.0488270000"|"0.0554410000"|""|""|""|""|""|""
"04-6039556"|"THE GOLDBERG FAMILY FOUNDATION"|"1061724"|"0.0147220000"|"0.0674830000"|"0.0925180000"|"0.0796230000"|"0.0657180000"|""|""|""|""|""|""
"04-6039593"|"THE AARON FOUNDATION"|"1061725"|"0.0577070000"|"0.0352040000"|"0.0898060000"|"0.0830030000"|"0.0732910000"|""|""|""|""|""|""
"04-6051258"|"ADELAIDE BREED BAYRD FOUNDATION"|"1061726"|"0.3209470000"|"0.2736390000"|"0.2265600000"|"0.1882480000"|"0.1810590000"|""|""|""|""|""|""
"04-6087371"|"LAWRENCE J AND ANNE RUBENSTEIN CHARITABLE FOUNDATION"|"1061727"|"0.0314790000"|"0.0567590000"|"0.0541760000"|"0.0453320000"|"0.0537730000"|""|""|""|""|""|""
"04-6141579"|"GERTRUDE A POMEROY CHARITABLE TRUST"|"1061728"|"0.0431920000"|"0.0410600000"|"0.0498500000"|"0.0431090000"|"0.0393000000"|""|""|""|""|""|""
"04-6186980"|"GROVER CRONIN MRMORIAL FOUNDATION"|"1061729"|"0.0562460000"|"0.0448720000"|"0.0711200000"|""|""|""|""|""|""|""|""
"04-6269182"|"E JOSEPH EVANS CHARITABLE TRUST LEE ALFIERI TRUSTEE"|"1061730"|"0.0077100000"|"0.0831000000"|"0.0644900000"|"0.0708300000"|""|""|""|""|""|""|""
"04-6629590"|"STEVENSON FAMILY CHARITABLE TRUST"|"1061731"|"0.1627870000"|"0.1254630000"|"0.0680280000"|"0.0978360000"|"0.1421760000"|""|""|""|""|""|""
"04-6668886"|"METANOIA FUND 90151348"|"1061732"|"0.9475980000"|"2.2755980000"|"3.3337380000"|"2.2057740000"|"0.4051560000"|""|""|""|""|""|""
"04-6717573"|"BARRY M JAYE FAMILY CHARITABLE TRUST"|"1061733"|"0.1291130000"|"0.1348540000"|"0.0375530000"|"0.0745630000"|"0.0690820000"|""|""|""|""|""|""
"04-6771880"|"NEIL & ANNA RASMUSSEN FOUNDATION"|"1061734"|"0.0440250000"|"0.0584900000"|"0.0398340000"|"0.0179640000"|"0.0435810000"|""|""|""|""|""|""
"04-6816680"|"THE JOHN J AND LILLIAN M TAYLOR FOUNDATION"|"1061736"|"1.1796540000"|"0.9162490000"|"0.2543510000"|"0.6612930000"|"0.2246740000"|""|""|""|""|""|""
"04-6920279"|"RICHARD ALLAN BARRY FAMILY CHARITABLE FOUNDATION"|"1061741"|"0.0498560000"|"0.0559690000"|"0.0488290000"|"0.0516760000"|"0.0418400000"|""|""|""|""|""|""
"04-6987078"|"FOWLER-BOMBARDIER FAMILY CHARITABLE TRUST"|"1061743"|"54.8736150000"|"60.5947030000"|"101.7870930000"|"148.7352160000"|"19.9321160000"|""|""|""|""|""|""
"05-0260671"|"BALLOU HOME FOR THE AGED"|"1061744"|""|""|""|""|""|""|""|""|""|""|""
"05-0376170"|"THE RUTH AND SAMUEL MARKOFF FOUNDATION"|"1061745"|"0.0695580000"|"0.0721540000"|"0.0568480000"|"0.0450470000"|"0.0580910000"|""|""|""|""|""|""
"01-0213987"|"WARDWELL HOME FOR THE AGING INC"|"1063557"|""|""|""|""|""|""|""|""|""|""|""
"01-0485292"|"ELLEN M LEACH MEMORIAL HOME"|"1063558"|"14.9459200000"|"7.3806250000"|"10.3222640000"|"10.9391980000"|"12.7658360000"|""|""|""|""|""|""
"01-0499178"|"BROOK FAMILY FOUNDATION"|"1063559"|"0.0813620000"|"0.0663930000"|"0.0825240000"|"0.0957550000"|"0.0871980000"|""|""|""|""|""|""
"01-6180488"|"FRANCIS J & ELIZABETH BRISSON MACKSEY CHARITABLE TRUST"|"1063561"|"0.0560700000"|"0.0646500000"|"0.0541600000"|"0.0600100000"|"0.0526800000"|""|""|""|""|""|""
"04-2104284"|"HARVARD MUSICAL ASSOCIATION"|"1063562"|"0.0859990000"|"0.0949720000"|"0.0998640000"|"0.0657170000"|"0.0630770000"|""|""|""|""|""|""
"04-2104293"|"WILLIAM TOWNSEND PORTER FOUNDATION"|"1063563"|"0.0601880000"|"0.0583840000"|"0.0545630000"|"0.0469970000"|"0.0480310000"|""|""|""|""|""|""
"04-2104681"|"Faith Home Inc"|"1063564"|"0.0841000000"|"0.0789100000"|"0.0815100000"|"0.0618300000"|"0.0545200000"|""|""|""|""|""|""
"04-2105771"|"THE LOWELL INSTITUTE"|"1063565"|"0.0533630000"|"0.0512260000"|"0.0511050000"|"0.0459400000"|"0.0456230000"|""|""|""|""|""|""
"04-2121771"|"NEWBURYPORT SOCIETY FOR THE RELIEF OF AGED WOMEN INC"|"1063566"|""|""|""|""|""|""|""|""|""|""|""
"04-2400070"|"LYNN HOME FOR ELDERLY PERSONS"|"1063567"|"0.0674730000"|"0.0709800000"|"0.0729970000"|"0.0587270000"|"0.0585900000"|""|""|""|""|""|""
"04-2624081"|"G C STEBBINS TR UA"|"1063568"|"0.0402630000"|"0.0354290000"|"0.0476520000"|""|""|""|""|""|""|""|""
"04-2722163"|"FUNDACAO BENEFICIENTE FAIALENSE, INC."|"1063570"|"0.0000000000"|"0.0000000000"|""|"0.0645880000"|"0.1229740000"|""|""|""|""|""|""
"04-2944490"|"Mark Miminos Charitable Trust & Foundation"|"1063572"|"0.0520000000"|"0.0580000000"|"0.0570000000"|"0.1040000000"|"0.0800000000"|""|""|""|""|""|""
"04-3140238"|"The Stephen J. Hendrickson Foundation, Inc"|"1063573"|"0.0005370000"|"0.0008190000"|"0.0009820000"|"0.0040390000"|"0.0537570000"|""|""|""|""|""|""
"04-6007979"|"EDWIN J CASTLE TRUST NO 3"|"1063574"|"0.0455090000"|"0.0416540000"|"0.0471940000"|""|""|""|""|""|""|""|""
"04-6056778"|"North Attleboro Scholarship Foundation"|"1063575"|"0.0368800000"|"0.0500700000"|"0.0505800000"|"0.0648400000"|"0.0479500000"|""|""|""|""|""|""
"04-6208360"|"HAZEL CHASE GIFFORD FUND 31C009011"|"1063577"|"0.0455310000"|"0.0373130000"|"0.0608400000"|"0.0537030000"|"0.0480680000"|""|""|""|""|""|""
"04-6314384"|"SIDNEY HMARY L GRAY FAMILY SCHOLARSHIP FUND"|"1063578"|""|""|""|""|""|""|""|""|""|""|""
"04-6462394"|"ELLEN ABBOTT GILMAN TRUST UW"|"1063579"|"0.0354360000"|"0.0605780000"|"0.0918180000"|"0.0435680000"|"0.0312010000"|""|""|""|""|""|""
"04-6487087"|"HARVEY H & CATHERINE MOSES EDUCATION FUND"|"1063580"|"0.0479120000"|"0.0452940000"|"0.0634610000"|"0.0528920000"|"0.0462740000"|""|""|""|""|""|""
"04-6557590"|"WARREN CROSS FOUNDATION"|"1063581"|"0.9200860000"|"1.2147410000"|"0.2668340000"|"1.0613480000"|"0.5663380000"|""|""|""|""|""|""
"04-6837671"|"THE BOPP FAMILY CHARITABLE TRUST"|"1063583"|"0.0509860000"|"0.0507080000"|"0.0519480000"|"0.0488150000"|"0.0472370000"|""|""|""|""|""|""
"04-2111393"|"ELLA LYMAN CABOT TRUST INC"|"1064023"|"0.0514430000"|"0.0561250000"|"0.0595880000"|"0.0331050000"|"0.0455930000"|""|""|""|""|""|""
"01-0441043"|"COURI FOUNDATION INC"|"1074846"|"0.2482400000"|"0.3001510000"|"0.3236620000"|"0.2675630000"|"0.2396010000"|""|""|""|""|""|""
"01-0535144"|"Maine Health Access Foundation, Inc."|"1074847"|"0.0493010000"|"0.0550230000"|"0.0527000000"|"0.0494100000"|"0.0446990000"|""|""|""|""|""|""
"01-0885745"|"BETTY & JAMES MUNS FOUNDATION"|"1074851"|"0.0467370000"|"0.0000000000"|"0.0000000000"|"0.0000000000"|""|""|""|""|""|""|""
"01-6080444"|"THE RICHARD C PAINE JR AUTOMOBILE COLLECTION CHARITABLE TRUST"|"1074852"|"0.0320010000"|"0.0285160000"|"0.0000000000"|""|""|""|""|""|""|""|""
"01-6225742"|"CHRIS HESS FOUNDATION"|"1074853"|"0.0439310000"|"0.0795060000"|"0.0477120000"|"0.0390180000"|"0.0464350000"|""|""|""|""|""|""
"02-0605596"|"EBAY FOUNDATION"|"1074854"|"0.1063070000"|"0.0787860000"|"0.0000000000"|"0.0000000000"|"0.0000000000"|""|""|""|""|""|""
"02-0798199"|"TRUBRADOR FOUNDATION"|"1074855"|"0.0540120000"|"0.0500700000"|"0.0130030000"|""|""|""|""|""|""|""|""
"02-6170948"|"JERRY R JUNKINS FAMILY FOUNDATION"|"1074856"|"0.5557330000"|"0.2962240000"|"0.1039840000"|"0.1471790000"|"0.1869100000"|""|""|""|""|""|""
"03-0355842"|"Antonio B and Rita M Pomerleau Foundation Inc"|"1074857"|"0.0955800000"|"0.0601200000"|"0.0644900000"|"0.0531900000"|"0.0184200000"|""|""|""|""|""|""
"03-0539996"|"CEDAR CREEK INSTITUTE"|"1074858"|"0.1147280000"|"0.0089580000"|"1.7419920000"|""|""|""|""|""|""|""|""
"04-2104243"|"FULLER TRUST INC"|"1074860"|""|""|""|""|""|""|""|""|""|""|""
"04-2105743"|"TAUNTON FEMALE CHARITABLE ASSOCIATION"|"1074861"|"0.0578000000"|"0.0477300000"|"0.0489500000"|"0.0586400000"|"0.0564200000"|""|""|""|""|""|""
"04-2105896"|"STONE INSTITUTE AND NEWTON HOME FOR AGED PEOPLE"|"1074862"|""|""|""|""|""|""|""|""|""|""|""
"04-2192696"|"NEW ENGLAND GRENFELL ASSOCIATION INC"|"1074863"|""|""|""|""|""|""|""|""|""|""|""
"04-2741943"|"S SYDNEY DEYOUNG FOUNDATION"|"1074864"|"0.0662870000"|"0.0712540000"|"0.0635330000"|"0.0599300000"|"0.0575850000"|""|""|""|""|""|""
"04-2876245"|"AZADOUTIOU FOUNDATION"|"1074865"|"0.2879110000"|"0.3631480000"|"0.5776080000"|"0.5794080000"|"0.9089690000"|""|""|""|""|""|""
"04-3036596"|"THE GOLDBERG FOUNDATION"|"1074867"|"0.9765480000"|"0.6030860000"|"1.2638090000"|"0.0541840000"|"0.2469030000"|""|""|""|""|""|""
"04-3118545"|"SWEET WATER TRUST"|"1074868"|"0.0433390000"|"0.0413370000"|"0.0364710000"|"0.0554320000"|"0.0691340000"|""|""|""|""|""|""
"04-3161096"|"THE MEZITT HORTICULTURAL FOUNDATION"|"1074869"|"0.0394270000"|"0.0645080000"|"0.0625810000"|"0.0406350000"|"0.0477760000"|""|""|""|""|""|""
"04-3246547"|"BCLF MANAGED ASSETS CORPORATION"|"1074870"|"0.6989180000"|"0.6652460000"|"0.2464050000"|"0.4181570000"|"0.3170900000"|""|""|""|""|""|""
"04-3474541"|"THE JOAN & LEO MAHONEY FAMILY FOUNDATION"|"1074872"|"1.2034020000"|"1.1587630000"|"0.0455010000"|"0.0479340000"|"0.0823180000"|""|""|""|""|""|""
"04-3487843"|"PEPPERCORN FOUNDATION"|"1074873"|"0.1104940000"|"0.1155320000"|"0.1267950000"|"0.0906910000"|"0.0940710000"|""|""|""|""|""|""
"04-3494542"|"THE BATY FAMILY FOUNDATION TRUST"|"1074874"|"0.0596390000"|"0.0514870000"|"0.0498040000"|"0.0903940000"|"0.1095850000"|""|""|""|""|""|""
"04-3507245"|"THE CHARLES N AND CHRISTINA T STOPLER FOUNDATION INC"|"1074875"|"0.0436010000"|"0.0442410000"|"0.0476030000"|"0.0397810000"|"0.0441120000"|""|""|""|""|""|""
"04-3523698"|"THE EVANS FAMILY FOUNDATION"|"1074876"|"0.3355240000"|"0.2186620000"|"0.1872510000"|"0.1682990000"|"0.2027420000"|""|""|""|""|""|""
"04-3632641"|"THE CHILDREN'S INVESTMENT FUND FOUNDATION"|"1074878"|"0.0536390000"|"0.0356520000"|"0.0276810000"|"0.0530410000"|"0.0489810000"|""|""|""|""|""|""
"04-6000647"|"EDWIN S WEBSTER FOUNDATION"|"1074880"|"0.0725980000"|"0.0717300000"|"0.0573350000"|"0.0609270000"|"0.0624610000"|""|""|""|""|""|""
"04-6027441"|"MARY E WOOD FOUNDATION NATHANIEL S COOLIDGE ET AL TRUSTEES"|"1074881"|"0.0425840000"|"0.0666700000"|"0.0563500000"|"0.0443250000"|"0.0532830000"|""|""|""|""|""|""
"04-6048643"|"SHERMAN H STARR FOUNDATION"|"1074882"|"0.0418060000"|"0.0526910000"|"0.0408630000"|"0.0515620000"|"0.0388270000"|""|""|""|""|""|""
"04-6067847"|"JOHN D BRYANT TRUST UW WINIFRED I LI TRUSTEE"|"1074883"|"0.0576420000"|"0.0560520000"|"0.0589910000"|"0.0520550000"|"0.0552060000"|""|""|""|""|""|""
"04-6863845"|"THE MAURICE AND ANNE MAKEPEACE FAMILY FOUNDATION"|"1074884"|"0.0432000000"|"0.0526700000"|"0.0588900000"|"0.0423300000"|"0.0497900000"|""|""|""|""|""|""
"04-6875099"|"THE ROBERT AND MICHELLE COOKE ATCHINSON FOUNDATION"|"1074885"|"0.0243380000"|"0.0552680000"|"0.0105451000"|"0.0115423000"|"0.0475580000"|""|""|""|""|""|""
"04-6917944"|"BERTOLON FAMILY FOUNDATION"|"1074886"|"9.1583280000"|"10.1708840000"|"7.3313220000"|"2.6922310000"|"0.9236100000"|""|""|""|""|""|""
"04-6965548"|"Howard & Robin Reisman Charitable Trust"|"1074890"|"0.0307000000"|"0.0278500000"|"0.0327400000"|"0.0327500000"|"0.0403000000"|""|""|""|""|""|""
"01-0226346"|"Deborah Lincoln House"|"1075781"|""|""|""|""|""|""|""|""|""|""|""
"01-0523143"|"Oxford Hills Scholarship Foundation"|"1075782"|"0.0438900000"|"0.0413100000"|"0.0635400000"|"0.0563600000"|"0.1100500000"|""|""|""|""|""|""
"02-6006398"|"GEORGE A WENTWORTH 1994 TRUST 5129150"|"1075784"|"0.0447860000"|"0.0529980000"|"0.0574590000"|"0.0471760000"|"0.0374780000"|""|""|""|""|""|""
"02-6058742"|"BENJAMIN S COHEN TRUST 361722010"|"1075787"|"0.0493130000"|"0.0501870000"|"0.0513360000"|"0.0506930000"|"0.0500120000"|""|""|""|""|""|""
"03-0469046"|"WAGNER AGARE FOUNDATION"|"1075788"|"0.0803200000"|"0.0728700000"|"0.0755500000"|"0.0579700000"|"0.0534800000"|""|""|""|""|""|""
"04-2103796"|"HOWARD HOME TRUSTEES HOME FOR AGED MEN BROCKTON"|"1075789"|"0.0366940000"|"0.0472290000"|"0.0413940000"|"0.0019500000"|"0.0233220000"|""|""|""|""|""|""
"04-3371941"|"Messler Family Foundation"|"1075790"|"0.0641200000"|"0.0666330000"|"0.0649370000"|"0.0538050000"|"0.0550800000"|""|""|""|""|""|""
"04-3391146"|"EDWARD & ANTOINETTE BANA HURST"|"1075791"|"0.0470610000"|"0.0402060000"|"0.0648080000"|"0.0507450000"|"0.0450560000"|""|""|""|""|""|""
"04-3424945"|"THE BIBER FOUNDATION"|"1075792"|"0.0503870000"|"0.0571220000"|"0.0481200000"|"0.0271050000"|"0.0167660000"|""|""|""|""|""|""
"04-3425998"|"SINGING FIELD FOUNDATION INC"|"1075793"|"0.0588650000"|"0.0511350000"|"0.0521510000"|"0.0395630000"|"0.0812030000"|""|""|""|""|""|""
"04-6092496"|"WARREN FRANCES KNOWLES TR U/IND"|"1075794"|"0.0476220000"|"0.0511400000"|"0.0641750000"|"0.0000000000"|"0.0000000000"|""|""|""|""|""|""
"04-6142548"|"EVANDER LEWIS FAMILY FOUNDATION"|"1075795"|"0.0448240000"|"0.0515970000"|"0.0530400000"|"0.0474550000"|"0.0495250000"|""|""|""|""|""|""
"04-6549241"|"GOLDHAMMER FAMILY FOUNDATION"|"1075796"|"0.0589520000"|"0.0610070000"|"0.0749080000"|"0.0684060000"|"0.0426390000"|""|""|""|""|""|""
"04-6093518"|"WARREN FRANCES KNOWLES TR U/AGREE"|"1076043"|"0.0511760000"|"0.0647350000"|"0.0000000000"|"0.0000000000"|"0.0000000000"|""|""|""|""|""|""
"01-6186903"|"MERCE CUNNINGHAM TRUST"|"1076064"|"0.0051720000"|"0.0037510000"|"0.1038020000"|"0.0302300000"|"0.0656920000"|""|""|""|""|""|""
"02-0522534"|"ELIZABETH THAYER & E. GEOFFREY VERNEY FOUNDATION"|"1076065"|"0.2954330000"|"0.3918780000"|"0.1376860000"|"0.1027890000"|"0.1883750000"|""|""|""|""|""|""
"02-0760235"|"THE ELLIE & LES HAYT FAMILY FOUNDATION"|"1076066"|"0.0662540000"|"0.0915220000"|"0.0464740000"|"0.0332740000"|"0.0109780000"|""|""|""|""|""|""
"03-0471427"|"THE SWANTON FAMILY FOUNDATION INC."|"1076067"|"0.9176620000"|"0.2237410000"|"0.0529960000"|"0.0738230000"|"3.9211240000"|""|""|""|""|""|""
"04-2104688"|"Managers of Boston Port and Seamen's Aid Society"|"1076068"|"0.0759830000"|"0.0771210000"|"0.0705880000"|"0.0613180000"|"0.0631530000"|""|""|""|""|""|""
"04-3283183"|"THE SCHEICK-VERROCHI FAMILY FOUNDATION, INC."|"1076069"|"0.0500040000"|"0.0603100000"|"0.0621600000"|"0.0361150000"|"0.0449790000"|""|""|""|""|""|""
"04-3334973"|"RUDERMAN FAMILY FOUNDATION"|"1076070"|"0.4358530000"|"0.4824630000"|"0.4544080000"|"0.2755260000"|"0.1296330000"|""|""|""|""|""|""
"01-0248064"|"Camden Home For Senior Citizens"|"1076317"|"0.0524230000"|"0.0422370000"|"0.0471980000"|"0.0482030000"|"0.0350370000"|""|""|""|""|""|""
"01-0852643"|"Gregory L. Gibson Charitable Foundation, Inc."|"1076319"|"0.0349050000"|"0.0404050000"|"0.0553350000"|"0.0513010000"|"0.0415820000"|""|""|""|""|""|""
"01-6006945"|"MG MARLAND TR FBO GOODALL HOSP"|"1076320"|"0.0506860000"|"0.0603390000"|"0.0770830000"|""|""|""|""|""|""|""|""
"01-6007022"|"LEVEY, A S PERP FOUNDATION 10 -101200367720"|"1076321"|"0.0527550000"|"0.0550430000"|""|"0.0057860000"|"0.1180930000"|""|""|""|""|""|""
"01-6007180"|"JOHN ANSON KITTRIDGE EDUCATIONAL FUND TRUST U/A 10 -101230022680"|"1076322"|"0.0597170000"|"0.0504530000"|"0.0510290000"|"0.0557020000"|"0.0528420000"|""|""|""|""|""|""
"01-6007600"|"ADDIE KALER VAILL TRUST 10 - 101200031240"|"1076323"|"0.0994110000"|"0.1033680000"|"0.1087510000"|"0.0530870000"|"0.0524630000"|""|""|""|""|""|""
"01-6008813"|"FRED W SANBORN TRUST U/PAR 5 10 -101200038080"|"1076324"|"0.0456060000"|"0.0246010000"|"0.0255910000"|""|""|""|""|""|""|""|""
"01-6009431"|"CARL E DANFORTH"|"1076325"|"0.0474990000"|"0.0424280000"|"0.0661990000"|"0.0506190000"|"0.0520390000"|""|""|""|""|""|""
"01-6009480"|"HELEN W. MOULTON FUND"|"1076326"|"0.0475640000"|"0.0423910000"|"0.0660720000"|"0.0494780000"|"0.0486190000"|""|""|""|""|""|""
"01-6027530"|"ABNER E MORISON TRUST FUND"|"1076327"|"0.0382860000"|"0.0591700000"|"0.0283870000"|""|""|""|""|""|""|""|""
"01-6042302"|"JOHN B CROCKETT TRUST"|"1076328"|"0.0482740000"|"0.0424610000"|"0.0660210000"|"0.0520780000"|"0.0490150000"|""|""|""|""|""|""
"01-6044693"|"H CARVER TR FBO GOODALL HOSP-CARVER"|"1076329"|"0.0451010000"|"0.0573810000"|"0.0558540000"|"0.0505490000"|"0.0374240000"|""|""|""|""|""|""
"01-6070365"|"M. MCKENNEY & E. W. BOOKER EDUCATION TR."|"1076330"|"0.0462920000"|"0.0454870000"|"0.0699450000"|"0.0513090000"|"0.0476630000"|""|""|""|""|""|""
"01-6072828"|"THOMAS MARION & RUTH TR FBO GOODALL"|"1076331"|"0.0443730000"|"0.0352400000"|"0.0508580000"|""|""|""|""|""|""|""|""
"01-6102905"|"MARY T. & CURTIS LOVILL TRUST"|"1076332"|"0.0442850000"|"0.0435950000"|"0.0732290000"|"0.0478970000"|"0.0467060000"|""|""|""|""|""|""
"01-6135476"|"BREWER & MCKAY SCHOLARSHIP PFDN 10 - 101230378020"|"1076333"|""|""|""|""|""|""|""|""|""|""|""
"02-0331198"|"RANNIE WEBSTER FOUNDATION"|"1076334"|""|""|""|""|""|""|""|""|""|""|""
"02-0474928"|"LINWOOD EDUCATIONAL TRUST FUND, INC"|"1076335"|""|""|""|""|""|""|""|""|""|""|""
"02-0534424"|"THE MICHAEL & HELEN SCHAFFER FOUNDATION"|"1076336"|"0.0876750000"|"0.0669140000"|"0.0584960000"|"0.0934160000"|"0.0572830000"|""|""|""|""|""|""
"02-6061000"|"LEON M & HAZEL F FITCH TR FBO CHESHIRE HEATLH FDN 3035010314"|"1076337"|"0.0467310000"|"0.0511310000"|"0.0558080000"|"0.0470880000"|"0.0471570000"|""|""|""|""|""|""
