"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"COMPENSATION"|"OTHER_SALARIES"|"PENSION_PLANS"|"LEGAL_FEES"|"ACCOUNTING_FEES"|"PROFESSIONAL_FEES"|"INTEREST"|"TAXES"|"DEPRECIATION"|"OCCUPANCY"|"CONFERENCES"|"PRINTING"|"OTHER_EXPENSES"|"TOTAL_OPERATING_EXPENSES"|"CONTRIBUTIONS"|"TOTAL_EXPENSES"|"NET_INVESTMENT_INCOME"|"ADJUSTED_NET_INCOME"|"INTEREST_SAVINGS"|"DIVIDENDS_SECURITIES"|"GROSS_RENTS"|"SALE_ASSETS"|"PROFIT_SALES"|"OTHER_INC"|"TOTAL_INC"|"REV_INVEST_INC"|"COMPENSATION_INV"|"COMPENSATION_DIS"|"OTHER_SALARIES_INV"|"OTHER_SALARIES_DIS"|"PENSION_PLANS_INV"|"PENSION_PLANS_DIS"|"LEGAL_FEES_INV"|"LEGAL_FEES_DIS"|"ACCOUNTING_FEES_INV"|"ACCOUNTING_FEES_DIS"|"PROFESSIONAL_FEES_CBX"|"PROFESSIONAL_FEES_INV"|"PROFESSIONAL_FEES_DIS"|"INTEREST_DIS"|"TAXES_DIS"|"OCCUPANCY_DIS"|"CONFERENCES_DIS"|"PRINTING_DIS"|"OTHER_EXPENSES_CBX"|"OTHER_EXPENSES_DIS"|"TOTAL_OA_EXPENSES_INV"|"TOTAL_OA_EXPENSES_DIS"|"CONTRIBUTIONS_DIS"|"TOTAL_EXPENSES_INV"|"TOTAL_EXPENSES_DIS"|"CONTRIBUTIONS_RCVD"
"04-2940586"|"RICHRD & SALLY ZECKHAUSER FOUNDATION"|"1009903"|"18000.0000"|""|""|""|"2800.0000"|""|""|"1201.0000"|""|""|""|""|"707.0000"|"22708.0000"|"134580.0000"|"157288.0000"|"43934.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"04-3197325"|"Sheehan Family Foundation"|"1009904"|"60239.0000"|""|""|""|"1669.0000"|"14932.0000"|""|"19399.0000"|""|""|"3206.0000"|"18955.0000"|"2345.0000"|"120745.0000"|"919524.0000"|"1040269.0000"|"255890.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"04-3216914"|"THE JOHN LEVY AND GAIL ROTHENBERG FAMILY FOUNDATION"|"1009905"|"0.0000"|""|""|""|"1400.0000"|""|""|"3235.0000"|""|""|""|""|""|"4635.0000"|"124000.0000"|"128635.0000"|"128608.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"04-3353589"|"PEARSON FAMILY CHARITABLE FOUNDATION"|"1009907"|"0.0000"|""|""|""|"3200.0000"|""|"89.0000"|"5820.0000"|""|""|""|""|"107.0000"|"9216.0000"|"70000.0000"|"79216.0000"|"52558.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"04-3361816"|"EUGENE F. MERKERT 1996 CHARITABLE FOUNDATION"|"1009908"|"0.0000"|""|""|""|"6450.0000"|""|""|"155.0000"|""|""|""|""|"69557.0000"|"76162.0000"|"70000.0000"|"146162.0000"|"36130.0000"|"39604.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"04-3370016"|"The Hayseed Hill Foundation"|"1009909"|"0.0000"|""|""|""|"4235.0000"|""|"859.0000"|"4000.0000"|""|""|""|""|"184.0000"|"9278.0000"|"80000.0000"|"89278.0000"|"147538.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"04-3412829"|"THE POSS FAMILY FOUNDATION"|"1009910"|"0.0000"|""|""|""|"12250.0000"|"86395.0000"|""|"21030.0000"|""|""|""|""|"1.0000"|"119676.0000"|"1317120.0000"|"1436796.0000"|"641913.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"04-3509776"|"THE HICKS FAMILY CHARITABLE FOUNDATION JUTTA B. HICKS ET AL, TRUSTEES"|"1009911"|"0.0000"|""|""|""|"8470.0000"|""|""|"731.0000"|""|""|""|""|"20.0000"|"9221.0000"|"255660.0000"|"264881.0000"|"13443.0000"|"22609.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"04-3700494"|"THE DANKIS CHRISTIAN FOUNDATION, INC."|"1009912"|"9965.0000"|""|""|"4291.0000"|""|"-150.0000"|""|"155.0000"|""|""|""|""|""|"14261.0000"|"170000.0000"|"184261.0000"|"57100.0000"|"57100.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"04-6013050"|"STEPHEN D AND SUSAN W PAINE FOUNDATION"|"1009913"|"0.0000"|""|""|""|"3250.0000"|""|""|"860.0000"|""|""|""|""|""|"4110.0000"|"263005.0000"|"267115.0000"|"29473.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"04-6026914"|"JOHN W. & CLARA C. HIGGINS FOUNDATION"|"1009914"|"0.0000"|""|""|""|"6300.0000"|"15550.0000"|""|"3389.0000"|""|""|""|""|"129.0000"|"25368.0000"|"90000.0000"|"115368.0000"|"64240.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"04-6049529"|"The Grass Foundation"|"1009915"|"17026.0000"|""|""|""|"25800.0000"|"252951.0000"|""|"13675.0000"|"1527.0000"|""|"59837.0000"|""|"434237.0000"|"805053.0000"|"271187.0000"|"1076240.0000"|"925241.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"04-6056133"|"FUSARO CHARITABLE FOUNDATION, INC."|"1009916"|""|""|""|""|"1300.0000"|"7000.0000"|""|"1484.0000"|""|""|""|""|"4605.0000"|"14389.0000"|"22200.0000"|"36589.0000"|"45841.0000"|"44650.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"04-6142794"|"RICHARD P. & CLAIRE W. MORSE FOUNDATION"|"1009917"|"0.0000"|""|""|""|"3000.0000"|""|""|"15356.0000"|""|""|""|""|"1207.0000"|"19563.0000"|"299930.0000"|"319493.0000"|"113195.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"04-6719809"|"THE ROBBINS-DE BEAUMONT FOUNDATION"|"1009918"|"35383.0000"|""|""|""|""|"19909.0000"|""|"10581.0000"|""|""|""|""|"3510.0000"|"69383.0000"|"333000.0000"|"402383.0000"|"250299.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"04-6772198"|"The Mary E. Murphy and John F. Murphy, Jr. Charitable Trust"|"1009919"|""|""|""|""|"1400.0000"|"0.0000"|""|"1498.0000"|""|""|""|""|"233.0000"|"3131.0000"|"18734.0000"|"21865.0000"|"66565.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"04-6906429"|"STEPHEN AND ALICE CUTLER FAMILY FNDTN"|"1009920"|"0.0000"|""|""|""|""|"19714.0000"|"1052.0000"|"511.0000"|""|""|""|""|"35.0000"|"21312.0000"|"61500.0000"|"82812.0000"|"88356.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"05-0374155"|"RI INTERSCHOLASTIC INJURY FUND"|"1009921"|"28800.0000"|""|""|"160.0000"|"14170.0000"|"27335.0000"|""|"2547.0000"|""|""|""|""|"6861.0000"|"79873.0000"|"85569.0000"|"165442.0000"|"101253.0000"|"125720.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-6027394"|"KENNEDY, MARGARET SCSHIP TRUST"|"1010633"|"4861.0000"|""|""|""|"845.0000"|""|""|"915.0000"|""|""|""|""|""|"6621.0000"|"12000.0000"|"18621.0000"|"17774.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"04-3375373"|"MORSE MARTHA FOUNDATION C.S. MARSHALL ESQ. TRUSTEE"|"1010637"|"7506.0000"|""|""|"6303.0000"|"1000.0000"|"30027.0000"|""|"5423.0000"|""|""|""|""|"376.0000"|"50635.0000"|"138000.0000"|"188635.0000"|"175293.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"04-3671809"|"WISH YOU WELL FOUNDATION"|"1010638"|"0.0000"|""|""|"0.0000"|"1500.0000"|"2741.0000"|""|"600.0000"|"0.0000"|""|""|""|"1710.0000"|"6551.0000"|"82500.0000"|"89051.0000"|"20749.0000"|"0.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"04-6003671"|"HENRY O. PEABODY SCHOOL FOR GIRLS"|"1010639"|"28500.0000"|""|""|""|"10218.0000"|""|""|"1587.0000"|""|""|""|""|"16946.0000"|"57251.0000"|"135000.0000"|"192251.0000"|"69969.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"04-6034850"|"LAWRENCE MODEL LODGING HOUSES TRUST DONALD VAUGHAN, ET AL, TRUSTEE"|"1010640"|"11432.0000"|""|""|"82.0000"|"1520.0000"|"9145.0000"|""|"4272.0000"|""|""|""|""|"40.0000"|"26491.0000"|"56500.0000"|"82991.0000"|"37713.0000"|"0.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"04-6708737"|"I & E USEN FAMILY CHARITABLE FDN"|"1010642"|""|""|""|""|"800.0000"|"22533.0000"|""|"3372.0000"|""|""|""|""|"35.0000"|"26740.0000"|"127840.0000"|"154580.0000"|"77750.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"04-7006773"|"THE SARA L. EDDY TRUST CURTIS EDDY & PETER ZUPCOFSKA, TRUSTEES"|"1010643"|"5605.0000"|""|""|"28495.0000"|""|"8994.0000"|""|"507.0000"|""|""|""|""|""|"43601.0000"|"125132.0000"|"168733.0000"|"38860.0000"|"44465.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"05-0467833"|"NICHOLAS CALDARONE FOUNDATION"|"1010644"|"28865.0000"|""|""|""|"500.0000"|""|""|""|""|""|""|""|"50.0000"|"29415.0000"|"42500.0000"|"71915.0000"|"8583.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0669086"|"THE FRANK & GERTRUDE KAISER FOUNDATION"|"1010795"|"3500.0000"|""|""|""|"6185.0000"|""|""|"1627.0000"|""|""|""|""|"668.0000"|"11980.0000"|"95500.0000"|"107480.0000"|"60219.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"02-6007724"|"JACKMAN CHARLES TRUST"|"1012134"|"13393.0000"|""|""|"128.0000"|"1250.0000"|""|""|"8010.0000"|""|""|""|""|"640.0000"|"23421.0000"|"52115.0000"|"75536.0000"|"101224.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"02-6004699"|"GEORGE GARDNER & FANNY WHITING"|"1012149"|"1628.0000"|""|""|""|""|""|""|"1744.0000"|""|""|""|""|"75.0000"|"3447.0000"|"20000.0000"|"23447.0000"|"32480.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"03-6070999"|"HARRY WOLFF TRUST"|"1012150"|"30839.0000"|""|""|""|"845.0000"|""|""|"474.0000"|""|""|""|""|"141.0000"|"32299.0000"|"65981.0000"|"98280.0000"|"47192.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"04-6702776"|"TTEE U/D OF W F & D M SEARS"|"1012151"|"8715.0000"|""|""|""|"845.0000"|""|""|"1143.0000"|""|""|""|""|"35.0000"|"10738.0000"|"37740.0000"|"48478.0000"|"75253.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"04-2852328"|"GODDARD HEALTH SERVICES INC"|"1012185"|"74411.0000"|""|""|"12616.0000"|"8654.0000"|"9925.0000"|""|"28295.0000"|""|""|""|""|"20661.0000"|"154562.0000"|"5850.0000"|"160412.0000"|"1037611.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"04-3081668"|"GODDARD RESTORATIVE CARE UNIT INC"|"1012186"|"74411.0000"|""|""|""|"8654.0000"|""|""|"2812.0000"|""|""|""|""|"18672.0000"|"104549.0000"|"44000.0000"|"148549.0000"|"205034.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"04-3464581"|"THE ACCESS STRATEGIES FUND"|"1012187"|"15000.0000"|"173744.0000"|"41740.0000"|"2565.0000"|"34869.0000"|"73628.0000"|"210.0000"|"24525.0000"|"4450.0000"|"12294.0000"|"18037.0000"|"5629.0000"|"80216.0000"|"486907.0000"|"198280.0000"|"685187.0000"|"216424.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"03-0373845"|"Donato J Tramuto Foundation"|"1012274"|"0.0000"|""|""|""|""|""|"1.0000"|""|""|"436.0000"|"1827.0000"|""|"52077.0000"|"54341.0000"|"110052.0000"|"164393.0000"|"0.0000"|"0.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"03-0443725"|"BUECHEL PATIENT CARE, RESEARCH AND EDUCATION FUND, INC."|"1012275"|"72600.0000"|""|"27774.0000"|""|"5000.0000"|"5745.0000"|""|"419.0000"|""|""|""|""|"4855.0000"|"116393.0000"|"85357.0000"|"201750.0000"|"0.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"04-2103815"|"MARTHAS VINEYARD CAMP-MEETING ASSOCIATION"|"1012277"|"61002.0000"|""|""|"28685.0000"|"5977.0000"|"5095.0000"|"10804.0000"|"114007.0000"|""|""|""|""|"523587.0000"|"749157.0000"|"0.0000"|"749157.0000"|"5778.0000"|"137034.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"04-3073548"|"REEBOK FOUNDATION INC."|"1012278"|"140307.0000"|"650375.0000"|"229847.0000"|""|"2750.0000"|"125712.0000"|""|"1.0000"|""|""|"31894.0000"|""|"192632.0000"|"1373518.0000"|"316243.0000"|"1689761.0000"|"39.0000"|"39.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"04-3122206"|"DUSKY FOUNDATION"|"1012279"|"16839.0000"|""|""|"82.0000"|"2375.0000"|"9067.0000"|""|"4286.0000"|""|""|""|""|"907.0000"|"33556.0000"|"1172850.0000"|"1206406.0000"|"531368.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"04-3540017"|"THE PARDUS FAMILY FOUNDATION"|"1012280"|"0.0000"|""|""|""|"1950.0000"|""|""|"675.0000"|""|""|""|""|"1615.0000"|"4240.0000"|"13675.0000"|"17915.0000"|"18088.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"04-3541288"|"WINN FAMILY CHARITABLE FOUNDATION"|"1012281"|"0.0000"|""|""|""|"1015.0000"|""|""|""|""|""|""|""|"1095.0000"|"2110.0000"|"358363.0000"|"360473.0000"|"0.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"04-3541595"|"THE SHAPIRO FOUNDATION"|"1012282"|"0.0000"|""|""|""|"2100.0000"|""|"137073.0000"|"96018.0000"|""|""|""|""|"39153.0000"|"274344.0000"|"1432992.0000"|"1707336.0000"|"4449515.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"04-3843795"|"THE GRETCHEN C. VALADE ENDOWMENT FOR THE ARTS"|"1012284"|"0.0000"|""|""|"4082.0000"|"4025.0000"|"6519.0000"|""|"1626.0000"|""|""|""|""|"215.0000"|"16467.0000"|"2075000.0000"|"2091467.0000"|"566602.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"04-6043983"|"HAROLD BROOKS FOUNDATION"|"1012286"|"64699.0000"|""|""|""|"935.0000"|""|""|"14597.0000"|""|""|""|""|"70.0000"|"80301.0000"|"575500.0000"|"655801.0000"|"345292.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"04-6137251"|"THE HANS & ELIZABETH WOLF FOUNDATION"|"1012287"|"0.0000"|""|""|""|"4900.0000"|"25804.0000"|""|"5136.0000"|""|""|"1299.0000"|""|"1209.0000"|"38348.0000"|"153550.0000"|"191898.0000"|"84623.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"04-6164232"|"CO-TR U/W A V REOPELL"|"1012288"|"79836.0000"|""|""|"256.0000"|"1380.0000"|""|""|"5417.0000"|""|""|""|""|"70.0000"|"86959.0000"|"285583.0000"|"372542.0000"|"492400.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"04-6796825"|"NOBLE SYMOND GOLUB & LELIA J. GOLUB EDUCATIONAL TRUST"|"1012289"|"0.0000"|""|""|""|"1150.0000"|""|""|""|""|""|""|""|"797.0000"|"1947.0000"|"14000.0000"|"15947.0000"|"10353.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"04-6820699"|"MARJORIE HARRIS REYNOLDS FDN ERIC & JANNA ODDLEIFSON, TRUSTEES"|"1012290"|""|""|""|""|""|"14001.0000"|""|"9694.0000"|""|""|""|""|""|"23695.0000"|"122750.0000"|"146445.0000"|"79019.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0469155"|"JOHN SAGE FOUNDATION"|"1012774"|"0.0000"|""|""|""|"940.0000"|"2124.0000"|""|"1575.0000"|""|""|""|""|"494.0000"|"5133.0000"|"26000.0000"|"31133.0000"|"59489.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0546133"|"NARRAGANSETT NUMBER ONE FOUNDATION"|"1012775"|"0.0000"|""|""|""|"3234.0000"|"34082.0000"|""|"5018.0000"|""|""|""|""|"1775.0000"|"44109.0000"|"324297.0000"|"368406.0000"|"145911.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-6007288"|"WING-BENJAMIN TRUST FUND U/W 10 -101230016800"|"1012776"|"11015.0000"|""|""|""|"750.0000"|""|""|"1651.0000"|""|""|""|""|"66.0000"|"13482.0000"|"40925.0000"|"54407.0000"|"40862.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"02-6012645"|"DEERING FOUNDATION, INC."|"1012778"|"0.0000"|""|""|""|"695.0000"|""|""|"435.0000"|""|""|""|""|"525.0000"|"1655.0000"|"37000.0000"|"38655.0000"|"30523.0000"|"15579.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"03-0179429"|"THOMAS THOMPSON TRUST"|"1012779"|"59324.0000"|""|""|"9928.0000"|"3125.0000"|"46000.0000"|""|"20378.0000"|""|""|"1613.0000"|""|"3862.0000"|"144230.0000"|"523975.0000"|"668205.0000"|"788576.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"04-2399760"|"THE TJX FOUNDATION, INC."|"1012780"|"229174.0000"|""|""|""|""|"25475.0000"|""|"316.0000"|""|""|"17552.0000"|""|"28908.0000"|"301425.0000"|"9738657.0000"|"10040082.0000"|"21443.0000"|"21443.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"04-3292646"|"Information Research Foundation"|"1012781"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"75.0000"|"0.0000"|"1543.0000"|"9491.0000"|"367.0000"|"729.0000"|"12204.0000"|"30874.0000"|"43078.0000"|"148.0000"|"148.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"04-3343529"|"THE ROBERT F STOICO/FIRSTFED CHARITABLE FOUNDATION"|"1012782"|"103941.0000"|""|"13093.0000"|""|"26920.0000"|"20481.0000"|"22526.0000"|"7377.0000"|"1672.0000"|"18179.0000"|""|""|"19931.0000"|"234120.0000"|"472347.0000"|"706467.0000"|"214743.0000"|"0.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"04-3353621"|"INSTITUTION FOR SAVINGS IN NEWBURYPORT & ITS VICINITY CHARITABLE FOUNDATION, INC."|"1012783"|"0.0000"|""|""|""|"1550.0000"|""|""|"1200.0000"|""|""|""|""|"85.0000"|"2835.0000"|"869856.0000"|"872691.0000"|"453672.0000"|"0.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"04-3371560"|"JOHN A. MCNEICE, JR. CHARITABLE FOUNDATION"|"1012784"|"48000.0000"|"24926.0000"|""|""|"3431.0000"|"32970.0000"|""|"9439.0000"|""|""|""|""|"757.0000"|"119523.0000"|"270000.0000"|"389523.0000"|"271882.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"04-6039669"|"Albert O Wilson Foundation, Inc"|"1012785"|""|""|""|""|""|"12583.0000"|""|"1603.0000"|""|""|""|""|"10784.0000"|"24970.0000"|"75000.0000"|"99970.0000"|"89777.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"04-6725545"|"CHARLES E. HARWOOD TRUST"|"1012786"|"32440.0000"|""|""|"2340.0000"|"2800.0000"|""|""|"5532.0000"|""|""|""|""|"243.0000"|"43355.0000"|"207591.0000"|"250946.0000"|"172059.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"04-6864140"|"CATHERINE HAWKINS FOUNDATION JOHN I. & ELIZABETH TAYLOR, TTEES"|"1012787"|"6136.0000"|""|""|""|"1000.0000"|"35448.0000"|""|"4068.0000"|""|""|""|""|"465.0000"|"47117.0000"|"25000.0000"|"72117.0000"|"88008.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"02-0537670"|"The High Q Foundation, Inc"|"1013044"|"0.0000"|""|""|""|""|""|""|""|""|""|""|""|"11650470.0000"|"11650470.0000"|"798558.0000"|"12449028.0000"|"319729.0000"|"0.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"02-0562020"|"JOHN & AMY GRIFFIN FOUNDATION"|"1013045"|"0.0000"|""|""|"12567.0000"|"26000.0000"|""|""|"45000.0000"|""|""|""|""|"905.0000"|"84472.0000"|"5604858.0000"|"5689330.0000"|"4750225.0000"|"0.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"04-2214828"|"NECF FOUNDATION, INC."|"1013046"|"12000.0000"|""|""|""|"5050.0000"|"10008.0000"|""|""|""|"1848.0000"|""|""|""|"28906.0000"|"93750.0000"|"122656.0000"|"13423.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"04-2682392"|"THE ROBERT M. & MARJIE A. BENNETT FOUNDATION"|"1013047"|"0.0000"|""|""|""|"9020.0000"|""|"563.0000"|"2513.0000"|""|""|""|""|"12858.0000"|"24954.0000"|"122462.0000"|"147416.0000"|"212738.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"04-2943793"|"THE MORBY FAMILY CHARITABLE FOUNDATION, INC."|"1013048"|""|""|""|""|"6500.0000"|"20535.0000"|"7050.0000"|"58737.0000"|""|""|""|""|""|"92822.0000"|"380100.0000"|"472922.0000"|"1426026.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
