"C_EIN"|"C_Org_Name"|"activity_id"|"XML_DOCUMENT_ID"|"ACTIVITY"|"EXPENSES"
"04-2121325"|"UNITED FUND & COUNCIL OF GREATER LYNN, INC."|"52931"|"963455"|"THIS ORGANIZATION DISTRIBUTES GRANTS TO SECTION 501(C)(3) ORGANIZATIONS IN THE GREATER LYNN AREA. DURING 2011, THIS ORGANIZATION GRANTED $20,000 TO ONE 501(C)(3) ORGANIZATION."|"20000.0000"
"04-2269072"|"TRUST U/W EMMA R. TRAVELLI"|"52932"|"963456"|"ALL INCOME PAID TO CHARLES IRWIN TRAVELLI FUND #04-2260155"|"399632.0000"
"04-3414102"|"WILLIAM LOWELL PUTNAM PRIZE FUND FOR THE PROMOTION OF SCHOLARSHIP"|"52933"|"963458"|"THE PUTNAM PRIZE FUND PROVIDES FUNDS FOR MATHEMATICS COMPETITION UNDER THE SUPERVISON OF THE MATHEMATICS ASSN OF AMERICA AND AWARDS PRIZES TO INDIVIDUALS & THEIR SCHOOLS THE FUND ALSO MAKES CONTRIBUTIONS TO VARIOUS COLLEGES AND OTHER EDUCAITONAL INSTITUTIONS AS SELECTED BY ITS TRUSTEES AND APPROVAL OF THE COMMISSIONER."|"110150.0000"
"04-6027900"|"TRUST U/IND 3/1/52 EMMA R. TRAVELLI"|"52934"|"963461"|"ALL INCOME PAID TO CHARLES IRWIN TRAVELLI FUND #04-2260155"|"635301.0000"
"04-6023807"|"ISAAC HARRIS CARY EDUCATIONAL FUND"|"53098"|"966061"|"PROGRAMS WITH SPEAKERS OR PERFORMERS GIVEN SEVERAL TIMES DURING THE YEAR FREE OF CHARGE TO ALL CITIZENS OF THE TOWN OF LEXINGTON, MA"|"10683.0000"
"04-6023807"|"ISAAC HARRIS CARY EDUCATIONAL FUND"|"53099"|"966061"|"PROVIDED EDUCATIONAL SCHOLARSHIPS TO APPROXIMATELY SIXTEEN STUDENTS."|"54230.0000"
"01-0391038"|"Rosscare"|"53111"|"967649"|"SYLVIA ROSS LEGACY PROGRAM-Assistance to qualified applicants to reduce the cost of residency at the Sylvia Ross Home, assisted living apartments located on the campus of Ross Manor in Bangor."|"174093.0000"
"01-0391038"|"Rosscare"|"53112"|"967649"|"CONTINUING CARE INFO CENTER-Resource for anyone who has questions about available hospital and community health programs"|"564357.0000"
"01-0391038"|"Rosscare"|"53113"|"967649"|"LIFELINE-Home health care conitors worn by particuipants which signals help when activated"|"241787.0000"
"01-0391038"|"Rosscare"|"53114"|"967649"|"DIRIGO PINES INN-Specialized elderly housing and assisted living Also see attached publication."|"5934166.0000"
"01-0575520"|"Merck Patient Assistance Program, Inc."|"53133"|"967746"|"VARIOUS PATIENTS WITH MEDICAL AND FINANCIAL NEEDS"|"441424919.0000"
"01-0759380"|"SPINAL MUSCULAR ATROPHY FOUNDATION"|"53134"|"967749"|"THE SMA FOUNDATION MAINTAINS AN ACTIVE RESEARCH PROGRAM IN SPINAL MUSCULAR ATROPHY IN ORDER TO ACCOMPLISH ITS PRIMARY MISSION: TO ACCELERATE THE DEVELOPMENT OF A TREATMENT FOR SMA. THESE STUDIES ARE CONDUCTED THROUGH CONTRACT SERVICES WITH INDUSTRY AND ACADEMIC PARTNERS. FOUNDATION STAFF ANALYZE THE RESULTS, PUBLISH THE FINDINGS IN SCIENTIFIC JOURNALS AND PRESENT THEM AT SCIENTIFIC CONFERENCES."|"7736996.0000"
"01-0759380"|"SPINAL MUSCULAR ATROPHY FOUNDATION"|"53135"|"967749"|"FOR PATIENTS AND THEIR FAMILIES, SMA FOUNDATION PROVIDES GENERAL MATERIALS ON SMA AND SMA BIOLOGY, DOCUMENTS DESCRIBING STANDARDS OF CARE, MATERIALS RELATED TO THE CURRENT STATE OF THERAPEUTICS. MOST OF THESE MATERIALS ARE PREPARED BY THE FOUNDATION'S STAFF. FOR RESEARCH SCIENTISTS, THE FOUNDATION PREPARES SUMMARIES OF RESEARCH FINDINGS AND USEFUL TOOLS FOR SMA RESEARCHERS."|"360192.0000"
"01-0759380"|"SPINAL MUSCULAR ATROPHY FOUNDATION"|"53136"|"967749"|"THE SMA FOUNDATION MAINTAINS A WEBSITE WITH GENERAL INFORMATION ABOUT THE FOUNDATIONS'S RESEARCH PROGRAM AND EDUCATIONAL MATERIALS TARGETED TO BOTH PATIENTS AND THEIR FAMILIES AND TO RESEARCHERS. THE FOUNDATION WEBSITE IS CONSTANTLY UPDATED BY THE STAFF. FOR FURTHER INFORMATION, SEE WWW.SMAFOUNDATION.ORG."|"9937.0000"
"04-3196041"|"FIELDS POND FOUNDATION, INC."|"53137"|"967755"|"GRANT MAKING ONLY"|"0.0000"
"04-3493352"|"CLOUD MOUNTAIN FOUNDATION"|"53138"|"967757"|"THE FOUNDATION ACCOMPLISHES ITS CHARITABLE PURPOSES SOLELY THROUGH A PROGRAM OF MAKING CHARITABLE GIFTS AND DOES NOT CONDUCT ANY DIRECT CHARITABLE ACTIVITIES OR MAKE PROGRAM RELATED INVESTMENTS. THEREFORE, FURTHER ALLOCATION OF ADMINISTRATIVE EXPENSES IS NOT REQUIRED."|""
"04-6257543"|"TRUST U/W EDWIN S. FARMER"|"53139"|"967761"|"ONLY ACTIVITIES ARE ADMINISTRATION, INCLUDING OUTREACH TO POSSIBLE ELDERLY RECIPIENTS THROUGH COUNCIL OF AGING, HOUSING AUTHORITY, AND HOUSING CORPORATION OF ARLINGTON, CONSIDERATION OF APPLICATIONS FOR BENEFITS, MANAGING THE INVESTMENTS, AND DISTRIBUTION TO BENEFICIARIES."|"0.0000"
"01-0956020"|"THE MASIMO FOUNDATION FOR ETHICS, INNOVATION AND COMPETITION IN HEALTHCARE"|"53275"|"968307"|"GRANT PROVIDED TO 24 CHARITIES FOR PURPOSES OF ENSURING PATIENT SAFETY, INCREASING EFFICIENCY AND INCREASING THE AVILIABLITY OF ADVANCED MEDICAL EQUIPMENT FOR HEALTCARE FACILITIES WORLDWIDE."|"2424496.0000"
"01-0718949"|"CIVITELLA RANIERI FOUNDATION, INC."|"53295"|"970096"|"THE PURPOSE OF THE FOUNDATION IS TO MAINTAIN AN ARTISTS' RESIDENCY PROGRAM AT THE CIVITELLA RANIERI CASTLE IN UMBERTIDE, UMBRIA ITALY. IT PROVIDES A SETTING WHERE VISUAL ARTISTS. WRITERS & MUSICIANS FROM ALL PARTS OF THE WORLD MAY DEVELOP THEIR ART & EXCHANGE IDEAS WHILE BENEFITING FROM THE ATMOSPHERE OF THE CASTLE AND FROM ITALY'S RICH CULTURAL HERITAGE."|"1223092.0000"
"04-2104142"|"DAVENPORT MEMORIAL FOUNDATION"|"53302"|"970142"|"SINCE 1946, THE DAVENPORT MEMORIAL FOUNDATION HAS OPERATED AND MAINTAINED A PERPETUAL HOME FOR THE CARE, SUPPORT, AND MAINTENANCE OF COUPLES AND SINGLES, AT LEAST 65 YEARS OF AGE AS ITS PRINCIPAL FUNCTIONAL PURPOSE. THE FACILITY, LOCATED AT 70 SALEM STREET, MALDEN MASSACHUSETTS, IS CURRENTLY LICENSED FOR 18 LEVEL IV (SELF CARE) RESIDENTIAL BEDS. DURING 2011 THE AVERAGE RESIDENT OCCUPANCY WAS 15."|"0.0000"
"04-6040032"|"TRUSTEES OF SEARS AND OTHER FUNDS"|"53320"|"970170"|"AWARDS ARE MADE TO VARIOUS IRC SECTION 501(C)(3) ORGANIZATIONS."|"105000.0000"
"02-0406826"|"TAMPOSI FOUNDATION"|"53431"|"971564"|"SAMUEL A TAMPOSI SR SCHOLARSHIP FUND"|"5000.0000"
"02-0406826"|"TAMPOSI FOUNDATION"|"53432"|"971564"|"CHAD"|"1250.0000"
"02-0406826"|"TAMPOSI FOUNDATION"|"53433"|"971564"|"BOYS AND GIRLS CLUB"|"3650.0000"
"02-0406826"|"TAMPOSI FOUNDATION"|"53434"|"971564"|"YMCA CAMP BELKNAP"|"2500.0000"
"02-0586953"|"NEW HORIZONS SUPPORT FOUNDATION, INC"|"53451"|"971844"|"CHINA MISSION PROJECT: THIS PROGRAM FURTHERS THE EDUCATION OF YOUNG PEOPLE AND FINDS WAYS TO IMPROVE THE QUALITY OF LIFE TO THOSE PEOPLES IN POORER RURAL AND URBAN AREAS OF CHINA. THE FOUNDATION PROVIDES COORDINATION ASSISTANCE FOR A TEACHING ABROAD PROGRAM THROUGH TRUMAN STATE UNIVERSITY IN KIRKSVILLE, MISSOURI. THIS PROGRAM PROVIDES FOR COLLEGE STUDENTS TO TEACH ENGLISH TO CHINESE MIDDLE AND HIGH SCHOOL STUDENTS LOCATED AT A HIGH SCHOOL IN THE CITY OF SHUI JHAI, CHINA."|"31754.0000"
"02-0586953"|"NEW HORIZONS SUPPORT FOUNDATION, INC"|"53452"|"971844"|"DONATIONS TO VARIOUS ORGANIZATIONS: THE FOUNDATION SUPPORTS VARIOUS ORGANIZATIONS THAT PROVIDE SERVICES TO INDIVIDUALS IN NEED."|"2000.0000"
"04-6035227"|"Cabot Corporation Foundation"|"53453"|"971845"|"Cabot Corporation Foundation Gift Fund"|"900000.0000"
"04-6035227"|"Cabot Corporation Foundation"|"53454"|"971845"|"Japan Platform Funding towards the Japan relief efforts"|"150000.0000"
"04-6035227"|"Cabot Corporation Foundation"|"53455"|"971845"|"Aizuwakamatsushi Gienkin Funding towards the Japan relief efforts"|"62500.0000"
"04-6035227"|"Cabot Corporation Foundation"|"53456"|"971845"|"Fukushimaken Saigaitaisakuhonbu Funding towards the Japan relief efforts"|"37500.0000"
"04-6030253"|"Walter S. Quinlan Foundation"|"53468"|"971866"|"THE FOUNDATION'S PURPOSE IS TO OPERATE EXCLUSIVELY FOR CHARITABLE, SCIENTIFIC, LITERARY OR EDUCATIONAL PURPOSES PER CODE SEC. 170(C)(2). ITS PRINCIPAL ACTIVITY IS TO SUPPORT, FINANCIALLY, CHARITABLE ORGANIZATIONS AND EDUCATIONAL ORGANIZATIONS."|"223201.0000"
"04-2103743"|"THE JOHN BERTRAM HOUSE, INC."|"53498"|"971978"|"OPERATION OF A 25 BEDROOM ASSISTED LIVING FACILITY SERVING BOTH MEN AND WOMEN"|"1554634.0000"
"04-6111826"|"Gardiner Howland Shaw Foundation"|"53525"|"972031"|"1. TECHNICAL ASSISTANCE TO GRANTEES: 22 Organizations served Total Hours = 131 Total Expense=$17,423 2. TECHNICAL ASSISTANCE TO OTHER ORGANIZATIONS: 16 Organizations served Total Hours= 74 Total Expense =$9,842 3. PRESENTATIONS: Conferences and Forums (3) Total Hours 25 Total Expense=$3,325 PUBLICATIONS AND RESEARCH: Resource Directory Total Hours=21 Total Expense=$2,793 Other Publications Total Hours=20 Total Expense=$2,660"|"41629.0000"
"04-2104808"|"MERRIMACK RIVER VALLEY HOUSE INC"|"53561"|"972917"|"OPERATE A HOME FOR THE ELDERLY"|"1234227.0000"
"04-2607208"|"LOTTA FUND FOR AIDING DISCHARGED CONVICTS"|"53562"|"972920"|"TO AID DISCHARVED CONVICTS"|"26930.0000"
"04-2607210"|"LOTTA THEATRICAL FUND"|"53563"|"972921"|"THEATRICAL CAREER"|"14591.0000"
"04-3339819"|"MURIEL & NORMAN B LEVENTHAL FAMILY FOUNDATION INC"|"53564"|"972926"|"GRANTS RANGING FROM 200 TO 160,000 TO FIFTY-EIGHT CHARITABLE ORGANIZATIONS TO SUPPORT THEIR ACTIVITIES"|"773707.0000"
"02-0653934"|"FOSTER CHARITABLE FOUNDATION INC"|"53825"|"974023"|"GRANT TO HUNTSMAN CANCER FOUNDATION TO HELP FUND CANCER HOSPITAL AND DEVELOPMENT AND RESEARCH"|"1119344.0000"
"02-0653934"|"FOSTER CHARITABLE FOUNDATION INC"|"53826"|"974023"|"COLON CANCER AWARENESS CAMPAIGN TO RAISE PUBLIC AWARENESS TO STATISTICS AND PERCENTAGES OF COLON CANCER OCCURANCES THROUGH AMERICA AND THE IMPORTANCE OF EARLY SCREENING TO STOP CANCER"|"27410.0000"
"03-0270131"|"Warner Home for Little Wanderers"|"53827"|"974024"|"Providing funding to the Warner Home for Little Wandereres, Inc. a 501(c)(3) organization whose objective is to help destitute children."|"62901.0000"
"04-2986731"|"SCHOLARSHIP FUND OF KAPPA SIGMA FRATERNITY INC"|"53828"|"974025"|"GRANTING OF SCHOLARSHIPS"|"12000.0000"
"01-0514175"|"MACHIAS SAVINGS BANK COMMUNITY DEVELOPMENT FOUNDATION"|"53911"|"974277"|"SEE PART XV"|"0.0000"
"04-3236375"|"Genzyme Charitable Foundation, Inc."|"53912"|"974283"|"Cerezyme prescription drugs for the treatment of Gaucher disease supplied to ill, needy, and infant patients."|"37148281.0000"
"04-3236375"|"Genzyme Charitable Foundation, Inc."|"53913"|"974283"|"Myozyme prescription drugs for the treatment of Pompe disease supplied to ill, needy, and infant patients."|"19660793.0000"
"04-3236375"|"Genzyme Charitable Foundation, Inc."|"53914"|"974283"|"Renvela prescription drugs for the treatment of Kidney supplied to ill, needy, and infant patients."|"16147501.0000"
"04-6547989"|"TUPANCY-HARRIS FDN. -1986"|"53915"|"974289"|"SEE ATTACHED SCHEDULE GRANTS WERE AID TO TAX EXEMPT ORGANIZATIONS."|"1191985.0000"
"04-6707664"|"WINDHORSE FOUNDATION"|"53916"|"974293"|"THE FUND HAS NO DIRECT CHARITABLE ACTIVITY."|"0.0000"
"04-2660275"|"ROBERT M CHILDS CHARITABLE FOUNDATION"|"54048"|"974747"|"NO SUCH ACTIVITIES"|""
"01-0539790"|"JACK AND DEBORAH DAW HEFFERNAN FOUNDATION"|"54078"|"980169"|"EDUCATIONAL"|"15200.0000"
"01-0539790"|"JACK AND DEBORAH DAW HEFFERNAN FOUNDATION"|"54079"|"980169"|"LAND CONSERVATION"|"1750.0000"
"01-0539790"|"JACK AND DEBORAH DAW HEFFERNAN FOUNDATION"|"54080"|"980169"|"HEALTH CARE"|"13575.0000"
"01-0628246"|"THOUSAND ISLANDS FOUNDATION INC"|"54081"|"980170"|"SCHOLARSHIPS TO 28 STUDENTS"|"33285.0000"
"03-0569199"|"NABORS CHARITABLE FOUNDATION"|"54083"|"980174"|"Educational grants to individuals selected by the Foundation's Board of Directors. Grants to charitable organizations described in code section 501(c)(3) that are selected by the Foundation's Board of Directors. Relief, support and assistance to victims of natural and civil disasters and their their family members."|"353813.0000"
"03-6005799"|"GEORGE A DASCOMB CHARITABLE EXEMPT TRUST"|"54084"|"980175"|"SUPPORT OF CHARITABLE ORGANIZATIONS IN THE WESTMINSTER TOWNSHIP OR SURROUNDING AREA WHICH BENEFIT THE CITIZENS OF WESTMINSTER"|"38350.0000"
"04-6007299"|"F.C. & C.W. NICHOLS CHARITY FD"|"54085"|"980180"|"THIS IS A PERPETUAL CHARITABLE TRUST. THE BENEFICIARIES ARE PEABODY ESSEX MUSEUM, KINGS CHAPEL AND SALEM HOSPITAL."|"185087.0000"
"04-6663582"|"THE LUDCKE FOUNDATION"|"54086"|"980184"|"THIS TRUST MAKES GRANTS FOR RELIGIOUS, CHARITABLE, SCIENTIFIC, LITERARY AND EDUCATIONAL PURPOSES AND FOR THE PREVENTION OF CRUELTY TO CHILDREN AND ANIMALS"|"2056050.0000"
"02-2229190"|"CHASE HOME FOR CHILDREN"|"54196"|"980604"|"ORGANIZATION OPERATES A RESIDENTIAL HOME FOR TEENAGE CHILDREN AND PROVIDES THERAPEUTIC SERVICES TO CHILDREN AND FAMILIES."|"1141772.0000"
"04-2729951"|"THE HOLLIS FOUNDATION"|"54224"|"980710"|"PROVIDE EDUCATIONAL GRANTS TO PUBLIC SEC 501(C)(3) ORGANIZATIONS"|"10534.0000"
"04-3198227"|"WOODBURY FUND INC"|"54225"|"980715"|"GRANTS TO PUBLIC CHARITIES FOR PUBLIC EDUCATION AND CHARITABLE PUROSES-HUMANITARIAN, ECONOMIC DEVELOPMENT, CIVIC AWARENESS, ETC"|"0.0000"
"04-6054689"|"BRITISH SOCIETY INC"|"54226"|"980733"|"RELIEF AND ASSISTANCE TO INDIVIDUALS IN NEED"|"46107.0000"
"03-6009912"|"General Educational Fund, Inc."|"54423"|"981698"|"The Foundation provides college education grants to Vermont high school students"|"64744.0000"
"04-2670567"|"ISLAND FOUNDATION INC"|"54536"|"982562"|"THE FOUNDATIONS PRIORITIES FALL WITHIN THREE MAJOR CATEGORIES ENVIRONMENT, COMMUNITY DEVELOPMENT IN NEW BEDFORD AND ALTERATIVE EDUCATION"|"0.0000"
"04-3540667"|"YEARLEY FAMILY FOUNDATION"|"54537"|"982564"|"PLEASE NOTE, THE FOUNDATION IS NOT INVOLVED IN ANY DIRECT CHARITABLE ACTIVITIES. ITS PRIMARY PURPOSE IS TO SUPPORT, BY CONTRIBUTIONS, OTHER CHARITABLE ORGANIZATIONS EXEMPT UNDER INTERNAL REVENUE CODE SECTION 501(C)(3)."|""
"04-2131745"|"CLINTON HOME FOUNDATION INC"|"54624"|"983253"|"ADMINISTER AN ENDOWMENT FUND TO PROVIDE FINANCIAL RESOURCES FOR ELDERCARE TO THE ELDERLY AND THE INDIGENT"|"104701.0000"
"04-2714713"|"THE GUND ART FOUNDATION"|"54625"|"983254"|"THE FOUNDATION LOANS ARTWORK FOR PUBLIC DISPLAY AT PUBLIC ART MUSEUMS. THE MUSEUMS WITH WHICH THE FOUNDATION USUALLY LENDS PAINTINGS FOR DISPLAY INCLUDE THE MUSEUM OF FINE ARTS IN BOSTON, THE UNIVERSITY OF NEW HAMPSHIRE ART GALLERY, THE ROSE ART GALLERY AT BRANDEIS UNIVERSITY, AND THE CURRIER GALLERY OF ART IN MANCHESTER, NH. THE FOUNDATION DOES NOT HAVE DATA ON THE NUMBER OF PEOPLE VIEWING THE ARTWORK, BUT ESTIMATES THAT IT HAS BEEN VIEWED BY THOUSANDS OF PEOPLE."|"2882.0000"
"04-3534717"|"CHRISTOPHER & PATRICIA HIGGINS ARNOLD FOUNDATION"|"54641"|"983331"|"GRANTS ARE MADE FOR CHARITABLE PURPOSES"|"25750.0000"
"01-0549138"|"4:19 foundation, Inc."|"54729"|"983740"|"Contribution 1 line a Contribution 1 line b Contribution 1 line c"|"0.0000"
"01-0549138"|"4:19 foundation, Inc."|"54730"|"983740"|"Contribution 2 line a Contribution 2 line b Contribution 2 line c"|"0.0000"
"01-0549138"|"4:19 foundation, Inc."|"54731"|"983740"|"Contribution 3 line a Contribution 3 line b Contribution 3 line c"|"0.0000"
"01-0549138"|"4:19 foundation, Inc."|"54732"|"983740"|"Contribution 4 line a Contribution 4 line b Contribution 4 line c"|"0.0000"
"01-6080947"|"WILLIAM C. BULLOCK, JR FAMILY FOUNDATION"|"54824"|"984096"|"SUPPORT OF CHARITABLE ORGANIZATIONS, PURSUANT TO TRUST DOC."|"36488.0000"
"03-6007034"|"TRUSTEES OF CHESTER ACADEMY 2726"|"54825"|"984354"|"THE FOUNDATION PROVIDES SCHOLARSHIPS TO GRADUATES OF HIGH SCHOOS IN THE CHESTER, VT AREA, TO FURTHER THEIR EDUCATION."|""
"01-0738276"|"The CW Film Foundation Inc"|"54835"|"991254"|"10 production grants and 5 honorable mentions were awarded, and 10 films were acquired"|"491675.0000"
"01-0738276"|"The CW Film Foundation Inc"|"54836"|"991254"|"21 feature-length films were screened at 80 venues in 58 cities to a total attendance of 38,966"|"171188.0000"
"01-0738276"|"The CW Film Foundation Inc"|"54837"|"991254"|"Educational screenings were presented to over 3,800 students in 33 cities"|"24058.0000"
"04-3484554"|"SIRAD FOUNDATION INC"|"54838"|"991256"|"THE FOUNDATION MAKES GRANTS TO PUBLIC CHARITIES TO IMPROVE JOB OPPORTUNITIES, WAGES, AND BENEFITS FOR POOR AND LOW INCOME WORKING PEOPLE, INCLUDING WORKFARE PARTICIPANTS"|"122200.0000"
"03-0335376"|"THE KRZYZOWA KREISAU FOUNDATION"|"54866"|"991344"|"Grant for program sponsorship of programs at Krzyzowa/Kreisau given to Kreisau Initiative e.V., Berlin"|"13000.0000"
"03-0335376"|"THE KRZYZOWA KREISAU FOUNDATION"|"54867"|"991344"|"Grant towards programs funded at Krzyzowa/Kreisau Given to Freya von Moltke Stiftung fuer das Neue Kreisau, Berlin"|"5000.0000"
"04-6056367"|"ASSOCIATION FOR THE RELIEF OF AGED WOMEN OF NEW BEDFORD"|"54943"|"991644"|"THE ORGANIZATION AIDES AGED WOMEN AND OTHER EXEMPT ORGANIZATIONS BY FURNISHING FINANCIAL ASSISTANCE AND RELIEF"|"737002.0000"
"04-6183682"|"SPERO CHARITABLE FOUNDATION"|"55194"|"994640"|"CHARITABLE DONATIONS TO VARIOUS ORGANIZATIONS"|"272691.0000"
"03-6016085"|"IVAN & BERNICE BURNHAM EDUCATIONAL FOUNDATION"|"55237"|"994864"|"FOUNDATION PROVIDES GRANTS TO LOCAL SCHOOLS FOR USE IN APPROVED ACADEMIC PROGRAMS"|"15000.0000"
"01-0521503"|"WINSLOW-JOHNSON SCHOLARSHIP TRUST"|"55265"|"996094"|"SCHOLARSHIP AWARDS TO RESIDENTS OF PHIPPSBURG, MAINE"|"17200.0000"
"03-0341004"|"BETTER AND BETTER FOUNDATION"|"55266"|"996095"|"SILVA SEMINAR"|"650.0000"
"04-2573604"|"GIBRAN KAHLIL GIBRAN EDUCATIONAL FUND, INC."|"55277"|"996122"|"Granted college scholarships to 6 qualified applicants of Syrian or Lebanese descent."|"17104.0000"
"04-3134531"|"REAL COLEGIO COMPLUTENSE INC."|"55353"|"1000278"|"Fellowships & Grants to Faculty and Students from Spain to study and make research in their respective fields at Harvard University"|"290515.0000"
"04-3134531"|"REAL COLEGIO COMPLUTENSE INC."|"55354"|"1000278"|"Grant to the Institute for Global Law and Policy of HU to support research by Spanish Faculty and Students"|"50000.0000"
"04-3134531"|"REAL COLEGIO COMPLUTENSE INC."|"55355"|"1000278"|"Contribution to other Harvard programs"|"20000.0000"
"04-3134531"|"REAL COLEGIO COMPLUTENSE INC."|"55356"|"1000278"|"Scholarships for special courses"|"77838.0000"
"03-0179439"|"WARNER HOME FOR LITTLE WANDERERS"|"55379"|"1000342"|"INDIVIDUAL GRANTS FOR EXTRACURRICULAR ACTIVITIES"|"65127.0000"
"03-0179439"|"WARNER HOME FOR LITTLE WANDERERS"|"55380"|"1000342"|"INDIVIDUAL GRANTS FOR SCHOLARSHIPS"|"45000.0000"
"03-0179439"|"WARNER HOME FOR LITTLE WANDERERS"|"55381"|"1000342"|"INDIVIDUAL GRANTS FOR SUMMER CAMPS"|"34583.0000"
"04-3619796"|"The J. Freunard Kim Foundation"|"55386"|"1000763"|"Support And Contribution to Hope Worldwide, a Public Charity Under IRC Sec. 501(c) (3), For An Educational Project in Cambodia Providing Free Education to Needy Cambodians."|"50000.0000"
"03-0523195"|"CONWAY FARMS GOLF CLUB FOUNDATION"|"55426"|"1004514"|"SCHOLARSHIPS WERE GRANTED TO 31 STUDENTS RANGING FROM $343 TO $6,000"|"50843.0000"
"04-2111410"|"THE SETH MANN, 2D, HOME FOR THE AGED AND INFIRM WOMEN"|"55447"|"1009787"|"THE ORGANIZATION PROVIDES HOUSING AND LIMITED CARE TO AGED AND INFIRM WOMEN"|"322192.0000"
"04-2943910"|"Stamps Family Charitable Foundation Inc"|"55448"|"1009788"|"The Stamps Scholars Convention held in February of 2011 brought together approximately 125 students and administrators from ten universities for two days of academic exploration, networking, and fellowship"|"140524.0000"
"04-6026648"|"THE STARE FUND"|"55449"|"1009789"|"THE STARE FUND MAKES GRANTS TO VARIOUS CHARITABLE ENTITIES THAT HAVE BEEN PRE-SELECTED BY THE TRUSTEES"|"0.0000"
"04-6049529"|"The Grass Foundation"|"55492"|"1009915"|"The Grass Fdn seeks to encourage independent research at the Marine Biological Lab by investigators early in their career and increase research opportunities for persons trained for careers in neurobiological investigation The number of fellowships awarded varies annually with a normal tenure of 14 weeks"|"461378.0000"
"04-6056133"|"FUSARO CHARITABLE FOUNDATION, INC."|"55493"|"1009916"|"The Annual Report of Fusaro Charitable Foundation, Inc., is available at the address noted below, for inspection during normal business hours, by any citizen who so requests within 180 days after publication of the notice of availability. The Fusaro Charitable Foundation, Inc, 71 Elm Street, Worcester, MA 01609, the Principal Manager is John Altomare, Treasurer Telephone (508-798-3771. May 1, 2012"|"35105.0000"
"04-6906429"|"STEPHEN AND ALICE CUTLER FAMILY FNDTN"|"55494"|"1009920"|"DANA FARBER CANCER INST."|"50000.0000"
"04-6906429"|"STEPHEN AND ALICE CUTLER FAMILY FNDTN"|"55495"|"1009920"|"YPIE"|"1500.0000"
"04-6906429"|"STEPHEN AND ALICE CUTLER FAMILY FNDTN"|"55496"|"1009920"|"FRIENDS OF SKIDMORE"|"1500.0000"
"04-6906429"|"STEPHEN AND ALICE CUTLER FAMILY FNDTN"|"55497"|"1009920"|"JEWISH NATIONAL FUND"|"1500.0000"
"05-0374155"|"RI INTERSCHOLASTIC INJURY FUND"|"55498"|"1009921"|"BOYS HIGH SCHOOL ATHLETIC INJURIES 29 SCHOOLS/12 VARIOUS SPORTS"|"0.0000"
"05-0374155"|"RI INTERSCHOLASTIC INJURY FUND"|"55499"|"1009921"|"GIRLS HIGH SCHOOL ATHLETIC INJURIES 24 SCHOOLS/11 VARIOUS SPORTS"|"0.0000"
"05-0374155"|"RI INTERSCHOLASTIC INJURY FUND"|"55500"|"1009921"|"VARIOUS SCHOLARSHIP AWARDS"|"0.0000"
"05-0374155"|"RI INTERSCHOLASTIC INJURY FUND"|"55501"|"1009921"|"OUTSTANDING STUDENT AWARDS (REYNOLDS AWARDS)"|"0.0000"
"04-6003671"|"HENRY O. PEABODY SCHOOL FOR GIRLS"|"55741"|"1010639"|"SCHOLARSHIP SUPPORT FOR WOMEN IN NORFOLK COUNTY FOR POST HIGH SCHOOL INSTRUCTION."|"135000.0000"
"02-0537670"|"The High Q Foundation, Inc"|"55861"|"1013044"|"Medical (neurodegenerative) research performed on contract basis on behalf and at direction of Fndn, plus workshops, conferences, advice, & dissemination of data&info to research community"|"9009423.0000"
"02-0562020"|"JOHN & AMY GRIFFIN FOUNDATION"|"55862"|"1013045"|"THE FOUNDATION IS NOT INVOLVED IN ANY DIRECT CHARITABLE ACTIVITIES. ITS PRIMARY PURPOSE IS TO SUPPORT, BY GRANTS AND DISTRIBUTIONS, OTHER ORGANIZATIONS EXEMPT AS PUBLIC CHARITIES UNDER IRC SECTION 501(C)(3)."|"5644300.0000"
"04-2103815"|"MARTHAS VINEYARD CAMP-MEETING ASSOCIATION"|"55945"|"1012277"|"MUSEUM STORE"|"88778.0000"
"04-2103815"|"MARTHAS VINEYARD CAMP-MEETING ASSOCIATION"|"55946"|"1012277"|"SPRIRITUAL LIFE"|"11779.0000"
"04-2103815"|"MARTHAS VINEYARD CAMP-MEETING ASSOCIATION"|"55947"|"1012277"|"MAINTENANCE OF HISTORIC SITE"|"736798.0000"
"04-3292646"|"Information Research Foundation"|"56143"|"1012781"|"One summer grant for intravasular ultrasound image segmentation research, 4500 one research grant to develop blood flow and pulse model wath instruction materials, 18000. one research grant for repotic vision research 3600"|"26100.0000"
"04-3292646"|"Information Research Foundation"|"56144"|"1012781"|"Travel grants for research and differences, 2360 Journal subscription grant 819"|"3179.0000"
"04-3292646"|"Information Research Foundation"|"56145"|"1012781"|"Research books and instruction materials provided to graduate and post graduate students"|"1245.0000"
"04-3292646"|"Information Research Foundation"|"56146"|"1012781"|"Small grants to Dartmouth College Fund, Dartmouth Seminars"|"350.0000"
"04-6705444"|"CHELONIAN RESEARCH FOUNDATION"|"56198"|"1013259"|"PUBLICATION COSTS OF SCIENTIFIC JOURNAL AND BOOKS INCLUDING CHELONIAN CONSERVATION & BIOLOGY JOURNAL"|"11216.0000"
"04-6705444"|"CHELONIAN RESEARCH FOUNDATION"|"56199"|"1013259"|"SCIENTIFIC RESEARCH OF FOUNDATION INCLUDING TRAVEL TO SCIENTIFIC CONFERENCES."|"19706.0000"
