"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"EFILE"|"ORGNAME"|"PERIOD_BEGIN"|"PERIOD_END"|"CO_ATTN"|"STREET"|"SUITE"|"CITY"|"STATE"|"COUNTRY"|"ZIP"|"PHONE"|"TYPE"|"FAIR_MARKET_VALUE"|"last_modified"|"TERMINATED_CBX"|"FINAL_RETURN_CBX"|"INIT_RET_CBX"|"INITIAL_RETURN_FORMER_PC"|"CHANGE_ADDRESS_CBX"|"CHANGE_NAME_CBX"
"01-0483892"|"Hannaford Charitable Foundation"|"941083"|"N"|"Hannaford Charitable Foundation"|"1/1/2011 12:00:00 AM"|"12/31/2011 12:00:00 AM"|""|"P.O. Box 1000"|""|"Portland"|"ME"|"USA"|"04104"|"207-883-2911"|"F"|"1415002.0000"|"3/11/2013 9:09:16 PM"|""|""|""|""|""|""
"01-0525593"|"BHBT & JK PETTY TTEES RICHARD S. PETTY CHAR.F DN"|"941084"|"N"|"BHBT & JK PETTY TTEES RICHARD S. PETTY CHAR.F DN"|"1/1/2011 12:00:00 AM"|"12/31/2011 12:00:00 AM"|""|"135 HIGH STREET, P.O. BOX 1100"|""|"ELLSWORTH"|"ME"|"USA"|"04605-1100"|"207-667-3883"|"F"|"1211606.0000"|"3/11/2013 9:09:17 PM"|""|""|""|""|""|""
"01-0547392"|"Kennebunk Savings Bank Foundation"|"941085"|"N"|"Kennebunk Savings Bank Foundation"|"1/1/2011 12:00:00 AM"|"12/31/2011 12:00:00 AM"|""|"104 Main Street, P.O. Box 28"|""|"Kennebunk"|"ME"|"USA"|"04043"|"207-985-4903"|"F"|"3619356.0000"|"3/11/2013 9:09:19 PM"|""|""|""|""|""|""
"01-0553690"|"THURBER FAMILY FOUNDATION, INC."|"941086"|"N"|"THURBER FAMILY FOUNDATION, INC."|"1/1/2011 12:00:00 AM"|"12/31/2011 12:00:00 AM"|""|"2414 COVEMONT DRIVE"|""|"HUNTSVILLE"|"AL"|"USA"|"35801"|"205-314-6219"|"F"|"990675.0000"|"3/11/2013 9:09:21 PM"|""|""|""|""|""|""
"01-0647596"|"The Pomeroy Family Foundation"|"941087"|"N"|"The Pomeroy Family Foundation"|"1/1/2011 12:00:00 AM"|"12/31/2011 12:00:00 AM"|""|"5 Foxfield Court"|""|"Mechanicsburg"|"PA"|"USA"|"17050"|"717-766-3786"|"F"|"1860080.0000"|"3/11/2013 9:09:22 PM"|""|""|""|""|""|""
"01-0676696"|"EVERETT TRUST FBO CAYUGA CO. BANK OF AMERICA, NA"|"941088"|"N"|"EVERETT TRUST FBO CAYUGA CO. BANK OF AMERICA, NA"|"1/1/2011 12:00:00 AM"|"12/31/2011 12:00:00 AM"|""|"P O BOX 1802"|""|"PROVIDENCE"|"RI"|"USA"|"02901-1802"|""|"F"|"508762.0000"|"3/11/2013 9:09:24 PM"|""|""|""|""|""|""
"01-6028898"|"SUMNER O. HANCOCK SCHOLARSHIP FUND"|"941089"|"N"|"SUMNER O. HANCOCK SCHOLARSHIP FUND"|"1/1/2011 12:00:00 AM"|"12/31/2011 12:00:00 AM"|""|"P.O. BOX 295"|""|"CASCO"|"ME"|"USA"|"04015"|"207-627-7676"|"O"|"104073.0000"|"3/11/2013 9:09:26 PM"|""|""|""|""|""|""
"02-0762991"|"JAMES I. PERKINS FAMILY FOUNDATION"|"941090"|"N"|"JAMES I. PERKINS FAMILY FOUNDATION"|"1/1/2011 12:00:00 AM"|"12/31/2011 12:00:00 AM"|""|"601 NORTH MAIN ST."|""|"RUSK"|"TX"|"USA"|"75785"|"903-683-2277"|"F"|"5644895.0000"|"3/11/2013 9:09:27 PM"|""|""|""|""|""|""
"02-6004790"|"U/W CLARA SALTUS 360145015"|"941091"|"N"|"U/W CLARA SALTUS 360145015"|"1/1/2011 12:00:00 AM"|"12/31/2011 12:00:00 AM"|""|"PO BOX 477"|""|"CONCORD"|"NH"|"USA"|"03302-0477"|"603-229-5990"|"T"|"6840571.0000"|"3/11/2013 9:09:29 PM"|""|""|""|""|""|""
"02-6006598"|"CONCORD FEMALE CHARITABLE SOCIETY 642093017"|"941092"|"N"|"CONCORD FEMALE CHARITABLE SOCIETY 642093017"|"1/1/2011 12:00:00 AM"|"12/31/2011 12:00:00 AM"|""|"PO BOX 477"|""|"CONCORD"|"NH"|"USA"|"03302-0477"|"603-695-3125"|"F"|"871852.0000"|"3/11/2013 9:09:30 PM"|""|""|""|""|""|""
"02-6050390"|"OLIN J. COCHRAN TR U/W 361042013"|"941093"|"N"|"OLIN J. COCHRAN TR U/W 361042013"|"1/1/2011 12:00:00 AM"|"12/31/2011 12:00:00 AM"|""|"PO BOX 477"|""|"CONCORD"|"NH"|"USA"|"03302-0477"|"603-229-5990"|"F"|"3847198.0000"|"3/11/2013 9:09:32 PM"|""|""|""|""|""|""
"02-6124799"|"The Bitty Foundation"|"941094"|"N"|"The Bitty Foundation"|"1/1/2011 12:00:00 AM"|"12/31/2011 12:00:00 AM"|"Bingham McCutchen"|"One Federal St."|""|"Boston"|"MA"|"USA"|"02110"|"617-951-8588"|"F"|"1899110.0000"|"3/11/2013 9:09:34 PM"|""|""|""|""|""|""
"02-6125090"|"JOHN & MARGARET BRENNAN TRUST"|"941095"|"N"|"JOHN & MARGARET BRENNAN TRUST"|"1/1/2011 12:00:00 AM"|"12/31/2011 12:00:00 AM"|""|"870 WESTMINSTER STREET"|""|"PROVIDENCE"|"RI"|"USA"|"02903"|"603-634-7772"|"F"|"1275863.0000"|"3/11/2013 9:09:35 PM"|""|""|""|""|""|""
"03-6020099"|"PROCTOR M FBO RESIDENTS MASTER 31V120007"|"941097"|"N"|"PROCTOR M FBO RESIDENTS MASTER 31V120007"|"1/1/2011 12:00:00 AM"|"12/31/2011 12:00:00 AM"|""|"850 MAIN STREET, RC 13-505"|""|"BRIDGEPORT"|"CT"|"USA"|"06604-4913"|"802-660-2153"|"F"|"3643251.0000"|"3/11/2013 9:09:39 PM"|""|""|""|""|""|""
"03-6064491"|"WILLIAM & GLENNA JAMES SCHOLARSHIP FUND 430053017"|"941098"|"N"|"WILLIAM & GLENNA JAMES SCHOLARSHIP FUND 430053017"|"1/1/2011 12:00:00 AM"|"12/31/2011 12:00:00 AM"|""|"PO BOX 477"|""|"CONCORD"|"NH"|"USA"|"03302-0477"|"802-860-5420"|"F"|"470706.0000"|"3/11/2013 9:09:40 PM"|""|""|""|""|""|""
"03-6075387"|"THE MCCARTHY FAMILY FOUNDATION"|"941099"|"N"|"THE MCCARTHY FAMILY FOUNDATION"|"1/1/2011 12:00:00 AM"|"12/31/2011 12:00:00 AM"|""|"25 MANDALAY DRIVE"|""|"PEABODY"|"MA"|"USA"|"01960"|"978-646-1155"|"F"|"1449380.0000"|"3/11/2013 9:09:42 PM"|""|""|""|""|""|""
"03-6088692"|"S. L. GIMBEL FOUNDATION"|"941100"|"N"|"S. L. GIMBEL FOUNDATION"|"1/1/2011 12:00:00 AM"|"12/31/2011 12:00:00 AM"|""|"P.O. BOX 2591"|""|"ORANGE"|"CA"|"USA"|"92859-0591"|"714-323-7340"|"F"|"84701691.0000"|"3/11/2013 9:09:44 PM"|""|""|""|""|""|""
"04-2236996"|"NATHANIEL & ELIZABETH P. STEVENS FOUNDATION"|"941101"|"N"|"NATHANIEL & ELIZABETH P. STEVENS FOUNDATION"|"1/1/2011 12:00:00 AM"|"12/31/2011 12:00:00 AM"|""|"P.O. BOX 111"|""|"NORTH ANDOVER"|"MA"|"USA"|"01845"|"978-688-7211"|"F"|"16251494.0000"|"3/11/2013 9:09:45 PM"|""|""|""|""|""|""
"04-2642387"|"JOHN T. MCGILLICUDDY CHARITABLE TRUST LINDA S. DALBY ET AL, TRUSTEES"|"941102"|"N"|"JOHN T. MCGILLICUDDY CHARITABLE TRUST LINDA S. DALBY ET AL, TRUSTEES"|"1/1/2011 12:00:00 AM"|"12/31/2011 12:00:00 AM"|""|"DAY PITNEY LLP, ONE INTERNATIONAL PLACE"|""|"BOSTON"|"MA"|"USA"|"02110"|"617-345-4600"|"F"|"2129450.0000"|"3/11/2013 9:09:47 PM"|""|""|""|""|""|""
"04-2680399"|"RESTORATION HOUSING CORPORATION"|"941103"|"N"|"RESTORATION HOUSING CORPORATION"|"1/1/2011 12:00:00 AM"|"12/31/2011 12:00:00 AM"|""|"11 NEW WHITNEY STREET"|""|"BOSTON"|"MA"|"USA"|"02115"|"617-232-4306"|"F"|"5670538.0000"|"3/11/2013 9:09:49 PM"|""|""|""|""|""|""
"04-2748787"|"KENDRICK FOUNDATION"|"941104"|"N"|"KENDRICK FOUNDATION"|"1/1/2011 12:00:00 AM"|"12/31/2011 12:00:00 AM"|"BANK OF AMERICA, NA"|"P O BOX 1802"|""|"PROVIDENCE"|"RI"|"USA"|"02901-1802"|"401-278-6848"|"F"|"1845803.0000"|"3/11/2013 9:09:50 PM"|""|""|""|""|""|""
"04-2946393"|"Sprague Foundation Inc."|"941106"|"N"|"Sprague Foundation Inc."|"1/1/2011 12:00:00 AM"|"12/31/2011 12:00:00 AM"|""|"55 Bacon Street"|""|"Natick"|"MA"|"USA"|"01760-2901"|"508-653-7833"|"F"|"2543997.0000"|"3/11/2013 9:09:54 PM"|""|""|""|""|""|""
"04-2991588"|"ALFRED CAMPANELLI CHARITABLE FOUNDATION"|"941107"|"N"|"ALFRED CAMPANELLI CHARITABLE FOUNDATION"|"1/1/2011 12:00:00 AM"|"12/31/2011 12:00:00 AM"|""|"P.O. BOX 850985"|""|"BRAINTREE"|"MA"|"USA"|"02185-0985"|"781-843-8280"|"F"|"68444.0000"|"3/11/2013 9:09:55 PM"|""|""|""|""|""|""
"04-3005593"|"FRASER FAMILY FOUNDATION, INC."|"941108"|"N"|"FRASER FAMILY FOUNDATION, INC."|"1/1/2011 12:00:00 AM"|"12/31/2011 12:00:00 AM"|"RINET COMPANY, LLC"|"101 FEDERAL STREET"|"FL 14"|"BOSTON"|"MA"|"USA"|"02110"|"617-488-2700"|"F"|"1974559.0000"|"3/11/2013 9:09:57 PM"|""|""|""|""|""|""
"04-3195994"|"HILDRETH STEWART CHARITABLE FOUNDATION"|"941109"|"N"|"HILDRETH STEWART CHARITABLE FOUNDATION"|"1/1/2011 12:00:00 AM"|"12/31/2011 12:00:00 AM"|"IBS INC."|"100 BELVIDERE STREET"|"10-E"|"BOSTON"|"MA"|"USA"|"02199"|"617-423-0211"|"F"|"10594705.0000"|"3/11/2013 9:09:58 PM"|""|""|""|""|""|""
"04-3211993"|"THE NYPRO FOUNDATION, INC."|"941110"|"N"|"THE NYPRO FOUNDATION, INC."|"1/1/2011 12:00:00 AM"|"12/31/2011 12:00:00 AM"|"NYPRO INC"|"101 UNION STREET"|""|"CLINTON"|"MA"|"USA"|"01510"|"978-365-9721"|"F"|"3980022.0000"|"3/11/2013 9:10:00 PM"|""|""|""|""|""|""
"04-3371592"|"EASTHAMPTON SAVINGS FOUNDATION, INC."|"941112"|"N"|"EASTHAMPTON SAVINGS FOUNDATION, INC."|"1/1/2011 12:00:00 AM"|"12/31/2011 12:00:00 AM"|""|"36 MAIN STREET"|""|"EASTHAMPTON"|"MA"|"USA"|"01027"|"413-527-4111"|"F"|"1675863.0000"|"3/11/2013 9:10:03 PM"|""|""|""|""|""|""
"04-3526188"|"CURVEY FAMILY FOUNDATION"|"941114"|"N"|"CURVEY FAMILY FOUNDATION"|"1/1/2011 12:00:00 AM"|"12/31/2011 12:00:00 AM"|""|"82 Devonshire Street"|"S9A"|"Boston"|"MA"|"USA"|"02109"|"617-338-2839"|"F"|"3408277.0000"|"3/11/2013 9:10:07 PM"|""|""|""|""|""|""
"04-3551989"|"Barbara Delinsky Charitable Foundation"|"941115"|"N"|"Barbara Delinsky Charitable Foundation"|"1/1/2011 12:00:00 AM"|"12/31/2011 12:00:00 AM"|""|"19 Pheasant Landing Road"|""|"Needham"|"MA"|"USA"|"02492-0026"|"781-444-0474"|"F"|"90597.0000"|"3/11/2013 9:10:08 PM"|""|""|""|""|""|""
"04-3557888"|"FELICIA M. DELORENZO SCHOLARSHIP FOUNDATION, INC. #0741869"|"941116"|"N"|"FELICIA M. DELORENZO SCHOLARSHIP FOUNDATION, INC. #0741869"|"1/1/2011 12:00:00 AM"|"12/31/2011 12:00:00 AM"|""|"NUTTER MCCLENNEN & FISH LLP PO BOX 5140"|""|"BOSTON"|"MA"|"USA"|"02205"|"617-439-3276"|"F"|"6822128.0000"|"3/11/2013 9:10:10 PM"|""|""|""|""|""|""
"04-3560389"|"JOAN K. SEXTON FOUNDATION DAVID A. RANDALL, TRUSTEE"|"941117"|"N"|"JOAN K. SEXTON FOUNDATION DAVID A. RANDALL, TRUSTEE"|"1/1/2011 12:00:00 AM"|"12/31/2011 12:00:00 AM"|""|"11 HOLBROOK STREET"|""|"FOXBOROUGH"|"MA"|"USA"|"02035"|"508-698-9282"|"F"|"823765.0000"|"3/11/2013 9:10:12 PM"|""|""|""|""|""|""
"04-3574891"|"MESSIER-COSTAIN FOUNDATION 43M135018"|"941118"|"N"|"MESSIER-COSTAIN FOUNDATION 43M135018"|"1/1/2011 12:00:00 AM"|"12/31/2011 12:00:00 AM"|""|"850 MAIN STREET, 13TH FLOOR"|""|"BRIDGEPORT"|"CT"|"USA"|"06604"|"802-660-2153"|"F"|"1094572.0000"|"3/11/2013 9:10:13 PM"|""|""|""|""|""|""
"04-3593793"|"THE BORDUI FOUNDATION"|"941119"|"N"|"THE BORDUI FOUNDATION"|"1/1/2011 12:00:00 AM"|"12/31/2011 12:00:00 AM"|""|"214 NORTH FOURTH AVENUE PO BOX 9"|""|"STURGEON BAY"|"WI"|"USA"|"54235"|"920-743-6505"|"F"|"432408.0000"|"3/11/2013 9:10:15 PM"|""|""|""|""|""|""
"04-3801691"|"EISZNER FAMILY FOUNDATION"|"941120"|"N"|"EISZNER FAMILY FOUNDATION"|"1/1/2011 12:00:00 AM"|"12/31/2011 12:00:00 AM"|"S. BART"|"ONE SOUTH DEARBORN"|""|"CHICAGO"|"IL"|"USA"|"60603"|"312-853-2075"|"F"|"2581466.0000"|"3/11/2013 9:10:17 PM"|""|""|""|""|""|""
"04-6009796"|"ERVANT SERPOSS ACCOUNT"|"941121"|"N"|"ERVANT SERPOSS ACCOUNT"|"1/1/2011 12:00:00 AM"|"12/31/2011 12:00:00 AM"|""|"P O BOX 1802"|""|"PROVIDENCE"|"RI"|"USA"|"02901-1802"|""|"T"|"2628856.0000"|"3/11/2013 9:10:18 PM"|""|""|""|""|""|""
"04-6010588"|"LILLIAN M BAKER TRUST"|"941122"|"N"|"LILLIAN M BAKER TRUST"|"1/1/2011 12:00:00 AM"|"12/31/2011 12:00:00 AM"|""|"P O BOX 1802"|""|"PROVIDENCE"|"RI"|"USA"|"02901-1802"|""|"T"|"743548.0000"|"3/11/2013 9:10:20 PM"|""|""|""|""|""|""
"04-6012597"|"JOHN E SOMERS TRUST 1264001"|"941123"|"N"|"JOHN E SOMERS TRUST 1264001"|"1/1/2011 12:00:00 AM"|"12/31/2011 12:00:00 AM"|"CAMBRIDGE TRUST CO."|"1336 MASS AVE"|""|"CAMBRIDGE"|"MA"|"USA"|"02138"|"617-441-1548"|"F"|"799786.0000"|"3/11/2013 9:10:22 PM"|""|""|""|""|""|""
"04-6014290"|"RALPH BRADLEY PRIZES"|"941124"|"N"|"RALPH BRADLEY PRIZES"|"1/1/2011 12:00:00 AM"|"12/31/2011 12:00:00 AM"|"ELEANOR GOUD"|"31 BRIGHAM WOODS"|""|"CONCORD"|"MA"|"USA"|"01742"|"978-369-7287"|"F"|"348072.0000"|"3/11/2013 9:10:23 PM"|""|""|""|""|""|""
"04-6019296"|"FOX FOR STATE OF NH"|"941125"|"N"|"FOX FOR STATE OF NH"|"1/1/2011 12:00:00 AM"|"12/31/2011 12:00:00 AM"|""|"P O BOX 1802"|""|"PROVIDENCE"|"RI"|"USA"|"02901-1802"|""|"T"|"1244259.0000"|"3/11/2013 9:10:25 PM"|""|""|""|""|""|""
"04-6020593"|"CHARLES J DRAPER FOR CHARITY"|"941126"|"N"|"CHARLES J DRAPER FOR CHARITY"|"1/1/2011 12:00:00 AM"|"12/31/2011 12:00:00 AM"|""|"P O BOX 1802"|""|"PROVIDENCE"|"RI"|"USA"|"02901-1802"|""|"T"|"1470088.0000"|"3/11/2013 9:10:27 PM"|""|""|""|""|""|""
"04-6025499"|"TTEE U/W OF MARY ALICE FITCH"|"941127"|"N"|"TTEE U/W OF MARY ALICE FITCH"|"1/1/2011 12:00:00 AM"|"12/31/2011 12:00:00 AM"|""|"P O BOX 1802"|""|"PROVIDENCE"|"RI"|"USA"|"02901-1802"|""|"F"|"3886064.0000"|"3/11/2013 9:10:28 PM"|""|""|""|""|""|""
"04-6031995"|"HENRY B. MARTIN FUND, INC."|"941128"|"N"|"HENRY B. MARTIN FUND, INC."|"1/1/2011 12:00:00 AM"|"12/31/2011 12:00:00 AM"|""|"TEN POST OFFICE SQUARE, 6TH FL"|""|"BOSTON"|"MA"|"USA"|"02109"|"617-523-7094"|"F"|"1405564.0000"|"3/11/2013 9:10:30 PM"|""|""|""|""|""|""
"04-6036697"|"STEARNS CHARITABLE TRUST"|"941129"|"N"|"STEARNS CHARITABLE TRUST"|"1/1/2011 12:00:00 AM"|"12/31/2011 12:00:00 AM"|""|"ROPES & GRAY LLP, 800 BOYLSTON STREET"|""|"BOSTON"|"MA"|"USA"|"02199-3600"|"617-951-7000"|"F"|"6494294.0000"|"3/11/2013 9:10:32 PM"|""|""|""|""|""|""
"04-6039187"|"EDWIN GINN TR-ART XV (11)"|"941130"|"N"|"EDWIN GINN TR-ART XV (11)"|"1/1/2011 12:00:00 AM"|"12/31/2011 12:00:00 AM"|""|"P.O. BOX 55806"|""|"BOSTON"|"MA"|"USA"|"02205-5806"|"617-482-5270"|"T"|"9415803.0000"|"3/11/2013 9:10:33 PM"|""|""|""|""|""|""
"04-6041597"|"HAROLD RUBENSTEIN FAMILY CHARITABLE FOUNDATION"|"941131"|"N"|"HAROLD RUBENSTEIN FAMILY CHARITABLE FOUNDATION"|"1/1/2011 12:00:00 AM"|"12/31/2011 12:00:00 AM"|""|"1824 PHELPS PLACE, NW"|"1810"|"WASHINGTON"|"DC"|"USA"|"20008-1850"|"202-332-3117"|"F"|"4333293.0000"|"3/11/2013 9:10:35 PM"|""|""|""|""|""|""
"04-6043588"|"ABRAHAM SHAPIRO CHARITY FUND"|"941132"|"N"|"ABRAHAM SHAPIRO CHARITY FUND"|"1/1/2011 12:00:00 AM"|"12/31/2011 12:00:00 AM"|"MORRIS & MORRIS"|"32 KEARNEY ROAD"|""|"NEEDHAM"|"MA"|"USA"|"02494"|"781-455-6900"|"O"|"3278998.0000"|"3/11/2013 9:10:37 PM"|""|""|""|""|""|""
"04-6044998"|"HERBERT FALES EDUCATIONAL TRUST"|"941133"|"N"|"HERBERT FALES EDUCATIONAL TRUST"|"1/1/2011 12:00:00 AM"|"12/31/2011 12:00:00 AM"|""|"P O BOX 1802"|""|"PROVIDENCE"|"RI"|"USA"|"02901-1802"|""|"F"|"792319.0000"|"3/11/2013 9:10:38 PM"|""|""|""|""|""|""
"04-6095991"|"TRUST U/WILL FRED L. ROBBINS"|"941135"|"N"|"TRUST U/WILL FRED L. ROBBINS"|"1/1/2011 12:00:00 AM"|"12/31/2011 12:00:00 AM"|""|"P O BOX 1802"|""|"PROVIDENCE"|"RI"|"USA"|"02901-1802"|"401-278-6848"|"F"|"389963.0000"|"3/11/2013 9:10:41 PM"|""|""|""|""|""|""
"04-6096792"|"ARLINE P PADELFORD SCHOLARSHIP FUND"|"941136"|"N"|"ARLINE P PADELFORD SCHOLARSHIP FUND"|"1/1/2011 12:00:00 AM"|"12/31/2011 12:00:00 AM"|""|"P O BOX 1802"|""|"PROVIDENCE"|"RI"|"USA"|"02901-1802"|"401-278-6848"|"F"|"309041.0000"|"3/11/2013 9:10:43 PM"|""|""|""|""|""|""
"04-6107991"|"ABBOT & DOROTHY H. STEVENS FOUNDATION"|"941137"|"N"|"ABBOT & DOROTHY H. STEVENS FOUNDATION"|"1/1/2011 12:00:00 AM"|"12/31/2011 12:00:00 AM"|""|"P.O. BOX 111"|""|"NORTH ANDOVER"|"MA"|"USA"|"01845"|"978-688-7211"|"F"|"20727639.0000"|"3/11/2013 9:10:45 PM"|""|""|""|""|""|""
"04-6121497"|"GEORGE WALKER MILK FUND"|"941138"|"N"|"GEORGE WALKER MILK FUND"|"1/1/2011 12:00:00 AM"|"12/31/2011 12:00:00 AM"|"ROBERT S. STODDART, TRUSTEE, AGRI MARK INC."|"P.O. BOX 5800"|""|"LAWRENCE"|"MA"|"USA"|"01842"|"617-441-4252"|"F"|"783970.0000"|"3/11/2013 9:10:46 PM"|""|""|""|""|""|""
"04-6135098"|"S ALICE KNAPP TRUST"|"941139"|"N"|"S ALICE KNAPP TRUST"|"1/1/2011 12:00:00 AM"|"12/31/2011 12:00:00 AM"|""|"P O BOX 1802"|""|"PROVIDENCE"|"RI"|"USA"|"02901-1802"|""|"T"|"2376503.0000"|"3/11/2013 9:10:48 PM"|""|""|""|""|""|""
"04-6155695"|"MARY ALICE ARAKELIAN FOUNDATION"|"941140"|"N"|"MARY ALICE ARAKELIAN FOUNDATION"|"1/1/2011 12:00:00 AM"|"12/31/2011 12:00:00 AM"|""|"P O BOX 1802"|""|"PROVIDENCE"|"RI"|"USA"|"02901-1802"|""|"F"|"6236936.0000"|"3/11/2013 9:10:50 PM"|""|""|""|""|""|""
"04-6183688"|"E MAURAN & J BEALS CHARITABLE TRUST"|"941141"|"N"|"E MAURAN & J BEALS CHARITABLE TRUST"|"1/1/2011 12:00:00 AM"|"12/31/2011 12:00:00 AM"|"CAPITAL FORMATION GROUP"|"34 WASHINGTON STREET"|""|"WELLESLEY HILLS"|"MA"|"USA"|"02481"|"781-237-0123"|"F"|"492912.0000"|"3/11/2013 9:10:51 PM"|""|""|""|""|""|""
"04-6249689"|"FREDERICK LOBL FOR CHARITIES"|"941142"|"N"|"FREDERICK LOBL FOR CHARITIES"|"1/1/2011 12:00:00 AM"|"12/31/2011 12:00:00 AM"|""|"P O BOX 1802"|""|"PROVIDENCE"|"RI"|"USA"|"02901-1802"|""|"T"|"762903.0000"|"3/11/2013 9:10:53 PM"|""|""|""|""|""|""
"04-6348990"|"TRUST UNDER THE WILL OF LUKE A. WOOD"|"941143"|"N"|"TRUST UNDER THE WILL OF LUKE A. WOOD"|"1/1/2011 12:00:00 AM"|"12/31/2011 12:00:00 AM"|"TYLER & REYNOLDS"|"77 SUMMER ST."|"6TH FL"|"BOSTON"|"MA"|"USA"|"02110"|"617-695-9799"|"F"|"543927.0000"|"3/11/2013 9:10:55 PM"|""|""|""|""|""|""
"04-6529891"|"NAKEPEACE, ISAB CHARITABLE TRUST 422129015"|"941145"|"N"|"NAKEPEACE, ISAB CHARITABLE TRUST 422129015"|"1/1/2011 12:00:00 AM"|"12/31/2011 12:00:00 AM"|""|"PO BOX 1330"|""|"HYANNIS"|"MA"|"USA"|"02601"|""|"F"|"6874769.0000"|"3/11/2013 9:10:58 PM"|""|""|""|""|""|""
"04-6533896"|"Elizabeth Whittemore Charitable Trust"|"941146"|"N"|"Elizabeth Whittemore Charitable Trust"|"1/1/2011 12:00:00 AM"|"12/31/2011 12:00:00 AM"|"Erb and Erb"|"P. O. Box 7615"|""|"Fitchburg"|"MA"|"USA"|"01420-0024"|"978-343-4856"|"F"|"4339800.0000"|"3/11/2013 9:11:00 PM"|""|""|""|""|""|""
"04-6555493"|"VERGOBBI ANGELO TR-SCHOLAR'PS"|"941148"|"N"|"VERGOBBI ANGELO TR-SCHOLAR'PS"|"1/1/2011 12:00:00 AM"|"12/31/2011 12:00:00 AM"|""|"P O BOX 1802"|""|"PROVIDENCE"|"RI"|"USA"|"02901-1802"|""|"F"|"349670.0000"|"3/11/2013 9:11:03 PM"|""|""|""|""|""|""
"04-6617090"|"LUCIA P. FULTON FOUNDATION"|"941150"|"N"|"LUCIA P. FULTON FOUNDATION"|"1/1/2011 12:00:00 AM"|"12/31/2011 12:00:00 AM"|""|"ACADIA MANAGEMENT, 111 DEVONSHIRE"|"620"|"BOSTON"|"MA"|"USA"|"02109"|"617-426-5755"|"F"|"2868721.0000"|"3/11/2013 9:11:06 PM"|""|""|""|""|""|""
"04-6626994"|"LIBRA FOUNDATION"|"941151"|"N"|"LIBRA FOUNDATION"|"1/1/2011 12:00:00 AM"|"12/31/2011 12:00:00 AM"|""|"THREE CANAL PLAZA, PO BOX 17516"|""|"PORTLAND"|"ME"|"USA"|"04112-8516"|"207-879-6280"|"F"|"97524895.0000"|"3/11/2013 9:11:08 PM"|""|""|""|""|""|""
"04-6796689"|"JACBEL FOUNDATION"|"941153"|"N"|"JACBEL FOUNDATION"|"1/1/2011 12:00:00 AM"|"12/31/2011 12:00:00 AM"|""|"P O BOX 1802"|""|"PROVIDENCE"|"RI"|"USA"|"02901-1802"|""|"F"|"4112700.0000"|"3/11/2013 9:11:11 PM"|""|""|""|""|""|""
"04-6880299"|"THE HIGH POINTE FOUNDATION"|"941154"|"N"|"THE HIGH POINTE FOUNDATION"|"1/1/2011 12:00:00 AM"|"12/31/2011 12:00:00 AM"|""|"P. O. BOX 1230"|""|"PLAISTOW"|"NH"|"USA"|"03865-1230"|"978-372-4012"|"F"|"2217897.0000"|"3/11/2013 9:11:13 PM"|""|""|""|""|""|""
"04-6905190"|"THE WATER COVE CHARITABLE FOUNDATION"|"941155"|"N"|"THE WATER COVE CHARITABLE FOUNDATION"|"1/1/2011 12:00:00 AM"|"12/31/2011 12:00:00 AM"|"AYCO COMPANY LP-NTG"|"P.O. BOX 15014"|""|"ALBANY"|"NY"|"USA"|"12212-5014"|"518-640-5000"|"F"|"3740518.0000"|"3/11/2013 9:11:14 PM"|""|""|""|""|""|""
"03-6048694"|"DOROTHY HASTINGS STUDENT AID FUND 430026013"|"942150"|"N"|"DOROTHY HASTINGS STUDENT AID FUND 430026013"|"4/1/2011 12:00:00 AM"|"3/31/2012 12:00:00 AM"|""|"PO BOX 477"|""|"CONCORD"|"NH"|"USA"|"03302"|"802-860-5553"|"F"|"426679.0000"|"3/11/2013 10:05:21 PM"|""|""|""|""|""|""
"01-0548602"|"SHEPARD'S CORNERSTONE FOUNDATION, INC."|"942161"|"N"|"SHEPARD'S CORNERSTONE FOUNDATION, INC."|"10/1/2010 12:00:00 AM"|"9/30/2011 12:00:00 AM"|"L. WOLLIN"|"89 FIFTH AVENUE"|"400"|"NEW YORK"|"NY"|"USA"|"10003-3020"|"212-785-2610"|"F"|"779703.0000"|"3/11/2013 9:08:13 PM"|""|""|""|""|""|""
"04-3183600"|"Stride Rite Philanthropic Foundation, Inc."|"942162"|"N"|"Stride Rite Philanthropic Foundation, Inc."|"10/1/2010 12:00:00 AM"|"9/30/2011 12:00:00 AM"|""|"191 Spring Street"|""|"Lexington"|"MA"|"USA"|"02421"|"617-824-6000"|"F"|"985371.0000"|"3/11/2013 9:08:14 PM"|""|""|""|""|""|""
"03-0277007"|"RAYMOND & LORRAINE LETOURNEAU EDUCATIONAL FOUNDATION"|"942196"|"N"|"RAYMOND & LORRAINE LETOURNEAU EDUCATIONAL FOUNDATION"|"1/1/2011 12:00:00 AM"|"12/31/2011 12:00:00 AM"|""|"292 SOUTH STREET"|""|"PORTSMOUTH"|"NH"|"USA"|"03801"|"603-430-6858"|"F"|"233878.0000"|"3/11/2013 10:05:36 PM"|""|""|""|""|""|""
