"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"INVESTMENTS_GOV_FAIR_MARKET"|"INVESTMENTS_STOCKS_FAIR_MARKET"|"INVESTMENTS_BONDS_FAIR_MARKET"|"INVESTMENTS_DEPRECIATION_FAIR_MARKET"|"INVESTMENTS_LOANS_FAIR_MARKET"|"INVESTMENTS_OTHER_FAIR_MARKET"|"LAND_DEPRECIATION_FAIR_MARKET"|"OTHER_ASSETS_FAIR_MARKET"|"TOTAL_ASSETS_BOOK"|"TOTAL_ASSETS_FAIR_MARKET"|"TOTAL_LIABILITIES"|"CASH_NONINT"|"SAV_TEMPCASH"
"01-0643285"|"MWH CARING FOUNDATION, INC."|"937906"|""|""|""|""|""|""|""|""|"117752.0000"|"117752.0000"|"0.0000"|"117752.0000"|""
"01-0724780"|"Foundation For Hope"|"937907"|""|""|""|""|""|""|"100.0000"|""|"16139.0000"|"16239.0000"|"5900.0000"|"8826.0000"|""
"01-0758677"|"THE WILLIAM AND KARIN BANKS FOUNDATION, INC"|"937908"|"4207118.0000"|"1809657.0000"|""|""|""|"0.0000"|""|""|"5941502.0000"|"6016775.0000"|"0.0000"|""|""
"01-6174485"|"PALMER WALBRIDGE FOUNDATION"|"937909"|"678041.0000"|"1760499.0000"|"504049.0000"|"0.0000"|""|"0.0000"|"0.0000"|"0.0000"|"2772087.0000"|"3047775.0000"|"0.0000"|"832.0000"|"104354.0000"
"02-6013780"|"WILLIAM W. TREAT FOUNDATION"|"937910"|""|"1291749.0000"|""|""|""|""|""|""|"1185261.0000"|"1304716.0000"|"0.0000"|"12707.0000"|""
"02-6123078"|"GRUNBECK JENNIFER & ROBERT FAM FOUND ROBERT &"|"937911"|""|""|""|""|""|""|""|""|"7374.0000"|"7374.0000"|""|""|"7374.0000"
"02-6155676"|"VINTON FAMILY FOUNDATION"|"937912"|""|""|""|""|""|""|""|""|"29749.0000"|"29749.0000"|"0.0000"|"29749.0000"|""
"04-6012782"|"HURDLE HILL FOUNDATION"|"937914"|""|"285975.0000"|""|""|""|""|""|""|"275688.0000"|"316064.0000"|"0.0000"|""|"30089.0000"
"04-6013075"|"GEORGE H MORRISON TRUST U/WILL FBO MORRISON"|"937915"|"312223.0000"|"996383.0000"|"286089.0000"|""|""|""|""|""|"1566614.0000"|"1645012.0000"|""|""|"50317.0000"
"04-6028076"|"CO-TR U/A HEALD FOUNDATION"|"937916"|""|"130000.0000"|""|""|""|""|""|""|"140096.0000"|"140096.0000"|""|"1015.0000"|"9081.0000"
"04-6584378"|"RUTH COVO FAMILY FOUNDATION"|"937917"|""|"1133775.0000"|""|""|""|""|""|""|"1112288.0000"|"1265473.0000"|""|""|"131698.0000"
"04-6744975"|"KERSHAW FOUNDATION CHARITABLE TRUST"|"937918"|""|""|""|""|""|""|""|""|"17900.0000"|"17900.0000"|"0.0000"|"17900.0000"|""
"04-6044784"|"ROSENFELD MAX C TR U/WILL"|"938803"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|""|"862048.0000"|"0.0000"|"0.0000"|"727348.0000"|"949408.0000"|"0.0000"|""|"87360.0000"
"01-0442078"|"MORTON-KELLY CHARITABLE TRUST"|"938831"|"153399.0000"|"3186662.0000"|"375151.0000"|""|""|""|""|""|"3423422.0000"|"3760002.0000"|"0.0000"|"44790.0000"|""
"01-0496879"|"MARGARET E BURNHAM CHARITABLE TRUST"|"938832"|""|"5941274.0000"|"53645.0000"|""|""|"276594.0000"|""|""|"5525542.0000"|"6185622.0000"|""|""|"-85891.0000"
"01-0693374"|"THE RONALD E. & ELEANOR J. HALL FOUNDATION"|"938833"|"40403.0000"|"772639.0000"|"14810.0000"|""|""|"155148.0000"|""|""|"822577.0000"|"1011403.0000"|"0.0000"|"-3.0000"|"28406.0000"
"01-0744075"|"Networks, Electronic Commerce and Telecommunications Institute"|"938834"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"272472.0000"|"272472.0000"|"0.0000"|"0.0000"|"272472.0000"
"01-6008575"|"Z A MERSEREAU TRUST U/W"|"938836"|"342122.0000"|"835122.0000"|"156777.0000"|""|""|""|""|""|"1239157.0000"|"1370359.0000"|"0.0000"|"77.0000"|"36261.0000"
"01-6019476"|"ROSAMOND THAXTER FOUNDATION"|"938837"|""|"869662.0000"|""|""|""|"84258.0000"|""|""|"928053.0000"|"1108518.0000"|""|""|"154598.0000"
"02-0366576"|"BLUE HILLS FOUNDATION, INC."|"938839"|""|""|""|"5680310.0000"|""|"201500.0000"|""|""|"5975558.0000"|"5975558.0000"|"0.0000"|"93748.0000"|""
"02-0500977"|"PUMPKIN HILL FOUNDATION"|"938840"|""|"615804.0000"|"168962.0000"|""|""|""|""|""|"811071.0000"|"849105.0000"|""|""|"64339.0000"
"02-6003982"|"HELEN BLAKE GILE TR"|"938841"|""|"694098.0000"|""|""|""|"1498716.0000"|""|""|"2094554.0000"|"2224214.0000"|""|""|"31400.0000"
"02-6074479"|"THE BUSI SCHOLARSHIP FUND 362665010"|"938842"|""|"360798.0000"|"371764.0000"|""|""|""|""|""|"747983.0000"|"753733.0000"|""|""|"21171.0000"
"03-0466977"|"HEALY FOUNDATION"|"938843"|""|"15397135.0000"|""|""|""|""|""|""|"9966667.0000"|"15543167.0000"|"0.0000"|""|"146032.0000"
"03-0514974"|"THE WARREN & BERNICE HENSEL FOUNDATION"|"938844"|""|"377346.0000"|""|""|""|""|""|""|"452526.0000"|"407094.0000"|"0.0000"|"29748.0000"|""
"03-0536676"|"THE V & L MARX FOUNDATION"|"938845"|""|"38185844.0000"|""|""|""|"20038748.0000"|""|"275261.0000"|"78712014.0000"|"84430421.0000"|"23860.0000"|""|"19130568.0000"
"04-1841679"|"GILLESPIE FAMILY FDN I/AG 20 -102301132700"|"938846"|""|""|""|""|""|"784891.0000"|""|""|"658513.0000"|"784891.0000"|""|""|""
"04-2981078"|"THE BARRON FAMILY CHARITABLE FOUNDATION"|"938847"|"862048.0000"|"1297586.0000"|"100730.0000"|""|""|""|""|""|"1988455.0000"|"2364085.0000"|"0.0000"|"511.0000"|"103210.0000"
"04-3293081"|"GERALD R JORDAN FOUNDATION"|"938848"|"0.0000"|"9624397.0000"|""|""|""|""|""|""|"25626052.0000"|"25889792.0000"|"0.0000"|"16265395.0000"|""
"04-3344681"|"MAZAR FAMILY CHARITABLE FOUNDATION TRUST"|"938849"|""|"7586418.0000"|""|""|""|"821861.0000"|""|""|"2120545.0000"|"9419285.0000"|"0.0000"|""|"1011006.0000"
"04-3359381"|"Courtney and Victoria Buffum Family Foundation"|"938850"|""|"661473.0000"|"127477.0000"|""|""|""|""|""|"927326.0000"|"808553.0000"|""|"0.0000"|"19603.0000"
"04-3425084"|"PROKOPIS CHARITABLE FOUNDATION"|"938851"|"21618.0000"|"348157.0000"|""|""|""|""|""|""|"391106.0000"|"441238.0000"|"0.0000"|""|"71463.0000"
"04-3469581"|"BAIRD, TRUSTEES"|"938852"|"1228952.0000"|"2335354.0000"|""|""|""|""|""|""|"3625254.0000"|"3652282.0000"|"0.0000"|""|"87006.0000"
"04-3506575"|"JANCI FOUNDATION"|"938853"|""|""|""|""|""|""|""|""|"1298.0000"|"1298.0000"|"0.0000"|""|"1298.0000"
"04-6019085"|"ETHAN TAYLOR - BENEVOLENT FUND"|"938855"|""|"167578.0000"|""|""|""|""|""|""|"181387.0000"|"173611.0000"|""|""|"6033.0000"
"04-6019184"|"GRACE NOYES B/O 7 CHARITIES"|"938856"|""|"1715156.0000"|""|""|""|""|""|""|"1863394.0000"|"1766292.0000"|""|"-26909.0000"|"78045.0000"
"04-6019483"|"DOROTHY WHITNEY CHARITABLE TRUST"|"938857"|""|"1788830.0000"|""|""|""|""|""|""|"1875524.0000"|"1843766.0000"|""|""|"54936.0000"
"04-6044077"|"Shelburne Falla Community House, Inc."|"938858"|"19236.0000"|"747267.0000"|"18874.0000"|""|""|""|""|""|"857562.0000"|"857562.0000"|"814909.0000"|""|"72185.0000"
"04-6315174"|"JULIAN DE CORDOVA U/W-EQUITY"|"938861"|""|"6427708.0000"|""|""|""|""|""|""|"6465144.0000"|"6547249.0000"|""|""|"119541.0000"
"04-6455276"|"SANDLER H FBO VARIOUS CHARITIES"|"938862"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|""|"1399035.0000"|"0.0000"|"0.0000"|"1351909.0000"|"1441378.0000"|"0.0000"|""|"42343.0000"
"04-6635075"|"F. LEO MURRAY & IRENE D. MURRAY SCHOLARSHIP FUND"|"938863"|""|""|"29862.0000"|""|""|""|""|""|"342934.0000"|"343021.0000"|"0.0000"|""|"313159.0000"
"04-6737675"|"THE MARNEEGIL CHARITABLE FDN"|"938864"|"53231.0000"|"989959.0000"|""|""|""|""|""|""|"794042.0000"|"1077636.0000"|""|""|"34446.0000"
"04-6744379"|"DAVID P. WHEATLAND CHARITABLE TRUST"|"938865"|"1019715.0000"|"6385435.0000"|""|""|""|""|""|""|"6137091.0000"|"8416892.0000"|"0.0000"|"209.0000"|"1011533.0000"
"04-6779682"|"RUTH C M MASSON FD FOR CHARLTON"|"938866"|""|"11838408.0000"|""|""|""|""|""|""|"11480235.0000"|"12080177.0000"|""|""|"241769.0000"
"02-6005885"|"THE BARKER FOUNDATION INC."|"939394"|""|"4930766.0000"|""|""|""|""|""|""|"1707659.0000"|"5473708.0000"|"0.0000"|"24064.0000"|"518878.0000"
"04-3294086"|"THE KRUPP FOUNDATION"|"939395"|""|""|""|""|""|"3478005.0000"|""|""|"3521698.0000"|"3478005.0000"|"0.0000"|""|""
"04-2944189"|"McLane/Harper Charitable Foundation Inc"|"941015"|""|"27616828.0000"|""|""|""|"3411216.0000"|""|""|"16153264.0000"|"33740853.0000"|"16153264.0000"|""|"2712809.0000"
"01-0483892"|"Hannaford Charitable Foundation"|"941083"|""|""|""|""|""|"1343928.0000"|""|""|"1269134.0000"|"1415002.0000"|"1300000.0000"|"71074.0000"|""
"01-0525593"|"BHBT & JK PETTY TTEES RICHARD S. PETTY CHAR.F DN"|"941084"|""|"1012106.0000"|""|"199500.0000"|""|""|""|""|"1081861.0000"|"1211606.0000"|""|""|""
"01-0547392"|"Kennebunk Savings Bank Foundation"|"941085"|"105557.0000"|"1944044.0000"|"642424.0000"|""|""|""|""|""|"3471173.0000"|"3619356.0000"|""|"42341.0000"|"884990.0000"
"01-0553690"|"THURBER FAMILY FOUNDATION, INC."|"941086"|""|""|""|""|""|"985457.0000"|""|""|"1060036.0000"|"990675.0000"|"0.0000"|"5218.0000"|""
"01-0647596"|"The Pomeroy Family Foundation"|"941087"|"0.0000"|"1790929.0000"|"0.0000"|"0.0000"|""|"0.0000"|"0.0000"|"0.0000"|"1991951.0000"|"1860080.0000"|"0.0000"|"52284.0000"|"16867.0000"
"01-0676696"|"EVERETT TRUST FBO CAYUGA CO. BANK OF AMERICA, NA"|"941088"|""|"490148.0000"|""|""|""|""|""|""|"548140.0000"|"508762.0000"|""|""|"18614.0000"
"01-6028898"|"SUMNER O. HANCOCK SCHOLARSHIP FUND"|"941089"|""|"92343.0000"|""|""|""|""|""|""|"102289.0000"|"104073.0000"|"0.0000"|""|"11730.0000"
"02-0762991"|"JAMES I. PERKINS FAMILY FOUNDATION"|"941090"|""|""|""|""|"2777984.0000"|""|""|""|"5519853.0000"|"5644895.0000"|"0.0000"|""|"2866911.0000"
"02-6004790"|"U/W CLARA SALTUS 360145015"|"941091"|"1714919.0000"|"3801458.0000"|"1168096.0000"|""|""|""|""|""|"6097752.0000"|"6840571.0000"|""|""|"156098.0000"
"02-6006598"|"CONCORD FEMALE CHARITABLE SOCIETY 642093017"|"941092"|"267373.0000"|"325800.0000"|"245309.0000"|""|""|""|""|""|"841987.0000"|"871852.0000"|""|""|"33370.0000"
"02-6050390"|"OLIN J. COCHRAN TR U/W 361042013"|"941093"|"707693.0000"|"2452405.0000"|"667196.0000"|""|""|""|""|""|"3715595.0000"|"3847198.0000"|""|""|"19904.0000"
"02-6124799"|"The Bitty Foundation"|"941094"|""|""|""|""|""|""|""|""|"0.0000"|"1899110.0000"|"0.0000"|"1899110.0000"|""
"02-6125090"|"JOHN & MARGARET BRENNAN TRUST"|"941095"|"127574.0000"|"866581.0000"|""|""|""|"271991.0000"|""|""|"1204993.0000"|"1275863.0000"|""|""|"9717.0000"
"03-6020099"|"PROCTOR M FBO RESIDENTS MASTER 31V120007"|"941097"|"1073382.0000"|"2081371.0000"|"379273.0000"|""|""|""|""|""|"3237573.0000"|"3643251.0000"|""|""|"109225.0000"
"03-6064491"|"WILLIAM & GLENNA JAMES SCHOLARSHIP FUND 430053017"|"941098"|""|"304580.0000"|"131951.0000"|""|""|""|""|""|"486551.0000"|"470706.0000"|""|""|"34175.0000"
"03-6075387"|"THE MCCARTHY FAMILY FOUNDATION"|"941099"|""|"1155822.0000"|"112109.0000"|""|""|"61048.0000"|""|""|"1414949.0000"|"1449380.0000"|"0.0000"|""|"120401.0000"
"03-6088692"|"S. L. GIMBEL FOUNDATION"|"941100"|""|"84309085.0000"|""|""|""|""|""|""|"84701693.0000"|"84701691.0000"|"0.0000"|""|"392606.0000"
"04-2236996"|"NATHANIEL & ELIZABETH P. STEVENS FOUNDATION"|"941101"|"1265923.0000"|"12822321.0000"|"1984817.0000"|"17.0000"|""|""|""|""|"14924316.0000"|"16251494.0000"|"0.0000"|"44251.0000"|"134165.0000"
"04-2642387"|"JOHN T. MCGILLICUDDY CHARITABLE TRUST LINDA S. DALBY ET AL, TRUSTEES"|"941102"|"207823.0000"|"1519806.0000"|""|""|""|"245940.0000"|""|""|"1233276.0000"|"2129450.0000"|"0.0000"|"784.0000"|"155097.0000"
"04-2680399"|"RESTORATION HOUSING CORPORATION"|"941103"|""|""|""|""|""|""|"4481498.0000"|"820444.0000"|"5670538.0000"|"5670538.0000"|"3352526.0000"|"105714.0000"|"113403.0000"
"04-2748787"|"KENDRICK FOUNDATION"|"941104"|""|"1793949.0000"|""|""|""|""|""|""|"1623102.0000"|"1845803.0000"|""|""|"51854.0000"
"04-2946393"|"Sprague Foundation Inc."|"941106"|"2543997.0000"|""|""|""|""|""|""|""|"2543997.0000"|"2543997.0000"|"0.0000"|"0.0000"|""
"04-2991588"|"ALFRED CAMPANELLI CHARITABLE FOUNDATION"|"941107"|""|""|""|""|""|""|""|""|"68444.0000"|"68444.0000"|""|""|"68444.0000"
"04-3005593"|"FRASER FAMILY FOUNDATION, INC."|"941108"|""|""|""|""|""|"1515318.0000"|""|""|"2046102.0000"|"1974559.0000"|"0.0000"|""|"459241.0000"
"04-3195994"|"HILDRETH STEWART CHARITABLE FOUNDATION"|"941109"|""|""|""|""|""|"10384217.0000"|"3554.0000"|"16785.0000"|"10308802.0000"|"10594705.0000"|"0.0000"|""|"190149.0000"
"04-3211993"|"THE NYPRO FOUNDATION, INC."|"941110"|""|"2669736.0000"|"976146.0000"|""|""|"90868.0000"|""|"152903.0000"|"3965254.0000"|"3980022.0000"|"1590.0000"|""|"90369.0000"
"04-3371592"|"EASTHAMPTON SAVINGS FOUNDATION, INC."|"941112"|""|"868942.0000"|""|""|""|""|""|""|"1675863.0000"|"1675863.0000"|"0.0000"|"22136.0000"|"784785.0000"
"04-3526188"|"CURVEY FAMILY FOUNDATION"|"941114"|""|"1081263.0000"|"1683333.0000"|""|""|""|"517900.0000"|""|"3062544.0000"|"3408277.0000"|"0.0000"|"-1.0000"|"125782.0000"
"04-3551989"|"Barbara Delinsky Charitable Foundation"|"941115"|""|""|""|""|""|""|""|""|"90597.0000"|"90597.0000"|""|""|"90597.0000"
"04-3557888"|"FELICIA M. DELORENZO SCHOLARSHIP FOUNDATION, INC. #0741869"|"941116"|"1668043.0000"|"4070756.0000"|"889699.0000"|""|""|""|""|""|"5790306.0000"|"6822128.0000"|"0.0000"|"500.0000"|"193130.0000"
"04-3560389"|"JOAN K. SEXTON FOUNDATION DAVID A. RANDALL, TRUSTEE"|"941117"|""|"791128.0000"|""|""|""|""|""|""|"834639.0000"|"823765.0000"|"0.0000"|"-1.0000"|"32638.0000"
"04-3574891"|"MESSIER-COSTAIN FOUNDATION 43M135018"|"941118"|"293735.0000"|"370559.0000"|""|""|""|"364693.0000"|""|""|"1064779.0000"|"1094572.0000"|""|""|"65585.0000"
"04-3593793"|"THE BORDUI FOUNDATION"|"941119"|"68525.0000"|"156589.0000"|"77801.0000"|""|""|"59171.0000"|""|""|"432408.0000"|"432408.0000"|"0.0000"|""|"70322.0000"
"04-3801691"|"EISZNER FAMILY FOUNDATION"|"941120"|""|""|""|""|""|"2538679.0000"|""|""|"2608273.0000"|"2581466.0000"|"0.0000"|""|"42787.0000"
"04-6009796"|"ERVANT SERPOSS ACCOUNT"|"941121"|""|"2518770.0000"|""|""|""|""|""|""|"2601904.0000"|"2628856.0000"|""|""|"110086.0000"
"04-6010588"|"LILLIAN M BAKER TRUST"|"941122"|""|"716063.0000"|""|""|""|""|""|""|"771206.0000"|"743548.0000"|""|""|"27485.0000"
"04-6012597"|"JOHN E SOMERS TRUST 1264001"|"941123"|"81692.0000"|"414131.0000"|"231125.0000"|""|""|""|""|""|"737516.0000"|"799786.0000"|""|"38.0000"|"72800.0000"
"04-6014290"|"RALPH BRADLEY PRIZES"|"941124"|""|"319218.0000"|""|""|""|""|""|""|"149657.0000"|"348072.0000"|"0.0000"|"28854.0000"|""
"04-6019296"|"FOX FOR STATE OF NH"|"941125"|""|"1225026.0000"|""|""|""|""|""|""|"1293775.0000"|"1244259.0000"|""|""|"19233.0000"
"04-6020593"|"CHARLES J DRAPER FOR CHARITY"|"941126"|""|"1430428.0000"|""|""|""|""|""|""|"1445000.0000"|"1470088.0000"|""|""|"39660.0000"
"04-6025499"|"TTEE U/W OF MARY ALICE FITCH"|"941127"|""|"3818888.0000"|""|""|""|""|""|""|"4080292.0000"|"3886064.0000"|""|""|"67176.0000"
"04-6031995"|"HENRY B. MARTIN FUND, INC."|"941128"|"35060.0000"|"894637.0000"|"141411.0000"|""|""|"125538.0000"|""|""|"1198508.0000"|"1405564.0000"|"0.0000"|"7335.0000"|"201583.0000"
"04-6036697"|"STEARNS CHARITABLE TRUST"|"941129"|""|"1908557.0000"|""|""|""|"4448200.0000"|""|""|"6188672.0000"|"6494294.0000"|"0.0000"|"83952.0000"|"53585.0000"
"04-6039187"|"EDWIN GINN TR-ART XV (11)"|"941130"|"2634660.0000"|"6233950.0000"|"437189.0000"|""|""|""|""|""|"6635683.0000"|"9415803.0000"|""|""|"110004.0000"
"04-6041597"|"HAROLD RUBENSTEIN FAMILY CHARITABLE FOUNDATION"|"941131"|""|"3630159.0000"|"0.0000"|""|""|"275000.0000"|""|""|"4190416.0000"|"4333293.0000"|"0.0000"|"2233.0000"|"425901.0000"
"04-6043588"|"ABRAHAM SHAPIRO CHARITY FUND"|"941132"|""|"2644105.0000"|"227005.0000"|""|""|""|""|""|"2993460.0000"|"3278998.0000"|"0.0000"|"9088.0000"|"398800.0000"
"04-6044998"|"HERBERT FALES EDUCATIONAL TRUST"|"941133"|""|"764511.0000"|""|""|""|""|""|""|"780113.0000"|"792319.0000"|""|""|"27808.0000"
"04-6095991"|"TRUST U/WILL FRED L. ROBBINS"|"941135"|""|"378195.0000"|""|""|""|""|""|""|"382887.0000"|"389963.0000"|""|""|"11768.0000"
"04-6096792"|"ARLINE P PADELFORD SCHOLARSHIP FUND"|"941136"|""|"293442.0000"|""|""|""|""|""|""|"311265.0000"|"309041.0000"|""|""|"15599.0000"
"04-6107991"|"ABBOT & DOROTHY H. STEVENS FOUNDATION"|"941137"|"641210.0000"|"16526376.0000"|"3336899.0000"|""|""|""|""|""|"19396040.0000"|"20727639.0000"|"0.0000"|"16789.0000"|"206365.0000"
"04-6121497"|"GEORGE WALKER MILK FUND"|"941138"|"43449.0000"|"555662.0000"|"178881.0000"|""|""|""|""|""|"713059.0000"|"783970.0000"|""|""|"5978.0000"
"04-6135098"|"S ALICE KNAPP TRUST"|"941139"|"444082.0000"|"1897927.0000"|""|""|""|""|""|""|"2155803.0000"|"2376503.0000"|""|""|"34494.0000"
"04-6155695"|"MARY ALICE ARAKELIAN FOUNDATION"|"941140"|"698149.0000"|"4762174.0000"|"651193.0000"|""|""|""|""|""|"5431552.0000"|"6236936.0000"|""|""|"125420.0000"
"04-6183688"|"E MAURAN & J BEALS CHARITABLE TRUST"|"941141"|"492911.0000"|""|""|""|""|""|""|""|"461972.0000"|"492912.0000"|"0.0000"|"1.0000"|""
"04-6249689"|"FREDERICK LOBL FOR CHARITIES"|"941142"|""|"756844.0000"|""|""|""|""|""|""|"772965.0000"|"762903.0000"|""|""|"6059.0000"
"04-6348990"|"TRUST UNDER THE WILL OF LUKE A. WOOD"|"941143"|""|"445651.0000"|""|""|""|""|""|""|"209251.0000"|"543927.0000"|"0.0000"|"201.0000"|"98075.0000"
"04-6529891"|"NAKEPEACE, ISAB CHARITABLE TRUST 422129015"|"941145"|""|"6859743.0000"|""|""|""|""|""|""|"6564552.0000"|"6874769.0000"|""|""|"15026.0000"
"04-6533896"|"Elizabeth Whittemore Charitable Trust"|"941146"|"227095.0000"|"2578154.0000"|"1097351.0000"|""|""|"347302.0000"|""|""|"2557678.0000"|"4339800.0000"|"0.0000"|"23994.0000"|"65904.0000"
"04-6555493"|"VERGOBBI ANGELO TR-SCHOLAR'PS"|"941148"|""|""|""|""|""|"337970.0000"|""|""|"363347.0000"|"349670.0000"|""|""|"11700.0000"
"04-6617090"|"LUCIA P. FULTON FOUNDATION"|"941150"|"259398.0000"|"2250505.0000"|""|""|""|""|""|""|"1926981.0000"|"2868721.0000"|"0.0000"|"203.0000"|"358615.0000"
"04-6626994"|"LIBRA FOUNDATION"|"941151"|"9472202.0000"|"28991578.0000"|"4920275.0000"|""|""|"35385362.0000"|"209777.0000"|"16667189.0000"|"146547075.0000"|"97524895.0000"|"1145750.0000"|"74264.0000"|"1733208.0000"
"04-6796689"|"JACBEL FOUNDATION"|"941153"|"106394.0000"|"3691548.0000"|"189532.0000"|""|""|""|""|""|"3604480.0000"|"4112700.0000"|""|""|"125226.0000"
"04-6880299"|"THE HIGH POINTE FOUNDATION"|"941154"|""|"1964159.0000"|""|""|""|""|""|""|"1053145.0000"|"2217897.0000"|"0.0000"|""|"253738.0000"
"04-6905190"|"THE WATER COVE CHARITABLE FOUNDATION"|"941155"|""|"2624660.0000"|""|""|""|""|""|""|"3378423.0000"|"3740518.0000"|"0.0000"|"1115858.0000"|""
"03-6048694"|"DOROTHY HASTINGS STUDENT AID FUND 430026013"|"942150"|""|"231162.0000"|"166911.0000"|""|""|""|""|""|"418145.0000"|"426679.0000"|""|""|"28606.0000"
"01-0548602"|"SHEPARD'S CORNERSTONE FOUNDATION, INC."|"942161"|"0.0000"|"341765.0000"|"0.0000"|"0.0000"|""|"120000.0000"|"50000.0000"|"75000.0000"|"691635.0000"|"779703.0000"|"0.0000"|""|"192938.0000"
"04-3183600"|"Stride Rite Philanthropic Foundation, Inc."|"942162"|""|""|""|""|""|""|""|""|"985371.0000"|"985371.0000"|"-592.0000"|"975705.0000"|"9666.0000"
"03-0277007"|"RAYMOND & LORRAINE LETOURNEAU EDUCATIONAL FOUNDATION"|"942196"|""|"156690.0000"|""|""|""|""|""|""|"232268.0000"|"233878.0000"|"0.0000"|"102.0000"|"77086.0000"
"04-3109508"|"FRANK R. AND ELIZABETH SIMONI FOUNDATION INC."|"942197"|"444662.0000"|""|"840318.0000"|""|""|"1196384.0000"|""|""|"2872202.0000"|"2872202.0000"|"0.0000"|""|"390087.0000"
"04-3396602"|"NORMAN M SHACK CHARITABLE FOUNDATION"|"942198"|""|"304184.0000"|""|""|""|""|""|""|"249288.0000"|"310563.0000"|""|"6379.0000"|""
"04-3541108"|"EPKER-SINHA FOUNDATION"|"942199"|""|"23959.0000"|""|""|""|"9673819.0000"|""|""|"9734065.0000"|"9734065.0000"|"0.0000"|""|"36287.0000"
"04-6027800"|"TAMARACK FOUNDATION"|"942200"|""|"245101.0000"|""|""|""|"566157.0000"|""|""|"779398.0000"|"815066.0000"|"0.0000"|""|"3808.0000"
"04-6605802"|"THE DAVID AND NATALIE LEDERMAN FOUNDATION"|"942201"|""|"7503.0000"|""|""|""|""|""|""|"1192843.0000"|"1192843.0000"|"0.0000"|""|"1185340.0000"
"04-6691809"|"VAN SLOUN FOUNDATION"|"942202"|"507795.0000"|"5628117.0000"|"214754.0000"|""|""|""|""|""|"7767893.0000"|"7767893.0000"|"0.0000"|"2376.0000"|"1414851.0000"
"04-6904109"|"THE BRESLOW FAMILY FOUNDATION TRUST"|"942203"|""|"1019168.0000"|""|""|""|""|""|""|"1027735.0000"|"1027735.0000"|"0.0000"|""|"8567.0000"
"04-3190300"|"TUCO DR ANTON FRIED MEM'L TRUST"|"942411"|"135797.0000"|"1100026.0000"|"59376.0000"|""|""|""|""|""|"1350029.0000"|"1356170.0000"|""|""|"60971.0000"
"04-6118587"|"CHARLES B & LOUIS R PERINI FAMILY"|"944684"|""|"1196745.0000"|""|""|""|""|""|""|"1284229.0000"|"1234081.0000"|""|""|"37336.0000"
"01-0576324"|"STEVAN & CYNTHIA PEARCE CHARITABLE FOUNDATION"|"955773"|""|""|""|""|""|"1311656.0000"|""|""|"1284682.0000"|"1353648.0000"|"0.0000"|""|"41992.0000"
"01-6007022"|"LEVEY, A S PERP FOUNDATION 10 -101200367720"|"955774"|""|""|""|""|""|"1059474.0000"|""|""|"964165.0000"|"1059474.0000"|""|""|""
"01-6007111"|"CLOVER C CLARK MEMORIAL TR 10 -101230022380"|"955775"|""|""|""|""|""|"2127072.0000"|""|""|"1763049.0000"|"2127072.0000"|""|""|""
"01-6035550"|"EDWARD P CLARK MEMORIAL TR 10 -101230022400"|"955776"|""|""|""|""|""|"6865643.0000"|""|""|"5533279.0000"|"6865643.0000"|""|""|""
"02-0759145"|"DOWNEY-SHORT FOUNDATION"|"955777"|"601971.0000"|"392308.0000"|"113059.0000"|""|""|"746912.0000"|""|"9343.0000"|"4179669.0000"|"4180171.0000"|"0.0000"|"54227.0000"|"2252851.0000"
"03-0558277"|"PRAYER CHILD FOUNDATION"|"955778"|""|""|""|""|""|""|""|""|"47017.0000"|"47017.0000"|"14731.0000"|"11668.0000"|"30000.0000"
"04-3526333"|"THE ASTRA FOUNDATION INC"|"955780"|""|"5846892.0000"|"1539517.0000"|""|""|"1855923.0000"|"1162.0000"|"4430.0000"|"9366565.0000"|"9366566.0000"|"0.0000"|""|"118642.0000"
"04-6183662"|"SHOLES CHARITABLE FOUNDATION"|"955781"|""|"59078.0000"|""|""|""|""|""|""|"125204.0000"|"125204.0000"|"0.0000"|"66126.0000"|""
"01-0493311"|"Francis T. and Louise Nichols Foundation"|"955954"|""|"16689890.0000"|""|""|""|""|""|""|"15960138.0000"|"16982839.0000"|""|"625.0000"|"292324.0000"
"01-0557030"|"LINDSAY FAMILY FOUNDATION 58034730"|"955955"|""|"284463.0000"|"267764.0000"|""|""|""|""|"784.0000"|"561232.0000"|"563106.0000"|""|"690.0000"|"9405.0000"
"01-0617231"|"FORDNEY FOUNDATION"|"955956"|""|""|""|""|""|"423156.0000"|"925.0000"|"342818.0000"|"1145190.0000"|"1128463.0000"|"0.0000"|""|"361564.0000"
"01-0854918"|"Oreggia Family Foundation"|"955958"|"0.0000"|"1241561.0000"|"0.0000"|"0.0000"|"0.0000"|"5283148.0000"|"0.0000"|"949092.0000"|"19489985.0000"|"17940351.0000"|"0.0000"|"1793181.0000"|"8673369.0000"
"01-0936787"|"NARROW GATE FOUNDATION"|"955959"|""|"161482.0000"|"135362.0000"|""|""|""|""|""|"338629.0000"|"340524.0000"|"0.0000"|"23374.0000"|"20306.0000"
