"C_EIN"|"C_Org_Name"|"QUAL_DIST_XIII"|"EXCESS_DIST_CORPUS_XIII"|"EXCESS_DIST_CUR_YR_XIII"|"EXCESS_DIST_NEXT_YR_XIII"|"XML_DOCUMENT_ID"
"04-6624586"|"THE SUMNER L. & ESTHER M. FELDBERG FOUNDATION"|"0.0000"|"0.0000"|"0.0000"|"452611.0000"|"1277522"
"04-6835621"|"PAUL AND JOANNE EGERMAN FAMILY CHARITABLE FOUNDATION"|"0.0000"|"313325.0000"|"313325.0000"|"1097680.0000"|"1277523"
"04-6868099"|"THE MORSE FOUNDATION"|"0.0000"|"0.0000"|"0.0000"|"1239035.0000"|"1277524"
"04-6905190"|"THE WATER COVE CHARITABLE FOUNDATION"|""|""|""|"4561814.0000"|"1277525"
"04-6941137"|"EMILIO A. & MARY A. DIFELICE SCHOLARSHIP TRUS"|""|""|""|"12394.0000"|"1277526"
"03-0373301"|"The Dalkys Foundation"|"0.0000"|"0.0000"|"0.0000"|"295359.0000"|"1291097"
"03-0490864"|"THE SWINERTON FOUNDATION"|""|""|""|"1645356.0000"|"1291098"
"04-2680399"|"RESTORATION HOUSING CORPORATION"|"0.0000"|"0.0000"|"0.0000"|"6038276.0000"|"1291099"
"04-3365869"|"BERKSHIRE BANK FOUNDATION, INC."|"0.0000"|"0.0000"|"0.0000"|"2726163.0000"|"1291100"
"04-3370400"|"THE ROGER AND MYRNA LANDAY CHARITABLE FOUNDATION"|"0.0000"|"0.0000"|"0.0000"|"30165.0000"|"1291102"
"04-3466900"|"THE EDWARD W. KANE & MARTHA J. WALLACE FAMILY FOUNDATION"|""|"146048.0000"|"146048.0000"|"0.0000"|"1291103"
"04-3542100"|"THE REEDER FOUNDATION"|""|""|""|"1408530.0000"|"1291104"
"04-6017700"|"Eaton Foundation"|""|""|""|"97968.0000"|"1291105"
"04-6155699"|"MIDDLECOTT FOUNDATION"|""|""|""|"3809131.0000"|"1291106"
"04-6401501"|"ANNE WENTWORTH BAER SCHOLARSHIP"|"32351.0000"|""|""|""|"1291107"
"04-6427501"|"CHRISTINE L BECK T/U/A"|"121087.0000"|""|""|""|"1291108"
"04-6496117"|"JOSEPH B HALBERT T/U/A"|"22230.0000"|""|""|""|"1291371"
"01-0705471"|"THE NORWOOD FOUNDATION"|""|""|""|"4161583.0000"|"1291455"
"04-2104291"|"Humane Society of the Commonwealth of MA"|"180276.0000"|"0.0000"|"0.0000"|"0.0000"|"1291456"
"01-0518137"|"The Dunn, Russell, and Jacobs Foundation"|""|""|""|""|"1291475"
"01-0535144"|"Maine Health Access Foundation, Inc."|"5238889.0000"|"0.0000"|"0.0000"|"0.0000"|"1291476"
"01-0726374"|"MAYA RELIEF FOUNDATION"|""|""|""|""|"1291478"
"01-0759380"|"SPINAL MUSCULAR ATROPHY FOUNDATION"|""|""|""|"36247853.0000"|"1291479"
"01-6009329"|"J.W. Robinson Welfare Trust"|""|"3438.0000"|"3438.0000"|"13963.0000"|"1291480"
"02-0467589"|"THE MARSHALL FUND 4738517"|"56680.0000"|""|""|""|"1291481"
"02-0691130"|"LEWIN FAMILY FOUNDATION"|"0.0000"|"0.0000"|"0.0000"|"318974.0000"|"1291483"
"02-0718525"|"KOOK MIN HUR FOUNDATION"|"19994.0000"|"0.0000"|"0.0000"|"0.0000"|"1291484"
"03-0435755"|"M W ARMISTEAD III FAMILY FOUNDATION"|"24543.0000"|"0.0000"|"0.0000"|"0.0000"|"1291485"
"03-0452265"|"THE NAOMI KAPLAN FAMILY FOUNDATION"|"0.0000"|"0.0000"|"0.0000"|"867428.0000"|"1291486"
"03-0471427"|"THE SWANTON FAMILY FOUNDATION INC."|"0.0000"|"0.0000"|"0.0000"|"573766.0000"|"1291487"
"03-0475225"|"HENRIETTA COUNTESS DE HOERNLE FOUNDATION"|"0.0000"|"0.0000"|"0.0000"|"2217847.0000"|"1291488"
"03-6069606"|"THE PANJANDRUM FOUNDATION"|"0.0000"|"0.0000"|"0.0000"|"6735142.0000"|"1291489"
"04-2236996"|"NATHANIEL & ELIZABETH P. STEVENS FOUNDATION"|"0.0000"|"77146.0000"|"77146.0000"|"467254.0000"|"1291490"
"04-2763837"|"THE FLATLEY FOUNDATION"|"12219200.0000"|"0.0000"|"0.0000"|"0.0000"|"1291491"
"04-2940586"|"RICHARD & SALLY ZECKHAUSER FOUNDATION"|"0.0000"|"0.0000"|"0.0000"|"268421.0000"|"1291492"
"04-2981078"|"THE BARRON FAMILY CHARITABLE FOUNDATION"|"0.0000"|"34050.0000"|"34050.0000"|"332916.0000"|"1291493"
"04-3119780"|"BYRON ROBINSON EDUCATIONAL FOUNDATION, INC."|"0.0000"|"72967.0000"|"72967.0000"|"192168.0000"|"1291494"
"04-3197325"|"Sheehan Family Foundation"|"0.0000"|""|"0.0000"|"5958561.0000"|"1291495"
"04-3353589"|"PEARSON FAMILY CHARITABLE FOUNDATION"|"113362.0000"|"0.0000"|"0.0000"|"79704.0000"|"1291499"
"04-3361816"|"EUGENE F. MERKERT 1996 CHARITABLE FOUNDATION"|"0.0000"|"0.0000"|"0.0000"|"102444.0000"|"1291500"
"04-3366745"|"THE COMPASS FUND 4737682"|"44370.0000"|""|""|""|"1291501"
"04-3487843"|"PEPPERCORN FOUNDATION"|"0.0000"|"0.0000"|"0.0000"|"1112554.0000"|"1291502"
"04-3535723"|"GANSETT FOUNDATION C/0 O'CONNOR & DREW, PC"|"0.0000"|"0.0000"|"0.0000"|"1366074.0000"|"1291503"
"04-3537365"|"Harter Family Charitable Foundation"|""|""|""|"281172.0000"|"1291504"
"04-3540363"|"JASON AND MARTHA STONE FAMILY FOUNDATION"|"0.0000"|"0.0000"|"0.0000"|"857812.0000"|"1291505"
"04-3584637"|"JEWISH COMMUNITY HOUSING FOR THE ELDERLY VI INC"|""|""|""|"0.0000"|"1291506"
"04-3778128"|"The Ideker Family Foundation"|"107390.0000"|"0.0000"|"0.0000"|"0.0000"|"1291507"
"04-6036556"|"Willard C. Tilson Foundation"|"0.0000"|"0.0000"|"0.0000"|"400317.0000"|"1291508"
"04-6041597"|"HAROLD RUBENSTEIN FAMILY CHARITABLE FOUNDATION"|"0.0000"|"0.0000"|"0.0000"|"217093.0000"|"1291509"
"04-6107955"|"THE LASSOR AND FANNY AGOOS CHARITY FUND"|"0.0000"|"1707.0000"|"1707.0000"|"6854.0000"|"1291510"
"04-6107991"|"ABBOT & DOROTHY H. STEVENS FOUNDATION"|"0.0000"|"0.0000"|"0.0000"|"715296.0000"|"1291511"
"04-6183682"|"SPERO CHARITABLE FOUNDATION"|"0.0000"|"0.0000"|"0.0000"|"875186.0000"|"1291512"
"04-6360057"|"Cheryl Spencer Memorial Foundation"|"0.0000"|"0.0000"|"0.0000"|"1364200.0000"|"1291514"
"04-6560021"|"ROSALYN AND RICHARD SLIFKA CHARITABLE TRUST"|""|""|""|"917315.0000"|"1291515"
"04-6660214"|"THE ORCHARD FOUNDATION"|"0.0000"|"0.0000"|"0.0000"|"3767467.0000"|"1291516"
"04-6752868"|"ARGOSY FOUNDATION"|"0.0000"|"0.0000"|"0.0000"|"15980370.0000"|"1291517"
"04-6771029"|"BELL FAMILY FOUNDATION"|"268163.0000"|"0.0000"|"0.0000"|"0.0000"|"1291518"
"04-6796689"|"JACBEL FOUNDATION"|"196564.0000"|""|""|""|"1291519"
"01-0637863"|"MYRA & JEAN KENT ANGUS FOUNDATION"|"0.0000"|"0.0000"|"0.0000"|"58523.0000"|"1292879"
"02-0406826"|"TAMPOSI FOUNDATION"|"0.0000"|"0.0000"|"0.0000"|"10273.0000"|"1292880"
"02-6004699"|"GEORGE GARDNER & FANNY WHITING"|"16973.0000"|""|""|""|"1292882"
"04-2104142"|"DAVENPORT MEMORIAL FOUNDATION"|""|""|""|""|"1292883"
"04-2624081"|"GRACE C STEBBINS TUA"|"81694.0000"|""|""|""|"1292884"
"04-3298628"|"ROAF MEMORIAL FUND"|""|"7223.0000"|"7223.0000"|"77321.0000"|"1292885"
"04-3341720"|"THE SPILLANE CHARITABLE FOUNDATION"|"60327.0000"|"0.0000"|"0.0000"|"0.0000"|"1292886"
"04-3343529"|"THE ROBERT F STOICO/FIRSTFED CHARITABLE FOUNDATION"|"658845.0000"|""|""|"0.0000"|"1292887"
"04-3353896"|"Bangor Savings Bank Foundation"|"0.0000"|"0.0000"|"0.0000"|"2036991.0000"|"1292888"
"04-3356807"|"SOUTH SHORE BANK CHARITABLE FOUNDATION, INC"|""|""|""|"38860.0000"|"1292889"
"04-3485593"|"THE FRED BERGFORS AND MARGARET SANDBERG FOUNDATION INC"|"59000.0000"|"0.0000"|"0.0000"|"0.0000"|"1292890"
"04-6039669"|"Albert O Wilson Foundation, Inc"|""|""|""|"41522.0000"|"1292891"
"04-6382377"|"MARY ELIZABETH PEARCE FOUNDATION TRUST"|""|"0.0000"|"0.0000"|"0.0000"|"1292893"
"04-6731724"|"WARMAN SCHOLARSHIP FUND PFDN 10 - 101160523040"|"22140.0000"|""|""|""|"1292895"
"01-0675481"|"CM CHEN FOUNDATION, INC."|"383977.0000"|"0.0000"|"0.0000"|"0.0000"|"1293184"
"01-0733593"|"TWELVE LABOURS FOUNDATION, INC."|"0.0000"|"0.0000"|"0.0000"|"2067134.0000"|"1293185"
"04-2104243"|"FULLER TRUST INC"|""|""|""|""|"1293191"
"04-2167469"|"ADMIRAL SIR ISAAC COFFIN'S LANCASTERIAN SCHOOL"|"0.0000"|"0.0000"|"0.0000"|"114613.0000"|"1293192"
"04-2294937"|"NORFOLK CHARITABLE TRUST"|"0.0000"|"288423.0000"|"288423.0000"|"263463.0000"|"1293193"
"04-2607208"|"LOTTA FUND FOR AIDING DISCHARGED CONVICTS"|"21535.0000"|""|""|""|"1293194"
"04-2794647"|"GORDON FOUNDATION BERNARD M. GORDON ET AL, TRUSTEES"|"0.0000"|"0.0000"|"0.0000"|"36707550.0000"|"1293195"
"04-3211653"|"EGAN FAMILY FOUNDATION"|"0.0000"|"0.0000"|"0.0000"|"4137291.0000"|"1293197"
"04-3441495"|"The LeBaron Foundation"|""|""|""|"61055.0000"|"1293199"
"04-3523698"|"THE EVANS FAMILY FOUNDATION"|"0.0000"|"0.0000"|"0.0000"|"5603018.0000"|"1293200"
"04-3613060"|"ALLAN LOUIS LOEB FOUNDATION"|""|""|""|"10178.0000"|"1293201"
"04-6014290"|"RALPH BRADLEY PRIZES"|"16202.0000"|"0.0000"|"0.0000"|"0.0000"|"1293202"
"04-6022091"|"CHARLES SANDERS TRUST UW"|""|""|""|"133239.0000"|"1293203"
"04-6026914"|"JOHN W. & CLARA C. HIGGINS FOUNDATION"|"0.0000"|"5040.0000"|"5040.0000"|"19999.0000"|"1293204"
"04-6030253"|"Walter S. Quinlan Foundation"|"281293.0000"|""|""|""|"1293205"
"04-6039556"|"THE GOLDBERG FAMILY FOUNDATION"|"0.0000"|"296319.0000"|"296319.0000"|"0.0000"|"1293206"
"04-6043983"|"HAROLD BROOKS FOUNDATION"|""|""|""|"427554.0000"|"1293207"
"04-6049529"|"The Grass Foundation"|""|"17952.0000"|"17952.0000"|""|"1293208"
"04-6054237"|"SCOTS CHARITABLE SOCIETY BOSTON WOMANS AUXLIARY BOARD"|""|""|""|"57200.0000"|"1293209"
"04-6065605"|"William E Schrafft & Bertha E Schrafft Charitable Trust"|"0.0000"|"44860.0000"|"44860.0000"|"101610.0000"|"1293210"
"04-6130871"|"GERONDELIS FOUNDATION INC"|""|""|""|"672346.0000"|"1293211"
"04-6137251"|"THE HANS & ELIZABETH WOLF FOUNDATION"|"0.0000"|"67014.0000"|"67014.0000"|"359963.0000"|"1293212"
"04-6147160"|"BERYL DAVID AND HARRY NGORIN FOUNDATION"|"0.0000"|"697.0000"|"697.0000"|"0.0000"|"1293213"
"04-6526806"|"E BROOKS-GR BOST COUNCIL ALCOHOL"|"19324.0000"|""|""|""|"1293214"
"04-6561597"|"NORWOTTOCK CHARITABLE TRUST"|""|""|""|"387938.0000"|"1293215"
"04-6772198"|"The Mary E Murphy and John F Murphy, Jr Charitable Trust"|"0.0000"|"6179.0000"|"6179.0000"|"0.0000"|"1293216"
"04-6904482"|"The J Stuart and Elizabeth Moore Charitable Foundation"|""|"134420.0000"|"134420.0000"|"41455.0000"|"1293218"
"05-0374155"|"RI INTERSCHOLASTIC INJURY FUND"|""|""|""|""|"1293219"
"01-0441158"|"HAWKES SCHOLARSHIP FUND 10 -101160367540"|"52523.0000"|""|""|""|"1294384"
"01-0469155"|"JOHN SAGE FOUNDATION"|""|"0.0000"|"0.0000"|"7387.0000"|"1294385"
"01-6007288"|"WING-BENJAMIN TRUST FUND U/W 10 -242000016800"|""|"2008.0000"|"2008.0000"|""|"1294386"
"01-6020236"|"WADE F & ISABEL G BRACKETT FDN"|"33912.0000"|""|""|""|"1294387"
"01-6023401"|"IMOGENE MAYBURY T/U/W"|"19837.0000"|""|""|""|"1294388"
"01-6058647"|"BOYLE MARGARET ST JOHN ST"|"7803.0000"|""|""|""|"1294389"
"01-6080221"|"VERA GRACE GREENLAW TRUST"|"14499.0000"|""|""|""|"1294390"
"01-6115928"|"STANDISH LAWRENCE SCHOLARSHIP TW 10-101160020340"|"40103.0000"|""|""|""|"1294391"
"02-0310404"|"Gilman Home Inc"|"0.0000"|"0.0000"|"0.0000"|"158164.0000"|"1294393"
"02-0471515"|"LYMAN FUND INC"|"0.0000"|"469.0000"|"469.0000"|"22811.0000"|"1294394"
"02-0498236"|"ROY M. MALOOL FAMILY FOUNDATION"|"0.0000"|"0.0000"|"0.0000"|"1008240.0000"|"1294395"
"02-6007727"|"SCEVA SPEARE TR FBO BROOKHAVEN HOME FOR BOYS"|"7104.0000"|""|""|""|"1294396"
"03-0179429"|"THOMAS THOMPSON TRUST"|"531006.0000"|"0.0000"|"0.0000"|"0.0000"|"1294397"
"03-6103976"|"JEFFREY COOK CHARITABLE TRUST LAWRENCE B COHEN, ET AL, TRUSTEES"|"0.0000"|"36881.0000"|"36881.0000"|"0.0000"|"1294399"
"04-2103755"|"CHARLESBANK HOMES"|"0.0000"|"53111.0000"|"53111.0000"|"0.0000"|"1294400"
"04-2103875"|"BERKSHIRE RETIREMENT HOME, INC"|""|""|""|""|"1294401"
"04-2104293"|"WILLIAM TOWNSEND PORTER FOUNDATION"|"75502.0000"|"0.0000"|"0.0000"|"0.0000"|"1294402"
"04-2121771"|"NEWBURYPORT SOCIETY FOR THE RELIEF OF AGED WOMEN INC"|""|"11124.0000"|"11124.0000"|"11292.0000"|"1294403"
"04-2399760"|"THE TJX FOUNDATION, INC."|""|""|""|"33657300.0000"|"1294404"
"04-2714929"|"WILLIAM HAROLD FRANCIS AUSTIN TRUST U/W EASTERN BANK, TRUSTEE"|""|""|""|"44716.0000"|"1294405"
"04-3292646"|"Information Research Foundation"|""|""|""|""|"1294407"
"04-3353621"|"INSTITUTION FOR SAVINGS IN NEWBURPORT & ITS VICINITY CHARITABLE FOUNDATION, INC."|""|""|""|"1782270.0000"|"1294408"
"04-3368515"|"SEAMENS LONG POINT CHARITABLE FOUNDATION, INC."|""|""|""|"374292.0000"|"1294409"
"04-3375821"|"WOODWORTH, G. WALTER UNITRUST"|"14990.0000"|""|""|""|"1294411"
"04-3424901"|"THE JOHN BUTLER MULLIKEN FOUNDATION INC"|"0.0000"|"80181.0000"|"80181.0000"|"143120.0000"|"1294412"
"04-3464899"|"THE RAMSEY MCCLUSKEY FAMILY FOUNDATION"|""|""|""|"97743.0000"|"1294413"
"04-3566439"|"BERKSHIRE LIFE CHARITABLE FOUNDATION"|"47501.0000"|"0.0000"|"0.0000"|"0.0000"|"1294414"
"04-3671809"|"WISH YOU WELL FOUNDATION"|""|""|""|"395083.0000"|"1294415"
"04-6015548"|"MYRON L FULLER TRUST"|""|"25677.0000"|"25677.0000"|""|"1294416"
"04-6020266"|"E.P. BINNEY CHARITABLE FND"|"167385.0000"|""|""|""|"1294417"
"04-6067431"|"NEW ENGLAND EDUCATION SOCIETY"|"55534.0000"|"0.0000"|"0.0000"|"0.0000"|"1294418"
"04-6397630"|"WILLIAM & ALFRED TAFT CHARITABLE TRUST"|"26093.0000"|""|""|""|"1294420"
"04-6421513"|"PETSAS CHARITABLE TRUST UA"|"27331.0000"|""|""|""|"1294421"
"04-6500798"|"LOU & LUCIENNE BRIGHTMAN SCHOLARSHIP FDN EASTERN BANK, TRUSTEE"|""|""|""|"3841.0000"|"1294422"
"04-6549241"|"GOLDHAMMER FAMILY FOUNDATION"|"0.0000"|"56943.0000"|"56943.0000"|"116270.0000"|"1294423"
"04-6725545"|"CHARLES E. HARWOOD TRUST"|"143872.0000"|"0.0000"|"0.0000"|"0.0000"|"1294424"
"04-7006773"|"THE SARA L. EDDY TRUST CURTIS EDDY & PETER ZUPCOPSKA, TRUSTEES"|"0.0000"|"0.0000"|"0.0000"|"278294.0000"|"1294426"
"01-0222218"|"HATTIE A AND FRED C LYNAM TRUST"|"4111.0000"|""|""|"27525.0000"|"1295369"
"01-0342663"|"HELEN F WYLE FOUNDATION"|""|"7074.0000"|"7074.0000"|"1477.0000"|"1295370"
"01-0555919"|"GADDIS FAMILY FOUNDATION, INC."|"45700.0000"|""|""|""|"1295371"
"01-0647596"|"THE POMEROY FAMILY FOUNDATION"|""|""|""|""|"1295372"
"01-0722403"|"L P WASSERMAN FAMILY FOUNDATION"|"0.0000"|"0.0000"|"0.0000"|"31230.0000"|"1295373"
"01-0744113"|"MCCULLOUGH FOUNDATION"|"0.0000"|"53301.0000"|"53301.0000"|"82406.0000"|"1295374"
"01-0810723"|"HARRY M MIRIAM C WILL C HORTON F"|"288349.0000"|""|""|""|"1295375"
"01-6009341"|"THE GREENE-MILSTEIN FAMILY FOUNDATION"|"0.0000"|"611.0000"|""|"4289.0000"|"1295376"
"01-6010120"|"JAMES A TAYLOR OSTEOPATHIC HOSP"|"19956.0000"|""|""|""|"1295377"
"01-6149204"|"OLIVE A COATES CHARITABLE TRUST"|"78115.0000"|""|""|""|"1295378"
"01-6174485"|"PALMER WALBRIDGE FOUNDATION"|"144710.0000"|""|""|""|"1295380"
"01-6208130"|"PRYOR E. & ARLENE R. NEUBER CHARITABLE TRUST"|"312682.0000"|"0.0000"|"0.0000"|"0.0000"|"1295381"
"02-0762730"|"RALPH S. AND FRANCES R. DWECK FAMILY FOUNDATION, INC."|""|""|""|"1633320.0000"|"1295385"
"02-6004364"|"ABRAHAM BURTMAN CHARITY TRUST"|""|""|""|"455776.0000"|"1295386"
"02-6005022"|"MARTIN CHARITABLE MEMORIAL FUND"|"25324.0000"|""|""|""|"1295388"
"02-6007724"|"JACKMAN CHARLES TRUST"|"9054.0000"|""|""|""|"1295389"
"02-6033716"|"JASON SOMERVILLE TRUST NANCY STEVENSON, TTEE"|""|""|""|"56162.0000"|"1295390"
"02-6169513"|"BALDWIN FAMILY FOUNDATION TRUST"|"249312.0000"|"0.0000"|"0.0000"|"0.0000"|"1295391"
"03-0370623"|"BERGERON FAMILY FOUNDATION"|"88500.0000"|""|""|"0.0000"|"1295393"
"03-0406308"|"KINNEY DRUGS FOUNDATION. INC."|""|""|""|""|"1295394"
"03-6006013"|"THE COPLEY FUND"|"54628.0000"|"0.0000"|"0.0000"|"0.0000"|"1295395"
"03-6047004"|"ARTHUR H SCOTT MEM VOL TRUST-CHITT"|""|""|""|"13497.0000"|"1295397"
"04-2103930"|"BRANDEGEE CHARITABLE FOUNDATION"|"0.0000"|"0.0000"|"0.0000"|"1153635.0000"|"1295398"
"04-2226641"|"THE THORACIC FOUNDATION"|"0.0000"|"0.0000"|"0.0000"|"175234.0000"|"1295399"
"04-2307820"|"BABSON-WEBBER-MUSTARD FUND"|"1533.0000"|"0.0000"|"0.0000"|"2158.0000"|"1295400"
"04-2723441"|"DEMOULAS FOUNDATION"|"1692319.0000"|"0.0000"|"0.0000"|"0.0000"|"1295401"
"04-2733961"|"DUNKIN BRANDS CHARITABLE TRUST"|""|""|""|"43364.0000"|"1295402"
"04-2754324"|"CROCKETT JAMES UNDERWOOD"|""|""|""|"21232.0000"|"1295403"
"04-3071209"|"THE ROWE FOUNDATION, INC."|""|""|""|"326307.0000"|"1295405"
"04-3078302"|"NORTHEAST CHARITABLE TRUST"|"0.0000"|"0.0000"|"0.0000"|"50855.0000"|"1295406"
"04-3109508"|"FRANK R. AND ELIZABETH SIMONI FOUNDATION INC."|"161134.0000"|"0.0000"|"0.0000"|"0.0000"|"1295407"
"04-3130418"|"NORTON PUBLIC LIBRARY"|"55725.0000"|""|""|""|"1295408"
"04-3221224"|"OLD MUTUAL ASSET MANAGEMENT CHARITABLE FOUNDATION, INC."|""|""|""|"289545.0000"|"1295409"
"04-3243114"|"THE CREIGHTON NARADA FOUNDATION"|"365870.0000"|"0.0000"|"0.0000"|"0.0000"|"1295410"
"04-3325424"|"MASSACHUSETTS BANKERS ASSOCIATION CHARITABLE FOUNDATION INC"|""|""|""|"396600.0000"|"1295411"
"04-3367614"|"REMILLARD FAMILY FOUNDATION INC. #0737882"|"0.0000"|"0.0000"|"0.0000"|"11675148.0000"|"1295412"
"04-3371223"|"DOUGLAS DRANE CHARITABLE TRUST"|"0.0000"|"86866.0000"|"86866.0000"|"105123.0000"|"1295413"
"04-3371817"|"THE DENNIS A. O'TOOLE FAMILY FOUNDATION"|"0.0000"|"0.0000"|"0.0000"|"18503.0000"|"1295414"
"04-3383620"|"C LEROY MILLER CHARITABLE FDN 668019011"|""|""|""|"115203.0000"|"1295415"
"04-3388014"|"SEA BREEZE FOUNDATION-TR"|"84905.0000"|""|""|""|"1295416"
"04-3426100"|"THE GORDON E. AND MAY R. CADWGAN CHARITABLE FOUNDATION"|"0.0000"|"0.0000"|"0.0000"|"46860.0000"|"1295417"
"04-3430324"|"THE BRUCE AND BARBARA AUSTIN FAMILY FOUNDATION"|"0.0000"|"0.0000"|"0.0000"|"33000.0000"|"1295418"
"04-3494341"|"FLORENCE PETRLIK FAMILY FOUNDATION"|""|""|""|"18288.0000"|"1295420"
"04-3534717"|"CHRISTOPHER & PATRICIA HIGGINS ARNOLD FOUNDATION"|"7507.0000"|""|""|""|"1295422"
"04-3541108"|"EPKER-SINHA FOUNDATION"|"448765.0000"|""|""|"0.0000"|"1295423"
"04-3543803"|"STEVEN M AND BARBARA GARFINKLE FOUNDATION INC"|""|""|""|"173336.0000"|"1295424"
"04-3562515"|"GRACE RIVER FOUNDATION JH1361"|""|""|""|"635325.0000"|"1295425"
"04-3812871"|"KRUPP FAMILY FOUNDATION"|""|""|""|"1800329.0000"|"1295428"
"04-6009430"|"FRANKLIN H PUTNAM T/U/W"|"34384.0000"|""|""|""|"1295429"
"04-6019020"|"T WALTER CARMAN TUW-SHRINERS"|"143558.0000"|""|""|""|"1295430"
"04-6019113"|"LOUISE G PEASE B/O BAYSTATE MED"|"69777.0000"|""|""|""|"1295431"
"04-6020918"|"KING FAMILY FUND TUA"|"13304.0000"|""|""|""|"1295432"
"04-6023784"|"THE GEORGE I. ALDEN TRUST"|"0.0000"|"472657.0000"|"472657.0000"|"462326.0000"|"1295433"
"04-6027800"|"TAMARACK FOUNDATION"|"0.0000"|"0.0000"|"0.0000"|"335730.0000"|"1295435"
"04-6028223"|"TR U/W JOHN H SANDERSON"|""|""|""|"165051.0000"|"1295436"
"04-6033804"|"GRACE B STEBBINS TR UA"|"101945.0000"|""|""|""|"1295437"
"04-6033808"|"HERVEY L SMITH UA"|"153737.0000"|""|""|""|"1295438"
"04-6033910"|"L & F TIFFT FUND TR UA"|"81984.0000"|""|""|""|"1295439"
"04-6037423"|"ARONSON FOUNDATION, INC."|"0.0000"|"0.0000"|"0.0000"|"70480.0000"|"1295440"
"04-6050419"|"Albert H & Reuben S Stone Fund"|""|"55634.0000"|"55634.0000"|"225432.0000"|"1295442"
"04-6050818"|"EDNA TALBOT FOR NEW ENGLAND HOME"|"231271.0000"|""|""|""|"1295443"
"04-6056824"|"NORMAN KNIGHT CHARITABLE FOUNDATION"|"0.0000"|"64565.0000"|"64565.0000"|"1004904.0000"|"1295444"
"04-6079522"|"R ELAINE CROSTON T/U/W"|"15233.0000"|""|""|""|"1295445"
"04-6082918"|"AIMEE M. L. BECKER TRUST"|"202924.0000"|"0.0000"|"0.0000"|"0.0000"|"1295446"
"04-6095797"|"GOODING G L IND DTD 5 10 50"|"32338.0000"|""|""|""|"1295447"
"04-6095991"|"TRUST U/WILL FRED L. ROBBINS"|"16409.0000"|""|""|""|"1295448"
"04-6115419"|"Eastman Charitable Foundation"|"63950.0000"|""|""|""|"1295450"
"04-6126323"|"ELIOT I AND RUTH SNIDER CHARITABLE TRUST"|"0.0000"|"11844.0000"|"11844.0000"|"51519.0000"|"1295451"
"04-6128210"|"JOSEPH M. HAMILBURG FOUNDATION"|"80291.0000"|"0.0000"|"0.0000"|"0.0000"|"1295452"
"04-6136421"|"TR U/W M L HEYDT F/B CHARITY"|"77242.0000"|""|""|""|"1295453"
"04-6145922"|"DAVID GREENEWALT CHARITABLE TRUST WINIFRED I. LI, TRUSTEE"|"0.0000"|"0.0000"|"0.0000"|"57918.0000"|"1295454"
"04-6193022"|"TR U/W MARTIN W. DUGAN EASTERN BANK, CO-TRUSTEE"|""|"1159.0000"|"1159.0000"|"3309.0000"|"1295455"
"04-6266114"|"WILLIAM HOSIER T/U/W"|"12375.0000"|""|""|""|"1295456"
"04-6278297"|"HELEN U KIELY UW"|"53642.0000"|""|""|""|"1295457"
"04-6290902"|"ELIOT D & LOUISE T STETSON T/U/I"|"170141.0000"|""|""|""|"1295458"
"04-6312563"|"GEORGE W DAVENPORT TUW"|"19671.0000"|""|""|""|"1295459"
"04-6319124"|"R BABSON TUW 25C A & B"|"44187.0000"|""|""|""|"1295460"
"04-6341523"|"CORNELIUS A WOOD 1969 CHAR TR"|"61225.0000"|""|""|""|"1295461"
"04-6590209"|"EARLE A GRISWOLD TUA-ST PAUL"|"66193.0000"|""|""|""|"1295462"
"04-6607624"|"LOU H. WILLEKE TRUST U/W"|"121349.0000"|""|""|""|"1295463"
"04-6643614"|"MILDRED E GATES T/U/W"|"33162.0000"|""|""|""|"1295464"
"04-6652923"|"ADELARD AND VALEDA ROY FOUNDATION"|"0.0000"|"0.0000"|"0.0000"|"1715997.0000"|"1295465"
"04-6665830"|"THE ULF B. HEIDE AND ELIZABETH C. HEIDE FOUNDATION CHARITABLE TRUST"|"0.0000"|"0.0000"|"0.0000"|"1011474.0000"|"1295466"
"04-6678724"|"ANDREWS TR FUND-CHARITABLE SHS"|"14504.0000"|""|""|""|"1295467"
"04-6692518"|"ROBERT S PAPE CHARTITABLE FND"|"16089.0000"|""|""|""|"1295468"
"04-6719809"|"THE ROBBINS-DE BEAUMONT FOUNDATION"|"0.0000"|"0.0000"|"0.0000"|"185597.0000"|"1295469"
"04-6788009"|"ST MARY'S & ROCHESTER METH HOSP"|"47450.0000"|""|""|""|"1295471"
"04-6814621"|"MILES & GERTRUDE HANSON FNDN"|""|"17016.0000"|"17016.0000"|"112521.0000"|"1295472"
"04-6861522"|"WILSON CARUSO CHARITABLE FOUNDATION"|"0.0000"|"0.0000"|"0.0000"|"53325.0000"|"1295473"
"04-6883004"|"PHILIP T. CHAPLIN ET AL TRUSTEES CLOVELLY CHARITABLE TRUST"|"38144.0000"|"0.0000"|"0.0000"|"0.0000"|"1295474"
"04-6896914"|"NOVACK FAMILY FOUNDATION"|"0.0000"|"0.0000"|"0.0000"|"202468.0000"|"1295475"
"04-6904109"|"THE BRESLOW FAMILY FOUNDATION TRUST"|"54411.0000"|"0.0000"|"0.0000"|"0.0000"|"1295476"
"04-3296725"|"THE ERIC & BARBARA CARLE FOUNDATION"|"0.0000"|"0.0000"|"0.0000"|"1691141.0000"|"1297018"
