"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"FMV_NON_CHAR_TOTAL"|"NET_NON_CHAR"|"MIN_INVEST_RETURN"
"04-3388014"|"SEA BREEZE FOUNDATION-TR"|"1295416"|"1794052.0000"|"1767141.0000"|"88357.0000"
"04-3426100"|"THE GORDON E. AND MAY R. CADWGAN CHARITABLE FOUNDATION"|"1295417"|"1768078.0000"|"1741557.0000"|"87078.0000"
"04-3430324"|"THE BRUCE AND BARBARA AUSTIN FAMILY FOUNDATION"|"1295418"|"834375.0000"|"821859.0000"|"41093.0000"
"04-3494341"|"FLORENCE PETRLIK FAMILY FOUNDATION"|"1295420"|"1439192.0000"|"1417604.0000"|"70880.0000"
"04-3534717"|"CHRISTOPHER & PATRICIA HIGGINS ARNOLD FOUNDATION"|"1295422"|"550806.0000"|"542544.0000"|"27127.0000"
"04-3541108"|"EPKER-SINHA FOUNDATION"|"1295423"|"10595537.0000"|"10436604.0000"|"521830.0000"
"04-3543803"|"STEVEN M AND BARBARA GARFINKLE FOUNDATION INC"|"1295424"|"96066.0000"|"94625.0000"|"4731.0000"
"04-3562515"|"GRACE RIVER FOUNDATION JH1361"|"1295425"|"313683.0000"|"308978.0000"|"15449.0000"
"04-3812871"|"KRUPP FAMILY FOUNDATION"|"1295428"|"2917478.0000"|"2873716.0000"|"143686.0000"
"04-6009430"|"FRANKLIN H PUTNAM T/U/W"|"1295429"|"861667.0000"|"848742.0000"|"42437.0000"
"04-6019020"|"T WALTER CARMAN TUW-SHRINERS"|"1295430"|"4502068.0000"|"4434537.0000"|"221727.0000"
"04-6019113"|"LOUISE G PEASE B/O BAYSTATE MED"|"1295431"|"2273284.0000"|"2239185.0000"|"111959.0000"
"04-6020918"|"KING FAMILY FUND TUA"|"1295432"|"1679529.0000"|"1654336.0000"|"82717.0000"
"04-6023784"|"THE GEORGE I. ALDEN TRUST"|"1295433"|"162620938.0000"|"160181624.0000"|"8009081.0000"
"04-6027800"|"TAMARACK FOUNDATION"|"1295435"|"824510.0000"|"812142.0000"|"40607.0000"
"04-6028223"|"TR U/W JOHN H SANDERSON"|"1295436"|"3688709.0000"|"3633378.0000"|"181669.0000"
"04-6033804"|"GRACE B STEBBINS TR UA"|"1295437"|"2363755.0000"|"2328299.0000"|"116415.0000"
"04-6033808"|"HERVEY L SMITH UA"|"1295438"|"4744135.0000"|"4672973.0000"|"233649.0000"
"04-6033910"|"L & F TIFFT FUND TR UA"|"1295439"|"2394372.0000"|"2358456.0000"|"117923.0000"
"04-6037423"|"ARONSON FOUNDATION, INC."|"1295440"|"774608.0000"|"762989.0000"|"38149.0000"
"04-6050419"|"Albert H & Reuben S Stone Fund"|"1295442"|"2989461.0000"|"2944619.0000"|"147231.0000"
"04-6050818"|"EDNA TALBOT FOR NEW ENGLAND HOME"|"1295443"|"6957541.0000"|"6853178.0000"|"342659.0000"
"04-6056824"|"NORMAN KNIGHT CHARITABLE FOUNDATION"|"1295444"|"5939424.0000"|"5850333.0000"|"292517.0000"
"04-6079522"|"R ELAINE CROSTON T/U/W"|"1295445"|"498737.0000"|"491256.0000"|"24563.0000"
"04-6082918"|"AIMEE M. L. BECKER TRUST"|"1295446"|"5398548.0000"|"5317570.0000"|"265879.0000"
"04-6095797"|"GOODING G L IND DTD 5 10 50"|"1295447"|"663751.0000"|"653795.0000"|"32690.0000"
"04-6095991"|"TRUST U/WILL FRED L. ROBBINS"|"1295448"|"409084.0000"|"402948.0000"|"20147.0000"
"04-6115419"|"Eastman Charitable Foundation"|"1295450"|"1855167.0000"|"1827340.0000"|"91367.0000"
"04-6126323"|"ELIOT I AND RUTH SNIDER CHARITABLE TRUST"|"1295451"|"823753.0000"|"811397.0000"|"40570.0000"
"04-6128210"|"JOSEPH M. HAMILBURG FOUNDATION"|"1295452"|"1587189.0000"|"1563381.0000"|"78169.0000"
"04-6136421"|"TR U/W M L HEYDT F/B CHARITY"|"1295453"|"6147495.0000"|"6055283.0000"|"302764.0000"
"04-6145922"|"DAVID GREENEWALT CHARITABLE TRUST WINIFRED I. LI, TRUSTEE"|"1295454"|"1884295.0000"|"1856031.0000"|"92802.0000"
"04-6193022"|"TR U/W MARTIN W. DUGAN EASTERN BANK, CO-TRUSTEE"|"1295455"|"483425.0000"|"476174.0000"|"23809.0000"
"04-6266114"|"WILLIAM HOSIER T/U/W"|"1295456"|"314622.0000"|"309903.0000"|"15495.0000"
"04-6278297"|"HELEN U KIELY UW"|"1295457"|"1255759.0000"|"1236923.0000"|"61846.0000"
"04-6290902"|"ELIOT D & LOUISE T STETSON T/U/I"|"1295458"|"3609708.0000"|"3555562.0000"|"177778.0000"
"04-6312563"|"GEORGE W DAVENPORT TUW"|"1295459"|"517093.0000"|"509337.0000"|"25467.0000"
"04-6319124"|"R BABSON TUW 25C A & B"|"1295460"|"2107265.0000"|"2075656.0000"|"103783.0000"
"04-6341523"|"CORNELIUS A WOOD 1969 CHAR TR"|"1295461"|"1363702.0000"|"1343246.0000"|"67162.0000"
"04-6590209"|"EARLE A GRISWOLD TUA-ST PAUL"|"1295462"|"1656000.0000"|"1631160.0000"|"81558.0000"
"04-6607624"|"LOU H. WILLEKE TRUST U/W"|"1295463"|"2751680.0000"|"2710405.0000"|"135520.0000"
"04-6643614"|"MILDRED E GATES T/U/W"|"1295464"|"812593.0000"|"800404.0000"|"40020.0000"
"04-6652923"|"ADELARD AND VALEDA ROY FOUNDATION"|"1295465"|"8817673.0000"|"8685408.0000"|"434270.0000"
"04-6665830"|"THE ULF B. HEIDE AND ELIZABETH C. HEIDE FOUNDATION CHARITABLE TRUST"|"1295466"|"9607789.0000"|"9463672.0000"|"473184.0000"
"04-6678724"|"ANDREWS TR FUND-CHARITABLE SHS"|"1295467"|"1827074.0000"|"1799668.0000"|"89983.0000"
"04-6692518"|"ROBERT S PAPE CHARTITABLE FND"|"1295468"|"419055.0000"|"412769.0000"|"20638.0000"
"04-6719809"|"THE ROBBINS-DE BEAUMONT FOUNDATION"|"1295469"|"7857304.0000"|"7739444.0000"|"386972.0000"
"04-6788009"|"ST MARY'S & ROCHESTER METH HOSP"|"1295471"|"2861853.0000"|"2818925.0000"|"140946.0000"
"04-6814621"|"MILES & GERTRUDE HANSON FNDN"|"1295472"|"2007372.0000"|"1977261.0000"|"98863.0000"
"04-6861522"|"WILSON CARUSO CHARITABLE FOUNDATION"|"1295473"|"1510977.0000"|"1488312.0000"|"74416.0000"
"04-6883004"|"PHILIP T. CHAPLIN ET AL TRUSTEES CLOVELLY CHARITABLE TRUST"|"1295474"|"826151.0000"|"813759.0000"|"40688.0000"
"04-6896914"|"NOVACK FAMILY FOUNDATION"|"1295475"|"1529535.0000"|"1506592.0000"|"75330.0000"
"04-6904109"|"THE BRESLOW FAMILY FOUNDATION TRUST"|"1295476"|"1121742.0000"|"1104916.0000"|"55246.0000"
"04-3296725"|"THE ERIC & BARBARA CARLE FOUNDATION"|"1297018"|"2049552.0000"|"2018809.0000"|"100940.0000"
"04-3533126"|"Wechsles Family Foundation"|"1297019"|"430575.0000"|"424116.0000"|"21206.0000"
"01-0351827"|"HELEN R COE TRUST"|"1297082"|"2178775.0000"|"2146093.0000"|"107305.0000"
"02-6100139"|"DIXIE WONDERS IRREV TRUST 3035006329"|"1297083"|"2681002.0000"|"2640787.0000"|"132039.0000"
"04-3489794"|"The Zoller Family Founation, Inc."|"1297100"|"119477.0000"|"117684.0000"|"5884.0000"
"01-0702653"|"DAMICO FAMILY FOUNDATION"|"1297258"|"4162273.0000"|"4099839.0000"|"204992.0000"
"01-0752611"|"THE FAULCONER SCHOLARSHIP PROGRAMS"|"1297259"|"0.0000"|"0.0000"|"0.0000"
"01-6162330"|"EDWARD PAYSON GEORGE CHARITABLE TRUST"|"1297260"|"5980191.0000"|"5890488.0000"|"294524.0000"
"01-6182253"|"LOUIS PLANSEON FDN CO-TTEE 485-25198985921"|"1297261"|"7317299.0000"|"7207540.0000"|"360377.0000"
"02-0488551"|"ROBERT S BRISTOL CHARITABLE TRUST"|"1297262"|"1608686.0000"|"1584556.0000"|"79228.0000"
"02-0569535"|"THE MAYER FOUNDATION"|"1297263"|"246565.0000"|"242867.0000"|"12143.0000"
"02-0774236"|"THE NORMAN A SCHOELL CHARITABLE FOUNDATION INC"|"1297265"|"968978.0000"|"954443.0000"|"47722.0000"
"02-6113705"|"FELLER FAMILY CHARITABLE FOUNDATION TRUST"|"1297267"|"676612.0000"|"666463.0000"|"33323.0000"
"03-0369213"|"S D Ireland Cancer Research Fund Inc"|"1297268"|"30794.0000"|"30332.0000"|"1517.0000"
"03-0594338"|"SWIFTWATER FOUNDATION INC"|"1297269"|"1237247.0000"|"1218688.0000"|"60934.0000"
"03-6070736"|"P MOYNEHAN MEM FD CHARITABLE TR 403051014"|"1297270"|"286390.0000"|"282094.0000"|"14105.0000"
"04-2103827"|"NEW BEDFORD DAY NURSERY INC"|"1297273"|"885502.0000"|"872219.0000"|"43611.0000"
"04-2104834"|"PILGRIM FOUNDATION"|"1297274"|"4430056.0000"|"4363605.0000"|"218180.0000"
"04-3257822"|"THE BOSTON CAPITAL FOUNDATION"|"1297275"|"5793.0000"|"5706.0000"|"285.0000"
"04-3371801"|"THE REDMOND FAMILY FOUNDATION"|"1297276"|"1216465.0000"|"1198218.0000"|"59911.0000"
"04-3406251"|"THE PETER AND DEBORAH LAMM FOUNDATION R BRADFORD MALT ET AL TRUSTEES"|"1297277"|"149885.0000"|"147637.0000"|"7382.0000"
"04-3442439"|"THOMAS A RODGERS JR FAMILY FOUNDATION"|"1297278"|"27150039.0000"|"26742788.0000"|"1337139.0000"
"04-3494455"|"THE GERALD AND JUDITH FELDMAN CHARITABLE FOUNDATION"|"1297279"|"52248.0000"|"51464.0000"|"2573.0000"
"04-3498622"|"MISSION HILLFENWAY NEIGHBORHOOD TRUST INC"|"1297280"|"1356686.0000"|"1336336.0000"|"66817.0000"
"04-3517737"|"COGHLIN SERVICES FUND"|"1297281"|"738013.0000"|"726943.0000"|"36347.0000"
"04-3581722"|"THE CEDAR STREET FOUNDATION JH1204"|"1297282"|"9932184.0000"|"9783201.0000"|"489160.0000"
"04-3662001"|"SIEBENTHALER FOUNDATION"|"1297283"|"561962.0000"|"553533.0000"|"27677.0000"
"04-3674511"|"THE PETRA FOUNDATION"|"1297284"|"732982.0000"|"721987.0000"|"36099.0000"
"04-6012009"|"FRANK R PETERS TRUST"|"1297285"|"8980224.0000"|"8845521.0000"|"442276.0000"
"04-6026301"|"PERPETUAL TR-UNDESIGNATED"|"1297286"|"21576817.0000"|"21253165.0000"|"1062658.0000"
"04-6037206"|"LANCASTER FOUNDATION"|"1297287"|"528582.0000"|"520653.0000"|"26033.0000"
"04-6039510"|"FOUNDATION, INC"|"1297288"|"2683068.0000"|"2642822.0000"|"132141.0000"
"04-6044429"|"Charles Robert Gens Foundation"|"1297289"|"283200.0000"|"278952.0000"|"13948.0000"
"04-6050746"|"Church of the Good Shepherd"|"1297290"|"2138911.0000"|"2106827.0000"|"105341.0000"
"04-6060903"|"RIMER TRUST"|"1297291"|"427020.0000"|"420615.0000"|"21031.0000"
"04-6136550"|"SAQUISH FOUNDATION"|"1297292"|"17571228.0000"|"17307660.0000"|"865383.0000"
"04-6742955"|"EDWARD A BOND FOUNDATION"|"1297293"|"1036441.0000"|"1020894.0000"|"51045.0000"
"04-6799734"|"MARY FIELD AND VINCENT DEPAUL GOUBEAU CHARITABLE TR 1996"|"1297294"|"3068154.0000"|"3022132.0000"|"151107.0000"
"04-6833651"|"JAMES L RUBENSTEIN FAMILY FOUNDATION"|"1297295"|"633794.0000"|"624287.0000"|"31214.0000"
"04-6906429"|"STEPHEN AND ALICE CUTLER FAMILY FNDTN"|"1297296"|"2469626.0000"|"2432582.0000"|"121629.0000"
"04-6908113"|"QUIRK MARY E IRREV TRUST"|"1297297"|"3514202.0000"|"3461489.0000"|"173074.0000"
"04-6914538"|"BROWN CHARITABLE FOUNDATION"|"1297298"|"1700616.0000"|"1675107.0000"|"83755.0000"
"01-6007111"|"CLOVER C CLARK MEMORIAL TR 10 -101230022380"|"1298145"|"2235768.0000"|"2202231.0000"|"110112.0000"
"01-6035550"|"EDWARD P CLARK MEMORIAL TR 10-101230022400"|"1298146"|"7319298.0000"|"7209509.0000"|"360475.0000"
"02-6012645"|"DEERING FOUNDATION, INC."|"1298148"|"227219.0000"|"223811.0000"|"11191.0000"
"04-3335235"|"THE LADD FAMILY FOUNDATION"|"1298149"|"4223835.0000"|"4160477.0000"|"208024.0000"
"04-6024733"|"TTEE U/W OF CLARK HARWOOD"|"1298150"|"2151397.0000"|"2119126.0000"|"105956.0000"
"04-6412350"|"FRED W. WELLS TRUST FUND"|"1298151"|"4494613.0000"|"4427194.0000"|"221360.0000"
"04-6708737"|"I & E USEN FAMILY CHARITABLE FDN"|"1298152"|"2462784.0000"|"2425842.0000"|"121292.0000"
"04-6720803"|"HARPLEY FOUNDATION"|"1298153"|"925065.0000"|"911189.0000"|"45559.0000"
"05-0467833"|"NICHOLAS CALDARONE FOUNDATION 1030064973"|"1298155"|"771092.0000"|"759526.0000"|"37976.0000"
"01-0854918"|"Orcqqia Family Foundation"|"1300524"|"14916306.0000"|"14692561.0000"|"734628.0000"
"02-6015114"|"HUBBARD FARMS CHARITABLE FOUNDATION"|"1300526"|"1029912.0000"|"1014463.0000"|"50723.0000"
"03-0213310"|"RONALD TERRILL MEMORIAL FUND, INC."|"1300527"|"663904.0000"|"653945.0000"|"32697.0000"
"03-0346513"|"THE ORTON FAMILY FOUNDATION, INC."|"1300528"|"7954060.0000"|"7834749.0000"|"391737.0000"
"03-0363118"|"THE JACK AND DOROTHY BYRNE FOUNDATION, INC."|"1300529"|"8321522.0000"|"8196699.0000"|"409835.0000"
"03-6090117"|"ROBERT AND JUDITH STURGIS FAMILY FOUNDATION TRUST"|"1300530"|""|"219655.0000"|"10983.0000"
"04-2776213"|"NEW ENGLAND BIOLABS FOUNDATION"|"1300531"|"7049012.0000"|"6943277.0000"|"347164.0000"
"04-3198713"|"RUSSELL-DAVIDSON FOUNDATION"|"1300532"|"863320.0000"|"850370.0000"|"42519.0000"
"04-3369620"|"GOESSEL FAMILY FOUNDATION INC"|"1300533"|"306345.0000"|"301750.0000"|"15088.0000"
"04-3371516"|"AVIDIA CHARITABLE FOUNDATION, INC."|"1300534"|"642240.0000"|"632606.0000"|"31630.0000"
"04-3388013"|"JORDAN TORCH FOUNDATION - TR"|"1300535"|"735378.0000"|"724347.0000"|"36217.0000"
"04-3473310"|"THE CRAWFORD IDEMA FAMILY FOUNDATION, INC."|"1300536"|"8576632.0000"|"8447983.0000"|"422399.0000"
"04-6038620"|"FLORENCE & ROBERT SPRAGUE FOUNDATION"|"1300540"|"336616.0000"|"331567.0000"|"16578.0000"
"04-6046113"|"ANSIN FOUNDATION"|"1300541"|"38236417.0000"|"37662871.0000"|"1883143.0000"
"04-6092821"|"CROPPER WILLIAM H TR U/WILL"|"1300542"|"2444843.0000"|"2408170.0000"|"120409.0000"
"04-6614314"|"PATRICK CARNEY FOUNDATION"|"1300543"|"6138132.0000"|"6046060.0000"|"302303.0000"
"04-6820320"|"KINGSBURY ROAD CHARITABLE FOUNDATION"|"1300544"|"6464607.0000"|"6367638.0000"|"318382.0000"
"04-6869215"|"THE DICENSO FAMILY CHARITABLE TRUST"|"1300545"|"657468.0000"|"647606.0000"|"32380.0000"
"02-6086221"|"THE FANNIE COX FOUNDATION"|"1301859"|"5349997.0000"|"5269747.0000"|"263487.0000"
"04-2210741"|"DEAN FOUNDATION CHILDREN (IMA)"|"1301860"|"2818486.0000"|"2776209.0000"|"138810.0000"
"04-6232521"|"C JORDON TUA"|"1301861"|"2949624.0000"|"2905380.0000"|"145269.0000"
"04-6677641"|"JBT CHARITABLE TRUST JH3541"|"1301862"|"3607271.0000"|"3553162.0000"|"177658.0000"
"04-3222995"|"MILLER UA MOREY & HELEN SCHOL"|"1301911"|"3240463.0000"|"3191856.0000"|"159593.0000"
"01-0498551"|"John T. Gorman Foundation"|"1301942"|"175235536.0000"|"172607003.0000"|"8630350.0000"
"01-0549309"|"THE ROBERTS FOUNDATION"|"1301943"|"2086021.0000"|"2054731.0000"|"102737.0000"
"02-0549409"|"Maine Orthopaedic Foundation"|"1301944"|"92623.0000"|"91234.0000"|"4562.0000"
"04-2607210"|"LOTTA THEATRICAL FUND"|"1301945"|"574922.0000"|"566298.0000"|"28315.0000"
"04-2607227"|"MARY A CRABTREE FUND"|"1301946"|"628642.0000"|"619212.0000"|"30961.0000"
"04-3066922"|"BRIGHAM HILL FOUNDATION"|"1301947"|"155458.0000"|"153126.0000"|"7656.0000"
"04-6660300"|"Francis H LeBlanc Charitable Trust"|"1301949"|"570653.0000"|"562093.0000"|"28105.0000"
"04-3382001"|"SOMERVILLE HEALTH FOUNDATION"|"1302181"|"593854.0000"|"584946.0000"|"29247.0000"
"04-3538929"|"BEN E FACTORS FOUNDATION 7565-07560016259"|"1302182"|"1210813.0000"|"1192651.0000"|"59633.0000"
"04-6838152"|"ESMOND HARMSWORTH 1997 CHARITABLE FOUNDATION"|"1302183"|"3748.0000"|"3692.0000"|"185.0000"
"04-6864140"|"CATHERINE HAWKINS FOUNDATION JOHN I. & ELIZABETH TAYLOR, TTEES"|"1302184"|"5718209.0000"|"5632436.0000"|"281622.0000"
"02-0709426"|"The Foster Family Private Foundation Inc"|"1302987"|"2734862.0000"|"2693839.0000"|"134692.0000"
"02-6004808"|"TRUST UW BENJAMIN COUCH 360107015"|"1302988"|"2496371.0000"|"2458925.0000"|"122946.0000"
"02-6010880"|"MARY E ELLIOTT TRUST"|"1302989"|"622646.0000"|"613306.0000"|"30665.0000"
"02-6019759"|"ACA SCHOLARSHIP TRUST"|"1302990"|"580255.0000"|"571551.0000"|"28578.0000"
"03-6016085"|"IVAN W AND BERNICK K BURNHAM EDUCATION"|"1302992"|"343790.0000"|"338633.0000"|"16932.0000"
"03-6044565"|"E DANTE BOGNI TR 420260010"|"1302993"|"869170.0000"|"856132.0000"|"42807.0000"
"03-6064491"|"WILLIAM H JAMES AND GLENNA JAMES SCHOLARSHIP"|"1302994"|"490238.0000"|"482884.0000"|"24144.0000"
"03-6066372"|"WALTER IRISH CHURCH FUND 420361016"|"1302995"|"1471156.0000"|"1449089.0000"|"72454.0000"
"04-2610674"|"LOTTA AGRICULTURAL FUND"|"1302996"|"2798086.0000"|"2756115.0000"|"137806.0000"
"04-2915665"|"THE DR A EVERETT AND RUTH E ROSEN F ROSEN FOUNDATION"|"1302997"|"4296363.0000"|"4231918.0000"|"211596.0000"
"04-3195994"|"HILDRETH STEWART CHARITABLE FOUNDATION"|"1302998"|"10004132.0000"|"9854070.0000"|"492704.0000"
"04-3243059"|"THE OHANIAN FAMILY FOUNDATION, INC."|"1303000"|"1016720.0000"|"1001469.0000"|"50073.0000"
"04-3530777"|"AKAMAI FOUNDATION INC"|"1303001"|"1918146.0000"|"1889374.0000"|"94469.0000"
"04-3536671"|"GREEN LEAF FOUNDATION WILLIAM B PERKINS ET AL TRUSTEES"|"1303002"|"1346330.0000"|"1326135.0000"|"66307.0000"
"04-3541069"|"ORISTAGLIO FAMILY FOUNDATION"|"1303003"|"54515.0000"|"53697.0000"|"2685.0000"
"04-6010559"|"MARION G JACKSON CHAR TR"|"1303004"|"10495624.0000"|"10338190.0000"|"516910.0000"
"04-6067847"|"JOHN D BRYANT TRUST UW WINIFRED I LI TRUSTEE"|"1303005"|"1133403.0000"|"1116402.0000"|"55820.0000"
"04-6130518"|"GEORGE R WALLACE FOUNDATION"|"1303006"|"7156419.0000"|"7049073.0000"|"352454.0000"
"04-6497465"|"MIRIAM SHAW FUND U/W"|"1303007"|"9075814.0000"|"8939677.0000"|"446984.0000"
"04-6967568"|"RAWSON FAMILY FOUNDATION TRUST"|"1303010"|"23876.0000"|"23518.0000"|"1176.0000"
"04-6019494"|"NELLA M GRIMM FOX FOUNDATION"|"1303750"|"11176090.0000"|"11008449.0000"|"550422.0000"
"04-6487087"|"HARVEY H & CATHERINE MOSES EDUCATION FUND"|"1303752"|"297234.0000"|"292775.0000"|"14639.0000"
"04-6504871"|"DORIS L. BENZ TRUST"|"1303753"|"9117837.0000"|"8981069.0000"|"449053.0000"
"01-0739379"|"Douglas E Mitchell Charitable Foundation"|"1304849"|"787555.0000"|"775742.0000"|"38787.0000"
"01-0800004"|"Pierce Family Foundation"|"1304850"|"462082.0000"|"455151.0000"|"22758.0000"
"01-6009698"|"WILLIAM SEARLS SCHOLARSHIP FUND THE FIRST NA"|"1304851"|"365502.0000"|"360019.0000"|"18001.0000"
"02-6004790"|"CLARA SALTUS TRUST UW 360145015"|"1304852"|"7074671.0000"|"6968551.0000"|"348428.0000"
"04-3014763"|"THE SHANE FOUNDATION 15009232"|"1304854"|"1115943.0000"|"1099204.0000"|"54960.0000"
"04-3049521"|"MAYOR GAYDEN MORRILL CHARITABLE FOUNDATION"|"1304855"|"4107751.0000"|"4046135.0000"|"202307.0000"
"04-3422324"|"RUSSO FAMILY CHARITABLE FOUNDATION TRUST"|"1304856"|"542456.0000"|"534319.0000"|"26716.0000"
"04-3494798"|"THE WADE FAMILY FOUNDATION"|"1304857"|"1773190.0000"|"1746592.0000"|"87330.0000"
"04-3509776"|"THE HICKS FAMILY CHARITABLE FOUNDATION JUTTA B. HICKS ET AL, TRUSTEES"|"1304858"|"746170.0000"|"734977.0000"|"36749.0000"
"04-3528004"|"POPPLESTONE FOUNDATION"|"1304859"|"51093349.0000"|"50326949.0000"|"2516347.0000"
"04-6012784"|"KENWOOD FOUNDATION 7560-07552021240"|"1304860"|"234412.0000"|"230896.0000"|"11545.0000"
"04-6029004"|"JAMES C MELVIN TRUST UW FRANCIS L COOLIDGE ET AL TRUSTEES"|"1304861"|"5173107.0000"|"5095510.0000"|"254776.0000"
"04-6043096"|"Macpherson Fund Inc"|"1304862"|"1459112.0000"|"1437225.0000"|"71861.0000"
"04-6088114"|"JUSTIN & GENEVIEVE WYNER TRUST"|"1304863"|"274819.0000"|"270697.0000"|"13535.0000"
"04-6215821"|"JOSEPH & CLARA FLYNN SCHOLARSHIP TRUST"|"1304865"|"776553.0000"|"764905.0000"|"38245.0000"
"04-6528704"|"LOEWY CHARITABLE FOUNDATION ARTHUR F LOEWY TRISTEE"|"1304866"|"13364.0000"|"13164.0000"|"658.0000"
"04-6644020"|"THE IVES FAMILY CHARITABLE TRUST"|"1304867"|"3228469.0000"|"3180042.0000"|"159002.0000"
"04-6668886"|"METANOIA FUND 90151348"|"1304868"|"108929.0000"|"107295.0000"|"5365.0000"
"04-6744975"|"KERSHAW FOUNDATION CHARITABLE TRUST"|"1304869"|"84711.0000"|"83440.0000"|"4172.0000"
"01-0371179"|"LONGLEY SCHOLARSHIP FOUNDATION 43M133013"|"1305584"|"254462.0000"|"250645.0000"|"12532.0000"
"01-6007504"|"JOHN W MANSON TRUST 10-101160039320"|"1305586"|"1467213.0000"|"1445205.0000"|"72260.0000"
"02-6008379"|"THE GREENSPAN FOUNDATION"|"1305588"|"2531130.0000"|"2493163.0000"|"124658.0000"
"03-0341004"|"BETTER AND BETTER FOUNDATION"|"1305589"|"1653469.0000"|"1628667.0000"|"60907.0000"
"03-6070999"|"HARRY WOLFF TRUST"|"1305590"|"1532719.0000"|"1509728.0000"|"75486.0000"
"03-6089090"|"BONBRIGHT FAMILY FOUNDATION"|"1305591"|"1127894.0000"|"1110976.0000"|"55549.0000"
"04-2613244"|"JAMES G. MARTIN MEMORIAL TRUST"|"1305592"|"2993720.0000"|"2948814.0000"|"147440.0000"
"04-6024320"|"TTEE U/W OF L. GILBERT FBO LANE HOSP"|"1305593"|"6121054.0000"|"6029238.0000"|"301462.0000"
"04-6044620"|"EASTERN CHARITABLE FOUNDATION"|"1305594"|"1134175.0000"|"1117162.0000"|"55858.0000"
"04-6066081"|"TRAYLOR CHARITABLE FUND"|"1305595"|"1614698.0000"|"1590478.0000"|"79524.0000"
"04-6191561"|"TRASK JOSEPHINE B IRR TR DTD 7/24/68"|"1305596"|"1779864.0000"|"1753166.0000"|"87658.0000"
"01-0705507"|"IRAIDA CADANO CHARITABLE FOUNDATION"|"1307551"|"0.0000"|"0.0000"|"0.0000"
"01-0446023"|"The Bank of Maine Charitable Foundation"|"1308163"|"1535174.0000"|"1512146.0000"|"75607.0000"
"01-0514175"|"Machias Savings Bank Community Development Foundation"|"1308164"|"1015019.0000"|"999794.0000"|"49990.0000"
"01-0737173"|"SUZANNE WESTER MATTEO MD CHARITABLE FNDN"|"1308165"|"688653.0000"|"678323.0000"|"33916.0000"
"01-6148895"|"The S Douglas and Rita C Sukeforth Charitable Foundation"|"1308166"|"5082987.0000"|"5006742.0000"|"250337.0000"
"01-6226621"|"WILLIAM F TROXELL CHARITABLE TRUST PNC BANK NA"|"1308167"|"1352089.0000"|"1331808.0000"|"66590.0000"
"03-0355842"|"Antonio B and Rita M Pomerleau Foundation Inc"|"1308168"|"4547290.0000"|"4479081.0000"|"223954.0000"
"04-2585160"|"BENJAMIN D and RUBY G SCHULMAN FOUNDATION"|"1308169"|"790962.0000"|"779098.0000"|"38955.0000"
"04-2625173"|"THE LINNELL FOUNDATION"|"1308170"|"6192895.0000"|"6100002.0000"|"305000.0000"
"04-2670567"|"ISLAND FOUNDATION INC"|"1308171"|"52469263.0000"|"51682224.0000"|"2584111.0000"
"04-3422869"|"Florence Savings Charitable Foundation Inc"|"1308173"|"1445444.0000"|"1423762.0000"|"71188.0000"
"04-3467074"|"DE BEAUMONT FOUNDATION INC"|"1308174"|"96868023.0000"|"95415003.0000"|"4770750.0000"
"04-3476677"|"NEIGHBORHOOD PARTNERS FUND INC"|"1308175"|"203474.0000"|"200422.0000"|"10021.0000"
"04-3493460"|"ROSENBAUMSTEINBERG FAMILY FOUNDATION"|"1308176"|"233620.0000"|"230116.0000"|"11506.0000"
"04-3690323"|"FRANK SARAH AND MYER J MONUS FOUNDATION"|"1308178"|"755998.0000"|"744658.0000"|"37233.0000"
"04-6039173"|"WELD FOUNDATION 15007564"|"1308179"|"9054145.0000"|"8918333.0000"|"445917.0000"
"04-6142795"|"ALFRED L MORSE & ANNETTE S MORSE FOUNDATION"|"1308180"|"3861519.0000"|"3803596.0000"|"190180.0000"
"04-6677395"|"MARK & CAROL HYMAN FUND"|"1308181"|"3982813.0000"|"3923071.0000"|"196154.0000"
"04-6707573"|"JAMES N ABBOTT JR TRUST UW ARTICLE 4"|"1308182"|"682496.0000"|"672259.0000"|"33613.0000"
"04-6049261"|"THE JAFFE FOUNDATION"|"1308525"|"257986.0000"|"254116.0000"|"12706.0000"
"01-0752786"|"Zachary and Lindsey Gund Foundation"|"1308784"|"1788100.0000"|"1761278.0000"|"88064.0000"
"04-2103780"|"FRANKLIN SQUARE HOUSE FOUNDATION INC"|"1308785"|"21604580.0000"|"21280511.0000"|"1064026.0000"
"04-2104688"|"Managers of Boston Port and Seamen's Aid Society"|"1308786"|"11880675.0000"|"11702465.0000"|"585123.0000"
"04-3484588"|"Florence SavingsEasthampton Branch Charitable Foundation Inc"|"1308787"|"678887.0000"|"668704.0000"|"33435.0000"
"04-3511089"|"THE SHILLMAN FOUNDATION"|"1308788"|"16159700.0000"|"15917304.0000"|"795865.0000"
"04-6039595"|"SIDNEY & ESTHER RABB CHARITABLE FOUNDATION"|"1308789"|"2953683.0000"|"2909378.0000"|"145469.0000"
"01-6008389"|"SHAW'S SUPERMARKETS CHAR FOUNDATION"|"1308908"|"159319.0000"|"156929.0000"|"7846.0000"
"02-6005491"|"EDWARD WAGNER & GEORGE HOSSER SCH FUND 3020003262"|"1308909"|"5639948.0000"|"5555349.0000"|"277767.0000"
