"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"DISTRIBUTABLE_AMOUNT"|"DIST_MIN_INVEST_RETURN"|"DIST_INVEST_INC_TAX"|"DIST_INC_TAX"|"DIST_INV_INC_TAX"|"DIST_BEFORE_ADJ"|"DIST_RECOV"|"DIST_BEFORE_ADJ_RECOV"|"DIST_DEDUCT"
"04-3532105"|"MATTHEW A & SUSAN B WEATHERBIE"|"761942"|"140225.0000"|""|""|""|""|""|""|""|""
"04-3533126"|"Wechsler Family Foundation"|"761944"|"20593.0000"|""|""|""|""|""|""|""|""
"04-3542811"|"The Tiedemann Foundation"|"761948"|"33562.0000"|""|""|""|""|""|""|""|""
"04-6064025"|"THE ROSS WEBB FUND"|"761959"|"71580.0000"|""|""|""|""|""|""|""|""
"04-6293128"|"OBRIEN OLDHAM FAMILY TRUST"|"761962"|"65075.0000"|""|""|""|""|""|""|""|""
"04-6387242"|"GRACE HOWE FAMILY TRUST 31A015010"|"761966"|"22066.0000"|""|""|""|""|""|""|""|""
"04-6820320"|"KINGSBURY ROAD CHARITABLE FOUNDATION"|"761971"|"319338.0000"|""|""|""|""|""|""|""|""
"04-6883004"|"CLOVELLY CHARITABLE TRUST PHILIP T. CHAPLIN ET AL TRUSTEES"|"761974"|"38319.0000"|""|""|""|""|""|""|""|""
"04-6936732"|"THE GEORGE AND ALICE RICH CHARITABLE FOUNDATION"|"761976"|"155673.0000"|""|""|""|""|""|""|""|""
"04-2687384"|"CLIPPER SHIP FOUNDATION, INC."|"762173"|"1275208.0000"|""|""|""|""|""|""|""|""
"04-6040535"|"TRUSTEES OF THE PUTNAM FREE SCHOOL"|"762230"|"73485.0000"|""|""|""|""|""|""|""|""
"04-6133810"|"KARGMAN CHARITABLE & EDUCATIONAL FOUNDATION INC"|"768012"|"105188.0000"|""|""|""|""|""|""|""|""
"01-0567810"|"PATRICIA E. PHELAN AND JOSEPH W. PHELAN FAMILY FOUNDATION INC."|"768631"|"64042.0000"|""|""|""|""|""|""|""|""
"02-0573327"|"BRUCE E. & DEBRA K. GREWCOCK FOUNDATION"|"768650"|"142316.0000"|""|""|""|""|""|""|""|""
"02-0794202"|"COTSEN FOUNDATION FOR ACADEMIC RESEARCH"|"768653"|"21339.0000"|""|""|""|""|""|""|""|""
"02-6037729"|"HENRY F. HURLBURT, III CHARITABLE TRUST BRAD GILE, TRUSTEE"|"768659"|"41084.0000"|""|""|""|""|""|""|""|""
"02-6060525"|"LUCY E MANIX DAWSON CHARITABLE TRUST 5122080"|"768662"|"53534.0000"|""|""|""|""|""|""|""|""
"02-6067436"|"BERRY SCHOLARSHIP"|"768664"|"19226.0000"|""|""|""|""|""|""|""|""
"02-6077231"|"MERRIFIELD WOODIS CHARITABLE TRUST 402726012"|"768667"|"112606.0000"|""|""|""|""|""|""|""|""
"02-6086221"|"THE FANNIE COX FOUNDATION"|"768669"|"168119.0000"|""|""|""|""|""|""|""|""
"03-0326934"|"Carris Corporate Foundation"|"768671"|"4406.0000"|""|""|""|""|""|""|""|""
"03-0373301"|"THE DALKYS FOUNDATION"|"768674"|"35343.0000"|""|""|""|""|""|""|""|""
"03-6004915"|"ELEANOR WHITE TRUST 430012013"|"768677"|"18862.0000"|""|""|""|""|""|""|""|""
"03-6084732"|"Ferdinand & Sarah Cinelli Charitable Trust"|"768679"|"54252.0000"|""|""|""|""|""|""|""|""
"04-2723441"|"Demoulas Foundation"|"768682"|"1737857.0000"|""|""|""|""|""|""|""|""
"04-3338927"|"HAZARD FAMILY FOUNDATION"|"768686"|"209960.0000"|""|""|""|""|""|""|""|""
"04-3340006"|"MARTHA R. GERRY TOWNLEY FOUNDATION MARK A. NOWAK, CO-TRUSTEE"|"768690"|"229660.0000"|""|""|""|""|""|""|""|""
"04-3367614"|"REMILLARD FAMILY FOUNDATION INC. #0737882"|"768693"|"95947.0000"|""|""|""|""|""|""|""|""
"04-3371223"|"Douglas Drane Charitable Trust"|"768697"|"99365.0000"|""|""|""|""|""|""|""|""
"04-3424302"|"EAGLEMERE FOUNDATION INC"|"768702"|"393508.0000"|""|""|""|""|""|""|""|""
"04-3468419"|"EDNAH HORNER CHARITABLE FOUNDATION EASTERN BANK, TRUSTEE"|"768708"|"31473.0000"|""|""|""|""|""|""|""|""
"04-3473310"|"THE CRAWFORD IDEMA FAMILY FOUNDATION, INC."|"768713"|"444119.0000"|""|""|""|""|""|""|""|""
"04-3494341"|"FLORENCE PETRLIK FAMILY FOUNDATION"|"768717"|"69266.0000"|""|""|""|""|""|""|""|""
"04-3543803"|"STEVEN M AND BARBARA GARFINKLE FOUNDATION INC"|"768722"|"5858.0000"|""|""|""|""|""|""|""|""
"04-3778128"|"The Ideker Family Foundation"|"768726"|"109603.0000"|""|""|""|""|""|""|""|""
"04-6038620"|"FLORENCE & ROBERT SPRAGUE FOUNDATION"|"768733"|"15343.0000"|""|""|""|""|""|""|""|""
"04-6056824"|"NORMAN KNIGHT CHARITABLE FOUNDATION"|"768739"|"256314.0000"|""|""|""|""|""|""|""|""
"04-6128210"|"JOSEPH M. HAMILBURG FOUNDATION"|"768743"|"80897.0000"|""|""|""|""|""|""|""|""
"04-6245712"|"PHYLLIS W MCGILLICUDDY CHARITABLE TRUST LINDA S. DALBY ET AL, TRUSTEES"|"768746"|"75591.0000"|""|""|""|""|""|""|""|""
"04-6655524"|"OEDEL FOUNDATION"|"768750"|"114300.0000"|""|""|""|""|""|""|""|""
"04-6834127"|"MORIARTY FAMILY CHARITABLE FOUNDATION TR ROWLAND T. & JANE F. MORIARTY, TRUSTEES"|"768756"|"54537.0000"|""|""|""|""|""|""|""|""
"04-6861522"|"WILSON CARUSO CHARITABLE FOUNDATION"|"768757"|"69004.0000"|""|""|""|""|""|""|""|""
"04-6869215"|"THE DICENSO FAMILY CHARITABLE TRUST"|"768762"|"32096.0000"|""|""|""|""|""|""|""|""
"03-0363251"|"STOWE SWIMMERS FOUNDATION LTD, D/B/A THE SWIMMING HOLE"|"768985"|""|""|""|""|""|""|""|""|""
"01-6010195"|"JOSEPH HOW CHARITABLE TRUST"|"769005"|"66877.0000"|""|""|""|""|""|""|""|""
"02-0560941"|"NAUGATUCK VALLEY MEDICAL SCHOLARSHIP FUND, INC"|"769031"|"0.0000"|""|""|""|""|""|""|""|""
"02-6004243"|"FURBUSH GEORGE T/U/W"|"769043"|"91483.0000"|""|""|""|""|""|""|""|""
"04-3444155"|"The Don & Marilyn Rodman Foundation"|"769077"|"91792.0000"|""|""|""|""|""|""|""|""
"04-3405965"|"John F. & Dorothy H. Magee Foundation"|"769126"|"69594.0000"|""|""|""|""|""|""|""|""
"04-3408546"|"THE LOCHRIDGE-WATKINS CHAR FD"|"769128"|"105270.0000"|""|""|""|""|""|""|""|""
"04-6010540"|"IDA S CHARLTON CHARITY FD U/W"|"769139"|"119154.0000"|""|""|""|""|""|""|""|""
"04-6010635"|"GLADYS F WILDE TRUST"|"769142"|"109213.0000"|""|""|""|""|""|""|""|""
"04-6018676"|"EDWARD WALKER TRUST U/W"|"769145"|"446446.0000"|""|""|""|""|""|""|""|""
"04-6019531"|"JOHN DEFERRARI FOUNDATION"|"769147"|"324412.0000"|""|""|""|""|""|""|""|""
"04-6020152"|"MCCARTHY FAMILY FOUNDATION"|"769150"|"157384.0000"|""|""|""|""|""|""|""|""
"04-6020498"|"TUCO GEORGE R WRIGHT/CHARITIES"|"769153"|"174866.0000"|""|""|""|""|""|""|""|""
"04-6021172"|"NELSON & GERTRUDE HIBBARD IRR UA"|"769155"|"83288.0000"|""|""|""|""|""|""|""|""
"04-6023194"|"TR U/W NELSON BAKER"|"769158"|"49288.0000"|""|""|""|""|""|""|""|""
"04-6024752"|"TTEE U/I OF CLINTON G MILLS"|"769161"|"29767.0000"|""|""|""|""|""|""|""|""
"04-6038039"|"GEORGE WELLS FOUNDATION U/I"|"769164"|"215803.0000"|""|""|""|""|""|""|""|""
"04-6097555"|"BOYNTON MARION F 1935 TRUST T06766"|"769168"|"109902.0000"|""|""|""|""|""|""|""|""
"04-6112252"|"ERNEST DEXTER TRUST U/W"|"769172"|"93259.0000"|""|""|""|""|""|""|""|""
"04-6118945"|"H GRAFTON JR B/O MEM FD U/W"|"769175"|"39522.0000"|""|""|""|""|""|""|""|""
"04-6139771"|"HOWARD WEAVER B/O BEXLEY HALL"|"769178"|"97195.0000"|""|""|""|""|""|""|""|""
"04-6224489"|"TTEE U/A OF ELLICE M ENDICOTT"|"769182"|"139615.0000"|""|""|""|""|""|""|""|""
"04-6233953"|"DEMOSTHENIS RAPTELIS FOUNDATION"|"769185"|"161326.0000"|""|""|""|""|""|""|""|""
"04-6269751"|"H AND F NOYES MEM FD"|"769188"|"146341.0000"|""|""|""|""|""|""|""|""
"04-6307934"|"GLADYS REYNOLDS SA VOIE TR U/I"|"769191"|"65166.0000"|""|""|""|""|""|""|""|""
"04-6387282"|"TR U/A C R HASTINGS F/B SPFL"|"769194"|"53829.0000"|""|""|""|""|""|""|""|""
"04-6393242"|"WM O MOSELEY FNDN 16 U/I"|"769196"|"72069.0000"|""|""|""|""|""|""|""|""
"04-6446179"|"BROOKS GRACE E TRUST"|"769199"|"98371.0000"|""|""|""|""|""|""|""|""
"04-6644099"|"TTEE U/W OF C W BOLLIVAR"|"769201"|"83010.0000"|""|""|""|""|""|""|""|""
"04-6785966"|"HENRY BROOKS TRUST C"|"769205"|"118861.0000"|""|""|""|""|""|""|""|""
"04-6871637"|"FELLOWS CHARITABLE TRUST"|"769207"|"54332.0000"|""|""|""|""|""|""|""|""
"01-0712009"|"BACHMAN FOUNDATION"|"773787"|"73907.0000"|""|""|""|""|""|""|""|""
"01-6009246"|"DAVENPORT TRUST FUND"|"773789"|"317473.0000"|""|""|""|""|""|""|""|""
"02-6021132"|"MARY LOUISE BILLINGS TRUST"|"773793"|"45076.0000"|""|""|""|""|""|""|""|""
"04-3198713"|"RUSSELL-DAVIDSON FOUNDATION"|"773795"|"44620.0000"|""|""|""|""|""|""|""|""
"04-3382941"|"William and Gayle Chroske Family Foundation"|"773797"|"48862.0000"|""|""|""|""|""|""|""|""
"04-3556844"|"BOSTON SCIENTIFIC FOUNDATION, INC."|"773805"|"888088.0000"|""|""|""|""|""|""|""|""
"04-6035506"|"J HENRY KENDALL TRUST"|"773806"|"116561.0000"|""|""|""|""|""|""|""|""
"04-6269700"|"ALTA W FOSTER TRUST"|"773809"|"1340060.0000"|""|""|""|""|""|""|""|""
"01-0789717"|"THE ANGELL FOUNDATION"|"773869"|"4903141.0000"|""|""|""|""|""|""|""|""
"01-0772925"|"ASHNER FAMILY EVERGREEN FOUNDATION"|"777618"|"137056.0000"|""|""|""|""|""|""|""|""
"01-6009341"|"THE GREENE-MILSTEIN FAMILY FOUNDATION"|"777623"|"153653.0000"|""|""|""|""|""|""|""|""
"01-6011506"|"ROBERT W. BELKNAP, MD, FREE BED FUND"|"777625"|"11001.0000"|""|""|""|""|""|""|""|""
"01-6149204"|"OLIVE A COATES CHARITABLE TRUST"|"777629"|"210296.0000"|""|""|""|""|""|""|""|""
"01-6162638"|"KAREN ANNE BOLLWERK BURKE AND WILLIAM A BURKE FAMILY CHARITABLE TRUST"|"777633"|"37293.0000"|""|""|""|""|""|""|""|""
"01-6208130"|"PRYOR E. & ARLENE R. NEUBER CHARITABLE TRUST"|"777637"|"390056.0000"|""|""|""|""|""|""|""|""
"02-0502244"|"LAVOIE FOUNDATION"|"777654"|"96762.0000"|""|""|""|""|""|""|""|""
"02-6004322"|"Trust uw Alvin Cross"|"777666"|"76018.0000"|""|""|""|""|""|""|""|""
"02-6015114"|"HUBBARD FARMS CHARITABLE FOUNDATION"|"777671"|"50736.0000"|""|""|""|""|""|""|""|""
"02-6048930"|"Trust UW Oleonda Jameson"|"777672"|"266979.0000"|""|""|""|""|""|""|""|""
"03-0370623"|"BERGERON FAMILY FOUNDATION"|"777685"|"91428.0000"|""|""|""|""|""|""|""|""
"04-2226641"|"The Thoracic Foundation"|"777717"|"284003.0000"|""|""|""|""|""|""|""|""
"04-2979426"|"THE BEAUCOURT FOUNDATION, INC."|"777728"|"107645.0000"|""|""|""|""|""|""|""|""
"04-3243114"|"THE CREIGHTON NARADA FOUNDATION"|"777738"|"547260.0000"|""|""|""|""|""|""|""|""
"04-3388013"|"JORDAN TORCH FOUNDATION - TR"|"777741"|"47415.0000"|""|""|""|""|""|""|""|""
"04-3401318"|"KENNEDY FAMILY FOUNDATION"|"777743"|"18248.0000"|""|""|""|""|""|""|""|""
"04-3422324"|"RUSSO FAMILY CHARITABLE FOUNDATION TRUST"|"777747"|"32125.0000"|""|""|""|""|""|""|""|""
"04-6009430"|"FRANKLIN H PUTNAM TRUST"|"777757"|"41082.0000"|""|""|""|""|""|""|""|""
"04-6012742"|"CHARLES A KING U/W-EQUITY"|"777759"|"1019047.0000"|""|""|""|""|""|""|""|""
"04-6015506"|"TTEE U/W OF OLIVER B QUINBY"|"777762"|"72564.0000"|""|""|""|""|""|""|""|""
"04-6016107"|"EASTERN BANK TRUSTEE"|"777764"|"17656.0000"|""|""|""|""|""|""|""|""
"04-6017700"|"Eaton Foundation"|"777766"|"71455.0000"|""|""|""|""|""|""|""|""
"04-6019113"|"LOUISE G PEASE B/O BAYSTATE MED"|"777768"|"107724.0000"|""|""|""|""|""|""|""|""
"04-6036706"|"JOHN W BOYNTON FUND"|"777772"|"187075.0000"|""|""|""|""|""|""|""|""
"04-6058104"|"William B Rice Aid Fund Inc"|"777775"|"47535.0000"|""|""|""|""|""|""|""|""
"04-6079522"|"R ELAINE CROSTON TR U/WILL"|"777779"|"24076.0000"|""|""|""|""|""|""|""|""
"04-6115712"|"MARY E & LUCY S BELL IRR CHAR TR"|"777782"|"92411.0000"|""|""|""|""|""|""|""|""
"04-6141425"|"EVELYN H BLACK A3B U/W"|"777784"|"61804.0000"|""|""|""|""|""|""|""|""
"04-6229044"|"UD DONALDSON CHARITABLE TRUST 59-7942686"|"777796"|"1417097.0000"|""|""|""|""|""|""|""|""
"04-6232521"|"GRACE JORDAN IRRV TUA 25 CHARIT"|"777799"|"139042.0000"|""|""|""|""|""|""|""|""
"04-6245939"|"AYLING CHARLES L TR U/WILL"|"777801"|"356816.0000"|""|""|""|""|""|""|""|""
"04-6266114"|"WILLIAM HOSIER TR U/WILL"|"777802"|"15233.0000"|""|""|""|""|""|""|""|""
"04-6319124"|"TR U/W OF R BABSON ART 25C A & B"|"777804"|"101498.0000"|""|""|""|""|""|""|""|""
"04-6496117"|"HALBERT JOSEPH TUA-SCHOLARSHIPS"|"777805"|"25587.0000"|""|""|""|""|""|""|""|""
"04-6614314"|"PATRICK CARNEY FOUNDATION"|"777809"|"334970.0000"|""|""|""|""|""|""|""|""
"04-6652923"|"ADELARD AND VALEDA ROY FOUNDATION"|"777812"|"422598.0000"|""|""|""|""|""|""|""|""
"04-6829607"|"TTEE U/A OF MARION N ROAF"|"777814"|"149179.0000"|""|""|""|""|""|""|""|""
"04-6927546"|"KLAUS-JURGEN BATHE CHARITABLE FOUNDATION"|"777818"|"45923.0000"|""|""|""|""|""|""|""|""
"04-6941137"|"EMILIO A. & MARY A. DIFELICE SCHOLARSHIP TRUS"|"777819"|"44196.0000"|""|""|""|""|""|""|""|""
"04-2670128"|"MELVIN AND RYNA COHEN FOUNDATION"|"779160"|"52609.0000"|""|""|""|""|""|""|""|""
"04-3402936"|"THE WATTS FAMILY FOUNDATION"|"779274"|"379650.0000"|""|""|""|""|""|""|""|""
"01-0720431"|"CHERYL C & BLAIR EFFRON FAMILY FOUNDATION"|"785760"|"306603.0000"|""|""|""|""|""|""|""|""
"02-6033716"|"JASON SOMERVILLE TRUST NANCY STEVENSON, TTEE"|"785781"|"84286.0000"|""|""|""|""|""|""|""|""
"03-0184240"|"OM FISHER HOME INC"|"785783"|""|""|""|""|""|""|""|""|""
"03-0346513"|"The Orton Family Foundation, Inc."|"785789"|""|""|""|""|""|""|""|""|""
"03-6059731"|"Schultz-Blackwell Trust"|"785797"|"112149.0000"|""|""|""|""|""|""|""|""
"03-6090117"|"Robert and Judith Family Foundation Trust"|"785799"|""|""|""|""|""|""|""|""|""
"04-2103930"|"BRANDEGEE CHARITABLE FOUNDATION"|"785807"|"270997.0000"|""|""|""|""|""|""|""|""
"04-2943405"|"C. Kevin Landry Charitable Foundation"|"785812"|""|""|""|""|""|""|""|""|""
"04-3415547"|"THE BAY STATE FEDERAL SAVINGS CHARITABLE FOUNDATION"|"785820"|"417171.0000"|""|""|""|""|""|""|""|""
"04-3521246"|"MIDDLESEX SAVINGS CHARITABLE FOUNDATION, INC."|"785827"|"291115.0000"|""|""|""|""|""|""|""|""
"04-3569828"|"Hall Family Foundation"|"785832"|"2628.0000"|""|""|""|""|""|""|""|""
"04-6019938"|"BOOTH FOUNDATION THE JH0395"|"785843"|"11818.0000"|""|""|""|""|""|""|""|""
"04-6023228"|"MARY M COES CHARITABLE T/U/W"|"785845"|"197294.0000"|""|""|""|""|""|""|""|""
"04-6044945"|"HUNTER FAMILY CHARITABLE TRUST"|"785846"|"17430.0000"|""|""|""|""|""|""|""|""
"04-6096044"|"CHARLOTTE M ROBBINS TRUST U/W"|"785849"|"20386.0000"|""|""|""|""|""|""|""|""
"04-6138742"|"ORANGE SCHOLARSHIP FOUNDATION"|"785856"|"28850.0000"|""|""|""|""|""|""|""|""
"04-6232529"|"MAY B SADOWSKI"|"785859"|"117345.0000"|""|""|""|""|""|""|""|""
"04-6282546"|"ELLIOTT J S & S C CHAR TRUST"|"785861"|"574426.0000"|""|""|""|""|""|""|""|""
"04-6633929"|"HAROLD B WALKER CHARITABLE TR"|"785863"|"23316.0000"|""|""|""|""|""|""|""|""
"04-6660214"|"THE ORCHARD FOUNDATION"|"785867"|"659034.0000"|""|""|""|""|""|""|""|""
"04-2607232"|"THE NANCY LURIE MARKS FAMILY FOUNDATION"|"785991"|"5300289.0000"|""|""|""|""|""|""|""|""
"04-3340127"|"PIECEWORK PARTNERS"|"786043"|""|""|""|""|""|""|""|""|""
"04-6014333"|"THE FRED HARRIS DANIELS FOUNDATION"|"786056"|"975272.0000"|""|""|""|""|""|""|""|""
"04-3424944"|"The Edward J Urban Foundation"|"787984"|"83095.0000"|""|""|""|""|""|""|""|""
"04-6044767"|"DOUGLAS & ISABELLE CROCKER FOUNDATION"|"788007"|"86256.0000"|""|""|""|""|""|""|""|""
"02-6007047"|"LADIES CHARITABLE SOCIETY OF KEENE"|"788026"|"32117.0000"|""|""|""|""|""|""|""|""
"02-6113705"|"FELLER FAMILY CHARITABLE FOUNDATION TRUST"|"788033"|"1396.0000"|""|""|""|""|""|""|""|""
"04-3071209"|"THE ROWE FOUNDATION, INC"|"788049"|"46896.0000"|""|""|""|""|""|""|""|""
"04-3371801"|"THE REDMOND FAMILY FOUNDATION"|"788062"|"58708.0000"|""|""|""|""|""|""|""|""
"04-3466900"|"FAMILY FOUNDATION"|"788076"|"695434.0000"|""|""|""|""|""|""|""|""
"04-3528004"|"POPPLESTONE FOUNDATION"|"788083"|"2467001.0000"|""|""|""|""|""|""|""|""
"04-6032206"|"J Loring Brooks Foundation"|"788105"|"20780.0000"|""|""|""|""|""|""|""|""
"04-6035212"|"ESTHER H. HAWKS TRUST #0717116"|"788112"|"86575.0000"|""|""|""|""|""|""|""|""
"04-6145922"|"DAVID GREENEWALT CHARITABLE TRUST WINIFRED I. LI, TRUSTEE"|"788115"|"91890.0000"|""|""|""|""|""|""|""|""
"04-6148712"|"CREIGHTON FAMILY FOUNDATION PETER M. SHAPLAND ET AL TRUSTEES"|"788125"|"80450.0000"|""|""|""|""|""|""|""|""
"04-6215821"|"JOSEPH & CLARA FLYNN SCHOLARSHIP TRUST 32A001018"|"788130"|"37025.0000"|""|""|""|""|""|""|""|""
"04-6334411"|"CHARLTON FUND-CHARLTON MEM HOS"|"788145"|"455650.0000"|""|""|""|""|""|""|""|""
"01-0635531"|"THE NATALIE BAILEY & HERBERT J KIRSHNER FOUNDATION"|"789717"|"124666.0000"|""|""|""|""|""|""|""|""
"01-6145027"|"ANNE WHITEMAN RICHARDSON RESIDUARY"|"789719"|"77695.0000"|""|""|""|""|""|""|""|""
"02-6040429"|"BJB Charitable Account"|"789727"|"86117.0000"|""|""|""|""|""|""|""|""
"02-6115326"|"THE BAGAN FOUNDATION"|"789728"|"17473.0000"|""|""|""|""|""|""|""|""
"03-0330527"|"FRANK M. AND OLIVE F. GILMAN FOUNDATION"|"789730"|"1721877.0000"|""|""|""|""|""|""|""|""
"04-2121312"|"COOLIDGE HILL FOUNDATION"|"789736"|"58308.0000"|""|""|""|""|""|""|""|""
"04-3000345"|"THE FEIGENBAUM FOUNDATION, INC."|"789742"|"153337.0000"|""|""|""|""|""|""|""|""
"04-3217038"|"Katharine L.W. and Winthrop M. Crane, 3d Charitable Foundation"|"789744"|"86164.0000"|""|""|""|""|""|""|""|""
"04-3342405"|"SALEM FIVE CHARITABLE FOUNDATION, INC."|"789747"|"33685.0000"|""|""|""|""|""|""|""|""
"04-3371817"|"THE DENNIS A. O'TOOLE FAMILY FOUNDATION"|"789749"|"111540.0000"|""|""|""|""|""|""|""|""
"04-3399319"|"EAST CAMBRIDGE SAVINGS CHARITABLE FOUNDATION, INC."|"789751"|"4567.0000"|""|""|""|""|""|""|""|""
"04-6070226"|"GRIMES - KING FOUNDATION FOR THE ELDERLY"|"789761"|"124952.0000"|""|""|""|""|""|""|""|""
"04-6094404"|"ROBERT BRIGHAM TRUST"|"789763"|"153520.0000"|""|""|""|""|""|""|""|""
"04-6126323"|"ELIOT I AND RUTH SNIDER CHARITABLE TRUST"|"789770"|"44219.0000"|""|""|""|""|""|""|""|""
"04-6466327"|"JONES, GRACE B."|"789772"|"23056.0000"|""|""|""|""|""|""|""|""
"04-6538205"|"NORMAN ROCKWELL ART COLLECTION TRUST"|"789773"|"0.0000"|""|""|""|""|""|""|""|""
"04-6896914"|"NOVACK FAMILY FOUNDATION"|"789776"|"82596.0000"|""|""|""|""|""|""|""|""
"04-3542100"|"THE REEDER FOUNDATION"|"791808"|"472248.0000"|""|""|""|""|""|""|""|""
"04-6792592"|"CO-TR U/I R UDELL THORNTON"|"919883"|"81764.0000"|""|""|""|""|""|""|""|""
"04-2670055"|"HAROLD AND JANICE COHEN FOUNDATION"|"927487"|"31364.0000"|""|""|""|""|""|""|""|""
"04-6905753"|"THE FISH FAMILY FOUNDATION"|"927488"|"457623.0000"|""|""|""|""|""|""|""|""
"01-0632648"|"FEATHER FOUNDATION, INC."|"927538"|"110247.0000"|""|""|""|""|""|""|""|""
"01-6161852"|"ELLEN M CROUCHLEY TR FBO RIDGEFIELD LIB & HIS T"|"927539"|"74453.0000"|""|""|""|""|""|""|""|""
"02-0222148"|"KINGS DAUGHTERS BENEVOLENT ASSOCIATION"|"927540"|"45609.0000"|""|""|""|""|""|""|""|""
"02-0526252"|"The Ayer Scholarship Trust"|"927541"|"35612.0000"|""|""|""|""|""|""|""|""
"02-6076262"|"THE MCININCH SCHOLARSHIP FUND 407385012"|"927543"|"72500.0000"|""|""|""|""|""|""|""|""
"02-6117755"|"ALDEN N. YOUNG TRUST"|"927544"|"128104.0000"|""|""|""|""|""|""|""|""
"03-0498860"|"GARVY FAMILY FOUNDATION"|"927545"|"49639.0000"|""|""|""|""|""|""|""|""
"03-0541650"|"AMERICO J FRANCISCO CHARITABLE TRUST"|"927546"|"68552.0000"|""|""|""|""|""|""|""|""
"03-0576552"|"ARORA FOUNDATION, INC."|"927547"|"99393.0000"|""|""|""|""|""|""|""|""
"03-6090656"|"LLOYD SCHMITZ CHARITABLE TRUST FBO ST. PETER'S UNITED METHODIST CHURCH"|"927548"|"75092.0000"|""|""|""|""|""|""|""|""
"04-2767454"|"JOHN BOLTEN CHARITABLE FOUNDATION"|"927549"|"135039.0000"|""|""|""|""|""|""|""|""
"04-3254349"|"FREELANDER FAMILY CHARITABLE TRUST"|"927550"|"197626.0000"|""|""|""|""|""|""|""|""
"04-3328552"|"THE CHESWATYR FOUNDATION, INC."|"927551"|"28678.0000"|""|""|""|""|""|""|""|""
"04-3339062"|"Bert and Betty Greene Memorial Fund"|"927552"|"12534.0000"|""|""|""|""|""|""|""|""
"04-3388562"|"ALAN D. AND SUSAN LEWIS SOLOMONT FAMILY FOUNDATION"|"927553"|"20652.0000"|""|""|""|""|""|""|""|""
"04-3397455"|"THE PROVIDENT COMMUNITY FOUNDATION, INC."|"927554"|"88833.0000"|""|""|""|""|""|""|""|""
"04-3399061"|"1997 John & Mary Murphy Educational Foundation"|"927555"|"143719.0000"|""|""|""|""|""|""|""|""
"04-3479749"|"THE MILFORD NATIONAL CHARITABLE FOUNDATION, INC."|"927556"|"626.0000"|""|""|""|""|""|""|""|""
"04-3546250"|"THE DONNA ANNE POULACK FOUNDATION"|"927557"|"132144.0000"|""|""|""|""|""|""|""|""
"04-6024358"|"JOSEPH H STONE TR U/W TRINITARIAN CHURCH"|"927559"|"12845.0000"|""|""|""|""|""|""|""|""
"04-6043554"|"PHINEAS W. SPRAGUE MEMORIAL FOUNDATION"|"927560"|"142088.0000"|""|""|""|""|""|""|""|""
"04-6139356"|"JESSIE GORDON SHERMAN TR. U/W"|"927561"|"68665.0000"|""|""|""|""|""|""|""|""
"04-6148959"|"VIPONT DE MERWIN R.D TR 151872 FBO 312065014"|"927562"|"89335.0000"|""|""|""|""|""|""|""|""
"04-6183548"|"LECLERC CHARITY FUND"|"927563"|"544344.0000"|""|""|""|""|""|""|""|""
"04-6904362"|"CHARLES M & RUTH H WILCOX TRUST, LUKE TRAVIS, TRUSTEE"|"927567"|"56265.0000"|""|""|""|""|""|""|""|""
"03-0485661"|"JUDSON FAMILY FOUNDATION, INC"|"930224"|"6740.0000"|""|""|""|""|""|""|""|""
"04-3340251"|"CITIZENS PROGRAMS CORPORATION"|"930225"|"336296.0000"|""|""|""|""|""|""|""|""
"04-2103958"|"THE CAMBRIDGE HOMES"|"933109"|""|""|""|""|""|""|""|""|""
"01-6138763"|"GLADYS F. O'NEIL CHARITABLE TRUST"|"935957"|"129137.0000"|""|""|""|""|""|""|""|""
"02-0522262"|"Newspaper Foundation"|"935958"|"17916.0000"|""|""|""|""|""|""|""|""
"02-0694762"|"J&L FOUNDATION"|"935959"|"176337.0000"|""|""|""|""|""|""|""|""
"02-6006053"|"THE MCININCH FOUNDATION"|"935960"|"282085.0000"|""|""|""|""|""|""|""|""
"02-6091650"|"ROBIN COLSON MEMORIAL FOUNDATION 404620015"|"935961"|"32127.0000"|""|""|""|""|""|""|""|""
"02-6123358"|"JASPER & CATHERINE BLANDIN TRUST 407440015"|"935962"|"26979.0000"|""|""|""|""|""|""|""|""
"04-2767462"|"FRANK M. BARNARD FOUNDATION, INC."|"935963"|"66238.0000"|""|""|""|""|""|""|""|""
"04-3105650"|"The Hanover Insurance Group Foundation, Inc."|"935964"|"250459.0000"|""|""|""|""|""|""|""|""
"04-3236053"|"THE MORNINGSTAR FAMILY FOUNDATION"|"935965"|"180640.0000"|""|""|""|""|""|""|""|""
"04-3370051"|"STILL POINT FUND"|"935968"|"340030.0000"|""|""|""|""|""|""|""|""
"04-3386858"|"The Mark D. Hostetter and Alexander N. Habib Foundation"|"935969"|"1238107.0000"|""|""|""|""|""|""|""|""
"04-3540155"|"MARIANNE J H WITHERBY FOUNDATION"|"935971"|"47824.0000"|""|""|""|""|""|""|""|""
"04-3542759"|"The Downey Family Charitable Foundation"|"935972"|"108242.0000"|""|""|""|""|""|""|""|""
"04-3582759"|"Telemachus and Irene Demoulas Family Foundation"|"935973"|"3264606.0000"|""|""|""|""|""|""|""|""
"04-6024257"|"TTEE U/W OF EDWARD AUSTIN"|"935974"|"25110.0000"|""|""|""|""|""|""|""|""
