"C_EIN"|"C_Org_Name"|"approved_grant_id"|"XML_DOCUMENT_ID"|"ORGNAME"|"CITY"|"STATE"|"COUNTRY"|"AMOUNT"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151895"|"982951"|"FISHTRAP"|"ENTERPRISE"|"OR"|"USA"|"10000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151896"|"982951"|"HIGH DESERT MUSEUM"|"BEND"|"OR"|"USA"|"25000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151897"|"982951"|"LEADERSHIP & ENTREPRENEURSHIP CHARTER HIGH SCHOOL"|"PORTLAND"|"OR"|"USA"|"20000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151898"|"982951"|"MIRACLE THEATRE GROUP"|"PORTLAND"|"OR"|"USA"|"10000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151899"|"982951"|"OREGON MUSEUM OF SCIENCE AND INDUSTRY"|"PORTLAND"|"OR"|"USA"|"125000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151900"|"982951"|"OREGON PUBLIC BROADCASTING"|"PORTLAND"|"OR"|"USA"|"400000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151901"|"982951"|"OREGON TECH FOUNDATION INC"|"KLAMATH FALLS"|"OR"|"USA"|"75000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151902"|"982951"|"PORTLAND COLUMBIA SYMPHONY"|"PORTLAND"|"OR"|"USA"|"7500.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151903"|"982951"|"PORTLAND JAZZ FESTIVAL INC"|"PORTLAND"|"OR"|"USA"|"5000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151904"|"982951"|"SALEM ART ASSOCIATION"|"SALEM"|"OR"|"USA"|"10000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151905"|"982951"|"SALEMKEIZER COALITION FOR EQUALITY"|"SALEM"|"OR"|"USA"|"25000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151906"|"982951"|"SCHOOLHOUSE SUPPLIES"|"PORTLAND"|"OR"|"USA"|"15000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151907"|"982951"|"THE ARTS CENTERLINN-BENTON REGIONAL ARTS CENTER"|"PORTLAND"|"OR"|"USA"|"10000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151908"|"982951"|"THIRD ANGLE NEW MUSIC ENSEMBLE"|"PORTLAND"|"OR"|"USA"|"5000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151909"|"982951"|"THIRD RAIL REPERTORY THEATRE"|"PORTLAND"|"OR"|"USA"|"20000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151910"|"982951"|"CASCADE COMMUNITY SCHOOL OF MUSIC"|"BEND"|"OR"|"USA"|"10000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151911"|"982951"|"CREATIVE ADVOCACY NETWORK"|"PORTLAND"|"OR"|"USA"|"30000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151912"|"982951"|"PORTLAND GAY MEN'S CHORUS"|"PORTLAND"|"OR"|"USA"|"10000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151913"|"982951"|"ROGUE VALLEY CHORALE ASSOCIATION"|"ASHLAND"|"OR"|"USA"|"12500.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151914"|"982951"|"TEARS OF JOY THEATRE"|"PORTLAND"|"OR"|"USA"|"30000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151915"|"982951"|"BEAVERTON SCHOOL DISTRICT"|"BEAVERTON"|"OR"|"USA"|"20000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151916"|"982951"|"IMAGO THEATRE"|"PORTLAND"|"OR"|"USA"|"10000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151917"|"982951"|"NORTHWEST FILM CENTER"|"PORTLAND"|"OR"|"USA"|"15000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151918"|"982951"|"CRATERIAN PERFORMANCES COMPANY"|"MEDFORD"|"OR"|"USA"|"10000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151919"|"982951"|"PDX SUMMER SCHOOL"|"PORTLAND"|"OR"|"USA"|"5000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151920"|"982951"|"PORTLAND INSTITUTE FOR CONTEMPORARY ART"|"PORTLAND"|"OR"|"USA"|"20000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151921"|"982951"|"OREGON COAST CHILDREN'S THEATRE"|"TOLEDO"|"OR"|"USA"|"5000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151922"|"982951"|"PHAME ACADEMY OF FINE ARTS"|"PORTLAND"|"OR"|"USA"|"5000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151923"|"982951"|"PORTLAND STATE UNIVERSITY FOUNDATION"|"PORTLAND"|"OR"|"USA"|"1250000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151924"|"982951"|"PORTLAND YOUTH PHILHARMONIC ASSOCIATION"|"PORTLAND"|"OR"|"USA"|"25000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151925"|"982951"|"PETER BRITT GARDENS MUSIC AND ARTS FESTIVAL ASSOCIATION"|"MEDFORD"|"OR"|"USA"|"10000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151926"|"982951"|"ARTS CENTRAL"|"BEND"|"OR"|"USA"|"10000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151927"|"982951"|"PORTLAND READING FOUNDATION"|"PORTLAND"|"OR"|"USA"|"25000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151928"|"982951"|"PROFILE THEATRE PROJECT"|"PORTLAND"|"OR"|"USA"|"15000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151929"|"982951"|"THE OREGON COMMUNITY FOUNDATION"|"PORTLAND"|"OR"|"USA"|"17500.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151930"|"982951"|"I HAVE A DREAM FOUNDATION - OREGON"|"PORTLAND"|"OR"|"USA"|"200000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151931"|"982951"|"LA SALLE CATHOLIC COLLEGE PREPARATORY"|"MILWAUKIE"|"OR"|"USA"|"20000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151932"|"982951"|"PORTLAND ACTORS CONSERVATORY"|"PORTLAND"|"OR"|"USA"|"20000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151933"|"982951"|"REGIONAL ARTS & CULTURE COUNCIL"|"PORTLAND"|"OR"|"USA"|"50000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151934"|"982951"|"PORTLAND CHILDREN'S MUSEUM"|"PORTLAND"|"OR"|"USA"|"30000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151935"|"982951"|"REED COLLEGE"|"PORTLAND"|"OR"|"USA"|"199999.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151936"|"982951"|"COASTAL COMMUNITIES CULTURAL CENTER"|"LINCOLN CITY"|"OR"|"USA"|"10000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151937"|"982951"|"PORTLAND STATE UNIVERSITY FOUNDATION"|"PORTLAND"|"OR"|"USA"|"1250000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151938"|"982951"|"CHALKBOARD PROJECT"|"PORTLAND"|"OR"|"USA"|"206500.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151939"|"982951"|"FISHTRAP"|"ENTERPRISE"|"OR"|"USA"|"10000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151940"|"982951"|"OREGON PUBLIC BROADCASTING"|"PORTLAND"|"OR"|"USA"|"300000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151941"|"982951"|"THIRD ANGLE NEW MUSIC ENSEMBLE"|"PORTLAND"|"OR"|"USA"|"5000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151942"|"982951"|"ROGUE VALLEY CHORALE ASSOCIATION"|"ASHLAND"|"OR"|"USA"|"10000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151943"|"982951"|"BEAVERTON SCHOOL DISTRICT"|"BEAVERTON"|"OR"|"USA"|"20000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151944"|"982951"|"IMAGO THEATRE"|"PORTLAND"|"OR"|"USA"|"10000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151945"|"982951"|"NORTHWEST FILM CENTER"|"PORTLAND"|"OR"|"USA"|"15000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151946"|"982951"|"PDX SUMMER SCHOOL"|"PORTLAND"|"OR"|"USA"|"5000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151947"|"982951"|"PORTLAND INSTITUTE FOR CONTEMPORARY ART"|"PORTLAND"|"OR"|"USA"|"20000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151948"|"982951"|"PORTLAND STATE UNIVERSITY FOUNDATION"|"PORTLAND"|"OR"|"USA"|"1250000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151949"|"982951"|"PORTLAND YOUTH PHILHARMONIC ASSOCIATION"|"PORTLAND"|"OR"|"USA"|"25000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151950"|"982951"|"PORTLAND READING FOUNDATION"|"PORTLAND"|"OR"|"USA"|"25000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151951"|"982951"|"I HAVE A DREAM FOUNDATION - OREGON"|"PORTLAND"|"OR"|"USA"|"200000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151952"|"982951"|"LA SALLE CATHOLIC COLLEGE PREPARATORY"|"MILWAUKIE"|"OR"|"USA"|"10000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151953"|"982951"|"REGIONAL ARTS & CULTURE COUNCIL"|"PORTLAND"|"OR"|"USA"|"50000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151954"|"982951"|"REED COLLEGE"|"PORTLAND"|"OR"|"USA"|"67108.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151955"|"982951"|"PORTLAND STATE UNIVERSITY FOUNDATION"|"PORTLAND"|"OR"|"USA"|"1250000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151956"|"982951"|"CHALKBOARD PROJECT"|"PORTLAND"|"OR"|"USA"|"206500.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151957"|"982951"|"OREGON PUBLIC BROADCASTING"|"PORTLAND"|"OR"|"USA"|"300000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151958"|"982951"|"BEAVERTON SCHOOL DISTRICT"|"BEAVERTON"|"OR"|"USA"|"20000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151959"|"982951"|"PORTLAND STATE UNIVERSITY FOUNDATION"|"PORTLAND"|"OR"|"USA"|"1250000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151960"|"982951"|"I HAVE A DREAM FOUNDATION - OREGON"|"PORTLAND"|"OR"|"USA"|"200000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151961"|"982951"|"PORTLAND STATE UNIVERSITY FOUNDATION"|"PORTLAND"|"OR"|"USA"|"1250000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151962"|"982951"|"BEAVERTON SCHOOL DISTRICT"|"BEAVERTON"|"OR"|"USA"|"20000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151963"|"982951"|"PORTLAND STATE UNIVERSITY FOUNDATION"|"PORTLAND"|"OR"|"USA"|"1250000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151964"|"982951"|"I HAVE A DREAM FOUNDATION - OREGON"|"PORTLAND"|"OR"|"USA"|"200000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151965"|"982951"|"PORTLAND STATE UNIVERSITY FOUNDATION"|"PORTLAND"|"OR"|"USA"|"1250000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151966"|"982951"|"PORTLAND STATE UNIVERSITY FOUNDATION"|"PORTLAND"|"OR"|"USA"|"1250000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151967"|"982951"|"PORTLAND STATE UNIVERSITY FOUNDATION"|"PORTLAND"|"OR"|"USA"|"1250000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151968"|"982951"|"PORTLAND STATE UNIVERSITY FOUNDATION"|"PORTLAND"|"OR"|"USA"|"1250000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151969"|"982951"|"PORTLAND STATE UNIVERSITY FOUNDATION"|"PORTLAND"|"OR"|"USA"|"1250000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151970"|"982951"|"PORTLAND STATE UNIVERSITY FOUNDATION"|"PORTLAND"|"OR"|"USA"|"1250000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151971"|"982951"|"BENTON COUNTY HISTORICAL SOCIETY"|"PHILOMATH"|"OR"|"USA"|"25000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151972"|"982951"|"ETHOS MUSIC CENTER"|"PORTLAND"|"OR"|"USA"|"25000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151973"|"982951"|"ETHOS MUSIC CENTER"|"PORTLAND"|"OR"|"USA"|"25000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151974"|"982951"|"LAKE COUNTY LIBRARY DISTRICT"|"LAKEVIEW"|"OR"|"USA"|"100000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151975"|"982951"|"LEWIS AND CLARK COLLEGE"|"PORTLAND"|"OR"|"USA"|"3500000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151976"|"982951"|"LITERARY ARTS"|"PORTLAND"|"OR"|"USA"|"10000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151977"|"982951"|"MOSIER COMMUNITY SCHOOL"|"MOSIER"|"OR"|"USA"|"10000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151978"|"982951"|"MUSEUM OF CONTEMPORARY CRAFT"|"PORTLAND"|"OR"|"USA"|"35000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151979"|"982951"|"NEWPORT SYMPHONY ORCHESTRA"|"NEWPORT"|"OR"|"USA"|"15000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151980"|"982951"|"NEWPORT SYMPHONY ORCHESTRA"|"NEWPORT"|"OR"|"USA"|"15000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151981"|"982951"|"NEWPORT SYMPHONY ORCHESTRA"|"NEWPORT"|"OR"|"USA"|"15000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151982"|"982951"|"OREGON BALLET THEATRE"|"PORTLAND"|"OR"|"USA"|"300000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151983"|"982951"|"OREGON BALLET THEATRE"|"PORTLAND"|"OR"|"USA"|"300000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151984"|"982951"|"OREGON CHILDREN'S FOUNDATION"|"PORTLAND"|"OR"|"USA"|"50000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151985"|"982951"|"OREGON CHILDREN'S FOUNDATION"|"PORTLAND"|"OR"|"USA"|"50000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151986"|"982951"|"OREGON COAST AQUARIUM"|"NEWPORT"|"OR"|"USA"|"50000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151987"|"982951"|"OREGON COAST AQUARIUM"|"NEWPORT"|"OR"|"USA"|"50000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151988"|"982951"|"OREGON SHAKESPEARE FESTIVAL"|"ASHLAND"|"OR"|"USA"|"250000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151989"|"982951"|"OREGON SHAKESPEARE FESTIVAL"|"ASHLAND"|"OR"|"USA"|"200000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151990"|"982951"|"OREGON SYMPHONY"|"PORTLAND"|"OR"|"USA"|"1000000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151991"|"982951"|"OREGON SYMPHONY"|"PORTLAND"|"OR"|"USA"|"1000000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151992"|"982951"|"PACIFIC NORTHWEST COLLEGE OF ART"|"PORTLAND"|"OR"|"USA"|"60000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151993"|"982951"|"PLAYWRITE"|"PORTLAND"|"OR"|"USA"|"10000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151994"|"982951"|"PORTLAND ART MUSEUM"|"PORTLAND"|"OR"|"USA"|"400000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151995"|"982951"|"PORTLAND ART MUSEUM"|"PORTLAND"|"OR"|"USA"|"400000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151996"|"982951"|"PORTLAND CENTER STAGE"|"PORTLAND"|"OR"|"USA"|"400000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151997"|"982951"|"PORTLAND CENTER STAGE"|"PORTLAND"|"OR"|"USA"|"400000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151998"|"982951"|"PORTLAND OPERA ASSOCIATION"|"PORTLAND"|"OR"|"USA"|"500000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"151999"|"982951"|"PORTLAND OPERA ASSOCIATION"|"PORTLAND"|"OR"|"USA"|"500000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"152000"|"982951"|"SATURDAY ACADEMY"|"PORTLAND"|"OR"|"USA"|"25000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"152001"|"982951"|"SOUTH MEDFORD HIGH SCHOOL"|"MEDFORD"|"OR"|"USA"|"20000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"152002"|"982951"|"SUNRIVER MUSIC FESTIVAL"|"SUNRIVER"|"OR"|"USA"|"25000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"152003"|"982951"|"TEARS OF JOY THEATRE"|"PORTLAND"|"OR"|"USA"|"30000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"152004"|"982951"|"TEARS OF JOY THEATRE"|"PORTLAND"|"OR"|"USA"|"20000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"152005"|"982951"|"THIRD RAIL REPERTORY THEATRE"|"PORTLAND"|"OR"|"USA"|"20000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"152006"|"982951"|"UNIVERSITY OF OREGON"|"EUGENE"|"OR"|"USA"|"25000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"152007"|"982951"|"EUGENE CONCERT CHOIR"|"EUGENE"|"OR"|"USA"|"5000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"152008"|"982951"|"YOUTH SYMPHONY OF SOUTHERN OREGON"|"MEDFORD"|"OR"|"USA"|"5000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"152009"|"982951"|"YOUNG MUSICIANS & ARTISTS"|"PORTLAND"|"OR"|"USA"|"11000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"152010"|"982951"|"INDEPENDENT PUBLISHING RESOURCE CENTER"|"PORTLAND"|"OR"|"USA"|"15000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"152011"|"982951"|"PORTLAND PLAYHOUSE"|"PORTLAND"|"OR"|"USA"|"20000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"152012"|"982951"|"PORTLAND PLAYHOUSE"|"PORTLAND"|"OR"|"USA"|"10000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"152013"|"982951"|"DO JUMP"|"PORTLAND"|"OR"|"USA"|"13000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"152014"|"982951"|"DO JUMP"|"PORTLAND"|"OR"|"USA"|"13000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"152015"|"982951"|"OREGON TRAIL LIBRARY DISTRICT"|"BOARDMAN"|"OR"|"USA"|"50000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"152016"|"982951"|"THE SHADOW PROJECT"|"PORTLAND"|"OR"|"USA"|"15000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"152017"|"982951"|"THE SHADOW PROJECT"|"PORTLAND"|"OR"|"USA"|"8950.0000"
"04-6209497"|"TRUST UWO HERMAN DANA"|"152018"|"982959"|"AMERICAN JEWISH COMMITTEE"|"NEW YORK"|"NY"|"USA"|"100000.0000"
"04-6209497"|"TRUST UWO HERMAN DANA"|"152019"|"982959"|"AMERICAN JEWISH HISTORICAL SOCIETY"|"NEWTON CENTRE"|"MA"|"USA"|"25000.0000"
"04-6209497"|"TRUST UWO HERMAN DANA"|"152020"|"982959"|"ANTI-DEFAMATION LEAGUE"|"BOSTON"|"MA"|"USA"|"20000.0000"
"04-6209497"|"TRUST UWO HERMAN DANA"|"152021"|"982959"|"COMBINED JEWISH PHILANTHROPIES"|"BOSTON"|"MA"|"USA"|"169533.0000"
"04-6209497"|"TRUST UWO HERMAN DANA"|"152022"|"982959"|"ELON HILLELCAMPUS"|"ELON"|"NC"|"USA"|"20000.0000"
"04-6209497"|"TRUST UWO HERMAN DANA"|"152023"|"982959"|"FACING HISTORY AND OURSELVES"|"BROOKLINE"|"MA"|"USA"|"25000.0000"
"04-6209497"|"TRUST UWO HERMAN DANA"|"152024"|"982959"|"FRIENDS OF IR DAVID"|"BROOKLYN"|"NY"|"USA"|"25000.0000"
"04-6209497"|"TRUST UWO HERMAN DANA"|"152025"|"982959"|"HADASSAH"|"NEW YORK"|"NY"|"USA"|"169533.0000"
"04-6209497"|"TRUST UWO HERMAN DANA"|"152026"|"982959"|"HEBREW SENIOR LIFE"|"BOSTON"|"MA"|"USA"|"75000.0000"
"04-6209497"|"TRUST UWO HERMAN DANA"|"152027"|"982959"|"JEWISH BIG BROTHERS BIG SISTERS"|"NEWTON"|"MA"|"USA"|"10000.0000"
"04-6209497"|"TRUST UWO HERMAN DANA"|"152028"|"982959"|"JEWISH COMMUNITY CENTERS OF GREATER BOSTON"|"NEWTON"|"MA"|"USA"|"70000.0000"
"04-6209497"|"TRUST UWO HERMAN DANA"|"152029"|"982959"|"MIDDLE EAST EDUCATION THROUGH TECHNOLOGY"|"CAMBRDIGE"|"MA"|"USA"|"5000.0000"
"04-6209497"|"TRUST UWO HERMAN DANA"|"152030"|"982959"|"NATIONAL JEWISH HEALTH"|"DENVER"|"CO"|"USA"|"75000.0000"
"04-6209497"|"TRUST UWO HERMAN DANA"|"152031"|"982959"|"THE DAVID PROJECT"|"BOSTON"|"MA"|"USA"|"50000.0000"
"04-6209497"|"TRUST UWO HERMAN DANA"|"152032"|"982959"|"THE HILLEL FOUNDATION AT TUFTS UNIVERSITY"|"MEDFORD"|"MA"|"USA"|"25000.0000"
"04-6209497"|"TRUST UWO HERMAN DANA"|"152033"|"982959"|"THE ISRAEL PROJECT"|"WASHINGTON"|"DC"|"USA"|"125000.0000"
"01-0738276"|"The CW Film Foundation Inc"|"153091"|"991254"|"Daniel Eduardo Gagliano"|"Buenos Aires"|""|"AR"|"10000.0000"
"02-0512290"|"ENDOWMENT FOR HEALTH, INC."|"153287"|"993882"|"University of New Hampshire"|"Concord"|"NH"|"USA"|"150000.0000"
"02-0512290"|"ENDOWMENT FOR HEALTH, INC."|"153288"|"993882"|"Children's Alliance of New Hampshire"|"Concord"|"NH"|"USA"|"25000.0000"
"02-0512290"|"ENDOWMENT FOR HEALTH, INC."|"153289"|"993882"|"New Hampshire Center for Public Policy Studies"|"Concord"|"NH"|"USA"|"25000.0000"
"02-0512290"|"ENDOWMENT FOR HEALTH, INC."|"153290"|"993882"|"New Hampshire Center for Nonprofits"|"Concord"|"NH"|"USA"|"25000.0000"
"02-0512290"|"ENDOWMENT FOR HEALTH, INC."|"153291"|"993882"|"University of NH School of Law"|"Concord"|"NH"|"USA"|"25000.0000"
"02-0512290"|"ENDOWMENT FOR HEALTH, INC."|"153292"|"993882"|"New Hampshire Pulbic Radio"|"Concord"|"NH"|"USA"|"25000.0000"
"02-0512290"|"ENDOWMENT FOR HEALTH, INC."|"153293"|"993882"|"New Hampshire Public Health Association"|"Concord"|"NH"|"USA"|"25000.0000"
"02-0512290"|"ENDOWMENT FOR HEALTH, INC."|"153294"|"993882"|"New Hampshire Public Health Association"|"Concord"|"NH"|"USA"|"25000.0000"
"02-0512290"|"ENDOWMENT FOR HEALTH, INC."|"153295"|"993882"|"Leadership New Hampshire"|"Concord"|"NH"|"USA"|"10000.0000"
"02-0512290"|"ENDOWMENT FOR HEALTH, INC."|"153296"|"993882"|"New Hampshire Coalition Against Domestic & Sexual Violence"|"Concord"|"NH"|"USA"|"132075.0000"
"02-0512290"|"ENDOWMENT FOR HEALTH, INC."|"153297"|"993882"|"New Hampshire Legal Assistance"|"Concord"|"NH"|"USA"|"140036.0000"
"02-0512290"|"ENDOWMENT FOR HEALTH, INC."|"153298"|"993882"|"Community Bridges"|"Concord"|"NH"|"USA"|"29578.0000"
"02-0512290"|"ENDOWMENT FOR HEALTH, INC."|"153299"|"993882"|"New Hampshire Fiscal Policy Institute"|"Concord"|"NH"|"USA"|"50000.0000"
"02-0512290"|"ENDOWMENT FOR HEALTH, INC."|"153300"|"993882"|"Sullivan County Oral Health Collaborative, Inc."|"Claremont"|"NH"|"USA"|"12990.0000"
"02-0512290"|"ENDOWMENT FOR HEALTH, INC."|"153301"|"993882"|"New Hampshire Legal Assistance"|"Concord"|"NH"|"USA"|"25000.0000"
"02-0512290"|"ENDOWMENT FOR HEALTH, INC."|"153302"|"993882"|"Community Health Institute/JSI Research & Training"|"Bow"|"NH"|"USA"|"55942.0000"
