"C_EIN"|"C_Org_Name"|"CONTRACTOR_ID"|"XML_DOCUMENT_ID"|"CONTR_NAME"|"CONTR_STREET"|"CONTR_CITY"|"CONTR_STATE"|"CONTR_COUNTRY"|"CONTR_ZIP"|"CONTR_SERVICE"|"CONTR_COMP"
"04-3148824"|"FOUNDATION FOR EXPANDING HEALTHCARE ACCESS"|"1913"|"1335797"|"PRESIDENT & FELLOWS OF HARVARD COLLEGE"|"139A FAYERWEATHER STREET"|"CAMBRIDGE"|"MA"|"USA"|"02138"|""|"113983.0000"
"04-3612920"|"THE CHARLES R. BRONFMAN PRIZE FOUNDATION"|"1914"|"1335798"|"JILL COLLIER INDYK"|"110 EAST 59TH STREET, 26TH FLOOR"|"NEW YORK"|"NY"|"USA"|"10022"|"CONSULTING"|"163494.0000"
"04-3612920"|"THE CHARLES R. BRONFMAN PRIZE FOUNDATION"|"1915"|"1335798"|"MEDIABUY"|"60 SHIP STREET"|"PROVIDENCE"|"RI"|"USA"|"02903"|"ADVERTISING"|"56927.0000"
"04-3613913"|"KITE FOUNDATION"|"1916"|"1335799"|"Dibersified trust company"|"6075 Poplar Ave. #900"|"MRMPHIS"|"TN"|"USA"|"38119"|"INVESTMENT MANAGEMENT ADVISORY SERVICE"|"75306.0000"
"04-6667008"|"HELENE B BLACK CHARITABLE FOUNDATION M SPARROW, N SAMILJAN & R GOLDMAN, TTEES"|"2038"|"1336101"|"GOULSTON & STORRS P C"|""|""|""|"USA"|""|"LEGAL AND ACCOUNTING"|"23756.0000"
"04-6667008"|"HELENE B BLACK CHARITABLE FOUNDATION M SPARROW, N SAMILJAN & R GOLDMAN, TTEES"|"2039"|"1336101"|"TO THE ARCTIC LLC"|""|""|""|"USA"|""|"ADMINISTRATIVE"|"248.0000"
"04-6667008"|"HELENE B BLACK CHARITABLE FOUNDATION M SPARROW, N SAMILJAN & R GOLDMAN, TTEES"|"2040"|"1336101"|"CORAL REEF FILM PRODUCTION LLC"|""|""|""|"USA"|""|"ADMINISTRATIVE"|"183.0000"
"04-3505849"|"THE MULBERRY FOUNDATION, INC."|"2050"|"1336187"|"TRIAD ADVISORS"|"2 OSUTH STREET"|"GRAFTON"|"MA"|"USA"|"01519"|"FINANCIAL ADVISORY"|"15365.0000"
"04-3505849"|"THE MULBERRY FOUNDATION, INC."|"2051"|"1336187"|"FLETCHER TILTON PC"|"370 MAIN STREET, 12TH FLOOR"|"WORCESTER"|"MA"|"USA"|"01608"|"TRUST & ACCOUNTING FEES"|"10019.0000"
"04-3757853"|"LINDA PACE FOUNDATION"|"2052"|"1336188"|"UBS FINANCIAL SERVICES INC"|"100 CRESCENT CT, SUITE 600"|"DALLAS"|"TX"|"USA"|"75201"|"INVESTMENT ADV"|"278223.0000"
"04-6069958"|"MILDRED H. MCEVOY FOUNDATION"|"2058"|"1336191"|"FLETCHER TILTON PC"|"370 MAIN STREET,1 2TH FLOOR"|"WORCESTER"|"MA"|"USA"|"01608"|"LEGAL AND OTHER PROFESSIONAL"|"190000.0000"
"04-6108344"|"EDWARD C. JOHNSON FUND"|"2059"|"1336192"|"E.L. SHEA INC"|"23 CHURCH STREET"|"ELLSWORTH"|"ME"|"USA"|"04605"|"BUILDING CONTRACTOR"|"3187832.0000"
"04-6108344"|"EDWARD C. JOHNSON FUND"|"2060"|"1336192"|"STRATEGIC ADVISERS INC"|"82 DEVONSHIRE STREET"|"BOSTON"|"MA"|"USA"|"02109"|"INVESTMENT MANAGEMENT"|"901873.0000"
"04-6108344"|"EDWARD C. JOHNSON FUND"|"2061"|"1336192"|"COOPERATIVE PHILANTHROPIC SERVICES LLC"|"11 KEEWAYDIN DRIVE,SUITE 100"|"SALEM"|"NH"|"USA"|"03079"|"GRANTS ADMINISTRATION & ACC"|"782634.0000"
"04-6108344"|"EDWARD C. JOHNSON FUND"|"2062"|"1336192"|"C&R RIZVI INCORPORATED"|"376 BOYLSTON STREET"|"BOSTON"|"MA"|"USA"|"02116"|"CONSULTANT DESIGN SERVICES"|"367949.0000"
"04-6108344"|"EDWARD C. JOHNSON FUND"|"2063"|"1336192"|"COPLON ASSOCIATES"|"112 COTTAGE STREET"|"BAR HARBOR"|"ME"|"USA"|"04609"|"CONSULTANT DESIGN SERVICES"|"273952.0000"
"04-6728351"|"THE VIRGINIA WELLINGTON CABOT FOUNDATION"|"2064"|"1336194"|"CABOT-WELLINGTON, LLC"|"70 FEDERAL STREET"|"BOSTON"|"MA"|"USA"|"02110"|"ADMINISTRATIVE"|"321000.0000"
"04-6728351"|"THE VIRGINIA WELLINGTON CABOT FOUNDATION"|"2065"|"1336194"|"CABOT-WELLINGTON, LLC"|"70 FEDERAL STREET"|"BOSTON"|"MA"|"USA"|"02110"|"INVESTMENT SERVICES"|"75134.0000"
"04-2593846"|"CENTER FOR NUTRITIONAL RESEARCH CHARITABLE TRUST"|"2344"|"1336565"|"GEORGE BLACKBURN"|"241 PERKINS ST"|"JAMAICA PLAIN"|"MA"|"USA"|"02130"|"CONSULTING"|"290000.0000"
"04-2593846"|"CENTER FOR NUTRITIONAL RESEARCH CHARITABLE TRUST"|"2345"|"1336565"|"SUSAN KELLY"|"241 PERKINS ST"|"JAMAICA PLAIN"|"MA"|"USA"|"02130"|"CONSULTING"|"70000.0000"
"01-0437556"|"LUNDER FOUNDATION"|"2366"|"1336733"|"KENILWORTH INC"|"TWO MONUMENT SQ SUITE 530"|"PORTLAND"|"ME"|"USA"|"04101"|"INVESTMENT & GRANT ADMINISTRATION"|"59039.0000"
"01-6220476"|"ANNE AND PAUL MARCUS FAMILY FOUNDATION"|"2367"|"1336734"|"JAY W O'BRIEN"|"100 MEMORIAL DRIVE"|"CAMBRIDGE"|"MA"|"USA"|"02142"|"DESIGN/IMPLEMENTATION OF AUTISM RESEARCH"|"53800.0000"
"01-6220476"|"ANNE AND PAUL MARCUS FAMILY FOUNDATION"|"2368"|"1336734"|"MRIGANKA SUR, PHD"|"77 MASS AVE, 46-6237"|"CAMBRIDGE"|"MA"|"USA"|"02139"|"DESIGN/IMPLEMENTATION OF AUTISM RESEARCH"|"50000.0000"
"04-3048298"|"HIGHLAND STREET CONNECTION AND SUBSIDIARIES"|"2369"|"1336735"|"CAMBRIDGE ASSOCIATES"|"100 SUMMER STREET"|"BOSTON"|"MA"|"USA"|"02110"|"INVESTMENT ADVISORS"|"353225.0000"
"04-3048298"|"HIGHLAND STREET CONNECTION AND SUBSIDIARIES"|"2370"|"1336735"|"MINTZ LEVIN COHN FERRIS GLOVSKY AND POPEO PC"|"1 FINANCIAL CENTER"|"BOSTON"|"MA"|"USA"|"02110"|"LEGAL"|"350000.0000"
"04-3048298"|"HIGHLAND STREET CONNECTION AND SUBSIDIARIES"|"2371"|"1336735"|"FINANCEXECUTIVES"|"245 CUSHING ST"|"HINGHAM"|"MA"|"USA"|"02043"|"FINANCIAL MANAGEMENT CONSULTANT"|"152250.0000"
"04-3048298"|"HIGHLAND STREET CONNECTION AND SUBSIDIARIES"|"2372"|"1336735"|"SILCHESTER INTERNATIONAL"|"780 THIRD AVE"|"NEW YORK"|"NY"|"USA"|"10017"|"INVESTMENT/MANAGEMENT FEES"|"127487.0000"
"04-3048298"|"HIGHLAND STREET CONNECTION AND SUBSIDIARIES"|"2373"|"1336735"|"WELLINGTON TRUST COMPANY"|"75 STATE STREET"|"BOSTON"|"MA"|"USA"|"02109"|"INVESTMENT/MANAGEMENT FEES"|"90797.0000"
"04-6023790"|"THE ALBERT J. GIFFORD CHARITABLE TRUST"|"2374"|"1336742"|"FLETCHER TILTON PC"|"370 MAIN STREET, 12TH FLR"|"WORCESTER"|"MA"|"USA"|"01608"|"TRUST & ACCOUNTING"|"18000.0000"
"04-6047379"|"STONEMAN FAMILY FOUNDATION"|"2375"|"1336743"|"MOTT PHILANTHROPIC"|"800 BOYLSTON STREET"|"BOSTON"|"MA"|"USA"|"02199-8129"|"GRANTS MANAGEMENT"|"497487.0000"
"04-6047379"|"STONEMAN FAMILY FOUNDATION"|"2376"|"1336743"|"CAMBRIDGE ASSOCIATES"|"100 SUMMER STREET"|"BOSTON"|"MA"|"USA"|"02115"|"INVESTMENT/CUSTODIAL"|"226139.0000"
"04-6047379"|"STONEMAN FAMILY FOUNDATION"|"2377"|"1336743"|"GOULDSTON & STORRS"|"400 ATLANTIC AVENUE"|"BOSTON"|"MA"|"USA"|"02110-3333"|"INVESTMENT/CUSTODIAL/LEGAL"|"183187.0000"
"04-6047379"|"STONEMAN FAMILY FOUNDATION"|"2378"|"1336743"|"TUCKMAN GROSSMAN CAPITAL MANAGEMENT"|"60 EAST SIR FRANCIS DRAKE BLVD"|"LARKSPUR"|"CA"|"USA"|"94939"|"INVESTMENT/CUSTODIAL"|"55055.0000"
"04-6125088"|"F. A. & J. H. HARRINGTON FOUNDATION"|"2379"|"1336744"|"FLTCHER TILTON PC"|"370 MAIN STREET, 12TH FLOOR"|"WORCESTER"|"MA"|"USA"|"01608"|"TRUST AND ACCOUNTING"|"110000.0000"
"04-6470890"|"THE FLETCHER FOUNDATION"|"2380"|"1336746"|"FLTCHER TILTON PC"|"370 MAIN STREET, 12TH FLOOR"|"WORCESTER"|"MA"|"USA"|"01608-1779"|"TRUST & ACCOUNTING"|"144894.0000"
"04-6856456"|"GRANTHAM FOUNDATION FOR THE PROTECTION OF THE ENVIRONMENT"|"2381"|"1336748"|"CAMBRIDGE ASSOCIATES"|"100 SUMMER STREET"|"BOSTON"|"MA"|"USA"|"02110"|"CONSULTING"|"874428.0000"
"04-6856456"|"GRANTHAM FOUNDATION FOR THE PROTECTION OF THE ENVIRONMENT"|"2382"|"1336748"|"ROPES AND GRAY"|"800 BOYLSTON STREET"|"BOSTON"|"MA"|"USA"|"02199"|"LEGAL"|"55361.0000"
"04-2733957"|"MELVIN S. CUTLER CHARITABLE FOUNDATION"|"2638"|"1337614"|"CUTLER CAPITAL MANAGEMENT LLC"|"306 MAIN STREET"|"WORCESTER"|"MA"|"USA"|"01608"|"MANAGEMENT FEES"|"144102.0000"
"02-0566229"|"EXPRESS SCRIPTS FOUNDATION"|"2686"|"1357205"|"SUSAN DICKENS SCHLICHTER"|"32 PORTLAND PLACE"|"ST LOUIS"|"MO"|"USA"|"63108"|"CONSULTING"|"108223.0000"
"04-6078934"|"RICHARD SALTONSTALL CHARITABLE FOUNDATION"|"2752"|"1358629"|"SALTONSTALL & CO."|"50 CONGRESS STREET ROOM 800"|"BOSTON"|"MA"|"USA"|""|"ACCOUNTING & MANAGEMENT"|"151302.0000"
"04-2741931"|"JAMES M STONEMAN CHARITABLE FUND"|"2776"|"1358686"|"MORRISSEY, HAWKINS, & LYNCH"|"ON INTERNARIONG PLACE, 32ND FL"|"BOSTON"|"MA"|"USA"|"02110"|"LEGAL FEES"|"72278.0000"
"04-2741931"|"JAMES M STONEMAN CHARITABLE FUND"|"2777"|"1358686"|"MORRISSEY, HAWKINS, & LYNCH"|"ON INTERNARIONG PLACE, 32ND FL"|"BOSTON"|"MA"|"USA"|"02110"|"TRUSTEE FEES"|"305000.0000"
"01-0421806"|"THE BILL AND JOAN ALFOND FOUNDATION"|"2787"|"1358795"|"DEXTER ENTERPRISES INC"|"TWO MONUMENT SQUARE"|"PORTLAND"|"ME"|"USA"|"04101"|"INVESTMENT & GRANT ADMINISTRATION"|"59694.0000"
"02-0656117"|"The Edward E and Mane L Matthews Foundation"|"2788"|"1358808"|"UBS Financial Services"|"7700 Wisconsin Ave Ste 300"|"Bethesda"|"MD"|"USA"|"20814"|"Investment Management"|"90901.0000"
"04-3073023"|"Cummings Foundation Inc"|"2789"|"1358826"|"HEALTH CARE STAFFING INC"|"PO Box 786"|"WESTBOROUGH"|"MA"|"USA"|"01581"|"Assisted Living Services"|"1646452.0000"
"04-3073023"|"Cummings Foundation Inc"|"2790"|"1358826"|"MERRILL LYNCH TRUST CO"|"ONE FEDERAL STREET"|"BOSTON"|"MA"|"USA"|"02134"|"INVESTMENT SERVICES"|"929817.0000"
"04-3073023"|"Cummings Foundation Inc"|"2791"|"1358826"|"WINCHESTER HEALTHCARE ENTERPRISES INC"|"PO BOX 5-0803"|"WOBURN"|"MA"|"USA"|"01801"|"ASSISTED LIVING SERVICES"|"682575.0000"
"04-3073023"|"Cummings Foundation Inc"|"2792"|"1358826"|"COMMONFUND"|"15 Old Danbury Rd"|"WILTON"|"CT"|"USA"|"06897"|"INVESTMENT SERVICES"|"423766.0000"
"04-3073023"|"Cummings Foundation Inc"|"2793"|"1358826"|"ROBERT VISCO"|"30 OLD STOW ROAD"|"HUDSON"|"MA"|"USA"|"01749"|"SALON SERVICES"|"55291.0000"
"04-6004808"|"THE DEVONSHIRE FOUNDATION"|"2794"|"1358851"|"HOWLAND CAPITAL MANAGEMENT INC"|"75 FEDERAL STREET SUITE 1100"|"BOSTON"|"MA"|"USA"|"02110-1911"|"TAX & INVEST MANAGEMENT"|"186302.0000"
"04-6111826"|"GARDINER HOWLAND SHAW FOUNDATION"|"2924"|"1361145"|"WELCH & FORBES LLC"|"45 SCHOOL STREET"|"BOSTON"|"MA"|"USA"|"02108"|"INVESTMENT MANAGEMENT"|"92880.0000"
"02-0653934"|"FOSTER CHARITABLE FOUNDATION, INC"|"3006"|"1363615"|"NOVEN FINANCIAL GROUP INC"|"1777 S HARRISON ST STE 1500"|"DENVER"|"CO"|"USA"|"80210"|"INV ADVISOR"|"136106.0000"
"02-0653934"|"FOSTER CHARITABLE FOUNDATION, INC"|"3007"|"1363615"|"THE CORNWALL LAW FIRM"|"12314 HAWTHORNE DR"|"MONTGOMERY"|"TX"|"USA"|"77356"|"LEGAL"|"69280.0000"
"04-3522036"|"FROG POND FOUNDATION, INC."|"3008"|"1363621"|"VALLEYCREST LANDSCAPE DEVELOPMENT"|"P.O. BOX 404083"|"ATLANTA"|"GA"|"USA"|"30384-4083"|"MAINTENANCE"|"68121.0000"
"04-3522036"|"FROG POND FOUNDATION, INC."|"3009"|"1363621"|"COOPERATIVE PHILANTHROPIC SERVICES LLC"|"11 KEEWAYDIN DRIVE, SUITE 100"|"SALEM"|"MA"|"USA"|"03079"|"PROGRAM, ADMINISTRATION"|"60978.0000"
"04-3409789"|"INAVALE FOUNDATION INC"|"3018"|"1364329"|"BALLENTINE PARTNERS"|"230 3RD AVENUE 6TH FLOOR"|"WALTHAM"|"MA"|"USA"|"02451"|"INVESTMENT MANAGEMENT"|"60196.0000"
"04-6689934"|"THE JOHN AND MARY CORCORAN FAMILY FOUNDATION"|"3019"|"1364342"|"CITIGROUP GLOBAL MKTS INC"|"111 WALL STREET 3RD FLOOR"|"NEW YORK"|"NY"|"USA"|"10005"|"INVESTMENT ADVISORY SERVICES"|"217006.0000"
"04-6689934"|"THE JOHN AND MARY CORCORAN FAMILY FOUNDATION"|"3020"|"1364342"|"THE BOSTON FOUNDATION (FORMERLY TPI)"|"420 BOYLSTON STREET"|"BOSTON"|"MA"|"USA"|"02116"|"PHILANTHROPIC SERVICES"|"168236.0000"
"04-6689934"|"THE JOHN AND MARY CORCORAN FAMILY FOUNDATION"|"3021"|"1364342"|"BNY MELLON WEALTH MANAGEMENT"|"131 SANTILLI HWY"|"EVERETT"|"MA"|"USA"|"02149"|"INVESTMENT ADVISORY SERVICES"|"108746.0000"
"04-2203700"|"JOSIAH WILLARD HAYDEN RECREATION CENTRE, INC."|"3152"|"1365576"|"A&M ROOFING SERVICES"|"123 TEWKSBURY STREET"|"ANDOVER"|"MA"|"USA"|"01810"|"ROOF INSTALLATION"|"602259.0000"
"04-2203700"|"JOSIAH WILLARD HAYDEN RECREATION CENTRE, INC."|"3153"|"1365576"|"ARLEX OIL"|"275 MASS. AVENUE"|"LEXINGTON"|"MA"|"USA"|"02420"|"UTILITIES, OIL"|"204946.0000"
"04-2203700"|"JOSIAH WILLARD HAYDEN RECREATION CENTRE, INC."|"3154"|"1365576"|"NSTAR ELECTRIC"|"P.O. BOX 4508"|"WOBURN"|"MA"|"USA"|"01888"|"ELECTRIC"|"146002.0000"
"04-2203700"|"JOSIAH WILLARD HAYDEN RECREATION CENTRE, INC."|"3155"|"1365576"|"ATLANTIC TRUST COMPANY"|"24088 NETWORK PLACE"|"CHICAGO"|"IL"|"USA"|"60673"|"INVESTMENT MANAGEMENT"|"115505.0000"
"04-2203700"|"JOSIAH WILLARD HAYDEN RECREATION CENTRE, INC."|"3156"|"1365576"|"PAUL MCNAMARA"|"83 WOBURN STREET"|"LEXINGTON"|"MA"|"USA"|"02420"|"PAINTING"|"18400.0000"
"02-0691253"|"RUTH E PROUD CHARITABLE TRUST"|"3185"|"1366135"|"DEROSA DOHONEY LLP"|"120 MA MOCA WAY MA MOCA WAY"|"NORTH ADAMS"|"MA"|"USA"|"01247"|"TRUSTEE/MANAGEMENT"|"74500.0000"
"02-0590852"|"EDWARD GOREY CHARITABLE TRUST"|"3194"|"1366921"|"GOTHAM BOOK MART-ANDREAS BROWN"|"C/O DAVIS WRIGHT TREMAINE LLP, 1633 BRDWY"|"NEW YORK"|"NY"|"USA"|"10019"|"CONSULTING FEE"|"53445.0000"
"04-2768239"|"YAWKEY FOUNDATION II"|"3300"|"1370908"|"BOSTON TRUST MANAGEMENT CORPORATION"|"990 WASHINGTON STREET - SUITE 315"|"DEDHAM"|"MA"|"USA"|"02026"|"OVERALL MANAGEMENT"|"2132177.0000"
"04-2768239"|"YAWKEY FOUNDATION II"|"3301"|"1370908"|"CAMBRIDGE ASSOCIATES LLC"|"100 SUMMER STREET"|"BOSTON"|"MA"|"USA"|"02110-2112"|"INVESTMENT ADVISOR"|"513175.0000"
"04-2768239"|"YAWKEY FOUNDATION II"|"3302"|"1370908"|"STATE STREET BANK AND TRUST"|"200 NEWPORT AVENUE"|"NORTH QUINCY"|"MA"|"USA"|""|"INV CUSTODIAL SERVICES"|"359311.0000"
"04-2768239"|"YAWKEY FOUNDATION II"|"3303"|"1370908"|"GARDNER RUSSO & GARDNER"|"223 EAST CHESTNUE STREET"|"LANCASTER"|"PA"|"USA"|"17602"|"PORTFOLIO MANAGER SERVICES"|"228800.0000"
"04-2768239"|"YAWKEY FOUNDATION II"|"3304"|"1370908"|"MAYO CAPITAL PARTNERS, LLC"|"30 ROWES WHARF, SUITE 500"|"BOSTON"|"MA"|"USA"|"02110"|"PORTFOLIO MANAGER SERVICES"|"188969.0000"
"04-3073548"|"REEBOK FOUNDATION INC."|"3305"|"1370909"|"NATIONAL INSTITUTE ON OUT-OF-SCHOOL TIME"|"C/O WELLESLEY CENTERS FOR WOMEN 106 CENTRAL"|""|""|"USA"|""|"EVALUATOR"|"239878.0000"
"04-3073548"|"REEBOK FOUNDATION INC."|"3306"|"1370909"|"DARE CIGITAL LTD"|"101 NEW CAVEBNDISH ST"|"LONDON W1W 6XH"|""|"UNITED KINGDOM"|""|"WEB DESIGN, HOSTING & MAINTENANCE"|"182099.0000"
"04-3073548"|"REEBOK FOUNDATION INC."|"3307"|"1370909"|"M & C SAATCHI PR"|"250 PARK AVE SOUTH, 10TH RLOOR"|"NEW YORK"|"NY"|"USA"|"10003"|"PUBLIC RELATIONS"|"60000.0000"
"04-2961763"|"FOUNDATION, INC."|"3382"|"1372221"|"PETER S. BENTON, CPA, PC"|"65 MAPLE STREET, SUITE 1"|"EAST LONGMEADOW"|"MA"|"USA"|"01028"|"ACCOUNTING AND TAXES"|"1200.0000"
"04-3105768"|"THE KLARMAN FAMILY FOUNDATION"|"3391"|"1372772"|"HEALTH RESOURCES IN ACTION, INC."|"95 BERKELEY STREET"|"BOSTON"|"MA"|"USA"|"02116"|"CONSULTING"|"177184.0000"
"04-3105768"|"THE KLARMAN FAMILY FOUNDATION"|"3392"|"1372772"|"CFAR"|"ONE MAIN STREET SUITE 1370"|"BOSTON"|"MA"|"USA"|"02142"|"CONSULTING"|"168704.0000"
"04-3265080"|"DENTAQUEST FOUNDATION INC"|"3432"|"1376986"|"HARDER & COMPANY COMMUNITY RESEARCH"|"299 KANSAS ST"|"SAN FRANCISCO"|"CA"|"USA"|"94103"|"ORGANIZATIONAL DEVELOPMENT"|"310514.0000"
"04-3265080"|"DENTAQUEST FOUNDATION INC"|"3433"|"1376986"|"ARGUS COMMUNICATIONS INC"|"177 MILK STREET SUITE 610"|"BOSTON"|"MA"|"USA"|"02109"|"MARKETING"|"190165.0000"
"04-3265080"|"DENTAQUEST FOUNDATION INC"|"3434"|"1376986"|"TRACY GARLAND"|"4759 51ST PLACE SW"|"SEATTLE"|"WA"|"USA"|"98116"|"MANAGEMENT TRAINING"|"173434.0000"
"04-3265080"|"DENTAQUEST FOUNDATION INC"|"3435"|"1376986"|"PATRICK W FINNERTY"|"15217 WINDY RIDGE ROAD"|"MIDLOTHIAN"|"VA"|"USA"|"23112"|"STRATEGIC PLANNING"|"52615.0000"
"04-3265080"|"DENTAQUEST FOUNDATION INC"|"3436"|"1376986"|"THE RENDON GROUP"|"240 COMMERCIAL STREET"|"BOSTON"|"MA"|"USA"|"02109"|"STRATEGIC PLANNING"|"50030.0000"
"04-6013680"|"THE HYAMS FOUNDATION INC"|"3437"|"1376992"|"CAMBRIDGE ASSOCIATES"|"PO BOX 10317"|"UNIONDALE"|"NY"|"USA"|"11555"|"INVESTMENT CONSULTING"|""
"04-3339819"|"MURIEL & NORMAN B LEVENTHAL FAMILY FOUNDATION INC"|"3568"|"1381037"|"RIDGEWAY ADVISORS"|"10 POST OFFICE SQUARE"|"BOSTON"|"MA"|"USA"|"02109"|"PHILANTHROPY"|"72000.0000"
"04-6087371"|"LAWRENCE J AND ANNE RUBENSTEIN CHARITABLE FOUNDATION"|"3569"|"1381053"|"ATLANTIC TRUST COMPANY"|"100 FEDERAL STREET 37TH FLOOR"|"BOSTON"|"MA"|"USA"|"02110"|"INVESTMENT SERVICES"|"72187.0000"
"04-2105896"|"STONE INSTITUTE AND NEWTON HOME FOR AGED PEOPLE"|"3601"|"1389014"|"CONTINUING CARE MANAGEMENT LLC"|"5 LYMAN ST"|"WESTBOROUGH"|"MA"|"USA"|"01581"|"MANAGEMENT CONSULTING"|"400000.0000"
"04-2105896"|"STONE INSTITUTE AND NEWTON HOME FOR AGED PEOPLE"|"3602"|"1389014"|"READYNURSE STAFFING SERVICES"|"177 SOUTH RIVER ROAD"|"BEDFORD"|"NH"|"USA"|"03110"|"NURSE STAFFING"|"52858.0000"
"01-0388680"|"Margaret Chase Smith Foundation"|"3641"|"1389879"|"Univeristy of Maine"|"5703 Alumni Hall Suite 218"|"Orono"|"ME"|"USA"|"04469"|"Library operations"|"329207.0000"
"03-0461030"|"Harrington Family Foundation"|"3642"|"1389978"|"Nancy Marshall"|"5055 NW Mitchell Street"|"Portland"|"OR"|"USA"|"97225"|"Personal Services"|"65000.0000"
"04-3032409"|"BUTLER CONSERVATION FUND INC"|"3643"|"1390030"|"BLACK RIVER MANAGEMENT CO"|"60 CUTTER MILL ROAD STE 212"|"GREAT NECK"|"NY"|"USA"|"11021"|"ADVISORY SERVICES/ADMINISTRATIVE"|"1339200.0000"
"04-3032409"|"BUTLER CONSERVATION FUND INC"|"3644"|"1390030"|"PATTERSON BELKNAP WEBB & TYLER"|"1133 AVENUE OF THE AMERICAS"|"NEW YORK"|"NY"|"USA"|"10036"|"LEGAL"|"131700.0000"
"04-3032409"|"BUTLER CONSERVATION FUND INC"|"3645"|"1390030"|"AROMETER CAPITAL MANAGEMENT INC"|"1 UNIVERSITY AVENUE SUITE 1910"|"TORONTO, ONTARIO"|""|"CA"|""|"ADVISORY SERVICES"|"130104.0000"
"04-6000647"|"EDWIN S WEBSTER FOUNDATION"|"3648"|"1390108"|"BIRCH HILL INVESTMENT ADVISORS LLC"|"24 FEDERAL STREET 10"|"BOSTON"|"MA"|"USA"|"02110"|"INVESTMENT MANAGEMENT"|"55348.0000"
"04-6111819"|"HISTORIC BOSTON INCORPORATED"|"3649"|"1390114"|"MARC TRUANT & ASSOCIATES INC"|"32 WARREN STREET"|"CAMBRIDGE"|"MA"|"USA"|"02141"|"CONSTRUCTION MANAGEMENT"|"2339026.0000"
"04-6111819"|"HISTORIC BOSTON INCORPORATED"|"3650"|"1390114"|"GOULSTON & STORRS"|"400 ATLANTIC AVENUE"|"BOSTON"|"MA"|"USA"|"02110"|"LEGAL SERVICES"|"121709.0000"
"04-6111819"|"HISTORIC BOSTON INCORPORATED"|"3651"|"1390114"|"AMORY ARCHITECTS"|"58 WINTER STREET"|"BOSTON"|"MA"|"USA"|"02108"|"ARCHITECT/DESIGNERS"|"106604.0000"
"04-6111819"|"HISTORIC BOSTON INCORPORATED"|"3652"|"1390114"|"CUBE DESIGN RESEARCH LLC"|"791 TREMONT STREET"|"BOSTON"|"MA"|"USA"|"02118"|"ARCHITECT/DESIGNERS"|"90236.0000"
"04-6111819"|"HISTORIC BOSTON INCORPORATED"|"3653"|"1390114"|"ACCOUNTING MANAGEMENT SOLUTIONS"|"800 SOUTH STREET SUITE 195"|"WALTHAM"|"MA"|"USA"|"02453"|"ACCOUNTING SERVICES"|"60653.0000"
"03-6009912"|"General Education Fund, Inc."|"3774"|"1397107"|"Merchants Trust Company"|"275 Kennedy Drive"|"So Burlington"|"VT"|"USA"|"05402"|"Investment Management Services"|"73909.0000"
"04-2775692"|"HART FOUNDATION"|"3775"|"1397195"|"FLETCHER TILTON PC"|"370 MAIN STREET, 12TH FL"|"WORCESTER"|"MA"|"USA"|"01608"|"ACCOUNTING"|"2400.0000"
"04-3340295"|"THE WALLACE FAMILY FOUNDATION"|"3776"|"1397249"|"RUBERTO, ISRAEL & WEINER, P.C."|"255 STATE STREET"|"BOSTON"|"MA"|"USA"|"02109"|"LEGAL"|"71327.0000"
"04-6111827"|"TR UW G GORHAM PETERS 7567-07552007373"|"3829"|"1403925"|"WELCH & FORBES LLC"|"45 SCHOOL ST 5TH FL"|"BOSTON"|"MA"|"USA"|"02108"|"INVESTMENT MANAGEMEN"|"75144.0000"
"04-6911403"|"THE SDSC GLOBAL FOUNDATION"|"3830"|"1404398"|"MERRILL LYNCH"|"100 FEDERAL STREET 17TH FL"|"BOSTON"|"MA"|"USA"|"02110"|"INVESTMENT MANAGEMENT SERVICES"|"60296.0000"
"04-2400070"|"LYNN HOME FOR ELDERLY PERSONS"|"3843"|"1406980"|"EATON VANCE MGT."|"TWO INTERNATIONAL PLACE, 14TH FL"|"BOSTON"|"MA"|"USA"|"02110"|"INVESTMENT MGT"|"107055.0000"
"04-2747025"|"HARRY L. BRADLEY JR CHARITABLE FUND"|"3852"|"1409389"|"MORRISSEY, HAWKINS & LYNCH"|"ONE INTL PL, 32ND FL"|"BOSTON"|"MA"|"USA"|"02110"|"TRUSTEE FEES"|"650000.0000"
"04-2747025"|"HARRY L. BRADLEY JR CHARITABLE FUND"|"3853"|"1409389"|"MORRISSEY, HAWKINS & LYNCH"|"ONE INTL PL, 32ND FL"|"BOSTON"|"MA"|"USA"|"02110"|"LEGAL FEES"|"34626.0000"
"02-0622126"|"RESMED FOUNDATION"|"3869"|"1410298"|"FIONA TUDOR"|"PO BOX 1206"|"LA JOLLA"|"CA"|"USA"|"92038"|"FORMER EXECUTIVE DIRECTOR"|"75000.0000"
"02-0622126"|"RESMED FOUNDATION"|"3870"|"1410298"|"KRISTI BURLINGAME"|"PO BOX 1206"|"LA JOLLA"|"CA"|"USA"|"92038"|"EXECUTIVE DIRECTOR"|"18000.0000"
"03-0373895"|"JAMES F & MARION L MILLER FOUNDATION"|"3894"|"1411164"|"CHARLES H PUTNEY"|"805 SW BROADWAY SUITE 1800"|"PORTLAND"|"OR"|"USA"|"97205"|"INVESTMENT MANAGEMENT"|"248916.0000"
