"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"ADJUSTED_QUALIFYING_DISTRIBUTIONS"|"PAID_CHAR_ASSETS"|"CHAR_DIST_TEST"|"QUAL_DIST_XII"|"REDUCED_TAX_RATE"|"CHAR_SUIT_TEST"
"02-0246187"|"NASHUA HISTORICAL SOCIETY"|"994041"|"195273.0000"|""|""|""|""|""
"04-2104291"|"Humane Society of the Commonwealth of MA"|"994042"|"135808.0000"|""|""|""|""|""
"04-3222995"|"MILLER UA MOREY & HELEN SCHOL"|"994043"|"120141.0000"|""|""|""|""|""
"01-6177361"|"HERBERT S. AND ELEANORE L. HOWARD CHARITABLE FOUNDATION"|"994116"|"147044.0000"|""|""|""|""|""
"02-6007363"|"GILBERT VERNEY FOUNDATION"|"994117"|"178583.0000"|""|""|""|""|""
"04-3310863"|"John C. and Eunice B. Morrison Charitable Foundation"|"994119"|"192600.0000"|""|""|""|""|""
"04-6024467"|"TTEE U/W OF CHARLES F BACON"|"994120"|"124807.0000"|""|""|""|""|""
"01-0637863"|"MYRA & JEAN KENT ANGUS FOUNDATION"|"994212"|"153215.0000"|""|""|""|""|""
"02-0628229"|"BRANFMAN FAMILY FOUNDATION"|"994266"|"179567.0000"|""|""|""|""|""
"03-0577385"|"THE MCMASTER FAMILY FOUNDATION INC"|"994268"|"44100.0000"|""|""|""|""|""
"04-3357529"|"TELAKA FOUNDATION INC"|"994271"|"121500.0000"|""|""|""|""|""
"04-3473585"|"BARBARA LEE FAMILY FOUNDATION INC"|"994272"|"373132.0000"|""|""|""|""|""
"04-6818329"|"WALSKE CHARITABLE FOUNDATION STEVEN C WALSKE ET AL TRUSTEES"|"994274"|"249795.0000"|""|""|""|""|""
"04-2127029"|"MARIETTA W DYER TRUST UW"|"994513"|"116439.0000"|""|""|""|""|""
"04-3538929"|"BEN F FACTORS FOUNDATION 7565-07560016259"|"994517"|"54442.0000"|""|""|""|""|""
"04-6528085"|"LEONARD & HILDA KAPLAN CHARITABLE FOUNDATION"|"994518"|"715025.0000"|""|""|""|""|""
"04-3165980"|"THE EDGERLY FOUNDATION 02-92827"|"994639"|"309257.0000"|""|""|""|""|""
"04-6183682"|"SPERO CHARITABLE FOUNDATION"|"994640"|"272691.0000"|""|""|""|""|""
"04-3484588"|"Florence Savings Easthampton Branch Charitable Foundation Inc"|"994742"|"32328.0000"|""|""|""|""|""
"04-6009617"|"MARTHA DANA MERCER TRUST"|"994743"|"2991878.0000"|""|""|""|""|""
"04-6556188"|"C. F. ADAMS CHARITABLE TRUST"|"994744"|"806175.0000"|""|""|""|""|""
"04-6716517"|"THE KAPLAN GOLDSTEIN FAMILY FOUNDATION"|"994745"|"119530.0000"|""|""|""|""|""
"04-6609917"|"THE KELSEY TRUST"|"994809"|"189000.0000"|""|""|""|""|""
"03-6016085"|"IVAN & BERNICE BURNHAM EDUCATIONAL FOUNDATION"|"994864"|"16838.0000"|""|""|""|""|""
"01-0521503"|"WINSLOW-JOHNSON SCHOLARSHIP TRUST"|"996094"|"17600.0000"|""|""|""|""|""
"03-0341004"|"BETTER AND BETTER FOUNDATION"|"996095"|"1056318.0000"|""|""|""|""|""
"01-0598444"|"TECO ENERGY FOUNDATION, INC."|"996121"|"551480.0000"|""|""|""|""|""
"04-2573604"|"GIBRAN KAHLIL GIBRAN EDUCATIONAL FUND, INC."|"996122"|"17104.0000"|""|""|""|""|""
"04-3253603"|"JOSEPH W & FAITH K TIBERIO CHARITABLE FOUNDATION"|"996124"|"115812.0000"|""|""|""|""|""
"04-6526806"|"E BROOKS-GR BOST COUNCIL ALCOHOL"|"996125"|"101722.0000"|""|""|""|""|""
"01-6040690"|"MEANS ELIZABETH W"|"996325"|"33518.0000"|""|""|""|""|""
"01-6080221"|"GREENLAW VERA GRACE TR SC"|"996326"|"23775.0000"|""|""|""|""|""
"04-3657039"|"RICHARD & SCARLETT CHANG FAMILY FOUNDATION"|"996327"|"41276.0000"|""|""|""|""|""
"04-3134531"|"REAL COLEGIO COMPLUTENSE INC."|"1000278"|"1142379.0000"|""|""|""|""|""
"04-6665839"|"BOYLE FOUNDATION"|"1000280"|"51009.0000"|""|""|""|""|""
"01-6058647"|"BOYLE MARGARET ST JOHN ST"|"1000341"|"61564.0000"|""|""|""|""|""
"03-0179439"|"WARNER HOME FOR LITTLE WANDERERS"|"1000342"|"146394.0000"|""|""|""|""|""
"04-3449084"|"CHARLES FAMILY CHARITABLE FOUNDATION"|"1000751"|"71089.0000"|""|""|""|""|""
"04-3591196"|"THE EDWIN E HATCH FOUNDATION"|"1000752"|"75298.0000"|""|""|""|""|""
"04-3619796"|"The J. Freunard Kim Foundation"|"1000763"|"50000.0000"|""|""|""|""|""
"04-3353896"|"Bangor Savings Bank Foundation"|"1000851"|"667477.0000"|""|""|""|""|""
"03-0523195"|"CONWAY FARMS GOLF CLUB FOUNDATION"|"1004514"|"50843.0000"|""|""|""|""|""
"03-0497916"|"THE ANDREW CADER FOUNDATION INC."|"1009786"|"404964.0000"|""|""|""|""|""
"04-2111410"|"THE SETH MANN, 2D, HOME FOR THE AGED AND INFIRM WOMEN"|"1009787"|"194753.0000"|""|""|""|""|""
"04-2943910"|"Stamps Family Charitable Foundation Inc"|"1009788"|"4697166.0000"|""|""|""|""|""
"04-6026648"|"THE STARE FUND"|"1009789"|"406729.0000"|""|""|""|""|""
"04-6875253"|"THE FRANK B. MAZER FOUNDATION"|"1009790"|"145462.0000"|""|""|""|""|""
"04-6893292"|"JSJN CHILDREN'S CHARITABLE TRUST (F/K/A WEBSTER CHARITABLE TRUST)"|"1009791"|"364255.0000"|""|""|""|""|""
"01-0788855"|"BOUKAI FAMILY FOUNDATION"|"1009893"|"172575.0000"|""|""|""|""|""
"01-6019033"|"Max Kagan Family Foundation"|"1009894"|"178877.0000"|""|""|""|""|""
"02-0663360"|"JANE AND SAM SUTTON FAMILY FOUNDATION"|"1009895"|"74399.0000"|""|""|""|""|""
"02-6175078"|"THISTLE & ROSE FOUNDATION"|"1009897"|"66184.0000"|""|""|""|""|""
"03-0300865"|"Ben & Jerry's Foundation, Inc."|"1009898"|"2262464.0000"|""|""|""|""|""
"04-1091024"|"ROBERT M. BIRMINGHAM TRUST"|"1009900"|"18650.0000"|""|""|""|""|""
"04-2754324"|"CROCKETT JAMES UNDERWOOD"|"1009901"|"13517.0000"|""|""|""|""|""
"04-2771098"|"WM O MOSELEY FNDN 16U/I"|"1009902"|"62567.0000"|""|""|""|""|""
"04-2940586"|"RICHRD & SALLY ZECKHAUSER FOUNDATION"|"1009903"|"134141.0000"|""|""|""|""|""
"04-3197325"|"Sheehan Family Foundation"|"1009904"|"919524.0000"|""|""|""|""|""
"04-3216914"|"THE JOHN LEVY AND GAIL ROTHENBERG FAMILY FOUNDATION"|"1009905"|"124035.0000"|""|""|""|""|""
"04-3353589"|"PEARSON FAMILY CHARITABLE FOUNDATION"|"1009907"|"71635.0000"|""|""|""|""|""
"04-3361816"|"EUGENE F. MERKERT 1996 CHARITABLE FOUNDATION"|"1009908"|"70000.0000"|""|""|""|""|""
"04-3370016"|"The Hayseed Hill Foundation"|"1009909"|"80000.0000"|""|""|""|""|""
"04-3412829"|"THE POSS FAMILY FOUNDATION"|"1009910"|"1310701.0000"|""|""|""|""|""
"04-3509776"|"THE HICKS FAMILY CHARITABLE FOUNDATION JUTTA B. HICKS ET AL, TRUSTEES"|"1009911"|"255526.0000"|""|""|""|""|""
"04-3700494"|"THE DANKIS CHRISTIAN FOUNDATION, INC."|"1009912"|"174296.0000"|""|""|""|""|""
"04-6013050"|"STEPHEN D AND SUSAN W PAINE FOUNDATION"|"1009913"|"264335.0000"|""|""|""|""|""
"04-6026914"|"JOHN W. & CLARA C. HIGGINS FOUNDATION"|"1009914"|"91639.0000"|""|""|""|""|""
"04-6049529"|"The Grass Foundation"|"1009915"|"900090.0000"|""|""|""|""|""
"04-6056133"|"FUSARO CHARITABLE FOUNDATION, INC."|"1009916"|"35105.0000"|""|""|""|""|""
"04-6142794"|"RICHARD P. & CLAIRE W. MORSE FOUNDATION"|"1009917"|"300423.0000"|""|""|""|""|""
"04-6719809"|"THE ROBBINS-DE BEAUMONT FOUNDATION"|"1009918"|"347488.0000"|""|""|""|""|""
"04-6772198"|"The Mary E. Murphy and John F. Murphy, Jr. Charitable Trust"|"1009919"|"20402.0000"|""|""|""|""|""
"04-6906429"|"STEPHEN AND ALICE CUTLER FAMILY FNDTN"|"1009920"|"60616.0000"|""|""|""|""|""
"05-0374155"|"RI INTERSCHOLASTIC INJURY FUND"|"1009921"|"112904.0000"|""|""|""|""|""
"01-6027394"|"KENNEDY, MARGARET SCSHIP TRUST"|"1010633"|"14789.0000"|""|""|""|""|""
"04-3375373"|"MORSE MARTHA FOUNDATION C.S. MARSHALL ESQ. TRUSTEE"|"1010637"|"158699.0000"|""|""|""|""|""
"04-3671809"|"WISH YOU WELL FOUNDATION"|"1010638"|"86630.0000"|""|""|""|""|""
"04-6003671"|"HENRY O. PEABODY SCHOOL FOR GIRLS"|"1010639"|"155677.0000"|""|""|""|""|""
"04-6034850"|"LAWRENCE MODEL LODGING HOUSES TRUST DONALD VAUGHAN, ET AL, TRUSTEE"|"1010640"|"56123.0000"|""|""|""|""|""
"04-6708737"|"I & E USEN FAMILY CHARITABLE FDN"|"1010642"|"128675.0000"|""|""|""|""|""
"04-7006773"|"THE SARA L. EDDY TRUST CURTIS EDDY & PETER ZUPCOFSKA, TRUSTEES"|"1010643"|"124743.0000"|""|""|""|""|""
"05-0467833"|"NICHOLAS CALDARONE FOUNDATION"|"1010644"|"57396.0000"|""|""|""|""|""
"01-0669086"|"THE FRANK & GERTRUDE KAISER FOUNDATION"|"1010795"|"94898.0000"|""|""|""|""|""
"02-6007724"|"JACKMAN CHARLES TRUST"|"1012134"|"58478.0000"|""|""|""|""|""
"02-6004699"|"GEORGE GARDNER & FANNY WHITING"|"1012149"|"20726.0000"|""|""|""|""|""
"03-6070999"|"HARRY WOLFF TRUST"|"1012150"|"78830.0000"|""|""|""|""|""
"04-6702776"|"TTEE U/D OF W F & D M SEARS"|"1012151"|"41353.0000"|""|""|""|""|""
"04-2852328"|"GODDARD HEALTH SERVICES INC"|"1012185"|"216032.0000"|""|""|""|""|""
"04-3081668"|"GODDARD RESTORATIVE CARE UNIT INC"|"1012186"|"130726.0000"|""|""|""|""|""
"04-3464581"|"THE ACCESS STRATEGIES FUND"|"1012187"|"593005.0000"|""|""|""|""|""
"03-0373845"|"Donato J Tramuto Foundation"|"1012274"|"110052.0000"|""|""|""|""|""
"03-0443725"|"BUECHEL PATIENT CARE, RESEARCH AND EDUCATION FUND, INC."|"1012275"|"183254.0000"|""|""|""|""|""
"04-2103815"|"MARTHAS VINEYARD CAMP-MEETING ASSOCIATION"|"1012277"|""|""|""|""|""|""
"04-3073548"|"REEBOK FOUNDATION INC."|"1012278"|"1630625.0000"|""|""|""|""|""
"04-3122206"|"DUSKY FOUNDATION"|"1012279"|"1167536.0000"|""|""|""|""|""
"04-3540017"|"THE PARDUS FAMILY FOUNDATION"|"1012280"|"15660.0000"|""|""|""|""|""
"04-3541288"|"WINN FAMILY CHARITABLE FOUNDATION"|"1012281"|"358363.0000"|""|""|""|""|""
"04-3541595"|"THE SHAPIRO FOUNDATION"|"1012282"|"1432992.0000"|""|""|""|""|""
"04-3843795"|"THE GRETCHEN C. VALADE ENDOWMENT FOR THE ARTS"|"1012284"|"2073602.0000"|""|""|""|""|""
"04-6043983"|"HAROLD BROOKS FOUNDATION"|"1012286"|"598931.0000"|""|""|""|""|""
"04-6137251"|"THE HANS & ELIZABETH WOLF FOUNDATION"|"1012287"|"159484.0000"|""|""|""|""|""
"04-6164232"|"CO-TR U/W A V REOPELL"|"1012288"|"319223.0000"|""|""|""|""|""
"04-6796825"|"NOBLE SYMOND GOLUB & LELIA J. GOLUB EDUCATIONAL TRUST"|"1012289"|"13896.0000"|""|""|""|""|""
"04-6820699"|"MARJORIE HARRIS REYNOLDS FDN ERIC & JANNA ODDLEIFSON, TRUSTEES"|"1012290"|"126250.0000"|""|""|""|""|""
"01-0469155"|"JOHN SAGE FOUNDATION"|"1012774"|"26945.0000"|""|""|""|""|""
"01-0546133"|"NARRAGANSETT NUMBER ONE FOUNDATION"|"1012775"|"322838.0000"|""|""|""|""|""
"01-6007288"|"WING-BENJAMIN TRUST FUND U/W 10 -101230016800"|"1012776"|"44086.0000"|""|""|""|""|""
"02-6012645"|"DEERING FOUNDATION, INC."|"1012778"|"36695.0000"|""|""|""|""|""
"03-0179429"|"THOMAS THOMPSON TRUST"|"1012779"|"620394.0000"|""|""|""|""|""
"04-2399760"|"THE TJX FOUNDATION, INC."|"1012780"|"8393990.0000"|""|""|""|""|""
"04-3292646"|"Information Research Foundation"|"1012781"|""|""|""|""|""|""
"04-3343529"|"THE ROBERT F STOICO/FIRSTFED CHARITABLE FOUNDATION"|"1012782"|"645366.0000"|""|""|""|""|""
"04-3353621"|"INSTITUTION FOR SAVINGS IN NEWBURYPORT & ITS VICINITY CHARITABLE FOUNDATION, INC."|"1012783"|"866954.0000"|""|""|""|""|""
"04-3371560"|"JOHN A. MCNEICE, JR. CHARITABLE FOUNDATION"|"1012784"|"347541.0000"|""|""|""|""|""
"04-6039669"|"Albert O Wilson Foundation, Inc"|"1012785"|"84886.0000"|""|""|""|""|""
"04-6725545"|"CHARLES E. HARWOOD TRUST"|"1012786"|"222090.0000"|""|""|""|""|""
"04-6864140"|"CATHERINE HAWKINS FOUNDATION JOHN I. & ELIZABETH TAYLOR, TTEES"|"1012787"|"33887.0000"|""|""|""|""|""
"02-0537670"|"The High Q Foundation, Inc"|"1013044"|"12445632.0000"|""|""|""|""|""
"02-0562020"|"JOHN & AMY GRIFFIN FOUNDATION"|"1013045"|"5596798.0000"|""|""|""|""|""
"04-2214828"|"NECF FOUNDATION, INC."|"1013046"|"93750.0000"|""|""|""|""|""
"04-2682392"|"THE ROBERT M. & MARJIE A. BENNETT FOUNDATION"|"1013047"|"120335.0000"|""|""|""|""|""
"04-2943793"|"THE MORBY FAMILY CHARITABLE FOUNDATION, INC."|"1013048"|"385600.0000"|""|""|""|""|""
"04-6012150"|"HIRAM FRANCIS MILLS TRUST U/WILL"|"1013049"|"40559.0000"|""|""|""|""|""
"04-6112820"|"GEORGIANA GODDARD EATON MEMORIAL FUND"|"1013050"|"397933.0000"|""|""|""|""|""
"04-6856264"|"THE ROBERT G SEGEL AND JANICE L SHERMAN FAMILY FOUNDATION"|"1013051"|"167280.0000"|""|""|""|""|""
"01-0421806"|"THE BILL AND JOAN ALFOND FOUNDATION"|"1013227"|"502069.0000"|""|""|""|""|""
"01-0705507"|"IRAIDA CADANO CHARITABLE FOUNDATION"|"1013228"|"135056.0000"|""|""|""|""|""
"02-0516305"|"LYMAN B POPE JR FOUNDATION"|"1013229"|""|""|""|""|""|""
"02-0524940"|"SKRUNGLOO FARM, INC."|"1013230"|"149619.0000"|""|""|""|""|""
"02-0718525"|"KOOK MIN HUR FOUNDATION"|"1013231"|"24676.0000"|""|""|""|""|""
"02-6007760"|"J WILFRED ANCTIL FOUNDATION"|"1013232"|"80794.0000"|""|""|""|""|""
"03-0460786"|"THE JANE & ALAN CORNELL FOUNDATION INC."|"1013234"|"21386.0000"|""|""|""|""|""
"04-2690883"|"CLIFFORD CHARITABLE FOUNDATION"|"1013235"|"242924.0000"|""|""|""|""|""
"04-2768239"|"YAWKEY FOUNDATION II"|"1013236"|"22175986.0000"|""|""|""|""|""
"04-3294783"|"JULIA CHILD FOUNDATION FOR GASTRONOMY AND THE CULINARY ARTS"|"1013237"|"161420.0000"|""|""|""|""|""
"04-3541560"|"THE GOODTREE/GORDON CHARITABLE FOUNDATION"|"1013239"|"59592.0000"|""|""|""|""|""
"04-3581722"|"THE CEDAR STREET FOUNDATION JH1204"|"1013241"|"428597.0000"|""|""|""|""|""
"04-6009552"|"DANIEL W FIELD TRUST"|"1013242"|"440039.0000"|""|""|""|""|""
"04-6019020"|"T WALTER CARMAN T/U/W SHRINERS"|"1013243"|"174973.0000"|""|""|""|""|""
"04-6019038"|"JAMES P GRAY"|"1013244"|"174187.0000"|""|""|""|""|""
"04-6019088"|"WILLIAM B WALKER"|"1013246"|"162931.0000"|""|""|""|""|""
"04-6019105"|"FREDERICK H GILLETT B/O YMCA"|"1013247"|"326672.0000"|""|""|""|""|""
"04-6028223"|"TR U/W JOHN H SANDERSON"|"1013248"|"189471.0000"|""|""|""|""|""
"04-6033808"|"HERVEY L SMITH UA"|"1013249"|"184776.0000"|""|""|""|""|""
"04-6035855"|"WILLIAM SKINNER HOLYOKE HOSP"|"1013250"|"73212.0000"|""|""|""|""|""
"04-6050704"|"THE ELLISON FOUNDATION ELTON DREW, TRUS C/O ELTON DREW"|"1013251"|"4220646.0000"|""|""|""|""|""
"04-6060702"|"JOHN MCELANEY TRUST U/W FBO TOWN OF AVON"|"1013252"|"11500.0000"|""|""|""|""|""
"04-6135027"|"CARL & RUTH SHAPIRO FAMILY FOUNDATION"|"1013253"|"13919812.0000"|""|""|""|""|""
"04-6136011"|"JAMES B CORCORAN"|"1013254"|"105400.0000"|""|""|""|""|""
"04-6142600"|"WYMAN-GORDON FOUNDATION"|"1013255"|"257968.0000"|""|""|""|""|""
"04-6427501"|"BECK CHRISTINE L TRUST U/A"|"1013256"|"165662.0000"|""|""|""|""|""
"04-6512448"|"E BROOKS TR FBO ANIMAL RESCUE"|"1013257"|"146802.0000"|""|""|""|""|""
"04-6512450"|"E BROOKS TR - ANGELL EME HOSP"|"1013258"|"148135.0000"|""|""|""|""|""
"04-6705444"|"CHELONIAN RESEARCH FOUNDATION"|"1013259"|"162074.0000"|""|""|""|""|""
"04-6728351"|"THE VIRGINIA WELLINGTON CABOT FOUNDATION CO CABOT-WELLINGTON LLC"|"1013260"|"1339304.0000"|""|""|""|""|""
"01-6007242"|"RALPH AND MARY SIMMONS WELFARE FND 10 - 101160023000"|"1013706"|"27655.0000"|""|""|""|""|""
"01-6007504"|"JOHN W MANSON TRUST 10 - 101200039320"|"1013707"|"75063.0000"|""|""|""|""|""
"01-6065594"|"DOROTHY AMES TRUST 10 -101160032580"|"1013708"|"24754.0000"|""|""|""|""|""
"01-6076500"|"RICHARD S HUESTIS TRUST U/W 8/9/57 10-101200148440"|"1013710"|"139693.0000"|""|""|""|""|""
"02-6007727"|"SCEVA SPEARE TR FBO BROOKHAVEN HOME FOR BOYS"|"1013711"|"93194.0000"|""|""|""|""|""
"02-6021464"|"ABBIE M GRIFFIN HOSPITAL FUND"|"1013712"|"11474.0000"|""|""|""|""|""
"02-6021465"|"ABBIE M GRIFFIN MEMORIAL FUND"|"1013713"|"18296.0000"|""|""|""|""|""
"03-6087553"|"HELEN P. LEFEVRE CHARITABLE TRUST"|"1013715"|"98586.0000"|""|""|""|""|""
"04-2103875"|"BERKSHIRE RETIREMENT HOME, INC"|"1013716"|"3192387.0000"|""|""|""|""|""
"04-2700063"|"TAPPER CHARITABLE FOUNDATION"|"1013717"|"179535.0000"|""|""|""|""|""
"04-3341720"|"THE SPILLANE CHARITABLE FOUNDATION"|"1013718"|"63916.0000"|""|""|""|""|""
"04-3608094"|"LAWRENCE E WIHTIE FAMIL Y FOUNDATION"|"1013719"|"137500.0000"|""|""|""|""|""
"04-6015548"|"MYRON L. FULLER TRUST"|"1013720"|"243591.0000"|""|""|""|""|""
"04-6019494"|"MELLA M GRIMM FOX FOUNDATION"|"1013721"|"481141.0000"|""|""|""|""|""
"04-6044620"|"EASTERN CHARITABLE FOUNDATION"|"1013722"|"52600.0000"|""|""|""|""|""
"04-6095808"|"BAILEY CO DECL 11 30 53 CHAR FD"|"1013723"|"39597.0000"|""|""|""|""|""
"04-6111827"|"TR U/W G GORHAM PETERS 7567-07552007373"|"1013724"|"770000.0000"|""|""|""|""|""
"04-6421513"|"PETSAS CHARITABLE TRUST UA"|"1013725"|"32520.0000"|""|""|""|""|""
"04-6869254"|"ESTHER B. KAHN CHARITABLE FOUNDATION"|"1013727"|"199747.0000"|""|""|""|""|""
"04-6935987"|"EDITH CROCKER CHARITABLE TRUST"|"1013728"|"28893.0000"|""|""|""|""|""
"02-0651698"|"WESTERN VIRGINIA ENVIRONMENTAL AND SOCIAL TRUST FOUNDATION"|"1015582"|"22377.0000"|""|""|""|""|""
"03-0287574"|"BRYAN MEMORIAL GALLERY FOUNDATION, INC"|"1015626"|"187923.0000"|""|""|""|""|""
"04-3684566"|"The Conduit Foundation"|"1015627"|"3104878.0000"|""|""|""|""|""
"04-6021061"|"J EMMA GRAY"|"1015628"|"373129.0000"|""|""|""|""|""
"04-6055699"|"MADELAINE G. VONWEBER TRUST TODD FAHEY & WILLIAM TUCKER, CO-TRUSTEES"|"1015629"|"397645.0000"|""|""|""|""|""
"04-6067779"|"ANSIN FOUNDATION"|"1015630"|"212862.0000"|""|""|""|""|""
"01-0371179"|"LONGLEY SCHOLARSHIP FOUNDATION 43M133013"|"1015758"|"14023.0000"|""|""|""|""|""
"01-0441158"|"HAWKES SCHOLARSHIP FUND 10 -101160367540"|"1015759"|"52049.0000"|""|""|""|""|""
"01-6007198"|"RAY G MARSTON TRUST U/W FBO PINE TREE SOCIETY"|"1015760"|"29655.0000"|""|""|""|""|""
"02-6008379"|"THE GREENSPAN FOUNDATION"|"1015761"|"126121.0000"|""|""|""|""|""
"04-3466878"|"RCB CHARITABLE FOUNDATION, INC."|"1015763"|"82010.0000"|""|""|""|""|""
"04-6022766"|"THE S. S. FORBES TEACHERS FUND"|"1015764"|"101115.0000"|""|""|""|""|""
"04-6500798"|"LOU & LUCIENNE BRIGHTMAN SCHOLARSHIP FDN EASTERN BANK, TRUSTEE"|"1015765"|"23268.0000"|""|""|""|""|""
"04-3536335"|"MASSIAH FOUNDATION, INC."|"1016712"|"3373544.0000"|""|""|""|""|""
"02-0222133"|"Oliver JM Gilman Trust"|"1016729"|""|""|""|""|""|""
"02-0406835"|"NASH FOUNDATION, INC."|"1016730"|"23750.0000"|""|""|""|""|""
"04-6026858"|"CHARLES A. DEAN TRUST DTD 3/12/1913"|"1016738"|"228682.0000"|""|""|""|""|""
"04-6125088"|"F. A. & J. H. HARRINGTON FOUNDATION"|"1016753"|"1444655.0000"|""|""|""|""|""
"04-6067431"|"NEW ENGLAND EDUCATION SOCIETY"|"1016760"|"47278.0000"|""|""|""|""|""
"01-0211792"|"Lewiston-Auburn Children's Home"|"1030065"|"15350.0000"|""|""|""|""|""
"04-2763837"|"THE FLATLEY FOUNDATION"|"1031624"|"18754408.0000"|""|""|""|""|""
"01-0446023"|"The Bank of Maine Charitable Foundation"|"1035878"|"314454.0000"|""|""|""|""|""
"01-0471533"|"Maine Education Services"|"1035879"|"155758.0000"|""|""|""|""|""
"01-0555028"|"THE CHRIS AND MELODY MALACHOWSKY FAMILY FOUNDATION"|"1035881"|"273705.0000"|""|""|""|""|""
"01-0570536"|"THE FRY FOUNDATION"|"1035882"|"146605.0000"|""|""|""|""|""
"01-0644503"|"MILL PARK FOUNDATION, INC"|"1035883"|"4882580.0000"|""|""|""|""|""
"01-0683207"|"THE DEWBERRY FOUNDATION, INC."|"1035884"|"44020.0000"|""|""|""|""|""
"01-0752611"|"THE FAULCONER SCHOLARSHIP PROGRAMS"|"1035885"|"1144723.0000"|""|""|""|""|""
"01-0939828"|"AGEE FAMILY FOUNDATION"|"1035886"|"432666.0000"|""|""|""|""|""
"02-0569535"|"THE MAYER FOUNDATION"|"1035888"|"82596.0000"|""|""|""|""|""
"02-0631312"|"HANLEY FOUNDATION"|"1035889"|"488884.0000"|""|""|""|""|""
"02-0762912"|"THE GRAGG FOUNDATION"|"1035891"|"84443.0000"|""|""|""|""|""
"02-6151036"|"PSALM 11612 FOUNDATION"|"1035892"|"157014.0000"|""|""|""|""|""
"03-0474038"|"B & E GILMAN FAMILY FOUNDATION"|"1035893"|"1092738.0000"|""|""|""|""|""
"03-6070736"|"MOYNEHAN P MEM FD CHARITABLE TR 403051014"|"1035894"|"21375.0000"|""|""|""|""|""
"03-6100828"|"BILL AND JACKIE LOCKWOOD FAMILY FOUNDATION"|"1035895"|"175106.0000"|""|""|""|""|""
"04-2103827"|"NEW BEDFORD DAY NURSERY INC"|"1035896"|"51984.0000"|""|""|""|""|""
"04-2105936"|"MASON-WRIGHT FOUNDATION, INC."|"1035897"|"272777.0000"|""|""|""|""|""
"04-2607227"|"MARY A CRABTREE FUND"|"1035898"|"23424.0000"|""|""|""|""|""
"04-2900424"|"EDMUND & BETSY CABOT CHARITABLE FNDN"|"1035899"|"83461.0000"|""|""|""|""|""
"04-3136120"|"The Kneisel Foundation, Inc."|"1035900"|"192600.0000"|""|""|""|""|""
"04-3148824"|"BLUE CROSS AND BLUE SHIELD OF MASSACHUSETTS FOUNDATION FOR EXPANDING HEALTHCARE ACCESS"|"1035901"|"6813177.0000"|""|""|""|""|""
"04-3178007"|"THE STABLE FOUNDATION INC"|"1035902"|"49390.0000"|""|""|""|""|""
"04-3213614"|"KESSLER FAMILY FOUNDATION"|"1035903"|"380393.0000"|""|""|""|""|""
"04-3221224"|"OLD MUTUAL ASSET MANAGEMENT CHARITABLE FOUNDATION, INC."|"1035904"|"273365.0000"|""|""|""|""|""
"04-3254694"|"THE HAYNES FAMILY FOUNDATION INC"|"1035905"|"279150.0000"|""|""|""|""|""
"04-3371812"|"THE CONWAY FAMILY FOUNDATION"|"1035906"|"133437.0000"|""|""|""|""|""
"04-3383620"|"C LEROY MILLER CHARITABLE FDN 668019011"|"1035907"|"71117.0000"|""|""|""|""|""
"04-3397818"|"TURNING LEAF FOUNDATION INC"|"1035908"|"134763.0000"|""|""|""|""|""
"04-3424527"|"THE BIRCHROCK FOUNDATION"|"1035909"|"512857.0000"|""|""|""|""|""
"04-3430324"|"THE BRUCE AND BARBARA AUSTIN FAMILY FOUNDATION"|"1035910"|"50742.0000"|""|""|""|""|""
"04-3477836"|"THE JOSEPH R. LEVIS FOUNDATION, INC."|"1035911"|"119167.0000"|""|""|""|""|""
"04-3485516"|"GERMESHAUSEN FOUNDATION, INC"|"1035912"|"1678206.0000"|""|""|""|""|""
"04-3512637"|"OUYANG YU FOUNDATION"|"1035913"|"60717.0000"|""|""|""|""|""
"04-3522036"|"FROG POND FOUNDATION, INC."|"1035914"|"288044.0000"|""|""|""|""|""
"04-3524114"|"NOORIL-IMAN CHARITABLE FOUNDATION, INC."|"1035915"|"933306.0000"|""|""|""|""|""
"04-3584637"|"JEWISH COMMUNITY HOUSING FOR THE ELDERLY VI INC"|"1035917"|"0.0000"|""|""|""|""|""
"04-3612920"|"THE CHARLES R. BRONFMAN PRIZE FOUNDATION"|"1035918"|"554810.0000"|""|""|""|""|""
"04-3613913"|"KITE FOUNDATION"|"1035919"|"338828.0000"|""|""|""|""|""
"04-3674511"|"THE PETRA FOUNDATION"|"1035920"|"150000.0000"|""|""|""|""|""
"04-3690323"|"FRANK SARAH AND MYER J MONUS FOUNDATION"|"1035921"|"33981.0000"|""|""|""|""|""
"04-3732711"|"BARRETTE FAMILY FUND"|"1035922"|"481325.0000"|""|""|""|""|""
"04-3781038"|"ALFRED A IVERSEN AND FAMILY FOUNDATION"|"1035923"|"314416.0000"|""|""|""|""|""
"04-6035327"|"FLORENCE EVANS BUSHEE FOUNDATION INC"|"1035924"|"285560.0000"|""|""|""|""|""
"04-6054237"|"SCOTS CHARITABLE SOCIETY BOSTON-WOMANS AUXILIARY BOARD"|"1035925"|"12000.0000"|""|""|""|""|""
"04-6088114"|"JUSTIN & GENEVIEVE WYNER TRUST"|"1035926"|"35819.0000"|""|""|""|""|""
