"C_EIN"|"C_Org_Name"|"RULING_DATE_XIV"|"XIV_4942_3"|"XIV_4942_5"|"XML_DOCUMENT_ID"
"04-6869215"|"THE DICENSO FAMILY CHARITABLE TRUST"|""|""|""|"1300545"
"02-6086221"|"THE FANNIE COX FOUNDATION"|""|""|""|"1301859"
"04-2210741"|"DEAN FOUNDATION CHILDREN (IMA)"|""|""|""|"1301860"
"04-6232521"|"C JORDON TUA"|""|""|""|"1301861"
"04-6677641"|"JBT CHARITABLE TRUST JH3541"|""|""|""|"1301862"
"04-3222995"|"MILLER UA MOREY & HELEN SCHOL"|""|""|""|"1301911"
"01-0498551"|"John T. Gorman Foundation"|""|""|""|"1301942"
"01-0549309"|"THE ROBERTS FOUNDATION"|""|""|""|"1301943"
"02-0549409"|"Maine Orthopaedic Foundation"|"6/29/2004 12:00:00 AM"|"Y"|""|"1301944"
"04-2607210"|"LOTTA THEATRICAL FUND"|""|""|""|"1301945"
"04-2607227"|"MARY A CRABTREE FUND"|""|""|""|"1301946"
"04-3066922"|"BRIGHAM HILL FOUNDATION"|""|""|""|"1301947"
"04-6660300"|"Francis H LeBlanc Charitable Trust"|""|""|""|"1301949"
"04-3382001"|"SOMERVILLE HEALTH FOUNDATION"|""|""|""|"1302181"
"04-3538929"|"BEN E FACTORS FOUNDATION 7565-07560016259"|""|""|""|"1302182"
"04-6838152"|"ESMOND HARMSWORTH 1997 CHARITABLE FOUNDATION"|""|""|""|"1302183"
"04-6864140"|"CATHERINE HAWKINS FOUNDATION JOHN I. & ELIZABETH TAYLOR, TTEES"|""|""|""|"1302184"
"02-0709426"|"The Foster Family Private Foundation Inc"|""|""|""|"1302987"
"02-6004808"|"TRUST UW BENJAMIN COUCH 360107015"|""|""|""|"1302988"
"02-6010880"|"MARY E ELLIOTT TRUST"|""|""|""|"1302989"
"02-6019759"|"ACA SCHOLARSHIP TRUST"|""|""|""|"1302990"
"03-6016085"|"IVAN W AND BERNICK K BURNHAM EDUCATION"|""|""|""|"1302992"
"03-6044565"|"E DANTE BOGNI TR 420260010"|""|""|""|"1302993"
"03-6064491"|"WILLIAM H JAMES AND GLENNA JAMES SCHOLARSHIP"|""|""|""|"1302994"
"03-6066372"|"WALTER IRISH CHURCH FUND 420361016"|""|""|""|"1302995"
"04-2610674"|"LOTTA AGRICULTURAL FUND"|""|""|""|"1302996"
"04-2915665"|"THE DR A EVERETT AND RUTH E ROSEN F ROSEN FOUNDATION"|""|""|""|"1302997"
"04-3195994"|"HILDRETH STEWART CHARITABLE FOUNDATION"|""|""|""|"1302998"
"04-3243059"|"THE OHANIAN FAMILY FOUNDATION, INC."|""|""|""|"1303000"
"04-3530777"|"AKAMAI FOUNDATION INC"|""|""|""|"1303001"
"04-3536671"|"GREEN LEAF FOUNDATION WILLIAM B PERKINS ET AL TRUSTEES"|""|""|""|"1303002"
"04-3541069"|"ORISTAGLIO FAMILY FOUNDATION"|""|""|""|"1303003"
"04-6010559"|"MARION G JACKSON CHAR TR"|""|""|""|"1303004"
"04-6067847"|"JOHN D BRYANT TRUST UW WINIFRED I LI TRUSTEE"|""|""|""|"1303005"
"04-6130518"|"GEORGE R WALLACE FOUNDATION"|""|""|""|"1303006"
"04-6497465"|"MIRIAM SHAW FUND U/W"|""|""|""|"1303007"
"04-6967568"|"RAWSON FAMILY FOUNDATION TRUST"|""|""|""|"1303010"
"04-6019494"|"NELLA M GRIMM FOX FOUNDATION"|""|""|""|"1303750"
"04-6487087"|"HARVEY H & CATHERINE MOSES EDUCATION FUND"|""|""|""|"1303752"
"04-6504871"|"DORIS L. BENZ TRUST"|""|""|""|"1303753"
"01-0739379"|"Douglas E Mitchell Charitable Foundation"|""|""|""|"1304849"
"01-0800004"|"Pierce Family Foundation"|""|""|""|"1304850"
"01-6009698"|"WILLIAM SEARLS SCHOLARSHIP FUND THE FIRST NA"|""|""|""|"1304851"
"02-6004790"|"CLARA SALTUS TRUST UW 360145015"|""|""|""|"1304852"
"04-3014763"|"THE SHANE FOUNDATION 15009232"|""|""|""|"1304854"
"04-3049521"|"MAYOR GAYDEN MORRILL CHARITABLE FOUNDATION"|""|"Y"|""|"1304855"
"04-3422324"|"RUSSO FAMILY CHARITABLE FOUNDATION TRUST"|""|""|""|"1304856"
"04-3494798"|"THE WADE FAMILY FOUNDATION"|""|""|""|"1304857"
"04-3509776"|"THE HICKS FAMILY CHARITABLE FOUNDATION JUTTA B. HICKS ET AL, TRUSTEES"|""|""|""|"1304858"
"04-3528004"|"POPPLESTONE FOUNDATION"|""|""|""|"1304859"
"04-6012784"|"KENWOOD FOUNDATION 7560-07552021240"|""|""|""|"1304860"
"04-6029004"|"JAMES C MELVIN TRUST UW FRANCIS L COOLIDGE ET AL TRUSTEES"|""|""|""|"1304861"
"04-6043096"|"Macpherson Fund Inc"|""|""|""|"1304862"
"04-6088114"|"JUSTIN & GENEVIEVE WYNER TRUST"|""|""|""|"1304863"
"04-6215821"|"JOSEPH & CLARA FLYNN SCHOLARSHIP TRUST"|""|""|""|"1304865"
"04-6528704"|"LOEWY CHARITABLE FOUNDATION ARTHUR F LOEWY TRISTEE"|""|""|""|"1304866"
"04-6644020"|"THE IVES FAMILY CHARITABLE TRUST"|""|""|""|"1304867"
"04-6668886"|"METANOIA FUND 90151348"|""|""|""|"1304868"
"04-6744975"|"KERSHAW FOUNDATION CHARITABLE TRUST"|""|""|""|"1304869"
"01-0371179"|"LONGLEY SCHOLARSHIP FOUNDATION 43M133013"|""|""|""|"1305584"
"01-6007504"|"JOHN W MANSON TRUST 10-101160039320"|""|""|""|"1305586"
"02-6008379"|"THE GREENSPAN FOUNDATION"|""|""|""|"1305588"
"03-0341004"|"BETTER AND BETTER FOUNDATION"|""|""|""|"1305589"
"03-6070999"|"HARRY WOLFF TRUST"|""|""|""|"1305590"
"03-6089090"|"BONBRIGHT FAMILY FOUNDATION"|""|""|""|"1305591"
"04-2613244"|"JAMES G. MARTIN MEMORIAL TRUST"|""|""|""|"1305592"
"04-6024320"|"TTEE U/W OF L. GILBERT FBO LANE HOSP"|""|""|""|"1305593"
"04-6044620"|"EASTERN CHARITABLE FOUNDATION"|""|""|""|"1305594"
"04-6066081"|"TRAYLOR CHARITABLE FUND"|""|""|""|"1305595"
"04-6191561"|"TRASK JOSEPHINE B IRR TR DTD 7/24/68"|""|""|""|"1305596"
"01-0705507"|"IRAIDA CADANO CHARITABLE FOUNDATION"|""|""|""|"1307551"
"01-0446023"|"The Bank of Maine Charitable Foundation"|""|""|""|"1308163"
"01-0514175"|"Machias Savings Bank Community Development Foundation"|""|""|""|"1308164"
"01-0737173"|"SUZANNE WESTER MATTEO MD CHARITABLE FNDN"|""|""|""|"1308165"
"01-6148895"|"The S Douglas and Rita C Sukeforth Charitable Foundation"|""|""|""|"1308166"
"01-6226621"|"WILLIAM F TROXELL CHARITABLE TRUST PNC BANK NA"|""|""|""|"1308167"
"03-0355842"|"Antonio B and Rita M Pomerleau Foundation Inc"|""|""|""|"1308168"
"04-2585160"|"BENJAMIN D and RUBY G SCHULMAN FOUNDATION"|""|""|""|"1308169"
"04-2625173"|"THE LINNELL FOUNDATION"|""|""|""|"1308170"
"04-2670567"|"ISLAND FOUNDATION INC"|""|""|""|"1308171"
"04-3422869"|"Florence Savings Charitable Foundation Inc"|""|""|""|"1308173"
"04-3467074"|"DE BEAUMONT FOUNDATION INC"|""|""|""|"1308174"
"04-3476677"|"NEIGHBORHOOD PARTNERS FUND INC"|"8/18/2000 12:00:00 AM"|"Y"|""|"1308175"
"04-3493460"|"ROSENBAUMSTEINBERG FAMILY FOUNDATION"|""|""|""|"1308176"
"04-3690323"|"FRANK SARAH AND MYER J MONUS FOUNDATION"|""|""|""|"1308178"
"04-6039173"|"WELD FOUNDATION 15007564"|""|""|""|"1308179"
"04-6142795"|"ALFRED L MORSE & ANNETTE S MORSE FOUNDATION"|""|""|""|"1308180"
"04-6677395"|"MARK & CAROL HYMAN FUND"|""|""|""|"1308181"
"04-6707573"|"JAMES N ABBOTT JR TRUST UW ARTICLE 4"|""|""|""|"1308182"
"04-6049261"|"THE JAFFE FOUNDATION"|""|""|""|"1308525"
"01-0752786"|"Zachary and Lindsey Gund Foundation"|""|""|""|"1308784"
"04-2103780"|"FRANKLIN SQUARE HOUSE FOUNDATION INC"|""|""|""|"1308785"
"04-2104688"|"Managers of Boston Port and Seamen's Aid Society"|""|""|""|"1308786"
"04-3484588"|"Florence SavingsEasthampton Branch Charitable Foundation Inc"|""|""|""|"1308787"
"04-3511089"|"THE SHILLMAN FOUNDATION"|""|""|""|"1308788"
"04-6039595"|"SIDNEY & ESTHER RABB CHARITABLE FOUNDATION"|""|""|""|"1308789"
"01-6008389"|"SHAW'S SUPERMARKETS CHAR FOUNDATION"|""|""|""|"1308908"
"02-6005491"|"EDWARD WAGNER & GEORGE HOSSER SCH FUND 3020003262"|""|""|""|"1308909"
"04-6011995"|"CHARLES E & CAROLINE J ADAMS TRUST"|""|""|""|"1308911"
"02-0694762"|"J&L FOUNDATION"|""|""|""|"1312465"
"02-6076262"|"THE MCININCH SCHOLARSHIP FUND 407385012"|""|""|""|"1312466"
"03-0518473"|"THE LESSING FAMILY FOUNDATION STEPHEN&SANDRA LESSING TTEES U/A/D 5/19/03"|""|""|""|"1312467"
"03-6016072"|"JOHN R WILSON SCHOLARSHIP TR 430004010"|""|""|""|"1312468"
"04-3310863"|"John C. and Eunice B. Morrison Charitable Foundation"|""|""|""|"1312469"
"04-3334973"|"RUDERMAN FAMILY FOUNDATION"|""|""|""|"1312470"
"04-3489662"|"F.E and A.R. Barstow Charitable Trust"|""|""|""|"1312471"
"04-3837163"|"ECHOES OF LASTING PEACE, INC."|"3/19/2009 12:00:00 AM"|"Y"|""|"1312472"
"02-6098262"|"EDWIN C. REMICK TESTAMENTARY TRUST"|""|""|""|"1312656"
"02-0649872"|"LAM YAU JONG CHARITABLE FOUNDATION"|""|""|""|"1313217"
"03-0374762"|"HUGIN FAMILY FOUNDATION INC"|""|""|""|"1313218"
"04-3339572"|"THE MORNINGSIDE FOUNDATION"|""|""|""|"1313219"
"04-3371173"|"LAURING CHARITABLE FOUNDATION"|""|""|""|"1313220"
"01-6138763"|"GLADYS F O'NEIL CHARITABLE TRUST"|""|""|""|"1315406"
"04-3133703"|"SOUTH SHORE ANTIQUE AUTO FOUNDATION, INC"|""|""|""|"1315836"
"01-0537471"|"Planet Dog Foundation"|""|""|""|"1315875"
"01-6020765"|"JEWISH COMMUNITY ENDOWMENT ASSOCIATES"|""|""|""|"1315876"
"02-0513464"|"HESED FOUNDATION INC."|""|""|""|"1315877"
"02-0659001"|"Edward L Williams and Mary B Williams Foundation"|""|""|""|"1315878"
"02-0738401"|"FOUNDATION - USA INC."|""|""|""|"1315879"
"03-0300865"|"Ben & Jerry's Foundation, Inc."|""|""|""|"1315880"
"03-0460786"|"THE JANE & ALAN CORNELL FOUNDATION INC."|""|""|""|"1315882"
"04-3234201"|"WOLF & COMPANY, PC"|""|""|""|"1315883"
"04-3371601"|"THE LITTLE OAK HILL FOUNDATION"|""|""|""|"1315884"
"04-6131201"|"FIDELITY FOUNDATION"|""|""|""|"1315885"
"04-6139986"|"JOSEPH PERINI MEMORIAL FOUNDATION"|""|""|""|"1315886"
"04-6661364"|"CAROL AND ALAN J. BERNON FAMILY CHARITABLE FOUNDATION"|""|""|""|"1315887"
"02-6021464"|"ABBIE M GRIFFIN HOSPITAL FUND"|""|""|""|"1316151"
"02-6021465"|"ABBIE M GRIFFIN MEMORIAL FUND"|""|""|""|"1316152"
"02-6086871"|"THE STANNARD & DOROTHY DUNN CHARITABLE TRUST"|""|""|""|"1316153"
"04-3340270"|"PEMBERTON FAMILY FOUNDATION"|""|""|""|"1316154"
"04-3425071"|"THE ALCES FOUNDATION 7562-07552012606"|""|""|""|"1316155"
"04-3534471"|"Irene Stiver Scholarship Fund"|""|""|""|"1317362"
"04-6195965"|"Frank Gerrity Charitable Trust"|""|""|""|"1317363"
"05-0260671"|"BALLOU HOME FOR THE AGED"|"5/25/1972 12:00:00 AM"|""|"Y"|"1317364"
"01-0512082"|"FISHER CHARITABLE FOUNDATION"|""|""|""|"1318486"
"01-0931287"|"THE PETE & RUTH LESLIE FOUNDATION"|""|""|""|"1318488"
"01-6085692"|"ROSE M CLARK TRUST"|""|""|""|"1318489"
"02-0794202"|"COTSEN FOUNDATION FOR ACADEMIC RESEARCH"|""|""|""|"1318491"
"02-6007487"|"New London Service Organization, Inc."|"6/1/1963 12:00:00 AM"|"Y"|""|"1318492"
"03-6072967"|"FRANCIS EARL AND EDWINA JONES CLARK TRUST"|""|""|""|"1318493"
"03-6091970"|"FRANK & ZADA CHASE CHARITABLE TRUST 1576"|""|""|""|"1318494"
"04-2111393"|"ELLA LYMAN CABOT TRUST INC"|""|""|""|"1318495"
"04-2690883"|"CLIFFORD CHARITABLE FOUNDATION"|""|""|""|"1318496"
"04-3365903"|"CALEB DEVELOPMENT CORPORATION"|""|""|""|"1318497"
"04-3397818"|"TURNING LEAF FOUNDATION INC"|""|""|""|"1318498"
"04-3516466"|"THE JUNE RICHARD MATTHEWS CHARITABLE FOUNDATION"|""|""|""|"1318499"
"04-3540667"|"YEARLEY FAMILY FOUNDATION"|""|""|""|"1318500"
"04-3580383"|"The Linda Wisnewski and William Collatos Family Foundation"|""|""|""|"1318501"
"04-6112483"|"THE BARUCH FUND"|""|""|""|"1318502"
"04-6169683"|"DIRLAM CHARITABLE TRUST"|""|""|""|"1318503"
"04-6663582"|"THE LUDCKE FOUNDATION"|""|""|""|"1318504"
"04-6896202"|"JOHN AND JUDITH NELSON FAMILY FOUNDATION"|""|""|""|"1318505"
"01-0521503"|"WINSLOW-JOHNSON SCHOLARSHIP TRUST"|""|""|""|"1319064"
"01-6017314"|"SYLVIA E ROSS TRUST"|""|""|""|"1319066"
"02-6004792"|"HERBERT G ABBOT TESTAMENTARY TRUST 360090013"|""|""|""|"1319067"
"04-3582018"|"BROOKS FAMILY FOUNDATION"|""|""|""|"1319068"
"04-6013418"|"ALICE PLIMPTON EDUCATION UNDER WILL 52723467"|""|""|""|"1319069"
"04-6051719"|"CLYDE PARK CHARITABLE FOUNDATION"|""|""|""|"1319070"
"04-6718867"|"KAHN CHARITABLE FOUNDATION"|""|""|""|"1319071"
"04-6815282"|"F ROSCOE & VILA WEBBER CHARITABLE TRUST"|""|""|""|"1319072"
"01-0644503"|"MILL PARK FOUNDATION, INC"|""|""|""|"1322051"
"04-3213614"|"KESSLER FAMILY FOUNDATION"|""|""|""|"1322052"
"04-6044714"|"Arthur Ashley Williams Foundation"|""|""|""|"1322053"
"04-3399319"|"EAST CAMBRIDGE SAVINGS CHARITABLE FOUNDATION, INC."|""|""|""|"1322440"
"04-6186166"|"CALDERWOOD CHARITABLE FOUNDATION"|""|""|""|"1322441"
"01-0516587"|"Saco & Biddeford Savings Charitable Foundation"|""|""|""|"1322706"
"04-3294783"|"JULIA CHILD FOUNDATION FOR GASTRONOMY AND THE CULINARY ARTS"|""|""|""|"1322707"
"01-0566881"|"WENDY & DEREK PEW FOUNDATION, INC."|""|""|""|"1323114"
"02-0779716"|"WTC FOUNDATION"|""|""|""|"1323115"
"04-2104317"|"WINCHESTER MOUNT VERNON HOUSE"|"3/17/1983 12:00:00 AM"|""|"Y"|"1323116"
"04-2651199"|"THE WILLIAM & LIA G. POORVU FAMILY FOUNDATION"|""|""|""|"1323117"
"04-3241999"|"THE JOHN & KATHERINE MORRIS FOUNDATION"|""|""|""|"1323119"
"04-3368616"|"HARRIS A BERMAN & RUTH E NEMZOFF FAMILY FOUNATION"|""|""|""|"1323120"
"04-3485516"|"GERMESHAUSEN FOUNDATION, INC"|""|""|""|"1323121"
"04-6007299"|"F.C. & C.W. NICHOLS CHARITY FD"|""|""|""|"1323123"
"04-6009617"|"MARTHA DANA MERCER TRUST"|""|""|""|"1323124"
"04-6050716"|"ROBERT & MYRA KRAFT FAMILY FOUNATION, INC."|""|""|""|"1323125"
"04-6055699"|"MADELAINE G. VONWEBER TRUST TODD FAHEY & WILLIAM TUCKER"|""|""|""|"1323126"
"04-6113491"|"RUTH H. & WARREN A. ELLSWORTH FOUNDATION"|""|""|""|"1323127"
"04-6142600"|"WYMAN-GORDON FOUNDATION"|""|""|""|"1323128"
"04-6269700"|"ALTA W FOSTER TRUST"|""|""|""|"1323129"
"04-6529891"|"MAKEPEACE ISAB CHARITABLE TRUST 422129015"|""|""|""|"1323130"
"04-6816680"|"THE JOHN J AND LILLIAN M TAYLOR FOUNDATION"|""|""|""|"1323131"
"04-6820699"|"MARJORIE HARRIS REYNOLDS FDN JANNA ODDLEIFSON, TRUSTEE"|""|""|""|"1323132"
"04-6906900"|"THE ROBERT F. HIGGINS FOUNDATION"|""|""|""|"1323133"
"01-0756380"|"BANGS FAMILY FOUNDATION"|""|""|""|"1323619"
"01-0782316"|"THE HERITAGE FUND, INC."|""|""|""|"1323620"
"02-6004800"|"ARTHUR H BRITTON TESTAMENTARY TRUST 360097018"|""|""|""|"1323622"
"03-6003333"|"FRANCES HICKS MEMORIAL FUND"|""|""|""|"1323623"
"01-0471533"|"Maine Education Services"|""|"Y"|""|"1325691"
"01-0561381"|"THE LYNCH FAMILY CHARITABLE FOUNDATION GOVERNOR JOHN H. LYNCH"|""|""|""|"1325692"
"04-2137061"|"ARTEMAS W STEARNS TRUST"|""|""|""|"1325693"
"04-2157061"|"TRUSTEES OF THE AYER HOME"|""|""|""|"1325694"
"04-3369981"|"ROCKWELL FOUNDATION"|""|""|""|"1325695"
"04-3416880"|"THE COSETTE CHARITABLE FUND"|""|""|""|"1325696"
"04-6023791"|"STODDARD CHARITABLE TRUST"|""|""|""|"1325697"
"04-6037391"|"WILLIAM CASPAR GRAUSTEIN MEMORIAL FUND"|""|""|""|"1325698"
"01-0519633"|"THE DUGAS FAMILY FOUNDATION"|""|""|""|"1325802"
"04-2192696"|"NEW ENGLAND GRENFELL ASSOCIATION INC"|""|""|""|"1326485"
"01-0441043"|"COURI FOUNDAITON INC"|"7/24/1989 12:00:00 AM"|"Y"|""|"1329622"
"01-0683207"|"THE DEWBERRY FOUNDATION, INC."|""|""|""|"1329623"
"02-0788451"|"THE MCKELVEY ENTREPRENEURIAL FOUNDATION"|""|""|""|"1329624"
"02-6074479"|"BUSI SCHOLARSHIP FUND 362665010"|""|""|""|"1329625"
"04-3452643"|"GORONGOSA RESTORATION PROJECT, INC."|""|""|""|"1329626"
"04-3483851"|"THE THIBAULT FOUNDATION"|""|""|""|"1329627"
"04-3496738"|"THE LINDA LORING NATURE FOUNDATION INC"|""|"Y"|""|"1329628"
"04-3781038"|"ALFRED A IVERSEN AND FAMILY FOUNDATION"|""|""|""|"1329629"
"04-6044854"|"RUTH H HOLMES TRUST UWILL"|""|""|""|"1329630"
"04-6640238"|"WILLIAM J. MCKEE CHARITABLE FOUNDATION"|""|""|""|"1329631"
"03-6004154"|"MOUNT LAUREL FOUNDATION INC"|""|""|""|"1329899"
"04-6508843"|"TTEE U/W OF AMANDA BESSE"|""|""|""|"1329900"
"04-6753154"|"WILLIAM VANDERHOUT TRUST 42C129014"|""|""|""|"1329901"
"01-0539790"|"JACK AND DEBORAH DAW HEFFERNAN FOUNDATION"|""|""|""|"1332718"
"01-0570536"|"THE FRY FOUNDATION"|""|""|""|"1332721"
"01-0628246"|"THOUSAND ISLANDS FOUNDATION INC"|"10/10/2002 12:00:00 AM"|""|""|"1332722"
"01-0722408"|"THE WASSERMAN FOUNDATON"|""|""|""|"1332723"
"01-0757068"|"JOHN AND BERNICE PLUTA FAMILY FOUNDATION INC"|""|""|""|"1332724"
"01-0885745"|"BETTY & JAMES MUNS FOUNDATION"|""|""|""|"1332725"
"01-6124732"|"Carol and David Hancock Charitable Trust"|""|""|""|"1332727"
"02-0514457"|"AMY E. TARRANT FOUNDATION INC."|""|""|""|"1332728"
"02-0519941"|"LEIGHTON FAMILY FOUNDATION"|""|""|""|"1332729"
"02-0657537"|"The Louise Merage Family Foundation"|""|""|""|"1332730"
"02-6004809"|"GERTRUDE COUCH IRREV TUW 360109011"|""|""|""|"1332732"
"02-6004820"|"BENJAMIN KIMBALL TRUST UW 360126015"|""|""|""|"1332733"
"02-6005330"|"THE BEAN FOUNDATION"|""|""|""|"1332734"
"02-6048930"|"Trust UW Oleonda Jameson"|""|""|""|"1332735"
"02-6050390"|"OLIN J COCHRAN TR UW 361042013"|""|""|""|"1332736"
"02-6091650"|"ROBIN COLSON MEMORIAL FOUNDATION TR 404620015"|""|""|""|"1332737"
"02-6123358"|"JASPER W & CATHERINE L BLANDIN SCHOLARSHIP"|""|""|""|"1332738"
"02-6124449"|"THE MAE CASALI BONVICINI CHARITABLE FOUNDATION"|""|""|""|"1332739"
"02-6151036"|"PSALM 11612 FOUNDATION TRUST"|""|""|""|"1332740"
"03-0287574"|"BRYAN MEMORIAL GALLERY FOUNDATION INC"|"6/6/1983 12:00:00 AM"|"Y"|""|"1332741"
"03-0354374"|"HOEHL FAMILY FOUNDATION"|""|""|""|"1332742"
"03-0486725"|"Lawless Family Foundation"|""|""|""|"1332743"
"03-0503425"|"Illinois Children's Healthcare Foundation"|""|""|""|"1332744"
"03-0576552"|"ARORA FOUNDATION INC"|""|""|""|"1332745"
"03-6004915"|"ELEANOR WHITE TR 430012013"|""|""|""|"1332746"
"04-1091024"|"ROBERE M. BIRMINGHAM TRUST"|""|""|""|"1332747"
"04-2136910"|"JOSEPHINE G RUSSELL TRUST"|""|""|""|"1332748"
"04-2900424"|"EDMUND & BETSY CABOT CHARITABLE FNDN"|""|""|""|"1332749"
"04-3127721"|"THE A & A FUND"|""|""|""|"1332753"
"04-3372484"|"ENABLE HOPE FOUNDATION"|""|""|""|"1332755"
"04-3382858"|"MARGARET S LINDSAY FDN OF 1989"|""|""|""|"1332756"
"04-3424620"|"THE BLAIS FOUNDATION CO BLAISCO LLC"|""|""|""|"1332757"
"04-3428609"|"THE KIVA FOUNDATION"|""|""|""|"1332758"
"04-3474541"|"THE JOAN & LEO MAHONEY FAMILY FOUNDATION"|""|""|""|"1332760"
"04-3493753"|"WEBBER FAMILY FOUNDATION INC"|""|""|""|"1332761"
"04-3494542"|"THE BATY FAMILY FOUNDATION TRUST"|""|""|""|"1332762"
"04-3496505"|"THE DOLCE FAMILY FOUNDATION TRUST"|""|""|""|"1332763"
"04-3522054"|"ROBERTS FAMILY FOUNDATION"|""|""|""|"1332766"
"04-3528932"|"THE LUCILLE FOUNDATION"|""|""|""|"1332767"
"04-3536335"|"MASSIAH FOUNDATION, INC."|""|""|""|"1332768"
"04-3541830"|"THE ALCHEMY FOUNDATION"|""|""|""|"1332769"
"04-3556853"|"THE SCULLY FAMILY FOUNDATION INC"|""|""|""|"1332770"
"04-3565658"|"BIRKAT ESTHER INC"|""|""|""|"1332771"
"04-3647404"|"HASCOE CHARITABLE FOUNDATION"|""|""|""|"1332773"
"04-3732711"|"BARRETTE FAMILY FUND"|""|""|""|"1332774"
"04-3732752"|"THE GILBERT FAMILY FOUNDATION"|""|""|""|"1332775"
"04-6013075"|"GEORGE H MORRISON TRUST UWILL FBO MORRISON"|""|""|""|"1332776"
"04-6027441"|"MARY E WOOD FOUNDATION MATHANIEL S COOLIDGE ET AL TRUSTEES"|""|""|""|"1332777"
"04-6032804"|"UBS FOUNDATION USA"|""|""|""|"1332778"
"04-6035506"|"J HENRY KENDALL TRUST"|""|""|""|"1332779"
"04-6037210"|"TR U/W OF ANNIE E WILSON"|""|""|""|"1332780"
"04-6042274"|"Mary A Kelly Scholarship Fund"|""|""|""|"1332781"
"04-6112346"|"SIFF CHARITABLE FOUNDATION CO GRKB"|""|""|""|"1332783"
"04-6148959"|"VIPONT DE MERWIN RD TR 151872 FBO 312065014"|""|""|""|"1332784"
"04-6387242"|"GRACE HOWE FAMILY TRUST 31A015010"|""|""|""|"1332785"
"04-6579815"|"BARR FOUNDATION"|""|""|""|"1332786"
"04-6675875"|"MARSHALL M & BARBARA J SLOANE PVT FOUND"|""|""|""|"1332787"
"04-6691809"|"Van Sloun Foundation"|""|""|""|"1332788"
"04-6725453"|"GEORGE B FOSTER MEMORIAL TRUST"|""|""|""|"1332789"
"04-6772532"|"THE MCCANCE FOUNDATION"|""|""|""|"1332790"
"04-6837456"|"THE BRESSLER FAMILY FOUNDATION"|""|""|""|"1332791"
"04-6863845"|"THE MAURICE AND ANNE MAKEPEACE FAMILY FOUNDATION"|""|""|""|"1332792"
"04-6917944"|"DERTOLON FAMILY FOUNDATION"|""|""|""|"1332794"
"01-0559509"|"PETRELLO FAMILY FOUNDATION"|""|""|""|"1334606"
"01-0956020"|"AND COMPETITION IN HEALTHCARE"|""|""|""|"1334607"
"02-0255205"|"THE PERLMAN FAMILY FOUNDATION INC"|""|""|""|"1334609"
"02-6134751"|"MARY DALY MACFARLAND FOUNDATION"|""|""|""|"1334611"
"04-2105774"|"TRUSTEES OF THE HOWARD FUNDS 1993"|""|""|""|"1334613"
"04-2131415"|"SARAH GILLETT SERVICES FOR THE ELDERLY, INC"|""|""|""|"1334614"
"04-3030385"|"RUFFINI CHARITABLE FOUNDATION"|""|""|""|"1334615"
"04-3321452"|"THE RICHARD ERIC ROSENBERG FOUNDATION, INC."|""|""|""|"1334616"
"04-6014010"|"SHOLLEY FOUNDATION"|""|""|""|"1334617"
"04-6093505"|"BIRD CHARLES SUMNER FDN TR U/DECL"|""|""|""|"1334618"
"04-6112830"|"FRANK H BEEBE FUND FOR MUSICIANS 7562-07552005918"|""|""|""|"1334619"
"04-6773530"|"WILSON FAMILY FOUNDATION"|""|""|""|"1334620"
"04-3366747"|"THE GATEWAY FUND"|""|""|""|"1335138"
"04-6223350"|"GEORGE & BEATRICE SHERMAN FAMILY CHARITABLE TRUST"|""|""|""|"1335255"
"01-0490113"|"Maine State Troopers Foundation"|""|""|""|"1335332"
"04-3255974"|"SWARTZ FOUNDATION"|""|""|""|"1335334"
"04-3484188"|"GISELA B HOGAN CHARITABLE FOUNDATION"|""|""|""|"1335335"
"04-3541874"|"THE SISTERS AND JOHNNY FOUNDATION"|""|""|""|"1335336"
"04-6051095"|"HENDERSON FOUNDATION"|""|""|""|"1335337"
"04-6556188"|"C. F. ADAMS CHARITABLE TRUST"|""|""|""|"1335338"
"04-6729068"|"PHALAROPE FOUNDATION"|""|""|""|"1335341"
"05-0475089"|"MURRAY FAMILY FOUNDATION IMA"|""|""|""|"1335343"
"01-0514859"|"THE OLD BUG LIGHT CHARITABLE FOUNDATION"|""|""|""|"1335561"
"01-6040690"|"MEANS ELIZABETH W"|""|""|""|"1335562"
"02-6127798"|"LAFFERTY FAMILY CHARITABLE FOUNDATION"|""|""|""|"1335563"
"03-6087553"|"HELEN P. LEFEVRE CHARITABLE TRUST"|""|""|""|"1335564"
"04-3391146"|"EDWARD & ANTOINETTE BANA HURST"|""|""|""|"1335566"
"04-6314384"|"SIDNEY HMARY L GRAY FAMILY SCHOLARSHIP FUND"|""|""|""|"1335567"
"04-6557590"|"WARREN CROSS FOUNDATION"|""|""|""|"1335568"
"04-6599655"|"HATHAWAY MEMORIAL CHARIT TR"|""|""|""|"1335569"
"04-6702776"|"TTEE U/D OF W F & D M SEARS"|""|""|""|"1335570"
"01-0712009"|"BACHMAN FOUNDATION"|""|""|""|"1335791"
"01-3732915"|"THE JOHN AND ANNAMARIA PHILLIPS FOUNDATION INC"|""|""|""|"1335792"
"02-0550210"|"THE JAY PRITZKER FOUNDATION"|""|""|""|"1335793"
"02-0814904"|"THE KHARIS FOUNDATION INC"|""|""|""|"1335794"
"04-2131404"|"THE STANLEY PARK OF WESTFIELD INC"|"7/17/1972 12:00:00 AM"|"Y"|""|"1335795"
