"EIN"|"ORG_NAME"|"XMLID"
"03-0558277"|"PRAYER CHILD FOUNDATION"|"955778"
"04-3526333"|"THE ASTRA FOUNDATION INC"|"955780"
"01-0557030"|"LINDSAY FAMILY FOUNDATION 58034730"|"955955"
"02-0583552"|"James R. Dougherty, Jr. Foundation, Inc."|"955962"
"03-0518473"|"THE LESSING FAMILY FOUNDATION STEPHEN&SANDRA LESSING, TTEES; U/A/D 5/19/03"|"955964"
"04-3428896"|"The Edwin and Sara Brody Family Charitable Foundation"|"955971"
"04-3666136"|"C & Y FOUNDATION, INC."|"955980"
"04-6109594"|"THE ROBERTSON TRUST PHILIP S. ROBERTSON ET AL TRUSTEES"|"955987"
"04-6210177"|"DAVID E. MOESER TR/IND #0709485"|"955989"
"04-6834092"|"Becton Family Foundation Justin W. Heatter, Trustee"|"955996"
"01-0956020"|"THE MASIMO FOUNDATION FOR ETHICS, INNOVATION AND COMPETITION IN HEALTHCARE"|"968307"
"04-3298628"|"CO-TTEE OF ROAF MEMORIAL FUND"|"968312"
"04-6040032"|"TRUSTEES OF SEARS AND OTHER FUNDS"|"970170"
"02-0364166"|"STEPHEN P BELL, TIMOTHY A BELL & TRICIA FLYNN CALEY MEMORIAL SCHOLARSHIP 3035001994"|"971147"
"04-6020266"|"E.P. BINNEY CHARITABLE FND"|"971204"
"04-3433749"|"DESAI FAMILY FOUNDATION"|"971224"
"04-6082918"|"AIMEE M. L. BECKER TRUST"|"971254"
"04-6753154"|"WILLIAM VANDERHOUT TRUST 42C129014"|"971397"
"01-6209149"|"KENNETH LINDSAY FOUNDATION"|"982050"
"04-6051127"|"FRANCES W EMERSON FOUNDATION"|"982059"
"04-6023790"|"THE ALBERT J. GIFFORD CHARITABLE TRUST"|"982552"
"04-3375373"|"MORSE MARTHA FOUNDATION C.S. MARSHALL ESQ. TRUSTEE"|"1010637"
"04-6003671"|"HENRY O. PEABODY SCHOOL FOR GIRLS"|"1010639"
"02-6007724"|"JACKMAN CHARLES TRUST"|"1012134"
"03-6070999"|"HARRY WOLFF TRUST"|"1012150"
"04-3081668"|"GODDARD RESTORATIVE CARE UNIT INC"|"1012186"
"03-0443725"|"BUECHEL PATIENT CARE, RESEARCH AND EDUCATION FUND, INC."|"1012275"
"04-2103815"|"MARTHAS VINEYARD CAMP-MEETING ASSOCIATION"|"1012277"
"04-3843795"|"THE GRETCHEN C. VALADE ENDOWMENT FOR THE ARTS"|"1012284"
"04-6043983"|"HAROLD BROOKS FOUNDATION"|"1012286"
"01-0521503"|"WINSLOW - JOHNSON SCHOLARSHIP TRUST"|"1037345"
"03-6003333"|"FRANCES HICKS MEMORIAL FUND"|"1037352"
"04-3582018"|"BROOKS FAMILY FOUNDATION"|"1037354"
"02-6015152"|"ETTA M SHAW TR #3020002192"|"552790"
"02-6110470"|"ANNIE L ROWELL INTERVIVOS TRUST 426245015"|"552792"
"04-3375373"|"MORSE MARTHA FOUNDATION C.S. MARSHALL ESQ. TRUSTEE"|"552801"
"02-6012645"|"DEERING FOUNDATION, INC."|"607599"
"03-6009912"|"General Educational Fund, Inc."|"647225"
"04-1611615"|"MEMORIAL FOUNDATION FOR THE BLIND INC"|"647227"
"01-0441158"|"HAWKES SCHOLARSHIP FUND 10 - 101160367540"|"653586"
"04-2700063"|"TAPPER CHARITABLE FOUNDATION"|"653593"
"04-3425071"|"THE ALCES FOUNDATION 7562-7552012606"|"653595"
"04-2105774"|"TRUSTEES OF THE HOWARD FUNDS 1993"|"685749"
"04-6091916"|"KELLY ROBERT H TR U/IND"|"685858"
"04-6746970"|"DUNIRY FOUNDATION"|"685863"
"04-6855617"|"VIRGINIA COOK FOUNDATION 42C161017"|"685865"
"04-6935987"|"EDITH CROCKER CHARITABLE TRUST"|"685867"
"02-6139129"|"GEORGE A STRBA CHARITABLE TRUST"|"717744"
"04-6046890"|"DEAN WELFARE TRUST-TR"|"719130"
"04-6091592"|"PERMANENT SCIENCE FUND TR U/DECL"|"719132"
"01-6173503"|"EVELYN E. STRICKLIN SCHOLARSHIP FOUNDATION"|"720107"
"03-0368595"|"BEN COHEN CHARITABLE TRUST"|"720109"
"04-3536784"|"BEN & KATE TAYLOR CHARITABLE FOUNDATION BEN & KATE TAYLOR, TRUSTEES"|"720118"
"01-6007600"|"ADDIE KALER VAILL TRUST 10 -101200031240"|"721188"
"03-0122698"|"JOHN J. FLYNN TUW FBO FAHC ETAL 31C025017"|"723069"
"03-6047004"|"SCOTT A 43C039013"|"723083"
"04-3210639"|"ROBERT E DAVOLI & EILEEN L MCDONAGH CHARITABLE FOUNDATION"|"723092"
"04-3340270"|"PEMBERTON FAMILY FOUNDATION"|"723094"
"04-6828957"|"JOSEPH & KATHERINE O'DONNELL CHARITABLE TRUST"|"723099"
"04-3837113"|"THE MILNER FAMILY FOUNDATION"|"723101"
"03-0346513"|"The Orton Family Foundation, Inc."|"785789"
"04-2103930"|"BRANDEGEE CHARITABLE FOUNDATION"|"785807"
"04-2943405"|"C. Kevin Landry Charitable Foundation"|"785812"
"04-3569828"|"Hall Family Foundation"|"785832"
"04-6044945"|"HUNTER FAMILY CHARITABLE TRUST"|"785846"
"04-2607232"|"THE NANCY LURIE MARKS FAMILY FOUNDATION"|"785991"
"04-6334411"|"CHARLTON FUND-CHARLTON MEM HOS"|"788145"
"01-0496879"|"MARGARET E BURNHAM CHARITABLE TRUST"|"938832"
"01-0744075"|"Networks, Electronic Commerce and Telecommunications Institute"|"938834"
"02-6003982"|"HELEN BLAKE GILE TR"|"938841"
"03-0466977"|"HEALY FOUNDATION"|"938843"
"04-3293081"|"GERALD R JORDAN FOUNDATION"|"938848"
"04-3359381"|"Courtney and Victoria Buffum Family Foundation"|"938850"
"04-3469581"|"BAIRD, TRUSTEES"|"938852"
"04-6019483"|"DOROTHY WHITNEY CHARITABLE TRUST"|"938857"
"04-6779682"|"RUTH C M MASSON FD FOR CHARLTON"|"938866"
"04-3294086"|"THE KRUPP FOUNDATION"|"939395"
"04-2210741"|"DEAN FOUNDATION CHILDREN (IMA)"|"957993"
"04-3493147"|"THE HAMERMESH FAMILY CHARITABLE FOUNDATION"|"957995"
"04-6112346"|"SIFF CHARITABLE FOUNDATION"|"958002"
"04-6118955"|"THE COVE CHARITABLE TRUST"|"958004"
"04-6782460"|"SUSAN A & DONALD P BABSON FOUNDATION"|"958009"
"01-6077631"|"CAMPBELL E W FOUNDATION TR"|"958429"
"01-6136971"|"ALBERT H. YOUNG BANGOR SAVINGS BANK TRUSTEE"|"958781"
"04-2307820"|"BABSON-WEBBER-MUSTARD FUND"|"958786"
"04-3166698"|"THE KEEL FOUNDATION"|"958788"
"04-3462645"|"ROHDA FAMILY CHARITABLE FOUNDATION"|"958790"
"04-6019896"|"JH2550"|"958795"
"04-6023784"|"THE GEORGE I. ALDEN TRUST"|"958797"
"04-6133986"|"THE MARION W RICH FUND"|"958804"
"04-6580695"|"FALLONA RAYMOND AND LAURA CHARITABLE 10153547005"|"958806"
"04-6902384"|"THE HOPE FOUNDATION - USA 1999 TRUST"|"958811"
"05-0466295"|"TRUST U/W DIANA S ADELSON"|"958815"
"04-6029322"|"GEORGE W. HATHAWAY TR U/D"|"973830"
"02-0653934"|"FOSTER CHARITABLE FOUNDATION INC"|"974023"
"04-6044429"|"Charles Robert Gens Foundation"|"974028"
"04-6689934"|"THE JOHN AND MARY CORCORAN FAMILY FOUNDATION"|"974030"
"02-0513464"|"HESED FOUNDATION INC."|"974280"
"04-6139986"|"JOSEPH PERINI MEMORIAL FOUNDATION"|"974287"
"04-6547989"|"TUPANCY-HARRIS FDN. -1986"|"974289"
"04-6862775"|"FLORENCE & RICHARD KOPLOW CHARITABLE FOUNDATION"|"974296"
"04-6056367"|"ASSOCIATION FOR THE RELIEF OF AGED WOMEN OF NEW BEDFORD"|"991644"
"04-6855617"|"VIRGINIA J COOK FOUNDATION 42C161017"|"991912"
"04-6040091"|"SCOTS' CHARITABLE SOCIETY OF BOSTON"|"993884"
"02-0497577"|"HNHFOUNDATION, INC."|"993925"
"04-3119780"|"BYRON ROBINSON EDUCATIONAL FOUNDATION, INC."|"993927"
"02-0246187"|"NASHUA HISTORICAL SOCIETY"|"994041"
"04-3222995"|"MILLER UA MOREY & HELEN SCHOL"|"994043"
"04-6024467"|"TTEE U/W OF CHARLES F BACON"|"994120"
"03-0577385"|"THE MCMASTER FAMILY FOUNDATION INC"|"994268"
"04-6528085"|"LEONARD & HILDA KAPLAN CHARITABLE FOUNDATION"|"994518"
"01-6007198"|"RAY G MARSTON TRUST U/W FBO PINE TREE SOCIETY"|"1015760"
"04-3536335"|"MASSIAH FOUNDATION, INC."|"1016712"
"02-0406835"|"NASH FOUNDATION, INC."|"1016730"
"01-0570536"|"THE FRY FOUNDATION"|"1035882"
"01-0683207"|"THE DEWBERRY FOUNDATION, INC."|"1035884"
"02-0631312"|"HANLEY FOUNDATION"|"1035889"
"02-0762912"|"THE GRAGG FOUNDATION"|"1035891"
"03-0474038"|"B & E GILMAN FAMILY FOUNDATION"|"1035893"
"04-2607227"|"MARY A CRABTREE FUND"|"1035898"
"04-3136120"|"The Kneisel Foundation, Inc."|"1035900"
"04-3541595"|"THE SHAPIRO FOUNDATION"|"1012282"
"01-6017314"|"SYLVIA E ROSS TRUST"|"1037347"
"02-0498236"|"ROY M. MALOOL FAMILY FOUNDATION"|"1037348"
"02-0519812"|"CENTENNIAL SENIOR CENTER, INC."|"1037349"
"02-0787615"|"CALABAR FOUNDATION"|"1037350"
"02-6106324"|"ALLAN B. ROBY & FRANCES M. ROBY CHARITABLE TRUST"|"1037351"
"01-0647596"|"The Pomeroy Family Foundation"|"941087"
"03-6088692"|"S. L. GIMBEL FOUNDATION"|"941100"
"04-2236996"|"NATHANIEL & ELIZABETH P. STEVENS FOUNDATION"|"941101"
"04-2642387"|"JOHN T. MCGILLICUDDY CHARITABLE TRUST LINDA S. DALBY ET AL, TRUSTEES"|"941102"
"04-2680399"|"RESTORATION HOUSING CORPORATION"|"941103"
"04-2748787"|"KENDRICK FOUNDATION"|"941104"
"04-3560389"|"JOAN K. SEXTON FOUNDATION DAVID A. RANDALL, TRUSTEE"|"941117"
"04-3574891"|"MESSIER-COSTAIN FOUNDATION 43M135018"|"941118"
"04-3593793"|"THE BORDUI FOUNDATION"|"941119"
"04-3801691"|"EISZNER FAMILY FOUNDATION"|"941120"
"04-6095991"|"TRUST U/WILL FRED L. ROBBINS"|"941135"
"04-6096792"|"ARLINE P PADELFORD SCHOLARSHIP FUND"|"941136"
"04-6107991"|"ABBOT & DOROTHY H. STEVENS FOUNDATION"|"941137"
"04-6626994"|"LIBRA FOUNDATION"|"941151"
"04-6796689"|"JACBEL FOUNDATION"|"941153"
"04-6880299"|"THE HIGH POINTE FOUNDATION"|"941154"
"01-6135476"|"BREWER & MCKAY SCHOLARSHIP PFDN 10 -101230378020"|"963296"
"04-3683205"|"THE JOHN WHITEHEAD FAMILY FOUNDATION, INC."|"963328"
"04-6131903"|"WALNUT HILL FOUNDATION"|"963330"
"04-6824225"|"MICHAEL R. KIDDER FAMILY FOUNDATION"|"963331"
"04-6186166"|"CALDERWOOD CHARITABLE FOUNDATION"|"963462"
"04-6560021"|"ROSALYN AND RICHARD SLIFKA CHARITABLE TRUST"|"963463"
"02-6110470"|"ANNIE L ROWELL INTERVIVOS TRUST 426245015"|"963813"
"03-0433603"|"LYDIA COLLINS DEFOREST CHAR TR U/W BANK OF AMERICA, NA"|"963814"
"04-2743143"|"THE VANDERBILT FAMILY FOUNDATION"|"963815"
"04-3359500"|"THE DRIFTWOOD CHARITABLE FOUNDATION"|"963816"
"04-3493352"|"CLOUD MOUNTAIN FOUNDATION"|"967757"
"04-6027026"|"BRADLEY C. HIGGINS FOUNDATION"|"967758"
"04-6041027"|"TR U/W MARY W B CURTIS RES CL 7567-7552000370"|"967759"
"04-6114436"|"JOSEPH & ESTHER FOSTER FOUNDATION, INC."|"967760"
"03-0569199"|"NABORS CHARITABLE FOUNDATION"|"980174"
"03-6005799"|"GEORGE A DASCOMB CHARITABLE EXEMPT TRUST"|"980175"
"04-2651199"|"THE WILLIAM & LIA G. POORVU FAMILY FOUNDATION"|"980176"
"04-2794647"|"GORDON FOUNDATION BERNARD M. GORDON ET AL, TRUSTEES"|"980177"
"04-2729951"|"THE HOLLIS FOUNDATION"|"980710"
"04-3526349"|"THE CROSS FOUNDATION"|"980726"
"04-3533712"|"LARSON FAMILY FOUNDATION"|"980727"
"03-6016085"|"IVAN & BERNICE BURNHAM EDUCATIONAL FOUNDATION"|"994864"
"01-0598444"|"TECO ENERGY FOUNDATION, INC."|"996121"
"04-6665839"|"BOYLE FOUNDATION"|"1000280"
"04-3353896"|"Bangor Savings Bank Foundation"|"1000851"
"04-6026648"|"THE STARE FUND"|"1009789"
"04-6875253"|"THE FRANK B. MAZER FOUNDATION"|"1009790"
"04-6893292"|"JSJN CHILDREN'S CHARITABLE TRUST (F/K/A WEBSTER CHARITABLE TRUST)"|"1009791"
"04-3353589"|"PEARSON FAMILY CHARITABLE FOUNDATION"|"1009907"
"04-3361816"|"EUGENE F. MERKERT 1996 CHARITABLE FOUNDATION"|"1009908"
"04-3370016"|"The Hayseed Hill Foundation"|"1009909"
"04-2103875"|"BERKSHIRE RETIREMENT HOME, INC"|"1013716"
"04-2700063"|"TAPPER CHARITABLE FOUNDATION"|"1013717"
"04-3341720"|"THE SPILLANE CHARITABLE FOUNDATION"|"1013718"
"04-3608094"|"LAWRENCE E WIHTIE FAMIL Y FOUNDATION"|"1013719"
"01-0371179"|"LONGLEY SCHOLARSHIP FOUNDATION 43M133013"|"1015758"
"01-0706738"|"The Marshall Mathers Foundation"|"1038603"
"04-3489794"|"The Zoller Family Foundation, Inc."|"1038604"
"02-0788451"|"THE MCKELVEY ENTREPRENEURIAL FOUNDATION"|"1042094"
"02-6070843"|"THE TRUST FAMILY FOUNDATION"|"1042095"
"02-6124449"|"THE MAE CASALI BONVICINI CHARITABLE FOUNDATION"|"1042096"
"04-2104839"|"PITTSFIELD ANTI-TUBERCULOSIS ASSOCIATION"|"1042097"
"04-6051095"|"HENDERSON FOUNDATION"|"1042111"
"04-6053996"|"HAVEN TRUST"|"1042113"
"04-6059253"|"PECHET FOUNDATION (F/K/A MAURICE PECHET FOUNDATION)"|"1042114"
"04-2944183"|"Lovett-Woodsum Foundation Inc"|"1051419"
"01-0388680"|"Margaret Chase Smith Foundation"|"1051421"
"01-0516587"|"Saco & Biddeford Savings Charitable Foundation"|"1051422"
"04-6026880"|"The Nichols Trust"|"1051555"
"01-3732915"|"THE JOHN AND ANNAMARIA PHILLIPS FOUNDATION INC"|"1051587"
"04-6137251"|"THE HANS & ELIZABETH WOLF FOUNDATION"|"1012287"
"04-6164232"|"CO-TR U/W A V REOPELL"|"1012288"
"04-6796825"|"NOBLE SYMOND GOLUB & LELIA J. GOLUB EDUCATIONAL TRUST"|"1012289"
"04-6820699"|"MARJORIE HARRIS REYNOLDS FDN ERIC & JANNA ODDLEIFSON, TRUSTEES"|"1012290"
"04-6185933"|"BAILEY FREDERICK A TR U/WILL"|"1037356"
"04-6720803"|"HARPLEY FOUNDATION"|"1037357"
"04-3530777"|"AKAMAI FOUNDATION INC"|"1050759"
"04-6031995"|"HENRY B. MARTIN FUND, INC."|"941128"
"04-6036697"|"STEARNS CHARITABLE TRUST"|"941129"
"04-6249689"|"FREDERICK LOBL FOR CHARITIES"|"941142"
"04-6348990"|"TRUST UNDER THE WILL OF LUKE A. WOOD"|"941143"
"04-6529891"|"NAKEPEACE, ISAB CHARITABLE TRUST 422129015"|"941145"
"03-0503425"|"Illinois Children's Healthcare Foundation"|"963454"
"04-2121325"|"UNITED FUND & COUNCIL OF GREATER LYNN, INC."|"963455"
"04-2269072"|"TRUST U/W EMMA R. TRAVELLI"|"963456"
"04-3414101"|"THE EDITH GLICK SHOOLMAN CHILDREN'S FOUNDATION"|"963457"
"02-0312307"|"MARY A. SWEENEY HOME"|"966060"
"04-6023807"|"ISAAC HARRIS CARY EDUCATIONAL FUND"|"966061"
"04-6006506"|"BOSTON FATHERLESS & WIDOWS SOCIETY"|"967615"
"01-0391038"|"Rosscare"|"967649"
"01-6115928"|"STANDISH LAWRENCE SCHOLARSHIP TW 10-101160020340"|"967650"
"01-0675481"|"CM CHEN FOUNDATION, INC."|"967748"
"01-0759380"|"SPINAL MUSCULAR ATROPHY FOUNDATION"|"967749"
"02-0519941"|"LEIGHTON FAMILY FOUNDATION"|"967752"
"01-0539790"|"JACK AND DEBORAH DAW HEFFERNAN FOUNDATION"|"980169"
"04-6470890"|"THE FLETCHER FOUNDATION"|"980183"
"04-6663582"|"THE LUDCKE FOUNDATION"|"980184"
"04-6904482"|"The J Stuart and Elizabeth Moore Charitable Foundation"|"980186"
"02-0659001"|"Edward L Williams and Mary B Williams Fo"|"980703"
"02-0774236"|"THE NORMAN A SCHOELL CHARITABLE FOUNDATION INC"|"980704"
"04-3367551"|"MEIER FAMILY FOUNDATION LTD"|"980719"
"04-3371601"|"THE LITTLE OAK HILL FOUNDATION"|"980720"
"04-6108949"|"WILLIAM H REISNER FOUNDATION"|"980734"
"04-6113012"|"RIBLET FOUNDATION TRUST"|"980735"
"04-6113249"|"BENJAMIN H KATZ FAMILY FOUNDATION"|"980736"
"04-6796657"|"CARLEE CHARITABLE TRUST 15010248 FREDERICK D BALLOU ET AL TRUSTEES"|"980737"
"04-3484588"|"Florence Savings Easthampton Branch Charitable Foundation Inc"|"994742"
"04-6609917"|"THE KELSEY TRUST"|"994809"
"01-0521503"|"WINSLOW-JOHNSON SCHOLARSHIP TRUST"|"996094"
"03-0341004"|"BETTER AND BETTER FOUNDATION"|"996095"
"04-3657039"|"RICHARD & SCARLETT CHANG FAMILY FOUNDATION"|"996327"
"01-6058647"|"BOYLE MARGARET ST JOHN ST"|"1000341"
"02-6175078"|"THISTLE & ROSE FOUNDATION"|"1009897"
"03-0300865"|"Ben & Jerry's Foundation, Inc."|"1009898"
"04-1091024"|"ROBERT M. BIRMINGHAM TRUST"|"1009900"
"04-6026914"|"JOHN W. & CLARA C. HIGGINS FOUNDATION"|"1009914"
"04-6049529"|"The Grass Foundation"|"1009915"
"04-6056133"|"FUSARO CHARITABLE FOUNDATION, INC."|"1009916"
"04-6142794"|"RICHARD P. & CLAIRE W. MORSE FOUNDATION"|"1009917"
"01-6065594"|"DOROTHY AMES TRUST 10 -101160032580"|"1013708"
"01-6076500"|"RICHARD S HUESTIS TRUST U/W 8/9/57 10-101200148440"|"1013710"
"02-6007727"|"SCEVA SPEARE TR FBO BROOKHAVEN HOME FOR BOYS"|"1013711"
"04-6111827"|"TR U/W G GORHAM PETERS 7567-07552007373"|"1013724"
"04-6421513"|"PETSAS CHARITABLE TRUST UA"|"1013725"
"04-6869254"|"ESTHER B. KAHN CHARITABLE FOUNDATION"|"1013727"
"04-6935987"|"EDITH CROCKER CHARITABLE TRUST"|"1013728"
"02-0651698"|"WESTERN VIRGINIA ENVIRONMENTAL AND SOCIAL TRUST FOUNDATION"|"1015582"
"04-6067779"|"ANSIN FOUNDATION"|"1015630"
"04-6948994"|"THE MOONEY-REED CHARITABE FOUNDATION"|"1038609"
"04-6013418"|"ALICE PLIMPTON EDUCATION UNDER WILL 52723467"|"1039896"
"01-0760054"|"RICHARD W. HOTES FOUNDATION"|"1042087"
"01-6148895"|"The S Douglas and Rita C Sukeforth Charitable Foundation"|"1042088"
"02-0439653"|"DODGE SCHOLARSHIP FOR GIRLS"|"1042089"
"04-3442439"|"THOMAS A RODGERS JR FAMILY FOUNDATION"|"1042102"
"04-3452643"|"GORONGOSA RESTORATION PROJECT, INC."|"1042103"
"04-3493753"|"WEBBER FAMILY FOUNDATION INC"|"1042104"
"04-3494455"|"THE GERALD AND JUDITH FELDMAN CHARITABLE FOUNDATION"|"1042105"
"04-6579815"|"BARR FOUNDATION"|"1042119"
"04-6758553"|"THE GROSSMAN FAMILY CHARITABLE FOUNDATION"|"1042120"
"04-6833651"|"JAMES L RUBENSTEIN FAMILY FOUNDATION"|"1042121"
"04-6112483"|"THE BARUCJ FUND"|"1051428"
"04-6169683"|"DIRLAM CHARITABLE TRUST"|"1051429"
"04-3504021"|"BILEZIKIAN FAMILY FOUNDATION INC"|"1051595"
"04-6130518"|"GEORGE R WALLACE FOUNDATION"|"1051597"
"04-6644020"|"THE IVES FAMILY CHARITABLE TRUST"|"1051598"
"04-3294711"|"THE MARTIN & DEBORAH HALE FOUNDATION"|"1052046"
"04-6047379"|"STONEMAN FAMILY FOUNDATION"|"1052332"
"04-3250513"|"MARK S & DONNA LEVENTHAL FAMILY FOUNDATION INC"|"1052699"
"04-3494117"|"Kelly Family Charitable Foundation"|"1052700"
"04-3763019"|"GEORGE T. LEWIS, IR. 2001 FOUNDATION"|"1054353"
"04-6111819"|"HISTORIC BOSTON INCORPORATED"|"1054354"
"01-6186903"|"MERCE CUNNINGHAM TRUST"|"1076064"
"02-0522534"|"ELIZABETH THAYER & E. GEOFFREY VERNEY FOUNDATION"|"1076065"
"01-6044693"|"H CARVER TR FBO GOODALL HOSP-CARVER"|"1076329"
"01-6070365"|"M. MCKENNEY & E. W. BOOKER EDUCATION TR."|"1076330"
"01-6072828"|"THOMAS MARION & RUTH TR FBO GOODALL"|"1076331"
"01-6102905"|"MARY T. & CURTIS LOVILL TRUST"|"1076332"
"01-6135476"|"BREWER & MCKAY SCHOLARSHIP PFDN 10 - 101230378020"|"1076333"
"04-2111219"|"Newburyport Society for the Relief of Aged Men"|"1076346"
"04-2121342"|"METROWEST COMMUNITY HEALTH CARE FOUNDATION, INC."|"1076347"
"04-2203700"|"JOSIAH WILLARD HAYDEN RECREATION CENTRE, INC."|"1076348"
"04-2648729"|"SWEATT WILLIAM H TR U/WILL"|"1076349"
"04-3492839"|"Savage Family Foundation"|"1076364"
"04-3731472"|"ELIZABETH S BLACK CHARITABLE TRUST PNC BANK NA"|"1076365"
"04-6009066"|"FLORENCE L. MACKAY TRUST"|"1076379"
"04-6009170"|"MARGARET M HURLEY RES TR"|"1076380"
"04-6019078"|"BELLE T SMITH"|"1050761"
"04-6035572"|"HARRIET FAUNCE TRUST UWILL"|"1050762"
"02-0703907"|"The Ruth and Hal Launders Charitable Trust"|"1057948"
"03-0179406"|"THE CONVERSE HOME INC"|"1057949"
"04-3668208"|"MORNING GLORY FAMILY FOUNDATION"|"1057996"
"04-3730409"|"THE DIMIRIS BERTSIMAS - GEORGIA PERAKIS FOUNDATION"|"1057997"
"04-6004808"|"THE DEVONSHIRE FOUNDATION"|"1057998"
"01-0131950"|"PLANT MEMORIAL HOME"|"1058918"
"02-0229861"|"THE NARARO FOUDNATION"|"1058932"
"02-0581239"|"GOLDSTEIN FAMILY FOUNDATION"|"1058934"
"02-0590852"|"EDWARD GOREY CHARITABLE TRUST"|"1058935"
"04-2294937"|"NORFOLK CHARITABLE TRUST"|"1058948"
"04-2585160"|"BENJAMIN D RUBY G SCHULMAN FOUNDATION"|"1058949"
"04-2660137"|"FOUNDATION FOR RESEARCH IN CELL BIOLOGY AND CANCER"|"1058950"
"04-2943894"|"CROWLEY FAMILY CHARITABLE TRUST"|"1058951"
"04-3014763"|"THE SHANE FOUNDATION 15009232"|"1058952"
"04-3393634"|"THE BERT CONSTANCE & SIDNEY H RABINOWITZ FAMILY FOUNDATION INC"|"1058965"
"04-3451161"|"ELEPHANT ROCK FOUNDATION INC"|"1058967"
"04-3496159"|"LINDA P MARSH CHARITABLE FOUNDATION MN61-00-5466"|"1058968"
"04-6036556"|"Willard C Tilson Foundation"|"1058983"
"04-6037650"|"CLARK CHARITABLE TRUST"|"1058984"
"04-6040591"|"REED & BARTON FOUNDATION INC"|"1058985"
"04-6742955"|"EDWARD A BOND FOUNDATION"|"1058998"
"04-6746134"|"THE LIVING WATERS TRUST"|"1058999"
"04-6799734"|"MARY FIELD AND VINCENT DEPAUL GOUBEAU CHARITABLE TR 1996"|"1059002"
"04-2104243"|"FULLER TRUST INC"|"1074860"
"04-2105743"|"TAUNTON FEMALE CHARITABLE ASSOCIATION"|"1074861"
"04-2105896"|"STONE INSTITUTE AND NEWTON HOME FOR AGED PEOPLE"|"1074862"
"04-3507245"|"THE CHARLES N AND CHRISTINA T STOPLER FOUNDATION INC"|"1074875"
"04-3523698"|"THE EVANS FAMILY FOUNDATION"|"1074876"
"04-3632641"|"THE CHILDREN'S INVESTMENT FUND FOUNDATION"|"1074878"
"01-0226346"|"Deborah Lincoln House"|"1075781"
"04-6142548"|"EVANDER LEWIS FAMILY FOUNDATION"|"1075795"
"04-6549241"|"GOLDHAMMER FAMILY FOUNDATION"|"1075796"
"01-0739297"|"34-15C046779631 TWO WEST FOUNDATION"|"1086759"
"01-0261396"|"Kaler Vaill Memorial Home"|"1117241"
"02-0586953"|"NEW HORIZONS SUPPORT FOUNDATIONINC"|"1117244"
"04-2103958"|"THE CAMBRIDGE HOMES"|"1117245"
"04-2752515"|"CHAMBERLAIN FOUNDATION"|"1120535"
"04-3173231"|"ROBERT AND MOLLY TARR CHARITALBE FOUNDATION"|"1120537"
"03-0307532"|"THE PIZZAGALLI FOUNDATION"|"1267303"
"03-0326934"|"CARRIS CORORATE FOUNDATION"|"1267304"
"03-0330527"|"FRANK M. AND OLIVE F. GILMAN FOUNDATION"|"1267305"
"03-0337672"|"WYMAN EVERETT H. TR B MEM FD 43V189015"|"1267306"
"03-6059731"|"SCHULTZ-BLACKWELL TRUST"|"1267319"
"03-6071893"|"CASSIDY W.W. & ARMSTRONG M.C. TR 31V130014"|"1267320"
"03-6075387"|"THE MCCARTHY FAMILY FOUNDATION"|"1267321"
"03-0369213"|"S D Ireland Cancer Research Fund Inc"|"1051590"
"04-3334973"|"RUDERMAN FAMILY FOUNDATION"|"1076070"
"01-6007022"|"LEVEY, A S PERP FOUNDATION 10 -101200367720"|"1076321"
"01-6007180"|"JOHN ANSON KITTRIDGE EDUCATIONAL FUND TRUST U/A 10 -101230022680"|"1076322"
"01-6007600"|"ADDIE KALER VAILL TRUST 10 - 101200031240"|"1076323"
"01-6008813"|"FRED W SANBORN TRUST U/PAR 5 10 -101200038080"|"1076324"
"03-0345055"|"GEORGE W. MERGENS FOUNDATION"|"1076339"
"03-0496899"|"THE MOORE FAMILY FOUNDATION"|"1076340"
"03-6007183"|"FLECTHER FARM FOUNDATION, INC."|"1076341"
"04-3216632"|"CATHERINE & PAUL BUTTENWIESER FOUNDATION"|"1076354"
"04-3226725"|"KARP FAMILY FOUNDATION, STEPHEN R. AND JILL E. KARP, TRUSTEES"|"1076355"
"04-3340295"|"THE WALLACE FAMILY FOUNDATION"|"1076358"
"04-6008355"|"GEORGE E. BARNARD TRUST"|"1076371"
"04-6008364"|"ALMIRA N SIMONS TRUST"|"1076372"
"04-6008387"|"HENRY HERBERT SMYTHE TRUST"|"1076373"
"04-6008408"|"LEROY M BICKFORD TRUST"|"1076374"
"04-6012026"|"FRANK R PETERS TRUST"|"1076388"
"04-6012091"|"EARLE P. CHARLTON TRUST"|"1076389"
"04-6019146"|"MAUDE-FRANCES CHILDREN'S FUND"|"1076391"
"04-6041304"|"NEWBURYPORT HOWARD BENEVOLENT SOCIETY"|"1076405"
"04-6046234"|"HELEN G. BUDD MEMORIAL FUND"|"1076407"
"04-6047134"|"CHRLES MONTAGUE CHARITABLE TR"|"1076408"
"04-6092559"|"REED FANNY B TR U/WILL"|"1076421"
"04-6092890"|"WHITNEY MARY D TR U/WILL"|"1076422"
"04-6092957"|"AUNCE EDWARD P TR U/WILL"|"1076423"
"01-6177361"|"HERBERT S. AND ELEANORE L. HOWARD CHARITABLE FOUNDATION"|"994116"
"02-0628229"|"BRANFMAN FAMILY FOUNDATION"|"994266"
