"C_EIN"|"C_Org_Name"|"SUPPORTED_ORG_ID"|"XML_DOCUMENT_ID"|"NAME"|"EIN"|"TYPE"|"LISTED_CBX"|"NOTIFY_SUPPORT_CBX"|"SUPPORTED_ORG_US_CBX"|"AMOUNT"|"OTHER_SUPPORT"
"01-0906593"|"MANAGEMENT SERVICES, INC"|"89551"|"864969"|"CROSSROADS AT RIFLE ALF"|"94-3324835"|"9"|"Y"|"Y"|"Y"|"15723.0000"|""
"01-0724306"|"THE PHILLY AND CHARLIE DAKE FOUNDATION"|"90313"|"867414"|"SARATOGA PERFORMING ARTS CTR"|"14-1466353"|"7"|"Y"|"Y"|"Y"|"200000.0000"|""
"01-0724306"|"THE PHILLY AND CHARLIE DAKE FOUNDATION"|"90314"|"867414"|"SKIDMORE COLLEGE"|"14-1338562"|"2"|"Y"|"Y"|"Y"|"50000.0000"|""
"01-0724306"|"THE PHILLY AND CHARLIE DAKE FOUNDATION"|"90315"|"867414"|"SARATOGA HOSPITAL"|"14-1775218"|"3"|"Y"|"Y"|"Y"|"100000.0000"|""
"01-0724306"|"THE PHILLY AND CHARLIE DAKE FOUNDATION"|"90316"|"867414"|"SARATOGA FOUNDATION"|"14-1787105"|"3"|"Y"|"Y"|"Y"|"25000.0000"|""
"01-0750822"|"TMG FOUNDATION"|"91027"|"873887"|"NATIONAL CHRISTIAN CHARITA"|"58-1493949"|"LINE 7"|""|""|""|"618074.0000"|""
"01-0779923"|"THOMAS C & SANDRA S SULLIVAN FOUNDATION"|"91028"|"873888"|"CATHOLIC COMMUNITY FOUNDATION"|"34-1908579"|"01"|"Y"|"Y"|"Y"|"10000.0000"|""
"01-0552288"|"THE FG FOUNDATION"|"91981"|"886257"|"THE COLUM BUS FOUNDATION"|"31-6044264"|"8"|"Y"|"Y"|"Y"|"7235.0000"|""
"01-6012414"|"KATAHDIN COUNCIL INC BOY SCOUTS OF AMERICA"|"92339"|"889817"|"KATAHDIN AREA COUNCIL"|"01-0211489"|"7"|"Y"|"Y"|"Y"|"98118.0000"|""
"01-0505002"|"CAMDEN PUBLIC LIBRARY CENTENNIAL FUND"|"92599"|"893939"|"CAMDEN PUBLIC LIBRARY"|"01-0505002"|"6"|"Y"|"Y"|"Y"|"119832.0000"|""
"01-0576305"|"ANNALS OF FAMILY MEDICINE INC"|"92600"|"893943"|"AMERICAN BOARD OF FAMILY MEDICINE"|"43-0921226"|"501(C)(6)"|"Y"|"Y"|"Y"|"0.0000"|""
"01-0576305"|"ANNALS OF FAMILY MEDICINE INC"|"92601"|"893943"|"AMERICAN ACADEMY OF FAMILY PHYSICIANS"|"44-0536051"|"501(C)(6)"|"Y"|"Y"|"Y"|"0.0000"|""
"01-0576305"|"ANNALS OF FAMILY MEDICINE INC"|"92602"|"893943"|"SOCIETY OF TEACHERS OF FAMILY MEDICINE"|"43-1026492"|"501(C)(6)"|"Y"|"Y"|"Y"|"0.0000"|""
"01-0576305"|"ANNALS OF FAMILY MEDICINE INC"|"92603"|"893943"|"ASSOCIATION OF FAMILY MEDICINE RESIDENCY DIRECTORS"|"43-1559340"|"LINE 7"|"Y"|"Y"|"Y"|"0.0000"|""
"01-0576305"|"ANNALS OF FAMILY MEDICINE INC"|"92604"|"893943"|"NORTH AMERICAN PRIMARY CARE RESEARCH GROUP"|"51-0239450"|"LINE 9"|"Y"|"Y"|"Y"|"0.0000"|""
"01-0576305"|"ANNALS OF FAMILY MEDICINE INC"|"92605"|"893943"|"ASSOCIATION OF DEPARTMENTS OF FAMILY MEDICINE"|"52-1139665"|"LINE 9"|"N"|"Y"|"Y"|"0.0000"|""
"01-0390443"|"Davis Family Foundation"|"93248"|"900262"|"ME Medical Center"|"01-0238552"|"3"|"Y"|"Y"|"Y"|"0.0000"|""
"01-0390443"|"Davis Family Foundation"|"93249"|"900262"|"Ptlnd Symphony Orchestra"|"01-6006058"|"7"|"Y"|"Y"|"Y"|"13450.0000"|""
"01-0390443"|"Davis Family Foundation"|"93250"|"900262"|"Univ of New England"|"01-0211810"|"2"|"Y"|"Y"|"Y"|"75000.0000"|""
"01-0390443"|"Davis Family Foundation"|"93251"|"900262"|"Ptlnd Museum of Art"|"01-0378420"|"7"|"Y"|"Y"|"Y"|"10000.0000"|""
"01-0570609"|"Camp Smile Foundation Inc"|"93252"|"900265"|"Camp Smile Inc"|"11-2622096"|"9"|"Y"|"Y"|"Y"|"115000.0000"|""
"01-6012034"|"MAINE DENTAL ASSOC RELIEF FUND"|"93468"|"902174"|"MAINE DENTAL ASSOCIATION MAINE DENTAL ASSOCIATION"|"01-6019308"|"7"|"Y"|"Y"|"Y"|"0.0000"|""
"01-6015947"|"Camden Public Library Maintenance Fund"|"93970"|"908706"|"Camden Public Library"|"01-6015947"|"Municipality"|"Y"|"Y"|"Y"|"32994.0000"|""
"01-0656156"|"American College of Bankruptcy Foundation"|"94334"|"913689"|"Amencan College of Bankruptcy"|"52-1759771"|"501(c)(6)"|"Y"|"N"|"Y"|"5363.0000"|""
"01-0746064"|"The Laurel Park Community Boosters Club"|"95277"|"923565"|"The Laurel Park Community Boosters Club"|"01-0746064"|"501(c)(3)"|"N"|"Y"|"Y"|"141100.0000"|""
"01-0606871"|"The House Next Door Family Foundation"|"95400"|"925603"|"The House Next Door"|"59-1675284"|"501(c)(3)"|"Y"|"Y"|"Y"|"0.0000"|""
"01-0938793"|"BETHEL FOUNDATION OF OSHKOSH INC"|"95742"|"931599"|"LUTHERAN HOMES OF OSHKOSH INC"|"39-1032234"|"9"|"Y"|"Y"|"Y"|"194606.0000"|""
"01-0938793"|"BETHEL FOUNDATION OF OSHKOSH INC"|"95743"|"931599"|"BETHEL HOME INC"|"39-1209707"|"9"|"Y"|"Y"|"Y"|"56102.0000"|""
"01-0938793"|"BETHEL FOUNDATION OF OSHKOSH INC"|"95744"|"931599"|"CARMEL RESIDENCE INC"|"39-1448325"|"9"|"Y"|"Y"|"Y"|"922.0000"|""
"01-0938793"|"BETHEL FOUNDATION OF OSHKOSH INC"|"95745"|"931599"|"GABRIEL'S VILLA INC"|"39-1857036"|"9"|"Y"|"Y"|"Y"|"7926.0000"|""
"01-0938793"|"BETHEL FOUNDATION OF OSHKOSH INC"|"95746"|"931599"|"SIMEANNA APARTMENTS INC"|"23-7148097"|"9"|"Y"|"Y"|"Y"|"942.0000"|""
"01-0938793"|"BETHEL FOUNDATION OF OSHKOSH INC"|"95747"|"931599"|"SIMMEANNA SOUTH INC"|"39-1238670"|"9"|"Y"|"Y"|"Y"|"844.0000"|""
"01-0938793"|"BETHEL FOUNDATION OF OSHKOSH INC"|"95748"|"931599"|"SIMMEANNA III INC"|"39-1270056"|"9"|"Y"|"Y"|"Y"|"1837.0000"|""
"01-0938793"|"BETHEL FOUNDATION OF OSHKOSH INC"|"95749"|"931599"|"EDEN REHABILITATION SUITES AND GREENHOUSE HOMES INC"|"90-0506872"|"9"|"Y"|"Y"|"Y"|"1880.0000"|""
"01-0603820"|"KALAMAZOO REGIONAL CHAMBER FOUNDATION"|"97093"|"947215"|"KALAMAZOO REGIONAL CHAMBER OF COMMERCE KALAMAZOO REGIONAL CHAMBER OF COMMERCE"|"38-0703370"|"9"|"Y"|"Y"|"Y"|"97000.0000"|""
"01-6040875"|"MELVIN SIMMONS TRUST KENNEBEC SAVINGS BANK TRUSTEE"|"97312"|"950783"|"CITY OF H ALLOWELL"|"01-6000029"|"6"|"Y"|"Y"|"Y"|"0.0000"|""
"01-0621556"|"THE GILL ST. BERNARD'S PARENTS' ASSOCIATION, INC."|"98280"|"962666"|"GILL ST BERNARD' S SC"|"22-1964930"|"2"|"Y"|"N"|"Y"|"56354.0000"|""
"01-6019477"|"GARD W TWADDLE NURSES ENDOWMENT"|"98406"|"965244"|"CMMC COLLEGE"|"01-0356077"|"02"|"Y"|""|""|"43750.0000"|""
"01-0798626"|"Harrison Center for the Arts Inc"|"100466"|"982949"|"Redeemer Presbytenan Church"|"35-2031021"|"Church"|"Y"|"Y"|"Y"|"115960.0000"|""
"01-0589927"|"MINOT COMMUNITY FOUNDATION"|"100484"|"983635"|"MINOT AREA COMMUNITY FOUNDATION"|"31-1689978"|"7"|"Y"|"N"|"Y"|"0.0000"|""
"02-0202220"|"THE CHESHIRE HEALTH FOUNDATION"|"100844"|"986608"|"THE CHESHIRE MEDICAL CEN"|"02-0354549"|"7"|"Y"|"Y"|"Y"|"0.0000"|""
"01-0752319"|"PITTSBURGH REGIONAL HEALTHCARE INITIATIVE"|"100980"|"987962"|"THE J EWISH HEALTHCARE FOUNDATION OF PITTSBURGH"|"25-1624347"|"7"|"Y"|"Y"|"Y"|"4096677.0000"|""
"01-6024421"|"Town of Mount Desert Medical Center"|"101699"|"991066"|"Mount Desert Island Hosp"|"01-0211797"|"HOSPITAL"|"N"|"Y"|"Y"|"7201.0000"|""
"01-0385303"|"EASTERN MAINE COMMUNITY COLLEGE FOUNDATION"|"101850"|"993141"|"EASTERN MAINE COMMUNITY COLLEGE"|"01-0416015"|"2"|""|"Y"|"Y"|"0.0000"|""
"01-0817571"|"Pepperwood Foundation"|"101851"|"993144"|"Community Foundation o"|"68-0003212"|"501(c)(5)"|"Y"|"Y"|"Y"|"0.0000"|""
"01-0817571"|"Pepperwood Foundation"|"101852"|"993144"|"California Academy of S"|"94-1156258"|"501(c)(5)"|"Y"|"Y"|"Y"|"0.0000"|""
"01-0467644"|"RAGGED MOUNTAIN REC AREA FOUNDATION"|"102057"|"996450"|"TOWN OF CAMDEN, RAGGED MOUNTAIN REC"|"01-6000097"|"6"|"Y"|"Y"|"Y"|"100499.0000"|""
"01-0245341"|"CORNELIA WARREN COMMUNITY ASSOCIATION"|"102274"|"998737"|"CITY OF WESTBROOK"|"01-6000038"|"12"|"Y"|"Y"|"Y"|"255435.0000"|""
"01-0544705"|"ST ANTHONYS MONASTERY ASSOCIATION"|"102436"|"1000941"|"FRANCISCAN MONASTERY"|"22-2288242"|"CHURCH"|"Y"|"Y"|"Y"|"62300.0000"|""
"01-0719207"|"FIRST MEDICAL INSURANCE COMPANY (RRG)"|"102825"|"1004652"|"THE CHILDREN'S HOSPITAL OF PHILADELPHIA"|"23-1352166"|"03"|"Y"|"Y"|"Y"|"0.0000"|""
"01-0719207"|"FIRST MEDICAL INSURANCE COMPANY (RRG)"|"102826"|"1004652"|"THE CHILDREN'S HOSPITAL OF PHILADELPHIA FOUNDATION"|"23-2237932"|"03"|"Y"|"Y"|"Y"|"0.0000"|""
"01-0719207"|"FIRST MEDICAL INSURANCE COMPANY (RRG)"|"102827"|"1004652"|"THE CHILDREN'S HOSPITAL OF PHILADELPHIA PRACTICE ASSOCIATION"|"23-2311482"|"04"|"Y"|"Y"|"Y"|"0.0000"|""
"01-0719207"|"FIRST MEDICAL INSURANCE COMPANY (RRG)"|"102828"|"1004652"|"CHOP CLINICAL ASSOCIATES INC"|"22-3548970"|"04"|"Y"|"Y"|"Y"|"0.0000"|""
"01-0719207"|"FIRST MEDICAL INSURANCE COMPANY (RRG)"|"102829"|"1004652"|"CHILDREN'S ANESTHESIOLOGY ASSOCIATES LTD"|"23-2592835"|"04"|"Y"|"Y"|"Y"|"0.0000"|""
"01-0719207"|"FIRST MEDICAL INSURANCE COMPANY (RRG)"|"102830"|"1004652"|"CHILDREN'S ANESTHESIOLOGY ASSOCIATES OF NEW JERSEY INC"|"22-3405673"|"04"|"Y"|"Y"|"Y"|"0.0000"|""
"01-0719207"|"FIRST MEDICAL INSURANCE COMPANY (RRG)"|"102831"|"1004652"|"CHILDREN'S HEALTH CARE ASSOCIATES INC"|"23-3036699"|"04"|"Y"|"Y"|"Y"|"0.0000"|""
"01-0719207"|"FIRST MEDICAL INSURANCE COMPANY (RRG)"|"102832"|"1004652"|"CHILDREN'S HEALTH CARE ASSOCIATES OF NEW JERSEY INC"|"22-2785804"|"04"|"Y"|"Y"|"Y"|"0.0000"|""
"01-0719207"|"FIRST MEDICAL INSURANCE COMPANY (RRG)"|"102833"|"1004652"|"CHILDREN'S SURGICAL ASSOCIATES LTD"|"23-2589322"|"04"|"Y"|"Y"|"Y"|"0.0000"|""
"01-0719207"|"FIRST MEDICAL INSURANCE COMPANY (RRG)"|"102834"|"1004652"|"CHILDREN'S SURGICAL ASSOCIATES OF NEW JERSEY INC"|"22-3348481"|"04"|"Y"|"Y"|"Y"|"0.0000"|""
"01-0719207"|"FIRST MEDICAL INSURANCE COMPANY (RRG)"|"102835"|"1004652"|"RADIOLOGY ASSOCIATES OF THE CHILDREN'S HOSPITAL INC"|"23-2665855"|"03"|"Y"|"Y"|"Y"|"0.0000"|""
"01-0816065"|"CFNV CHARITABLE REAL ESTATE FUND"|"104021"|"1020039"|"COMMUNITY FOUNDATION OF THE NAPA VALLEY"|"68-0349777"|"8"|"Y"|"Y"|"Y"|"196237.0000"|""
"01-0409428"|"SCARBOROUGH ECONOMIC DEV. CORP"|"104644"|"1025133"|"WN OF SCARBORO"|"01-6000357"|"6"|"Y"|"Y"|"Y"|"0.0000"|""
"01-6013485"|"BANGOR YMCA FOUNDATION"|"104645"|"1025140"|"BANGOR YMCA"|"01-0211485"|"9"|"Y"|"Y"|"Y"|"59314.0000"|""
"01-0734263"|"LEE & HERMAN OSTROW FAMILY FOUNDATION"|"104940"|"1030128"|"JEWISH COMMUNITY FOUNDATION"|"95-6111928"|"07"|"Y"|"Y"|"Y"|"7500.0000"|""
"01-0813367"|"HOUSING WITH HEART INC"|"105111"|"1031681"|"JAMBOREE HOUSING CORPORATION"|"33-0413518"|"9"|"Y"|"Y"|"Y"|"1612775.0000"|""
"01-0485474"|"TELESIS HOUSING CORPORATION"|"105875"|"1039374"|"THE SPURWINK SCHOOL"|"01-0319802"|"SCHOOL"|"Y"|"Y"|"Y"|"5000.0000"|""
"01-0282768"|"CHI DELTA PHI HOUSE CORP."|"105989"|"1040373"|"BOWDOIN COLLEGE"|""|"2"|"Y"|"Y"|"Y"|"14735.0000"|""
"01-0594994"|"COOPERATIVE HEALTHCARE SERVICES INC"|"106883"|"1053134"|"Glynn- Brunswick Mem Hospital Auth"|"58-6000498"|"3"|"Y"|"Y"|"Y"|"0.0000"|""
"01-6169936"|"THE WELCH FUND FOR HARVARD"|"107220"|"1064527"|"PRESIDENT AND FELLOWS"|"04-2103580"|"2"|"Y"|"Y"|"Y"|"276741.0000"|""
"01-0459572"|"THE ASSOCIATES OF THE OSHER MAP LIBRARY"|"107391"|"1065656"|"THE OSHER MAP LIBRARY AT UNIVERSITY OF SOUTHERN MAINE"|"01-6000769"|"10"|"Y"|"Y"|"Y"|"12154.0000"|""
"01-0602033"|"TN VOL MANUFACTURING & SERVICES INC"|"107392"|"1065674"|"LIONS VOLUNTEER BLIN D INDUSTRIES INC"|"62-0526643"|"7"|"Y"|""|"Y"|"0.0000"|""
"01-0653458"|"FOUNDATION FOR CHILDREN"|"107393"|"1065679"|"GRANDFATHER HOME FOR CHIL"|"56-0529975"|"9"|"Y"|"Y"|"Y"|"0.0000"|""
"01-0653458"|"FOUNDATION FOR CHILDREN"|"107394"|"1065679"|"HOMES FOR CHILDREN"|"38-3672492"|"9"|"Y"|"Y"|"Y"|"0.0000"|""
"01-0790110"|"EXCELLENCE ACADEMIES FOUNDATION INC"|"107395"|"1065686"|"UNCOMMON SCHOOLS INC"|"31-1488698"|"03"|"Y"|"Y"|"Y"|"578457.0000"|""
"01-0842036"|"LUTHERAN FAMILY SERVICES OF COLORADO FOUNDATION INC"|"107396"|"1065690"|"LUTHERAN SOCIAL SERVICES OF CO"|"84-0775550"|"CHURCH"|"Y"|"Y"|"Y"|"0.0000"|""
"01-6012053"|"TRUSTEES OF FIRST PARISH IN PORTLAND"|"107397"|"1065695"|"THE FIRST PARIS IN PORTLAND, ME"|"01-0223576"|""|"N"|"Y"|"Y"|"12800.0000"|""
"01-0837128"|"Jericho Partnership Inc"|"108286"|"1077880"|"Amos House"|"06-1186179"|"11a"|"N"|"Y"|"Y"|"58000.0000"|""
"01-0837128"|"Jericho Partnership Inc"|"108287"|"1077880"|"Chnstian Community Outreach Ministnes"|"06-1506692"|"501(c)(3)"|"N"|"Y"|"Y"|"480000.0000"|""
"01-0837128"|"Jericho Partnership Inc"|"108288"|"1077880"|"Young Life Danbury"|"84-0385934"|"11b"|"N"|"Y"|"Y"|"485000.0000"|""
"01-0837128"|"Jericho Partnership Inc"|"108289"|"1077880"|"Samantan Health Center"|"75-3258057"|"501(c)(3)"|"N"|"Y"|"Y"|"320000.0000"|""
"01-0837128"|"Jericho Partnership Inc"|"108290"|"1077880"|"Hopelme"|"06-1336310"|"501(c)(3)"|"N"|"Y"|"Y"|"35000.0000"|""
"01-0837128"|"Jericho Partnership Inc"|"108291"|"1077880"|"Athletes of Chnst"|"27-3285633"|"501(c)(3)- pending"|"N"|"Y"|"Y"|"12000.0000"|""
"01-0837128"|"Jericho Partnership Inc"|"108292"|"1077880"|"Bethany Chnstian Services"|"22-2767728"|"501(c)(3)"|"N"|"Y"|"Y"|"16000.0000"|""
"01-0837128"|"Jericho Partnership Inc"|"108293"|"1077880"|"Pathways Danbury Youth Ministnes"|"06-1496561"|"501(c)(3)"|"N"|"Y"|"Y"|"834000.0000"|""
"01-6023974"|"Washington County Association for Retarded Citizens"|"108535"|"1079903"|"WASHINGTON COUNTY RESIDENCES"|"01-0434608"|"7"|"N"|"Y"|"Y"|"0.0000"|""
"01-6023974"|"Washington County Association for Retarded Citizens"|"108536"|"1079903"|"SUNRISE RESIDENCE"|"22-2478230"|"7"|"N"|"Y"|"Y"|"0.0000"|""
"01-6023974"|"Washington County Association for Retarded Citizens"|"108537"|"1079903"|"MILBRIDGE RESIDENCE INC"|"01-0507931"|"7"|"N"|"Y"|"Y"|"0.0000"|""
"01-6023974"|"Washington County Association for Retarded Citizens"|"108538"|"1079903"|"MILBRIDGE HARBOR APARTMENTS"|"59-3796786"|"7"|"N"|"Y"|"Y"|"28927.0000"|""
"01-6023974"|"Washington County Association for Retarded Citizens"|"108539"|"1079903"|"MIDDLE RIVER REACH TRAINING CENTER"|"01-0536553"|"9"|"N"|"Y"|"Y"|"0.0000"|""
"01-6023974"|"Washington County Association for Retarded Citizens"|"108540"|"1079903"|"EATON STREET APARTMENTS"|"01-0533868"|"7"|"N"|"Y"|"Y"|"0.0000"|""
"01-6023974"|"Washington County Association for Retarded Citizens"|"108541"|"1079903"|"DENNYSVILLE HOUSING"|"01-0532605"|"7"|"N"|"Y"|"Y"|"0.0000"|""
"01-0962276"|"DRISCOLL HEALTHCARE SERVICES"|"109087"|"1086044"|"DRISCOLL CHILDREN'S HOSPITAL"|"74-2577746"|"03"|"Y"|"Y"|"Y"|"7686558.0000"|""
"01-0717030"|"PORTAGE BAY INSURANCE"|"109554"|"1091844"|"UNIV OF WASHINGTON"|"91-6001537"|"6"|"Y"|"Y"|"Y"|"15995000.0000"|""
"01-0722629"|"MARIE A MANSBACH MEMORIAL STUDENT MOTIVATION PROGRAM"|"109555"|"1091845"|"TIDEWATER J EWISH FOUNDATION INC"|"54-1653165"|"7"|"Y"|"Y"|"Y"|"53970.0000"|""
"01-0724451"|"ASPEN CENTER FOR ENVIRONMENTAL STUDIES ENDOWMENT FUND INC"|"109556"|"1091846"|"ASPEN CENTER FOR ENVIRONMENTAL STUDIES"|"23-7042291"|"11A"|"Y"|"Y"|"Y"|"236000.0000"|""
"01-0702442"|"NC IDEA"|"109918"|"1095255"|"COUNCIL FOR ENTREPRENEURIAL DEVELOPMENT"|"56-1399587"|"09"|"Y"|"Y"|"Y"|"0.0000"|""
"01-0738748"|"SECOND IMPRESSIONS"|"110010"|"1096126"|" KALAMAZOO CHRISTIAN SCHOOL ASSOCIATION KALAMAZOO CHRISTIAN SCHOOL ASSOCIATION"|"38-1871520"|"2"|"Y"|"Y"|"Y"|"350000.0000"|""
"01-0451663"|"JHA Services"|"110167"|"1097619"|"Cedars Nursmg Care Center"|"01-0211517"|"9"|"N"|"Y"|"Y"|"8000194.0000"|""
"01-0451663"|"JHA Services"|"110168"|"1097619"|"JHA Properties"|"01-0510768"|"9"|"N"|"Y"|"Y"|"1868540.0000"|""
"01-0451663"|"JHA Services"|"110169"|"1097619"|"JHA Assisted Liv ing Inc"|"20-1590379"|"9"|"N"|"Y"|"Y"|"354239.0000"|""
"01-0242095"|"ROBERT W TRAIP TRUST"|"110419"|"1100092"|"TOWN OF KITTERY MAINE SCHOOL DEPARTMENT"|"01-0377943"|"6"|"N"|"Y"|"Y"|"64685.0000"|""
"01-0760254"|"Penn Foundation Trust"|"110420"|"1100116"|"Penn Foundation Inc"|"23-1496225"|"9"|"N"|"Y"|"Y"|"4429996.0000"|""
"01-0904664"|"CARLA AND DAVID CRANE FOUNDATION"|"110832"|"1104840"|"JEWISH COMMUNITY FEDERATION OF SF"|"94-1156533"|"7"|"Y"|"Y"|"Y"|"1000.0000"|""
"01-0323280"|"Penguis Mental Health Association"|"111254"|"1107357"|"Charlotte White Center"|"22-2582271"|"7"|"N"|"Y"|"Y"|"0.0000"|""
"01-0323280"|"Penguis Mental Health Association"|"111255"|"1107357"|"Abbo t Group Home dba Loc"|"22-2582318"|"7"|"N"|"N"|"Y"|"0.0000"|""
"01-0222130"|"FAIRVIEW HOSPITAL, INC"|"111603"|"1111238"|"REDINGTON FAIRVIEW GENERAL HOSPITAL"|"01-0284446"|"3"|"Y"|"Y"|"Y"|"38542.0000"|""
"01-0211548"|"Redington Memorial Hospital Association"|"111755"|"1113284"|"Redington Fairview General Hospital"|"01-0284446"|"3"|"Y"|"Y"|"Y"|"0.0000"|""
"01-0818965"|"DeMedical Corporation"|"112049"|"1117566"|"Philadelphia Performing"|"23-3040987"|"501(C)(3)"|"N"|"N"|"N"|"0.0000"|""
"01-0843838"|"LIONS EYE INSTITUTE FOR TRANSPLANT AND RESEARCH FOUNDATION INC"|"112050"|"1117671"|"CENTRAL FORIDA LIONS EYE AND TISSUE BANK INC"|"59-1458151"|"509(A)(2)"|"Y"|"Y"|"Y"|"47233.0000"|""
"01-0639265"|"Meritus Healthcare Foundation, Inc."|"112764"|"1128330"|"Meritus Medical Center, Inc."|"52-0607949"|"Hospital"|"Y"|"Y"|"Y"|"2220538.0000"|""
"01-0357314"|"MERCY ENDOWMENT FOUNDATION"|"113103"|"1133072"|"(A) MERCY HOSPITAL"|"01-0211534"|"7"|"Y"|"Y"|"Y"|"2000000.0000"|""
"01-6009643"|"Academy Trust of Frveburg"|"113883"|"1154820"|"Frveburo Academy"|"11-0211505"|""|"Y"|"Y"|"Y"|"18737.0000"|""
"01-6011528"|"Walter Bisbee Trust"|"114002"|"1154940"|"MSAD #28, Camden Hills High School"|"01-0269114"|"School"|"Y"|""|""|"252600.0000"|""
"01-6015947"|"Camden Public Library Maintenance Fund"|"114003"|"1154941"|"Camden Public Library"|"01-6015947"|"Municipality"|"Y"|"Y"|"Y"|"28968.0000"|""
"01-0598137"|"The Thelma Gaylord Lyric Theatre En"|"114882"|"1168394"|"Lyric Theatre of Oklahoma Inc"|"73-1001687"|"501(C)(3)"|"Y"|"Y"|"Y"|"146311.0000"|""
"01-0654984"|"MHA OF GREATER HOUSTON FOUNDATION, INC."|"114883"|"1168395"|"MENTAL HEALTH AMERICA GRTR HOUSTON"|"74-1272394"|"7"|"Y"|"Y"|"Y"|"124000.0000"|""
"01-6114884"|"JOHN CHABOT EDUCATIONAL FOUNDATION TRUST"|"114884"|"1168401"|"STUDENTS OF MSAD 36"|""|""|"Y"|"Y"|"Y"|"29000.0000"|""
"01-0724306"|"THE PHILLY AND CHARLIE DAKE FOUNDATION"|"116158"|"1170916"|"SARATOGA PERFORMING ARTS CTR"|"14-1466353"|"7"|"Y"|"Y"|"Y"|"200000.0000"|""
"01-0724306"|"THE PHILLY AND CHARLIE DAKE FOUNDATION"|"116159"|"1170916"|"SARATOGA YMCA"|"14-1726531"|"9"|"Y"|"Y"|"Y"|"100000.0000"|""
"01-0724306"|"THE PHILLY AND CHARLIE DAKE FOUNDATION"|"116160"|"1170916"|"SKIDMORE COLLEGE"|"14-1338562"|"2"|"Y"|"Y"|"Y"|"50000.0000"|""
"01-0724306"|"THE PHILLY AND CHARLIE DAKE FOUNDATION"|"116161"|"1170916"|"SARATOGA HOSPITAL FOUNDATION"|"14-1775218"|"3"|"Y"|"Y"|"Y"|"100000.0000"|""
"01-0552288"|"THE FG FOUNDATION"|"116967"|"1181840"|"THE COLUM BUS FOUNDATION"|"31-6044264"|"8"|"Y"|"Y"|"Y"|"8557.0000"|""
"01-0386913"|"CENTRAL MAINE HEALTHCARE CORPORATION"|"114432"|"1192047"|"CENTRAL MAINE MEDICAL CENTER"|"01-0211494"|"03"|"Y"|""|""|"34272578.0000"|""
"01-0386913"|"CENTRAL MAINE HEALTHCARE CORPORATION"|"114433"|"1192047"|"CENTRAL MAINE HEART & VASCULAR INSTITUTE"|"54-2078282"|"09"|"Y"|""|""|"0.0000"|""
"01-0386913"|"CENTRAL MAINE HEALTHCARE CORPORATION"|"114434"|"1192047"|"CMMC COLLEGE OF NURSING AND HEALTH PROF"|"01-0356077"|"02"|"Y"|""|""|"0.0000"|""
"01-0386913"|"CENTRAL MAINE HEALTHCARE CORPORATION"|"114435"|"1192047"|"CENTRAL MAINE REAL ESTATE MANAGEMENT CO"|"01-0387674"|"0"|"Y"|""|""|"18498.0000"|""
"01-0386913"|"CENTRAL MAINE HEALTHCARE CORPORATION"|"114436"|"1192047"|"CENTRAL MAINE COMMUNITY HEALTH CORP"|"01-0386912"|"07"|"Y"|""|""|"63510.0000"|""
"01-0386913"|"CENTRAL MAINE HEALTHCARE CORPORATION"|"114437"|"1192047"|"RUMFORD COMMUNITY FAMILY HEALTH CENTER"|"01-0481000"|"03"|"Y"|""|""|"0.0000"|""
"01-0386913"|"CENTRAL MAINE HEALTHCARE CORPORATION"|"114438"|"1192047"|"RUMFORD COMMUNITY HOME CORPORATION"|"22-2844951"|"09"|"Y"|""|""|"0.0000"|""
"01-0386913"|"CENTRAL MAINE HEALTHCARE CORPORATION"|"114439"|"1192047"|"RUMFORD HOSPITAL"|"01-0215227"|"03"|"Y"|""|""|"3356011.0000"|""
"01-0386913"|"CENTRAL MAINE HEALTHCARE CORPORATION"|"114440"|"1192047"|"BRIDGTON HOSPITAL"|"01-0130427"|"03"|"Y"|""|""|"3794344.0000"|""
"01-0386913"|"CENTRAL MAINE HEALTHCARE CORPORATION"|"114441"|"1192047"|"BRIDGTON HOSPITAL PHYSICIANS GROUP"|"01-0493083"|"09"|"Y"|""|""|"0.0000"|""
"01-0386913"|"CENTRAL MAINE HEALTHCARE CORPORATION"|"114442"|"1192047"|"ELIAS E TUCKER TRUST FUND"|"01-6042343"|"0"|"Y"|""|""|"0.0000"|""
"01-0790428"|"ST JOSEPH HEALTH SYSTEM FOUNDATION"|"114443"|"1192057"|"ST JOSEPH HEALTH SYSTEM"|"38-1443395"|"3"|"Y"|"Y"|"Y"|"70521.0000"|""
"01-6149025"|"THE MARK AND EMILY TURNER MEMORIAL LIBRARY CHARITABLE TRUST"|"117529"|"1194225"|"CITY OF PRESQUE ISLE MAINE PUBLIC LIBRARY"|"01-6000033"|"6"|"Y"|"Y"|"Y"|"57122.0000"|""
"01-0495250"|"Ingraham Housing Corporation"|"114703"|"1200802"|"Youth Aletmatives Inc"|"01-0316041"|"7"|"N"|"Y"|"Y"|"147507.0000"|""
"01-0779923"|"C & SANDRA S SULLIVAN FOUNDATION"|"117953"|"1204105"|"CATHOLIC COMMUNITY FOUNDATION"|"34-1908579"|"01"|"Y"|"Y"|"Y"|"10000.0000"|""
