"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"SUPPLEMENT"
"01-0544705"|"ST ANTHONYS MONASTERY ASSOCIATION"|"1582546"|""
"01-0646506"|"ANGELS OF GRACE INC"|"1582547"|""
"01-0650805"|"KOAL TO DIAMOND"|"1582548"|""
"01-0689500"|"San Jose Soccer Complex Foundation"|"1582549"|""
"01-0724306"|"THE PHILLY AND CHARLIE DAKE FOUNDATION"|"1582550"|""
"01-6029208"|"Amencan Legion Post 153"|"1582554"|""
"02-0159805"|"LITTLETON AREA CHAMBER OF COMMERCE"|"1582555"|""
"01-6233557"|"SouthPathPCEWBPT"|"1584741"|""
"01-0421753"|"REAL J DAIGLE EVANGELSTIC CORPORATION"|"1584770"|""
"01-0729385"|"Chesapeake Rivers Association, Inc"|"1584773"|""
"01-0842289"|"United Associations of Heather Ridge, Inc."|"1584775"|""
"01-0384908"|"The Maine Way inc."|"1585416"|""
"01-0659307"|"JEFFERSON PARK MINISTRIES INC"|"1585732"|""
"01-0384833"|"BIG BROTHERS BIG SISTERS OF MID-MAINE MAINE"|"1586088"|""
"01-0564259"|"FREEMUSLIM ASSOCIATION INC"|"1586089"|""
"01-0782731"|"Home Sweet Home Youth Services, Inc."|"1586090"|""
"01-0678012"|"MCDUFFIE MUSEUM INC"|"1586672"|""
"01-0939609"|"FOOD OF UFE OUTREACH MINISiniES INC"|"1586673"|""
"01-0096117"|"Island Country Club"|"1587333"|""
"01-0328017"|"AUGUSTA REGIONAL CHURCH HOUSING CORP BETA"|"1587334"|""
"01-0347202"|"HILL STREET TERRACE HOUSING CORPORATION"|"1587335"|""
"01-0516517"|"Senior Needs Committee of Wells and Ogunquit"|"1587337"|""
"01-0570609"|"Camp Smile Foundation Inc"|"1587338"|""
"01-0587702"|"BODIOGRAPHY CONTEMPORARY BALLET"|"1587339"|""
"01-0759717"|"THE LAZARUS PROJECT Inc"|"1587341"|""
"01-0808707"|"ISLAMIC ORGANIZATION OF NORTH AMERICA"|"1587342"|""
"01-0507513"|"MAINE DAIRY AND NUTRITION COUNCIL"|"1589365"|""
"01-0387300"|"VILES ARBORETUM"|"1589872"|""
"01-0779923"|"THOMAS C & SANDRA S SULLIVAN FOUNDATION"|"1589873"|""
"01-0783423"|"VISION COMMUNICATIONS INTERNATIONAL"|"1589874"|""
"02-0179723"|"POLISH AMERICAN CITIZENS CLUB"|"1589877"|""
"01-0287022"|"THE THEATER AT MONMOUTH"|"1591544"|""
"01-0355822"|"SPECIAL OLYMPICS MAINE INC"|"1591545"|""
"01-0654320"|"THE LIO MISSION INC"|"1591546"|""
"01-0683413"|"The Council of Urban Professionals Institute"|"1591547"|""
"01-0165117"|"RETAIL ASSOCIATION OF MAINE f/k/a MAINE MERCHANTS ASSOCIATION"|"1592311"|""
"01-0269009"|"GREATER PORTLAND BOARD OF REALTORS"|"1592312"|"Provide the descriptions required for Part I-A, line 1, Part I-B, line 4, Part I-C, line 5, Part II-A (affiliated group list), Part II-A, line 2, and Part II-B, line 1 A lso, complete this part for any additional information"
"01-0333304"|"FOX ISLANDS ELECTRIC COOPERATIVE INC"|"1592313"|""
"01-0565218"|"GLAMOURGALS FOUNDATION INC"|"1592314"|""
"01-0356733"|"YARMOUTH CHAMBER OF COMMERCE"|"1592892"|""
"01-0502630"|"MAINE VOLUNTEER LAKE MONITORING PROGRAM"|"1592894"|""
"01-0564933"|"AUSTIN HINDU TEMPLE AND COMMUNITY CENTER"|"1592896"|""
"01-0857526"|"A FAMILY AFFAIR BRIDGES INC"|"1592898"|""
"01-0309344"|"KC-FATHER DRUILLETTE COUNCIL #2537"|"1594048"|""
"01-0346944"|"FREEPORT HISTORICAL SOCIETY"|"1594049"|""
"01-0424837"|"GEORGES RIVER LAND TRUST"|"1594050"|""
"01-0794834"|"INTERNATIONAL SOCIETY FOR AUTISM RESEARCH"|"1594051"|""
"01-0022320"|"AUGUSTA COUNTRY CLUB"|"1595165"|""
"01-0124810"|"Mount Hope Cemetery Corp"|"1595166"|""
"01-0206603"|"COMMUNITY CREDIT UNION"|"1595167"|""
"01-0324012"|"MAINE RIGHT TO LIFE COMMITTEE"|"1595168"|""
"01-0325912"|"MATTANAWCOOK TERRACE HOUSING CORPORATION"|"1595169"|""
"01-0357213"|"Freeport Conservation Trust"|"1595170"|""
"01-0492125"|"ALLIANCE OF INDEP ACADEMIC MEDICAL CTRS"|"1595171"|""
"01-0509203"|"CHEBEAGUE RECREATION CENTER INC"|"1595172"|""
"01-0528014"|"MAINE FARMLAND TRUST"|"1595173"|""
"01-0637920"|"THE MEDICAL STAFF OF PARKVIEW COMMUNITY HOSPITAL"|"1595175"|""
"01-0712520"|"SOUTH CAROLINA EQUALITY COALITION"|"1595178"|""
"01-0745603"|"CYPRESS LANDING MARINA ASSOCIATION INC"|"1595180"|""
"01-0774114"|"Government Investment Officers Association"|"1595182"|""
"01-0777925"|"ELEVA BROILER FESTIVAL INC"|"1595183"|""
"01-0779814"|"Leadership Transformations Inc"|"1595184"|""
"01-0856114"|"CAVALIER KING CHARLES SPANIEL CLUB RESCUE INC"|"1595185"|""
"01-0885325"|"HARRIET TUBMAN CENTER"|"1595186"|""
"01-0969325"|"SUNCOAST SOCCER INC"|"1595188"|""
"01-6012835"|"ISLANDS COMMUNITY MEDICAL SERVICES"|"1595189"|""
"01-6023503"|"LE CLUB CALUMET EDUCATIONAL & LITERARY FOUNDATION INC"|"1595191"|""
"02-0119913"|"CLUB CANADIAN INC"|"1595193"|""
"01-0355563"|"Maine Development Foundation"|"1599511"|""
"01-0542054"|"FAIRBANKS SCHOOL NEIGHBORHOOD ASSOCIATION, Inc"|"1599512"|""
"01-0588347"|"Lebanon Valley Soccer Club"|"1599513"|""
"01-0597551"|"THE CRADDOCK CENTER, INC."|"1599514"|""
"01-0891955"|"COALITION AGAINST DOMAIN NAME ABUSE INC"|"1599515"|""
"01-0280483"|"Maine Pulp & Paper Association"|"1601785"|"Form 990, Schedule C, parts III-A & III-B Maine Pulp and paper Association works with the legislature and stat agencies on many policy lssues"
"01-0360869"|"Maine Innkeepers Association, Inc."|"1601786"|""
"01-0478281"|"FRIENDS OF FORT KNOX"|"1601787"|""
"01-0566033"|"ISRAEL EMERGENCY ALLIANCE"|"1601788"|""
"01-0597067"|"THE GARRISON INSTITUTE, INC."|"1601789"|""
"01-0621770"|"HANDS OF HOPE MINISTRIES INC"|"1601790"|""
"01-0710522"|"TMT Three Maroon Circle Inc"|"1601791"|""
"01-0793986"|"PROPEL, Inc"|"1601792"|""
"01-6022787"|"Medical Care Development Inc"|"1601794"|""
"01-6162280"|"King-Thomas Scholarship Trust"|"1601795"|""
"01-0056837"|"EASTERN MAINE ELECTRIC COOPERATIVE INC"|"1604710"|""
"01-0211811"|"Kennebec Valley YMCA"|"1604711"|""
"01-0244422"|"Laborers Intl Union of North Amenca 327 Local Union"|"1604712"|""
"01-0269721"|"Harraseeket Yacht Club"|"1604713"|""
"01-0340111"|"EAST MILLINOCKET HOUSING CORPORATION"|"1604714"|""
"01-0369722"|"WAWENOCK GOLF CLUB"|"1604715"|""
"01-0478121"|"COMMUNITY CHILD CARE CENTER"|"1604716"|""
"01-0495219"|"BARAN PLACE"|"1604717"|""
"01-0498427"|"Pleasant River Ambulance Service"|"1604718"|""
"01-0589927"|"MINOT COMMUNITY FOUNDATION"|"1604722"|""
"01-0625811"|"Freedom Builders of America Inc"|"1604723"|""
"01-0701611"|"VISION HOPE COMMUNITY DEVELOPMENT"|"1604724"|""
"01-0706027"|"MID-SOUTH MINORITY COUNCIL TADP, INC"|"1604725"|""
"01-0759127"|"Shreveport Scottish Rite Foundation Inc"|"1604730"|""
"01-0862621"|"ST JOSEPH SHELTER"|"1604732"|""
"01-0883062"|"CHICAGO COMMUNITY LAND TRUST"|"1604733"|""
"01-0913226"|"Americas Agenda Health Care for Kids"|"1604735"|""
"01-0916120"|"Turtle Mountain Community Development Financial Institution"|"1604736"|""
"01-3073027"|"MAINE COUNCIL-ATLANTIC SALMON FEDERATION"|"1604738"|""
"02-0179721"|"POLISH AMERICAN CITIZENS CLUB"|"1604741"|""
"02-0216010"|"VFW Franklin Post 1698"|"1604742"|""
"02-0221111"|"ASSOCIATED GENERAL CONTRACTORS OF NH"|"1604743"|""
"01-0180531"|"WEST OXFORD AGRICULTURAL SOCIETY"|"1610896"|""
"01-0278130"|"MEMORIAL AMBULANCE CORPS"|"1610898"|""
"01-0358743"|"GLENBURN HOUSING CORPORATION"|"1610899"|""
"01-0367056"|"MANCHESTER HOUSING FOR THE ELDERLY"|"1610900"|""
"01-0372829"|"BOOTHBAY RAILWAY VILLAGE"|"1610901"|""
"01-0434603"|"Women Unlimited"|"1610902"|""
"01-0485254"|"WILHELM REICH INFANT TRUST CORP"|"1610904"|""
"01-0491904"|"MAINE RENEWABLE ENERGY ASSOCIATION"|"1610906"|""
"01-0505729"|"FRIENDS OF THE ST LAWRENCE CHURCH"|"1610907"|""
"01-0511656"|"UNITY BARN RAISERS INC"|"1610908"|""
"01-0536008"|"FEDERATION OF STATE CONSERVATION LEAGUES MAINE CONSERVATION VOTERS"|"1610910"|""
"01-0563728"|"COVERED BRIDGE AFFORDABLE HOUSING CORP"|"1610914"|""
"01-0568603"|"GLOBAL GATEWAY NETWORK"|"1610915"|""
"01-0584930"|"Richmond County Medical Society Project Access Inc"|"1610916"|""
"01-0633329"|"Cambridge Valley Community Development Preservation Partnership Inc"|"1610917"|""
"01-0676431"|"CALIFORNIA CHAPTER OF THE AMERICAN ASSOCIATION OF CLINICAL ENDOCRINOLOGISTS"|"1610918"|""
"01-0804043"|"SALMON OF AMERICAS, INC."|"1610920"|""
"01-0810429"|"GOVERNMENT TRAINING SERVICES INC"|"1610921"|""
"01-0954243"|"AMAZING GRACE EVANGELICAL MINISTRIES"|"1610924"|""
"01-6010628"|"MUSEUM OF ART OF OGUNQUIT"|"1610925"|""
"01-6015740"|"Boothbay Region Humane Society"|"1610926"|""
"01-6044928"|"AUGUSTA ELECTRICAL JATC"|"1610927"|""
"01-6242128"|"EUCLID HITACHI RETIREE VEBA BENEFIT PLAN"|"1610928"|""
"02-0144343"|"HAMPTON AREA CHAMBER OF COMMERCE"|"1610929"|""
"01-0365189"|"Celebration Inc"|"1616520"|""
"01-0633893"|"James Moore Evangelistic Association"|"1616521"|""
"01-0774996"|"MAD DADS"|"1616523"|""
"01-0833397"|"Global Refuge International"|"1616524"|""
"01-6004194"|"FERRY BEACH PARK ASSOCIATION"|"1616525"|""
"01-0223014"|"OCEAN PARK ASSOCIATION"|"1617633"|""
"01-0237912"|"Young Men's Chnstian Association Boothbay Region"|"1617634"|""
"01-0284115"|"THE MAIN IDEA INC"|"1617635"|""
"01-0317540"|"Swans Island Educational Society"|"1617636"|""
"01-0484018"|"VAALAND CLUB"|"1617638"|""
"01-0490316"|"OGUNQUIT PLAYHOUSE FOUNDATION"|"1617639"|""
"01-0577111"|"CHIN BAPTIST MISSION CHURCH"|"1617645"|""
"01-0608944"|"ROOFING CONTRACTORS ASSOCIATION OF SOUTH FLORIDA INC"|"1617646"|""
"01-0654014"|"MINISTRY SERVICES GROUP, INC."|"1617647"|""
"01-0662412"|"WEST BARTOW FRONT PORCH REVITALIZATION COUNCIL"|"1617648"|""
"01-0714415"|"NEW JERUSALEM COMMUNITY DEVEL"|"1617649"|""
"01-0728655"|"APEX PROFESSIONAL SERVICES"|"1617650"|""
"01-0810817"|"THE SCHOOL OF THE IMMACULATA INC"|"1617652"|""
"01-0862616"|"SHALOM PRAYER CENTER"|"1617654"|""
"01-0951115"|"ALASKA LONGLINE FISHERMENS ASSOCIATION"|"1617656"|""
"02-0206110"|"THE WORKINGMENS RELIEF SOCIETY OF MANCHESTER NH"|"1617659"|""
"02-0229110"|"WILLIAM MARCONI ITALIAN CLUB"|"1617663"|""
"02-0240644"|"TILTON-NORTHFIELD RECREATION COUNCIL"|"1617664"|""
"01-0145138"|"PROUTS NECK YACHT CLUB"|"1621619"|""
"01-0248224"|"MAINE CREDIT UNION LEAGUE"|"1621620"|""
"01-0274746"|"CENTRAL MAINE BIBLE CONFERENCE"|"1621621"|""
"01-0367846"|"HERMON ELDERLY PROJECT"|"1621622"|""
"01-0369125"|"Maine Forest Products Council"|"1621623"|""
"01-0377559"|"UNITED WAY OF TRI VALLEY AREA"|"1621624"|""
"01-0412269"|"Downeast Family Young Men's Christian Association"|"1621625"|""
"01-0430464"|"Northern New England Concrete Promotion Association"|"1621626"|""
"01-0442447"|"STATE RISK & INSURANCE MANAGEMENT ASSOCIATION"|"1621627"|""
"01-0465864"|"Hospice Volunteers of Somerset County"|"1621628"|""
"01-0482069"|"RIDING TO THE TOP"|"1621629"|""
"01-0493123"|"WALDO COUNTY YMCA"|"1621631"|""
"01-0503126"|"Maine Philanthropy Center"|"1621632"|""
"01-0504257"|"MUSEUM L-A"|"1621633"|""
"01-0508465"|"HOSPICE REGATTA OF MAINE"|"1621634"|""
"01-0524769"|"Greater Franklin Development Corporation"|"1621635"|""
"01-0527664"|"HOWELL HOUSE"|"1621636"|""
"01-0547336"|"NORTHERN LIGHTHOUSE"|"1621637"|""
"01-0569069"|"Colchester Football Booster Assoc"|"1621639"|""
"01-0575746"|"Saint Giannas Home Inc"|"1621640"|""
"01-0595647"|"K-9 PLACEMENT AND ASSISTANCE LEAGUE INC"|"1621641"|""
"01-0599147"|"DIGITAL MEDIA EDUCATION COMMUNITY MENTORING PROGRAM INC"|"1621643"|""
"01-0704651"|"FRENCH BULLDOG RESCUE NETWORK A NONPROF A NONPROFIT CORP"|"1621644"|""
"01-0712524"|"SOUTH CAROLINA EQUALITY"|"1621645"|""
"01-0730818"|"CIUDAD DE ANGELES INC"|"1621646"|""
"01-0756138"|"FIVE ACRES ANIMAL SHELTER"|"1621647"|""
"01-0800764"|"HERITAGE REGIONAL LIBRARY FDN"|"1621648"|""
"01-0848225"|"Youth Media Minds of Amenca"|"1621649"|""
"01-0920922"|"MIGHTY WRITERS"|"1621651"|""
"01-6018651"|"American Legion Post 0068"|"1621652"|""
"01-6024157"|"PEJEPSCOT HISTORICAL SOCIETY"|"1621653"|""
"02-0120120"|"COCHECHO COUNTRY CLUB INC"|"1621655"|""
"02-0161920"|"GREATER MANCHESTER CHAMBER OF COMMERCE"|"1621656"|""
"02-0227519"|"Ancient Arabric Order of Nobles of the Mystic Shrine of N A - Bektash Shriners"|"1621659"|""
"01-0146437"|"COAST LINE CREDIT UNION"|"1628100"|""
"01-0216837"|"The Maine Sea Coast Mission"|"1628101"|""
"01-0445046"|"Maine Association of Realtors Foundation"|"1628102"|""
"01-0472430"|"Royal River Conservation Trust"|"1628103"|""
"01-0488538"|"MAINE ASSOCIATION OF NONPROFITS"|"1628104"|""
"01-0532230"|"Schoodic Arts For All"|"1628105"|""
"01-0541131"|"DOWNEAST LAKES LAND TRUST"|"1628106"|""
"01-0620340"|"WHISPERS OF HOPE HORSE FARM"|"1628107"|""
"01-0629345"|"VOLUNTEER CHRISTIAN TELEVISION INC"|"1628108"|""
"01-0632431"|"CENTER FOR EDUCATION IN LAW AND DEMOCRACY"|"1628109"|""
"01-0697940"|"WOMEN IN PROGRESS INC"|"1628110"|""
"01-0817065"|"STRATEGIC MARKETPLACE INITIATIVE"|"1628111"|""
"01-0897469"|"SEIU HEALTHCARE MICHIGAN"|"1628112"|""
"01-0212545"|"MAINE STATE SOCIETY FOR THE PROTECTION OF ANIMALS"|"1630681"|""
"01-0390443"|"Davis Family Foundation"|"1630682"|""
"01-0711547"|"CROSS-GENERATION"|"1630683"|""
"02-0127246"|"GREATER DOVER CHAMBER OF COMMERCE"|"1630686"|""
"02-0222247"|"KEENE YOUNG MEN'S CHRISTIAN ASSOCIATION"|"1630688"|""
"01-0043285"|"ANDROSCOGGIN COUNTY CHAMBER OF COMMERCE"|"1632040"|""
"01-0217861"|"SWANS ISLAND ELECTRIC COOPERATIVE INC P O BOX 14"|"1632042"|""
"01-0225267"|"TARRATINE CLUB OF DARK HARBOR"|"1632043"|""
"01-0266549"|"KENNEBEC VALLEY HUMANE SOCIETY"|"1632044"|""
"01-0282853"|"BANGOR HISTORICAL SOCIETY"|"1632045"|""
"01-0313050"|"FIRST PARISH CEMETERY ASSOC-YORK"|"1632046"|""
"01-0329748"|"WALDOBORO PUBLIC LIBRARY"|"1632047"|""
"01-0366667"|"MAINE OPTOMETRIC ASSOCIATION"|"1632048"|""
"01-0448263"|"Ronald McDonald House Charities of Maine Inc"|"1632050"|""
"01-0483786"|"BICYCLE COALITION OF MAINE"|"1632051"|""
"01-0509853"|"PINE CREST DEVELOPMENT CORPORATION DEVELOPMENT CORP"|"1632053"|""
"01-0536785"|"Unity Foundation"|"1632056"|""
"01-0554139"|"Baton Rouge Capital Conflict Office Inc"|"1632057"|""
"01-0637750"|"ARIZONA ADVOCACY NETWORK INC"|"1632061"|"III - A 1 CONTRIBUTIONS WERE RECEIVED PRIMARILY FROM 501 C 3 AND 501 C 4 ORGANIZATIONS AND SOME INDIVIDUALS, EACH OF WHOM WERE INFORMED THAT NO PART OF THEIR CONTRIBUTION WAS DEDUCTIBLE III-A 2 ARIZONA ADVOCACY NETWORK, INC SUPPORTS THE PROTECT YOUR RIGHT TO VOTE PAC AS THE PACS FISCAL SPONSOR HOWEVER, THE PAC DOES NOT RECEIVE ANY DIRECT CONTRIBUTIONS FROM THE FILING ORGANIZATION"
"01-0681650"|"VIRGINIA STATE UNIVERSITY REAL ESTATE FOUNDATION"|"1632062"|""
"01-0690378"|"PERRY MENNONITE RECEPTION CENTER"|"1632063"|""
"01-0691450"|"STRATEGIC WORLD IMPACT INC"|"1632064"|""
"01-0714863"|"Community Housing Services-Cedar Canyon Inc"|"1632066"|""
"01-0772839"|"Homes of Hope Inc"|"1632070"|""
"01-0789358"|"EARTH ANGELS UNITED INC"|"1632072"|""
"01-0813367"|"HOUSING WITH HEART INC"|"1632073"|""
"01-0870248"|"FAMILIES OF SLAIN CHILDREN INCORPORATED"|"1632074"|""
"01-0888448"|"ANGELES COMPREHENSIVE COMMUNITY CLINIC"|"1632075"|""
"01-6013463"|"EVERGREEN CEMETERY ASSN"|"1632076"|""
"01-6016350"|"SOMERSET WOODS TRUSTEES"|"1632077"|""
"01-6019053"|"AMVETS CHARLES J LORING JR POST #25"|"1632078"|""
"01-6241467"|"UNITED ASSOCIATION SCHOLARSHIP TRUST"|"1632080"|""
"01-0029480"|"BIDDEFORD-SACO CHAMBER OF COMMERCE"|"1638957"|""
"01-0132580"|"OQUOSSOC ANGLING ASSOCIATION"|"1638958"|""
"01-0271477"|"Maine Mantime Museum"|"1638959"|""
"01-0271579"|"SOUTHWEST HARBOR-TREMONT NURSING SERVICE INC"|"1638960"|""
"01-0343953"|"DAMARISCOTTA LAKE WATERSHED ASSOCIATION"|"1638961"|""
"01-0346779"|"NORRIDGEWOCK HOUSING CORPORATION"|"1638962"|""
"01-0496258"|"Maine Life Care Retirement Community Inc"|"1638964"|""
"01-0533179"|"FREEMAN FOREST HOUSING CORP"|"1638966"|""
"01-0551879"|"KIDS CANCER FOUNDATION INC"|"1638967"|""
"01-0643676"|"INTERNATIONAL CULTURAL EXCHANGE ORG"|"1638968"|""
"01-0685280"|"The Tibetan Community of New York and New Jersey Inc"|"1638970"|""
"01-0692980"|"PROMISE MINISTRIES"|"1638971"|""
"01-0794788"|"ECUMENICAL COMMUNITY OF CHAUTAUQUA INC"|"1638972"|""
"01-0838477"|"SOUTHERN IOWA COG HOUSING TRUST FUN"|"1638974"|""
"01-0863576"|"JANICE BARNETT MINISTRIES INC"|"1638975"|""
"01-0267988"|"BRISTOL AREAL LIBRARY ASSOCIATION"|"1641906"|""
"01-0490759"|"PARENTS AGAINST TIRED TRUCKERS"|"1641907"|""
"01-0688879"|"FUZZY'S CHARITIES INC"|"1641909"|""
"01-0796181"|"LITTLE LAMBS DAYCARE INC"|"1641911"|""
"01-0211476"|"THE CHAPMAN HOUSE"|"1644173"|"PART II-B, LINE 1 THE ORGANIZATION PAYS DUES TO VARIOUS ORGANIZATIONS, A PORTION OF WHICH IS ATTRIBUTABLE TO LOBBYING EXPENSE"
"01-0477310"|"CHRISTIAN MISSION SERVICES"|"1644174"|""
"01-0557352"|"CHILDREN'S FELLOWSHIP OF INDIA INC"|"1644176"|""
"01-0574950"|"AKSHAYA PATRA FOUNDATION (USA)"|"1644177"|""
"01-0596752"|"WORLD MISSIONS ADVANCE"|"1644178"|""
"01-0673538"|"AMERICAN FRIENDS OF YESHIVAT LEV HATORAH"|"1644179"|""
"01-0124841"|"MT PLEASANT CEMETERY CORPORATION"|"1645552"|""
"01-0212541"|"ANIMAL REFUGE LEAGUE OF GREATER PORTLAND"|"1645553"|""
"01-0224532"|"FRIEND MEMORIAL PUBLIC LIBRARY"|"1645554"|""
"01-0227184"|"Androscoggin Home Health Services Inc"|"1645555"|""
"01-0345195"|"SACOPEE RESCUE UNIT INC"|"1645556"|""
"01-0353284"|"MATTAWAMKEAG HOUSING CORPORATION"|"1645557"|""
"01-0456895"|"MOUNT AUBURN CEMETERY CORP"|"1645559"|""
"01-0472641"|"RANGELEY LAKES HERITAGE TRUSTINC"|"1645560"|""
"01-0509793"|"PITTSTON FAIR ASSOCIATION"|"1645561"|""
"01-0511596"|"THE NATHAN AND HENRY B CLEAVES LAW LIBRARY"|"1645563"|""
"01-0512570"|"FAIRFIELD POLICE ATHLETIC LEAGUE"|"1645564"|""
"01-0517984"|"CENTER FOR FURNITURE CRAFTSMANSHIP"|"1645565"|""
"01-0520096"|"CENTER THEATRE INC"|"1645566"|""
"01-0530866"|"INSTITUTE FOR HUMANE EDUCATION"|"1645567"|""
"01-0531093"|"Homeless Animal Rescue Team of Maine Inc"|"1645568"|""
"01-0566082"|"OROMO CULTURAL CENTER"|"1645569"|""
"01-0595671"|"RESOURCE NY INC"|"1645570"|""
"01-0672893"|"CONSTANTINO BRUMIDI LODGE 221 SONS OF ITALY"|"1645571"|""
"01-0679073"|"Parker County Health Foundation"|"1645572"|""
"01-0705972"|"Honeoye Fish & Game Club Inc"|"1645573"|""
"01-0724773"|"AMERICAN FEDERATION OF STATE COUNTY MUNICIPAL EMPLOYEES LOCAL 199"|"1645574"|""
"01-0736732"|"MOUNT ST MARY'S HDFC INC"|"1645575"|""
"01-0736882"|"SPORTS GIFT INC"|"1645576"|""
"01-0768541"|"FRIENDS OF YOUTH SPORTS"|"1645577"|""
"01-0768932"|"BROKEN WALLS INTERNATIONAL INC"|"1645578"|""
"01-0769341"|"PARENTS OF AUTISTIC CHILDREN OF NORTHERN VIRGINIA"|"1645579"|""
"01-0770241"|"DRUG TREATMENT COURT FOUNDATION OF KALAMAZOO COUNTY"|"1645580"|""
"01-0779341"|"CHOICES FOR COMMUNITY LIVING-DELAWARE INC"|"1645581"|""
"01-0802772"|"ST LUKE HOUSING MINISTRY INC"|"1645582"|""
"01-0870672"|"EL SOL JUPITER'S NEIGHBORHOOD RESOURCE CENTER INC"|"1645584"|""
"01-0906593"|"MANAGEMENT SERVICES INC"|"1645585"|""
"01-0953296"|"SHREE PASHUPATINATH FOUNDATION USA"|"1645587"|""
"01-6013970"|"PYTHIAN SISTERS HOME ASSOCIATION"|"1645589"|""
"01-6144341"|"AFSCME Maine Membership Benefit Fun"|"1645590"|""
"02-0216783"|"NEW HAMPSHIRE LODGING AND RESTAURANT ASSOCIATION"|"1645591"|""
"01-0211558"|"ST MARY'S D'YOUVILLE PAVILION"|"1651118"|"PART II-B, LINE 1 ST MARY'S D'YOUVILLE PAVILION IS A MEMBER OF THE MAINE HEALTH CARE ASSOCIATION AND A PORTION OF THE DUES PAID IN THE AMOUNT OF $5,345 IS USED FOR LOBBYING"
"01-0220091"|"NORTHEAST HARBOR LIBRARY"|"1651119"|""
"01-0275875"|"METHODIST CONFERENCE HOME INC"|"1651120"|""
"01-0282197"|"GUILFORD DEVELOPMENT CORPORATION"|"1651121"|""
"01-0342874"|"MERTON IRA STAPLES AMVETS POST 1"|"1651122"|""
"01-0355797"|"BLUE KNIGHTS MOTORCYCLE CLUB"|"1651123"|""
"01-0383489"|"PINE TREE QUILTERS GUILD INC"|"1651124"|""
"01-0523789"|"Park Street Home"|"1651125"|""
"01-0529491"|"AVIAN HAVEN"|"1651126"|""
"01-0535494"|"GULF OF MAINE LOBSTER FOUNDATION"|"1651127"|""
"01-0541597"|"Maine Traditional Music Association"|"1651128"|""
"01-0552691"|"FULCRUM POINT NEW MUSIC PROJECT"|"1651129"|""
"01-0584192"|"BRIGHT WORLD FOUNDATION"|"1651130"|""
"01-0598889"|"A LITTLE HOPE INC CO SANFORD WEINTRAUB"|"1651131"|""
"01-0671672"|"CNL TV"|"1651132"|""
"01-0686191"|"4th Street Basement Boutique"|"1651133"|""
"01-0695292"|"SOWERS OF THE HARVEST MINISTRIES IN"|"1651134"|""
"01-0701794"|"MAKING A DIFFERENCE FOUNDATION"|"1651135"|""
"01-0735690"|"TEXAS CHAPTER OF THE AMERICAN ASSOCIATION OF CLINICAL ENDOCRINOLOGISTS"|"1651136"|""
"01-0780689"|"HOLLENBECK POLICE ACTIVITIES LEAGUE"|"1651138"|""
"01-0815275"|"Y'SHUA OUTREACH MINISTRIES"|"1651140"|""
"01-0871294"|"New Redeemed Bible Fellowship Inc"|"1651141"|""
"02-0211990"|"AMERICAN LEGION CLUB WHITEMAN-DAVIDSON POST 49"|"1651146"|""
"02-0217171"|"Veterans of Foreign Wars Post #8l6"|"1651147"|""
"01-0745483"|"DOROTHY'S SOFT TOUCH CORP"|"1654709"|""
"01-0145133"|"PROUTS NECK ASSOCIATION"|"1655343"|""
"01-0196194"|"MAINE STATE CREDIT UNION"|"1655344"|""
"01-0211791"|"Seventy-Five State Street"|"1655345"|"Part II-B, Line 1 The Organization pays dues to local associations, a portion of which are attributable to lobbying activities"
"01-0315296"|"AVESTA HOUSING DEVELOPMENT CORPORATION"|"1655346"|""
"01-0357895"|"Fifth Maine Regiment Museum"|"1655347"|""
"01-0379498"|"Stanley Museum Inc"|"1655348"|""
"01-0408591"|"INDUSTRIAL ENERGY CONSUMER GROUP"|"1655349"|""
"01-0520871"|"CONSUMERS WATER CO SVC CO VEBA"|"1655350"|""
"01-0613834"|"HIRES FAMILY RESOURCES INC"|"1655352"|""
"01-0773533"|"FIRST BAPTIST CHILDREN'S ACADEMY INC"|"1655353"|""
"01-0813672"|"ASIAN FESTIVAL CORP"|"1655355"|""
"01-0857998"|"Communities In Schools of Southeast"|"1655356"|""
"01-0116390"|"SHRINERS INTERNATIONAL"|"1658263"|""
"01-0383493"|"MAINE PEOPLE'S ALLIANCE"|"1658264"|"I-A 1 POLITICAL EXPENSES WENT TO INDEPENDENT EXPENDITURE effort to support one State Senate District candidate in one Special Election The expense was 100 staff time and related costs I-C 4 NO FORM 1120-POL WAS REQUIRED because M PA had no political organization taxable income"
"01-0601798"|"US GREEN BUILDING COUNCIL NEW YORK CHAPTER"|"1658265"|"Pt II-B Line 1 MEETINGS WITH LEGISLATORS REGARDING GREEN BUILDING POLICY"
"01-0210495"|"Amencan Legion Post 0015 Henry Pratt"|"1658810"|""
"01-0377623"|"CASTINE HISTORICAL SOCIETY INC"|"1659159"|""
"01-0505002"|"CAMDEN PUBLIC LIBRARY CENTENNIAL FUND"|"1659161"|""
"01-0559608"|"ALLIED MEDIA PROJECTS, INC."|"1659162"|""
"01-0566111"|"SCHENECTADY COMMUNITY HOME INC"|"1659163"|""
"01-0567018"|"ALLIANCE OF NEW YORK STATE YMCAS INC"|"1659164"|""
"01-0795543"|"NALLS FOUNDATION"|"1659166"|""
"01-6012414"|"KATAHDIN COUNCIL INC BOY SCOUTS OF AMERICA"|"1659168"|""
"01-0444245"|"MAINESHARE"|"1663835"|""
