"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"FORM_1096"|"W_2G"|"ALL_YEAR_EMPLOYEES"|"UNRELATED_BUSINESS_CBX"|"FORM_990_T_CBX"|"FOREIGN_ACCOUNT_CBX"|"NAME_COUNTRY"|"TAX_SHELTER_CBX"|"SOLICIT_GIFTS_CBX"|"TAX_DEDUCT_CBX"|"FUNDS_PBC_CBX"|"PREMIUMS_PBC_CBX"|"EXCESS_BUSINESS_HOLDINGS_CBX"|"TAXABLE_DIST_4966_CBX"|"DONOR_DIST_CBX"|"SCH_O_V_CBX"|"MULTISTATE_PLANS_CBX"|"RESERVES_REQUIRED_AMT"|"RESERVES_ONHAND_AMT"|"INDOOR_TANNING_CBX"|"FORM_720_CBX"
"01-0279335"|"THE PIERRE MONTEUX MEMORIAL FOUNDATION, INC."|"696921"|"2"|"0"|"2"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0342356"|"Western Maine Transportation Services, Inc"|"696923"|"0"|"0"|"110"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0347381"|"Sacopee Valley Health Center"|"696927"|"25"|""|"55"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0351077"|"MAINE CANCER FOUNDATION"|"696930"|"9"|"0"|"7"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0352258"|"CHILDREN'S MUSEUM & THEATRE OF MAINE"|"696933"|"15"|"0"|"30"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0409428"|"SCARBOROUGH ECONOMIC DEV CORP"|"696946"|"1"|"0"|"2"|"N"|""|"N"|""|"N"|"Y"|"Y"|"N"|"N"|"N"|""|""|""|""|""|""|"N"|""
"01-0534293"|"THE CHILDREN'S CENTER"|"696953"|"0"|"0"|"44"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|"N"|"N"|"N"|""|""|""|""|"N"|""
"01-0645482"|"OVERTURE CENTER FOUNDATION INC"|"696962"|"0"|"0"|"5"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0683331"|"JFK MEDICAL CENTER CHARTER SCHOOL, INC."|"696968"|"0"|"0"|"63"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0694632"|"SEYMOUR OSMAN COMMUNITY CENTER AND YOUTH HAVEN"|"696970"|"10"|"0"|"0"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0784491"|"FOR THE KID IN ALLOF US INC"|"696976"|"0"|"0"|"0"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-6011501"|"UNIVERSITY OF MAINE FOUNDATION"|"696991"|"104"|"0"|"11"|"N"|""|"Y"|"CAYMAN; ISLANDS"|"N"|"N"|""|"N"|"N"|"N"|"N"|"N"|""|""|""|""|"N"|""
"01-0803356"|"STEWART COUNTY ANIMAL MANAGEMENT PROGRAM"|"697770"|"0"|"0"|"0"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0805468"|"LIVING BREAD RADIO INC"|"697772"|""|""|""|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0780689"|"Hollenbeck Police Activities League"|"704936"|"0"|"0"|"10"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|"N"|"N"|"N"|""|""|""|""|"N"|""
"01-0191203"|"MAINE AUTOMOBILE DEALERS ASSOCIATION, INC."|"706783"|"7"|"0"|"7"|"Y"|"Y"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0228262"|"Northeast Hearing & Speech Center, Inc."|"706787"|"1"|"0"|"25"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0267689"|"KATAHDIN FRIENDS, INC."|"706788"|"7"|"0"|"234"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0288347"|"MAINE AUTOMOBILE DEALERS ASSOCIATION, INC. INSURANCE TRUST"|"706790"|"0"|"0"|"0"|"Y"|"Y"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0322531"|"Aroostook Area Agency on Aging, Inc."|"706792"|"2"|"0"|"203"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|"N"|"N"|"N"|""|""|""|""|"N"|""
"01-0343697"|"GROUP HOME FOUNDATION, INC."|"706795"|"13"|"0"|"407"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0407276"|"SUNRISE OPPORTUNITIES"|"706801"|"15"|"0"|"165"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0431293"|"Horizons Unlimited, Inc."|"706803"|"0"|"0"|"2"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0443774"|"HANCOCK COUNTY HABITAT FOR HUMANITY"|"706805"|"0"|"0"|"3"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0460969"|"HABITAT FOR HUMANITY 7 RIVERS MAINE"|"706807"|"4"|"0"|"12"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0525631"|"Harbor Schools of Maine, Inc."|"706817"|"22"|"0"|"132"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0553077"|"Links of Hope, Inc."|"706822"|"6"|"0"|"20"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|"N"|""
"01-0586454"|"Full Spectrum Farms, Inc"|"706825"|"0"|"0"|"3"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0688897"|"Ohio Network of Children's Advocacy Centers"|"706828"|"4"|""|"0"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0385303"|"EASTERN MAINE COMMUNITY COLLEGE FOUNDATION"|"659069"|"0"|"0"|"0"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0267159"|"NATIONAL SOCIETY OF THE COLONIAL DAMES IN THE STATE OF MAINE"|"690078"|"0"|"0"|"0"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0366544"|"COMMONSENSE HOUSING, INC"|"642174"|"11"|""|"140"|"N"|"N"|"N"|""|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|""|"N"|""|""|"N"|"N"
"01-0746064"|"The Laurel Park Community Boosters Club"|"623365"|"8"|"0"|""|"Y"|"Y"|"N"|""|"N"|"N"|""|"N"|""|"N"|"N"|"N"|""|""|""|""|"N"|""
"01-0284280"|"Multiple Handicapped Association of Aroostook"|"649017"|"0"|"0"|"7"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0518428"|"NORTH ATLANTIC FIGURE SKATING CLUB"|"651153"|"0"|"0"|"16"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"02-0244311"|"EXETER DAY SCHOOL"|"663889"|"8"|"0"|"23"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0280221"|"COMMUNITY LIVING ASSOCIATION"|"665466"|"22"|"0"|"261"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0275130"|"Unity College"|"671110"|"45"|"0"|"646"|"Y"|"Y"|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0780934"|"LAKE COUNTY INT CHARTER SCHOOL"|"674479"|""|""|"16"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|"N"|"N"|"N"|""|""|""|""|"N"|""
"01-0142660"|"PORTLAND COUNTRY CLUB"|"599824"|"17"|"0"|"129"|"Y"|"Y"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0554061"|"MOUNT EPHRAIM SENIOR HOUSING INITIATIVE"|"599825"|"0"|"0"|"2"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0315732"|"Midcoast Maine Community Action"|"1362275"|"29"|"0"|"117"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0734062"|"AUTOMOTIVE INDUSTRY TRUST"|"1364311"|"0"|"0"|"0"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0607900"|"MOUND STREET HEALTH CAREERS ACADEMY"|"647447"|"12"|"0"|"30"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|"N"|"N"|"N"|""|""|""|""|"N"|""
"01-0782751"|"NATIONWIDE CHILDREN'S HOSPITAL GROUP RETURN"|"1364312"|"719"|"0"|"10880"|"Y"|"Y"|"Y"|"CJ"|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0859843"|"National Museum of World War II Aviation Inc"|"1364313"|"2"|"0"|"0"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0063430"|"B.P.O. ELKS WATERVILLE MAINE lodge #905"|"555843"|"0"|"0"|"21"|"Y"|"Y"|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0378598"|"FRIENDS OF THE KOTZSCHMAR ORGAN, INC."|"590190"|"29416"|"0"|"2"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0760818"|"DELAWARE STORM TRAVEL TEAMS I"|"1368913"|"0"|"0"|"0"|"N"|""|"N"|""|"N"|"N"|""|""|""|"N"|"N"|"N"|""|""|""|""|"N"|""
"02-0222248"|"YMCA OF GREATER MANCHESTER"|"598996"|"72"|"0"|"742"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0885325"|"HARRIET TUBMAN CENTER"|"1368914"|"0"|"0"|"15"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0825719"|"Vision Rescue International"|"1369791"|"0"|"0"|""|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|"N"|"N"|"N"|""|""|""|""|"N"|""
"01-0196194"|"MAINE STATE CREDIT UNION"|"1358213"|"9695"|"0"|"83"|"Y"|""|"N"|""|"N"|"N"|""|""|""|"N"|"N"|"N"|""|"N"|""|""|"N"|""
"01-0646166"|"INDIANA UNIVERSITY HEALTH BLACKFORD HOSPITAL INC"|"1371189"|"31"|"0"|"209"|"Y"|"Y"|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"02-0170390"|"CLUB NATIONAL, INC"|"1353487"|"11"|"11"|""|"Y"|"Y"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0532835"|"SAFE PASSAGE"|"1356939"|"5"|"0"|"6"|"N"|"N"|"Y"|"GT"|"N"|"N"|""|"N"|"N"|"N"|"N"|"N"|""|"N"|""|""|"N"|""
"01-0244457"|"NEW ENGLAND ELECTRIC RAILWAY HISTORICAL SOCIETY"|"1366912"|"7"|"0"|"21"|"Y"|"Y"|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0803956"|"SHEPHERDS HEART MINISTRY"|"1366916"|"4"|"0"|"3"|"N"|"N"|"N"|""|"N"|"N"|""|"N"|"N"|"N"|"N"|"N"|""|"N"|""|""|"N"|""
"01-0043285"|"ANDROSCOGGIN COUNTY CHAMBER OF COMMERCE"|"1349302"|"5"|"0"|"8"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0211476"|"THE CHAPMAN HOUSE"|"1349303"|"8"|"0"|"39"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0372086"|"ST FRANCIS COMMUNITY"|"1349310"|"0"|"0"|"0"|"N"|"N"|"N"|""|"N"|"N"|""|"N"|"N"|"N"|"N"|"N"|""|"N"|""|""|"N"|""
"01-0608595"|"AMERICAN CARIBBEAN EXPERIENCE INC"|"1349322"|"11"|"0"|"1"|"N"|""|"Y"|"JM"|"N"|"N"|""|"N"|"N"|"N"|"N"|"N"|""|""|""|""|"N"|""
"01-0681650"|"VIRGINIA STATE UNIVERSITY REAL ESTATE FOUNDATION"|"1349324"|"0"|"0"|"0"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0697206"|"LHASA HAPPY HOMES RESCUE INC"|"1349325"|"1"|"0"|"0"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0729151"|"HEALTHPLUS PARTNERS INC"|"1349326"|"1027"|"0"|"0"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0927325"|"ELECTRIFICATION COALITION ALLIANCE"|"1349332"|"2"|"0"|"0"|"N"|""|"N"|""|"N"|"Y"|"Y"|""|""|""|""|""|""|""|""|""|"N"|""
"01-0369660"|"Work First Inc"|"1353475"|"0"|"0"|"0"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"02-0116973"|"GREATER NASHUA CHAMBER OF COMMERCE"|"1373966"|"0"|"0"|"6"|"N"|"N"|"N"|""|"N"|"N"|""|""|""|"N"|"N"|"N"|""|"N"|""|""|"N"|""
"01-0104905"|"LAUREL HILL CEMETERY ASSOCIATION"|"1375110"|"3"|"0"|"12"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0455355"|"MID-COAST HABITAT FOR HUMANITY, INC."|"1366589"|"5"|"0"|"1"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0870395"|"MUSIC HAVEN INC"|"1385279"|"0"|"0"|"6"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-6019053"|"AMVETS CHARLES J LORING JR POST #25"|"1385555"|"8"|"0"|"11"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0622078"|"MUSLIM WOMEN'S COALITION A NJ NONPTOFIT CORPORATION"|"1376955"|"0"|"0"|"0"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0127336"|"NEW AUBURN SOCIAL CLUB INC"|"1389870"|"0"|"8"|"8"|"N"|"N"|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0317232"|"UNITED SOCIETY OF SHAKERS SABBATHDAY LAKE INC"|"1389876"|"0"|"0"|"15"|"Y"|"Y"|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0455007"|"Marine Environmental Research Institute Inc"|"1389881"|"18"|"0"|"21"|"N"|"N"|"N"|""|"N"|"N"|""|"N"|"N"|"N"|"N"|"N"|""|"N"|""|""|"N"|""
"01-0581980"|"GEDE FOUNDATION"|"1389887"|"0"|"0"|"1"|"N"|""|"Y"|"JI"|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0627754"|"CLEVELAND ARTS PRIZE"|"1389890"|"0"|"0"|"0"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0654014"|"Ministry Services Group, Inc"|"1389891"|"0"|"0"|""|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0690378"|"PERRY MENNONITE RECEPTION CENTER"|"1389892"|"0"|"0"|"0"|"N"|"N"|"N"|""|"N"|"N"|""|"N"|"N"|"N"|"N"|"N"|""|""|""|""|"N"|""
"01-0710884"|"CHRISTIAN OUTDOOR ALLIANCE INC"|"1389893"|"0"|"0"|"2"|"Y"|"Y"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0813367"|"HOUSING WITH HEART INC"|"1389901"|"6"|"6"|"47"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0851830"|"REGULATORY COMPLIANCE ASSOCIATION"|"1389904"|"6"|"0"|"0"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-6011483"|"PORTLAND FIREFIGHTERS' UNION LOCAL #740"|"1389910"|"0"|"0"|"0"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-6133041"|"MAINE FINANCIAL INSTITUTIONS EMPLOYEE BENEFITS TRUST"|"1389912"|"4"|"0"|"0"|"N"|"N"|"N"|""|"N"|"N"|""|""|""|"N"|"N"|"N"|""|"N"|""|""|"N"|""
"01-0651843"|"IRANIAN AMERICAN JEWISH FEDERATION OF NEW YORK INC"|"1381008"|"0"|"0"|"0"|"N"|"N"|"N"|""|"N"|"N"|""|"N"|"N"|"N"|"N"|"N"|""|"N"|""|""|"N"|""
"01-6254546"|"SEIU Healthcare PA Training & Education Fund"|"1381013"|"0"|"0"|"0"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0243451"|"Spednic Club, Inc."|"1382553"|"0"|"0"|""|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0211796"|"MILES MEMORIAL HOSPITAL"|"1384956"|"0"|"0"|"475"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0560598"|"CHILD DEVELOPMENT CENTER CORPORATION"|"1384957"|"0"|"0"|"48"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0358732"|"MOBIUS INC"|"1396981"|"17"|"0"|"200"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0364464"|"Vose Library"|"1396982"|"0"|"0"|"1"|"N"|"N"|"N"|""|"N"|"N"|""|"N"|"N"|"N"|"N"|"N"|""|"N"|""|""|"N"|""
"01-0211509"|"GOULD ACADEMY"|"1396963"|"94"|"0"|"133"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0224214"|"UNION FAIR SOCIETY"|"1396968"|"139"|"0"|"62"|"Y"|"Y"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0431680"|"MAINEHEALTH"|"1376763"|"0"|"0"|"154"|"Y"|"Y"|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0440182"|"ST. XAVIER'S HOME"|"1396990"|"0"|"0"|"0"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0532411"|"Maine Space Grant Consortium"|"1396996"|"30"|"0"|"2"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0231382"|"SPRINGVALE PUBLIC LIBRARY ASSOCIATION"|"1396970"|"9"|""|"9"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|"Y"|"N"|"N"|""|""|""|""|"N"|""
"01-0548823"|"PRINCE AVENUE CHRISTIAN SCHOOL INC"|"1397000"|"51"|"0"|"177"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0576704"|"THE FUND FOR PUBLIC ADVOCACY INC"|"1397002"|"7"|"0"|"10"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0818635"|"KINGS ACADEMY CHRISTIAN SCHOOL INC"|"1397011"|"5"|"0"|"48"|"N"|"N"|"N"|""|"N"|"N"|""|"N"|"N"|"N"|"N"|"N"|""|"N"|""|""|"N"|""
"01-6013080"|"STANTON BIRD CLUB INC"|"1397019"|"0"|"0"|"0"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0494481"|"RICHMOND ELDERCARE COALITION"|"1403911"|"7"|"0"|"26"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0348331"|"CHOCOLATE CHURCH ARTS CENTER"|"1404173"|"4"|"0"|"4"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0528831"|"Waterfall Arts"|"1404302"|"0"|"0"|"4"|"N"|"N"|"N"|""|"N"|"N"|""|"N"|"N"|"N"|"N"|"N"|""|"N"|""|""|"N"|""
"01-0533472"|"Tanglewood Camp and Learning Center"|"1404303"|"0"|"0"|"0"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0733180"|"THE GLADES INITIATIVE, INC."|"706830"|"0"|"0"|"6"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|"Y"|""|""|""|"N"|""
"01-6000787"|"Brunswick Public Library Association"|"706840"|"0"|"0"|"52"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-6023974"|"WASHINGTON COUNTY ASSOCIATION FOR RETARDED CITIZENS"|"706842"|"0"|"0"|"0"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0888448"|"ANGELES COMPREHENSIVE COMMUNITY CLINIC"|"1404312"|"11"|"0"|"6"|"N"|"N"|"N"|""|"N"|"N"|""|"N"|"N"|"N"|"N"|"N"|""|"N"|""|""|"N"|""
"01-0974537"|"BRING CHANGE 2 MIND"|"1404314"|"8"|"0"|"2"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0495589"|"PORTLAND CONSERVATORY OF MUSIC"|"1380285"|"10"|"0"|"44"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0408591"|"INDUSTRIAL ENERGY CONSUMER GROUP"|"1380467"|"0"|"0"|"0"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0671144"|"WASHINGTON DRUG & ALCOHOL COMMISSION INC"|"1412305"|"0"|"0"|"18"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0694045"|"Florida Breast Cancer Coalition Research Foundation Inc"|"1412306"|"0"|"0"|"5"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0267877"|"KENNEBUNK BEACH IMPROVEMENT ASSOCIATION"|"1413922"|"5"|"0"|"90"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0598053"|"Sears Brazos Retirement Corporation"|"1413930"|"0"|"0"|"0"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0659217"|"DONATE LIFE NORTH CAROLINA"|"721185"|"2"|"0"|"3"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0626449"|"GATEWAY MONTESSORI SCHOOL INC"|"724486"|"1"|"0"|"10"|"N"|"N"|"N"|""|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|""|"N"|""|""|"N"|"N"
"01-0119385"|"Megunticook Golf Club"|"725845"|"15"|"0"|"25"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0285920"|"East Grand Health Center Inc"|"725852"|"4"|"0"|"10"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0318051"|"Central Maine Area Agency on Aging Inc"|"725853"|"22"|"0"|"243"|"Y"|"Y"|"N"|""|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|""|"N"|""|""|"N"|"N"
"01-0359180"|"MAINE COALITION TO END DOMESTIC VIOLENCE"|"725865"|"13"|"0"|"7"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0361328"|"MAINE MOTOR TRANSPORT ASSOCIATION"|"725866"|"10"|"0"|"6"|"Y"|"Y"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0371234"|"ELLWORTH AREA CHAMBER OF COMMERCE"|"725871"|"0"|"0"|"5"|"Y"|"Y"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0374597"|"YOUTH AND FAMILY OUTREACH"|"725872"|"3"|"0"|"28"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0406624"|"HOLOCAUST HUMAN RIGHTS CENTER OF MAINE"|"725876"|"0"|"0"|"4"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0439009"|"AUBURN RESIDENTIAL DEVELOPMENT CORP"|"725880"|"2"|"0"|"0"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0482069"|"RIDING TO THE TOP"|"725882"|"16"|"0"|"9"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0499084"|"MAINE LONG-TERM CARE OMBUDSMAN PROGRA"|"725885"|"3"|"0"|"12"|"N"|"Y"|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|"Y"|""|""|""|""|""
"01-0514118"|"HEAR ME NOW INC"|"725886"|"4"|"0"|"9"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0853738"|"HUAXIA CHINESE SCHOOL AT BRIDGEWATER"|"725902"|"0"|"0"|"62"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0872726"|"International Spanish Language Academy"|"725903"|"4"|"0"|"41"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|"N"|"N"|"N"|""|""|""|""|"N"|""
"01-0887074"|"Angels With A Mission Foundation, Inc."|"733019"|"0"|"0"|"0"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|"N"|"N"|"N"|""|""|""|""|"N"|""
"01-0153128"|"Greater Rumford Community Center"|"734858"|"0"|"0"|"30"|"N"|""|"N"|""|"N"|"N"|""|"N"|"N"|""|""|""|""|""|""|""|"N"|""
"01-0352658"|"SAFE VOICES"|"734864"|"13"|"0"|"25"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
"01-0362049"|"MONMOUTH RESCUE ASSOCIATION, INC."|"734866"|"0"|"0"|"34"|"N"|""|"N"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|"N"|""
