"C_EIN"|"C_Org_Name"|"SCHED_D_PART_VII_ID"|"xml_document_id"|"DESCRIPTION_SECURITY"|"METHOD_EOY_MARKET_VALUE"
"01-0648145"|"ORTHOCAROLINA RESEARCH INSTITUTE, INC FMRLY O. L. MILLER RESEARCH INSTITUTE"|"85642"|"850506"|"FIXED INCOME POOL"|"END-OF-YEAR MARKET VALUE"
"01-0648145"|"ORTHOCAROLINA RESEARCH INSTITUTE, INC FMRLY O. L. MILLER RESEARCH INSTITUTE"|"85643"|"850506"|"EQUITY POOL"|"END-OF-YEAR MARKET VALUE"
"01-0648145"|"ORTHOCAROLINA RESEARCH INSTITUTE, INC FMRLY O. L. MILLER RESEARCH INSTITUTE"|"85644"|"850506"|"PRIVATE INVESTMENT FUNDS"|"END-OF-YEAR MARKET VALUE"
"01-0315849"|"AROOSTOOK COUNTY ACTION PROGRAMS INC"|"85778"|"852966"|"CERTIFICATE OF DEPOSIT"|"F"
"01-0315849"|"AROOSTOOK COUNTY ACTION PROGRAMS INC"|"85779"|"852966"|"INVESTMENT IN PARTNERSHIPS"|"F"
"01-0212444"|"York Hospital"|"86583"|"860415"|"Other investments"|"F"
"01-0212444"|"York Hospital"|"86584"|"860415"|"Alternative investments"|"F"
"02-0222174"|"PHILLIPS EXETER ACADEMY"|"86585"|"860425"|"US EQUITIES"|"F"
"02-0222174"|"PHILLIPS EXETER ACADEMY"|"86586"|"860425"|"GLOBAL EX U S EQUITIES"|"F"
"02-0222174"|"PHILLIPS EXETER ACADEMY"|"86587"|"860425"|"AABSOLUTE RETURN & LONG /SHORT"|"F"
"02-0222174"|"PHILLIPS EXETER ACADEMY"|"86588"|"860425"|"PRIVATE EQUITY & REAL ASSETS"|"F"
"02-0222174"|"PHILLIPS EXETER ACADEMY"|"86589"|"860425"|"OTHER"|"F"
"02-0222182"|"SAINT ANSELM COLLEGE"|"86590"|"860426"|"Financial derivatives"|"F"
"02-0222182"|"SAINT ANSELM COLLEGE"|"86591"|"860426"|"Closely-held equity interests"|"F"
"02-0222182"|"SAINT ANSELM COLLEGE"|"86592"|"860426"|"Alternative Hedge Funds"|"F"
"02-0222182"|"SAINT ANSELM COLLEGE"|"86593"|"860426"|"Collective Trusts"|"F"
"01-0211796"|"MILES MEMORIAL HOSPITAL"|"87150"|"862779"|"BENEFICIAL TRUST"|"F"
"01-0427824"|"WATERSHED CENTER FOR THE CERAMIC ARTS"|"87439"|"864959"|"MUTUAL FUNDS"|"END-OF-YEAR MARKET VALUE"
"01-0724306"|"THE PHILLY AND CHARLIE DAKE FOUNDATION"|"88137"|"867414"|"STEWART'SSHOPSCORP COMMON STOCK"|"F"
"01-0862621"|"ST JOSEPH SHELTER"|"88258"|"868449"|"INVESTMENTS HELD IN BROKERAGE"|"END OF YEAR MARKET VALUE"
"01-0207022"|"FAIRMOUNT CEMETERY ASSOC"|"89031"|"873860"|"VANGUARD STAR FUND"|"END OF YEAR MARKET VALUE"
"01-0640326"|"AHWATUKEE CHILDREN'S THEATRE INC"|"89032"|"873879"|"CHARLES SCHWAB"|""
"01-0354589"|"EASTPORT HEALTH CARE, INC."|"90240"|"884034"|"Other-CD"|"Market"
"01-0354589"|"EASTPORT HEALTH CARE, INC."|"90241"|"884034"|"Cash Equivalent - Money Marke"|"Market"
"01-0552288"|"THE FG FOUNDATION"|"90646"|"886257"|"Closely-held equity interests"|"F"
"01-0284115"|"THE MAIN IDEA INC"|"91027"|"889794"|"MORGAN STANLEY INVESTMENTS"|"F"
"01-0540911"|"JANUS SUPPORTIVE LIVING SERVICES INC"|"91028"|"889803"|"FUNDEDDEPREC -INVESTMENTS"|"F"
"02-0222215"|"ST JOSEPH HPSPITAL"|"91030"|"889826"|"Financial derivatives"|"F"
"01-0206603"|"COMMUNITY CREDIT UNION"|"91689"|"893930"|"MEMBERSHIP CAPITAL SHARE DEPOSITS"|"C"
"01-0206603"|"COMMUNITY CREDIT UNION"|"91690"|"893930"|"DEBENTURES"|"C"
"01-0206603"|"COMMUNITY CREDIT UNION"|"91691"|"893930"|"CERTIFICATES OF DEPOSIT IN OTHER INSTITUTIONS"|"C"
"01-0270233"|"Blue Hill Society for Aid to Children Inc"|"91692"|"893932"|"Schwab Account"|"F"
"01-0333304"|"FOX ISLANDS ELECTRIC COOPERATIVE INC"|"91693"|"893934"|"NRUCFC CAPITAL TERM CERTIFICATES"|"C"
"01-0333304"|"FOX ISLANDS ELECTRIC COOPERATIVE INC"|"91694"|"893934"|"COOPERATIVE FINANCE CORP MEMBERSHIP"|"C"
"01-0333304"|"FOX ISLANDS ELECTRIC COOPERATIVE INC"|"91695"|"893934"|"NRUCFC PATRONAGE CAPITAL CERTIFICATES"|"C"
"01-0333304"|"FOX ISLANDS ELECTRIC COOPERATIVE INC"|"91696"|"893934"|"UUS PATRONAGE CAPITAL"|"C"
"01-0333304"|"FOX ISLANDS ELECTRIC COOPERATIVE INC"|"91697"|"893934"|"NRTC PARONAGE CAPITAL & MEMBERSHIP"|"C"
"01-0333304"|"FOX ISLANDS ELECTRIC COOPERATIVE INC"|"91698"|"893934"|"CRC PATRONAGE CAPITAL"|"C"
"01-0333304"|"FOX ISLANDS ELECTRIC COOPERATIVE INC"|"91699"|"893934"|"COOP RESPONSE MEMBERSHIP"|"C"
"01-0333304"|"FOX ISLANDS ELECTRIC COOPERATIVE INC"|"91700"|"893934"|"INVESTMENT IN FOX ISLAND WIND LLC"|"C"
"01-0333304"|"FOX ISLANDS ELECTRIC COOPERATIVE INC"|"91701"|"893934"|"DEPOSIT WITH POWER SUPPLIER - VPPSA"|"C"
"01-0221126"|"CASTINE COMMUNITY HOSPITAL"|"92140"|"896591"|"UBS PAINEWEBBER"|"END OF YEAR MARKET VALUE"
"01-0221126"|"CASTINE COMMUNITY HOSPITAL"|"92141"|"896591"|"VANGUARD INDEX TRUST"|"END OF YEAR MARKET VALUE"
"01-0221126"|"CASTINE COMMUNITY HOSPITAL"|"92142"|"896591"|"MAINE COMMUNITY FOUNDATION"|"END OF YEAR MARKET VALUE"
"01-0390443"|"Davis Family Foundation"|"92698"|"900262"|"Limited Partnership Interests"|"F"
"01-0216837"|"The Maine Sea Coast Mission"|"93042"|"902671"|"Absolute return funds"|"F"
"01-0216837"|"The Maine Sea Coast Mission"|"93043"|"902671"|"Beneficial interest in perpetual trusts"|"F"
"01-0216837"|"The Maine Sea Coast Mission"|"93044"|"902671"|"Commodities funds"|"F"
"01-0216837"|"The Maine Sea Coast Mission"|"93045"|"902671"|"Domestic equity funds"|"F"
"01-0216837"|"The Maine Sea Coast Mission"|"93046"|"902671"|"Fixed income funds"|"F"
"01-0216837"|"The Maine Sea Coast Mission"|"93047"|"902671"|"Hedge funds"|"F"
"01-0216837"|"The Maine Sea Coast Mission"|"93048"|"902671"|"International equity funds"|"F"
"01-0216837"|"The Maine Sea Coast Mission"|"93049"|"902671"|"Private equity fund"|"F"
"01-0216837"|"The Maine Sea Coast Mission"|"93050"|"902671"|"Real estate fund"|"F"
"01-0216837"|"The Maine Sea Coast Mission"|"93051"|"902671"|"Split Interest Agreements"|"F"
"01-0627754"|"CLEVELAND ARTS PRIZE"|"94661"|"912262"|"MARKETABLE SECURITIES"|"F"
"01-0211567"|"YOUNG MEN'S CHRISTIAN ASSOCIATION OF LEWISTON-AUBURN"|"95795"|"919981"|"INVESTMENT IN ASSETS IN MAINE COMMUNITY UNDATION"|"F"
"01-0504257"|"MUSEUM L-A"|"95796"|"919991"|"WACHOVIA SECURITIES"|"F"
"01-0504257"|"MUSEUM L-A"|"95797"|"919991"|"MONEY MARKET - BANKOFAMERICA"|"F"
"01-0448173"|"CENTER FOR TEACHING AND LEARNING"|"96839"|"925602"|"FIDELITY ACCOUNT"|"C"
"01-0448173"|"CENTER FOR TEACHING AND LEARNING"|"96840"|"925602"|"FIDELITY ACCOUNT INVESTMENTS"|"C"
"01-0043285"|"ANDROSCOGGIN COUNTY CHAMBER OF COMMERCE"|"97424"|"930296"|"Closely-held equity interests"|"0"
"01-0517984"|"CENTER FOR FURNITURE CRAFTSMANSHIP"|"97425"|"930302"|"Closely-held equity interests"|"0"
"01-0211490"|"BOY SCOUTS OF AMERICA 0218 PINE TREE COUNCIL INC"|"97639"|"931594"|"CORPORATE EQUITY SECURITIES"|"F"
"01-0211490"|"BOY SCOUTS OF AMERICA 0218 PINE TREE COUNCIL INC"|"97640"|"931594"|"U S GOVT AND AGENCY OBLIG"|"F"
"01-0211490"|"BOY SCOUTS OF AMERICA 0218 PINE TREE COUNCIL INC"|"97641"|"931594"|"CORPORATE OBLIGATIONS"|"F"
"01-0211490"|"BOY SCOUTS OF AMERICA 0218 PINE TREE COUNCIL INC"|"97642"|"931594"|"MONEY MARKET FUNDS"|"F"
"01-0371194"|"WILLOWBROOK AT NEWFIELD RESTORATION VILLAGE"|"97643"|"931595"|"Closely-held equity interests"|"C"
"01-0456895"|"MOUNT AUBURN CEMETERY CORP"|"97926"|"933181"|"SECURITIES"|"F"
"01-0378598"|"FRIENDS OF THE KOTZSCHMAR ORGAN, INC"|"98413"|"935533"|"STOCKS AND SECURITIES"|"END-OF-YEAR MARKET VALUE"
"01-0269009"|"GREATER PORTLAND BOARD OF REALTORS"|"98817"|"942558"|"Closely-held equity interests"|"C"
"01-0566111"|"SCHENECTADY COMMUNITY HOME INC"|"98818"|"942561"|"MARKETABLE SECURITIES"|"F"
"01-0165110"|"MAINE TOURISM ASSOCIATION"|"98983"|"943760"|"MORGAN STANLEY SMITH BARNEY ACCOUNT"|"END-OF-YEAR MARKET VALUE"
"01-0288757"|"Child And Family Opportunities, Inc."|"99576"|"947754"|"Investments"|"Cost"
"01-0211570"|"YOUNG WOMEN'S CHRISTIAN ASSOCIATION OF CENTRAL MAINE"|"102546"|"969454"|"IRREVOCABLE TRUST"|"F"
"01-0204000"|"MAINE STATE EMPLOYEES ASSOCIATION"|"102926"|"974897"|"Closely-held equity interests"|"C"
"01-0589927"|"MINOT COMMUNITY FOUNDATION"|"104059"|"983635"|"OTHER INVESTMENTS"|"F"
"02-0202220"|"THE CHESHIRE HEALTH FOUNDATION"|"104540"|"986608"|"WELLINGTON COMMON TRUST FUND"|"END-OF-YEAR MARKET VALUE"
"02-0202220"|"THE CHESHIRE HEALTH FOUNDATION"|"104541"|"986608"|"AMERICAN CENTURY FUND(20THCEN)"|"END-OF-YEAR MARKET VALUE"
"02-0202220"|"THE CHESHIRE HEALTH FOUNDATION"|"104542"|"986608"|"SEI"|"END-OF-YEAR MARKET VALUE"
"02-0202220"|"THE CHESHIRE HEALTH FOUNDATION"|"104543"|"986608"|"MERIDIAN"|"END-OF-YEAR MARKET VALUE"
"02-0202220"|"THE CHESHIRE HEALTH FOUNDATION"|"104544"|"986608"|"CRM"|"END-OF-YEAR MARKET VALUE"
"02-0202220"|"THE CHESHIRE HEALTH FOUNDATION"|"104545"|"986608"|"EUROPACIFIC"|"END-OF-YEAR MARKET VALUE"
"02-0202220"|"THE CHESHIRE HEALTH FOUNDATION"|"104546"|"986608"|"HSBC"|"END-OF-YEAR MARKET VALUE"
"02-0202220"|"THE CHESHIRE HEALTH FOUNDATION"|"104547"|"986608"|"VANGUARD - BOND INDEX FUND"|"FMV"
"02-0202220"|"THE CHESHIRE HEALTH FOUNDATION"|"104548"|"986608"|"VANGUARD - INTER TERN TREASURER"|"FMV"
"02-0202220"|"THE CHESHIRE HEALTH FOUNDATION"|"104549"|"986608"|"VANGUARD - MID CAP INDEX"|"FMV"
"02-0202220"|"THE CHESHIRE HEALTH FOUNDATION"|"104550"|"986608"|"VANGUARD - INFLATION PROTECTED"|"FMV"
"02-0202220"|"THE CHESHIRE HEALTH FOUNDATION"|"104551"|"986608"|"VANGUARD - ENERGY"|"FMV"
"02-0202220"|"THE CHESHIRE HEALTH FOUNDATION"|"104552"|"986608"|"FIDELITY SPARTAN 500 INDEX MF"|"FMV"
"02-0202220"|"THE CHESHIRE HEALTH FOUNDATION"|"104553"|"986608"|"DODGE & COX"|"FMV"
"02-0202220"|"THE CHESHIRE HEALTH FOUNDATION"|"104554"|"986608"|"FORESTER PARTNERS"|"FMV"
"02-0202220"|"THE CHESHIRE HEALTH FOUNDATION"|"104555"|"986608"|"TAP"|"FMV"
"02-0202220"|"THE CHESHIRE HEALTH FOUNDATION"|"104556"|"986608"|"AEW"|"FMV"
"02-0202220"|"THE CHESHIRE HEALTH FOUNDATION"|"104557"|"986608"|"PIMCO TOTAL RETURN"|"FMV"
"02-0202220"|"THE CHESHIRE HEALTH FOUNDATION"|"104558"|"986608"|"COLCHESTER"|"FMV"
"02-0202220"|"THE CHESHIRE HEALTH FOUNDATION"|"104559"|"986608"|"CHARTER TRUST"|"FMV"
"02-0202220"|"THE CHESHIRE HEALTH FOUNDATION"|"104560"|"986608"|"NYES LEDGE - HEDGE FUND"|"FMV"
"02-0202220"|"THE CHESHIRE HEALTH FOUNDATION"|"104561"|"986608"|"WEATHERLOW - HEDGE FUND"|"FMV"
"02-0202220"|"THE CHESHIRE HEALTH FOUNDATION"|"104562"|"986608"|"DRAKE - HEDGE FUND"|"FMV"
"02-0147630"|"HOLDERNESS SCHOOL"|"105223"|"989821"|"INVESTMENTS-SECURITIES"|"F"
"02-0147630"|"HOLDERNESS SCHOOL"|"105224"|"989821"|"BENEFICIALINTEREST IN CHARITABLE REMAINDERTRUSTS"|"F"
"01-0385303"|"EASTERN MAINE COMMUNITY COLLEGE FOUNDATION"|"105860"|"993141"|"FIXED INCOME SECURITIES"|"End of Year Market Value"
"01-0219810"|"MAINE INSURANCE AGENTS ASSOCIATION"|"106201"|"995625"|"Closely-held equity interests"|"COST"
"01-0391479"|"Maine Community Foundation Inc"|"106272"|"996449"|"Emerging Markets"|"F"
"01-0391479"|"Maine Community Foundation Inc"|"106273"|"996449"|"Marketable Alternatives"|"F"
"01-0391479"|"Maine Community Foundation Inc"|"106274"|"996449"|"Private Equity & Venture Capital"|"F"
"01-0391479"|"Maine Community Foundation Inc"|"106275"|"996449"|"Real Assets"|"F"
"01-0391479"|"Maine Community Foundation Inc"|"106276"|"996449"|"Less allocable share of investments to supporting anizations"|"F"
"01-6004404"|"United Way of Kennebec Valley"|"106277"|"996469"|"Mutual funds"|"End-of-Year Market Value"
"01-0211486"|"MOUNT DESERT ISLAND YMCA"|"106867"|"1000934"|"BAR HARBOR TRUST ACCOUNTS"|"END OF YEAR MARKET VALUE"
"01-0430078"|"DOWNEAST COASTAL CONSERVANCY"|"106868"|"1000939"|"MONEY MARKET FUNDS"|"END-OF-YEAR MARKET VALUE"
"01-0430078"|"DOWNEAST COASTAL CONSERVANCY"|"106869"|"1000939"|"MUTUAL FUNDS"|"END-OF-YEAR MARKET VALUE"
"01-0430078"|"DOWNEAST COASTAL CONSERVANCY"|"106870"|"1000939"|"FEDCO INVESTMENT"|"END-OF-YEAR MARKET VALUE"
"01-0279587"|"Waban Projects Inc"|"107113"|"1003072"|"Publicly traded securities"|"F"
"01-0279587"|"Waban Projects Inc"|"107114"|"1003072"|"Mutual funds"|"F"
"01-0581489"|"NEIGHBORHOOD LENDING PARTNERS, INC."|"107115"|"1003075"|"INVESTMENT IN AFFILIATES"|"COST"
"01-0211513"|"THE JACKSON LABORATORY"|"107273"|"1004639"|"US EQUITY"|"FMV"
"01-0211513"|"THE JACKSON LABORATORY"|"107274"|"1004639"|"INTERNATIONAL EQUITY"|"FMV"
"01-0211513"|"THE JACKSON LABORATORY"|"107275"|"1004639"|"ALTERNATIVE"|"FMV"
"01-0719207"|"FIRST MEDICAL INSURANCE COMPANY (RRG)"|"107276"|"1004652"|"SPONSORED ENTERPRISES"|""
"01-0719207"|"FIRST MEDICAL INSURANCE COMPANY (RRG)"|"107277"|"1004652"|"ASSET BACKED SECURITIES"|""
"01-0719207"|"FIRST MEDICAL INSURANCE COMPANY (RRG)"|"107278"|"1004652"|"COMMERCIAL MORTGAGE BACKED SEC"|""
"01-0719207"|"FIRST MEDICAL INSURANCE COMPANY (RRG)"|"107279"|"1004652"|"MUNICIPAL BONDS"|""
"01-0719207"|"FIRST MEDICAL INSURANCE COMPANY (RRG)"|"107280"|"1004652"|"CORPORATE DEBT SECURITIES"|""
"01-0719207"|"FIRST MEDICAL INSURANCE COMPANY (RRG)"|"107281"|"1004652"|"ACCRUED INTEREST"|""
"01-0719207"|"FIRST MEDICAL INSURANCE COMPANY (RRG)"|"107282"|"1004652"|"FOREIGN GOVERNMENTS"|""
"01-6011483"|"PORTLAND FIREFIGHTERS' UNION LOCAL #740"|"107283"|"1004661"|"ENERGY FUND INVESTOR"|"F"
"01-6011483"|"PORTLAND FIREFIGHTERS' UNION LOCAL #740"|"107284"|"1004661"|"EQUITY INCOME FUNDINV"|"F"
"01-6011483"|"PORTLAND FIREFIGHTERS' UNION LOCAL #740"|"107285"|"1004661"|"MID-CAP INDEX FUND ADM"|"F"
"01-6011483"|"PORTLAND FIREFIGHTERS' UNION LOCAL #740"|"107286"|"1004661"|"SMALL-CAP INDEX FUN ADM"|"F"
"01-6011483"|"PORTLAND FIREFIGHTERS' UNION LOCAL #740"|"107287"|"1004661"|"WELLESLEY INCOME FUND INV"|"F"
"01-0598053"|"SEARS BRAZOS RETIREMENT CORPORATION"|"110907"|"1028007"|"INVESTMENT IN SMF"|"C"
"01-0645457"|"EL PORTAL DE BELEN FOUNDATION"|"110908"|"1028008"|"INVESTMENTS - BONDS"|"C"
"01-0645457"|"EL PORTAL DE BELEN FOUNDATION"|"110909"|"1028008"|"INVESTMENTS- STOCK"|"C"
"01-0645457"|"EL PORTAL DE BELEN FOUNDATION"|"110910"|"1028008"|"OTHER INVESTMENTS"|"C"
"01-0342859"|"SPORTS PROJECTS INC"|"111161"|"1029014"|"SECURITIES"|"F"
"01-0368574"|"WENDELL GILLEY MUSEUM OF BIRD CARVING"|"112106"|"1033832"|"PARTNERSHIP INVESTMENTS"|"F"
"01-0368574"|"WENDELL GILLEY MUSEUM OF BIRD CARVING"|"112107"|"1033832"|"STANDISH FIXEDINCOME FUND"|"F"
"01-0368574"|"WENDELL GILLEY MUSEUM OF BIRD CARVING"|"112108"|"1033832"|"CASH EQUIVALENTS"|"C"
"01-6015740"|"BOOTHBAY REGION HUMANE SOCIETY"|"112109"|"1033843"|"HIGH FIELDS PROPERTY"|"COST"
"01-0353275"|"Martin's Point Health Care Inc"|"112434"|"1037637"|"Alternative Investments"|"F"
"01-0267877"|"KENNEBUNK BEACH IMPROVEMENT ASSOCIATION"|"112682"|"1038763"|"SECURITIES AND OTHER INVESTMENTS"|"F"
"01-0217277"|"MAINE FARM BUREAU ASSOCIATION"|"112818"|"1039105"|"MUTUAL FUNDS"|"F"
"01-0398692"|"SHEEPSCOT VALLEY CHILDREN'S HOUSE"|"114096"|"1047026"|"50SHS STANDARD AND POORS"|"C"
"01-0398692"|"SHEEPSCOT VALLEY CHILDREN'S HOUSE"|"114097"|"1047026"|"FRANKLIN CUSTODIAN FUNDS"|"C"
"01-0398692"|"SHEEPSCOT VALLEY CHILDREN'S HOUSE"|"114098"|"1047026"|"CASH & SWEEP BALANCE"|"C"
"01-0220430"|"THE LINCOLN HOME"|"114567"|"1048745"|"CASH AND CASH EQUIVALENTS"|"END-OF-YEAR MARKET VALUE"
"01-0220430"|"THE LINCOLN HOME"|"114568"|"1048745"|"CORPORATE NOTES"|"END-OF-YEAR MARKET VALUE"
"01-0220430"|"THE LINCOLN HOME"|"114569"|"1048745"|"US GOVERNMENT OBLIGATIONS"|"END-OF-YEAR MARKET VALUE"
"01-0355896"|"JOHN F MURPHY HOMES INC"|"114745"|"1051351"|"U S GOVERNMENT OBLIGATIONS"|"F"
"01-0263908"|"SKOWHEGAN SCHOOL OF PAINTING AND SCULPTURE, INC"|"115419"|"1064519"|"SHOUTHPOINT OFFSHORE FUND"|"END-OF-YEAR MARKET VALUE"
"01-0263908"|"SKOWHEGAN SCHOOL OF PAINTING AND SCULPTURE, INC"|"115420"|"1064519"|"ORCHID ASIA III FUNDS"|"END-OF-YEAR MARKET VALUE"
"01-0263908"|"SKOWHEGAN SCHOOL OF PAINTING AND SCULPTURE, INC"|"115421"|"1064519"|"TIGER GLOBAL CLASS C SERIES 1A FUND"|"END-OF-YEAR MARKET VALUE"
"01-0263908"|"SKOWHEGAN SCHOOL OF PAINTING AND SCULPTURE, INC"|"115422"|"1064519"|"STEELHEAD PATHFINDER FUND"|"END-OF-YEAR MARKET VALUE"
"01-6169936"|"THE WELCH FUND FOR HARVARD"|"115423"|"1064527"|"INVESTMENT IN ENTREPRENEURIAL FUND LTD"|"COST"
"01-0196359"|"THE IRIS NETWORK"|"115547"|"1065623"|"MAINE COMMUNITY FOUNDATION"|"F"
"01-0196359"|"THE IRIS NETWORK"|"115548"|"1065623"|"CASH AND CASH EQUIVALENTS"|"C"
"01-0499734"|"UNITED SOCCER FEDERATION OF MAINE"|"115553"|"1065659"|"COMMONWEALTH FINANCIAL NETWORK"|"F"
"01-0555559"|"ECS MINISTRIES"|"115554"|"1065668"|"MONEY MARKET FUNDS"|"F"
"01-0555559"|"ECS MINISTRIES"|"115555"|"1065668"|"CERTIFICATE OF DEPOSIT"|"F"
"01-0555559"|"ECS MINISTRIES"|"115556"|"1065668"|"COMMON STOCK"|"F"
"01-0555559"|"ECS MINISTRIES"|"115557"|"1065668"|"MUTUAL FUNDS"|"F"
"01-0568739"|"Korean American Foundation - Greater Washington"|"115558"|"1065671"|"Certificate of Deposit"|"End-of-Year Market Value"
"02-0173352"|"CONSTRUCTION AND GENERAL LABORERS' UNION LOCAL 976"|"117227"|"1078612"|"VARIOUS INVESTMENTS AT UBS FINANCIAL"|"End-of-Year Market Value"
"02-0229869"|"DUBLIN SCHOOL INC"|"117232"|"1078614"|"EQUITY INVESTMENTS"|"F"
"02-0229869"|"DUBLIN SCHOOL INC"|"117233"|"1078614"|"MUTUAL FUNDS"|"F"
"01-0355980"|"THE LANDING SCHOOL OF BOATBUILDING AND DESIGN"|"117436"|"1079895"|"US TREASURY NOTES & INDEXED STOCK FUNDS"|"F"
"01-0520094"|"GEORGE & RAYMOND FRANK FOUNDATION"|"117677"|"1081058"|"closely-held equity interests"|"C"
"01-6047288"|"MOUNT DESERT NURSERY SCHOOL"|"117678"|"1081060"|"MORGAN STANLEY"|"C"
"01-6004776"|"COUNCIL OF INDEPENDENT COLLEGES"|"118196"|"1086045"|"Closely-held equity interests"|"F"
"02-0223321"|"COTTAGE HOSPITAL"|"118714"|"1089887"|"CASH & EQUIVALENTS"|"F"
"02-0223321"|"COTTAGE HOSPITAL"|"118715"|"1089887"|"CERTIFICATE OF DEPOSIT"|"F"
"02-0223321"|"COTTAGE HOSPITAL"|"118716"|"1089887"|"FUNDS HELD IN TRUST BY OTHERS"|"F"
"02-0223321"|"COTTAGE HOSPITAL"|"118717"|"1089887"|"RETIREMENT & DSOP PLAN"|"F"
"01-0717030"|"PORTAGE BAY INSURANCE"|"119083"|"1091844"|"INTERCOMPANY LOAN TO PARENT"|"C"
"01-0722629"|"MARIE A MANSBACH MEMORIAL STUDENT MOTIVATION PROGRAM"|"119084"|"1091845"|"MAIN POOL PORTFOLIO"|"F"
"01-0976638"|"COLORADO ASSOCIATION OF COMMUNITY CENTERS BOARDS"|"119085"|"1091851"|"CERTIFICATE OF DEPOSIT"|"END-OF-YEAR MARKET VALUE"
"01-0702442"|"NC IDEA"|"119649"|"1095255"|"IDEA FUND I LP"|"F"
"01-0702442"|"NC IDEA"|"119650"|"1095255"|"TRIUMPHANT,INC"|"F"
"01-0702442"|"NC IDEA"|"119651"|"1095255"|"SOUTHEAST TECHINVENTURES, INC"|"F"
"01-0702442"|"NC IDEA"|"119652"|"1095255"|"JOYSTICK LABS"|"F"
"01-0702442"|"NC IDEA"|"119653"|"1095255"|"SOUTHEAST TECHNOLOGY FUND II"|"F"
"01-0702442"|"NC IDEA"|"119654"|"1095255"|"SOUTHEAST TECHNOLOGY FUND III"|"F"
"01-0702442"|"NC IDEA"|"119655"|"1095255"|"PIEDMONT VENTURE PTRSHP,LP I"|"F"
"01-0702442"|"NC IDEA"|"119656"|"1095255"|"PIEDMONT VENTURE PTRSHP,LP II"|"F"
"01-0702442"|"NC IDEA"|"119657"|"1095255"|"FORESTER PARTNERS, LP"|"F"
"01-0702442"|"NC IDEA"|"119658"|"1095255"|"CHAMPION VENTURES"|"F"
"01-0702442"|"NC IDEA"|"119659"|"1095255"|"TIFF MAF"|"F"
"01-0702442"|"NC IDEA"|"119660"|"1095255"|"MCNC ENTERPRISE FUND LP"|"F"
"01-0702442"|"NC IDEA"|"119661"|"1095255"|"KEYSTONE FUND"|"C"
"01-0342356"|"Western Maine Transportation Services, Inc"|"120188"|"1098317"|"Financial derivatives"|""
"01-0342356"|"Western Maine Transportation Services, Inc"|"120189"|"1098317"|"Closely-held equity interests"|""
"01-0342356"|"Western Maine Transportation Services, Inc"|"120190"|"1098317"|"Other"|""
"01-0665300"|"BARTRAM TRAIL CDC INC"|"120469"|"1100110"|"BOND ISSUE COST"|"C"
"02-0243160"|"GIRL SCOUTS OF THE GREEN AND WHITE MOUNTAINS"|"120470"|"1100123"|"MONEY MARKET FUNDS"|"END-OF-YEAR MARKET VALUE"
"02-0243160"|"GIRL SCOUTS OF THE GREEN AND WHITE MOUNTAINS"|"120471"|"1100123"|"US TREASURY OBLIGATIONS"|"END-OF-YEAR MARKET VALUE"
"02-0243160"|"GIRL SCOUTS OF THE GREEN AND WHITE MOUNTAINS"|"120472"|"1100123"|"US GOVERNMENT AGENCIES"|"END-OF-YEAR MARKET VALUE"
"02-0243160"|"GIRL SCOUTS OF THE GREEN AND WHITE MOUNTAINS"|"120473"|"1100123"|"CORPORATE AND FOREIGN BONDS"|"END-OF-YEAR MARKET VALUE"
"02-0243160"|"GIRL SCOUTS OF THE GREEN AND WHITE MOUNTAINS"|"120474"|"1100123"|"MUNICIPAL OBLIGATIONS"|"END-OF-YEAR MARKET VALUE"
"01-0228262"|"Northeast Hearing & Speech Center Inc"|"121276"|"1104832"|"Publicly traded stocks, bonds, mutual funds"|"F"
"01-0247002"|"GEORGE STEVENS ACADEMY"|"121277"|"1104833"|"RAYMOND JAMES"|"F"
"01-0247002"|"GEORGE STEVENS ACADEMY"|"121278"|"1104833"|"CHARLES SCHWAB"|"F"
"01-0247002"|"GEORGE STEVENS ACADEMY"|"121279"|"1104833"|"BAR HARBOR BANK & TRUST"|"F"
"02-0214073"|"AMERICAN LEGION ROBERT G. DURGIN POST #6"|"121574"|"1106145"|"edward jones investment account"|"Cost"
"01-0211565"|"WAYNFLETE SCHOOL"|"121577"|"1106172"|"COMMON FUND"|"F"
"01-0211781"|"PRESIDENT AND TRUSTEES OF BATES COLLEGE"|"122051"|"1108440"|"Equity Securities and Funds"|"F"
"01-0211781"|"PRESIDENT AND TRUSTEES OF BATES COLLEGE"|"122052"|"1108440"|"Venture Capital and Private Equity Partnerships"|"F"
"01-0211781"|"PRESIDENT AND TRUSTEES OF BATES COLLEGE"|"122053"|"1108440"|"Hedge Funds"|"F"
"01-0211781"|"PRESIDENT AND TRUSTEES OF BATES COLLEGE"|"122054"|"1108440"|"Fixed Income Funds"|"F"
"01-0211781"|"PRESIDENT AND TRUSTEES OF BATES COLLEGE"|"122055"|"1108440"|"Real Estate, Commodity, and Other Funds"|"F"
"01-0223482"|"Millinocket Regional Hospital"|"122056"|"1108441"|"Investment in First Millnocket Regional Investment Corp"|"C"
"01-0223482"|"Millinocket Regional Hospital"|"122057"|"1108441"|"Investment in Katahdin Shared Services"|"C"
"01-0374597"|"YOUTH AND FAMILY OUTREACH"|"122302"|"1109791"|"STOCKS"|"F"
"01-0374597"|"YOUTH AND FAMILY OUTREACH"|"122303"|"1109791"|"MUTUAL FUNDS"|"F"
