"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"FED_CAMPAIGNS"|"MEMBERSHIP_DUES"|"FUNDRAISING"|"RELATED_ORGS"|"GOV_GRANTS"|"CONTRIB_OTHER"|"CONTRIB_NONCASH"|"CONTRIB_ALL"|"SERVICE_REVENUE"|"INCOME_INVESTMENT"|"INCOME_BONDS"|"ROYALTIES"|"RENTS_REAL"|"RENTS_PERSONAL"|"RENT_EXP_REAL"|"RENT_EXP_PERSONAL"|"RENT_INCOME_REAL"|"RENT_INCOME_PERSONAL"|"NET_RENTAL"|"GROSS_SECURITIES"|"GROSS_OTHER"|"COST_SECURITIES"|"COST_OTHER"|"GAIN_SECURITIES"|"GAIN_OTHER"|"NET_SALES"|"CONTRIBUTIONS"|"GROSS_SPECIAL"|"DIRECT_EXPENSES"|"NET_SPECIAL"|"GAMING_INCOME"|"GAMING_EXPENSES"|"GAMING_NET"|"GROSS_SALES"|"COST_GOODS"|"GROSS_PROFIT"|"REVENUE_OTHER"|"REVENUE_TOTAL"|"SERVICE_DESC_A"|"SERVICE_CODE_A"|"SERVICE_AMT_A"|"SERVICE_DESC_B"|"SERVICE_CODE_B"|"SERVICE_AMT_B"|"SERVICE_DESC_C"|"SERVICE_CODE_C"|"SERVICE_AMT_C"|"SERVICE_DESC_D"|"SERVICE_CODE_D"|"SERVICE_AMT_D"|"SERVICE_DESC_E"|"SERVICE_CODE_E"|"SERVICE_AMT_E"|"SERVICE_DESC_F"|"SERVICE_CODE_F"|"SERVICE_AMT_F"
"01-0736882"|"SPORTS GIFT, INC."|"806917"|""|""|""|""|""|"152910.0000"|"138416.0000"|"152910.0000"|""|"19.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"1325.0000"|"154254.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0493897"|"Sunrise County Economic Council"|"806919"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"448066.0000"|"129817.0000"|"0.0000"|"577883.0000"|"0.0000"|"6754.0000"|"0.0000"|"0.0000"|""|""|""|""|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"35282.0000"|"619919.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0501998"|"GREATER HOULTON CHRISTIAN ACA"|"806923"|""|""|"24632.0000"|""|""|"91147.0000"|"5665.0000"|"115779.0000"|"516480.0000"|"2039.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"24632.0000"|"95747.0000"|"41182.0000"|"54565.0000"|""|""|""|""|""|""|""|"688863.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0759127"|"SHREVEPORT SCOTTISH RITE FOUNDATION, INC"|"806925"|""|""|""|""|""|"35785.0000"|""|"35785.0000"|""|"51.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"35836.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0547297"|"THE NEW SCHOOL"|"806927"|""|""|""|""|""|"108729.0000"|"10150.0000"|"108729.0000"|"266832.0000"|"125.0000"|""|""|"260.0000"|""|""|""|"260.0000"|""|"260.0000"|""|""|""|""|""|""|""|""|"14916.0000"|"12478.0000"|"2438.0000"|""|""|""|"17538.0000"|"11100.0000"|"6438.0000"|"494.0000"|"385316.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0761875"|"LOS ANGELES PRESS CLUB"|"806929"|""|"25982.0000"|"2686.0000"|""|""|""|""|"28668.0000"|"178792.0000"|"5471.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"212931.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0558393"|"DREAMLAND PRESCHOOL, INC"|"806931"|""|""|""|""|""|"42597.0000"|""|"42597.0000"|"1223589.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"417.0000"|"1266603.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-6015752"|"ARUNDEL LODGE NO. 76, AF & AM"|"806937"|""|"11255.0000"|""|""|""|"9187.0000"|""|"20442.0000"|""|"25315.0000"|""|""|""|""|""|""|""|""|""|"29563.0000"|""|"29563.0000"|""|"0.0000"|""|"0.0000"|""|"9939.0000"|"8190.0000"|"1749.0000"|""|""|""|""|""|""|""|"47506.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0662680"|"TIFTON JUDICIAL CIRCUIT SHELTER INC"|"806938"|""|""|"77662.0000"|""|"431778.0000"|"67767.0000"|""|"577207.0000"|""|"156.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"77662.0000"|"0.0000"|"0.0000"|"0.0000"|""|""|""|""|""|""|""|"577363.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0701608"|"PARTNERSHIP ACADEMY"|"806939"|""|""|""|""|"3276238.0000"|"20000.0000"|""|"3296238.0000"|"208.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"28153.0000"|"3324599.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0719892"|"ALEXANDER HAMILTON HOME-SCHOOL ASSOCIATION"|"806941"|""|"2150.0000"|""|""|""|""|""|"2150.0000"|"10241.0000"|"5.0000"|"0.0000"|"0.0000"|""|""|""|""|""|""|"0.0000"|""|""|""|""|""|""|"0.0000"|""|"91349.0000"|"58413.0000"|"32936.0000"|"3310.0000"|"630.0000"|"2680.0000"|""|""|"0.0000"|"0.0000"|"48012.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0726348"|"SOUTHWEST WASHINGTON WORKFORCE DEVELOPMENT COUNCIL"|"806946"|""|""|""|""|"7631179.0000"|"9247.0000"|""|"7640426.0000"|""|"766.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"74673.0000"|"7715865.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0778179"|"The Brooklyn Montesson Ltd"|"806949"|""|""|""|""|"106238.0000"|"18992.0000"|""|"125230.0000"|"1921602.0000"|"1521.0000"|"0.0000"|"0.0000"|""|""|""|""|""|""|"0.0000"|""|""|""|"207458.0000"|""|"-207458.0000"|"-207458.0000"|""|""|""|"0.0000"|""|""|"0.0000"|""|""|"0.0000"|"11909.0000"|"1852804.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0819395"|"Patterson Park Public Charter School"|"806952"|""|""|""|""|"1211642.0000"|"42343.0000"|""|"1253985.0000"|"5515443.0000"|"10814.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"78013.0000"|"10823.0000"|"67190.0000"|""|""|""|""|""|""|""|"6847432.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0932846"|"GENESIS HEALTHCARE, INC."|"806956"|""|""|""|""|""|""|""|""|"5453798.0000"|""|""|""|"1765.0000"|""|""|""|"1765.0000"|""|"1765.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"64439.0000"|"5520002.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0951147"|"BUILDERS DEVELOPMENT CORPORATION"|"806960"|""|""|""|""|"61638.0000"|"75441.0000"|""|"137079.0000"|"672113.0000"|"0.0000"|"0.0000"|"0.0000"|""|""|""|""|""|""|"0.0000"|""|""|""|""|""|""|"0.0000"|""|""|""|"0.0000"|""|""|"0.0000"|""|""|"0.0000"|"812.0000"|"810004.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-6000785"|"'BANGOR PUBLIC LIBRARY"|"806966"|""|""|""|""|"1564536.0000"|"357233.0000"|"51889.0000"|"1921769.0000"|"37306.0000"|"355241.0000"|""|""|""|""|""|""|""|""|""|"13218932.0000"|""|"11806007.0000"|""|"1412925.0000"|""|"1412925.0000"|""|""|""|""|""|""|""|""|""|""|""|"3727241.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0388818"|"Maine Handicapped Skiing Sunday River Ski Resort"|"807377"|""|""|"305202.0000"|""|""|"218668.0000"|""|"523870.0000"|""|"14687.0000"|""|""|""|""|""|""|""|""|""|"62218.0000"|""|"65649.0000"|""|"-3431.0000"|""|"-3431.0000"|"305202.0000"|"25725.0000"|"37113.0000"|"-11388.0000"|""|""|""|""|""|""|""|"523738.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"02-0119917"|"DAVIGNON CLUB, INC."|"821193"|""|""|""|""|""|""|""|""|"11360.0000"|"292.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"50398.0000"|"34458.0000"|"15940.0000"|"447631.0000"|"189034.0000"|"258597.0000"|"220.0000"|"286409.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0461436"|"THE GENESIS FUND"|"807380"|"18981.0000"|""|""|""|"765000.0000"|"63410.0000"|""|"847391.0000"|"324800.0000"|"14749.0000"|""|""|"3900.0000"|""|""|""|"3900.0000"|""|"3900.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"1190840.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0477512"|"MAKE-A-WISH FOUNDATION OF MAINE"|"807384"|""|""|"55510.0000"|""|""|"990401.0000"|"121268.0000"|"1045911.0000"|""|"17399.0000"|""|""|""|""|""|""|""|""|""|"291527.0000"|""|"267103.0000"|""|"24424.0000"|""|"24424.0000"|"55510.0000"|"167796.0000"|"64704.0000"|"103092.0000"|""|""|""|""|""|""|"63272.0000"|"1254098.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0203708"|"AMERICAN LEGION POST 1"|"821186"|"0.0000"|"9360.0000"|"0.0000"|"1864.0000"|"0.0000"|"3463.0000"|"0.0000"|"14687.0000"|"3572.0000"|"43.0000"|""|""|"18002.0000"|""|""|""|""|""|"18002.0000"|""|"31497.0000"|""|"30197.0000"|""|"1300.0000"|"1300.0000"|""|"20.0000"|""|"20.0000"|"193297.0000"|"126649.0000"|"66648.0000"|"171491.0000"|"63518.0000"|"107973.0000"|"369.0000"|"212614.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0223014"|"Ocean Park Association"|"821187"|""|"55576.0000"|""|""|""|"206709.0000"|"0.0000"|"262285.0000"|"95954.0000"|"17352.0000"|""|""|"76772.0000"|""|"35780.0000"|""|"40992.0000"|""|"40992.0000"|"24994.0000"|"3006.0000"|"24647.0000"|"1000.0000"|"347.0000"|"2006.0000"|"2353.0000"|"0.0000"|"12044.0000"|"7416.0000"|"4628.0000"|""|""|""|"8181.0000"|"5237.0000"|"2944.0000"|"9770.0000"|"436278.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0792511"|"HIGH WAY EDUCATION INC."|"821188"|""|""|""|""|""|"104386.0000"|""|"104386.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"104386.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0817613"|"WALKER MINISTRIES INC"|"821189"|""|""|""|""|""|"40435.0000"|""|"40435.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"40435.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0821110"|"Children of Abraham, Inc."|"821190"|"0.0000"|"0.0000"|"29818.0000"|"0.0000"|"0.0000"|"99926.0000"|"0.0000"|"118845.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-6011843"|"GREATER ANDROSCOGGIN HUMANE SOCIETY"|"806971"|""|""|""|""|"120259.0000"|"342272.0000"|""|"462531.0000"|"267124.0000"|"995.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"42719.0000"|"8526.0000"|"34193.0000"|""|""|""|""|""|""|"16279.0000"|"781122.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"02-0114695"|"CAMP TECUMSEH INC"|"806983"|""|""|""|""|""|"231190.0000"|"6450.0000"|"231190.0000"|"950233.0000"|"67258.0000"|""|""|""|""|""|""|""|""|""|""|""|""|"10072.0000"|""|"-10072.0000"|"-10072.0000"|""|""|""|""|""|""|""|"23274.0000"|""|"23274.0000"|"19507.0000"|"1281390.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0216655"|"ODD FELLOWS' AND REBEKAHS' HOME OF MAINE"|"807347"|""|""|"6991.0000"|"20913.0000"|""|"40161.0000"|""|"68065.0000"|"2863896.0000"|"50249.0000"|""|""|""|""|""|""|""|""|""|"899717.0000"|""|"911988.0000"|""|"-12271.0000"|""|"-12271.0000"|""|""|""|""|""|""|""|""|""|""|""|"2969939.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0216811"|"WATERVILLE LODGE #33 F & A M"|"807351"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"2589.0000"|"45008.0000"|"0.0000"|"0.0000"|""|""|""|""|"0.0000"|"0.0000"|"0.0000"|"254960.0000"|"0.0000"|"288241.0000"|"0.0000"|"-33281.0000"|"0.0000"|"-33281.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"14316.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0224898"|"Hebron Academy Incorporated"|"807355"|""|""|""|""|""|"2829990.0000"|"117569.0000"|"2829990.0000"|"10340705.0000"|"303190.0000"|""|""|"105105.0000"|""|""|""|"105105.0000"|""|"105105.0000"|"1047524.0000"|"1025.0000"|"999298.0000"|""|"48226.0000"|"1025.0000"|"49251.0000"|""|""|""|""|""|""|""|""|""|""|""|"13628241.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0316041"|"Youth Altematives Ingraham"|"807359"|"1524825.0000"|""|""|""|"4563436.0000"|"976664.0000"|"108705.0000"|"7064925.0000"|"10574364.0000"|"55017.0000"|""|""|"411671.0000"|""|"463798.0000"|""|"-52127.0000"|""|"-52127.0000"|""|""|""|""|""|""|""|""|"101423.0000"|"25603.0000"|"75820.0000"|""|""|""|""|""|""|""|"17717999.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0357314"|"MERCY ENDOWMENT FOUNDATION"|"807363"|""|""|""|""|""|""|""|""|""|"211212.0000"|""|""|""|""|""|""|""|""|""|"2208122.0000"|""|"2026861.0000"|""|"181261.0000"|""|"181261.0000"|""|""|""|""|""|""|""|""|""|""|""|"392473.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0366057"|"Maine Rural Water Association"|"807367"|""|""|""|""|"1000906.0000"|""|""|"1000906.0000"|"465034.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"1465940.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0378758"|"Maine College of Art"|"807372"|""|""|""|""|"272846.0000"|"455206.0000"|"356080.0000"|"728052.0000"|"11948629.0000"|"97128.0000"|"0.0000"|"0.0000"|""|""|""|""|""|""|"0.0000"|"676596.0000"|""|"631632.0000"|""|"44964.0000"|""|"44964.0000"|""|"147069.0000"|"34395.0000"|"112674.0000"|""|""|"0.0000"|""|""|"0.0000"|"62870.0000"|"12994317.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0518745"|"MAINE MANUFACTURING EXTENSION PARTNERSHIP"|"807388"|""|""|""|""|"1813123.0000"|""|""|"1813123.0000"|"882752.0000"|"229.0000"|""|""|""|""|""|""|""|""|""|""|"275.0000"|""|""|""|"275.0000"|"275.0000"|""|""|""|""|""|""|""|""|""|""|""|"2696379.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0530420"|"Jewish Community Alliance of Southern Maine"|"807389"|"450510.0000"|""|""|""|""|"66933.0000"|"53355.0000"|"517443.0000"|"893477.0000"|"25467.0000"|""|""|""|""|""|""|""|""|""|"268621.0000"|""|"251957.0000"|""|"16664.0000"|""|"16664.0000"|""|"21180.0000"|"13342.0000"|"7838.0000"|""|""|""|""|""|""|"118960.0000"|"1579849.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0558388"|"Link A Community Assessment & Resource Center"|"807399"|""|""|""|""|"201362.0000"|""|""|"201362.0000"|"479932.0000"|"6958.0000"|"0.0000"|"0.0000"|""|""|""|""|""|""|"0.0000"|""|""|""|""|""|""|"0.0000"|""|""|""|"0.0000"|""|""|"0.0000"|""|""|"0.0000"|"0.0000"|"688252.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0564286"|"DAYTON LEARNING CENTER"|"807403"|""|""|""|""|""|""|""|""|"330346.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"330346.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0628536"|"ARROW CHILD AND FAMILY MINISTRIES"|"807408"|""|""|"48085.0000"|""|""|"734784.0000"|""|"782869.0000"|"2721809.0000"|"184.0000"|""|"2054.0000"|"215534.0000"|""|""|""|"215534.0000"|""|"215534.0000"|""|""|""|""|""|""|""|"48085.0000"|"0.0000"|"68703.0000"|"-68703.0000"|""|""|""|""|""|""|""|"3653747.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0660264"|"TEAM ACADEMY CHARTER SCHOOL"|"807413"|""|""|""|""|"25212946.0000"|"831251.0000"|""|"26044197.0000"|"86813.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"26131010.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0735866"|"Thorndale Economic Development Corporation"|"807416"|""|""|""|""|"18073.0000"|""|""|"18073.0000"|""|"748.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"18821.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0935534"|"THE ACADEMY OF ALAMEDA"|"807421"|""|""|""|""|"4195399.0000"|"63793.0000"|""|"4259192.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"4259192.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-6009240"|"UNITED MID-COAST CHARITIES, INC"|"807427"|""|""|""|""|""|"313825.0000"|"49167.0000"|"313825.0000"|""|"47002.0000"|""|""|""|""|""|""|""|""|""|"744151.0000"|""|"696251.0000"|""|"47900.0000"|""|"47900.0000"|""|"53303.0000"|"27043.0000"|"26260.0000"|""|""|""|""|""|""|"2.0000"|"434989.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0215213"|"BOWDOIN COLLEGE"|"821347"|""|""|""|""|"3232000.0000"|"25311000.0000"|"1863000.0000"|"28543000.0000"|"99633000.0000"|"7809000.0000"|"0.0000"|"0.0000"|""|""|""|""|""|""|""|"399740000.0000"|"26000.0000"|"354617000.0000"|"153000.0000"|"45123000.0000"|""|"44996000.0000"|""|""|""|"0.0000"|""|""|"0.0000"|""|""|"0.0000"|"0.0000"|"180981000.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0280723"|"York-Cumberland Assoc for Handicapped Persons"|"824301"|""|""|""|""|""|"63823.0000"|""|"63823.0000"|"10973357.0000"|"67744.0000"|"0.0000"|"0.0000"|""|""|""|""|""|""|"0.0000"|""|""|""|""|""|""|"0.0000"|""|""|""|"0.0000"|""|""|"0.0000"|"1114114.0000"|"937209.0000"|"176905.0000"|"14488.0000"|"11296317.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0351334"|"Yarmouth Histoncal Society"|"824302"|""|""|"30348.0000"|""|""|"38542.0000"|""|"68890.0000"|"21865.0000"|"59745.0000"|""|""|""|""|""|""|""|""|""|"156932.0000"|""|"143706.0000"|""|"13226.0000"|""|"13226.0000"|"30348.0000"|"0.0000"|"0.0000"|"0.0000"|""|""|""|""|""|""|"4131.0000"|"167857.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0535770"|"ORONO ECONOMIC DEVELOPMENT CORP"|"824303"|""|""|""|""|""|""|""|""|"551824.0000"|"5452.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"557276.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0539222"|"MaineStream Finance"|"824304"|""|""|""|"5250.0000"|"238242.0000"|"37393.0000"|"8678.0000"|"280885.0000"|"170641.0000"|"1715.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"453241.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0603628"|"LEARNINGSPRING SCHOOL"|"824307"|""|""|"268158.0000"|""|""|"1249853.0000"|"883472.0000"|"1518011.0000"|"3774440.0000"|"59319.0000"|""|""|""|""|""|""|""|""|""|"517927.0000"|""|"515287.0000"|""|"2640.0000"|""|"2640.0000"|"268158.0000"|"58993.0000"|"79233.0000"|"-20240.0000"|""|""|""|""|""|""|""|"5334170.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0679337"|"SAN FRANCISCO FOUNDATION"|"824308"|""|""|""|""|""|"56150797.0000"|"33084744.0000"|"56150797.0000"|""|"7270866.0000"|""|"788.0000"|"134160.0000"|""|"44409.0000"|""|"89751.0000"|""|"89751.0000"|"342253648.0000"|"844032.0000"|"298111818.0000"|"1379032.0000"|"44141830.0000"|"-535000.0000"|"43606830.0000"|""|""|""|""|""|""|""|""|""|""|"202284.0000"|"107321316.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0319802"|"Spurwink Services Inc"|"821349"|""|""|"207024.0000"|""|"3052915.0000"|"652147.0000"|"392590.0000"|"3912086.0000"|"48438429.0000"|"83642.0000"|""|""|""|""|""|""|""|""|""|""|"6334.0000"|"98103.0000"|"4351.0000"|"-98103.0000"|"1983.0000"|"-96120.0000"|"207024.0000"|"31338.0000"|"56333.0000"|"-24995.0000"|""|""|""|""|""|""|"822962.0000"|"53136004.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0350707"|"PORTLAND OVATIONS"|"821351"|""|""|"14602.0000"|""|""|"458028.0000"|"17257.0000"|"472630.0000"|"1190740.0000"|"15530.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"14602.0000"|"26638.0000"|"9503.0000"|"17135.0000"|""|""|""|""|""|""|"87846.0000"|"1783881.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0857922"|"Clock Tower Place Funding Company"|"823261"|""|""|""|""|""|""|""|""|"5311511.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"5311511.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0790428"|"ST JOSEPH HEALTH SYSTEM FOUNDATION"|"823311"|""|""|""|"39414.0000"|""|"1029762.0000"|""|"1069176.0000"|""|"17447.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"1086623.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0863627"|"CHICAGO VIRTUAL CHARTER SCHOOL"|"823313"|""|""|""|""|"4690705.0000"|""|""|"4690705.0000"|""|"1096.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"4691801.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0119375"|"MEGANTIC FISH AND GAME"|"824296"|""|"282400.0000"|""|""|""|"5400.0000"|""|"287800.0000"|"290841.0000"|"6150.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"584791.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0130427"|"BRIDGTON HOSPITAL"|"824297"|""|""|"13560.0000"|""|""|"166237.0000"|""|"179797.0000"|"48310331.0000"|"145605.0000"|"0.0000"|"0.0000"|"7790.0000"|""|"1179.0000"|""|"6611.0000"|""|"6611.0000"|"1380867.0000"|""|"1223513.0000"|""|"157354.0000"|""|"157354.0000"|"13560.0000"|"10680.0000"|"7405.0000"|"3275.0000"|""|""|"0.0000"|""|""|"0.0000"|"0.0000"|"48802973.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0145135"|"PROUTS NECK COUNTRY CLUB"|"824298"|""|""|""|""|""|""|""|"0.0000"|"1275007.0000"|"1647.0000"|"0.0000"|"0.0000"|""|"15453.0000"|""|"811.0000"|""|"14642.0000"|"14642.0000"|""|""|""|""|""|""|"0.0000"|""|""|""|"0.0000"|""|""|"0.0000"|""|""|"0.0000"|"12178.0000"|"1303474.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0212542"|"TRUSTEES OF SAINT JOSEPH'S COLLEGE SAINT JOSEPH'S COLLEGE OF MAINE"|"824299"|""|""|""|""|"2669850.0000"|"694982.0000"|"35000.0000"|"3364832.0000"|"42176499.0000"|"373783.0000"|""|""|""|""|""|""|""|""|""|"2751983.0000"|""|"2262733.0000"|"924735.0000"|"489250.0000"|"-924735.0000"|"-435485.0000"|""|""|""|""|""|""|""|""|""|""|"1232797.0000"|"46712426.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0215227"|"RUMFORD HOSPITAL"|"824300"|""|""|""|""|"9000.0000"|"137601.0000"|""|"146601.0000"|"39320253.0000"|"63042.0000"|"0.0000"|"0.0000"|"1125.0000"|""|"25993.0000"|""|"-24868.0000"|""|"-24868.0000"|"806857.0000"|""|"714383.0000"|""|"92474.0000"|""|"92474.0000"|""|""|""|"0.0000"|""|""|"0.0000"|""|""|"0.0000"|"-76251.0000"|"39521251.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
