"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"TOT_REV_CURRENT"|"DISCONTINUED_OPS_CBX"|"TOT_VOLUNTEERS"|"TOT_UBR"|"NET_UBR_990T"|"CONTRIB_ALL_PRIOR"|"SERVICE_REVENUE_PRIOR"|"INCOME_INVESTMENT_PRIOR"|"REVENUE_OTHER_PRIOR"|"TOT_REV_PRIOR"|"GRANTS_PRIOR"|"BENEFITS_TOTAL_PRIOR"|"COMP_BENEFITS_PRIOR"|"FUNDRAISING_TOTAL_PRIOR"|"OTHER_EXPENSES_PRIOR"|"EXPENSES_TOTAL_PRIOR"|"REV_EXP_PRIOR"
"01-0358152"|"SOUL'S HARBOR, INC."|"1155509"|"346936.0000"|""|"60"|"0.0000"|"0.0000"|"295685.0000"|""|""|""|"295685.0000"|""|""|"172770.0000"|""|"139516.0000"|"312286.0000"|"-16601.0000"
"01-0355563"|"Maine Development Foundation"|"1145262"|"1562112.0000"|""|"150"|"0.0000"|"0.0000"|"1157814.0000"|"313902.0000"|"1406.0000"|"0.0000"|"1473122.0000"|"0.0000"|"0.0000"|"735733.0000"|"0.0000"|"753073.0000"|"1488806.0000"|"-15684.0000"
"01-0724516"|"ORGANIZACION DE IGUALDAD DE DERECHOS"|"1161786"|"47754.0000"|""|"45"|"0.0000"|""|"62828.0000"|""|""|""|"62828.0000"|""|""|""|""|"64262.0000"|"64262.0000"|"-1434.0000"
"01-0847951"|"MOORPARK SAINTS PYFL"|"1161790"|"43988.0000"|""|"0"|"0.0000"|"0.0000"|"32582.0000"|""|""|""|"32582.0000"|""|""|""|""|"34625.0000"|"34625.0000"|"-2043.0000"
"01-0881719"|"Fisher House in St Louis"|"1161793"|"210041.0000"|""|""|"0.0000"|""|"239601.0000"|""|"846.0000"|""|"240447.0000"|"14545.0000"|""|""|""|"7440.0000"|"21985.0000"|"218462.0000"
"01-6015752"|"ARUNDEL LODGE NO 76 AF & AM"|"1161797"|"55373.0000"|""|"0"|"0.0000"|"0.0000"|"20442.0000"|"0.0000"|"25315.0000"|"1749.0000"|"47506.0000"|"0.0000"|"0.0000"|"2750.0000"|"0.0000"|"40022.0000"|"42772.0000"|"4734.0000"
"02-0221111"|"ASSOCIATED GENERAL CONTRACTORS OF NH"|"1161807"|"359478.0000"|""|"0"|"50833.0000"|"-2294.0000"|"0.0000"|"243910.0000"|"22898.0000"|"43806.0000"|"310614.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"310614.0000"
"01-0124841"|"MT PLEASANT CEMETERY CORPORATION"|"1161757"|"68549.0000"|""|"10"|"0.0000"|""|"8777.0000"|"16474.0000"|"28108.0000"|""|"53359.0000"|"25.0000"|""|"43699.0000"|""|"21482.0000"|"65206.0000"|"-11847.0000"
"01-0212602"|"Blue Hill Public Library"|"1161759"|"460669.0000"|""|"17"|"0.0000"|""|"313163.0000"|"19856.0000"|"100954.0000"|"19403.0000"|"453376.0000"|""|""|"266336.0000"|""|"237361.0000"|"503697.0000"|"-50321.0000"
"01-0282853"|"BANGOR HISTORICAL SOCIETY"|"1161761"|"111045.0000"|""|"12"|"0.0000"|""|"124645.0000"|"4117.0000"|"318933.0000"|""|"447695.0000"|""|""|"70765.0000"|""|"79036.0000"|"149801.0000"|"297894.0000"
"01-0340560"|"Yarmouth Senior Housing Inc."|"1161766"|"207094.0000"|""|"2"|"0.0000"|"0.0000"|"171499.0000"|"153385.0000"|"-1527.0000"|"1368.0000"|"324725.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"176299.0000"|"176299.0000"|"148426.0000"
"01-0390410"|"MAINE SELF-INSURANCE GUARANTEE ASSOCIATION"|"1161767"|"58879.0000"|""|""|"0.0000"|""|""|"37205.0000"|"44085.0000"|""|"81290.0000"|""|""|""|""|"60172.0000"|"60172.0000"|"21118.0000"
"01-0440342"|"BETHEL AREA CHAMBER OF COMMERCE"|"1161768"|"299872.0000"|""|"140"|"0.0000"|"0.0000"|""|"320552.0000"|"257.0000"|""|"320809.0000"|""|""|"146845.0000"|""|"166103.0000"|"312948.0000"|"7861.0000"
"01-0516517"|"Senior Needs Committee of Wells and Ogunquit"|"1161771"|"145891.0000"|""|"12"|"0.0000"|""|"42965.0000"|"29635.0000"|"2620.0000"|"54215.0000"|"129435.0000"|""|""|"29138.0000"|""|"112425.0000"|"141563.0000"|"-12128.0000"
"01-0633329"|"Cambridge Valley Community Development Preservation Partnership Inc"|"1161779"|"51557.0000"|""|"15"|"0.0000"|"0.0000"|"115987.0000"|"4004.0000"|"0.0000"|"13608.0000"|"133599.0000"|"55745.0000"|"0.0000"|"0.0000"|"0.0000"|"86601.0000"|"142346.0000"|"-8747.0000"
"01-0632431"|"CENTER FOR EDUCATION IN LAW AND DEMOCRACY"|"1170913"|"142614.0000"|""|""|"0.0000"|"0.0000"|"206930.0000"|"34128.0000"|"639.0000"|""|"241697.0000"|""|""|"77383.0000"|""|"183269.0000"|"260652.0000"|"-18955.0000"
"01-0673538"|"AMERICAN FRIENDS OF YESHIVAT LEV HATORAH"|"1170914"|"224177.0000"|""|"0"|"0.0000"|"0.0000"|"267071.0000"|"0.0000"|"109.0000"|"0.0000"|"267180.0000"|"202200.0000"|"0.0000"|"0.0000"|"0.0000"|"25810.0000"|"228010.0000"|"39170.0000"
"01-0756138"|"FIVE ACRES ANIMAL SHELTER"|"1170920"|"754700.0000"|""|"57"|"0.0000"|""|"826861.0000"|"82668.0000"|"-6842.0000"|"1063.0000"|"903750.0000"|""|""|"196702.0000"|""|"241742.0000"|"438444.0000"|"465306.0000"
"02-0164055"|"MASONIC BUILDING ASSOCIATION"|"1170935"|"185217.0000"|""|"0"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"578.0000"|"191995.0000"|"192573.0000"|"0.0000"|"0.0000"|"12833.0000"|"0.0000"|"171656.0000"|"184489.0000"|"8084.0000"
"01-0135937"|"LE PASSE-TEMPS INC"|"1170881"|"281387.0000"|""|""|"2012.0000"|"1012.0000"|"12938.0000"|""|"1728.0000"|"261716.0000"|"276382.0000"|"21725.0000"|"49852.0000"|"62082.0000"|""|"161287.0000"|"294946.0000"|"-18564.0000"
"01-0224532"|"FRIEND MEMORIAL PUBLIC LIBRARY"|"1170884"|"125574.0000"|""|"0"|"0.0000"|"0.0000"|"77736.0000"|"1318.0000"|"23889.0000"|"16442.0000"|"119385.0000"|"0.0000"|"0.0000"|"66028.0000"|"0.0000"|"46374.0000"|"112402.0000"|"6983.0000"
"01-0503294"|"MCKEEN STREET LEARNING CENTER"|"1170898"|"338922.0000"|""|"8"|"0.0000"|"0.0000"|"0.0000"|"289710.0000"|"46.0000"|"0.0000"|"289756.0000"|"0.0000"|"0.0000"|"173017.0000"|"0.0000"|"93518.0000"|"266535.0000"|"23221.0000"
"01-0571372"|"Gandhi Memorial Trust Fund N.F P"|"1170908"|"37.0000"|""|""|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"40.0000"|"0.0000"|"40.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"871.0000"|"871.0000"|"-831.0000"
"01-0596752"|"WORLD MISSIONS ADVANCE"|"1170911"|"279585.0000"|""|""|"0.0000"|""|"240626.0000"|""|"302.0000"|"-217.0000"|"240711.0000"|"165589.0000"|""|"43786.0000"|""|"27339.0000"|"236714.0000"|"3997.0000"
"01-0342874"|"MERTON IRA STAPLES AMVETS POST 1"|"1181831"|"169836.0000"|""|"5"|"0.0000"|""|"2054.0000"|""|"38.0000"|"185197.0000"|"187289.0000"|""|""|"50386.0000"|""|"104561.0000"|"154947.0000"|"32342.0000"
"01-0359948"|"HIRUNDO WILDLIFE TRUST"|"1168390"|"69904.0000"|""|"129"|"0.0000"|"0.0000"|"6189.0000"|"218.0000"|"36782.0000"|"0.0000"|"43189.0000"|"0.0000"|"0.0000"|"59263.0000"|"0.0000"|"39265.0000"|"98528.0000"|"-55339.0000"
"01-6016305"|"EPHRIAN H JOHNSON POST #9 AMERICAN LEGION"|"1168399"|"232722.0000"|""|"2"|"0.0000"|"0.0000"|"4950.0000"|"264108.0000"|"230.0000"|"0.0000"|"269288.0000"|"0.0000"|"0.0000"|"51098.0000"|"0.0000"|"152847.0000"|"203945.0000"|"65343.0000"
"01-6023519"|"BAY CHAMBER CONCERTS INC"|"1169637"|"1005391.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-6274657"|"NEW YORK UNIVERSITY VEBA TRUST"|"1169638"|"9049670.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0146437"|"COAST LINE CREDIT UNION"|"1181822"|"1862843.0000"|""|"0"|"11373.0000"|"0.0000"|"0.0000"|"2021283.0000"|"0.0000"|"11783.0000"|"2033066.0000"|"0.0000"|"0.0000"|"475935.0000"|"0.0000"|"1119119.0000"|"1595054.0000"|"438012.0000"
"01-0211564"|"UNITED WAY OF ANDROSCOGGIN COUNTY INC"|"1181823"|"1482421.0000"|""|"0"|"0.0000"|"0.0000"|"1594642.0000"|"839.0000"|"7007.0000"|"25435.0000"|"1627923.0000"|"1161540.0000"|"0.0000"|"356570.0000"|"0.0000"|"152130.0000"|"1670240.0000"|"-42317.0000"
"01-0211813"|"PENOBSCOT BAY YMCA"|"1181825"|"3191543.0000"|""|"200"|"0.0000"|""|"665966.0000"|"2025413.0000"|"16582.0000"|"260659.0000"|"2968620.0000"|""|""|"1975257.0000"|""|"1274306.0000"|"3249563.0000"|"-280943.0000"
"01-0418917"|"PREBLE STREET"|"1188073"|"11475446.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0477512"|"MAKE-A-WISH FOUNDATION OF MAINE"|"1188076"|"1301464.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0679337"|"SAN FRANCISCO FOUNDATION"|"1188078"|"95462657.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0932846"|"GENESIS HEALTHCARE INC"|"1188082"|"9777948.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0461120"|"Maine Pretnal Services"|"1192049"|"2525679.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0216655"|"ODD FELLOWS' AND REBEKAHS' HOME OF MAINE"|"1179751"|"3033434.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0280723"|"York-Cumberland Assoc for Handicapped Persons"|"1179753"|"11333722.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0526734"|"OPERA HOUSE ARTS"|"1179756"|"840258.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0778179"|"The Brooklyn Montesson Ltd"|"1179758"|"1984500.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-6006058"|"PORTLAND MAINE SYMPHONY ORCHESTRA"|"1179761"|"3240567.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"02-0110580"|"Blue Mountain Forest Association"|"1179762"|"1112005.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0540911"|"JANUS SUPPORTIVE LIVING SERVICES INC"|"1189913"|"1177980.0000"|""|""|"0.0000"|""|"7707.0000"|"1203504.0000"|"4837.0000"|""|"1216048.0000"|""|""|"602450.0000"|""|"513201.0000"|"1115651.0000"|"100397.0000"
"01-0647817"|"IGLESIA PENTPODER DESDE LO ALTO INC"|"1189916"|"88619.0000"|""|"55"|"0.0000"|"0.0000"|"88619.0000"|""|""|""|"88619.0000"|""|"29864.0000"|""|""|"66434.0000"|"96298.0000"|"-7679.0000"
"01-0215213"|"BOWDOIN COLLEGE"|"1192041"|"172008000.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0386913"|"CENTRAL MAINE HEALTHCARE CORPORATION"|"1192047"|"47926794.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0883506"|"NEW MEXICO YOUTH TENNIS FOUNDATION"|"1194213"|"156379.0000"|""|"50"|"0.0000"|"0.0000"|"116770.0000"|"25827.0000"|"96.0000"|"1405.0000"|"144098.0000"|"8316.0000"|""|"11700.0000"|""|"119273.0000"|"139289.0000"|"4809.0000"
"01-0684347"|"IN ARMS REACH INC."|"1194198"|"124267.0000"|""|"0"|"0.0000"|"0.0000"|"417986.0000"|""|""|""|"417986.0000"|""|""|"153960.0000"|""|"182085.0000"|"336045.0000"|"81941.0000"
"01-0688221"|"FILM CLIPS SPIRIT OF AMERICA"|"1194199"|"259819.0000"|""|"0"|"0.0000"|"0.0000"|""|""|"41.0000"|"352597.0000"|"352638.0000"|""|""|"195167.0000"|""|"141565.0000"|"336732.0000"|"15906.0000"
"01-0759974"|"THOUSAND ISLANDS EMERGENCY RESCUE SERVICE INC"|"1194206"|"538141.0000"|""|"25"|"0.0000"|""|"240099.0000"|"390596.0000"|"499.0000"|""|"631194.0000"|""|""|"343555.0000"|""|"257228.0000"|"600783.0000"|"30411.0000"
"01-6149025"|"THE MARK AND EMILY TURNER MEMORIAL LIBRARY CHARITABLE TRUST"|"1194225"|"303222.0000"|""|"0"|"0.0000"|"0.0000"|"5990.0000"|"0.0000"|"30870.0000"|"83.0000"|"36943.0000"|"142533.0000"|"0.0000"|"0.0000"|"0.0000"|"18351.0000"|"160884.0000"|"-123941.0000"
"02-0119913"|"CLUB CANADIAN INC"|"1194226"|"204962.0000"|""|""|"0.0000"|""|"9250.0000"|""|"2.0000"|"263164.0000"|"272416.0000"|"1100.0000"|"53206.0000"|"14793.0000"|""|"150785.0000"|"219884.0000"|"52532.0000"
"02-0144343"|"HAMPTON AREA CHAMBER OF COMMERCE"|"1194229"|"236019.0000"|""|"37"|"0.0000"|""|""|"88771.0000"|"1284.0000"|"175692.0000"|"265747.0000"|""|""|"178577.0000"|""|"88025.0000"|"266602.0000"|"-855.0000"
"02-0223334"|"WEBSTER HOUSE"|"1194233"|"1044721.0000"|""|"15"|"0.0000"|"0.0000"|"163514.0000"|"623898.0000"|"201623.0000"|"0.0000"|"989035.0000"|"6157.0000"|"0.0000"|"716848.0000"|"0.0000"|"240774.0000"|"963779.0000"|"25256.0000"
"01-0367056"|"MANCHESTER HOUSING FOR THE ELDERLY"|"1194179"|"187227.0000"|""|"0"|"0.0000"|"0.0000"|"138885.0000"|"48884.0000"|"229.0000"|"0.0000"|"187998.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"186439.0000"|"186439.0000"|"1559.0000"
"01-0369125"|"Maine Forest Products Council"|"1194180"|"613978.0000"|""|"40"|"1956.0000"|"497.0000"|"14472.0000"|"514606.0000"|"1745.0000"|"21147.0000"|"551970.0000"|"0.0000"|"0.0000"|"296556.0000"|"0.0000"|"274270.0000"|"570826.0000"|"-18856.0000"
"01-0862621"|"ST JOSEPH SHELTER"|"1194211"|"1129284.0000"|""|"169"|"0.0000"|""|"277126.0000"|"38110.0000"|"8137.0000"|""|"323373.0000"|""|""|"167359.0000"|""|"153426.0000"|"320785.0000"|"2588.0000"
"01-0565218"|"GLAMOURGALS FOUNDATION INC"|"1194191"|"268495.0000"|""|""|"0.0000"|""|"82672.0000"|"97883.0000"|"479.0000"|""|"181034.0000"|""|""|"113308.0000"|""|"49576.0000"|"162884.0000"|"18150.0000"
"01-0603034"|"Rural Health Collaborative of Southern Ohio"|"1194193"|"59583.0000"|""|"3"|"0.0000"|"0.0000"|""|"53556.0000"|"3306.0000"|"0.0000"|"56862.0000"|"5877.0000"|"0.0000"|"0.0000"|"0.0000"|"97470.0000"|"103347.0000"|"-46485.0000"
"01-0662412"|"WEST BARTOW FRONT PORCH REVITALIZATION COUNCIL"|"1194196"|"49586.0000"|""|"150"|"0.0000"|"0.0000"|"159677.0000"|""|""|""|"159677.0000"|"400.0000"|""|"25430.0000"|""|"142147.0000"|"167977.0000"|"-8300.0000"
"01-0165117"|"RETAIL ASSOCIATION OF MAINE f/kla MAINE MERCHANTS ASSOCIATION"|"1194168"|"270964.0000"|""|"0"|"72921.0000"|"-31504.0000"|"209540.0000"|"12081.0000"|"125.0000"|"69200.0000"|"290946.0000"|"0.0000"|"0.0000"|"128378.0000"|"0.0000"|"168115.0000"|"296493.0000"|"-5547.0000"
"01-0284115"|"THE MAIN IDEA INC"|"1194173"|"229909.0000"|""|"20"|"0.0000"|"0.0000"|"244123.0000"|"0.0000"|"-29533.0000"|"0.0000"|"214590.0000"|"0.0000"|"0.0000"|"54213.0000"|"0.0000"|"155229.0000"|"209442.0000"|"5148.0000"
"01-0484154"|"MAHC INC"|"1200801"|"26952.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-6024157"|"PEJEPSCOT HISTORICAL SOCIETY"|"1204117"|"295754.0000"|""|"11"|"0.0000"|"0.0000"|"39035.0000"|"15425.0000"|"-1059.0000"|"30351.0000"|"83752.0000"|"2270.0000"|"0.0000"|"31501.0000"|"0.0000"|"51901.0000"|"85672.0000"|"-1920.0000"
"01-6047645"|"GOOSE ROCKS BEACH FIRE COMPANY"|"1204118"|"57584.0000"|""|"28"|"0.0000"|"0.0000"|"43799.0000"|"0.0000"|"8734.0000"|"0.0000"|"52533.0000"|"9100.0000"|"0.0000"|"500.0000"|"0.0000"|"30157.0000"|"39757.0000"|"12776.0000"
"01-0564286"|"DAYTON LEARNING CENTER"|"1200809"|"258242.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-6011843"|"GREATER ANDROSCOGGIN HUMANE SOCIETY"|"1200819"|"882228.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0461075"|"MARIAN MOVEMENT OF PRIESTS"|"1204065"|"141583.0000"|""|""|"0.0000"|""|"192388.0000"|""|"2474.0000"|""|"194862.0000"|""|""|"51525.0000"|""|"154098.0000"|"205623.0000"|"-10761.0000"
"01-0505729"|"FRIENDS OF THE ST LAWRENCE CHURCH"|"1204070"|"182085.0000"|""|"10"|"0.0000"|"0.0000"|"92287.0000"|"75116.0000"|""|"6220.0000"|"173623.0000"|""|""|"121654.0000"|""|"95195.0000"|"216849.0000"|"-43226.0000"
"01-0523819"|"Mary's Walk"|"1204075"|"236422.0000"|""|"250"|"0.0000"|"0.0000"|"212489.0000"|""|"35.0000"|"-12294.0000"|"200230.0000"|"164590.0000"|""|""|""|"27028.0000"|"191618.0000"|"8612.0000"
"01-0569069"|"Colchester Football Booster Assoc"|"1204078"|"43349.0000"|""|"5"|"0.0000"|"0.0000"|""|"30039.0000"|""|"36227.0000"|"66266.0000"|"338.0000"|""|""|""|"65157.0000"|"65495.0000"|"771.0000"
"01-0584192"|"BRIGHT WORLD FOUNDATION"|"1204079"|"127000.0000"|""|"150"|"0.0000"|""|"163000.0000"|""|""|""|"163000.0000"|"156650.0000"|""|""|""|"4155.0000"|"160805.0000"|"2195.0000"
"01-0817065"|"STRATEGIC MARKETPLACE INITIATIV C/0 TERI GALLAGHER"|"1204108"|"1132166.0000"|""|"0"|"0.0000"|"0.0000"|"0.0000"|"1101252.0000"|"5483.0000"|"0.0000"|"1106735.0000"|"0.0000"|"0.0000"|"521567.0000"|"0.0000"|"427156.0000"|"948723.0000"|"158012.0000"
"01-0857922"|"Clock Tower Place Funding Company"|"1204110"|"1538700.0000"|""|"0"|"0.0000"|"0.0000"|"5311511.0000"|""|""|""|"5311511.0000"|""|""|""|""|"5311511.0000"|"5311511.0000"|"0.0000"
"01-0589514"|"GREEN POWER EMC"|"1204080"|"16868786.0000"|""|"0"|"0.0000"|"0.0000"|""|"11615280.0000"|""|"301299.0000"|"11916579.0000"|""|""|"46000.0000"|""|"11897235.0000"|"11943235.0000"|"-26656.0000"
"01-0595671"|"RESOURCE NY INC"|"1204081"|"21172.0000"|""|"0"|"0.0000"|"0.0000"|"27640.0000"|"0.0000"|"5.0000"|"22.0000"|"27667.0000"|"45.0000"|"0.0000"|"0.0000"|"0.0000"|"26724.0000"|"26769.0000"|"898.0000"
"01-0601585"|"OWEN HOUSE LTD"|"1204082"|"41084.0000"|""|""|"0.0000"|""|"32046.0000"|"19554.0000"|"121.0000"|""|"51721.0000"|""|""|""|""|"61177.0000"|"61177.0000"|"-9456.0000"
"01-0212542"|"TRUSTEES OF SAINT JOSEPH'S COLLEGE SAINT JOSEPH'S COLLEGE OF MAINE"|"1200791"|"49914648.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0221344"|"BRIDGTON ACADEMY"|"1200792"|"9265187.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0376014"|"WOMANCAREAEGIS ASSOCIATION"|"1200798"|"475911.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0455355"|"MID-COAST HABITAT FOR HUMANITY, INC."|"1200800"|"425710.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0774114"|"GOVERNMENT INVESTMENT OFFICERS ASSOCIATION"|"1204101"|"217850.0000"|""|"2"|"0.0000"|""|"161550.0000"|""|""|"37.0000"|"161587.0000"|""|""|"14447.0000"|""|"103193.0000"|"117640.0000"|"43947.0000"
"01-0779923"|"C & SANDRA S SULLIVAN FOUNDATION"|"1204105"|"133963.0000"|""|"0"|"0.0000"|"0.0000"|"4040.0000"|"0.0000"|"243562.0000"|"0.0000"|"247602.0000"|"175000.0000"|"0.0000"|"0.0000"|"0.0000"|"39931.0000"|"214931.0000"|"32671.0000"
"01-0796181"|"LITTLE LAMBS DAYCARE INC"|"1204107"|"456183.0000"|""|"10"|"0.0000"|"0.0000"|"25345.0000"|"404220.0000"|""|"120.0000"|"429685.0000"|""|""|"329938.0000"|""|"131204.0000"|"461142.0000"|"-31457.0000"
"01-0446468"|"Kennebec Estuary Land Trust"|"1213302"|"1207167.0000"|""|"58"|"0.0000"|"0.0000"|"674832.0000"|"0.0000"|"3114.0000"|"0.0000"|"677946.0000"|"0.0000"|"0.0000"|"155125.0000"|"0.0000"|"165193.0000"|"320318.0000"|"357628.0000"
"01-0261795"|"FIVE COUNTY CREDIT UNION"|"1224770"|"14344419.0000"|""|""|"415131.0000"|"-63635.0000"|""|"7634554.0000"|"1159750.0000"|"4246943.0000"|"13041247.0000"|""|""|"5579013.0000"|""|"7555577.0000"|"13134590.0000"|"-93343.0000"
"01-0562689"|"Triangle Lightning"|"1224773"|"41914.0000"|""|""|"0.0000"|""|"12997.0000"|"16053.0000"|""|"-1605.0000"|"27445.0000"|""|""|""|""|"36137.0000"|"36137.0000"|"-8692.0000"
"01-0628076"|"GIRLS ON THE RUN OF SILICON VALLEY INC"|"1224774"|"388160.0000"|""|"460"|"0.0000"|"0.0000"|"79753.0000"|"236221.0000"|"424.0000"|"0.0000"|"316398.0000"|"0.0000"|"0.0000"|"153265.0000"|"0.0000"|"149815.0000"|"303080.0000"|"13318.0000"
"01-0670794"|"Together Enhancing Autism Awareness in Mississippi"|"1224775"|"595244.0000"|""|"150"|"0.0000"|"0.0000"|"111343.0000"|"239724.0000"|"245.0000"|"0.0000"|"351312.0000"|"0.0000"|"0.0000"|"82013.0000"|"0.0000"|"172065.0000"|"254078.0000"|"97234.0000"
"02-0211990"|"AMERICAN LEGION CLUB WHITEMAN-DAVIDSON POST 49"|"1224781"|"173841.0000"|""|"25"|"0.0000"|"0.0000"|"27674.0000"|""|"17.0000"|"145507.0000"|"173198.0000"|"3966.0000"|""|"54365.0000"|""|"95244.0000"|"153575.0000"|"19623.0000"
"01-0871294"|"New Redeemed Bible Fellowship Inc"|"1213314"|"10273.0000"|""|""|"0.0000"|"0.0000"|""|""|""|""|""|""|""|""|""|""|""|""
"01-0370309"|"JOHN BAPST MEMORIAL HIGH SCHOOL"|"1215301"|"5806251.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0177170"|"WALDO COUNTY GENERAL HOSPITAL"|"1217810"|"77352905.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0375969"|"MAINE AQUACULTURE ASSOCIATION"|"1217813"|"302120.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0119375"|"MEGANTIC FISH AND GAME CO BERRY TALBOT ROYER"|"1133608"|"581682.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"02-0179953"|"GREATER PORTSMOUTH CHAMBER OF COMMERCE"|"1133612"|"752972.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0478709"|"Maine Island Trail Association"|"1134143"|"621489.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0563040"|"Servant's Heart Camp Ministries"|"1134739"|"162284.0000"|""|"75"|"0.0000"|"0.0000"|"121972.0000"|"34684.0000"|"0.0000"|"1898.0000"|"158554.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"89519.0000"|"89519.0000"|"69035.0000"
"01-0416755"|"MAINE CENTER ON DEAFNESS"|"1217815"|"728038.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0445163"|"Anson Madison Starks Ambulance"|"1217816"|"950789.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0660264"|"TEAM ACADEMY CHARTER SCHOOL INC"|"1217823"|"31383235.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0523156"|"PHILLIPS-STRICKLAND CHARITIES"|"1219896"|"245423.0000"|""|"0"|"0.0000"|"0.0000"|"23559.0000"|"0.0000"|"109794.0000"|"31738.0000"|"165091.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"500830.0000"|"500830.0000"|"-335739.0000"
"01-0717802"|"GLOBAL VISION CITADELLE MINISTRIES INC"|"1219901"|"571605.0000"|""|""|"0.0000"|""|"635753.0000"|""|""|""|"635753.0000"|"537583.0000"|""|"52947.0000"|""|"61407.0000"|"651937.0000"|"-16184.0000"
"01-0813672"|"ASIAN FESTIVAL CORP"|"1219904"|"302894.0000"|""|"250"|"0.0000"|""|"275824.0000"|""|"4373.0000"|""|"280197.0000"|""|""|""|""|"214377.0000"|"214377.0000"|"65820.0000"
"01-0211568"|"CUMBERLAND COUNTY YMCA"|"1221712"|"6743722.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0224898"|"Hebron Academy Incorporated"|"1221713"|"15908189.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0489978"|"SOUTHERN MAINE ECONOMIC DEVELOPMENT DISTRICT"|"1221720"|"237002.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0833578"|"ALLIANCE JUDY IVIE BURTON TECHNOLOGY ACADEMY HIGH SCHOOL"|"1221729"|"5548297.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"02-0222182"|"SAINT ANSELM COLLEGE"|"1221735"|"95519745.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0210495"|"American Legion Post 0015 Henry Pratt"|"1224768"|"79946.0000"|""|"0"|"0.0000"|"0.0000"|"5256.0000"|"3793.0000"|"78.0000"|"60256.0000"|"69383.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"73407.0000"|"73407.0000"|"-4024.0000"
"01-0484605"|"ALBION ASSOCIATES"|"1216573"|"213282.0000"|""|"0"|"0.0000"|"0.0000"|"146905.0000"|"48246.0000"|"53.0000"|"0.0000"|"195204.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"197775.0000"|"197775.0000"|"-2571.0000"
