"C_EIN"|"C_Org_Name"|"IND_GRANT_ID"|"XML_DOCUMENT_ID"|"IND_GRANT_TYPE"|"IND_NUM_RECIP"|"IND_CASH"|"IND_NON_CASH"|"IND_METHOD_VALUE"|"IND_DESCR_NON_CASH"
"01-6021559"|"Hyde School"|"35780"|"1437243"|"Financial Aid/Scholarships"|"66"|""|"1319485.0000"|"FMV"|"Financial Aid/Scholarships"
"01-6021559"|"Hyde School"|"35781"|"1437243"|"Tuition Remission"|"5"|""|"150900.0000"|"FMV"|"Tuition Remission"
"01-6021559"|"Hyde School"|"35782"|"1437243"|"Early Enrollment Discount"|"45"|""|"45000.0000"|"FMV"|"Early Enrollment Discount"
"01-6021559"|"Hyde School"|"35783"|"1437243"|"International Student Placement"|"17"|""|"91637.0000"|"FMV"|"International Student Placement"
"01-0223755"|"BERWICK ACADEMY"|"37188"|"1444583"|"FINANCIAL AID"|"275"|"3136740.0000"|""|""|"FINANCIAL ASSISTANCE TO STUDENTS IN THE FORM OF TUITION REDUCTION"
"01-0241767"|"United Way Inc"|"37189"|"1444585"|"Higgins Scholarships"|"6"|"14636.0000"|""|""|""
"01-0283794"|"Maine Health Care Association"|"37190"|"1444587"|"(1) Scholarship Awards"|"8"|"5500.0000"|"0.0000"|""|""
"01-0466768"|"American University in Bulgaria"|"37191"|"1444597"|"Scholarships"|"7"|"115000.0000"|""|""|""
"02-0243160"|"GIRL SCOUTS OF THE GREEN AND WHITE MOUNTAINS"|"37194"|"1444621"|"399 GIRLS WERE AWARDED FINANCIAL ASSISTANCE FOR THEM TO GO"|"1344"|"0.0000"|"108311.0000"|"FMV"|"FINANCIAL ASSISTANCE AWARDED TO GIRLS AS A DISCOUNT ON THEIR CAMP FEES AND MEMBERSHIP DUES."
"01-0271210"|"Husson University"|"38801"|"1449794"|"(1) Financial aid"|"2595"|""|"7064522.0000"|"FMV of tuition"|"Scholarship aid"
"01-0530420"|"Jewish Community Alliance Southern Maine"|"38802"|"1449801"|"(1) Camperships"|"12"|"7705.0000"|""|""|""
"01-0530420"|"Jewish Community Alliance Southern Maine"|"38803"|"1449801"|"(2) Pre-school scholarship"|"4"|"4325.0000"|""|""|""
"01-0530420"|"Jewish Community Alliance Southern Maine"|"38804"|"1449801"|"(3) Melton School Scholarships"|"17"|"5286.0000"|""|""|""
"01-0211532"|"KENTS HILL SCHOOL"|"40315"|"1454551"|"STUDENT FINANCIAL AID"|"100"|"1841000.0000"|""|""|"SCHOLARSHIPS"
"01-0211565"|"WAYNFLETE SCHOOL"|"40316"|"1454554"|"FINANCIAL AID"|"104"|""|"3335297.0000"|""|"FINANCIAL AID"
"01-0348849"|"MAPS"|"40317"|"1454560"|"FOOD, SHELTER, CLOTHING"|"109"|""|"93790.0000"|"COST"|"SUPPLIES"
"01-0493614"|"PINE ISLAND CAMP, INC."|"43127"|"1463614"|"1 SCHOLARSHIP"|"7"|"29400.0000"|""|""|""
"01-0212438"|"Maine Central Institute"|"45349"|"1475002"|"Scholarship Awards"|"7"|"41375.0000"|""|""|""
"01-0212438"|"Maine Central Institute"|"45350"|"1475002"|"(2) Financial Aid"|"36"|""|"682151.0000"|"FMV"|"Discounted tuition"
"01-0561825"|"Abingdon feeder cattle Association"|"45564"|"1475937"|"Efficiency Improvement Grants"|"95"|"249744.0000"|""|""|""
"01-6007236"|"ST. ANDREWS FREE BED FUND"|"46102"|"1481492"|"HOSPITAL MEDICAL EXPENSES"|"38"|"27779.0000"|"0.0000"|""|""
"01-6047645"|"GOOSE ROCKS BEACH FIRE COMPANY"|"46623"|"1485338"|"SCHOLARSHIPS"|"7"|"10500.0000"|""|""|""
"01-0378758"|"Maine College of Art"|"47005"|"1489826"|"SPECIFIC ASSISTANCE -SEOG"|"156"|"117681.0000"|""|""|""
"01-0378758"|"Maine College of Art"|"47006"|"1489826"|"GRANTS AND ALLOCATIONS"|"400"|"4661438.0000"|""|""|""
"01-0211810"|"UNIVERSITY OF NEW ENGLAND"|"47294"|"1492808"|"SCHOLARSHIPS AND GRANTS TO STUDENTS ATTENDING THE UNIVERSITY"|"2642"|"34002977.0000"|""|"FMV"|""
"01-6114884"|"JOHN CHABOT EDUCATIONAL FOUNDATION TRUST"|"47713"|"1494052"|"SCHOLARSHIPS"|"24"|"40750.0000"|"0.0000"|""|""
"01-0215213"|"BOWDOIN COLLEGE"|"47970"|"1497088"|"FINANCIAL AID FOR UNDERGRADUATE STUDENTS"|"848"|"29311000.0000"|""|""|""
"01-0215213"|"BOWDOIN COLLEGE"|"47971"|"1497088"|"STUDENT RESEARCH FELLOWSHIPS"|"442"|"1082000.0000"|""|""|""
"01-0215213"|"BOWDOIN COLLEGE"|"47972"|"1497088"|"GRAD STUDENT FINANCIAL AID & POST GRAD AWARDS"|"67"|"395000.0000"|""|""|""
"01-0215213"|"BOWDOIN COLLEGE"|"47973"|"1497088"|"ACADEMIC ACHIEVEMENT & OTHER STUDENT AWARDS"|"204"|"187000.0000"|""|""|""
"01-0280225"|"Catholic Chanties Maine"|"47974"|"1497089"|"(1) Rental Assistance Paid to Landlords"|"125"|"190760.0000"|""|""|""
"02-0223322"|"Currier Museum of Art"|"47975"|"1497094"|"(1) Scholarships provided to students in need to attend studio art classes"|"63"|"14259.0000"|"0.0000"|""|""
"01-0221344"|"BRIDGTON ACADEMY"|"48244"|"1499486"|"FINANCIAL AID"|"134"|""|"1966840.0000"|""|"FINANCIAL AID ASSISTANCE TO STUDENTS IN THE FORM OF TUITION REDUCTION"
"02-0222111"|"Trustees of Dartmouth College"|"48245"|"1499487"|"(1) Scholarships/Tuition Remission"|"4065"|"42332.0000"|"120900194.0000"|"FMV"|"Student Scholarships/tuition remission and employee tuition reimbursement"
"02-0222111"|"Trustees of Dartmouth College"|"48246"|"1499487"|"(2) Fellowships"|"915"|"11184794.0000"|"4738.0000"|"FMV"|"Student Fellowships/Employment"
"02-0222111"|"Trustees of Dartmouth College"|"48247"|"1499487"|"(3) Internships"|"560"|"1133193.0000"|"0.0000"|"FMV"|"Student Paid Internships"
"02-0222111"|"Trustees of Dartmouth College"|"48248"|"1499487"|"(4) Health Insurance Subsidy"|"732"|""|"1561132.0000"|"FMV"|"Subsidize health insurance cost for graduate students"
"02-0222111"|"Trustees of Dartmouth College"|"48249"|"1499487"|"Prizes and Awards"|"543"|"335163.0000"|"70674.0000"|"FMV"|"Achievement recognition awards to individual students"
"01-0211536"|"North Yarmouth Academy"|"48601"|"1501490"|"Financial Aid"|"142"|"0.0000"|"2253296.0000"|"FMV"|"Tuition Discount"
"01-0849648"|"ACADEMY IN MANAYUNK"|"48991"|"1502689"|"TUITION AID"|"37"|"600120.0000"|""|"FMV"|"TUITION AID OFFERED TO FAMILY"
"01-0211568"|"YOUNG MEN'S CHRISTIAN ASSOCIATION OF SOUTHERN MAINE"|"49573"|"1505400"|"FINANCIAL AID IN THE FORM OF REDUCED PROGRAM FEES FOR VARIOUS PROGRAMS"|"8409"|"809547.0000"|""|"PORTION OF STATED PROGRAM FEES"|"FINANCIAL AID IS PROVIDED IN THE FORM OF REDUCED PROGRAM FEES"
"01-0639265"|"Meritus Healthcare Foundation, Inc."|"49574"|"1505405"|"Program Distributions"|"26"|"238531.0000"|""|""|""
"01-6018568"|"THE AMERICAN LEGION"|"50835"|"1506687"|"DIRECT SUPPORT TO LOCAL VETS"|""|"20177.0000"|""|""|""
"01-6018568"|"THE AMERICAN LEGION"|"50836"|"1506687"|"INDIVIDUAL EDUCATION REWARDS"|""|"7650.0000"|""|""|""
"01-0211497"|"PRESIDENT & TRUSTEES OF COLBY COLLEGE"|"50724"|"1508502"|"Scholarships to students"|"735"|"0.0000"|"24457000.0000"|""|"Credit to student accounts"
"01-0323144"|"GREATER PORTLAND CHRISTIAN SCHOOL"|"50725"|"1508504"|"TUITION AID"|"28"|"22752.0000"|""|""|""
"01-0323144"|"GREATER PORTLAND CHRISTIAN SCHOOL"|"50726"|"1508504"|"TUITION DISCOUNTS"|"72"|"28059.0000"|""|""|""
"01-0323144"|"GREATER PORTLAND CHRISTIAN SCHOOL"|"50727"|"1508504"|"TUITION REMISSION"|"14"|"47476.0000"|""|""|""
"01-0880911"|"Ross Institute"|"50728"|"1508516"|"(1) Scholarships"|"176"|"3013359.0000"|""|""|""
"01-0212444"|"York Hospital"|"51286"|"1510743"|"Scholarships"|"4"|"11542.0000"|""|""|""
"01-0212444"|"York Hospital"|"51287"|"1510743"|"Orientation Program"|"1"|"13400.0000"|""|""|""
"01-0212444"|"York Hospital"|"51288"|"1510743"|"Continuing Education/Seminars and Workshops"|"145"|"19375.0000"|""|""|""
"01-0356077"|"CENTRAL MAINE MEDICAL CENTER COLLEGE OF NURSING AND HEALTH PROFESSIONS"|"51289"|"1510746"|"FEDERAL PELL GRANTS"|"108"|"365868.0000"|""|""|""
"01-0356077"|"CENTRAL MAINE MEDICAL CENTER COLLEGE OF NURSING AND HEALTH PROFESSIONS"|"51290"|"1510746"|"STATE OF MAINE GRANTS"|"89"|"67782.0000"|""|""|""
"01-0356077"|"CENTRAL MAINE MEDICAL CENTER COLLEGE OF NURSING AND HEALTH PROFESSIONS"|"51291"|"1510746"|"IN HOUSE"|"199"|"91784.0000"|""|""|""
"01-0356077"|"CENTRAL MAINE MEDICAL CENTER COLLEGE OF NURSING AND HEALTH PROFESSIONS"|"51292"|"1510746"|"STAFFORD LOANS"|"179"|"1514013.0000"|""|""|""
"01-0224898"|"HEBRON ACADEMY INCORPORATED"|"52084"|"1516910"|"STUDENT FINANCIAL AID"|"157"|""|"3849891.0000"|"DIRECT DISCOUNT OF TUITION"|"REDUCTION OF TUITION DUE FOR RECIPIENT"
"01-0269802"|"GIRL SCOUTS OF MAINE INC"|"52085"|"1516912"|"FINANCIAL ASSISTANCE TO ATTEND SCOUT PROGRAMS"|"1627"|"42901.0000"|""|""|""
"01-0269802"|"GIRL SCOUTS OF MAINE INC"|"52086"|"1516912"|"CAMPERSHIPS - TUITION REDUCTIONS"|"349"|""|"117710.0000"|"DIRECT REDUCTION IN TUITION FEES"|"DIRECT REDUCTION IN TUITION FEES"
"01-0368096"|"Alpha One"|"52087"|"1516916"|"(1) Scholarships"|"3"|"6000.0000"|"0.0000"|"Book"|""
"01-0386913"|"CENTRAL MAINE HEALTHCARE CORPORATION"|"52088"|"1516918"|"FINANCIALSUPPORT"|"45"|"19375.0000"|""|""|""
"01-0477512"|"MAKE-A-WISH FOUNDATION OF MAINE"|"52089"|"1516920"|"WISH GRANTING"|"55"|"401579.0000"|"88143.0000"|"FMV"|"WISH GRANTS"
"01-0501998"|"GREATER HOULTON CHRISTIAN ACA"|"52090"|"1516921"|"College Scholarships"|"7"|"16300.0000"|""|""|""
"01-0130427"|"BRIDGTON HOSPITAL"|"52936"|"1521066"|"EDUCATIONAL SCHOLARSHIPS"|"11"|"9024.0000"|""|""|""
"01-0211484"|"Bangor Theological Seminary"|"52937"|"1521069"|"Seminary Grants/LEAP"|"31"|""|"113200.0000"|"FMV"|"Reduction in Tuition"
"01-0211484"|"Bangor Theological Seminary"|"52938"|"1521069"|"Federal Work study"|"6"|"8434.0000"|""|""|""
"01-0211484"|"Bangor Theological Seminary"|"52939"|"1521069"|"Haines Scholarship"|"27"|""|"77610.0000"|"FMV"|"Reduction in Tuition"
"01-0269460"|"CHEWONKI FOUNDATION INC"|"52940"|"1521071"|"FINANCIAL AID AWARDED TO PARTICIPANTS IN VARIOUS PROGRAMS OFFERED BY THE ORGANIZATION"|"2186"|""|"1123690.0000"|"AMOUNT OF TUITION REDUCTION"|"REDUCTION OF TUITION DUE FROM RECIPIENT"
"01-0662680"|"TIFTON JUDICIAL CIRCUIT SHELTER INC"|"52941"|"1521081"|"FOOD, SHELTER AND CLOTHING FOR VICTIMS OF DOMESTIC VIOLENCE"|"1059"|""|"16429.0000"|""|""
"01-0662680"|"TIFTON JUDICIAL CIRCUIT SHELTER INC"|"52942"|"1521081"|"TRANSPORTATION FOR VICTIMS OF DOMESTIC VIOLENCE"|"46"|"2784.0000"|""|""|""
"01-0662680"|"TIFTON JUDICIAL CIRCUIT SHELTER INC"|"52943"|"1521081"|"MEDICAL EXPENSE FOR VICTIMS OF DOMESTIC VIOLENCE"|"114"|""|"817.0000"|""|""
"01-0212542"|"TRUSTEES OF SAINT JOSEPH'S COLLEGE SAINT JOSEPH'S COLLEGE OF MAINE"|"53812"|"1524509"|"FEDERAL"|"497"|"1780877.0000"|""|""|""
"01-0212542"|"TRUSTEES OF SAINT JOSEPH'S COLLEGE SAINT JOSEPH'S COLLEGE OF MAINE"|"53813"|"1524509"|"STATE"|"277"|"284626.0000"|""|""|""
"01-0212542"|"TRUSTEES OF SAINT JOSEPH'S COLLEGE SAINT JOSEPH'S COLLEGE OF MAINE"|"53814"|"1524509"|"COLLEGE MERIT-BASED"|"865"|"7844939.0000"|""|""|""
"01-0212542"|"TRUSTEES OF SAINT JOSEPH'S COLLEGE SAINT JOSEPH'S COLLEGE OF MAINE"|"53815"|"1524509"|"COLLEGE NEED-BASED"|"540"|"3246172.0000"|""|""|""
"01-0212542"|"TRUSTEES OF SAINT JOSEPH'S COLLEGE SAINT JOSEPH'S COLLEGE OF MAINE"|"53816"|"1524509"|"TUITION EXCHANGE & FAMILY DISCOUNTS"|"29"|"329875.0000"|""|""|""
"01-0212542"|"TRUSTEES OF SAINT JOSEPH'S COLLEGE SAINT JOSEPH'S COLLEGE OF MAINE"|"53817"|"1524509"|"DONOR RESTRICTED"|"121"|"319298.0000"|""|""|""
"01-0265559"|"Kennebec Valley Mental Health Center"|"53818"|"1524512"|"Shelter Plus Care Program Provides rental assistance for hard-to-serve homeless"|"249"|"590867.0000"|""|"Actual cost"|""
"01-0265559"|"Kennebec Valley Mental Health Center"|"53819"|"1524512"|"The Bridging Rental Assistance Program is a transitional rental subsidy program"|"201"|"315568.0000"|""|"Actual cost"|""
"01-0265559"|"Kennebec Valley Mental Health Center"|"53820"|"1524512"|"Grants for personal items"|"4"|"388.0000"|""|"Actual cost"|""
"01-0275156"|"Westem Maine Community Action Inc"|"53821"|"1524513"|"Nutrition services - Nutrition counseling for clients"|"5532"|"3124389.0000"|"354458.0000"|"FMV"|"Food and counseling services"
"01-0275156"|"Westem Maine Community Action Inc"|"53822"|"1524513"|"Community and housing services - Operation Santa Claus, emergency assistance, TANF"|"2845"|"493483.0000"|""|""|""
"01-0275156"|"Westem Maine Community Action Inc"|"53823"|"1524513"|"Employment and training services - Job training"|"357"|"250104.0000"|""|""|""
"01-0275156"|"Westem Maine Community Action Inc"|"53824"|"1524513"|"Other services - Miscellaneous assistance"|"230"|"7111.0000"|""|""|""
"01-0275156"|"Westem Maine Community Action Inc"|"53825"|"1524513"|"Health services - Family planning services"|"1"|"700.0000"|""|""|""
"01-0277678"|"Kennebec Valley Community Action Program"|"53826"|"1524514"|"Transportation services"|"6975"|"3052500.0000"|""|"Actual cost"|""
"01-0277678"|"Kennebec Valley Community Action Program"|"53827"|"1524514"|"Home repair services"|"118"|"430625.0000"|""|"Actual cost"|""
"01-0277678"|"Kennebec Valley Community Action Program"|"53828"|"1524514"|"Weatherization services"|"389"|"908282.0000"|""|"Actual cost"|""
"01-0277678"|"Kennebec Valley Community Action Program"|"53829"|"1524514"|"Love Fund - client assistance for one time need"|"12"|"852.0000"|""|"Actual cost"|""
"01-0315849"|"AROOSTOOK COUNTY ACTION PROGRAM INC"|"53830"|"1524516"|"ENERGY AND HOUSING SERVICES- HOUSING REPAIR AND REPLACEMENT, LEAD HAZARD CONTROL"|"494"|"559834.0000"|""|""|""
"01-0315849"|"AROOSTOOK COUNTY ACTION PROGRAM INC"|"53831"|"1524516"|"HEALTH SERVICES - HEALTH & FAMILY PLANNING SERVICES, BREAST HEALTH & CANCER PREVENTION"|"11819"|"26745.0000"|""|""|""
"01-0315849"|"AROOSTOOK COUNTY ACTION PROGRAM INC"|"53832"|"1524516"|"EMPLOYMENT AND TRAINING- EMPLOYMENT TRAINING PROGRAMS AND CLASSES"|"345"|"261740.0000"|""|""|""
"01-0315849"|"AROOSTOOK COUNTY ACTION PROGRAM INC"|"53833"|"1524516"|"COMMUNITY SERVICES - ENERGY ASSISTANCE INCLUDING LIHEAP,ECIP, LIAP PROGRAMS, CASE"|"12875"|"118708.0000"|""|""|""
"01-0315849"|"AROOSTOOK COUNTY ACTION PROGRAM INC"|"53834"|"1524516"|"CHILD AND FAMILY SERVICES - HEAD START, CHILD CARE, AND FOOD PROGRAMS"|"2047"|"578975.0000"|""|""|""
"01-0502563"|"CAMP BEECH CLIFF"|"53835"|"1524521"|"CAMPERSHIPS GIVEN"|"90"|""|"53067.0000"|"VALUE OF WHAT THE CAMP FEE WOULD HAVE COST THE CAMPER(S)"|"SCHOLARSHIP RECEIVED TO ATTEND CAMP"
"01-0540981"|"COMMUNITY CONCEPTS FINANCE CORPORATION"|"53836"|"1524522"|"PROVISION OF SOFT-SECOND FINANCING SUBSIDIES AND RELATED ASSISTANCE TO ELIGIBLE HOWEMOWNERS"|"636"|""|"104236.0000"|"NON-CASH ASSISTANCE STATED AT COST AT TIME OF PROVISION OF SAME"|"FINANCING SUBSIDIES AND OTHER RELATED ASSISTANCE AND SERVICES"
"02-0222182"|"SAINT ANSELM COLLEGE"|"53838"|"1524534"|"(1) Scholarships"|"1883"|"31389190.0000"|"0.0000"|""|""
"01-0219126"|"LINCOLN ACADEMY"|"55880"|"1530917"|"LINCOLN ACADEMY AWARDS SCHOLARSHIPSTO STUDENTS ATTENDING COLLEGE"|"58"|"20930.0000"|""|""|""
"01-0219126"|"LINCOLN ACADEMY"|"55881"|"1530917"|"LINCOLN ACADEMY PROVIDES ASSISTANCE TO STUDENTS IN THE FORM OF TUITION REDUCTION"|"2"|""|"8850.0000"|""|""
"01-0777850"|"H.E.R.O.E.S. CARE INC."|"56161"|"1532295"|"EVENTS/HOLIDAY/WELCOME HOME ASSISTANCE"|"280"|"81194.0000"|""|""|""
"01-0777850"|"H.E.R.O.E.S. CARE INC."|"56162"|"1532295"|"QUALITY OF LIFE ASSISTANCE"|"15000"|""|"8440384.0000"|"FAIR MARKET VALUE"|"CLOTHING, FOOD, PERSONAL CARE ITEMS ETC"
"01-0777850"|"H.E.R.O.E.S. CARE INC."|"56163"|"1532295"|"AUTO REPAIRS/MAINTENANCE"|"12"|"4308.0000"|""|""|""
"01-0777850"|"H.E.R.O.E.S. CARE INC."|"56164"|"1532295"|"HEALTHCARE ASSISTANCE"|"4"|"1036.0000"|""|""|""
"01-0777850"|"H.E.R.O.E.S. CARE INC."|"56165"|"1532295"|"MOVING/TRANSITIONAL HOUSING 5 ASSIST."|"18"|"7030.0000"|""|""|""
"01-0777850"|"H.E.R.O.E.S. CARE INC."|"56166"|"1532295"|"APPLIANCE REPAIR"|"2"|"725.0000"|""|""|""
"01-0777850"|"H.E.R.O.E.S. CARE INC."|"56167"|"1532295"|"AUTO PAYMENTS/INSURANCE"|"45"|"15581.0000"|""|""|""
"01-0777850"|"H.E.R.O.E.S. CARE INC."|"56168"|"1532295"|"RENT/MORTGAGE ASSISTANCE"|"36"|"21386.0000"|""|""|""
"01-0777850"|"H.E.R.O.E.S. CARE INC."|"56169"|"1532295"|"FOOD ASSISTANCE"|"151"|"24738.0000"|""|""|""
"01-0777850"|"H.E.R.O.E.S. CARE INC."|"56170"|"1532295"|"HOME REPAIRS"|"13"|"6273.0000"|""|""|""
"01-0777850"|"H.E.R.O.E.S. CARE INC."|"56171"|"1532295"|"TRAVEL AND TRANSPORTATION ASSIST."|"25"|"7604.0000"|""|""|""
"01-0777850"|"H.E.R.O.E.S. CARE INC."|"56172"|"1532295"|"UTILITY BILLS"|"60"|"10857.0000"|""|""|""
"01-0777850"|"H.E.R.O.E.S. CARE INC."|"56173"|"1532295"|"FURNITURE"|"5"|"3489.0000"|""|""|""
"01-0332769"|"FREEPORT COMMUNITY SERVICES"|"56556"|"1535651"|"CAMP SCHOLARSHIPS"|"97"|"16942.0000"|""|""|""
"01-0332769"|"FREEPORT COMMUNITY SERVICES"|"56557"|"1535651"|"COMMUNITY MEMBER'S FOOD ASSISTANCE"|"181"|"11293.0000"|""|""|""
"01-0332769"|"FREEPORT COMMUNITY SERVICES"|"56558"|"1535651"|"COMMUNITY MEMBER'S FUEL ASSISTANCE"|"90"|"23475.0000"|""|""|""
"01-0332769"|"FREEPORT COMMUNITY SERVICES"|"56559"|"1535651"|"COMMUNITY MEMBER'S HOUSING ASSISTANCE"|"3"|"6800.0000"|""|""|""
"01-0424969"|"COMMUNITY CONCEPTS INC"|"56560"|"1535652"|"PROVISION OF VARIOUS SOCIAL SERVICES"|"24673"|""|"7021925.0000"|"NON-CASH ASSISTANCE STATED AT COST OF DELIVERY OF SAME"|"TRANSPORTATION, HOUSING, CHILD DEVELOPMENT, COUNSELING, AND SIMILAR TYPES OF SERVICES AND BENEFITS"
"02-0223334"|"WEBSTER HOUSE"|"56774"|"1536533"|"ALLOWANCES PROVIDED TO RESIDENTS"|"16"|"5591.0000"|"0.0000"|""|""
"02-0223334"|"WEBSTER HOUSE"|"56775"|"1536533"|"CHRISTMAS AND OTHER GIFTS PROVIDED TO RESIDENTS"|"16"|"1394.0000"|"0.0000"|""|""
"01-0444523"|"John M. Eagleson Jr. Institute"|"56864"|"1538593"|"Educational"|"20"|"16125.0000"|""|""|""
"01-6023748"|"Penquis CAP Inc"|"58879"|"1556000"|"Foster grandparents stipend and earned time"|"84"|"240796.0000"|""|""|""
"01-6023748"|"Penquis CAP Inc"|"58880"|"1556000"|"Home weatherization materials"|"714"|"2166690.0000"|""|""|""
"01-6023748"|"Penquis CAP Inc"|"58881"|"1556000"|"Assist families in becoming self sufficient"|"6"|"935.0000"|""|""|""
"01-6023748"|"Penquis CAP Inc"|"58882"|"1556000"|"Help with transitional housing"|"35"|"65191.0000"|""|""|""
"01-6023748"|"Penquis CAP Inc"|"58883"|"1556000"|"School supplies for area children"|"1256"|"4173.0000"|""|""|""
"01-6023748"|"Penquis CAP Inc"|"58884"|"1556000"|"Heating assistance to area residents"|"1340"|"482214.0000"|""|""|""
"01-6023748"|"Penquis CAP Inc"|"58885"|"1556000"|"Individual development accounts - home, business, education"|"72"|"149157.0000"|""|""|""
"01-6023748"|"Penquis CAP Inc"|"58886"|"1556000"|"Transportation for low income individuals - Taxi cabs"|"3648"|"1331442.0000"|""|""|""
"01-6023748"|"Penquis CAP Inc"|"58887"|"1556000"|"$10 gas cards to assist disabled individuals offset their transportation costs"|"48"|"4170.0000"|""|""|""
"01-6023748"|"Penquis CAP Inc"|"58888"|"1556000"|"Prevent homelessness - rent and security deposits"|"10"|"7653.0000"|""|""|""
"01-6023748"|"Penquis CAP Inc"|"58889"|"1556000"|"Reimbursement for meals and snacks provided to children in the child development centers"|"517"|"180448.0000"|""|""|""
"01-6023748"|"Penquis CAP Inc"|"58890"|"1556000"|"Reimbursement to providers for meals and snacks for children"|"114"|"791341.0000"|""|""|""
"01-6023748"|"Penquis CAP Inc"|"58891"|"1556000"|"Toys to children for the holidays"|"1200"|"16710.0000"|""|""|""
"01-6023748"|"Penquis CAP Inc"|"58892"|"1556000"|"Transportation - bus passes"|"7621"|"374765.0000"|""|""|""
"01-0207850"|"AMERICAN LEGION GROVER HINCKLEY POST 14"|"58918"|"1556188"|"FINANCIAL"|""|""|""|""|""
"01-0135937"|"LE PASSE-TEMPS INC"|"59342"|"1560029"|"SCHOLARSHIPS FOR STUDENTS"|"11"|"5000.0000"|""|""|""
"01-0135937"|"LE PASSE-TEMPS INC"|"59343"|"1560029"|"DONATIONS TO LOCAL CHARITIES"|"76"|"12825.0000"|""|""|""
"01-0769741"|"JOHNNY BURKE'S CHILDREN'S FOUNDATION"|"59428"|"1560059"|"SPECIFIC ASSIST CHILDREN"|""|"16228.0000"|""|""|""
"01-0769741"|"JOHNNY BURKE'S CHILDREN'S FOUNDATION"|"59429"|"1560059"|"FOWLER CENTER - SCHOLAR"|""|"1000.0000"|""|""|""
"01-0769741"|"JOHNNY BURKE'S CHILDREN'S FOUNDATION"|"59430"|"1560059"|"MARSHALL FREDERICKS - SCH"|""|"1630.0000"|""|""|""
"01-0769741"|"JOHNNY BURKE'S CHILDREN'S FOUNDATION"|"59431"|"1560059"|"UNITED WAY"|""|"1000.0000"|""|""|""
"01-0769741"|"JOHNNY BURKE'S CHILDREN'S FOUNDATION"|"59432"|"1560059"|"YMCA OF SAGINAW"|""|"1000.0000"|""|""|""
"01-0769741"|"JOHNNY BURKE'S CHILDREN'S FOUNDATION"|"59433"|"1560059"|"BOY SCOUTS OF AMERICA"|""|"250.0000"|""|""|""
"01-0769741"|"JOHNNY BURKE'S CHILDREN'S FOUNDATION"|"59434"|"1560059"|"GREATER THUMB RECREATION"|""|"1000.0000"|""|""|""
"01-0769741"|"JOHNNY BURKE'S CHILDREN'S FOUNDATION"|"59435"|"1560059"|"TUSCOLA LIBRARY COUNCIL"|""|"500.0000"|""|""|""
"01-0812774"|"Bonfield Exress Foundation"|"59992"|"1565777"|"Cash Scholarships"|"14"|"2500.0000"|""|""|""
"01-0212178"|"AMERICAN LEGION POST 158 COOMBS-MONTFORT"|"59997"|"1567745"|"SCHOLARSHIPS"|""|""|""|""|""
"01-0284906"|"YORK COMMUNITY SERVICE ASSOCIATION"|"59998"|"1567749"|"FAMILY SERVICES PROGRAM-"|"200"|"104512.0000"|""|"FMV"|""
"01-0376696"|"BIRCH ROCK CAMP"|"59930"|"1567755"|"SCHOLARSHIPS"|"22"|"47825.0000"|""|""|""
"01-0548371"|"Muslim Legal Fund of Amenca"|"59965"|"1567765"|"Case fees"|""|""|""|""|""
"01-0893778"|"WILLMAR AREA MULTICULTURAL BUSINESS CENTE"|"59966"|"1567779"|"BUSINESS DEVELOPMENT SERVICES"|"25"|"6923.0000"|""|""|""
"01-6021180"|"Maine Beer & Wine Wholesalers Assoc., Inc."|"60439"|"1573935"|"Olympic Support to Julia Clukey"|"1"|"31885.0000"|""|""|""
"01-6012127"|"Bridgton Scholarship Foundation"|"60860"|"1580563"|"Scholarships granted to graduating students"|"24"|"23000.0000"|"0.0000"|"0"|"0"
"01-6012127"|"Bridgton Scholarship Foundation"|"60861"|"1580563"|"to continue their education"|""|""|""|""|""
"01-0520715"|"CARLISLE CHARITABLE FOUNDATION (FORMERLY EQUEST FOUNDATION)"|"61030"|"1582544"|"CARLISLE ACADEMY STUDENT SCHOLARSHIPS"|"89"|"78377.0000"|""|""|""
"01-0683413"|"The Council of Urban Professionals Institute"|"62116"|"1591547"|"(1) Scholarships"|"1180"|"1375383.0000"|""|""|""
"01-0794834"|"INTERNATIONAL SOCIETY FOR AUTISM RESEARCH"|"62463"|"1594051"|"STUDENT TRAVEL AWARDS ARE AVAILABLE TO GRADUATE STUDENTS, POSTDOCTORAL FELLOWS"|"75"|"35469.0000"|""|""|""
"01-0794834"|"INTERNATIONAL SOCIETY FOR AUTISM RESEARCH"|"62464"|"1594051"|"DIVERSITY TRAVEL AWARDS ARE PROVIDED TO U S CITIZENS OR OTHERS STUDYING IN OR WORKING"|"15"|"15000.0000"|""|""|""
"01-0794834"|"INTERNATIONAL SOCIETY FOR AUTISM RESEARCH"|"62465"|"1594051"|"YOUNG INVESTIGATOR AWARDS WILL BE MADE FPR THE BEST BIOLOGICAL AND CLINICAL EMPIRICAL"|"2"|"3000.0000"|""|""|""
"01-0794834"|"INTERNATIONAL SOCIETY FOR AUTISM RESEARCH"|"62466"|"1594051"|"DISSERTATION AWARDS ARE GIVEN ANNUALLY TO ACTIVE SCIENTISTS AND CLINICIANS WORKING"|"4"|"6000.0000"|""|""|""
"01-0528014"|"MAINE FARMLAND TRUST"|"62595"|"1595173"|"SUPPORT COMMUNITY FOOD EFFORTS"|"5"|"12725.0000"|""|""|""
