"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"ENDOW_BOY"|"ENDOW_CONTRIB"|"ENDOW_INVESTMENTS"|"ENDOW_GRANTS"|"ENDOW_OTHER_EXPENSES"|"ENDOW_ADMIN_EXPENSES"|"ENDOW_EOY"|"ENDOW_BOARD_DESIGNATED_EOY"|"ENDOW_PERMANENT_EOY"|"ENDOW_TERM_EOY"|"ENDOW_UNRELATED_ORGS_CBX"|"ENDOW_RELATED_ORGS_CBX"|"ENDOW_SCHEDR_CBX"
"01-0812774"|"Bonfield Express Foundation"|"754927"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0943174"|"HOSE OF JUDAH"|"754931"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0241767"|"UNITED WAY INC"|"755736"|"5131348.0000"|"44674.0000"|"1093822.0000"|"14802.0000"|"163649.0000"|"37854.0000"|"6053539.0000"|"54.00"|"28.00"|"18.00"|"Y"|"N"|""
"01-0510768"|"JHA PROPERTIES INC"|"755742"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0569965"|"Hillel at Binghamton Inc"|"755745"|""|""|""|""|""|""|""|""|""|""|""|""|""
"02-0214564"|"GREATER KEENE CHAMBER OF COMMERCE"|"755750"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0211797"|"MOUNT DESERT ISLAND HOSPITAL"|"758140"|"6997367.0000"|"17162.0000"|"1180156.0000"|"0.0000"|"46000.0000"|"31665.0000"|"8117020.0000"|"100.00"|"0.00"|"0.00"|"Y"|"N"|""
"01-0729022"|"EAST BAY HOUSING OPT IONS INC"|"758146"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0384908"|"The Maine Way Inc."|"758345"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0204920"|"WATERVILLE COUNTRY CLUB"|"1422746"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0237244"|"LEE ACADEMY"|"1422747"|"1223073.0000"|"30884.0000"|"139053.0000"|"16757.0000"|""|""|"1376253.0000"|"9.76"|"83.85"|"6.39"|"N"|"N"|""
"01-0332058"|"Hancock County Auditorium Associates"|"1422750"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0499734"|"UNITED SOCCER FEDERATION OF MAINE"|"1422766"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0516064"|"CO-OCCURRING COLLABORATIVE SERVING MAINE"|"1422767"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0541280"|"SUMMER FESTIVAL OF THE ARTS"|"1422769"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0555559"|"ECS MINISTRIES"|"1422771"|"36356.0000"|""|"528.0000"|""|""|""|"36884.0000"|""|""|""|"N"|"N"|""
"01-0602033"|"TN VOL MANUFACTURING & SERVICES INC"|"1422777"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0672424"|"NASHOBA LEARNING GROUP INC"|"1422781"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0824559"|"PUPPY CREEK FIRE DEPARTMENT INC"|"1422786"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0911124"|"STEPHEN J PONZILLO JR MEMORIAL LIBRARY & MUSEUM OF THE GRAND LODGE OF MARYLAND"|"1422790"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-6024421"|"TOWN OF MOUNT DESERT MEDICAL CENTER"|"1422791"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0355212"|"MAINE STATE MUSIC THEATRE"|"1428063"|"303736.0000"|"1296149.0000"|"17126.0000"|""|"250000.0000"|"4050.0000"|"1362961.0000"|"96.59"|"3.42"|""|"N"|"N"|""
"01-0219829"|"Sarah Frye Home"|"1429579"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0370309"|"JOHN BAPST MEMORIAL HIGH SCHOOL"|"1429585"|"784311.0000"|""|"70869.0000"|"-33315.0000"|""|""|"821865.0000"|"35.00"|"38.00"|"27.00"|"N"|"N"|""
"01-0482628"|"Jobs for Mame's Graduates Inc"|"1429590"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0586306"|"BARCEDA FAMILIES"|"1429596"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0702442"|"NC IDEA"|"1429600"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-6000802"|"PORTLAND PUBLIC LIBRARY"|"1434189"|"5128275.0000"|"2062.0000"|"224405.0000"|""|""|"191466.0000"|"5163276.0000"|"5.00"|"62.00"|"33.00"|"N"|"N"|"N"
"01-0314110"|"AMICUS"|"1434664"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0584192"|"BRIGHT WORLD FOUNDATION"|"1436806"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0351334"|"Yarmouth Historical Society"|"1436848"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0145135"|"PROUTS NECK COUNTRY CLUB"|"1437171"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0266289"|"Maine Hospital Association Inc"|"1437175"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0275545"|"LONESOME PINE TRAILS INC"|"1437177"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0343943"|"SEXUAL ASSAULT RESPONSE SERVICES OF SOUTHERN MAINE"|"1437180"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0353371"|"SALT, INC ."|"1437181"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0355896"|"JOHN F MURPHY HOMES INC"|"1437183"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0369793"|"Facilities Inc"|"1437188"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0371245"|"GROUP MAIN STREAM INCORPORATED"|"1437189"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0375969"|"MAINE AQUACULTURE ASSOCIATION"|"1437191"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0475146"|"Big Brothers Big Sisters of Southern ME"|"1437200"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0536445"|"FRANCO-AMERICAN HERITAGE CENTER AT ST MARY'S"|"1437210"|"1250.0000"|""|""|""|"-1000.0000"|""|"250.0000"|""|""|""|"N"|"N"|""
"01-0552793"|"LATINAS UNIDAS POR UN NUEVO AMANECER"|"1437211"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0594835"|"Oakland Kids First"|"1437217"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0684986"|"AMERICAN SOCIETY OFTRANSPORTATION AND LOGISTICS, INC."|"1437221"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0722629"|"MARIE A MANSBACH MEMORIAL STUDENT MOTIVATION PROGRAM"|"1437223"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0732696"|"FAMILY SUPPORT ORGANIZATION OF UNION COUNTY INC"|"1437227"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0839874"|"NORTH GRAND NEIGHBORHOOD SERVICES"|"1437232"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0902152"|"MILLENNIAL MUSIC (FKA ORANGE COUNTY MORMON CHORAL ORGANIZATION)"|"1437235"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0267988"|"BRISTOL AREAL LIBRARY ASSOCIATION"|"1444398"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0196359"|"THE IRIS NETWORK"|"1444582"|"685082.0000"|"11923.0000"|"69270.0000"|""|"37915.0000"|""|"728360.0000"|"85.46"|"14.54"|""|"Y"|"N"|""
"01-0223879"|"SKOWHEGAN STATE FAIR"|"1444584"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0276272"|"GREATER PORTLAND LANDMARKS INC"|"1444586"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0283794"|"Maine Health Care Association"|"1444587"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0286071"|"KAPPA DELTA PHI INC"|"1444588"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0371971"|"MIDTOWN ATHLETIC CLUB"|"1444594"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0783081"|"Chinese American Cooperation Council"|"1444608"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-6006058"|"PORTLAND MAINE SYMPHONY ORCHESTRA"|"1444614"|"3535021.0000"|"857355.0000"|"454172.0000"|""|"127000.0000"|""|"4719548.0000"|"24.17"|"63.02"|"12.81"|"N"|"N"|""
"02-0214887"|"VETERANS OF FOREIGN WARS DEPARTMENT OF N"|"1444618"|"0.0000"|""|""|""|""|""|"0.0000"|""|""|""|""|""|""
"01-0211512"|"Home for the Aged"|"1449791"|"8251778.0000"|"244265.0000"|"711643.0000"|""|""|""|"9207686.0000"|"47.00"|"10.00"|"43.00"|"N"|"N"|""
"01-0280723"|"York-Cumberland Assoc for Handicapped Persons"|"1449795"|"2758990.0000"|""|"451105.0000"|""|""|""|"3210095.0000"|"100.00"|""|""|"N"|"N"|"N"
"01-0687220"|"LAGUNA NIGUEL SOCCER CLUB INC"|"1449807"|""|""|""|""|""|""|""|""|""|""|""|""|""
"02-0110580"|"Blue Mountain Forest Association"|"1449817"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0469062"|"INDEPENDENT SCHOOLS ASSOCIATION OF NNE"|"1452658"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0824387"|"STOP THE SILENCE: STOP CHILD SEXUAL ABUSE, INC."|"1454410"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0246278"|"FOXCROFT ACADEMY TRUSTEES OF"|"1454556"|"3642682.0000"|"83336.0000"|"403027.0000"|"63492.0000"|"125225.0000"|"13689.0000"|"3926639.0000"|"26.30"|"57.20"|"16.50"|"Y"|"N"|"N"
"01-0367116"|"Families United of Washington County"|"1454562"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0376832"|"MAINE VETERANS HOME"|"1454564"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0498250"|"WINGS FOR CHILDREN & FAMILIES INC"|"1454568"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0534548"|"Community Care"|"1454571"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0564286"|"DAYTON LEARNING CENTER"|"1454572"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0567964"|"Califomia Tamil Academy"|"1454573"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0618964"|"OASIS CARE INC"|"1454574"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0640027"|"MGM RESORTS FOUNDATION"|"1454576"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0717546"|"MAINE APPALACHIAN TRAIL LAND TRUST"|"1454579"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0951147"|"BUILDERS DEVELOPMENT CORPORATION"|"1454586"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0621556"|"THE GILL ST BERNARD'S PARENTS' ASSOCIATION INC"|"1460171"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0916759"|"KIPP ST LOUIS"|"1460173"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0217639"|"THE COMMUNITY SCHOOLS OPPORTUNITY FARM AND CAMDEN"|"1461658"|"285066.0000"|""|"23784.0000"|""|"18921.0000"|"2036.0000"|"287893.0000"|""|""|""|"N"|"N"|""
"02-0179953"|"GREATER PORTSMOUTH CHAMBER OF COMMERCE"|"1464552"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0365398"|"AROOSTOOK REGIONAL TRANSPORTATION SYSTE"|"1465257"|"0.0000"|""|""|""|""|""|"0.0000"|""|""|""|""|""|""
"01-0509578"|"MY PLACE TEEN CENTER INC"|"1465258"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0701804"|"New York Center for Civil Justice Tolerance Values Inc"|"1465971"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0445163"|"Anson Madison Starks Ambulance"|"1466056"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0211500"|"DYER LIBRARY ASSOCIATION"|"1467980"|"854212.0000"|""|"99613.0000"|""|"54000.0000"|""|"899825.0000"|"100.00"|""|""|"N"|"N"|""
"01-0499703"|"REM"|"758347"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0751931"|"UTAH BUSINESS LENDING CORPORATION"|"758357"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0852125"|"ORGANIZATION OF PJM STATES, INC. (OPSI)"|"758362"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0362709"|"OHI"|"758504"|"12031.0000"|"210.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"12241.0000"|"0.00"|"1.00"|"0.00"|"N"|"N"|""
"01-0436438"|"Northern Oxford Regional Ambulance Service"|"760504"|"0.0000"|""|""|""|""|""|"0.0000"|""|""|""|""|""|""
"01-6157155"|"Sanford Sprindvale Mousam Way"|"761664"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0369553"|"YESTERDAY'S CHILDREN INC"|"762093"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0409991"|"FAMILY FOCUS"|"762094"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0613583"|"Learning Alternatives, Inc."|"762096"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0370020"|"BANGOR AIRPORT CIVIC DEVELOPMENT CORP"|"768840"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0205722"|"Brookside Cemetery Association, Inc."|"772975"|"487954.0000"|""|"20158.0000"|""|"8100.0000"|"5226.0000"|"494786.0000"|"100.00"|""|""|"N"|"N"|""
"01-6038250"|"BPO ELKS MILLINOCKET LODGE NO 1521"|"772978"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0413112"|"Fraternal Order of Eagles Aerie #41 Aerie #4131"|"776598"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-6036492"|"AMERICAN LEGION 202 MEM POST"|"776608"|""|""|""|""|""|""|""|""|""|""|""|""|""
"02-0104256"|"GRAND LODGE OF NEW HAMPSHIRE FREE & ACCEPTED MASONS"|"776611"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0574719"|"Carver Heights Ministries Inc."|"777606"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0669150"|"GRANTMAKERS FOR EFFECTIVE ORGANIZATIONS"|"777612"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0966602"|"JESUS AND MARY HOPE MINISTRY"|"777621"|""|""|""|""|""|""|""|""|""|""|""|""|""
"02-0185360"|"Rochester Cemetery Association"|"777646"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0319131"|"Sigma Delta Pi"|"778860"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0358141"|"CARING UNLIMITED"|"778863"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0475374"|"CHILDREN'S ODYSSEY"|"778872"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0595862"|"Access Institute for Psychological Services"|"778893"|"0.0000"|""|""|""|""|""|"0.0000"|""|""|""|""|""|""
"01-0735369"|"YONKERS SOUTH BROADWAY DISTRICT"|"778902"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0738748"|"SECOND IMPRESSIONS"|"778905"|""|""|""|""|""|""|""|""|""|""|"N"|"N"|"N"
"01-0837128"|"Jericho Partnership Inc"|"778919"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0219810"|"MAINE INSURANCE AGENTS ASSOCIATION"|"780801"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0517029"|"CMP PRM UNION VEBA TRUST"|"785756"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0561114"|"POST TRANSPLANT FOUNDATION"|"785759"|""|""|""|""|""|""|""|""|""|""|""|""|""
"02-0218036"|"Veterans of Foreign Wars Post 8546"|"788837"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-6010406"|"AHAVAS ACHIM SOCIETY OF BROTHERLY LOVE"|"789340"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0669290"|"Belchertown Land Trust, Inc."|"789718"|""|""|""|""|""|""|""|""|""|""|""|""|""
"02-0107545"|"BEACH CLUB, INC."|"791793"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0124810"|"MOUNT HOPE CEMETERY CORP."|"793350"|"8929810.0000"|"28219.0000"|"134489.0000"|""|"11996.0000"|""|"9080522.0000"|"80.43"|"17.07"|"2.50"|"N"|"N"|""
"01-0207850"|"AMERICAN LEGION GROVER HINCKLEY POST 14"|"793352"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0478564"|"FRIENDS OF ROCKLAND PUBLIC LIBRARY"|"793359"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0608540"|"SHEPHERDS OF LOVE MINISTRIES, INC."|"793369"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0651516"|"MOUNTAIN MISSIONS DEVELOPMENT CORPO"|"793371"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0764731"|"Tekas County Museum of Art and tticstory"|"793380"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0778962"|"Texas Archive of the Moving Image"|"793381"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0897469"|"SEIU HEALTHCARE MICHIGAN"|"793383"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0957572"|"Marginal Way Preservation Fund"|"793384"|""|""|""|""|""|""|""|""|""|""|""|""|""
"02-0179723"|"Polish American Citizens Club"|"793389"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0219126"|"LINCOLN ACADEMY"|"794106"|"4973313.0000"|"0.0000"|"1165092.0000"|"16335.0000"|"171788.0000"|""|"5950282.0000"|"30.82"|"57.82"|"11.36"|"N"|"N"|""
"01-0316813"|"Tri-County Mental Health Services"|"794120"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0329300"|"Rumford Group Homes"|"794127"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0496860"|"PORTLAND OPERA REPERTORY THEATRE"|"794151"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0547918"|"MAIN STREET MOBILE TREATMENT ASSOCIATES INC"|"794162"|""|""|""|""|""|""|""|""|""|""|"N"|"N"|"N"
"01-0631375"|"COMMUNITY BASED CARE OF CENTRAL FLORIDAINC"|"794171"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0806304"|"PENNSYLVANIA AFFORDABLE HSG CORP"|"794184"|""|""|""|""|""|""|""|""|""|""|"N"|"N"|"N"
"01-6217452"|"ELLIOT HEALTH SYSTEM PROFESSIONAL & GENERAL LIABILITY INSURANCE TRUST"|"794206"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0245910"|"PRESQUE ISLE COUNTRY CLUB"|"806373"|"0.0000"|""|""|""|""|""|"0.0000"|""|""|""|""|""|""
"01-0317698"|"CALAIS METHODIST HOME, INC"|"806374"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0357213"|"Freeport Conservation Trust"|"806376"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0614718"|"Cornerstone Chinese Bible Church of TX"|"806386"|""|""|""|""|""|""|"0.0000"|""|""|""|""|""|""
"01-0651449"|"SERENE LIGHT INC"|"806389"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0716494"|"PINE TOWNSHIP ENGINE COMPANY"|"806391"|""|""|""|""|""|""|"0.0000"|""|""|""|""|""|""
"01-0788484"|"WINDMOOR FOUNDATION, INC."|"806393"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-6011388"|"PINE TREE COUNCIL BSATR DTD 1957 449515014"|"806399"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0353744"|"Christian Fellowship, Inc"|"806858"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0024645"|"Bangor Symphony Orchestra"|"806868"|"1181832.0000"|""|"161148.0000"|""|""|""|"1342980.0000"|"1.41"|"88.54"|"10.05"|"N"|"N"|""
"01-0095414"|"INDEPENDENT ORDER OF ODD FELLOWS GRAND LODGE OF MAINE"|"806871"|""|""|""|""|""|""|""|""|""|""|"N"|"N"|"N"
"01-0211810"|"UNIVERSITY OF NEW ENGLAND"|"806875"|"23369720.0000"|"546191.0000"|"5586895.0000"|"968884.0000"|"40284.0000"|""|"28493638.0000"|"6.18"|"93.82"|""|"Y"|"N"|""
"01-0583485"|"South Martin Conservation Alliance, Inc"|"806885"|"0.0000"|""|""|""|""|""|"0.0000"|""|""|""|""|""|""
"01-0600248"|"EASTERN NC REGIONAL SCIENCE CENTER"|"806888"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0361089"|"YORK COUNTY SHELTER PROGRAMS INC"|"806895"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0371992"|"Downeast Transportation"|"806897"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0438695"|"MAINE HOUSING AND BUILDING MATERIALS EXCHANGE"|"806903"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0485193"|"MOUNT DAVID HOUSING INC"|"806911"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0759127"|"SHREVEPORT SCOTTISH RITE FOUNDATION, INC"|"806925"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0547297"|"THE NEW SCHOOL"|"806927"|"12232.0000"|"52420.0000"|"125.0000"|""|"125.0000"|""|"64652.0000"|""|"100.00"|""|"N"|"N"|""
"01-6000785"|"'BANGOR PUBLIC LIBRARY"|"806966"|"10288131.0000"|"108473.0000"|"2478765.0000"|""|"591409.0000"|""|"12283960.0000"|"6.00"|"33.00"|"61.00"|"N"|"N"|""
"01-0216811"|"WATERVILLE LODGE #33 F & A M"|"807351"|"0.0000"|""|""|""|""|""|"0.0000"|""|""|""|""|""|""
"01-0316041"|"Youth Altematives Ingraham"|"807359"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0203708"|"AMERICAN LEGION POST 1"|"821186"|""|""|""|""|""|""|""|""|""|""|"N"|"N"|"N"
"01-0223014"|"Ocean Park Association"|"821187"|"479145.0000"|"11257.0000"|"1516.0000"|""|"20251.0000"|"2661.0000"|"469006.0000"|"0.40"|"99.10"|"0.50"|"N"|"N"|"N"
"01-0714415"|"NEW JERUSALEM COMMUNITY DEVEL"|"1468975"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0192761"|"CHILD EVANGGLISM FELLOWSHIP INC"|"1469222"|"152196.0000"|""|""|""|""|"30.0000"|"152166.0000"|"100.00"|"100.00"|""|"N"|"N"|""
"01-0904664"|"Carla and David Crane Foudnation"|"1469225"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0932846"|"GENESIS HEALTHCARE INC"|"1469227"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0770318"|"CORRECTIONAL OFFICERS ASSOC. OF DEL"|"1469711"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0740130"|"RIO HONDO COMMUNITY DEVELOPMENT CORPORATION"|"1471053"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0348331"|"CHOCOLATE CHURCH ARTS CENTER"|"1471875"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0465754"|"CHILD EVANGELISM FELLOWSHIP, INC"|"1471876"|""|""|""|""|""|""|""|""|""|""|""|""|""
"02-0222254"|"YWCA OF NEW HAMPSHIRE"|"1471878"|"323923.0000"|""|"21250.0000"|""|""|""|"345173.0000"|"32.19"|"37.40"|"30.41"|"N"|"N"|""
"01-0078060"|"HENRIETTA D. GOODALL HOSPITAL, INC."|"1472940"|"19488835.0000"|"1714897.0000"|"2998927.0000"|""|"1495981.0000"|""|"22706678.0000"|"54.00"|"46.00"|""|"N"|"N"|""
"01-0501407"|"UNION WORKERS BENEFITS TRUST"|"1475004"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0358152"|"SOUL' S HARBOR, INC ."|"1475934"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0561825"|"Abingdon feeder cattle Association"|"1475937"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-6010461"|"OCEAN VIEW CEMETERY"|"1475944"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0367581"|"BROWNVILLE HOUSING CORPORATION"|"1477492"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-6016305"|"EPHRIAN H JOHNSON POST #9 AMERICAN LEGION"|"1477500"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0946106"|"Volunteer & Exempt Fireman's Benevolent Assn. of inwood"|"1479050"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0561262"|"THE LEE CHARTER FOUNDATION INC"|"1480844"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0517028"|"CMP DEATH BENFIT VEBA TRUST"|"1481487"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0517035"|"CMP PRM NON-UNION VEBA TRUST"|"1481489"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-6007236"|"ST. ANDREWS FREE BED FUND"|"1481492"|"1360493.0000"|""|"158737.0000"|"-41359.0000"|""|""|"1477871.0000"|"100.00"|""|""|"Y"|"N"|""
"02-0239519"|"World Affairs Council of New Hampshire"|"1481494"|"0.0000"|""|""|""|""|""|"0.0000"|""|""|""|""|""|""
"01-0211548"|"Redington memorial Hospital Association"|"1482866"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0806645"|"REGIONAL LOCAL UNION NO 846 OF THE INTERNATIONAL ASSOCIATION"|"1482869"|""|""|""|""|""|""|""|""|""|""|""|""|""
"02-0205076"|"WINONA SOCIAL CLUB, INC"|"1482871"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0573723"|"VFW POST 34 CANTEEN INC"|"1485330"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0857922"|"Clock Tower Place Funding Company"|"1485336"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-6047645"|"GOOSE ROCKS BEACH FIRE COMPANY"|"1485338"|""|""|""|""|""|""|""|""|""|""|""|""|""
"02-0209443"|"Veterans of Foreign Wars VFW-NH 808"|"1485340"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0414293"|"HABITAT FOR HUMANITY YORK COUNTY MAINE"|"1488174"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0959193"|"INTERNATIONAL UNION, UAW LOCAL 2121"|"1488597"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-6021794"|"CHARLOTTE HOBBS MEMORIAL LIBRARY"|"1488598"|"301438.0000"|""|"52957.0000"|""|"13500.0000"|""|"340895.0000"|"98.53"|"1.47"|""|"N"|"N"|""
"01-0359948"|"HIRUNDO WILDLIFE TRUST"|"1489136"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0368188"|"SO MAINE EMERGENCY MED SERVICES COUNCIL INC"|"1489825"|"0.0000"|""|""|""|""|""|"0.0000"|""|""|""|""|""|""
"01-0735866"|"THORNDALE ECONOMIC DEVELOPMENT CORPORATION"|"1489829"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0853006"|"North Park USBC Youth UNIT"|"1492764"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0319802"|"Spurwink Services Inc"|"1492809"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0377246"|"New Hope for Women Inc"|"1492810"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0403485"|"Community Television Network"|"1492813"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0327898"|"CORINNA HOUSING CORPORATION"|"1494031"|""|""|""|""|""|""|""|""|""|""|""|""|""
