"C_EIN"|"C_Org_Name"|"PART_V_B_ID"|"XML_DOCUMENT_ID"|"FACILITY_NAME"|"LINE_NUM"|"NEEDS_ASSMT_CBX"|"COMMUNITY_SERVED_CBX"|"DEMOGRAPHICS_CBX"|"EXISTING_FACILITIES_CBX"|"DATA_CBX"|"COMMUNITY_NEEDS_CBX"|"UNINSURED_CBX"|"IDENTIFYING_PROCESS_CBX"|"CONSULTING_PROCESS_CBX"|"INFO_GAPS_CBX"|"OTHER_NEEDS_CBX"|"ASSMT_YEAR"|"COMMUNITY_INPUT_CBX"|"MULTI_HOSPITAL_ASSMT_CBX"|"MADE_PUBLIC_CBX"|"WEBSITE_CBX"|"REQUEST_CBX"|"PUBLIC_OTHER_CBX"|"ADOPT_STRATEGY_CBX"|"EXECUTE_STRATEGY_CBX"|"DEVELOP_PLAN_CBX"|"EXECUTE_PLAN_CBX"|"OPER_PLAN_CBX"|"ADOPT_BUDGET_CBX"|"PRIOR_NEEDS_CBX"|"PRIOR_SERVICES_CBX"|"OTHER_ADDRESSED_CBX"|"ADDRESS_ALL_CBX"|"ELIGIBILITY_CBX"|"FPG_FREE_CBX"|"FPG_FREE_PCT"|"FPG_DISCOUNTED_CBX"|"FPG_DISCOUNTED_PCT"|"EXPLAIN_BASIS_CBX"|"INCOME_CBX"|"ASSET_CBX"|"INDIGENCY_CBX"|"INSURANCE_CBX"|"DISCOUNT_CBX"|"MEDI_CBX"|"STATE_REG_CBX"|"OTHER_FACTORS_CBX"|"APPLY_FA_CBX"|"PUBLICIZE_POL_CBX"|"POSTED_WEB_CBX"|"INVOICE_CBX"|"POSTED_ER_CBX"|"POSTED_OFFICE_CBX"|"IN_WRITING_CBX"|"ON_REQUEST_CBX"|"PUBLICIZE_OTHER_CBX"|"NONPAYMENT_CBX"|"HF_AGENCY_CBX"|"HF_LAWSUIT_CBX"|"HF_LIENS_CBX"|"HF_BODY_ATTACH_CBX"|"HF_OTHER_ACTIONS_CBX"|"THIRD_PARTY_CBX"|"TP_AGENCY_CBX"|"TP_LAWSUIT_CBX"|"TP_LIENS_CBX"|"TP_BODY_ATTACH_CBX"|"TP_OTHER_ACTIONS_CBX"|"NOTIFY_ADM_CBX"|"NOTIFY_DIS_CBX"|"NOTIFY_BILL_CBX"|"DOC_DETERM_CBX"|"NOTIFY_OTHER_CBX"|"EMC_POLICY_CBX"|"NO_CARE_CBX"|"NO_POLICY_CBX"|"LIMITED_CBX"|"OTHER_NO_EMC_CBX"|"LOWEST_RATE_CBX"|"AVERAGE_RATE_CBX"|"MEDI_RATE_CBX"|"OTHER_RATE_CBX"|"CHARGE_MORE_CBX"|"GROSS_CHARGE_CBX"|"EXCISE_TAX_CBX"|"REPORT_TAX_CBX"|"TAX_AMT"|"WEBSITE_URL"|"OTHER_WEBSITE_CBX"|"OTHER_WEBSITE_URL"|"RESIDENCY_CBX"|"RECOGNIZED_CURRENT_YEAR_CBX"|"ACQUIRED_CURRENT_YEAR_CBX"|"MULTI_ORG_ASSMT_CBX"|"ADOPT_IMPLEMENT_STRATEGY_CBX"|"IMPLEMENT_STRATEGY_YEAR"|"IMPLEMENT_STRATEGY_POSTED_CBX"|"IMPLEMENT_STRATEGY_WEBSITE"|"IMPLEMENT_STRATEGY_ATTACHED_CBX"|"UNDERINSURANCE_CBX"|"INFO_REQ_FA_CBX"|"SUPPORT_DOC_FA_CBX"|"CONTACT_INFO_STAFF_FA_CBX"|"CONTACT_INFO_NPO_FA_CBX"|"OTHER_FA_CBX"|"FA_WEBSITE_CBX"|"FA_WEBSITE"|"FA_APPLIC_WEBSITE_CBX"|"FA_APPLIC_WEBSITE"|"FA_PLAIN_WEBSITE_CBX"|"FA_PLAIN_WEBSITE"|"FA_GRATIS_CBX"|"FA_APPLIC_GRATIS_CBX"|"FA_SUMMARY_GRATIS_CBX"|"FA_DISPLAYED_CBX"|"FA_NOTIFIED_COMMUNITY_CBX"|"HF_SELLING_DEBT_CBX"|"HF_LEGAL_ACTIONS_CBX"|"HF_NONE_CBX"|"THIRD_PARTY"|"TP_SELLING_DEBT_CBX"|"LEGAL_ACTIONS_CBX"|"NONE_CBX"
"01-0263198"|"Down East Community Hospital"|"2764"|"1053733"|"Down East Community Hospital"|"1"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"Y"|"Y"|"200.00"|"N"|""|"Y"|"Y"|""|""|""|""|""|"Y"|""|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|""|"N"|""|""|""|""|""|"N"|""|""|""|""|""|""|""|""|""|""|"Y"|""|""|""|""|""|""|""|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0211503"|"Franklin Memorial Hospital"|"2843"|"1065624"|"Franklin Memorial Hospital"|"1"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"Y"|"Y"|"200.00"|"Y"|"300.00"|"Y"|""|""|""|""|""|"Y"|""|""|"Y"|"Y"|""|""|""|""|""|""|"Y"|"Y"|""|""|""|""|""|"N"|""|""|""|""|""|""|""|""|""|""|"Y"|""|""|""|""|""|""|"Y"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0649794"|"MERIDIAN HEALTH SYSTEM INC - SUBORDINATES"|"2915"|"1082137"|"JERSEY SHORE UNIVERSITY MEDICAL CENTER"|"1"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"Y"|"Y"|"200.00"|"Y"|"500.00"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|""|""|""|""|""|"N"|""|""|""|""|""|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|""|""|""|""|""|""|""|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0649794"|"MERIDIAN HEALTH SYSTEM INC - SUBORDINATES"|"2916"|"1082137"|"RIVERVIEW MEDICAL CENTER"|"2"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"Y"|"Y"|"200.00"|"Y"|"500.00"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|""|""|""|""|""|"N"|""|""|""|""|""|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|""|""|""|""|""|""|""|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0649794"|"MERIDIAN HEALTH SYSTEM INC - SUBORDINATES"|"2917"|"1082137"|"OCEAN MEDICAL CENTER"|"3"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"Y"|"Y"|"200.00"|"Y"|"500.00"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|""|""|""|""|""|"N"|""|""|""|""|""|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|""|""|""|""|""|""|""|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0649794"|"MERIDIAN HEALTH SYSTEM INC - SUBORDINATES"|"2918"|"1082137"|"SOUTHERN OCEAN MEDICAL CENTER"|"4"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"Y"|"Y"|"200.00"|"Y"|"500.00"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|""|""|""|""|""|"N"|""|""|""|""|""|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|""|""|""|""|""|""|""|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"02-0223321"|"COTTAGE HOSPITAL"|"2966"|"1089887"|"COTTAGE HOSPITAL"|"1"|"Y"|""|""|""|""|""|""|""|""|""|""|"2008"|"Y"|"N"|"Y"|""|"Y"|""|"Y"|"Y"|""|""|""|""|"Y"|"Y"|""|"Y"|"Y"|"Y"|"200.00"|"Y"|"300.00"|"Y"|"Y"|"Y"|""|"Y"|""|"Y"|"Y"|""|"Y"|"Y"|""|"Y"|""|""|""|"Y"|""|"Y"|"Y"|""|""|""|""|"Y"|"Y"|""|""|""|""|"Y"|"Y"|"Y"|"Y"|""|"Y"|""|""|""|""|""|""|""|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0223482"|"Millinocket Regional Hospital"|"3154"|"1108441"|"Millinocket Regional Hospital"|"1"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"Y"|"Y"|"150.00"|"Y"|"400.00"|"Y"|"Y"|""|""|""|""|""|""|""|"N"|"Y"|""|"Y"|"Y"|"Y"|"Y"|"Y"|""|"Y"|"Y"|"Y"|"Y"|""|""|"Y"|"Y"|"Y"|"Y"|""|""|"Y"|"Y"|"Y"|"Y"|""|"Y"|""|""|""|""|""|""|""|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0078060"|"HENRIETTA D GOODALL HOSPITAL INC"|"3200"|"1114633"|"HENRIETTA D GOODALL HOSPITAL INC"|"1"|"Y"|"Y"|"Y"|""|"Y"|"Y"|""|"Y"|"Y"|""|""|"2011"|"N"|"N"|"Y"|"Y"|"Y"|"Y"|"Y"|""|""|""|""|"Y"|""|""|""|"Y"|"Y"|"Y"|"200.00"|"Y"|"250.00"|"Y"|""|""|""|""|"Y"|""|""|""|"Y"|"Y"|""|"Y"|"Y"|"Y"|""|"Y"|""|"Y"|""|""|""|""|""|"N"|""|""|""|""|""|""|""|""|""|""|"Y"|""|""|""|""|""|""|""|"Y"|"N"|"N"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0603214"|"SAINT FRANCIS HOSPITAL SOUTH, LLC"|"3329"|"1125653"|"SAINT FRANCIS HOSPITAL SOUTH, LLC"|"1"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"Y"|"Y"|"225.00"|"N"|"0.00"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|""|""|"Y"|"Y"|""|"Y"|""|""|"Y"|"Y"|""|"Y"|""|""|""|""|""|"N"|""|""|""|""|""|""|""|""|""|""|"Y"|""|""|""|""|""|""|""|"Y"|"N"|"N"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0284446"|"REDINGTON-FAIRVIEW GENERAL HOSPITAL"|"3530"|"1188071"|"REDINGTON-FAIRVIEW GENERAL HOS"|"1"|"Y"|"Y"|"Y"|""|"Y"|"Y"|"Y"|"Y"|""|""|""|""|"Y"|"N"|"Y"|""|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|""|""|"Y"|""|""|"Y"|"Y"|"Y"|"150.00"|"Y"|"170.00"|"Y"|"Y"|""|""|""|""|""|""|""|"Y"|"Y"|""|"Y"|"Y"|"Y"|"Y"|"Y"|""|"N"|""|""|""|""|""|"Y"|"Y"|"Y"|"Y"|""|""|""|""|"Y"|"Y"|""|"Y"|""|""|""|""|"Y"|""|""|"Y"|"N"|"N"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0130427"|"BRIDGTON HOSPITAL"|"3611"|"1192039"|"BRIDGTON HOSPITAL"|"1"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"Y"|"Y"|"150.00"|"N"|""|"Y"|""|""|""|""|""|""|"Y"|""|"Y"|"Y"|"Y"|""|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|""|""|""|""|""|"N"|""|""|""|""|""|"Y"|""|""|"Y"|""|"Y"|""|""|""|""|""|""|""|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0215227"|"RUMFORD HOSPITAL"|"3612"|"1192042"|"RUMFORD HOSPITAL"|"1"|""|""|""|""|"Y"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"Y"|"Y"|"150.00"|"N"|""|"Y"|""|""|""|""|""|""|"Y"|""|"Y"|"Y"|"Y"|""|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|""|""|""|""|""|"N"|""|""|""|""|""|"Y"|""|""|"Y"|""|"Y"|""|""|""|""|""|""|""|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0212444"|"York Hospital"|"3775"|"1200790"|"York Hospital"|"1"|"N"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"Y"|"Y"|"200.00"|"N"|""|"Y"|"Y"|""|""|""|""|""|""|""|"Y"|"Y"|"Y"|""|""|""|""|"Y"|""|"Y"|"Y"|""|""|""|""|"N"|""|""|""|""|""|""|""|""|""|""|"Y"|""|""|""|""|""|""|""|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0177170"|"WALDO COUNTY GENERAL HOSPITAL"|"4096"|"1217810"|"WALDO COUNTY GENERAL HOSPITAL"|"1"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"Y"|"Y"|"175.00"|"Y"|"225.00"|"Y"|"Y"|""|""|""|""|""|""|""|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|""|"N"|""|""|""|""|""|"N"|""|""|""|""|""|"Y"|"Y"|"Y"|"Y"|""|"Y"|""|""|""|""|""|""|""|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0177170"|"WALDO COUNTY GENERAL HOSPITAL"|"4097"|"1217810"|"ARTHUR JEWELL COMMUNITY HEALTH CTR"|"2"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"Y"|"Y"|"175.00"|"Y"|"225.00"|"Y"|"Y"|""|""|""|""|""|""|""|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|""|"N"|""|""|""|""|""|"N"|""|""|""|""|""|"Y"|"Y"|"Y"|"Y"|""|"Y"|""|""|""|""|""|""|""|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0177170"|"WALDO COUNTY GENERAL HOSPITAL"|"4098"|"1217810"|"DONALD S WALKER HEALTH CENTER"|"3"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"Y"|"Y"|"175.00"|"Y"|"225.00"|"Y"|"Y"|""|""|""|""|""|""|""|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|""|"N"|""|""|""|""|""|"N"|""|""|""|""|""|"Y"|"Y"|"Y"|"Y"|""|"Y"|""|""|""|""|""|""|""|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0177170"|"WALDO COUNTY GENERAL HOSPITAL"|"4099"|"1217810"|"LINCOLNVILLE HEALTH CENTER"|"4"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"Y"|"Y"|"175.00"|"Y"|"225.00"|"Y"|"Y"|""|""|""|""|""|""|""|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|""|"N"|""|""|""|""|""|"N"|""|""|""|""|""|"Y"|"Y"|"Y"|"Y"|""|"Y"|""|""|""|""|""|""|""|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0177170"|"WALDO COUNTY GENERAL HOSPITAL"|"4100"|"1217810"|"SEARSPORT HEALTH CENTER"|"5"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"Y"|"Y"|"175.00"|"Y"|"225.00"|"Y"|"Y"|""|""|""|""|""|""|""|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|""|"N"|""|""|""|""|""|"N"|""|""|""|""|""|"Y"|"Y"|"Y"|"Y"|""|"Y"|""|""|""|""|""|""|""|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0177170"|"WALDO COUNTY GENERAL HOSPITAL"|"4101"|"1217810"|"STOCKTON SPRING REG HEALTH CENTER"|"6"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"Y"|"Y"|"175.00"|"Y"|"225.00"|"Y"|"Y"|""|""|""|""|""|""|""|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|""|"N"|""|""|""|""|""|"N"|""|""|""|""|""|"Y"|"Y"|"Y"|"Y"|""|"Y"|""|""|""|""|""|""|""|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0553478"|"EAST MOUNTAIN HOSPITAL INC"|"4248"|"1221721"|"EAST MOUNTIN HOSPITAL INC"|"1"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"Y"|"Y"|"100.00"|"Y"|"100.00"|"Y"|"Y"|"Y"|""|""|"Y"|""|"Y"|""|"Y"|"Y"|""|""|""|""|""|"Y"|"Y"|"Y"|""|""|""|""|""|"N"|""|""|""|""|""|""|""|""|""|""|"Y"|""|""|""|""|""|""|"Y"|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0227195"|"BLUE HILL MEMORIAL HOSPITAL"|"4593"|"1260110"|"Blue Hill Memorial Hospital"|"1"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|""|"Y"|""|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"200.00"|"Y"|"300.00"|"Y"|"Y"|""|""|""|""|""|""|""|"Y"|"Y"|""|""|""|""|""|"Y"|"Y"|"Y"|""|""|""|""|""|"N"|""|""|""|""|""|""|""|""|""|""|"Y"|""|""|""|""|""|""|""|"Y"|"N"|"N"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0211551"|"ST MARY'S REGIONAL MEDICAL CENTER"|"3826"|"1260126"|"ST MARY'S REGIONAL MEDICAL CENTER"|"1"|"Y"|"Y"|"Y"|""|"Y"|"Y"|"Y"|"Y"|"Y"|""|""|"2011"|"Y"|"N"|"Y"|"Y"|"Y"|""|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|""|""|""|"N"|"Y"|"Y"|"250.00"|"N"|""|"Y"|"Y"|"Y"|""|""|""|""|""|""|"Y"|"Y"|""|"Y"|""|""|""|"Y"|"Y"|"Y"|""|""|""|""|""|"N"|""|""|""|""|""|"Y"|"Y"|"Y"|"Y"|""|"Y"|""|""|""|""|""|""|""|"Y"|"N"|"N"|"N"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"02-0222131"|"FRISBIE MEMORIAL HOSPITAL"|"4613"|"1261089"|"FRISBIE MEMORIAL HOSPITAL"|"1"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"Y"|"Y"|"200.00"|"N"|""|"Y"|"Y"|"Y"|""|""|""|"Y"|""|""|"Y"|"Y"|""|""|""|""|"Y"|"Y"|""|"Y"|"Y"|""|"Y"|""|""|"Y"|"Y"|""|"Y"|""|""|"Y"|"Y"|"Y"|"Y"|""|"Y"|""|""|""|""|""|""|""|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0524834"|"SPRING HARBOR HOSPITAL"|"4634"|"1264995"|"SPRING HARBOR HOSPITAL"|"1"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"Y"|"Y"|"175.00"|"Y"|"175.00"|"Y"|"Y"|"Y"|"Y"|""|""|"Y"|""|""|"Y"|"Y"|""|""|"Y"|"Y"|"Y"|"Y"|""|"Y"|""|""|""|""|""|"N"|""|""|""|""|""|""|""|""|""|""|"Y"|""|""|""|""|""|""|""|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0211494"|"CENTRAL MAINE MEDICAL CENTER"|"4647"|"1266701"|"CENTRAL MAINE MEDICAL CENTER"|"1"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"Y"|"Y"|"150.00"|"N"|""|"Y"|""|""|""|""|""|""|"Y"|""|"Y"|"Y"|"Y"|""|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|""|""|""|""|""|"N"|""|""|""|""|""|"Y"|""|""|"Y"|""|"Y"|""|""|""|""|""|""|""|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0217211"|"INLAND HOSPITAL"|"4648"|"1266702"|"Inland Hospital"|"1"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|""|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"N"|"Y"|"Y"|"200.00"|"N"|""|"Y"|"Y"|""|""|""|""|""|""|""|"Y"|"Y"|""|""|""|""|""|"Y"|"Y"|"Y"|""|""|""|""|""|"N"|""|""|""|""|""|""|""|""|""|""|"Y"|""|""|""|""|""|""|""|"Y"|"N"|"N"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0459837"|"Acadia Hospital Corporation"|"4649"|"1266703"|"Acadia Hospital Corporation"|"1"|"Y"|"Y"|"Y"|""|"Y"|"Y"|"Y"|""|""|""|"Y"|""|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|""|""|""|""|"Y"|""|"Y"|"Y"|"Y"|"Y"|"150.00"|"N"|""|"Y"|"Y"|""|""|""|""|""|""|""|"Y"|"Y"|"Y"|""|""|""|""|"Y"|"Y"|"Y"|""|""|""|""|""|"N"|""|""|""|""|""|""|""|""|""|""|"Y"|""|""|""|""|""|""|""|"Y"|"N"|"N"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"02-0222215"|"ST JOSEPH HOSPITAL"|"3851"|"1278304"|"ST JOSEPH HOSPITAL"|"1"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"Y"|"Y"|"300.00"|"Y"|"222300.00"|"Y"|"Y"|"Y"|""|""|""|""|""|""|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|""|"Y"|""|""|""|""|"Y"|"N"|""|""|""|""|""|""|""|""|""|""|"Y"|""|""|""|""|""|"Y"|""|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0215911"|"Mid Coast Hospital"|"4710"|"1284519"|"Mid Coast Hospital"|"1"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"Y"|"Y"|"200.00"|"Y"|"400.00"|"Y"|"Y"|""|"Y"|""|""|""|""|""|"Y"|"Y"|""|"Y"|"Y"|"Y"|"Y"|"Y"|""|"Y"|""|""|""|""|""|"N"|""|""|""|""|""|""|""|""|""|""|"Y"|""|""|""|""|""|""|""|""|"N"|"N"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0372148"|"THE AROOSTOOK MEDICAL CENTER"|"3891"|"1298332"|"THE AROOSTOOK MEDICAL CENTER"|"1"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|""|"Y"|"2011"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|""|""|""|""|""|"Y"|""|"Y"|"N"|"Y"|"Y"|"200.00"|"N"|""|"Y"|""|""|""|""|""|""|""|"Y"|"Y"|"Y"|""|""|""|""|""|""|"Y"|"Y"|""|""|""|""|"Y"|"Y"|""|""|""|""|"Y"|""|""|""|""|"Y"|"Y"|""|""|""|""|""|""|""|"Y"|"N"|"N"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
