"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"CODE_A"|"EXPENSES_A"|"GRANT_A"|"REVENUE_A"|"SERVICE_A"|"CODE_B"|"EXPENSES_B"|"GRANT_B"|"REVENUE_B"|"SERVICE_B"|"CODE_C"|"EXPENSES_C"|"GRANT_C"|"REVENUE_C"|"SERVICE_C"
"01-0385020"|"HOSPICE VOLUNTEERS OF HANCOCK COUNTY"|"706799"|""|"104764.0000"|""|""|"Patient care support for those living at the end of life and their loved ones, including 148 patients served through over 4700 volunteer service hours."|""|"95857.0000"|""|""|"Bereavement support to those who are grieving the loss of a loved one, with over 1100 gestures of support provided."|""|""|""|""|"Building relationships with colleagues throughout the community including medical and other service providers, business leaders, school personnel and local church members. Continuation of our evensong hospice singers, who provide the gift of comfort to those living at the end of life through bedside music, and growth of our equipment lending program."
"01-0421753"|"REAL J DAIGLE EVANGELSTIC CORPORATION"|"704923"|""|"74086.0000"|""|"85771.0000"|"Facility construction improvement, food clothing,assistance to churches and orphanages in sonora Mexico."|""|""|""|""|""|""|""|""|""|""
"01-0694045"|"FLORIDA BREAST CANCER COALITION RESEARCH FOUNDATION, INC"|"706829"|""|"99029.0000"|""|""|"The Florida Breast Cancer Foundation (FBCF) presented its annual education and advocacy day conference on Saturday, April 16 in Miami Florida and on Saturday, June 16 in TAMPA, Florida, the one-day conferences were a huge success with over 116 (Miami) and 120 (TAMPA) FBCF supporters, advocates, and Breast Cancer survivors in attendance to hear about the latest cutting-edge research, view informational community resource display tables"|""|"85234.0000"|"4783.0000"|""|"The Florida Breast Cancer Foundation (FBCF) believes that to achieve our goal, we must have advocates who are trained and educated in the science of Breast Cancer, current Breast Cancer research data and who know how to practice effective advocacy strategies. The ""Jane Torres scholarship fund"" was established by the Florida Breast Cancer Foundation to assist individuals interested in obtaining education and training in Breast Cancer research and advocacy."|""|"1054717.0000"|"101810.0000"|""|"The Florida Breast Cancer Foundation (FBCF) awards grants for education and research programs statewide. The Florida Breast Cancer Foundation is working to better the lives of those facing Breast Cancer in the Florida community. Education grants are awarded in support of innovative education and research programs throughout Florida. FBCF offers education grants of up to $10,000.00 for innovative projects in the areas of breast health and Breast Cancer education, outreach"
"01-0733180"|"THE GLADES INITIATIVE, INC."|"706830"|""|"341699.0000"|"50.0000"|"188623.0000"|"The work of the Glades Initiative targets both service providers and residents of the Glades communities by investigating service delivery barriers to health and human services, developing strategies to overcome those obstacles and implementing effective strategies. Some of our services target providers through increased collaboration and communication, such as culturally appropriate trainings, medical interpreter training, networking meetings for identified needs"|""|""|""|""|""|""|""|""|""|""
"01-0818635"|"KINGS ACADEMY CHRISTIAN SCHOOL INC"|"706834"|""|"360084.0000"|""|"314662.0000"|"Education"|""|""|""|""|""|""|""|""|""|""
"01-0824559"|"PUPPY CREEK FIRE DEPARTMENT INC"|"706835"|""|"558325.0000"|""|"468239.0000"|"Fire fighting and prevention in the Puppy Creek township of hoke county North Carolina."|""|""|""|""|""|""|""|""|""|""
"01-0824858"|"ANIMAL CARE TRUST"|"706836"|""|"1903413.0000"|""|"244638.0000"|"Overseeing, directing and managing the design and planning of the Animal Care and adoption center in Chattanooga, TN."|""|""|""|""|""|""|""|""|""|""
"01-0825719"|"Vision Rescue International"|"706837"|""|"7840.0000"|"0.0000"|"1400.0000"|"The year was spent sorting and invetorying frames, lenses and equipment In addition, completing and optical lab in La Antigua, Guatemala, in preparation for the screening and glasses preparation for 100,000 students in the Department of Sacatepeques, which will begin in June of 2012."|""|""|""|""|""|""|""|""|""|""
"01-0780689"|"Hollenbeck Police Activities League"|"704936"|""|"146794.0000"|""|"273109.0000"|"Operated the L.A. Mayor's office gang reduction and youth development program, funded by Alma Family Services."|""|"210152.0000"|""|"240735.0000"|"Operated gang reduction and youth development program, funded by Office of Justice, Juvenile Diliquency Prevention."|""|"26466.0000"|""|"38219.0000"|"Operated a program for youth development funded by LA84 Foundation."
"01-0869176"|"MOREHOUSE SENIOR APARTMENTS, INC."|"706838"|""|"59767.0000"|""|""|"In carrying out its exempt purpose, this organization owns and operates a 13 unit government assisted apartment complex for very low-income elderly persons or very low- income persons with disabilities."|""|""|""|""|""|""|""|""|""|""
"01-0869701"|"Center for Civic Policy"|"706839"|""|"950220.0000"|""|""|"Reasearch CCP researched, developed and analyzed public policy that impacts the health and welfare of New Mexicans. We conducted research and helped developed policies on health care reform that would increase access and affordabilityesarched and analyzed policies on reducing global warming, taxation and economic development and ethics in government. Public Education Educated the public throughoput the year about numerous helaht and welfare issues in NM"|""|""|""|""|""|""|""|""|""|""
"01-6000787"|"Brunswick Public Library Association"|"706840"|""|"1215036.0000"|""|"50629.0000"|"The Association provides customary library services to residents of Brunswick, Maine and the surrounding communities."|""|""|""|""|""|""|""|""|""|""
"01-6021559"|"Hyde School"|"706841"|""|"7779974.0000"|"1197789.0000"|"6819948.0000"|"Hyde School was founded to provide a private school education which centers upon individual growth and character development through the teaching of values and courage, integrity, concern for others, leadership and curiousity. Approximately 166 students attended the school in the year ended June 30, 2011."|""|""|""|""|""|""|""|""|""|""
"01-6023974"|"WASHINGTON COUNTY ASSOCIATION FOR RETARDED CITIZENS"|"706842"|""|"312053.0000"|"28927.0000"|""|"WCARC develops and provides support for residential, work, and mental health services programs for more than 100 children and adults."|""|""|""|""|""|""|""|""|""|""
"01-0231382"|"SPRINGVALE PUBLIC LIBRARY ASSOCIATION"|"715187"|""|"271508.0000"|"0.0000"|"271508.0000"|"The Springvale Public Library Association was Created and Operated to Own and Maintain a Special Library for Mutual and Literary Purposes"|""|"0.0000"|"0.0000"|"0.0000"|""|""|"0.0000"|"0.0000"|"0.0000"|""
"01-0249983"|"KENNEBUNK FREE LIBRARY ASSOCIATION"|"715188"|""|"529272.0000"|""|"22528.0000"|"The associataion provided a public library to a town with a population of approximately 11,000"|""|""|""|""|""|""|""|""|""|""
"01-0511583"|"Nothern New England Center for Financial Training"|"715189"|""|"282759.0000"|"0.0000"|"551606.0000"|"Educational programs developed and provided to give bank employess industry-specific background, knowledge and information about the firancial services industry as well as general business knowledge required to participate and compete in their careers. Includes textbooks and reference materials, payments to instructors, advertising and marketing."|""|"56644.0000"|"0.0000"|"82195.0000"|"Seminars and workshops provided to bank employees in order to assist them with training specific to their job responsibilities. Expenses include payment to trainers, facilities iin which th hold the programs, material preparation, meals for attendees and marketing/advertising."|""|"13950.0000"|"0.0000"|"14070.0000"|"Recognition and achievement awards meetings to recognize, congratutate and encourage bank employees who have completed certain program steps and requirements."
"01-0765884"|"NORTH CLACKAMAS CHRISTIAN SCHOOL"|"715190"|""|"617999.0000"|""|""|"Private school for kindergarten through twelfth grade"|""|""|""|""|""|""|""|""|""|""
"01-6047288"|"MOUNT DESERT NURSERY SCHOOL"|"717284"|""|"162726.0000"|""|"152804.0000"|"Operate a Nursery School"|""|""|""|""|""|""|""|""|""|""
"01-0339489"|"St. Joseph's Rehabilitation & Residence"|"717278"|""|"10191546.0000"|""|"12455836.0000"|"Saint Joseph's Manor operates a 121 bed nursing facility and a 44 bed residential care home. Our commitment as a Catholic-sponsored organization is to provide a home-like environment where both the physical and the spiritual needs are met with caring and compassion. In this sanctuary, everyone has the right to be treated with a respect consonant with his or her dignity as a person regardless of physical ability or financial resources."|""|""|""|""|""|""|""|""|""|""
"01-0454077"|"WHA INC"|"713359"|""|"43802.0000"|""|"53931.0000"|"The organization provides housing for lower income citizens"|""|""|""|""|""|""|""|""|""|""
"01-0558182"|"JCPE INVESTMENTS (NFP)"|"713360"|""|""|""|""|"Jcpe Investments holds and manages the investments and fixed assets of John C Proctor endowment"|""|""|""|""|""|""|""|""|""|""
"01-0725179"|"THE FLORENCE MELTON ADULT MINI-SCHOOL CORPORATION"|"713361"|""|"310566.0000"|""|""|"North America and UK Program Development - Establish programs and standards in which faculty members participate in ongoing professional enrichment and expanding the opportunity to acquire Jewish literacy in an intellectually stimulating learning environment"|""|"52500.0000"|"52500.0000"|""|"Covenant Grant Program - Awarded to establish adult learning in Jewish education in small communities The program creates opportunities for high level Jewish adult learning in underserved communities with a Jewish population of 10,000 or fewer"|""|"20764.0000"|""|"6930.0000"|"Alumni Association - The alumni association aims to connect graduates of the Melton School and to steer graduates toward new opportunities for Jewish learning through further classes, meetings and related events to hear speakers and share conversations with other alumni and Melton teachers"
"01-0332353"|"CORINTH HOUSING CORPORATION"|"723236"|""|"137968.0000"|""|"90544.0000"|"Provide low income housing for the elderly, 24 units"|""|""|""|""|""|""|""|""|""|""
"01-0575746"|"Saint Gaiannas Home Inc."|"723239"|""|"178748.0000"|"0.0000"|"0.0000"|"Unwed pregnant mothers (and dependent children, if applicable) will be provided with a safe haven home, that provides social service, shelter and maternity care."|""|"0.0000"|"0.0000"|"0.0000"|""|""|"0.0000"|"0.0000"|"0.0000"|""
"01-0582162"|"CONTEXTUAL FAMILY SERVICES"|"723242"|""|"198115.0000"|""|"97349.0000"|"Provide in home therapy services to 76 families in order to reduce the risk of residential placement of children. The 76 families received approximately 2,000 hours of face to therapy. Many additional hours were provided to families as part of the program."|""|""|""|""|""|""|""|""|""|""
"01-0953296"|"SHREE PASHUPATINATH FOUNDATION USA"|"723244"|""|"48717.0000"|""|"225508.0000"|"Total fund balance at bank by December 2011 is $226,616."|""|""|""|""|""|""|""|""|""|""
"01-0211538"|"Camp O-AT-KA, Inc."|"724478"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0360072"|"SMALL WOODLAND OWNERS ASSOCIATION OF MAINE"|"724479"|""|"255628.0000"|""|"276111.0000"|"We promote sound forest management and long-term woodland stewardship our focus is on educating Small Woodland Owners and the public regarding responsible management we produce a monthly newsletter, sponsor more than 30 free educational workshops per year, exhibit at fairs & shows, cooperate with other non-government organizations and government agencies on outreach efforts, promote our website as a source of information, and respond to hundreds of telephone requests for information."|""|""|""|""|""|""|""|""|""|""
"01-0364237"|"Good Neighbors Inc"|"724480"|""|"2763998.0000"|""|"3538867.0000"|"Home and Community Based Waiver Program services which include 6 licensed Assisted Housing Programs, 4 unlicensed residential programs and 2 community support programs The residential programs serve a total of 27 intellectually disabled adults and the community programs serve a total of 2 intellectually disabled adults The services involve enhancing the daily living skills, personal relationships, recreational/community opportunities and opportunities for personal growth and development."|""|""|""|""|""|""|""|""|""|""
"01-0370827"|"THE BAY SCHOOL"|"724481"|""|"746807.0000"|""|"848608.0000"|"The Bay School is a kindergarten through 8th grade independent school that has worked to integrate adademics and the arts in the Waldorf tradition since 1980. It is accredited by the New England association of schools and colleges and the association of Waldorf schools of North America. Located on a beautiful 36- acre campus, the school encompasses woods, trails, athletic fields, meadows, a chicken coop, greenhouses, forge, and a playground."|""|""|""|""|"Emlen hall, named in honor of the Bay School's founder Jan emlen, serves as a commons building, performance space, and arts facility for nonprofits, artist, lecturers, movement instructors, and schools from the greater blue hill community."|""|""|""|""|"Encouraging faculty and staff professional development, and when applicable, sharing these opportunities with the greater blue hill community."
"01-0524329"|"KENNEBEC VALLEY DENTAL COALITION"|"724482"|""|"560170.0000"|""|"586308.0000"|"To support the presence of a dental office in kennebec county to provide dental care to individuals covered under Medicaid or who are poor and unable to pay"|""|""|""|""|""|""|""|""|""|""
"01-0595845"|"USA SOUTH ATHLETIC CONFERENCE, INC."|"724484"|""|"257843.0000"|""|"368221.0000"|""|""|""|"0.0000"|""|""|""|""|""|""|""
"01-0626449"|"GATEWAY MONTESSORI SCHOOL INC"|"724486"|""|"327164.0000"|""|"332837.0000"|"During this fiscal year, gateway entered its fifth year of operation, offering 3 programs for children ages 15 months to 3 years, 3 to 6 years, and children under 15 months and their parents by the end of the school year, in June 2011, a total of 46 children were enrolled 11 in the infant community, 30 in the children's house, and 5 in the parent-infant program in addition to these 3 programs, gateway conducted two summer program sessions,4 weeks each, during June, July and August 2011"|""|""|""|""|""|""|""|""|""|""
"01-0720150"|"Idaho Virtual Academy LEA No 452"|"724487"|""|"12907551.0000"|""|""|"The online charter school aims to empower students with an innovative and effective educational program"|""|""|""|""|""|""|""|""|""|""
"01-0970728"|"THE MEGAN FURTH MEMORIAL FUND"|"724489"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0314110"|"AMICUS"|"715589"|""|"1351860.0000"|""|"1444985.0000"|"The bouchea center for learning provided 65 adults with supports such as physical, occupational, and communication therapy on a varied daily schedule and includes the use of community sites for activities and socialization. Support in all activities of daily living seeks to increase independence and satisfaction with everyday experiences while enhancing social and emotional stabilities, security, and confidence."|""|"1085691.0000"|""|"1154680.0000"|"Phoenix employment and rehabilitaion programs helped 113 men and women with disabilities prepare for and find meaningful careers."|""|"1038959.0000"|""|"1091549.0000"|"Penobscot valley industries provided 65 participants with a wide range of innovative community-based and on-site options to find and develop talents, to know the community, to develop friendsips, and to increase independence."
"01-0817571"|"Pepperwood Foundation"|"715711"|""|"942472.0000"|"0.0000"|"71053.0000"|"Empowers our community with the knowledge and inspiration needed to protect our Northern California natural heritage for generations to come. Pepperwood partners with the Califorrnia Academy of Sciences, Santa Rosa Junior College, University of California, and the Community Foundation Sonoma County to jprovide the highest caliber community-based educational services, research and monitoringproiects."|""|""|""|""|""|""|""|""|""|""
"01-0019705"|"ANCIENT FREE AND ACCEPTED MASONS OF MAINE GRAND LODGE"|"725843"|""|""|""|""|"Sponsor an annual communication convention for the benefit of approximately 22jjoo members of about 200 lodges and maintain listing on all members in Maine."|""|""|""|""|"PRODUCE A PERIODIC MAGAZINE,""THE MAINE MASON""u OFFERING TIMELY ARTICLES AND MAINTAIN AN INVENTORY OF PUBLICATIONS AND OTHER SUPPLIES OF INTEREST TO MEMBERS OF FREEMASONRY. MAINTAIN A WEBSITE FOR ALL MEMBERS TO ACCESS INFORMATION ON EVENTS AND TOPICS RELEVENT TO THE ALL LODGES AND MASONS."|""|""|""|""|""
"01-0332058"|"Hancock County Auditorium Associates"|"725855"|""|"155894.0000"|"0.0000"|"111501.0000"|"On Screen Films and High Definition Digital Broadcasts Presentation of independent and world cinema offerings that are recognized for exceptional quality and significance The Metropolitan Opera Live in high definition Digital broadcasts of world wide live theater documentaries and otherpresentations"|""|"170953.0000"|"0.0000"|"95604.0000"|"Performances and Theatrical Productions Music, theater and cultural programs featuring high quality performing arts on a regular basis Offerings include a diverse mix of music performancecomedy, dancej musicals, dramas and other stage presentations"|""|"69502.0000"|"0.0000"|"22638.0000"|"Arts Education. Performing Arts for Children Partnering with Maine schools. and home schooled children to provide cultural education through a series of high quality performing arts events for children Summer theater camp - Providing theatrical training for youth and an opportunity for them to stage a live producation for an audience Arts educational workshops throughout the year for all ages"
"01-0332769"|"FREEPORT COMMUNITY SERVICES"|"725856"|""|"50106.0000"|"7917.0000"|"44677.0000"|"Information and referral services- to facilitate programs designed to address defined needs to provide information and referrals concerning social services and other human needs"|""|"207960.0000"|"19792.0000"|"185432.0000"|"Family crisis services- to provide direct services to people of need in the Freeport and pownal communities, including the operation of a food pantry to provide emergency food"|""|"70474.0000"|"11875.0000"|"62840.0000"|"Camp fund- FCS's goal is to assist children who would not otherwise be able to attend a summer camp program a camp experience builds confidence and offers a chance for each child to feel success"
"01-0340713"|"KENNEBEC MONTESSORI SCHOOL"|"725857"|""|"430815.0000"|"2650.0000"|"596112.0000"|"The organization provided montessori education and child care services"|""|""|""|""|""|""|""|""|""|""
"01-0345826"|"Richmond Health Center"|"725859"|""|"101836.0000"|""|""|"Building that is maintained for medical professionals to deliver medical care."|""|""|""|""|""|""|""|""|""|""
"01-0346613"|"NORTHEAST OCCUPATIONAL EXCHANGE"|"725860"|""|"1813157.0000"|""|"2518551.0000"|"Community integration services"|""|"1610266.0000"|""|"1745446.0000"|"Outpatient treatment"|""|"190982.0000"|""|"338918.0000"|"Substance abuse"
"01-0353371"|"Salt, Inc."|"725861"|""|"247818.0000"|"0.0000"|"418282.0000"|"Offered Programs for students in journalism, photography, and radio. The current fiscal year saw the completion of a fall & spring semester with a total of approximately 60 students."|""|""|""|""|""|""|""|""|""|""
"01-0355090"|"LOVEJOY HEALTH CENTER, INC"|"725862"|""|"27393.0000"|""|"58279.0000"|"The facility is part of the health reach organization. It provides health care to rural areas of Maine."|""|""|""|""|""|""|""|""|""|""
"01-0355896"|"JOHN F MURPHY HOMES INC"|"725863"|""|"5215896.0000"|""|""|"Nursing and developmental training - to provide room and board and training, daily living skills and social integration into the community for mentally retarded adults"|""|"1027595.0000"|""|""|"Residential care - to provide necessary residential developmental and habilttative services for mentally retarded adults to enable them to learn to live independently"|""|"388471.0000"|""|""|"Respite programs - to provide community and residential respite services, through a residential facility, on behalf of disabled persons"
"01-0359180"|"MAINE COALITION TO END DOMESTIC VIOLENCE"|"725865"|""|"415668.0000"|""|""|"Engaging men. McEdv is partnering with black bear sports properties, university of Maine at Orono and spruce run association to create and implement a public education and community organizing project to encourage men and boys to work as Allies with women and girls to prevent violence against women and girls."|""|"370489.0000"|""|"3467.0000"|"Public policy and coordination - statewide office that supports community-based projects through advocacy and technical assistance and promotes intervention to increase public awareness of family violence issues."|""|""|""|""|"Rural Domestic Violence, sexual assault, dating violence and stalking grant program. McEdv is partnering with the state of Maine office of child and family services and the nine Domestic Violence resource centers to enhance the child protective and Domestic Violence response to adult Domestic Violence victims and their abusers involved in the Maine child protective system."
"01-0361328"|"MAINE MOTOR TRANSPORT ASSOCIATION"|"725866"|""|""|""|""|"Member services - provision of group turnpike billing for member convenience. Drug testing to promote industry safety."|""|""|""|""|"Conventions & meetings - seminars to educate members about industry affairs. Driving competition to promote safety. Industry tradeshow."|""|""|""|""|"Publications - newsletter and magazine to provide members with industry information and current developments."
"01-0363374"|"MAINE AFL-CIO HOUSING DEVELOPMENT INC"|"725867"|""|""|""|""|"Operation of low income housing for the elderly and handicapped"|""|""|""|""|""|""|""|""|""|""
"01-0368153"|"THE PROGRESS CENTER, INC."|"725868"|""|"789665.0000"|""|"850300.0000"|"Residential group homes - organization operates three group homes for adults with disabilities requiring residential support in daily living in a congregate setting (4 to 6 residents per home)."|""|"636036.0000"|""|"755304.0000"|"Day habilitation services - provides assistance to adults with disabilities with acquisition, retention, or improvement of self-help, socialization and adaptive skills, which takes place in a non-residential setting. Services focus on enabling the individual to attain and maintain his or her maximum functional level through activities consistent with the individuals personal plan."|""|"560493.0000"|""|"697489.0000"|"Shared living - contracts with homeowners in local communities to provide homes for individuals who want to live in a family setting."
"01-0369793"|"Facilities Inc"|"725869"|""|"100255.0000"|""|""|"Providing rental units and counseling to other non-profit organizations on various residential facilities available"|""|"11826.0000"|""|""|"Encouraging people from Aroostook County to pursue post-secondary education in the fields of Mental Health, Substance Abuse, Speech/Language with the intention of returning to Aroostook County to practice"|""|""|""|""|""
"01-0114110"|"MAINE WATER UTILITIES ASSN"|"725844"|""|"41348.0000"|""|"71349.0000"|"Water utility educational services."|""|"81740.0000"|""|"130626.0000"|"Educational seminars as available."|""|"12357.0000"|""|"17591.0000"|"Publish newsletter and journal related to activities."
"01-0316964"|"RILEY SCHOOL, INC."|"721181"|""|"927447.0000"|""|""|"School - education instruction on primary grade levels"|""|""|""|""|""|""|""|""|""|""
"01-0349706"|"Onpoint Health Data"|"721182"|""|"4005913.0000"|""|"4608426.0000"|"On Point Health Data focused its activities on developing and maintaining health care data bases to provide accurate and high quality information for educational programs, technical assistance, research projects, and management information systems The data bases provided valuable insight into access, use, and cost of health care services, allowed users to plan for changes in the health care delivery system and provided information for the evaluation of quality of care being rendered"|""|""|""|""|""|""|""|""|""|""
"01-0473116"|"Peregrine Corporation"|"721183"|""|"1371290.0000"|""|"1722765.0000"|"Mr waiver services - this program supports an apartment program that is designed specifically for individuals who have the ability to live in their own apartments with support this program was developed for people who had chosen to live independently but required some additional support for them to be successful this program was the first of its kind in the state for people with intellectual disabilities and has served as a model for several similar developments elsewhere"|""|"892982.0000"|""|"967994.0000"|"Mh services - this program is to support the participant's access to the community and resources that will enhance their participation in the community they live and their quality of life"|""|"827147.0000"|""|"882249.0000"|"Strive-- this program is a two year residentially-based program that provides post secondary education and training to young adults with developmental disabilities in the realms of residential, employment, and community skills with the goal of enabling its graduates to live and work as full community members with maximum independence, productivity, and dignity"
"01-0659217"|"DONATE LIFE NORTH CAROLINA"|"721185"|""|"248780.0000"|""|"371292.0000"|"Provide publications and other written literature to NC department of motor vehicle offices in order to increase the number of North Carolina citizens registering as donors. Maintain a website for informing and registering donors."|""|""|""|""|""|""|""|""|""|""
"01-0856707"|"MONGIL CORPORATION"|"721186"|""|"921033.0000"|""|"878606.0000"|"Operated a 78 unit senior citizens/disabled housing complex and provided social, educational, and cultural activities to its residents."|""|""|""|""|""|""|""|""|""|""
"01-6000802"|"PORTLAND PUBLIC LIBRARY"|"721187"|""|"3580054.0000"|""|"131089.0000"|"Portland Public Library (PPL) is a system of 5 physical locations (4 public libraries and an annex for collections) with annual visitation of around 630,000 people, it is the most heavily visited public cultural institution in Maine In addition, the virtual location receives 6 6 million hits yearly It is a nonprofit organization, governed by a voluntary Board of Trustees, administered by a professional staff of 46 FTE, and assisted by nearly 100 volunteers"|""|""|""|""|""|""|""|""|""|""
"01-0119385"|"Megunticook Golf Club"|"725845"|""|"258404.0000"|""|"38612.0000"|"The Club owns and operates a Olf course for its members and their guests. There is a pro-shop and locker room at the facility. A golf jpro jprovides lessons for a fee. During 2011 the club hosted the Stuart Ferris Kickoff Tournament on 5/28 with 32 members andguests attending, and two Twilight Golf dinners on 6/28 and 8/23 with combined attendance of 97 members and guests."|""|"167790.0000"|""|"65021.0000"|"The Club maintains a clubhouse and restaurant for the members and their guests. There are approximately 200 active memberships, many of which are for couples and families and so estimated total users would be more than 400. The club hosts numerous special events during the season such as Welcome to Summer Dinner on 6/17, with 105 members attending, July 4 Cookout, with 96 members and guests attendings, and the Annual Meeting and Dinner on 8/26, with 91 members attending."|""|"33051.0000"|""|"1488.0000"|"The Club owns and maintains 4 tennis courts for the use of its members and their jniests. A tennis pro provides lessons for a fee. During the 2011 season, the club hosted a Happy Hour Mixed Tennis event on 6/19 with 14 participants."
"01-0211481"|"BANGOR CHILDREN'S HOME"|"725846"|""|"577972.0000"|""|"366847.0000"|"To provide preschool, elementary school, and daycare services to families in the greater Bangor, Maine area. Average enrollment was 69 children."|""|""|""|""|""|""|""|""|""|""
"01-0212438"|"Maine Central Institute"|"725847"|""|"6404174.0000"|"941772.0000"|"9013048.0000"|"Maine Central Institute offers high school and postgraduate programs in Pittsfield, Maine to Maine School Administrative District 53 (SAD 53) and boarding students Education and meals provided for approximately 455 students, housing is provided for approximately 135 students"|""|""|""|""|""|""|""|""|""|""
"01-0245341"|"CORNELIA WARREN COMMUNITY ASSOCIATION"|"713823"|""|"257525.0000"|""|""|"Contributions to the city of Westbrook"|""|""|""|""|""|""|""|""|""|""
"01-0482400"|"COURTYARD AFFORDABLE HOUSING CORP."|"713829"|""|"576100.0000"|""|""|"The organization made available 69 low income housing units whereby eligible tenants could reside in decent, safe, and clean apartments. The organization maintained an estimated occupancy of approximately 90to occupy a unit a resident must meet certain income and household requirements as established by HUD."|""|""|""|""|""|""|""|""|""|""
"01-0466131"|"LA PUBLIC THEATER, INC."|"713906"|""|"413758.0000"|""|"157647.0000"|"The organization provided theatrical performances to the general public, serving approximately 15,500 individuals"|""|""|""|""|""|""|""|""|""|""
"01-6013485"|"BANGOR YMCA FOUNDATION"|"713912"|""|"171667.0000"|"171667.0000"|""|"Assisted Bangor y in carrying out its' charitable, social and benevolent purposes."|""|""|""|""|""|""|""|""|""|""
"01-0246278"|"FOXCROFT ACADEMY TRUSTEES OF"|"725848"|""|"5994489.0000"|""|"7227567.0000"|"The trustees of Foxcroft Academy operate a private secondary school which contracts to provide comprenhesive secondary education to all students in Maine school administrative district (MSAD) 68, other local communities with no secondary school and some private individuals, including boarding students CO-curricular programs form an integral part of that education total student population for FY 2011 was 464"|""|""|""|""|""|""|""|""|""|""
"01-0267492"|"PORTLAND CHEVRA KADISHA"|"725849"|""|"209296.0000"|""|"200805.0000"|"Burial services for members"|""|""|""|""|""|""|""|""|""|""
"01-0276859"|"Aroostook Mental Health Services, Inc."|"725851"|""|"5271459.0000"|"1451102.0000"|"8082706.0000"|"Outpatient services-Served 6,031 clients with 139,220 units of service provided during the year"|""|"4407862.0000"|"1198737.0000"|"6677018.0000"|"Residential facilities are available for mental health and substance abuse patients for use as transitional living until the patients can attain a normal standard of living. There were 554 clients served and 24,890 days of service provided."|""|"1884571.0000"|"504731.0000"|"2188376.0000"|"Emergency/Crisis support. There were 1,681 clients served for a total of 12,243 units of service provided during the year."
"01-0285920"|"East Grand Health Center Inc"|"725852"|""|"215941.0000"|""|"373910.0000"|"Providing medical services for the residents of the northeastern region of Maine"|""|""|""|""|""|""|""|""|""|""
"01-0318051"|"Central Maine Area Agency on Aging Inc"|"725853"|""|"2110193.0000"|""|"1790101.0000"|"Other programs-the organization provides various other programs to aid and assist senior citizens in the central Maine area"|""|"1552227.0000"|""|""|"Nutritional services-provide meals to those unable to leave their homes as well as to the elderly able to come to congregate sites"|""|"717206.0000"|""|""|"Social services-provide outreach legal services, transportation, adult day care and community education to the elderly in six counties"
"01-0321597"|"DIOCESAN BUREAU OF HOUSING"|"725854"|""|"1659298.0000"|""|"1977867.0000"|"The organization provides affordable housing and congregate care for low-income elderly tenants"|""|""|""|""|""|""|""|""|""|""
"01-0370896"|"Maine Association of Retirees, Inc."|"725870"|""|""|""|""|"Advocates for state and federal legislation that benefits Maine's 34,182 retirees using in house staff and professional lobbyists. MAR reviews all legislation that affects public retirees, testifies at hearings, and submits proposals for legislation to improve retiree benefits."|""|""|""|""|"Organizes and conducts one annual meeting and 5 regional meetings throughout the state for members to discuss legislation, benefits, and insurance issues, and provide members information on the various services available to them."|""|""|""|""|"Publish a quarterly newsletter to inform our 15,000 members of insurance, pension, and legislative issues that affect public retirees."
"01-0709158"|"FIRST COAST NO MORE HOMELESS PETS INC"|"725894"|""|"2452242.0000"|"149113.0000"|"1920638.0000"|"The programs of First Coast No More Homeless Pets were established to end the killing of dogs and cats in the animal shelters to control the feral cat population through spay/neuter as well as provide free and low cost spay/neuter surgeries for pets of low income families. Since 2003, over 95,796 pet steriliztions have been performed. The results of the program has been a significant reduction in shelter admissions and euthanasia."|""|""|""|""|""|""|""|""|""|""
"01-0732696"|"FAMILY SUPPORT ORGANIZATION OF UNION COUNTY INC"|"725895"|""|"275602.0000"|""|"446993.0000"|"Provide resources and support groups in Union County for families of children with mental, emotional, and behavioral needs"|""|""|""|""|""|""|""|""|""|""
"01-0756367"|"LONG ISLAND SCHOOL OF THE ARTS FOUNDATION INC"|"725896"|""|"236401.0000"|"1900.0000"|"361700.0000"|"Individual and group education in the performing arts (music, dance, and acting)"|""|""|""|""|""|""|""|""|""|""
"01-0779327"|"ISAIAH'S PLACE"|"725897"|""|"1765854.0000"|""|""|"Provide Private Foster care services in the Miami Valley area"|""|""|""|""|""|""|""|""|""|""
"01-0814995"|"ROTARY SOUTH VALLEY CHARITIES"|"725899"|""|"7757.0000"|"7757.0000"|"57254.0000"|"Charitable foundation that accepts donations to support charitable activities that will benefit Albuquerque, New Mexico and rotary international"|""|""|""|""|""|""|""|""|""|""
"01-0819513"|"DANSVILLE FIRE DEPARTMENT, INC."|"725900"|""|"125203.0000"|"1750.0000"|""|"To serve the local community in fire prevention and suppression and to save lives and property in a fire emergency. The organization serves approximately 6,000 residents in the village of Dansville and town of North Dansville, as well as assisting surrounding communities."|""|""|""|""|""|""|""|""|""|""
"01-0831698"|"Jewish Community Foundation"|"725901"|""|"1664803.0000"|"1520409.0000"|"187821.0000"|"Jewish Community Foundation of Colorado is the planned-giving and endowment arm of the Allied Jewish Federation of Colorado Enterprise For the Jewish Community Foundation (JCF), ensuring a vibrant Jewish future is part of our work every day JCF works with individuals, families"|""|""|""|""|""|""|""|""|""|""
