"C_EIN"|"C_Org_Name"|"RELATED_ORG_ID"|"XML_DOCUMENT_ID"|"REL_ORG_NAME"|"REL_ORG_ADDRESS1"|"REL_ORG_CITY"|"REL_ORG_STATE"|"REL_ORG_COUNTRY"|"REL_ORG_ZIP"|"REL_ORG_EIN"|"REL_ORG_PRIMARY_ACTIVITY"|"REL_ORG_LEGAL_DOM"|"REL_ORG_EXEMPT_CODE"|"REL_ORG_CHARITY_STATUS"|"REL_ORG_CONTROLLING_ENTITY"|"REL_ORG_SEC512_CBX"
"01-0527066"|"EASTERN MAINE HEALTHCARE SYSTEMS"|"817518"|"847937"|"Healthcare Charities"|"43 Whiting Hill Road Suite 400"|"Brewer"|"ME"|"USA"|"04412"|"22-2514163"|"Raise & manage funds for exempt orgs"|"ME"|"501(c)(3)"|"11, Type II"|"EMHS"|"Y"
"01-0527066"|"EASTERN MAINE HEALTHCARE SYSTEMS"|"817519"|"847937"|"Acadia Healthcare Inc AHI"|"43 Whiting Hill Road"|"Brewer"|"ME"|"USA"|"04412"|"22-3183888"|"Provide healthcare services"|"ME"|"501(c)(3)"|"9"|"AHC"|"Y"
"01-0527066"|"EASTERN MAINE HEALTHCARE SYSTEMS"|"817520"|"847937"|"Eastern Maine Medical Center Auxiliary"|"43 Whiting Hill Road"|"Brewer"|"ME"|"USA"|"04412"|"01-0377901"|"Fund raising for exempt EMMC"|"ME"|"501(c)(3)"|"9"|"EMMC"|"Y"
"01-0527066"|"EASTERN MAINE HEALTHCARE SYSTEMS"|"817521"|"847937"|"Acadia Hospital Corp AHC"|"43 Whiting Hill Road"|"Brewer"|"ME"|"USA"|"04412"|"01-0459837"|"Provide healthcare services"|"ME"|"501(c)(3)"|"3"|"EMHS"|"Y"
"01-0527066"|"EASTERN MAINE HEALTHCARE SYSTEMS"|"817522"|"847937"|"Rosscare Nursing Homes Inc"|"43 Whiting Hill Road Suite 400"|"Brewer"|"ME"|"USA"|"04412"|"01-0430751"|"Operation of nursing homes"|"ME"|"501(c)(3)"|"9"|"Rosscare"|"Y"
"01-0527066"|"EASTERN MAINE HEALTHCARE SYSTEMS"|"817523"|"847937"|"Rosscare"|"43 Whiting Hill Road Suite 400"|"Brewer"|"ME"|"USA"|"04412"|"01-0391038"|"Provide services to elderly"|"ME"|"501(c)(3)"|"PF"|"EMHS"|"Y"
"01-0527066"|"EASTERN MAINE HEALTHCARE SYSTEMS"|"817524"|"847937"|"Eastern Maine Healthcare Real Estate"|"43 Whiting Hill Road"|"Brewer"|"ME"|"USA"|"04412"|"01-0391036"|"Leases real estate"|"ME"|"501(c)(2)"|""|"EMHS"|"Y"
"01-0527066"|"EASTERN MAINE HEALTHCARE SYSTEMS"|"817525"|"847937"|"Eastern Maine Medical Center EMMC"|"489 State Street PO Box 404"|"Bangor"|"ME"|"USA"|"04402-0404"|"01-0211501"|"Provide healthcare services"|"ME"|"501(c)(3)"|"3"|"Eastern Maine Healthcare Systems EMHS"|"Y"
"01-0612870"|"METHODIST TRANSPLANT PHYSICIANS"|"817526"|"847938"|"DALLAS METHODIST HOSPITALS FOUNDATION"|"1441 N BECKLEY AVE"|"DALLAS"|"TX"|"USA"|"75203"|"75-1548343"|"FUND RAISING"|"TX"|"501(C)(3)"|"BOX 7"|"METHODIST HOSPITALS OF DALLAS"|"N"
"01-0612870"|"METHODIST TRANSPLANT PHYSICIANS"|"817527"|"847938"|"METHODIST HOSPITALS OF DALLAS"|"1441 N BECKLEY AVE"|"DALLAS"|"TX"|"USA"|"75203"|"75-0800661"|"HEALTH SYSTEM"|"TX"|"501(C)(3)"|"BOX 3"|""|"N"
"01-0612870"|"METHODIST TRANSPLANT PHYSICIANS"|"817528"|"847938"|"NELLE NORREL FOUNDATION"|"1441 N BECKLEY AVE"|"DALLAS"|"TX"|"USA"|"75203"|"75-6034201"|"FUND RAISING"|"TX"|"501(C)(3)"|"BOX 11 TYPE 1"|"METHODIST HOSPITALS OF DALLAS"|"N"
"01-0612870"|"METHODIST TRANSPLANT PHYSICIANS"|"817529"|"847938"|"PAVILION PROPERTIES"|"1441 N BECKLEY AVE"|"DALLAS"|"TX"|"USA"|"75203"|"75-2284449"|"REAL TITLE HOLDING"|"TX"|"501(C)(2)"|"BOX 11 TYPE 1"|"METHODIST HOSPITALS OF DALLAS"|"N"
"01-0612870"|"METHODIST TRANSPLANT PHYSICIANS"|"817530"|"847938"|"MEDHEALTH"|"1441 N BECKLEY AVE"|"DALLAS"|"TX"|"USA"|"75203"|"75-2896138"|"HEALTH SERVICES"|"TX"|"501(C)(3)"|"BOX 11 TYPE 1"|"METHODIST HOSPITALS OF DALLAS"|"N"
"01-0612870"|"METHODIST TRANSPLANT PHYSICIANS"|"817531"|"847938"|"PHYSICIANS ASSOC OF SW DALLAS"|"1441 N BECKLEY AVE"|"DALLAS"|"TX"|"USA"|"75203"|"75-2966610"|"HEALTH SERVICES"|"TX"|"501(C)(3)"|"BOX 11 TYPE 1"|"METHODIST HOSPITALS OF DALLAS"|"N"
"01-0612870"|"METHODIST TRANSPLANT PHYSICIANS"|"817532"|"847938"|"ASSOC OF SURGICAL CARE"|"1441 N BECKLEY AVE"|"DALLAS"|"TX"|"USA"|"75203"|"26-2126265"|"HEALTH SERVICES"|"TX"|"501(C)(3)"|"BOX 11 TYPE 1"|"METHODIST HOSPITALS OF DALLAS"|"N"
"01-0612870"|"METHODIST TRANSPLANT PHYSICIANS"|"817533"|"847938"|"MHSR MEDICAL CENTER"|"1441 N BECKLEY AVE"|"DALLAS"|"TX"|"USA"|"75203"|"26-4193362"|"HOSPITAL"|"TX"|"501(C)(3)"|"BOX 11 TYPE 1"|"METHODIST HOSPITALS OF DALLAS"|"N"
"01-0536785"|"UNITY FOUNDATION"|"818550"|"847966"|"Good Will Home Association"|"P O Box 159"|"Hinckley"|"ME"|"USA"|"04944"|"01-0211508"|"Education"|"ME"|"501c3"|"2"|""|"N"
"01-0536785"|"UNITY FOUNDATION"|"818551"|"847966"|"Unity College"|"90 Quaker Hill Road"|"Unity"|"ME"|"USA"|"04988"|"01-0275130"|"Education"|"ME"|"501c3"|"2"|""|"N"
"01-0565782"|"The China Training Network"|"818552"|"847968"|"Assemblies of God World Missions"|"1445 Boonville Ave."|"Springfield"|"MO"|"USA"|"65802"|""|"Church Mission Org"|"Missouri"|"501c3"|"Religious Inst"|"No"|"N"
"02-0223176"|"NEW HAMPSHIRE MEDICAL SOCIETY"|"818553"|"847975"|"JOHN P, BOWLER, M. D. MEMORIAL LIBRARY"|"7 NORTH STATE STREET"|"CONCORD"|"NH"|"USA"|"03301"|"23-7425858"|"THE ESTABLISHMENT, MAINTENANCE AND OPERATION OF A MEDICAL LIBRARY"|"NEWHAMPSHIRE"|"501(C)(3)"|"LINE 11B. II"|""|"N"
"01-0603034"|"Rural Health Collaborative of Southern Ohio"|"819606"|"850504"|"Adams County Regional Medical Center"|"230 Medical Center Drive"|"Seaman"|"OH"|"USA"|"45679"|"31-6402534"|"Hospital"|"OH"|""|""|""|"N"
"01-0603034"|"Rural Health Collaborative of Southern Ohio"|"819607"|"850504"|"Highland District Hospital"|"1275 North High Street"|"Hillsboro"|"OH"|"USA"|"45133"|"31-0653685"|"Hospital"|"OH"|""|""|""|"N"
"01-0603034"|"Rural Health Collaborative of Southern Ohio"|"819608"|"850504"|"HealthSource of Ohio"|"5400 Dupont Circle, Suite A"|"Milford"|"OH"|"USA"|"45150"|"31-0884250"|"Physician Offices"|"OH"|"501(c)(3)"|"3"|""|"N"
"01-0495250"|"Ingraham Housing Corporation"|"820950"|"853388"|"Youth Alternatives Ingraham"|"50 Lydia Lane"|"South Portland"|"ME"|"USA"|"04106"|"01-0316041"|"Deliver social services and mental health care services"|"ME"|"501(c)(3)"|"Line 7"|""|"N"
"01-0153960"|"ST ANDREWS HOSPITAL"|"821252"|"853594"|"LINCOLN COUNTY MEDICAL GROUP"|"6 ST ANDREWS LANE"|"BOOTHBAY HARBOR"|"ME"|"USA"|"04538"|"26-3878235"|"PHYS SVC"|"ME"|"501C3"|"3"|"LCH"|"N"
"01-0153960"|"ST ANDREWS HOSPITAL"|"821253"|"853594"|"LINCOLN COUNTY HEALTH CARE INC"|"LCH 6 ST ANDREWS LANE"|"BOOTHBAY HARBOR"|"ME"|"USA"|"04538"|"26-1475629"|"HEALTH SVC"|"ME"|"501C3"|"11C"|"MH"|"N"
"01-0153960"|"ST ANDREWS HOSPITAL"|"821254"|"853594"|"MILES MEMORIAL HOSPITAL"|"35 MILES STREET"|"DAMARISCOTTA"|"ME"|"USA"|"04543"|"01-0211796"|"HOSP SVC"|"ME"|"501C3"|"3"|"LCH"|"N"
"01-0153960"|"ST ANDREWS HOSPITAL"|"821255"|"853594"|"COVES EDGE INC"|"26 SCHOONER STREET"|"DAMARISCOTTA"|"ME"|"USA"|"04543"|"01-0382340"|"LT CARE SV"|"ME"|"501C3"|"3"|"LCH"|"N"
"01-0153960"|"ST ANDREWS HOSPITAL"|"821256"|"853594"|"MAINEHEALTH (MH)"|"110 FREE STREET"|"PORTLAND"|"ME"|"USA"|"04101"|"01-0431680"|"HEALTHCARE"|"ME"|"501C3"|"11C"|""|"N"
"01-0465231"|"Norumbega Medical Specialists LTD"|"821282"|"853597"|"Eastern Maine Healthcare Systems"|"43 Whiting Hill Road"|"Brewer"|"ME"|"USA"|"04412"|"01-0527066"|"Supporting organization for healthcare affiliates"|"ME"|"501(c)(3)"|"11, Type II"|""|"Y"
"01-0465231"|"Norumbega Medical Specialists LTD"|"821283"|"853597"|"Eastern Maine Medical Center (EMMC"|"PO Box 404, 489 State Street"|"Bangor"|"ME"|"USA"|"04402-0404"|"01-0211501"|"Provide healthcare services"|"ME"|"501(c)(3)"|"3"|"EMHS"|"Y"
"01-0465231"|"Norumbega Medical Specialists LTD"|"821284"|"853597"|"Eastern Maine Healthcare Real Esta"|"43 Whiting Hill Road"|"Brewer"|"ME"|"USA"|"04412"|"01-0391036"|"Leases real estate"|"ME"|"501(c)(2)"|""|"EMHS"|"Y"
"01-0465231"|"Norumbega Medical Specialists LTD"|"821285"|"853597"|"Rosscare"|"43 Whiting Hill Road, Ste 400"|"Brewer"|"ME"|"USA"|"04412"|"01-0391038"|"Provide services to elderly"|"ME"|"501(c)(3)"|"PF"|"EMHS"|"Y"
"01-0465231"|"Norumbega Medical Specialists LTD"|"821286"|"853597"|"Rosscare Nursing Homes, Inc."|"43 Whiting Hill Road, Ste 400"|"Brewer"|"ME"|"USA"|"04412"|"01-0430751"|"Operation of nursing homes"|"ME"|"501(c)(3)"|"9"|"Rosscare"|"Y"
"01-0465231"|"Norumbega Medical Specialists LTD"|"821287"|"853597"|"Acadia Hospital Corp. (AHC)"|"43 Whiting Hill Road"|"Brewer"|"ME"|"USA"|"04412"|"01-0459837"|"Provide healthcare services"|"ME"|"501(c)(3)"|"3"|"EMHS"|"Y"
"01-0465231"|"Norumbega Medical Specialists LTD"|"821288"|"853597"|"Eastern Maine Medical Center Auxilia"|"43 Whiting Hill Road"|"Brewer"|"ME"|"USA"|"04412"|"01-0377901"|"Fund raising for exempt Eastern Maine Medical Center"|"ME"|"501(c)(3)"|"9"|"EMMC"|"Y"
"01-0465231"|"Norumbega Medical Specialists LTD"|"821289"|"853597"|"Acadia Healthcare, Inc."|"43 Whiting Hill Road"|"Brewer"|"ME"|"USA"|"04412"|"22-3183888"|"Provide healthcare services"|"ME"|"501(c)(3)"|"9"|"AHC"|"Y"
"01-0465231"|"Norumbega Medical Specialists LTD"|"821290"|"853597"|"Healthcare Charities"|"43 Whiting Hill Road, Ste 400"|"Brewer"|"ME"|"USA"|"04412"|"22-2514163"|"Raise and manage funds for exempt organizations"|"ME"|"501(c)(3)"|"11 Type II"|"EMHS"|"Y"
"01-0465231"|"Norumbega Medical Specialists LTD"|"821291"|"853597"|"Inland Hospital"|"200 Kennedy Memorial Drive"|"Waterville"|"ME"|"USA"|"04901"|"01-0217211"|"Provide healthcare services"|"ME"|"501(c)(3)"|"3"|"EMHS"|"Y"
"01-0465231"|"Norumbega Medical Specialists LTD"|"821292"|"853597"|"Lakewood, A Continuing Care Center"|"220 Kennedy Memorial Drive"|"Waterville"|"ME"|"USA"|"04901"|"01-0421234"|"Provide skilled and long-term nursing care"|"ME"|"501(c)(3)"|"3"|"Inland Hospital"|"Y"
"01-0465231"|"Norumbega Medical Specialists LTD"|"821293"|"853597"|"C.A. Dean Memorial Hospital and Nurs"|"Pritham Avenue, PO Box 1129"|"Greenville"|"ME"|"USA"|"04441-1129"|"04-3341666"|"Provide healthcare services"|"ME"|"501(c)(3)"|"3"|"EMHS"|"Y"
"01-0465231"|"Norumbega Medical Specialists LTD"|"821294"|"853597"|"Sebasticook Valley Health (SVH)"|"447 North Main Street"|"Pittsfield"|"ME"|"USA"|"04967"|"01-0263628"|"Critical care hospital"|"ME"|"501(c)(3)"|"3"|"EMHS"|"Y"
"01-0465231"|"Norumbega Medical Specialists LTD"|"821295"|"853597"|"The Aroostook Medical Center (TAMC)"|"PO Box 151, 140 Academy Street"|"Presque Isle"|"ME"|"USA"|"04769-0151"|"01-0372148"|"Provide healthcare services"|"ME"|"501(c)(3)"|"3"|"EMHS"|"Y"
"01-0465231"|"Norumbega Medical Specialists LTD"|"821296"|"853597"|"TAMC Title Corp."|"PO Box 151, 140 Academy Street"|"Presque Isle"|"ME"|"USA"|"04769-0151"|"01-0389226"|"Real estate holding company"|"ME"|"501(c)(2)"|""|"TAMC"|"Y"
"01-0465231"|"Norumbega Medical Specialists LTD"|"821297"|"853597"|"TAMC Endowments"|"PO Box 151, 140 Academy Street"|"Presque Isle"|"ME"|"USA"|"04769-0151"|"01-0389222"|"Raise funds for exempt organizations"|"ME"|"501(c)(3)"|"11 Type I"|"TAMC"|"Y"
"01-0465231"|"Norumbega Medical Specialists LTD"|"821298"|"853597"|"Horizons Health Services"|"PO Box 151, 140 Academy Street"|"Presque Isle"|"ME"|"USA"|"04769-0151"|"01-0504393"|"Provide patient care"|"ME"|"501(c)(3)"|"3"|"TAMC"|"Y"
"01-0465231"|"Norumbega Medical Specialists LTD"|"821299"|"853597"|"Eastern Maine HomeCare"|"PO Box 688"|"Caribou"|"ME"|"USA"|"04736"|"01-0328442"|"Provide home health and hospice services"|"ME"|"501(c)(3)"|"9"|"EMHS"|"Y"
"01-0465231"|"Norumbega Medical Specialists LTD"|"821300"|"853597"|"Maine Institute for Human Genetics a"|"43 Whiting Hill Road"|"Brewer"|"ME"|"USA"|"04412"|"55-0894346"|"Blomedical research and development"|"ME"|"501(c)(3)"|"9"|"EMHS"|"Y"
"01-0465231"|"Norumbega Medical Specialists LTD"|"821301"|"853597"|"Blue Hill Memorial Hospital"|"57 Water Street"|"Blue Hill"|"ME"|"USA"|"04614-5231"|"01-0227195"|"Provide healthcare services"|"ME"|"501(c)(3)"|"3"|"EMHS"|"Y"
"01-0465231"|"Norumbega Medical Specialists LTD"|"821302"|"853597"|"Meadow Wood, LLC"|"43 Whiting Hill Road"|"Brewer"|"ME"|"USA"|"04412"|"27-2935243"|"Provide patient care"|"ME"|"501(c)(3)"|"9"|"AHI"|"Y"
"01-0465231"|"Norumbega Medical Specialists LTD"|"821303"|"853597"|"Inland Family Practice Associates, L"|"200 Kennedy Memorial Drive"|"Waterville"|"ME"|"USA"|"04901"|"27-2942245"|"Provide patient care"|"ME"|"501(c)(3)"|"3"|"Inland Hospital"|"Y"
"01-0465231"|"Norumbega Medical Specialists LTD"|"821304"|"853597"|"Sebasticook Valley Family Practice A"|"447 North Main St"|"Pittsfield"|"ME"|"USA"|"04967"|"01-0357854"|"Provide patient care"|"ME"|"501(c)(3)"|"9"|"SVH"|"Y"
"01-0465231"|"Norumbega Medical Specialists LTD"|"821305"|"853597"|"Sebasticook Valley Health Conventent"|"447 North Main St"|"Pittsfield"|"ME"|"USA"|"04967"|"27-3129791"|"Provide patient care"|"ME"|"501(c)(3)"|"3"|"SVH"|"Y"
"01-0465231"|"Norumbega Medical Specialists LTD"|"821306"|"853597"|"Capitol Convenient Care, LLC"|"43 Whiting Hill Road, Ste 500"|"Brewer"|"ME"|"USA"|"04412"|"27-3671960"|"Provide patient care"|"ME"|"501(c)(3)"|"11, Type II"|"EMHS"|"Y"
"01-0263628"|"SEBASTICOOK VALLEY HEALTH"|"822081"|"853837"|"Eastern Maine Healthcare Systems"|"43 Whiting Hill Road"|"Brewer"|"ME"|"USA"|"04412"|"01-0527066"|"Supporting organization for healthcare affiliates"|"ME"|"501(c)(3)"|"11 TYPE 11"|""|"Y"
"01-0263628"|"SEBASTICOOK VALLEY HEALTH"|"822082"|"853837"|"Eastern Maine Medical Center (EMMC"|"PO BOX 404 489 State Street"|"Bangor"|"ME"|"USA"|"04402-0404"|"01-0211501"|"Provide Healthcare Services"|"ME"|"501(c)(3)"|"3"|"EMHS"|"Y"
"01-0263628"|"SEBASTICOOK VALLEY HEALTH"|"822083"|"853837"|"Eastern Maine Healthcare Real Esta"|"43 Whiting Hill Road"|"Brewer"|"ME"|"USA"|"04412"|"01-0391036"|"leases real estate"|"ME"|"501(c)(2)"|""|"EMHS"|"Y"
"01-0263628"|"SEBASTICOOK VALLEY HEALTH"|"822084"|"853837"|"Rosscare"|"43 Whiting Hill Road"|"Brewer"|"ME"|"USA"|"04412"|"01-0391038"|"provide services to elderly"|"ME"|"501(c)(3)"|"PF"|"EMHS"|"Y"
"01-0263628"|"SEBASTICOOK VALLEY HEALTH"|"822085"|"853837"|"Rosscare Nursing Homes, Inc."|"43 Whiting Hill Road"|"Brewer"|"ME"|"USA"|"04412"|"01-0430751"|"Operation of Nursing Homes"|"ME"|"501(c)(3)"|"9"|"Rosscare"|"Y"
"01-0263628"|"SEBASTICOOK VALLEY HEALTH"|"822086"|"853837"|"Acadia Hospital Corp. (AHC)"|"43 Whiting Hill Road"|"Brewer"|"ME"|"USA"|"04412"|"01-0459837"|"Provide healthcare services"|"ME"|"501(c)(3)"|"3"|"EMHS"|"Y"
"01-0263628"|"SEBASTICOOK VALLEY HEALTH"|"822087"|"853837"|"Eastern Maine Medical Center Auxilia"|"43 Whiting Hill Road"|"Brewer"|"ME"|"USA"|"04412"|"01-0377901"|"Fund raising for exempt Eastern Maine Medical Center"|"ME"|"501(c)(3)"|"9"|"EMMC"|"Y"
"01-0263628"|"SEBASTICOOK VALLEY HEALTH"|"822088"|"853837"|"Acadia Healthcare, Inc."|"43 Whiting Hill Road"|"Brewer"|"ME"|"USA"|"04412"|"22-3183888"|"Provide Healthcare Services"|"ME"|"501(c)(3)"|"9"|"AHC"|"Y"
"01-0263628"|"SEBASTICOOK VALLEY HEALTH"|"822089"|"853837"|"Healthcare Charities"|"43 Whiting Hill Road"|"Brewer"|"ME"|"USA"|"04412"|"22-2514163"|"Raise and manage funds for exempt organizations"|"ME"|"501(c)(3)"|"11 Type II"|"EMHS"|"Y"
"01-0263628"|"SEBASTICOOK VALLEY HEALTH"|"822090"|"853837"|"Norumbega Medical Specialists, LTD"|"43 Whiting Hill Road"|"Brewer"|"ME"|"USA"|"04412"|"01-0465231"|"Provide Patient care and education"|"ME"|"501(c)(3)"|"9"|"EMHS"|"Y"
"01-0263628"|"SEBASTICOOK VALLEY HEALTH"|"822091"|"853837"|"Inland Hospital"|"200 Kennedy Memorial Drive"|"Waterville"|"ME"|"USA"|"04901"|"01-0217211"|"Provide Healthcare Services"|"ME"|"501(c)(3)"|"3"|"EMHS"|"Y"
"01-0263628"|"SEBASTICOOK VALLEY HEALTH"|"822092"|"853837"|"Lakewood, A Continuing Care Center"|"220 Kennedy Memorial Drive"|"Waterville"|"ME"|"USA"|"04901"|"01-0421234"|"Provide Skilled and long-term nursing care"|"ME"|"501(c)(3)"|"3"|"Inland Hospital"|"Y"
"01-0263628"|"SEBASTICOOK VALLEY HEALTH"|"822093"|"853837"|"C.A. Dean Memorial Hospital & Nursing"|"PO Box 1129"|"Greenville"|"ME"|"USA"|"04441-1129"|"04-3341666"|"Provide Healthcare Services"|"ME"|"501(c)(3)"|"3"|"EMHS"|"Y"
"01-0263628"|"SEBASTICOOK VALLEY HEALTH"|"822094"|"853837"|"The Aroostook Medical Center (TAMC)"|"PO Box 151, 140 Academy Street"|"Presque Isle"|"ME"|"USA"|"04769-0151"|"01-0372148"|"Provide Healthcare Services"|"ME"|"501(c)(3)"|"3"|"EMHS"|"Y"
"01-0263628"|"SEBASTICOOK VALLEY HEALTH"|"822095"|"853837"|"TAMC Endowments"|"PO Box 151, 140 Academy Street"|"Presque Isle"|"ME"|"USA"|"04769-0151"|"01-0389222"|"Raise funds for exempt organizations"|"ME"|"501(c)(3)"|"11 Type I"|"TAMC"|"Y"
"01-0263628"|"SEBASTICOOK VALLEY HEALTH"|"822096"|"853837"|"Horizons Health Services"|"PO Box 151, 140 Academy Street"|"Presque Isle"|"ME"|"USA"|"04769-0151"|"01-0504393"|"Provide Patient Care"|"ME"|"501(c)(3)"|"3"|"TAMC"|"Y"
"01-0263628"|"SEBASTICOOK VALLEY HEALTH"|"822097"|"853837"|"Eastern Maine HomeCare"|"PO BOX 688"|"Caribou"|"ME"|"USA"|"04736"|"01-0328442"|"Provide Home health & hospice services"|"ME"|"501(c)(3)"|"9"|"EMHS"|"Y"
"01-0263628"|"SEBASTICOOK VALLEY HEALTH"|"822098"|"853837"|"TAMC Title Corp"|"PO Box 151, 140 Academy Street"|"Presque Isle"|"ME"|"USA"|"04769-0151"|"01-0389226"|"Real Estate Holding Company"|"ME"|"501(c)(2)"|""|"TAMC"|"Y"
"01-0263628"|"SEBASTICOOK VALLEY HEALTH"|"822099"|"853837"|"ME Institute for Human Genetics & He"|"43 Whiting Hill Road"|"Brewer"|"ME"|"USA"|"04412"|"55-0894346"|"Biomedical research & development"|"ME"|"501(c)(3)"|"9"|"EMHS"|"Y"
"01-0263628"|"SEBASTICOOK VALLEY HEALTH"|"822100"|"853837"|"Blue Hill Memorial Hospital (BHMH)"|"57 Water Street"|"Blue Hill"|"ME"|"USA"|"04614-5231"|"01-0227195"|"Provide Healthcare Services"|"ME"|"501(c)(3)"|"3"|"EMHS"|"Y"
"01-0263628"|"SEBASTICOOK VALLEY HEALTH"|"822101"|"853837"|"Meadow Wood LLC"|"43 Whiting Hill Road"|"Brewer"|"ME"|"USA"|"04412"|"27-2935243"|"Provide Patient Care"|"ME"|"501(c)(3)"|"9"|"AHL"|"Y"
"01-0263628"|"SEBASTICOOK VALLEY HEALTH"|"822102"|"853837"|"Inland Family Practice Associates, L"|"200 Kennedy Memorial Drive"|"Waterville"|"ME"|"USA"|"04901"|"27-2942245"|"Provide Patient Care"|"ME"|"501(c)(3)"|"3"|"INLAND HOSPITAL"|"Y"
"01-0263628"|"SEBASTICOOK VALLEY HEALTH"|"822103"|"853837"|"Sebasticook Valley Family Practice A"|"447 North Main Street"|"Pittsfield"|"ME"|"USA"|"04967"|"01-0357854"|"Provide Patient Care"|"ME"|"501(c)(3)"|"9"|"SVH"|"Y"
"01-0263628"|"SEBASTICOOK VALLEY HEALTH"|"822104"|"853837"|"SVH Convenient Care, LLC"|"1573 Main Street"|"Newport"|"ME"|"USA"|"04953"|"27-3129791"|"Provide Patient Care"|"ME"|"501(c)(3)"|"3"|"SVH"|"Y"
"01-0263628"|"SEBASTICOOK VALLEY HEALTH"|"822105"|"853837"|"Capitol Convenient Care, LLC"|"43 Whiting Hill Road"|"Brewer"|"ME"|"USA"|"04112"|"27-3671960"|"Provide Patient Care"|"ME"|"501(c)(3)"|"II, Type II"|"EMHS"|"Y"
"01-0366464"|"KATAHDIN SHARED SERVICES INC"|"823371"|"854203"|"Millinocket Regional Hospital"|"200 Somerset Street"|"Millinocket"|"ME"|"USA"|"04462"|""|"joint venture"|""|"501c3"|""|""|""
"01-0366464"|"KATAHDIN SHARED SERVICES INC"|"823372"|"854203"|"Pensobscot Valley Hospital"|"Transalpine Road"|"Lincoln"|"ME"|"USA"|""|""|"joint venture"|""|"501c3"|""|""|""
"01-0234189"|"Northern Maine Medical Center"|"824572"|"855113"|"Valley Medical Association"|"194 East Main Street"|"Fort Kent"|"ME"|"USA"|"04743"|"22-3245434"|"Medical Physician Practice"|"ME"|"501(C)(3)"|"3"|""|"Y"
"01-0377901"|"Eastern Maine Medical Center Auxiliary"|"824578"|"855117"|"Eastern Maine Healthcare Systems"|"43 Whiting Hill Road"|"Brewer"|"ME"|"USA"|"04412"|"01-0527066"|"Supporting Organization for healthcare affiliates"|"ME"|"501(c)(3)"|"11 Type II"|""|"Y"
"01-0377901"|"Eastern Maine Medical Center Auxiliary"|"824579"|"855117"|"Eastern Maine Medical Center (EMMC"|"P O Box 404, 489 State Street"|"Bangor"|"ME"|"USA"|"04402-0404"|"01-0211501"|"Provide healthcare services"|"ME"|"501(c)(3)"|"3"|"EMHS"|"Y"
"01-0377901"|"Eastern Maine Medical Center Auxiliary"|"824580"|"855117"|"Eastern Maine Healthcare Real Esta"|"43 Whiting Hill Road"|"Brewer"|"ME"|"USA"|"04412"|"01-0391036"|"Leases real estate"|"ME"|"501(c)(3)"|""|"EMHS"|"Y"
"01-0377901"|"Eastern Maine Medical Center Auxiliary"|"824581"|"855117"|"Rosscare"|"43 Whiting Hill Road"|"Brewer"|"ME"|"USA"|"04412"|"01-0391038"|"Provide services to elderly"|"ME"|"501(c)(3)"|"PF"|"EMHS"|"Y"
"01-0377901"|"Eastern Maine Medical Center Auxiliary"|"824582"|"855117"|"Rosscare Nursing Homes, Inc"|"43 Whiting Hill Road"|"Brewer"|"ME"|"USA"|"04412"|"01-0430751"|"Operation of nursing homes"|"ME"|"501(c)(3)"|"9"|"Rosscare"|"Y"
"01-0377901"|"Eastern Maine Medical Center Auxiliary"|"824583"|"855117"|"Acadia Hospital Corp (AHC)"|"43 Whiting Hill Road"|"Brewer"|"ME"|"USA"|"04412"|"01-0459837"|"Provide healthcare services"|"ME"|"501(c)(3)"|"3"|"EMHS"|"Y"
"01-0377901"|"Eastern Maine Medical Center Auxiliary"|"824584"|"855117"|"Acadia Healthcare Inc"|"43 Whiting Hill Road"|"Brewer"|"ME"|"USA"|"04412"|"22-3183888"|"Provide healthcare services"|"ME"|"501(c)(3)"|"9"|"AHC"|"Y"
"01-0377901"|"Eastern Maine Medical Center Auxiliary"|"824585"|"855117"|"Healthcare Charities"|"43 Whiting Hill Road"|"Brewer"|"ME"|"USA"|"04412"|"22-2514163"|"Raise and manage funds for exempt organizations"|"ME"|"501(c)(3)"|"11 Type II"|"EMHS"|"Y"
"01-0377901"|"Eastern Maine Medical Center Auxiliary"|"824586"|"855117"|"Norumbega Medical Specialists, LTD"|"43 Whiting Hill Road"|"Brewer"|"ME"|"USA"|"04412"|"01-0465231"|"Provide patient care and education"|"ME"|"501(c)(3)"|"9"|"EMMC"|"Y"
"01-0377901"|"Eastern Maine Medical Center Auxiliary"|"824587"|"855117"|"Inland Hospital"|"200 Kennedy Memorial Drive"|"Waterville"|"ME"|"USA"|"04901"|"01-0217211"|"Provide healthcare services"|"ME"|"501(c)(3)"|"3"|"EMHS"|"Y"
"01-0377901"|"Eastern Maine Medical Center Auxiliary"|"824588"|"855117"|"Lakewood, A Continuing Care Center"|"220 Kennedy Memorial Drive"|"Waterville"|"ME"|"USA"|"04901"|"01-0421234"|"Provide skilled and long term nursing care"|"ME"|"501(c)(3)"|"3"|"Inland Hospital"|"Y"
"01-0377901"|"Eastern Maine Medical Center Auxiliary"|"824589"|"855117"|"CA Dean Memorial Hospital & Nursing Pritham Avenue"|"P O Box 1129"|"Greenville"|"ME"|"USA"|"04441-1129"|"04-3341666"|"Provide healthcare services"|"ME"|"501(c)(3)"|"3"|"EMHS"|"Y"
