"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"PURPOSE"|"SIG_PROG_SERV_CBX"|"ENGAGE_CBX"|"OTHER_GRANTS"|"OTHER_EXPENSES"|"REVENUE_D"|"EXPENSES_TOTAL"|"SCH_O_III_CBX"
"01-0535534"|"SOMERSET ECONOMIC DEVELOPMENT ECONOMIC DEVELOPMENT"|"873877"|"We assist county businesses and local governments in accessing economic assistance, grants and loans for job growth and retention. Promote Economic Development to 400- clients"|"N"|"N"|""|"88084.0000"|""|"650546.0000"|"Y"
"01-0552691"|"FULCRUM POINT NEW MUSIC PROJECT"|"873878"|"Dedicated to champion diverse New Music, present multi-media performances, generate educational programs and commission of innovative works"|"N"|"N"|""|"93645.0000"|""|"336519.0000"|"Y"
"01-0640326"|"AHWATUKEE CHILDREN'S THEATRE INC"|"873879"|"The Ahwatukee Children's Theatre ACT provides local children and adults education in, appreciation for and opportunities to participate in all aspects of the performing arts ACT also offers family friendly entertainment to the community at large"|"N"|"N"|""|"-330460.0000"|""|"330460.0000"|""
"01-0673538"|"AMERICAN FRIENDS OF YESHIVAT LEV HATORAH"|"873881"|"To provide funding for a school to increase Jewish education for post high school boys"|"N"|"N"|""|""|""|"202200.0000"|""
"01-0027741"|"AUGUSTA MAINE ELKS LODGE NO. 964"|"879152"|"To promote charitable, patriotic and community improvement activities"|"N"|"N"|""|""|""|""|""
"01-0063430"|"B.P.O. ELKS WATERVILLE MAINE LODGE #905"|"879154"|"To inculate the principles of carity, justice, brotherly love & findelityto recognize a belief in godto promote the welfare of its members."|"N"|"N"|""|""|""|""|""
"01-0285449"|"SOUTHERN KENNEBEC CHILD DEVELOPMENT CC"|"879157"|"SKCDC is dedicated to providing and supporting the development of1 and access to, quality early care and education programs that are responsive to children, families and professionals."|"N"|"N"|"0.0000"|"1064863.0000"|""|"4218383.0000"|"Y"
"01-0416939"|"Northern Maine Community College Education Foundation"|"879158"|"Provide scholarships and grants to students of Northern Maine Community College. Provides a vehicle for donations/awards of equipment and money to the college to support vocational and technical education"|"N"|"N"|""|""|""|"5128886.0000"|"Y"
"01-0785049"|"Queens Community Center, Inc."|"879160"|"It is a trade and business school. It offers English as Second Language, pharmacy technician, home health aide, office technology and accounting grqgrams."|"N"|"N"|""|""|""|"434603.0000"|""
"02-0136438"|"Fraternal Order Of Eagles #1464"|"879161"|"To provide services for Eagle Members and to raise funds for duly authorized ernal Order of Eagle Charities and to contribute o worthwhile charitable causes both Local and National."|"N"|"N"|""|""|""|"190725.0000"|""
"01-0881587"|"SIERRA NEVADA JOURNEYS"|"880347"|"Our Mission is to empower youth through positive risk-taking and experiential leadership, science and outdoor education. In short, Sierra Nevada Journeys inspires students to want to learn and accomplishes that through a variety of residential and school-based education programs for students and professional development training for educators."|"N"|"N"|""|""|""|"1139924.0000"|""
"01-0550458"|"STOCKDALE VOLUNTEER FIRE DEPARTMENT"|"884635"|"To maintain, conduct, and support a public Fire Department within the borough of Stockdale, Washington County, Pennsylvania, and vicinity, for the prevention controt, exttngutshment of fires therein, and for the protection of life & property from fire loss."|"N"|"N"|""|""|""|"49432.0000"|"Y"
"01-0605273"|"WE ARE ONE MINISTRIES INC"|"884636"|"We Are One Ministries Inc is a ministry which is focused on leadership development. The vision of We Are One ministrie is to provide opportunities for people of Malawi, Africa to provide orphan care, establish churches, provide education, and provide the necessary skills to help develop local businesses."|"N"|"N"|""|"75174.0000"|""|"75174.0000"|"Y"
"02-0217171"|"Veterans Of Foreign Wars Post #816"|"884638"|"Veterans group providing support for veterans and their families and communities"|"N"|"N"|""|""|""|"0.0000"|""
"01-6013970"|"PYTHIAN SISTERS HOME ASSOCIATION C/0 DONNA GREGORY TREASURER"|"880350"|"Provide assistance for needy Pythian Sisters, orphan of a pythian sister, or those dependent upon a pythian sister, belonging to the grand jurisdiction of Maine"|"N"|"N"|""|""|""|"29953.0000"|""
"01-6019053"|"AMVETS CHARLES J LORING JR POST #25"|"880351"|"Social club for veterans"|"N"|"N"|""|""|""|""|""
"01-0241055"|"MAINE PRINCIPALS' ASSOCIATION"|"884032"|"Promotion of the professional improvement and well being of Maine school principals and promotions of educationally sound student activities conducted by Maine schools"|"N"|"N"|""|""|""|"1793740.0000"|""
"01-0354589"|"EASTPORT HEALTH CARE, INC."|"884034"|"Health services to low income individuals in the area"|"N"|"N"|""|""|""|"3080397.0000"|""
"01-0421974"|"ORR'S AND BAILEY ISLANDS FIRE DEPARTMENT"|"884633"|"Public safety"|"N"|"N"|""|""|""|"229639.0000"|""
"01-0039552"|"CAMDEN YACHT CLUB"|"880325"|"Purpose of promoting all aspects of boating by providingfacilities to support operational needs, programs related to social and educational activities afloat & ashore. As a member of the wider community, CYC, at its discretion makes available certain programs for the benefit of non-members."|"N"|"N"|""|""|""|""|"Y"
"01-0211564"|"UNITED WAY OF ANDROSCOGGIN COUNTY INC"|"880326"|"The United Way ofandroscoggin county's mission is to increase the organized capacity of people who live in Androscoggin County to care for one another"|"N"|"N"|""|""|""|"1296044.0000"|"Y"
"01-0272150"|"Harbor House Community Service Center"|"880329"|"To enrich the quality of life of all people on Mount Desert Island through recreational, educational and social programs"|"N"|"N"|""|""|""|"581217.0000"|""
"01-0382451"|"WHITNEY BROOKSIDE CORPORATION"|"880330"|"The corporation's primary mission is to promote the welfare of elderly families by providing affordable housing in Canton, Maine"|"N"|"N"|""|""|""|"202355.0000"|""
"01-0465864"|"Hospice Volunteers of Somerset County"|"880331"|"In keeping with the philosophy of Hospice, we care for people with life limiting illness, provide support and solace to the grieving, and educate the community."|"N"|"N"|""|""|""|"72810.0000"|""
"01-0478977"|"BIDDEFORD FREE CLINIC"|"880332"|"Medical care for uninsured"|"N"|"N"|""|""|""|"159033.0000"|""
"01-0481458"|"CHANNING CHAPEL PRESERVATION SOCIETY"|"880333"|"To preserve and maintain the Channing Chapel building and grounds for the use ofthe Town of Winter Harbor It is presently rented to the Winter Harbor Library for use as a library and Channing Chapel receives a minimum rent toward the upkeep ofthe Chapel It serves about 500 year-round residents plus additional sasonal residents"|"N"|"N"|""|""|""|""|"Y"
"01-0484568"|"OXFORD HILLS FOOD PANTRY"|"880334"|"To collect and distribute food. To provide food to families and individuals experiencing emergency situations in the Oxford Hills Area."|""|""|"0.0000"|"0.0000"|"0.0000"|"17619.0000"|""
"01-0509793"|"PITTSTON FAIR ASSOCIATION"|"880335"|"Educate public on agricultural issues such as raising livestock"|"N"|"N"|""|""|""|"41821.0000"|""
"01-0530866"|"INSTITUTE FOR HUMANE EDUCATION"|"880336"|"The Institute for Humane Education envisions a world in which people live humanely, sustain ably, and peaceably to create this change, IHE trains people to be humane educators, advances the field of Humane Education, and provides tools and inspiration for living an examined, meaningful life"|"N"|"N"|""|""|""|"147442.0000"|"Y"
"01-0549750"|"FLORIDA ASSISTED LIVING AFFILIATION INC"|"880337"|"To provide an organization where licensed Assisted Living facilities and adult family care homes may combine their efforts to promote excellence in the care, deli very, accountability, and CO St effectiveness of care to adult residents and to advance and support standards, advocacy, educational programs, marketing and research designed to ensure the efficiency, effectiveness, and accountability to the residents and their families"|"N"|"N"|""|""|""|""|"Y"
"01-0564032"|"THE INSTITUTE FOR GIS STUDIES, INC."|"880338"|"Promoting GIs technology through strategic alliances with schools, businesses and government agencies for the purpose of preserving and creating jobs, developing eductional programs, and creating geospatial industry standards."|"N"|"N"|""|""|""|""|""
"01-0566082"|"OROMO CULTURAL CENTER"|"880339"|"Oromo Cultural Center is to encourage education, cultural development and social integration among the Seattle Oromo population The OCC helps refugees in overcoming social, cultural, and economic problems by providing classes, referrals to heplful agencies, and resources for both adults and children"|"Y"|"N"|"0.0000"|"0.0000"|"0.0000"|"2500.0000"|"Y"
"01-0599147"|"DIGITAL MEDIA EDUCATION COMMUNITY MENTORING PROGRAM INC"|"880341"|"Education Mentoring Program"|"N"|"N"|""|""|""|"4566.0000"|""
"01-0620340"|"WHISPERS OF HOPE HORSE FARM"|"880342"|"Enable mentally and/or physically challenged youth or adults in a therapeutic horseback riding program"|"N"|"N"|""|""|""|"7678.0000"|""
"01-0631361"|"Washington International School"|"880343"|"Provide bilingual education to local community. Provide English, Chinese, Math, Art and other education program to local residents in Greater Seattle area. Provide education for about 300 student in different programs"|"N"|"N"|"0.0000"|"0.0000"|"0.0000"|"379789.0000"|""
"01-0714863"|"Community Housing Services Cedar Canyon Inc"|"880345"|"The entity operates a 36 unit lowincome housing project in Richfield, Utah"|"N"|"N"|""|""|""|"250334.0000"|""
"01-0871294"|"New Redeemed Bible Fellowship Inc"|"880346"|"To win individuals to a personal commitment to Jesus Christ through door-to-door witnessing crusades rallies feeding programs and prison ministry"|"N"|"N"|""|""|""|"969.0000"|""
"01-0607464"|"WESTMORELAND APARTMENTS, INC."|"879915"|"To provide clean, safe housing to the low income senior population of Wayne County, West Virginia"|"N"|"N"|""|""|""|"0.0000"|""
"01-0203515"|"SACO VALLEY CREDIT UNION"|"889791"|"Provide members with savings and loan services."|"N"|"N"|""|""|""|"4356186.0000"|""
"01-0237912"|"Boothbay Region YMCA"|"889792"|"Our programs are designed for people of all ages, abilities, faiths, ethnic groups, and incomes. The Boothbay YMCA offers a welcoming atmosphere where participants feel comfortable and receive the support they need to improve their physical, mental, and spiritual health. Our programs help develop self-esteem and self-confidence, build lasting relationships, and increase civic engagement. Services are offered at affordable fees for the community at-large."|"N"|"N"|""|"733035.0000"|"619728.0000"|"1559933.0000"|"Y"
"01-0261000"|"SABATTUS REGIONAL CREDIT UNION"|"889793"|"The Sabattus Regional Credit Union is a strong, regional, member-owned organization whose purpose is to become the primary financial institution for their growing family of members, providing a wide variety of quality, personalized services in an efficient manner"|"N"|"N"|""|""|""|"1463372.0000"|""
"01-0284115"|"THE MAIN IDEA INC"|"889794"|"Asit has since its first session in 1969, the Main Idea continues to provide girls ages 9 through 14 with a comprehensive, residential camping experience that includes land sports, water sports, horse back riding, climbing wall, dance, art, drama, and overnight camping activities thro ugh the challenges of learning a newsport, of spending a night under the stars, of group living in bunks, and of working together to achieve a common goal"|"N"|"N"|""|""|""|"177438.0000"|"Y"
"01-0313213"|"YORK GOLF & TENNIS CLUB"|"889795"|"MemberGolf & Tennis Club"|"N"|"N"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|""
"01-0323915"|"Ambulance Service Inc."|"889796"|"To provide ambulance transport to the residents of northwestern Maine."|"N"|"N"|""|""|""|"681987.0000"|""
"01-0324012"|"MAINE RIGHT TO LIFE COMMITTEE"|"889797"|"The Maine Right To Life Committee (MRLC) is the state affiliate of the national Right To Life Committee and is a statewide nonprofit corporation MRLC was founded to protect and uphold the dignity and worth of each human life from conception to natural death MRLC seeks to uphold the inviolable sanctity of human life from conception to natural death by making abortion, infanticide, and euthanasia socially, ethically, and legally unacceptable and to actively promote positive alternatives education."|"N"|"N"|""|""|""|"46535.0000"|"Y"
"01-0495219"|"BARAN PLACE"|"889798"|"Low income housing"|"N"|"N"|""|""|""|"310102.0000"|""
"01-0520715"|"EQUEST FOUNDATION"|"889799"|"To raise charitable scholarships for students with disabilities who participate at Carlisle Academy integrative equine therapy & sports"|"N"|"Y"|""|""|""|"130514.0000"|"Y"
"01-0521521"|"PISCATAQUIS COUNTY ECONOMIC DEVELOP P C E D C"|"889800"|"Promoting economic development and generating jobs in Piscataquis County Maine"|"N"|"N"|""|"97684.0000"|""|"97684.0000"|"Y"
"01-0528014"|"MAINE FARMLAND TRUST"|"889801"|"The purpose of the Maine Farmland Trust is to permanently preserve and protect Maine's agricultural land, to a ssi St land owners, land trusts, and municipal and state agencies in identifying and protecting agricultural land, and to make those agricultural lands available for farmers in the future"|"Y"|"N"|"4400.0000"|"96555.0000"|"60355.0000"|"1322976.0000"|"Y"
"01-0538200"|"EDGECOMB WOODS"|"889802"|"Provide affordable housing suited to the special needs and requirements of eligible occupants as determined by the u s department of HUD"|"N"|"N"|""|""|""|"184617.0000"|""
"01-0540911"|"JANUS SUPPORTIVE LIVING SERVICES INC"|"889803"|"Residential treatment for 34 persons with mental and/or physical disabilities"|"N"|"N"|""|""|""|"1115651.0000"|""
"01-0577111"|"CHIN BAPTIST MISSION CHURCH"|"889804"|"Worship service on Sunday and Friday, prayer service on the first and second Saturday of each month, mission trip to Dollas Texas, and providing social service to refugees"|"N"|"N"|""|""|""|""|""
"01-0601611"|"HARVEY HOUSE LTD"|"889807"|"To provide safe and decent housing to very lowincome disabled persons"|"N"|"N"|""|""|""|"64374.0000"|""
"01-0635317"|"Hoosier Owners and Providers for the Elderly, Inc."|"889808"|"Advance the interests of members by collaborating with advocates, regulators, legislators and providers in planning for the delivery of quality services to the elderly in an affordable mannerand, provide members with timely information and education at a reasonable cost"|"N"|"N"|""|""|""|""|""
"01-0774114"|"GOVERNMENT INVESTMENT OFFICERS ASSOCIATION"|"889809"|"Provide Training and Support and Training for Government Investment Officers"|"N"|"N"|""|""|""|"86194.0000"|""
"01-0797012"|"BELOVED RAGAMUFFIN MINISTRY"|"889810"|"The mission of the organization"|"N"|"N"|""|""|""|"208541.0000"|""
"01-0862616"|"SHALOM PRAYER CENTER"|"889811"|"Shalom Prayer Center, a ministry of Queen of Angels Monastery, is rooted in the Gospel of Jesus as expressed in the tradition of Benedictine spirituality The Center provides a peaceful environment where men and women of all faiths and cultural traditions are welcome to seek wholeness and deepen their relationship with God Shalom, the Hebrew word meaning peace"|"N"|"N"|""|""|""|"185862.0000"|""
"01-0916120"|"TURTLE MOUNTAIN COMMUNITY DEVELOPMENT FINANCIAL INSTITUTION INCORPORATED"|"889814"|"The Turtle Mountain Community Development Financial Institution is a non-profit, nonpartisan corporation with a mission to promote a healthy and vibrant community by assisting tribal members of the Turtle Mountain band of chippewa on the path to self sufficiency our purpose is to create opportunities and encourage economic development and homeownership options by way of training and technical assistance to the tribal members, as well as access to capital opportunities in which tribal."|"N"|"N"|""|""|""|"131254.0000"|"Y"
"01-0930015"|"BREAKFORTH MINISTRIES AND CONSULTING INC"|"889815"|"Breakforth Ministries and Consulting, Inc."|"N"|"N"|""|""|""|"83146.0000"|""
"01-0951115"|"ALASKA LONGLINE FISHERMENS ASSOCIATION"|"889816"|"ALFA is an association of independent long line fishermen who are committed to CO ntinuingthe sustainable harvest of sable fish, halibut and ground fish, while supporting healthy marine ecosystems and strong coastal communities"|"N"|"N"|""|""|""|"307767.0000"|""
"01-6012414"|"KATAHDIN COUNCIL INC BOY SCOUTS OF AMERICA"|"889817"|"Provide support for boy scout activities"|"N"|"N"|""|""|""|"181876.0000"|""
"02-0105200"|"ACA ASSURANCE"|"889818"|"The Society is currently in Rehabilitation and has sold the remaining block of its insurance programs Most of the lodges have been transferred to another Fraternal Benefit Society during 2011"|"N"|"Y"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"Y"
"02-0119913"|"CLUB CANADIAN INC"|"889819"|"Social club"|"N"|"N"|""|""|""|"212063.0000"|""
"02-0120120"|"COCHECHO COUNTRY CLUB INC"|"889820"|"Provide golf, dining, pool and social services to members"|"N"|"N"|""|""|""|""|"Y"
"02-0132120"|"The Farmington Cemetery Association"|"889821"|"Operation and maintenance of a public cemetery in Farmington, NH"|"N"|"N"|""|""|""|"76978.0000"|""
"02-0179721"|"POLISH AMERICAN CITIZENS CLUB"|"889823"|"The mission of this Club is to take part in charitable and benevolent purposes, develop an interest in social activities as the Club may from time to time designate"|"N"|"N"|""|""|""|""|""
"02-0222215"|"ST JOSEPH HPSPITAL"|"889826"|"To provide compassionate healthcare that contributes to the physical, emotional"|"N"|"N"|""|"1402017.0000"|"1171455.0000"|"134611380.0000"|"Y"
"01-0525615"|"Maine Winter Sports Center"|"893140"|"Train amateur athletes"|"N"|"N"|""|""|""|"1017812.0000"|""
"01-0710619"|"THE WESTWOOD MONTESSORI SCHOOL, INC."|"893141"|"To provide a three-year montessori preschool experience, awaken a love of learning. And assist in the developmental growth of children."|"N"|"N"|""|""|""|"321135.0000"|""
"01-0794721"|"Tikigaqmiut Incorporated"|"893143"|"Tikigaqmiut Inc is a single-purpose, non-profit entity Tikigaqmiut, Inc is dedicated to the development, construction, and management of safe, affordable housing exclusively for low-income elders, age sixty-two and older, in the village of Pt Hope The organization's primary exempt purpose is the construction, maintenance, and management of a senior housing facility subsidized through the HUD Section 202 program As of September 30, 2011"|"N"|"N"|""|""|""|"394314.0000"|""
"01-0709883"|"NAOMI'S HOUSE"|"879917"|"Help single homeless women"|"N"|"N"|"0.0000"|"0.0000"|"0.0000"|"426006.0000"|""
"01-0096117"|"ISLAND COUNTRY CLUB"|"889788"|"pleasure and recreation"|"N"|"N"|""|""|""|""|""
"01-0165117"|"MAINE MERCHANTS ASSOCIATION"|"889789"|"The Association's mission is advocating for a healthy business climate for Maine's Merchants"|"N"|"N"|""|""|""|"139870.0000"|""
"01-0186800"|"YOUNG MEN'S CHRISTIAN ASSOCIATION"|"889790"|"Mission To provide camping experience to children of all ages without regards to their economic status or to their ethnicity"|"N"|"N"|""|""|""|"610248.0000"|""
"01-0535175"|"WINTERKIDS EDUCATION FOUNDATION"|"885940"|"The organization is committed to helping children develop healthy lifelong habits through fun, outdoor winter activities."|"N"|"N"|""|"143359.0000"|""|"143359.0000"|"Y"
"01-0923793"|"CAMP TEN TREES"|"886114"|"Provide a loving and engaging youth camp environment for LGBTQ communities and their Allies."|"N"|"N"|""|""|""|"123464.0000"|""
"01-0386284"|"HOPE HAVEN GOSPEL MISSION INC"|"886253"|"Provide emergency housing and food for the homeless"|"N"|"N"|""|""|""|"278664.0000"|""
"01-0483786"|"BICYCLE COALITION OF MAINE"|"886254"|"To make Maine betterfor bicycling through promotion, education, legislation, and advocacy"|"N"|"N"|""|""|""|"349841.0000"|""
"01-0484793"|"Table of Plenty"|"886255"|""|"N"|"N"|""|""|""|"41223.0000"|""
"01-0552288"|"THE FG FOUNDATION"|"886257"|"The Fg Foundation is a supporting organization of the Columbus foundation the purpose of the Fg Foundation is to support charitable organizations which benefit the community"|"N"|"N"|""|""|""|"60000.0000"|""
"01-0557881"|"GRANDIN THEATRE FOUNDATION, INC."|"886258"|"To preserve the historic Grandin Theatre as a cultural and educational resource devoted to film and the cinematic arts for Western Virginia."|"N"|"N"|""|""|""|"441158.0000"|""
"01-0582284"|"COMMUNITY CONNECTIONS INC"|"886259"|"As a child placement agency, the company successfully provided foster and adoptive homes and support services for children who were in temporary legal custody of the department of family and child ren services of GA the organization served 98 children in 2011"|"N"|"N"|""|""|""|"1604759.0000"|""
"01-0837280"|"Galveston Houston Knights of Columbus Charities, Inc."|"886261"|"The Galveston Houston Knights of Columbus Charities, Inc. 's purpose is to organize and rum a charity golf tournament for the benefit of the Archdiocese of Galveston Houston to support the St. Mary's Seminary, Catholic School Education and Faith Formation. All proceeds from the tournament are turned over to the archdiocese for the above mentioned purposes."|"N"|"N"|""|""|""|"213350.0000"|""
"01-0365189"|"Celebration Inc"|"887815"|"Religious and Charitable 0 rgamzation, formed and funded for the purpose of spreading the Christian religion and its beliefs both domestically and internationally"|"N"|"N"|""|""|""|"1885063.0000"|""
"01-0022320"|"AUGUSTA COUNTRY CLUB"|"888171"|"Maintain and operate 18 hole golf course, club house, tennis, beach, proshop, dining room and lounge operated and maintained for the benefit of members and their guests."|"N"|"N"|""|""|""|"1453722.0000"|""
"01-0340111"|"EAST MILLINOCKET HOUSING CORPORATION"|"888172"|"East Millinocket Housing provides affordable rental housing in 44 apartment units for senior citizens and the handicapped"|"N"|"N"|""|""|""|"398961.0000"|""
"01-0518900"|"THE POPTECH INSTITUTE"|"888173"|"PopTech's mission is to accelerate the positive impact of world-changing people, projects and ideas PopTech is a 15-year-old non-profit organization that serves as a laboratory for disruptive innovation We identify people, projects and ideas at the edge of chantge, catalyze their creative collaboration, and accelerate their real-world impact We instigate and nurture new, collaborative approaches to some of the world's toughest challenges"|"N"|"N"|""|""|""|"2871133.0000"|""
"01-0527319"|"Northern Maine Independent System Administrator Inc"|"888174"|"To facilitate electric retail competition in Northern Maine by administering the electric transmission system and electric power markets"|"N"|"N"|""|""|""|"854413.0000"|""
"01-0625811"|"Freedom Builders of America Inc"|"888176"|"Freedom Builders exists to connect the family of God with the disadvantaged through volunteer opportunities in serving with housing assistance projects"|"Y"|"N"|""|""|""|"120361.0000"|"Y"
"01-0730818"|"CIUDAD DE ANGELES INC"|"888177"|"Childcare for needy children in Mexico"|"N"|"N"|""|""|""|"409240.0000"|""
"01-0779814"|"Leadership Transformations Inc"|"888178"|"0 ur vision is for churches & Christian organizations to be filled with leaders who place spiritual formation, discernment & renewal above all other leadership priorities Our mission is to cultivate vibrant spirituality & attentive discernment among Christian leaders & teams"|"N"|"N"|""|""|""|"453612.0000"|""
"01-0856114"|"CAVALIER KING CHARLES SPANIEL CLUB RESCUE INC"|"888179"|"Animal rescue group providing veterinary and adoption services for Cavalier King Charles spaniels"|"N"|"N"|""|""|""|"230441.0000"|""
"01-0963014"|"Coastal Marin Fund"|"888180"|"Coastal Marin Fund operates exclusively for charitable purposes to raise money for non-profit organizations in West Marin county. The Fund manages the issuance of a local currency that, as it drops out of circulation, leaves 2/3 ofits $3 face value for community charities."|"N"|"N"|""|""|""|"0.0000"|""
"01-0211500"|"DYER LIBRARY ASSOCIATION"|"889375"|"Library and museum services"|"N"|"N"|""|""|""|"714645.0000"|""
"01-0547918"|"MAIN STREET MOBILE TREATMENT ASSOCIATES INC"|"889376"|"To pro vide MO bile and office based psychiatric services to under- privileged/under-served members of the community who suffer from severe mental illnesses by utilizing community partnerships and a holistic approach that tailors interventions to individual needs"|"N"|"N"|""|""|""|"2283458.0000"|"Y"
"01-0273431"|"Centerboard Yacht Club"|"893834"|"The obiect of this club shall be to encourage the sport of yachting, to jpromote the science of seamanship"|"N"|"N"|""|""|""|"121592.0000"|""
"01-0324705"|"THE SUSAN L. CURTIS CHARITABLE FOUNDATION"|"893835"|"To build the individual character, self-confidence and self-esteem of economically disadvantaged Maine children through the provision of tuition-free, high quality camping, educational and social"|"N"|"N"|""|""|""|"514087.0000"|""
"01-0206603"|"COMMUNITY CREDIT UNION"|"893930"|"Community Credit Union is a member owned organization whose purpose is to provide convenient, quality, personalized service while maintaining financial stability"|"N"|"N"|""|""|""|"2737174.0000"|""
"01-0212602"|"Blue Hill Public Library"|"893931"|"Public Library services"|"N"|"N"|""|""|""|"392007.0000"|""
"01-0270233"|"Blue Hill Society for Aid to Children Inc"|"893932"|"Our Mission is to instill in our peninsula area youth a lifelong passion for outdoor recreational and educational experiences Our purpose is to provide opportunities for area youth to experience our local woods, wind and water through a variety of life skills These opportunities will use the natural resources of Maines beauty to promote confidence and self-esteem"|"N"|"N"|""|""|""|"160572.0000"|""
"01-0317602"|"Oceanview Manor Inc"|"893933"|"Oceanview Manor is a not-for-profit community of people living on the picturesque coast of Maine in comfortable, affordable apartments specifically designed for retirees and those with special needs, which recognizes the uniqueness and worth of each resident and encourages on-going sharing of talents, skills and interests, which offers opportunities for creative leisure pursuits, continuous personal growth, varied social activities and interfaith religious services in a pleasant"|"N"|"N"|""|""|""|"556511.0000"|"Y"
"01-0333304"|"FOX ISLANDS ELECTRIC COOPERATIVE INC"|"893934"|"To provide reliable electric service at the lowest cost to residential, commercial and industrial customers on the islands of vinalhaven and North Haven Maine"|"N"|"N"|""|""|""|""|""
"01-0347202"|"HILL STREET TERRACE HOUSING CORPORATION"|"893935"|"Provide low-income housing for the elderly and families"|"N"|"N"|""|"259708.0000"|"92360.0000"|"932844.0000"|"Y"
"01-0355822"|"SPECIAL OLYMPICS MAINE INC"|"893936"|"To provide year-round sports training and athletic competition for children and adults with intellectual disabilities."|"N"|"N"|""|""|""|"676349.0000"|""
"01-0491904"|"MAINE RENEWABLE ENERGY ASSOCIATION"|"893937"|"To associate its members together for their mutual benefits as (1) developers & producers of renewable electric energy, or (2) suppliers of goods & services to such producers"|"N"|"N"|""|""|""|"315760.0000"|""
"01-0504905"|"GULF OF MAINE RESEARCH INSTITUTE"|"893938"|"The Gulf of Maine Research Institute is a neutral and strategically focused marine science center our goal is to support the Gulf of Maine's emergence as one of the world's most vibrant marine communities we are working to balance the stewardship and use of the region's ocean resources, promote stakeholder involvement in sound decision-making, increase the science a spirations of successive generations of young people"|"N"|"N"|""|""|""|"7202984.0000"|"Y"
"01-0505002"|"CAMDEN PUBLIC LIBRARY CENTENNIAL FUND"|"893939"|"To support the Camden Public Library"|"N"|"N"|""|""|""|"119832.0000"|""
"01-0509203"|"CHEBEAGUE RECREATION CENTER, INC."|"893940"|"To provide children, teenagers, adults and seniors with a facility in which they can participate year round in activities specifically designed to fulfill their recreational, educational and social needs and to enhance their skills and enjoyment. The activities will be conducted in a positive alcohol and drug free environment."|"N"|"N"|""|""|""|"232416.0000"|"Y"
"01-0563728"|"COVERED BRIDGE AFFORDABLE HOUSING CORP"|"893941"|"Provide Affordable Housing forthe elderly"|"N"|"N"|""|""|""|"240842.0000"|""
"01-0568603"|"GLOBAL GATEWAY NETWORK"|"893942"|"Equip & network church leaders"|"N"|"N"|""|""|""|"38451.0000"|"Y"
"01-0576305"|"ANNALS OF FAMILY MEDICINE INC"|"893943"|"The Annals of Family Medicine is dedicated to advancing knowledge essential to understanding and improving health and primary care the organization supports a learning community of those who generate and use information about health and generalist health care"|"N"|"N"|""|""|""|"510717.0000"|""
"01-0638903"|"INLIQUIDCOM INC"|"893947"|"Provide opportunities and exposure for visual artists and designers, serving as a free public hub for arts information and resources and making the arts visual more accessible to a audience through community based art exhibitions and programs"|"N"|"N"|""|""|""|"126211.0000"|""
"01-0717802"|"GLOBAL VISION CITADELLE MINISTRIES INC"|"893948"|"Support of Haitian 52 churches and 45 Pastors Our objective is to allow the churches their leaders to Work in progress Founding of All of God s Children Orphanage in Mirebalais, Haiti, with Phases I II III IV Adoptions, Mission Trips, Hurriances Relief, Support of Deaf School and other miscellanceous and Benevolence"|"N"|"N"|""|""|""|""|""
"01-0725431"|"TREASURES 4 TEACHERS INC"|"893949"|"Treasures 4 Teachers bridges the gap between the great need ofteachersand resources available in the business community"|"N"|"N"|""|""|""|"147676.0000"|""
"01-0760818"|"DELAWARE STORM TRAVEL TEAMS I"|"893951"|"To give athletes opportunity to get recurited by CO lleges CO aches for their so ft ball and baseball programs programs"|"N"|"N"|""|""|""|"134547.0000"|""
"01-0788905"|"MASTER BREWERS ASSOCIATION OF THE AMERICAS INC"|"893952"|"To assist the brewing industry to continually improve their processes and products by providing and communicating technical information, and innovation, through the provision of professional development and support"|"N"|"N"|"6698.0000"|"198177.0000"|"370486.0000"|"1081278.0000"|"Y"
"01-3073027"|"MAINE COUNCIL-ATLANTIC SALMON FEDERATION"|"893954"|"The organization's mission is to"|"N"|"N"|""|""|""|"52636.0000"|""
"01-6010628"|"MUSEUM OF ART OF OGUNQUIT D/B/A OGUNQUIT MUSEUM OF AMERICAN ART"|"893955"|"The ogunquit museum of American Art engages and educates a diverse audience by collecting, exhibiting, preserving and int repreting American Art from the 19th century to the present the museum incorporates its unique artistic heritage and setting to enhance the visitors enjoyment and understanding of art"|"N"|"N"|""|""|""|"187711.0000"|"Y"
"01-6023503"|"LE CLUB CALUMET EDUCATIONAL & LITERARY FOUNDATION INC"|"893956"|"To create and maintain an educational fund, and to administer grant and scholarship awards to deserving students"|"N"|"N"|""|""|""|"39850.0000"|""
"02-0159805"|"LITTLETON AREA CHAMBER OF COMMERCE"|"893957"|"To assist in promoting the Littleton Area as the ideal place in Northern New England to live, work, learn, play and retire."|"N"|"N"|""|""|""|"109460.0000"|"Y"
"01-0211533"|"MCARTHUR LIBRARY ASSOCIATION"|"896590"|"Public library"|"N"|"N"|""|""|""|"820695.0000"|""
"01-0221126"|"CASTINE COMMUNITY HOSPITAL"|"896591"|"The corporation supports health care by leasing space to providers."|"N"|"N"|""|""|""|"68330.0000"|""
