"C_EIN"|"C_Org_Name"|"OTHER_FACILITY_ID"|"XML_DOCUMENT_ID"|"OTHER_FAC_NAME"|"OTHER_FAC_STREET"|"OTHER_FAC_CITY"|"OTHER_FAC_STATE"|"OTHER_FAC_COUNTRY"|"OTHER_FAC_ZIP"|"OTHER_FAC_TYPE"
"01-0179500"|"THE WEBBER HOSPITAL ASSOC"|"10588"|"862775"|"SMMC INTERNAL MEDICINE"|"72 MAIN STREET"|"KENNEBUNK"|"ME"|"USA"|"04043"|"INTERNAL MEDICINE PHYSICIAN PRACTICE"
"01-0179500"|"THE WEBBER HOSPITAL ASSOC"|"10589"|"862775"|"SMMC SLEEP LAB"|"45 BARRA ROAD"|"BIDDEFORD"|"ME"|"USA"|"04005"|"SLEEP LAB SERVICES"
"01-0179500"|"THE WEBBER HOSPITAL ASSOC"|"10590"|"862775"|"SMMC REHAB THERAPY"|"41 SPRINGHILL ROAD"|"SACO"|"ME"|"USA"|"04072"|"PHYSICAL AND OCCUPATIONAL THERAPY SERVIC"
"01-0179500"|"THE WEBBER HOSPITAL ASSOC"|"10591"|"862775"|"SMMC PRIMECARE & ANC FACILITY"|"13 INDUSTRIAL PARK ROAD"|"SACO"|"ME"|"USA"|"04072"|"PHYSICIAN OFFICES AND DIAGNOSTIC SERVICE"
"01-0179500"|"THE WEBBER HOSPITAL ASSOC"|"10592"|"862775"|"SMMC PRIMECARE INTERNAL MEDICINE"|"1 GRANNY SMITH ROAD"|"OLD ORCHARD BEACH"|"ME"|"USA"|"04064"|"INTERNAL MEDICINE PHYSICIAN PRACTICE"
"01-0211501"|"Eastern Maine Medical Center"|"10593"|"862777"|"Lafayette Family Cancer Center"|"33 Whiting Hill Road"|"Brewer"|"ME"|"USA"|"04412"|"Med Office Building-Cancer treatment"
"01-0211501"|"Eastern Maine Medical Center"|"10594"|"862777"|"EMMC-Phy Prac in Webber Bld"|"417 State Street"|"Bangor"|"ME"|"USA"|"04401"|"Med Ofice Building-physician svc"
"01-0211501"|"Eastern Maine Medical Center"|"10595"|"862777"|"EMMC-Gynecology Associates"|"404 State St Suite 310"|"Bangor"|"ME"|"USA"|"04401"|"Med Office Building-physician svc"
"01-0211501"|"Eastern Maine Medical Center"|"10596"|"862777"|"EMMC-ME Urologic Surgery of ME"|"55 Broadway Suite 2"|"Bangor"|"ME"|"USA"|"04401"|"Med Office Building-physician svc"
"01-0211501"|"Eastern Maine Medical Center"|"10597"|"862777"|"EMMC-Neuropsychology of ME"|"824 Stillwater Ave Ste B"|"Bangor"|"ME"|"USA"|"04401"|"Med Office Building-physician svc"
"01-0211501"|"Eastern Maine Medical Center"|"10598"|"862777"|"EMMC Orono Family Medicine"|"84 Kelly Road"|"Orono"|"ME"|"USA"|"04473"|"Med Office Building-physician svc"
"01-0211501"|"Eastern Maine Medical Center"|"10599"|"862777"|"Husson Family MedPedInternal"|"302 Husson Ave"|"Bangor"|"ME"|"USA"|"04401"|"Med Office Building-physician svc"
"01-0211501"|"Eastern Maine Medical Center"|"10600"|"862777"|"Lincoln Lake Regional Dialysis"|"250 Enfield Rd"|"Lincoln"|"ME"|"USA"|"04457"|"Med Office Building-outpatient svc"
"01-0211501"|"Eastern Maine Medical Center"|"10601"|"862777"|"EMMC-Sleep Center of Maine"|"290 State Street"|"Bangor"|"ME"|"USA"|"04401"|"Med Office Building-outpatient svc"
"01-0211501"|"Eastern Maine Medical Center"|"10602"|"862777"|"EMMC-Family Medicine of Brewer"|"234 State Street"|"Brewer"|"ME"|"USA"|"04412"|"Med Office Building-physician svc"
"01-0211501"|"Eastern Maine Medical Center"|"10603"|"862777"|"EMMC-Ellsworth Dialysis"|"11 Short Street"|"Ellsworth"|"ME"|"USA"|"04605"|"Med Office Building-dialysis svc"
"01-0211501"|"Eastern Maine Medical Center"|"10604"|"862777"|"Eastern Maine Healthcare Mall"|"885-925 Union Street"|"Bangor"|"ME"|"USA"|"04401"|"Medical Office Building - physician svc,"
"01-0217211"|"INLAND HOSPITAL"|"10605"|"862781"|"Inland Family Practice Assoc"|"80 Waterville Commons Drive"|"Waterville"|"ME"|"USA"|"04901"|"Medical Office Building - Physician Service"
"01-0217211"|"INLAND HOSPITAL"|"10606"|"862781"|"Inland Orthopedics"|"325D Kennedy Memorial Drive"|"Waterville"|"ME"|"USA"|"04901"|"Medical Office Building - Physician Service"
"01-0217211"|"INLAND HOSPITAL"|"10607"|"862781"|"Inland Medical Associates"|"180 Kennedy Memorial Drive"|"Waterville"|"ME"|"USA"|"04901"|"Medical Office Building - Physician Service"
"01-0217211"|"INLAND HOSPITAL"|"10608"|"862781"|"New Horizons Family Medicine Associates"|"10 Washington Street"|"Waterville"|"ME"|"USA"|"04901"|"Medical Office Building - Physician Service"
"01-0217211"|"INLAND HOSPITAL"|"10609"|"862781"|"Inland Medical Associates"|"246 Kennedy Memorial Drive"|"Waterville"|"ME"|"USA"|"04901"|"Medical Office Building - Physician Service"
"01-0217211"|"INLAND HOSPITAL"|"10610"|"862781"|"Inland Medical Associates"|"180 Kennedy Memorial Drive"|"Waterville"|"ME"|"USA"|"04901"|"Medical Office Building - Physician Service"
"01-0217211"|"INLAND HOSPITAL"|"10611"|"862781"|"Waterville Surgical Associates"|"180 Kennedy Memorial Drive"|"Waterville"|"ME"|"USA"|"04901"|"Medical Office Building - Physician Service"
"01-0217211"|"INLAND HOSPITAL"|"10612"|"862781"|"New Horizons Osteopathic"|"180 Kennedy Memorial Drive"|"Waterville"|"ME"|"USA"|"04901"|"Medical Office Building - Physician Service"
"01-0217211"|"INLAND HOSPITAL"|"10613"|"862781"|"Inland Medical Associates"|"174 Kennedy Memorial Drive"|"Waterville"|"ME"|"USA"|"04901"|"Medical Office Building - Physician Service"
"01-0217211"|"INLAND HOSPITAL"|"10614"|"862781"|"Inland Medical Associates"|"180 Kennedy Memorial Drive"|"Waterville"|"ME"|"USA"|"04901"|"Medical Office Building - Physician Service"
"01-0217211"|"INLAND HOSPITAL"|"10615"|"862781"|"New Horizons Fairfield"|"121 Main Street"|"Fairfield"|"ME"|"USA"|"04937"|"Medical Office Building - Physician Service"
"01-0217211"|"INLAND HOSPITAL"|"10616"|"862781"|"Inland Women's Healthcare"|"395E Kennedy Memorial Drive"|"Waterville"|"ME"|"USA"|"04901"|"Medical Office Building - Physician Service"
"01-0217211"|"INLAND HOSPITAL"|"10617"|"862781"|"NH Healthcare-Dr Keniston-Dubocq"|"264 Kennedy Memorial Drive"|"Waterville"|"ME"|"USA"|"04901"|"Medical Office Building - Physician Service"
"01-0217211"|"INLAND HOSPITAL"|"10618"|"862781"|"Heart First Cardiology Assoc"|"244 Kennedy Memorial Drive"|"Waterville"|"ME"|"USA"|"04901"|"Medical Office Building - Physician Service"
"01-0217211"|"INLAND HOSPITAL"|"10619"|"862781"|"Inland Women's Healthcare"|"180 Kennedy Memorial Drive"|"Waterville"|"ME"|"USA"|"04901"|"Medical Office Building - Physician Service"
"01-0217211"|"INLAND HOSPITAL"|"10620"|"862781"|"New Horizons Waterville"|"180 Kennedy Memorial Drive"|"Waterville"|"ME"|"USA"|"04901"|"Medical Office Building - Physician Service"
"01-0217211"|"INLAND HOSPITAL"|"10621"|"862781"|"New Horizons North Anson RHC"|"167 Main Street"|"North Anson"|"ME"|"USA"|"04958"|"Medical Office Building - Physician Service"
"01-0217211"|"INLAND HOSPITAL"|"10622"|"862781"|"Inland Family Care"|"74 Water Street"|"Oakland"|"ME"|"USA"|"04963"|"Medical Office Building - Physician Service"
"01-0217211"|"INLAND HOSPITAL"|"10623"|"862781"|"New Horizons Unity RHC"|"80 Main Street"|"Unity"|"ME"|"USA"|"04988"|"Medical Office Building - Physician Service"
"01-0217211"|"INLAND HOSPITAL"|"10624"|"862781"|"New Horizons Madison RHC"|"344 Lakewood Road"|"Skowhegan"|"ME"|"USA"|"04976"|"Medical Office Building - Physician Service"
"01-0227195"|"BLUE HILL MEMORIAL HOSPITAL"|"10625"|"862783"|"Island Family Medicine"|"354 Airport Road"|"Stonington"|"ME"|"USA"|"04681"|"Physician Offices"
"01-0227195"|"BLUE HILL MEMORIAL HOSPITAL"|"10626"|"862783"|"Island Family Medicine"|"354 Airport Road"|"Stonington"|"ME"|"USA"|"04681"|"Physician Offices"
"01-0227195"|"BLUE HILL MEMORIAL HOSPITAL"|"10627"|"862783"|"Island Family Medicine"|"354 Airport Road"|"Stonington"|"ME"|"USA"|"04681"|"Physician Offices"
"01-0227195"|"BLUE HILL MEMORIAL HOSPITAL"|"10628"|"862783"|"Island Family Medicine"|"354 Airport Road"|"Stonington"|"ME"|"USA"|"04681"|"Physician Offices"
"01-0227195"|"BLUE HILL MEMORIAL HOSPITAL"|"10629"|"862783"|"Island Family Medicine"|"354 Airport Road"|"Stonington"|"ME"|"USA"|"04681"|"Physician Offices"
"01-0227195"|"BLUE HILL MEMORIAL HOSPITAL"|"10630"|"862783"|"Island Family Medicine"|"354 Airport Road"|"Stonington"|"ME"|"USA"|"04681"|"Physician Offices"
"01-0227195"|"BLUE HILL MEMORIAL HOSPITAL"|"10631"|"862783"|"Island Family Medicine"|"354 Airport Road"|"Stonington"|"ME"|"USA"|"04681"|"Physician Offices"
"01-0244035"|"PARKVIEW ADVENTIST MEDICAL CENTER"|"13903"|"991950"|"PARKVIEW REHAB & WELLNESS"|"3 HORTON PLACE"|"TOPSHAM"|"ME"|"USA"|"04086"|"OUTPATIENT REHAB & WELLNESS"
"01-0244035"|"PARKVIEW ADVENTIST MEDICAL CENTER"|"13904"|"991950"|"PARKVIEW URO LOGY"|"85 BARIBEAU DRIVE"|"BRUNSWICK"|"ME"|"USA"|"04011"|"OUTPATIENT REHAB & WELLNESS"
"01-0782751"|"NATIONWIDE CHILDREN'S HOSPITAL GROUP RETURN"|"15826"|"1030129"|"HOMECARE AND HOSPICE"|"255 EAST MAIN STREET"|"COLUMBUS"|"OH"|"USA"|"43215"|"HOMECARE"
"01-0782751"|"NATIONWIDE CHILDREN'S HOSPITAL GROUP RETURN"|"15827"|"1030129"|"HOMECARE AND HOSPICE"|"255 EAST MAIN STREET"|"COLUMBUS"|"OH"|"USA"|"43215"|"HOMECARE"
"01-0782751"|"NATIONWIDE CHILDREN'S HOSPITAL GROUP RETURN"|"15828"|"1030129"|"HOMECARE AND HOSPICE"|"255 EAST MAIN STREET"|"COLUMBUS"|"OH"|"USA"|"43215"|"HOMECARE"
"01-0782751"|"NATIONWIDE CHILDREN'S HOSPITAL GROUP RETURN"|"15829"|"1030129"|"HOMECARE AND HOSPICE"|"255 EAST MAIN STREET"|"COLUMBUS"|"OH"|"USA"|"43215"|"HOMECARE"
"01-0782751"|"NATIONWIDE CHILDREN'S HOSPITAL GROUP RETURN"|"15830"|"1030129"|"HOMECARE AND HOSPICE"|"255 EAST MAIN STREET"|"COLUMBUS"|"OH"|"USA"|"43215"|"HOMECARE"
"01-0782751"|"NATIONWIDE CHILDREN'S HOSPITAL GROUP RETURN"|"15831"|"1030129"|"HOMECARE AND HOSPICE"|"255 EAST MAIN STREET"|"COLUMBUS"|"OH"|"USA"|"43215"|"HOMECARE"
"01-0782751"|"NATIONWIDE CHILDREN'S HOSPITAL GROUP RETURN"|"15832"|"1030129"|"HOMECARE AND HOSPICE"|"255 EAST MAIN STREET"|"COLUMBUS"|"OH"|"USA"|"43215"|"HOMECARE"
"01-0782751"|"NATIONWIDE CHILDREN'S HOSPITAL GROUP RETURN"|"15833"|"1030129"|"HOMECARE AND HOSPICE"|"255 EAST MAIN STREET"|"COLUMBUS"|"OH"|"USA"|"43215"|"HOMECARE"
"01-0782751"|"NATIONWIDE CHILDREN'S HOSPITAL GROUP RETURN"|"15834"|"1030129"|"HOMECARE AND HOSPICE"|"255 EAST MAIN STREET"|"COLUMBUS"|"OH"|"USA"|"43215"|"HOMECARE"
"01-0782751"|"NATIONWIDE CHILDREN'S HOSPITAL GROUP RETURN"|"15835"|"1030129"|"HOMECARE AND HOSPICE"|"255 EAST MAIN STREET"|"COLUMBUS"|"OH"|"USA"|"43215"|"HOMECARE"
"01-0782751"|"NATIONWIDE CHILDREN'S HOSPITAL GROUP RETURN"|"15836"|"1030129"|"HOMECARE AND HOSPICE"|"255 EAST MAIN STREET"|"COLUMBUS"|"OH"|"USA"|"43215"|"HOMECARE"
"01-0782751"|"NATIONWIDE CHILDREN'S HOSPITAL GROUP RETURN"|"15837"|"1030129"|"HOMECARE AND HOSPICE"|"255 EAST MAIN STREET"|"COLUMBUS"|"OH"|"USA"|"43215"|"HOMECARE"
"01-0782751"|"NATIONWIDE CHILDREN'S HOSPITAL GROUP RETURN"|"15838"|"1030129"|"HOMECARE AND HOSPICE"|"255 EAST MAIN STREET"|"COLUMBUS"|"OH"|"USA"|"43215"|"HOMECARE"
"01-0782751"|"NATIONWIDE CHILDREN'S HOSPITAL GROUP RETURN"|"15839"|"1030129"|"HOMECARE AND HOSPICE"|"255 EAST MAIN STREET"|"COLUMBUS"|"OH"|"USA"|"43215"|"HOMECARE"
"01-0782751"|"NATIONWIDE CHILDREN'S HOSPITAL GROUP RETURN"|"15840"|"1030129"|"HOMECARE AND HOSPICE"|"255 EAST MAIN STREET"|"COLUMBUS"|"OH"|"USA"|"43215"|"HOMECARE"
"01-0782751"|"NATIONWIDE CHILDREN'S HOSPITAL GROUP RETURN"|"15841"|"1030129"|"HOMECARE AND HOSPICE"|"255 EAST MAIN STREET"|"COLUMBUS"|"OH"|"USA"|"43215"|"HOMECARE"
"01-0782751"|"NATIONWIDE CHILDREN'S HOSPITAL GROUP RETURN"|"15842"|"1030129"|"HOMECARE AND HOSPICE"|"255 EAST MAIN STREET"|"COLUMBUS"|"OH"|"USA"|"43215"|"HOMECARE"
"01-0782751"|"NATIONWIDE CHILDREN'S HOSPITAL GROUP RETURN"|"15843"|"1030129"|"HOMECARE AND HOSPICE"|"255 EAST MAIN STREET"|"COLUMBUS"|"OH"|"USA"|"43215"|"HOMECARE"
"01-0782751"|"NATIONWIDE CHILDREN'S HOSPITAL GROUP RETURN"|"15844"|"1030129"|"HOMECARE AND HOSPICE"|"255 EAST MAIN STREET"|"COLUMBUS"|"OH"|"USA"|"43215"|"HOMECARE"
"01-0782751"|"NATIONWIDE CHILDREN'S HOSPITAL GROUP RETURN"|"15845"|"1030129"|"HOMECARE AND HOSPICE"|"255 EAST MAIN STREET"|"COLUMBUS"|"OH"|"USA"|"43215"|"HOMECARE"
"01-0782751"|"NATIONWIDE CHILDREN'S HOSPITAL GROUP RETURN"|"15846"|"1030129"|"HOMECARE AND HOSPICE"|"255 EAST MAIN STREET"|"COLUMBUS"|"OH"|"USA"|"43215"|"HOMECARE"
"01-0211503"|"Franklin Memorial Hospital"|"18831"|"1065624"|"Franklin Hlth Livermore Falls Fam Pract"|"21 Main Street"|"Livermore Falls"|"ME"|"USA"|"04254"|"Family Practice"
"01-0211503"|"Franklin Memorial Hospital"|"18832"|"1065624"|"Franklin Hlth Livermore Falls Fam Pract"|"21 Main Street"|"Livermore Falls"|"ME"|"USA"|"04254"|"Family Practice"
"01-0211503"|"Franklin Memorial Hospital"|"18833"|"1065624"|"Franklin Hlth Livermore Falls Fam Pract"|"21 Main Street"|"Livermore Falls"|"ME"|"USA"|"04254"|"Family Practice"
"01-0211503"|"Franklin Memorial Hospital"|"18834"|"1065624"|"Franklin Hlth Livermore Falls Fam Pract"|"21 Main Street"|"Livermore Falls"|"ME"|"USA"|"04254"|"Family Practice"
"01-0211503"|"Franklin Memorial Hospital"|"18835"|"1065624"|"Franklin Hlth Livermore Falls Fam Pract"|"21 Main Street"|"Livermore Falls"|"ME"|"USA"|"04254"|"Family Practice"
"01-0211503"|"Franklin Memorial Hospital"|"18836"|"1065624"|"Franklin Hlth Livermore Falls Fam Pract"|"21 Main Street"|"Livermore Falls"|"ME"|"USA"|"04254"|"Family Practice"
"01-0211503"|"Franklin Memorial Hospital"|"18837"|"1065624"|"Franklin Hlth Livermore Falls Fam Pract"|"21 Main Street"|"Livermore Falls"|"ME"|"USA"|"04254"|"Family Practice"
"01-0211503"|"Franklin Memorial Hospital"|"18838"|"1065624"|"Franklin Hlth Livermore Falls Fam Pract"|"21 Main Street"|"Livermore Falls"|"ME"|"USA"|"04254"|"Family Practice"
"01-0211503"|"Franklin Memorial Hospital"|"18839"|"1065624"|"Franklin Hlth Livermore Falls Fam Pract"|"21 Main Street"|"Livermore Falls"|"ME"|"USA"|"04254"|"Family Practice"
"01-0211503"|"Franklin Memorial Hospital"|"18840"|"1065624"|"Franklin Hlth Livermore Falls Fam Pract"|"21 Main Street"|"Livermore Falls"|"ME"|"USA"|"04254"|"Family Practice"
"01-0211503"|"Franklin Memorial Hospital"|"18841"|"1065624"|"Franklin Hlth Livermore Falls Fam Pract"|"21 Main Street"|"Livermore Falls"|"ME"|"USA"|"04254"|"Family Practice"
"01-0211503"|"Franklin Memorial Hospital"|"18842"|"1065624"|"Franklin Hlth Livermore Falls Fam Pract"|"21 Main Street"|"Livermore Falls"|"ME"|"USA"|"04254"|"Family Practice"
"01-0211503"|"Franklin Memorial Hospital"|"18843"|"1065624"|"Franklin Hlth Livermore Falls Fam Pract"|"21 Main Street"|"Livermore Falls"|"ME"|"USA"|"04254"|"Family Practice"
"01-0211503"|"Franklin Memorial Hospital"|"18844"|"1065624"|"Franklin Hlth Livermore Falls Fam Pract"|"21 Main Street"|"Livermore Falls"|"ME"|"USA"|"04254"|"Family Practice"
"01-0211503"|"Franklin Memorial Hospital"|"18845"|"1065624"|"Franklin Hlth Livermore Falls Fam Pract"|"21 Main Street"|"Livermore Falls"|"ME"|"USA"|"04254"|"Family Practice"
"01-0211503"|"Franklin Memorial Hospital"|"18846"|"1065624"|"Franklin Hlth Livermore Falls Fam Pract"|"21 Main Street"|"Livermore Falls"|"ME"|"USA"|"04254"|"Family Practice"
"01-0211503"|"Franklin Memorial Hospital"|"18847"|"1065624"|"Franklin Hlth Livermore Falls Fam Pract"|"21 Main Street"|"Livermore Falls"|"ME"|"USA"|"04254"|"Family Practice"
"01-0211503"|"Franklin Memorial Hospital"|"18848"|"1065624"|"Franklin Hlth Livermore Falls Fam Pract"|"21 Main Street"|"Livermore Falls"|"ME"|"USA"|"04254"|"Family Practice"
"01-0211503"|"Franklin Memorial Hospital"|"18849"|"1065624"|"Franklin Hlth Livermore Falls Fam Pract"|"21 Main Street"|"Livermore Falls"|"ME"|"USA"|"04254"|"Family Practice"
"01-0649794"|"MERIDIAN HEALTH SYSTEM INC - SUBORDINATES"|"19158"|"1082137"|"THE JANE H BOOKER OP DIALYSIS CENTER"|"2441 HWY 33 FORTUNATO PLACE"|"NEPTUNE"|"NJ"|"USA"|"07753"|"OUTPATIENT DIALYSIS"
"01-0649794"|"MERIDIAN HEALTH SYSTEM INC - SUBORDINATES"|"19159"|"1082137"|"THE JANE H BOOKER OP DIALYSIS CENTER"|"2441 HWY 33 FORTUNATO PLACE"|"NEPTUNE"|"NJ"|"USA"|"07753"|"OUTPATIENT DIALYSIS"
"01-0649794"|"MERIDIAN HEALTH SYSTEM INC - SUBORDINATES"|"19160"|"1082137"|"THE JANE H BOOKER OP DIALYSIS CENTER"|"2441 HWY 33 FORTUNATO PLACE"|"NEPTUNE"|"NJ"|"USA"|"07753"|"OUTPATIENT DIALYSIS"
"01-0649794"|"MERIDIAN HEALTH SYSTEM INC - SUBORDINATES"|"19161"|"1082137"|"THE JANE H BOOKER OP DIALYSIS CENTER"|"2441 HWY 33 FORTUNATO PLACE"|"NEPTUNE"|"NJ"|"USA"|"07753"|"OUTPATIENT DIALYSIS"
"01-0649794"|"MERIDIAN HEALTH SYSTEM INC - SUBORDINATES"|"19162"|"1082137"|"THE JANE H BOOKER OP DIALYSIS CENTER"|"2441 HWY 33 FORTUNATO PLACE"|"NEPTUNE"|"NJ"|"USA"|"07753"|"OUTPATIENT DIALYSIS"
"01-0649794"|"MERIDIAN HEALTH SYSTEM INC - SUBORDINATES"|"19163"|"1082137"|"THE JANE H BOOKER OP DIALYSIS CENTER"|"2441 HWY 33 FORTUNATO PLACE"|"NEPTUNE"|"NJ"|"USA"|"07753"|"OUTPATIENT DIALYSIS"
"01-0649794"|"MERIDIAN HEALTH SYSTEM INC - SUBORDINATES"|"19164"|"1082137"|"THE JANE H BOOKER OP DIALYSIS CENTER"|"2441 HWY 33 FORTUNATO PLACE"|"NEPTUNE"|"NJ"|"USA"|"07753"|"OUTPATIENT DIALYSIS"
"01-0649794"|"MERIDIAN HEALTH SYSTEM INC - SUBORDINATES"|"19165"|"1082137"|"THE JANE H BOOKER OP DIALYSIS CENTER"|"2441 HWY 33 FORTUNATO PLACE"|"NEPTUNE"|"NJ"|"USA"|"07753"|"OUTPATIENT DIALYSIS"
"01-0649794"|"MERIDIAN HEALTH SYSTEM INC - SUBORDINATES"|"19166"|"1082137"|"THE JANE H BOOKER OP DIALYSIS CENTER"|"2441 HWY 33 FORTUNATO PLACE"|"NEPTUNE"|"NJ"|"USA"|"07753"|"OUTPATIENT DIALYSIS"
"01-0649794"|"MERIDIAN HEALTH SYSTEM INC - SUBORDINATES"|"19167"|"1082137"|"THE JANE H BOOKER OP DIALYSIS CENTER"|"2441 HWY 33 FORTUNATO PLACE"|"NEPTUNE"|"NJ"|"USA"|"07753"|"OUTPATIENT DIALYSIS"
"01-0649794"|"MERIDIAN HEALTH SYSTEM INC - SUBORDINATES"|"19168"|"1082137"|"THE JANE H BOOKER OP DIALYSIS CENTER"|"2441 HWY 33 FORTUNATO PLACE"|"NEPTUNE"|"NJ"|"USA"|"07753"|"OUTPATIENT DIALYSIS"
"01-0649794"|"MERIDIAN HEALTH SYSTEM INC - SUBORDINATES"|"19169"|"1082137"|"THE JANE H BOOKER OP DIALYSIS CENTER"|"2441 HWY 33 FORTUNATO PLACE"|"NEPTUNE"|"NJ"|"USA"|"07753"|"OUTPATIENT DIALYSIS"
"01-0649794"|"MERIDIAN HEALTH SYSTEM INC - SUBORDINATES"|"19170"|"1082137"|"THE JANE H BOOKER OP DIALYSIS CENTER"|"2441 HWY 33 FORTUNATO PLACE"|"NEPTUNE"|"NJ"|"USA"|"07753"|"OUTPATIENT DIALYSIS"
"01-0649794"|"MERIDIAN HEALTH SYSTEM INC - SUBORDINATES"|"19171"|"1082137"|"THE JANE H BOOKER OP DIALYSIS CENTER"|"2441 HWY 33 FORTUNATO PLACE"|"NEPTUNE"|"NJ"|"USA"|"07753"|"OUTPATIENT DIALYSIS"
"01-0649794"|"MERIDIAN HEALTH SYSTEM INC - SUBORDINATES"|"19172"|"1082137"|"THE JANE H BOOKER OP DIALYSIS CENTER"|"2441 HWY 33 FORTUNATO PLACE"|"NEPTUNE"|"NJ"|"USA"|"07753"|"OUTPATIENT DIALYSIS"
"01-0649794"|"MERIDIAN HEALTH SYSTEM INC - SUBORDINATES"|"19173"|"1082137"|"THE JANE H BOOKER OP DIALYSIS CENTER"|"2441 HWY 33 FORTUNATO PLACE"|"NEPTUNE"|"NJ"|"USA"|"07753"|"OUTPATIENT DIALYSIS"
"01-0649794"|"MERIDIAN HEALTH SYSTEM INC - SUBORDINATES"|"19174"|"1082137"|"THE JANE H BOOKER OP DIALYSIS CENTER"|"2441 HWY 33 FORTUNATO PLACE"|"NEPTUNE"|"NJ"|"USA"|"07753"|"OUTPATIENT DIALYSIS"
"01-0649794"|"MERIDIAN HEALTH SYSTEM INC - SUBORDINATES"|"19175"|"1082137"|"THE JANE H BOOKER OP DIALYSIS CENTER"|"2441 HWY 33 FORTUNATO PLACE"|"NEPTUNE"|"NJ"|"USA"|"07753"|"OUTPATIENT DIALYSIS"
"01-0649794"|"MERIDIAN HEALTH SYSTEM INC - SUBORDINATES"|"19176"|"1082137"|"THE JANE H BOOKER OP DIALYSIS CENTER"|"2441 HWY 33 FORTUNATO PLACE"|"NEPTUNE"|"NJ"|"USA"|"07753"|"OUTPATIENT DIALYSIS"
"01-0649794"|"MERIDIAN HEALTH SYSTEM INC - SUBORDINATES"|"19177"|"1082137"|"THE JANE H BOOKER OP DIALYSIS CENTER"|"2441 HWY 33 FORTUNATO PLACE"|"NEPTUNE"|"NJ"|"USA"|"07753"|"OUTPATIENT DIALYSIS"
"01-0649794"|"MERIDIAN HEALTH SYSTEM INC - SUBORDINATES"|"19178"|"1082137"|"THE JANE H BOOKER OP DIALYSIS CENTER"|"2441 HWY 33 FORTUNATO PLACE"|"NEPTUNE"|"NJ"|"USA"|"07753"|"OUTPATIENT DIALYSIS"
"01-0649794"|"MERIDIAN HEALTH SYSTEM INC - SUBORDINATES"|"19179"|"1082137"|"THE JANE H BOOKER OP DIALYSIS CENTER"|"2441 HWY 33 FORTUNATO PLACE"|"NEPTUNE"|"NJ"|"USA"|"07753"|"OUTPATIENT DIALYSIS"
"01-0649794"|"MERIDIAN HEALTH SYSTEM INC - SUBORDINATES"|"19180"|"1082137"|"THE JANE H BOOKER OP DIALYSIS CENTER"|"2441 HWY 33 FORTUNATO PLACE"|"NEPTUNE"|"NJ"|"USA"|"07753"|"OUTPATIENT DIALYSIS"
"01-0649794"|"MERIDIAN HEALTH SYSTEM INC - SUBORDINATES"|"19181"|"1082137"|"THE JANE H BOOKER OP DIALYSIS CENTER"|"2441 HWY 33 FORTUNATO PLACE"|"NEPTUNE"|"NJ"|"USA"|"07753"|"OUTPATIENT DIALYSIS"
"01-0649794"|"MERIDIAN HEALTH SYSTEM INC - SUBORDINATES"|"19182"|"1082137"|"THE JANE H BOOKER OP DIALYSIS CENTER"|"2441 HWY 33 FORTUNATO PLACE"|"NEPTUNE"|"NJ"|"USA"|"07753"|"OUTPATIENT DIALYSIS"
"01-0078060"|"HENRIETTA D GOODALL HOSPITAL INC"|"20024"|"1114633"|"NEWTON CENTER (ELDER CARE)"|"35 JULY STREET"|"SANFORD"|"ME"|"USA"|"04073"|"NURSING HOME"
"01-0078060"|"HENRIETTA D GOODALL HOSPITAL INC"|"20025"|"1114633"|"GOODALL HEALTH PARTNERS"|"25 JUNE STREET"|"SANFORD"|"ME"|"USA"|"04073"|"PHYSICIAN PRACTICES"
"01-0078060"|"HENRIETTA D GOODALL HOSPITAL INC"|"20026"|"1114633"|"WELLNESS CENTER"|"13 JULY STREET"|"SANFORD"|"ME"|"USA"|"04073"|"CLINIC"
"01-0078060"|"HENRIETTA D GOODALL HOSPITAL INC"|"20027"|"1114633"|"GOODALL HEALTH PARTNERS"|"10 GOODALL DRIVE"|"EAST WATERBORO"|"ME"|"USA"|"04070"|"PHYSICIAN PRACTICES"
"01-0078060"|"HENRIETTA D GOODALL HOSPITAL INC"|"20028"|"1114633"|"GOODALL HEALTH PARTNERS"|"272 COTTAGE STREET"|"SANFORD"|"ME"|"USA"|"04073"|"PHYSICIAN PRACTICES"
"01-0078060"|"HENRIETTA D GOODALL HOSPITAL INC"|"20029"|"1114633"|"THE MEDICAL GROUP"|"2 LIVEWELL DRIVE"|"KENNEBUNK"|"ME"|"USA"|"04043"|"PHYSICIAN PRACTICES"
"01-0078060"|"HENRIETTA D GOODALL HOSPITAL INC"|"20030"|"1114633"|"COMMUNITY SERVICES"|"15 DAIGLE STREET"|"SANFORD"|"ME"|"USA"|"04073"|"COMMUNITY PROGRAMS"
"01-0078060"|"HENRIETTA D GOODALL HOSPITAL INC"|"20031"|"1114633"|"OCCUPATIONAL HEALTH SERVICES"|"2 LIVEWELL DRIVE"|"KENNEBUNK"|"ME"|"USA"|"04043"|"CLINIC"
"01-0078060"|"HENRIETTA D GOODALL HOSPITAL INC"|"20032"|"1114633"|"GOODALL HEALTH CLINICS"|"2 LIVEWELL DRIVE"|"KENNEBUNK"|"ME"|"USA"|"04043"|"CLINIC"
