"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"TOTAL_EXPENSES"
"01-0448408"|"WISCASSET, WATERVILLE & FARMINGTON RAILWAY MUSEUM"|"793357"|""
"01-0472430"|"Royal River Conservation Trust"|"793358"|""
"01-0478564"|"FRIENDS OF ROCKLAND PUBLIC LIBRARY"|"793359"|""
"01-0509853"|"PINE CREST DEVELOPMENT CORPORATION DEVELOPMENT CORP"|"793360"|""
"01-0523156"|"PHILLIPS-STRICKLAND CHARITIES"|"793361"|""
"01-0523162"|"PSH PROPERTIES II"|"793362"|""
"01-0542054"|"FAIRBANKS SCHOOL NEIGHBORHOOD ASSOCIATION, Inc."|"793363"|""
"01-0564355"|"THE FOUNDATION FOR ENHANCING COMMUNITIES"|"793365"|"6146021.0000"
"01-0567018"|"ALLIANCE OF NEW YORK STATE YMCAS, INC."|"793366"|""
"01-0589514"|"GREEN POWER EMC"|"793367"|"11641936.0000"
"01-0595671"|"RESOURCE NY INC."|"793368"|""
"01-0608540"|"SHEPHERDS OF LOVE MINISTRIES, INC."|"793369"|""
"01-0617953"|"KING OF PEACE EPISCOPAL DAY SCHOOL"|"793370"|""
"01-0651516"|"MOUNTAIN MISSIONS DEVELOPMENT CORPO"|"793371"|""
"01-0660421"|"Jefferson Street Senior Housing Corporation"|"793372"|""
"01-0722133"|"Olmsted Community Center"|"793374"|""
"01-0728162"|"Coalition of Community Development Financial Institutions, Inc"|"793375"|""
"01-0759974"|"THOUSAND ISLANDS EMERGENCY RESCUE SER\"|"793379"|"600783.0000"
"01-0764731"|"Tekas County Museum of Art and tticstory"|"793380"|""
"01-0778962"|"Texas Archive of the Moving Image"|"793381"|""
"01-0871002"|"WYOMING COUNTY BUSINESS CENTER, INC."|"793382"|"220810.0000"
"01-0897469"|"SEIU HEALTHCARE MICHIGAN"|"793383"|"19096474.0000"
"01-0957572"|"Marginal Way Preservation Fund"|"793384"|""
"01-6007236"|"ST. ANDREWS FREE BED FUND"|"793385"|""
"01-6029434"|"MAINE CHIROPRACTIC ASSOCIATION, INC."|"793388"|""
"02-0179723"|"Polish American Citizens Club"|"793389"|""
"02-0185330"|"Rochester Agricultural and Mechanical Assn"|"793390"|""
"02-0212637"|"VETERANS OF FOREIGN WARS VFW-NH 2520 WHITE MOUNTAIN"|"793391"|""
"01-0198331"|"Maine Coast Regional Health Facilities"|"794104"|""
"01-0219126"|"LINCOLN ACADEMY"|"794106"|"6941335.0000"
"01-0219829"|"Sarah Frye Home"|"794108"|""
"01-0222037"|"VETERANS OF FOREIGN WARS OF THE U.S. FOREST J. PARE POST 1285"|"794110"|""
"01-0233275"|"MACCRILLIS-ROUSSEAU POST NO. 8835 VETERANS OF FOREIGN WARS"|"794113"|""
"01-0279306"|"MAINE STATE BAR ASSOCIATION"|"794114"|"4359591.0000"
"01-0285528"|"ABRAHAM S & FANNY B LEVEY HEBREW DAY SCHOOL"|"794116"|""
"01-0288363"|"CRISIS AND COUNSELING CENTERS INC"|"794118"|"8735653.0000"
"01-0316813"|"Tri-County Mental Health Services"|"794120"|"21627310.0000"
"01-0328376"|"EASTERN AREA AGENCY ON AGING"|"794125"|"3051261.0000"
"01-0329300"|"Rumford Group Homes"|"794127"|"1939637.0000"
"01-0360259"|"Southern Maine Agency on Aging"|"794129"|"5613634.0000"
"01-0367116"|"Families United of Washington County"|"794131"|"2071189.0000"
"01-0405274"|"Home Counselors Inc"|"794133"|"2739698.0000"
"01-0418917"|"PREBLE STREET"|"794137"|"8687369.0000"
"01-0422035"|"TEDFORD HOUSING"|"794139"|"1255753.0000"
"01-0431501"|"THE CENTER FOR GRIEVING CHILDREN"|"794141"|"637392.0000"
"01-0435170"|"ANDROSCOGGIN HABITAT FOR HUMANITY INC"|"794144"|""
"01-0461120"|"Maine Pretnal Services"|"794147"|"2062183.0000"
"01-0493055"|"CLUB SEBAGO ASSOCIATION"|"794149"|""
"01-0496860"|"PORTLAND OPERA REPERTORY THEATRE"|"794151"|""
"01-0498250"|"WINGS FOR CHILDREN & FAMILIES INC"|"794154"|"3166792.0000"
"01-0504322"|"Independent Transportation Network"|"794157"|""
"01-0542376"|"CHALLENGER LEARNING CENTER OF MAINE"|"794159"|""
"01-0547918"|"MAIN STREET MOBILE TREATMENT ASSOCIATES INC"|"794162"|""
"01-0576704"|"THE FUND FOR PUBLIC ADVOCACY, INC."|"794165"|"121413.0000"
"01-0582508"|"ST. HOPE PUBLIC SCHOOLS, INC."|"794167"|"11000404.0000"
"01-0586306"|"Barceda Families"|"794169"|"515733.0000"
"01-0631375"|"COMMUNITY BASED CARE OF CENTRAL FLORIDAINC"|"794171"|"31218737.0000"
"01-0657461"|"MARYLAND COMMUNITY HEALTH INITIATIVES INC"|"794173"|"600841.0000"
"01-0702652"|"CAFA, INC."|"794175"|"4324580.0000"
"01-0709457"|"Cambridge International Academies USA Inc"|"794178"|""
"01-0723951"|"J C S Band Boosters Inc"|"794180"|""
"01-0757566"|"ACCESS HEALTH, INC"|"794182"|""
"01-0806304"|"PENNSYLVANIA AFFORDABLE HSG CORP"|"794184"|""
"01-0874029"|"POLARIS CHARTER ACADEMY"|"794188"|"3269087.0000"
"01-0880770"|"Community Foundation"|"794190"|"137481.0000"
"01-0880911"|"ROSS INSTITUTE"|"794193"|"31680597.0000"
"01-0900952"|"PEABODY CHARTER SCHOOL"|"794195"|"6384122.0000"
"01-0943022"|"WEBSTER ATHLETIC ASSOCIATION, INC."|"794197"|""
"01-6012053"|"Trustees of First Parish in Portland"|"794199"|"90624.0000"
"01-6012936"|"MERRILL MEMORIAL LIBRARY"|"794202"|""
"01-6023519"|"BAY CHAMBER CONCERTS, INC."|"794204"|"1158377.0000"
"01-6217452"|"ELLIOT HEALTH SYSTEM PROFESSIONAL & GENERAL LIABILITY INSURANCE TRUST"|"794206"|""
"01-0132610"|"Orchard Grove Cemetery Association"|"806370"|""
"01-0178800"|"MID-MAINE CHAMBER OF COMMERCE"|"806371"|""
"01-0214017"|"Jesup Memorial Library"|"806372"|""
"01-0245910"|"PRESQUE ISLE COUNTRY CLUB"|"806373"|""
"01-0317698"|"CALAIS METHODIST HOME, INC"|"806374"|"771038.0000"
"01-0329792"|"DELTA AMBULANCE"|"806375"|""
"01-0357213"|"Freeport Conservation Trust"|"806376"|""
"01-0359948"|"HIRUNDO WILDLIFE TRUST"|"806377"|""
"01-0379686"|"Ronald McDonald House of Bangor, Inc."|"806378"|"391648.0000"
"01-0494342"|"Woodie Wheaton Land Trust"|"806379"|""
"01-0543385"|"Mt Blue Community Access TV Inc"|"806382"|""
"01-0546698"|"Moosabec Ambulance Service"|"806383"|""
"01-0562546"|"Shermans Dale Community Fire Co."|"806384"|""
"01-0598493"|"INTERNATIONAL SKATING PROGRAM INC."|"806385"|""
"01-0614718"|"Cornerstone Chinese Bible Church of TX"|"806386"|""
"01-0633893"|"James Moore Evangelistic Associatic"|"806387"|""
"01-0651449"|"SERENE LIGHT INC"|"806389"|""
"01-0654984"|"MHA OF GREATER HOUSTON FOUNDATION, INC."|"806390"|"123245.0000"
"01-0716494"|"PINE TOWNSHIP ENGINE COMPANY"|"806391"|""
"01-0788484"|"WINDMOOR FOUNDATION, INC."|"806393"|""
"01-0825899"|"Dalton Convention and Visitors Bureau"|"806395"|""
"01-0955391"|"LITTLE BEANS PRESCHOOL CORPORATION"|"806396"|""
"01-6011388"|"PINE TREE COUNCIL BSATR DTD 1957 449515014"|"806399"|""
"01-6144341"|"AFSCME Maine Membership Benefit Fund"|"806401"|""
"02-0209443"|"Veterans of Foreign Wars VFW-NH 808"|"806405"|""
"01-0288480"|"THREE RIVERS AMBULANCE SERVICE"|"806852"|""
"01-0340560"|"Yarmouth Senior Housing Inc."|"806856"|"176299.0000"
"01-0353744"|"Christian Fellowship, Inc"|"806858"|""
"01-0356422"|"MOOSEHEAD MARINE MUSEUM"|"806861"|""
"01-0364856"|"SHRINERS INTERNATIONAL"|"806864"|""
"01-0021545"|"MAINE STATE CHAMBER OF COMMERCE"|"806865"|"1446224.0000"
"01-0370079"|"HARPSWELL NECK FIRE & RESCUE, INC."|"806867"|""
"01-0024645"|"Bangor Symphony Orchestra"|"806868"|""
"01-0371869"|"BOOTHBAY REGION LAND TRUST"|"806870"|"256017.0000"
"01-0095414"|"INDEPENDENT ORDER OF ODD FELLOWS GRAND LODGE OF MAINE"|"806871"|""
"01-0211810"|"UNIVERSITY OF NEW ENGLAND"|"806875"|"120396286.0000"
"01-0412269"|"JAMES R. WIGGINS DOWNEAST FAMILY YMCA"|"806878"|"2373524.0000"
"01-0275545"|"LONESOME PINE TRAILS, INC."|"806880"|""
"01-0571372"|"Gandhi Memorial Trust Fund N.F.P."|"806881"|""
"01-0278395"|"WOODFORDS FAMILY SERVICES"|"806884"|"11829982.0000"
"01-0583485"|"South Martin Conservation Alliance, Inc"|"806885"|""
"01-0310087"|"HANCOCK COUNTY PLANNING COMMISSION"|"806887"|""
"01-0600248"|"EASTERN NC REGIONAL SCIENCE CENTER"|"806888"|""
"01-0323144"|"GREATER PORTLAND CHRISTIAN SCHOOL"|"806892"|""
"01-0625542"|"SALEM HEALTH AND WELLNESS FOUNDATION INC"|"806894"|"3043348.0000"
"01-0361089"|"YORK COUNTY SHELTER PROGRAMS INC"|"806895"|"4753691.0000"
"01-0371992"|"Downeast Transportation"|"806897"|"2342902.0000"
"01-0403485"|"Community Television Network"|"806900"|""
"01-0646506"|"Angels of Grace, Inc."|"806901"|"1541961.0000"
"01-0438695"|"MAINE HOUSING AND BUILDING MATERIALS EXCHANGE"|"806903"|""
"01-0441147"|"HABITAT FOR HUMANITY OF GREATOR BANGOR"|"806904"|"222477.0000"
"01-0706799"|"Green Blue Institute"|"806906"|"2670924.0000"
"01-0482508"|"THE NEXT STEP DOMESTIC VIOLENCE PROJECT"|"806908"|"818039.0000"
"01-0714415"|"NEW JERUSALEM COMMUNITY DEVEL"|"806909"|""
"01-0485193"|"MOUNT DAVID HOUSING INC"|"806911"|"140146.0000"
"01-0725409"|"AMERICAN PILGRIMS ON THE CAMINO"|"806913"|""
"01-0489978"|"SOUTHERN MAINE ECONOMIC DEVELOPMENT DISTRICT"|"806915"|"276037.0000"
"01-0736882"|"SPORTS GIFT, INC."|"806917"|""
"01-0493897"|"Sunrise County Economic Council"|"806919"|"569333.0000"
"01-0501998"|"GREATER HOULTON CHRISTIAN ACA"|"806923"|""
"01-0759127"|"SHREVEPORT SCOTTISH RITE FOUNDATION, INC"|"806925"|""
"01-0547297"|"THE NEW SCHOOL"|"806927"|"330483.0000"
"01-0761875"|"LOS ANGELES PRESS CLUB"|"806929"|""
"01-0558393"|"DREAMLAND PRESCHOOL, INC"|"806931"|""
"01-6015752"|"ARUNDEL LODGE NO. 76, AF & AM"|"806937"|""
"01-0662680"|"TIFTON JUDICIAL CIRCUIT SHELTER INC"|"806938"|"584458.0000"
"01-0701608"|"PARTNERSHIP ACADEMY"|"806939"|"3506011.0000"
"01-0719892"|"ALEXANDER HAMILTON HOME-SCHOOL ASSOCIATION"|"806941"|""
"01-0726348"|"SOUTHWEST WASHINGTON WORKFORCE DEVELOPMENT COUNCIL"|"806946"|"7619494.0000"
"01-0778179"|"The Brooklyn Montesson Ltd"|"806949"|"1803593.0000"
"01-0819395"|"Patterson Park Public Charter School"|"806952"|"6427667.0000"
"01-0932846"|"GENESIS HEALTHCARE, INC."|"806956"|"5231810.0000"
"01-0951147"|"BUILDERS DEVELOPMENT CORPORATION"|"806960"|""
"01-6000785"|"'BANGOR PUBLIC LIBRARY"|"806966"|"2746690.0000"
"01-6011843"|"GREATER ANDROSCOGGIN HUMANE SOCIETY"|"806971"|""
"02-0114695"|"CAMP TECUMSEH INC"|"806983"|"1238245.0000"
"01-0216655"|"ODD FELLOWS' AND REBEKAHS' HOME OF MAINE"|"807347"|""
"01-0216811"|"WATERVILLE LODGE #33 F & A M"|"807351"|""
"01-0224898"|"Hebron Academy Incorporated"|"807355"|"13542440.0000"
"01-0316041"|"Youth Altematives Ingraham"|"807359"|""
"01-0357314"|"MERCY ENDOWMENT FOUNDATION"|"807363"|""
"01-0366057"|"Maine Rural Water Association"|"807367"|"1585862.0000"
"01-0378758"|"Maine College of Art"|"807372"|"9289265.0000"
"01-0388818"|"Maine Handicapped Skiing Sunday River Ski Resort"|"807377"|""
"01-0461436"|"THE GENESIS FUND"|"807380"|"905550.0000"
"01-0477512"|"MAKE-A-WISH FOUNDATION OF MAINE"|"807384"|"1340060.0000"
"01-0518745"|"MAINE MANUFACTURING EXTENSION PARTNERSHIP"|"807388"|"6486742.0000"
"01-0530420"|"Jewish Community Alliance of Southern Maine"|"807389"|""
"01-0558388"|"Link A Community Assessment & Resource Center"|"807399"|""
"01-0564286"|"DAYTON LEARNING CENTER"|"807403"|""
"01-0628536"|"ARROW CHILD AND FAMILY MINISTRIES"|"807408"|""
"01-0660264"|"TEAM ACADEMY CHARTER SCHOOL"|"807413"|""
"01-0735866"|"Thorndale Economic Development Corporation"|"807416"|"225.0000"
"01-0935534"|"THE ACADEMY OF ALAMEDA"|"807421"|"3766743.0000"
"01-6009240"|"UNITED MID-COAST CHARITIES, INC"|"807427"|"512565.0000"
"01-0203708"|"AMERICAN LEGION POST 1"|"821186"|""
"01-0223014"|"Ocean Park Association"|"821187"|"463073.0000"
"01-0792511"|"HIGH WAY EDUCATION INC."|"821188"|""
"01-0817613"|"WALKER MINISTRIES INC"|"821189"|""
"01-0821110"|"Children of Abraham, Inc."|"821190"|""
"02-0119917"|"DAVIGNON CLUB, INC."|"821193"|""
"01-0215213"|"BOWDOIN COLLEGE"|"821347"|"154749000.0000"
"01-0319802"|"Spurwink Services Inc"|"821349"|"52658391.0000"
"01-0350707"|"PORTLAND OVATIONS"|"821351"|"1810379.0000"
"01-0376014"|"WOMANCAREAEGIS ASSOCIATION"|"821354"|""
"01-0386912"|"CENTRAL MAINE COMMUNITY HEALTH CORPORATION"|"821355"|"648156.0000"
"01-0386913"|"CENTRAL MAINE HEALTHCARE CORPORATION"|"821357"|"584944.0000"
"01-0478709"|"Maine Island Trail Association"|"821358"|"522284.0000"
"01-0502709"|"Atlantic States Rural Water and Wastewater Association"|"821360"|"1270783.0000"
"01-0518516"|"LifeFhght of Maine"|"821361"|"7813656.0000"
"01-0523509"|"Center for Cetacean Research and Conservation"|"821363"|""
"01-0554709"|"FLORIDA PROTON THERAPY INSTITUTE INC"|"821365"|"40576546.0000"
"01-0603214"|"SAINT FRANCIS HOSPITAL SOUTH, LLC"|"821370"|""
"01-0621106"|"COALITION OF CHILDREN IN NEED ASSN"|"821373"|""
"01-0639602"|"KIPP Austin Public Schools Inc"|"821374"|"13664970.0000"
"01-0802914"|"Assoc Students of California State Univ Channel Islands Inc"|"821376"|"679570.0000"
"01-0573723"|"VFW POST 34 CANTEEN INC"|"823250"|""
"01-0782731"|"HOME SWEETS HOME YOUTH SERIVCES INC"|"823256"|""
"01-0857922"|"Clock Tower Place Funding Company"|"823261"|""
"01-0790428"|"ST JOSEPH HEALTH SYSTEM FOUNDATION"|"823311"|""
"01-0863627"|"CHICAGO VIRTUAL CHARTER SCHOOL"|"823313"|"4910752.0000"
"01-0781066"|"LONG ISLAND LIBERTY LACROSSE INC."|"824167"|"492055.0000"
"01-0119375"|"MEGANTIC FISH AND GAME"|"824296"|""
"01-0130427"|"BRIDGTON HOSPITAL"|"824297"|"41221109.0000"
"01-0145135"|"PROUTS NECK COUNTRY CLUB"|"824298"|"1372697.0000"
"01-0212542"|"TRUSTEES OF SAINT JOSEPH'S COLLEGE SAINT JOSEPH'S COLLEGE OF MAINE"|"824299"|"32043022.0000"
"01-0215227"|"RUMFORD HOSPITAL"|"824300"|"34884863.0000"
"01-0280723"|"York-Cumberland Assoc for Handicapped Persons"|"824301"|"11025651.0000"
"01-0351334"|"Yarmouth Histoncal Society"|"824302"|"202883.0000"
"01-0535770"|"ORONO ECONOMIC DEVELOPMENT CORP"|"824303"|""
"01-0539222"|"MaineStream Finance"|"824304"|"557626.0000"
"01-0603628"|"LEARNINGSPRING SCHOOL"|"824307"|"5754934.0000"
"01-0679337"|"SAN FRANCISCO FOUNDATION"|"824308"|"95338000.0000"
"01-0717030"|"PORTAGE BAY INSURANCE"|"824309"|"12649658.0000"
"01-0723319"|"TOBACCO FREE ALLEGHENY"|"824310"|""
"01-0806645"|"REGIONAL LOCAL UNION NO 846 OF THE INTERNATIONAL ASSOCIATION"|"824312"|"624625.0000"
"01-6004444"|"Falmouth Memorial Library Association"|"824313"|"585265.0000"
"02-0202220"|"THE CHESHIRE HEALTH FOUNDATION"|"824314"|""
"02-0223321"|"COTTAGE HOSPITAL"|"824316"|"27603438.0000"
"02-0223322"|"CURRIER MUSEUM OF ART"|"824317"|"7167800.0000"
"01-0199142"|"ABENAKEE CLUB"|"824598"|""
"01-0277845"|"Stanwood Wildlife Sanctuary"|"824599"|""
"01-0383489"|"PINE TREE QUILTERS GUILD, INC."|"824600"|""
"01-0463933"|"The Presque Isle Historical Society"|"824602"|""
"01-0477639"|"WELLPOINT RETIREE VEBA TRUST"|"824604"|""
"01-0479444"|"PARENT RESOURCE CENTER"|"824606"|""
"01-0517035"|"CMP PRM NON-UNION VEBA TRUST"|"824609"|""
"01-0527044"|"OCTOBER CORPORATION"|"824611"|"6083824.0000"
"01-0561825"|"Abingdon Feeder Cattle Association, Incorporated"|"824613"|""
"01-0637920"|"THE MEDICAL STAFF OF PARKVIEW COMMUNITY HOSPITAL"|"824615"|""
"01-0705428"|"Ukrainian Ministry, Inc."|"824619"|""
"01-0723520"|"Edward M. Armfield Sr. Civic & Recreation Center"|"824621"|""
"01-0731740"|"IRENE'S CHRIST, AN ACADEMY INC"|"824623"|""
"01-0773840"|"Syracuse Community Center Inc"|"824624"|""
"01-0909843"|"Friends of Kenya Wildlife Trust"|"824628"|""
"01-0946106"|"Volunteer & Exempt Fireman's Benevolent Assn. of Inwood"|"824630"|""
"01-6011528"|"Walter Bisbee Trust"|"824633"|""
"01-6016305"|"EPHRIAN H JOHNSON POST #9 AMERICAN LEGION"|"824635"|""
"01-6149025"|"THE MARK AND EMILY TURNER MEMORIAL LIBRARY CHARITABLE TRUST"|"824636"|"160884.0000"
"02-0199215"|"UKRAINIAN AMERICAN CITIZENS C"|"824638"|""
"01-0454046"|"Isle au Haut Development Lorp"|"830175"|""
"01-0857925"|"Saugus Plaza Funding Company"|"830176"|""
"01-0265559"|"Kennebec Valley Mental Health Center"|"830225"|"19609945.0000"
"01-0274725"|"Peoples Regional Opportunity Program"|"830227"|"17734189.0000"
"01-0387674"|"CENTRAL MAINE REAL ESTATE MANAGEMENT CORP"|"830228"|""
"01-0492747"|"Evergreen Behavioral Services"|"830230"|""
"01-0729873"|"North Carolina Motorsports Association"|"830231"|""
"01-6019960"|"WALTON LINCOLN TRUST OCHR"|"830233"|""
"01-0264870"|"CHRISTMAS COVE IMPROVEMENT ASSOCIATION"|"831451"|""
"01-0508465"|"HOSPICE REGATTA OF MAINE"|"831453"|""
"01-0523776"|"Spring Point Ledge Light Trust"|"831454"|""
"01-0528754"|"THE OPERA HOUSE AT BOOTHBAY HARBOR"|"831455"|""
"01-0551364"|"TECH COAST ANGELS INC."|"831456"|""
"01-0593756"|"THE HERITAGE SOCCER CLUB, INC."|"831458"|""
"01-0594671"|"GILEAD COMMUNITY DEVELOPMENT CORPORATION INC"|"831459"|""
"01-0637750"|"ARIZONA ADVOCACY NETWORK"|"831460"|""
"01-0847951"|"MOORPARK SAINTS PYFL"|"831461"|""
"01-6010461"|"OCEAN VIEW CEMETERY"|"831462"|""
"01-6016268"|"Tardiff Belanger Post #39, The Arnerican Legion"|"831463"|""
"01-6018568"|"The American Legion"|"831464"|""
"01-6038550"|"DONALD V HENRY"|"831465"|""
"01-6072252"|"TRUSTEES OF LOT OWNERS OF RIVERSIDE CEMETERY UNITRUST"|"831466"|""
"02-0104257"|"St. John's Masonic Lodge"|"831467"|""
"02-0119965"|"CLUB MONT ROYAL"|"831468"|""
"01-0211548"|"Rediugton Memorial Hospital Asasotiation"|"831624"|""
"01-0211568"|"CUMBERLAND COUNTY YMCA"|"831627"|"6414382.0000"
"01-0223755"|"BERWICK ACADEMY"|"831628"|"13395615.0000"
"01-0281875"|"Eastern Maine Development Corporation"|"831631"|"8474435.0000"
"01-0339851"|"REGIONAL TRANSPORTATION PROGRAM"|"831636"|"6068443.0000"
"01-0356077"|"CENTRAL MAINE MEDICAL CENTER COLLEGE OF NURSING AND HEALTH PROFESSIONS"|"831637"|"2624771.0000"
"01-0374565"|"WINTER FOUNDATION"|"831639"|""
"01-0443470"|"Attendant Services Maine, Inc."|"831640"|"10676916.0000"
"01-0479776"|"Maine Education Association Benefits Trust"|"831642"|"21360853.0000"
"01-0483267"|"INSTITUTE FOR CIVIC LEADERSHIP"|"831644"|""
"01-0493869"|"SMART CHILD & FAMILY SERVICES"|"831646"|"1820375.0000"
"01-0578476"|"BRANDYWINE SCHOOL OF EARLY LEARNING, INC"|"831649"|""
"01-0606871"|"THE HOUSE NEXT DOOR FAMILY FOUNDATION"|"831652"|""
"01-0639265"|"Meritus Healthcare Foundation, Inc."|"831654"|"1960241.0000"
"01-0760254"|"Penn Foundation Trust"|"831660"|"261481.0000"
"01-0772160"|"Circle K International Inc"|"831663"|"535778.0000"
"01-0803067"|"EAST BAY GOLF FOUNDATION"|"831664"|""
"01-0484018"|"VAALAND CLUB"|"836227"|""
"01-0948527"|"OPEN IDENTITY EXCHANGE,INC."|"836229"|""
"01-0972230"|"JOSEPH OMOSHEWA MINISTRIES WORLDWIDE"|"836230"|""
"01-6015613"|"ORR'S BAILEY YACHT CLUB"|"836231"|""
"01-0553431"|"AMERICAN FRIENDS OF YESHIVAT HESDER SDEROT,INC"|"836824"|""
"01-0745909"|"Academy For New Musical Theatre"|"836826"|""
"01-0748214"|"ARBOR BAY SCHOOL"|"836829"|""
"02-0222111"|"Trustees of Dartmouth College"|"836837"|""
"02-0222123"|"Capital Region Health Care Corporation"|"836840"|""
"01-0199596"|"THE WOMEN'S BOARD OF THE MAINE GENERAL HOSPITAL"|"836994"|""
"01-0269460"|"CHEWONKI FOUNDATION INC"|"836997"|"6683425.0000"
"01-0275156"|"Western Maine Community Action Inc"|"837003"|"10745945.0000"
"01-0346260"|"PORTLAND EDUCATION ASSOCIATION"|"837005"|""
"01-0364852"|"HOPE AND JUSTICE PROJECT INC"|"837008"|"1038429.0000"
"01-0468460"|"G & H AMBULANCE SERVICE INC"|"837011"|""
"01-0472964"|"BIDDEFORD-SACO AREA ECONOMIC DEVELOPMENT CORPORATION"|"837015"|"396454.0000"
"01-0482767"|"PEAKS ISLAND CHILDREN'S WORKSHOP PO BOX 80"|"837017"|"268296.0000"
"01-0501407"|"UNION WORKERS BENEFITS TRUST"|"837019"|"3027893.0000"
"01-0502563"|"CAMP BEECH CLIFF"|"837022"|""
"01-0552793"|"LATINAS UNIDAS POR UN NUEVO AMANECER"|"837024"|"242775.0000"
"01-0648561"|"NORTHWEST CONNECTICUT AHEC INC"|"837027"|""
"01-0866698"|"COMPREHENSIVE SENIOR CARE CORPORATION"|"837030"|"6745035.0000"
"01-6274657"|"NEW YORK UNIVERSITY VEBA TRUST"|"837032"|""
"01-0162690"|"Sorrento Village Improvement Association"|"837296"|""
"01-0459677"|"VBUAIDUC"|"837306"|""
"01-0544282"|"Main Street Bath"|"837309"|""
"01-0584486"|"ST. LOUIS SENIOR 006 PROJECT"|"837313"|""
"01-0644063"|"Berkshire Emergency Squad"|"837316"|""
"01-0656986"|"THE SURF CLUB OF RYE, INC"|"837320"|""
"01-0701794"|"MAKING A DIFFERENCE FOUNDATION"|"837322"|""
"01-0777386"|"ROCHESTER NY CHAPTER NECA, INC."|"837326"|"335578.0000"
"01-0863786"|"MANALIVE-SACRAMENTO, INC."|"837328"|""
"01-0868265"|"COVENANT OF LOVE UUL, CORP"|"837330"|""
"01-0922089"|"GOOSES GAMERS BASEBALL INC"|"837337"|""
"01-0953997"|"Beacon of Hope"|"837346"|""
"01-0966281"|"IGLESIA CRISTIANADE EL DIOS VIVENTE"|"837357"|""
"02-0237992"|"American Legion Post #22-Guyer Carignan"|"837365"|""
"01-0212172"|"WEBBER AVENUE SOCIAL CLUB INC"|"838394"|""
"01-0249865"|"Wiscasset Public Library"|"838397"|""
"01-0365191"|"ASSOCIATION OF SMALL BUSINESS DEV. CENTR"|"838400"|"1887497.0000"
"01-0453264"|"Maine Tree Foundation"|"838408"|""
"01-0505695"|"BOSSOV BALLET THEATRE BOSSOV BALLET THEATR"|"838411"|""
"01-0531191"|"Caribou Economic Growth Council foImerly Caribou Chamber of Commerce & I"|"838414"|"290151.0000"
"01-0589194"|"Brazilian Arts Foundation"|"838419"|""
"01-0596752"|"WORLD MISSIONS ADVANCE"|"838424"|""
"01-0659307"|"Jefferson Park Ministries, Inc"|"838443"|""
"01-0716364"|"CNameoforganizationBranch Brook Park Alliance, Inc."|"838448"|"979796.0000"
"01-0865460"|"SAN MARINO COMMUNITY ATHLETICS ASSOCIATION"|"838464"|""
"01-0897461"|"United African Organization"|"838466"|""
"01-0966096"|"Maryland Dental Action Coalition, Inc."|"838468"|"303254.0000"
"01-6024157"|"PEJEPSCOT HISTORICAL SOCIETY"|"838472"|""
"01-0211494"|"CENTRAL MAINE MEDICAL CENTER"|"839051"|"318245931.0000"
"01-0211497"|"PRESIDENT & TRUSTEES OF COLBY COLLEGE"|"839058"|"129786000.0000"
"01-0223482"|"Millinocket Regional Hospital"|"839061"|""
"01-0272879"|"Skills Inc"|"839063"|""
"01-0323280"|"Penguis Mental Health Association"|"839069"|"446296.0000"
"01-0358090"|"SPRUCE RUN ASSOCIATION"|"839076"|"1253482.0000"
"01-0368096"|"Alpha One"|"839081"|"3400229.0000"
"01-0482994"|"MAINE ADULT EDUCATION ASSOCIATION"|"839084"|""
"01-0488478"|"KENNEBEC VALLEY COUNCIL OF GOVERNMENTS"|"839092"|"1036141.0000"
"01-0553478"|"EAST MOUNTAIN HOSPITAL INC"|"839098"|"4303506.0000"
"01-0560081"|"NATIONAL NURSING CENTERS CONSORTIUM INC"|"839104"|"5533817.0000"
"01-0598494"|"TEN CROSS STREET CORPORATION"|"839108"|"83811.0000"
"01-0676306"|"Alliance Foundation for Community Health Inc"|"839112"|""
"01-0833578"|"ALLIANCE JUDY IVIE BURTON TECHNOLOGY ACADEMY HIGH SCHOOL"|"839121"|"63664540.0000"
"01-0833582"|"ALLIANCE HUNTINGTON PARK COLLEGE-READY ACADEMY HIGH SCHOOL"|"839126"|"63664540.0000"
"01-0833588"|"ALLIANCE RICHARD MERKIN MIDDLE SCHOOL"|"839130"|"63664540.0000"
"01-6010995"|"Wayne Library Association"|"839138"|""
"01-6038250"|"BPO ELKS MILLINOCKET LODGE NO 1521"|"843498"|""
"01-0342596"|"BAR HARBOR HISTORICAL SOCIETY INC"|"845618"|"32887.0000"
"01-6114884"|"JOHN CHABOT EDUCATIONAL FOUNDATION TRUST"|"845620"|""
"01-0116390"|"SHRINERS INTERNATIONAL"|"846024"|"401521.0000"
"01-0220091"|"NORTHEAST HARBOR LIBRARY"|"846027"|"723339.0000"
"01-0269721"|"Harraseeket Yacht Club"|"846031"|""
"01-0425115"|"MID-MAINE HOMELESS SHELTER"|"846034"|""
"01-0457896"|"C & M CONSULTING AND MANAGEMENT SERVICES"|"846037"|""
"01-0597551"|"THE CRADDOCK CENTER INC"|"846040"|""
"01-0649812"|"TWINSBURG YOUTH SOFTBALL LEAGUE INC"|"846043"|""
"01-0729385"|"The Chesapeake Rivers Association, Inc."|"846046"|""
"01-0769456"|"VENTURA HILLSIDES CONSERVANCY"|"846048"|""
