"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"TOTAL_CONTRACTORS"
"01-0509087"|"HALL-DALE AFTER SCHOOL PROGRAM"|"913674"|""
"01-0511656"|"UNITY BARN RAISERS INC"|"913675"|""
"01-0523390"|"Senator George J Mitchell Scholarship Research Institute"|"913676"|"0"
"01-0524769"|"Greater Franklin Development Corporation"|"913677"|""
"01-0541597"|"Maine Traditional Music Association"|"913678"|""
"01-0548371"|"MUSLIM LEGAL FUND OF AMERICA"|"913680"|""
"01-0554374"|"THE PENINSULA COMMUNITY FOUNDATION"|"913682"|""
"01-0562689"|"Triangle Lightning"|"913684"|""
"01-0569069"|"Colchester Football Booster Assoc"|"913685"|""
"01-0619670"|"FOUNDATION FOR THE CHALLENGED"|"913686"|"1"
"01-0651059"|"DAIRY INDUSTRY ENVIRONMENTAL COALITION"|"913687"|"0"
"01-0652065"|"THE CAMPUS THEATRE LTD"|"913688"|"0"
"01-0656156"|"American College of Bankruptcy Foundation"|"913689"|"0"
"01-0695292"|"SOWERS OF THE HARVEST MINISTRIES, INC."|"913690"|""
"01-0745483"|"DOROTHY'S SOFT TOUCH CORP"|"913691"|""
"01-0746862"|"WINDUSTRY"|"913692"|"0"
"01-0775286"|"CAMBRIDGEGUERNSEY COUNTY VISITORS & CONVENTION BUREAU"|"913694"|"0"
"01-0793986"|"PROPEL, Inc."|"913695"|"0"
"01-0817065"|"STRATEGIC MARKETPLACE INITIATIVE"|"913696"|"1"
"01-0838477"|"SOUTHERN IOWA COG HOUSING TRUST FUN"|"913698"|""
"01-0842491"|"Old Rochester Community Television Inc"|"913699"|"0"
"01-0855170"|"Catholic Christians Defending Christ & His Church"|"913700"|""
"01-0863576"|"JANICE BARNETT MINISTRIES INC"|"913701"|""
"01-0870672"|"El Sol, Jupiter's Neighborhood Resource"|"913702"|"0"
"01-0891955"|"COALITION AGAINST DOMAIN NAME ABUSE INC"|"913703"|"0"
"01-0893778"|"WILLMAR AREA MULTICULTURAL MARKET"|"913704"|""
"01-0917763"|"CAROLINA CHRISTIAN FOUNDATION INC"|"913706"|""
"01-0925282"|"HERO House"|"913707"|"0"
"01-6013463"|"EVERGREEN CEMETERY ASSN"|"913709"|""
"01-6013593"|"Telephone Association of Maine"|"913710"|"1"
"01-6020566"|"WALDO COMMUNITY ACTION PARTNERS"|"913712"|"0"
"01-6045966"|"SOUTH PORTLAND HISTORICAL SOCIETY"|"913713"|"0"
"01-6241467"|"UNITED ASSOCIATION SCHOLARSHIP TRUST"|"913714"|"0"
"01-0215910"|"Bangor Humane Society"|"918503"|""
"01-0369255"|"RANGELEY HOUSING DEVELOPMENT CORPORATION"|"918505"|"0"
"01-0706379"|"WESTBY HOUSING ASSOCIATES INC"|"918509"|"0"
"01-6019359"|"BOOTHBAY REGION STUDENT AID FUND, INC."|"918510"|"0"
"01-0155360"|"MAINE BANKERS ASSOCIATION"|"919979"|"0"
"01-0211558"|"ST MARY'S D'YOUVILLE PAVILION"|"919980"|"2"
"01-0211567"|"YOUNG MEN'S CHRISTIAN ASSOCIATION OF LEWISTON-AUBURN"|"919981"|"0"
"01-0238760"|"BRICK STORE MUSEUM INC"|"919982"|"0"
"01-0414169"|"THE WOODLANDS CLUB"|"919983"|"1"
"01-0415961"|"VETERANS FOR PEACE INC"|"919984"|""
"01-0419157"|"Eastport Youth Associaton"|"919985"|""
"01-0430464"|"NORTHERN NEW ENGLAND CONCRETE PROMOTION ASSOCIATION"|"919987"|""
"01-0446468"|"Kennebec Estuary Land Trust"|"919988"|"0"
"01-0455163"|"SAMOSET FIRE COMPANY OF BRISTOL BRISTOL FIRE AND RESCUE"|"919989"|"0"
"01-0496258"|"Maine Life Care Retirement Community Inc"|"919990"|"5"
"01-0504257"|"MUSEUM L-A"|"919991"|""
"01-0527664"|"HOWELL HOUSE"|"919992"|"0"
"01-0674962"|"SHINER NURSING & REHAB CENTER INC"|"919994"|""
"01-0736958"|"Jersey Agility Association of Central New Jersey"|"919995"|"0"
"01-0749557"|"SEACOAST GOLF ACADEMY INC"|"919996"|"0"
"01-0771966"|"Fibromuscular Dysplasia Society of Amen"|"919997"|""
"01-0909860"|"COMMUNITY CONNECTIONS OF NY INC"|"919999"|"5"
"02-0206110"|"THE WORKINGMENS RELIEF SOCIETY OF MANCHESTER NH"|"920001"|"0"
"01-0245261"|"ERSKINE ACADEMY"|"923560"|"0"
"01-0283465"|"WATERVILLE AREA YMCA"|"923562"|"0"
"01-0746064"|"The Laurel Park Community Boosters Club"|"923565"|""
"01-0425071"|"Friends of Acadia"|"924346"|"1"
"01-0621770"|"HANDS OF HOPE MINISTRIES INC"|"924347"|"0"
"01-0671672"|"CNLTV"|"924348"|"2"
"01-0679073"|"PARKER COUNTY HEALTH FOUNDATION"|"924349"|""
"01-0705972"|"HONEOYE FISH & GAME CLUB INC"|"924351"|""
"01-0771671"|"SUB-SAHARAN AFRICAN YOUTH AND FAMIL"|"924352"|""
"01-0448173"|"CENTER FOR TEACHING AND LEARNING"|"925602"|"0"
"01-0606871"|"The House Next Door Family Foundation"|"925603"|"0"
"01-0186375"|"YORK HARBOR READING ROOM"|"925873"|"0"
"01-0275875"|"METHODIST CONFERENCE HOME INC"|"925874"|"0"
"01-0461075"|"MARIAN MOVEMENT OF PRIESTS"|"925875"|""
"01-0495974"|"ACADIA WILDLIFE FOUNDATION"|"925876"|"0"
"01-0628076"|"GIRLS ON THE RUN OF SILICON VALLEY INC"|"925877"|"0"
"01-0755874"|"MANZANO MOUNTAIN EARLY LEARNING CENTER"|"925878"|""
"01-0403876"|"NEWBURGH SENIORS' HOUSING CORPORATION- PERSISTENCE"|"927223"|"0"
"01-0029480"|"BIDDEFORD-SACO CHAMBER OF COMMERCE"|"928312"|""
"01-0213979"|"EASTPORT MEMORIAL HOSPITAL"|"928313"|""
"01-0271579"|"SOUTHWEST HARBOR-TREMONT NURSING SERVICE INC"|"928314"|"0"
"01-0363879"|"Pinewood Manor Inc"|"928315"|"0"
"01-0478281"|"FRIENDS OF FORT KNOX"|"928316"|""
"01-0533179"|"FREEMAN FOREST HOUSING CORP"|"928317"|""
"01-0540180"|"Hospice of Southern Maine"|"928318"|"0"
"01-0602578"|"VISION 21 LEARNING CENTER INC"|"928319"|""
"01-0692980"|"PROMISE MINISTRIES"|"928320"|""
"01-0693679"|"LONG ISLAND MEDICAL FOUNDATION INC"|"928321"|"0"
"01-0777882"|"COMMUNITY HOUSING III INC"|"928322"|""
"01-6162280"|"King-Thomas Scholarship Trust"|"928323"|"0"
"01-0043285"|"ANDROSCOGGIN COUNTY CHAMBER OF COMMERCE"|"930296"|"0"
"01-0211489"|"KATAHDIN AREA COUNCIL BOY SCOUTS OF AMERICA INC"|"930297"|"1"
"01-0227184"|"ANDROSCOGGIN HOME HEALTH SERVICES INC"|"930298"|"3"
"01-0267988"|"BRISTOL AREAL LIBRARY ASSOCIATION"|"930299"|"0"
"01-0422885"|"Alternative Health Services"|"930301"|"0"
"01-0517984"|"CENTER FOR FURNITURE CRAFTSMANSHIP"|"930302"|"0"
"01-0523789"|"PARK STREET HOME"|"930303"|""
"01-0573988"|"PROGRESSIVE ARTS ALLIANCE INCORPORATED"|"930304"|"0"
"01-0598889"|"A LITTLE HOPE INC"|"930306"|"0"
"02-0216783"|"NEW HAMPSHIRE LODGING AND RESTAURANT ASSOCIATION"|"930310"|"0"
"01-0211488"|"Trustees of Bloomfield Academy"|"931359"|"1"
"01-0196194"|"MAINE STATE CREDIT UNION"|"931593"|"4"
"01-0211490"|"BOY SCOUTS OF AMERICA 0218 PINE TREE COUNCIL INC"|"931594"|"0"
"01-0371194"|"WILLOWBROOK AT NEWFIELD RESTORATION VILLAGE"|"931595"|"0"
"01-0531093"|"HOMELESS ANIMAL RESCUE TEAM OF MAINE INC"|"931596"|""
"01-0601585"|"OWEN HOUSE LTD"|"931597"|"0"
"01-0735690"|"TEXAS CHAPTER OF THE AMERICAN ASSOCIATION OF CLINICAL ENDOCRINOLOGISTS"|"931598"|"0"
"01-0938793"|"BETHEL FOUNDATION OF OSHKOSH INC"|"931599"|"0"
"01-6004194"|"FERRY BEACH PARK ASSOCIATION"|"931600"|"1"
"02-0211990"|"AMERICAN LEGION CLUB WHITEMAN-DAVIDSON P"|"931602"|""
"01-0270690"|"NATURAL RESOURCES COUNCIL OF MAINE"|"932872"|"0"
"01-0206386"|"BLUE HILL COUNTRY CLUB INC"|"933174"|""
"01-0211791"|"Seventy-Five State Street"|"933175"|"0"
"01-0274998"|"Mount St Joseph"|"933176"|"0"
"01-0315296"|"AVESTA HOUSING DEVELOPMENT CORPORATION"|"933177"|"6"
"01-0317899"|"DOVER-FOXCROFT HOUSING DEVELOPMENT CORPORATION"|"933178"|""
"01-0361797"|"SEBAGO LAKES REGION CHAMBER OF COMMERCE"|"933179"|"0"
"01-0383493"|"MAINE PEOPLE'S ALLIANCE"|"933180"|""
"01-0456895"|"MOUNT AUBURN CEMETERY CORP"|"933181"|"0"
"01-0503294"|"MCKEEN STREET LEARNING CENTER"|"933182"|"0"
"01-0535494"|"GULF OF MAINE LOBSTER FOUNDATION"|"933183"|"0"
"01-0601798"|"US GREEN BUILDING COUNCIL NY CHAPTER"|"933184"|"0"
"01-0670794"|"Together Enhancing Autism Awareness in Mississippi"|"933185"|"0"
"01-0672893"|"CONSTANTINO BRUMIDI LODGE # 2 SONS OF ITALY"|"933186"|""
"01-0674195"|"CYPRESS LANDING GOLF CLUB INC"|"933187"|""
"01-0774996"|"MAD DADS"|"933188"|""
"01-0815275"|"Y'SHUA OUTREACH MINISTRIES"|"933189"|""
"01-0961799"|"HOPE BUILDERS INTERNATIONAL"|"933190"|""
"01-0967495"|"HEART OF RESCUE"|"933191"|""
"01-0274898"|"HOPE ASSOCIATION"|"935532"|"0"
"01-0378598"|"FRIENDS OF THE KOTZSCHMAR ORGAN, INC"|"935533"|"0"
"01-0469196"|"University of Maine at Fort Kent Foundation"|"935534"|"0"
"01-0533796"|"The Maine Special Education Mental Health Collaborative"|"935536"|"0"
"01-0593099"|"PENSACOLA BEACH ELEMENTARY SCHOOL INC"|"935537"|"0"
"01-0387300"|"VILE ARBORETUM"|"937410"|"0"
"01-6021200"|"COASTAL HUMANE SOCIETY, INC."|"937411"|"0"
"01-0092600"|"HOPE CEMETERY CORPORATION"|"937597"|""
"01-0473601"|"Washington Library Association"|"939310"|"0"
"01-6020406"|"York County Community Action Corporation"|"939484"|"1"
"01-0427323"|"THE GENERAL HENRY KNOX MUSEUM"|"939536"|"0"
"01-0449907"|"Safe Abortions For Everyone"|"939537"|"0"
"01-0493123"|"WALDO COUNTY YMCA"|"939538"|""
"01-0815503"|"PLYMOUTH BAY HOUSING CORPORATION"|"939539"|""
"01-0916403"|"NATIONAL GRASSROOTS ADVOCACY INC"|"939541"|"5"
"01-0211807"|"Sweetser"|"940426"|"5"
"01-0601606"|"American Int'l School of Bamako Foundation"|"940428"|"0"
"01-0225008"|"FRANKLIN COUNTY AGRICULTURAL"|"942460"|""
"01-0180531"|"WEST OXFORD AGRICULTURAL SOCIETY"|"942557"|""
"01-0269009"|"GREATER PORTLAND BOARD OF REALTORS"|"942558"|"0"
"01-0566012"|"ANAHUAK YOUTH SOCCER ASSOCIATION"|"942560"|""
"01-0566111"|"SCHENECTADY COMMUNITY HOME INC"|"942561"|"0"
"01-0701611"|"VISION HOPE COMMUNITY DEVELOPMENT"|"942562"|""
"01-0712524"|"SOUTH CAROLINA EQUALTY"|"942563"|""
"01-0759717"|"THE LAZARUS PROJECT Inc"|"942564"|"0"
"01-0786312"|"Missouri Valley Eclipse Amateur Athletic Club"|"942565"|"0"
"02-0214113"|"AMERICAN LEGION POST #69"|"942566"|""
"01-0165110"|"MAINE TOURISM ASSOCIATION"|"943760"|"0"
"01-0406611"|"PLEASANT STREET HOUSING INC"|"943763"|"0"
"01-0443318"|"Blue Hill Fire Company"|"943764"|"0"
"01-0532411"|"Maine Space Grant Consortium"|"943765"|"0"
"01-0488811"|"MAINE STATE GOLF ASSOCIATION INC"|"944726"|"0"
"01-0650805"|"KOAL TO DIAMOND"|"944727"|""
"01-0662412"|"WEST BARTOW FRONT PORCH REVITALIZATION C"|"944728"|""
"01-0748205"|"THE FRIENDS OF THALAMUS"|"944729"|""
"01-0851113"|"LIFELINX CORPORATION"|"944730"|""
"01-0022415"|"Kennebec Valley Chamber of Commerce"|"945409"|"0"
"01-0516517"|"Senior Needs Committee of Wells and Ogunquit"|"945410"|""
"01-0211517"|"Cedars Nursing Care Center"|"946082"|"1"
"01-0868717"|"H E L P MINISTRIES, INC"|"946084"|"0"
"02-0172115"|"ANCIENT ACCEPTED SCOTTISH RITE OF FREE MASONRY NMJ VALLEY OF NASHUA CONSISTORY"|"946086"|"0"
"01-0287022"|"THE THEATER AT MONMOUTH"|"946564"|"0"
"01-0528831"|"Waterfall Arts"|"946565"|"0"
"01-0647817"|"IGLESIA PENTPODER DESDE LO ALTO INC"|"946566"|""
"01-0712520"|"SOUTH CAROLINA EQUALITY COALITION"|"946567"|""
"01-0810817"|"THE SCHOOL OF THE IMMACULATA INC"|"946568"|""
"01-0205722"|"Brookside Cemetery Association, Inc."|"947211"|"0"
"01-0265231"|"UPLIFT INC"|"947212"|"0"
"01-0389416"|"Northern Aroostook Alternatives Inc"|"947213"|"0"
"01-0603820"|"KALAMAZOO REGIONAL CHAMBER FOUNDATION"|"947215"|""
"01-0274746"|"CENTRAL MAINE BIBLE CONFERENCE"|"947753"|"0"
"01-0288757"|"Child And Family Opportunities, Inc."|"947754"|"0"
"01-0339295"|"MAINE HUMANITIES COUNCIL"|"947755"|"0"
"01-0368188"|"SO MAINE EMERGENCY MED SERVICES COUNCIL INC"|"947756"|"0"
"01-0870395"|"Music Haven, Inc."|"947757"|""
"01-0279387"|"Pine Tree Legal Assistance, Inc."|"947987"|"0"
"01-0282197"|"GUILFORD DEVELOPMENT CORPORATION"|"947988"|""
"01-0358743"|"GLENBURN HOUSING CORPORATION"|"947989"|""
"01-0371037"|"UNION COUNTRY CLUB INC"|"947990"|"0"
"01-0372129"|"NORTH AMERICAN LAKE MANAGEMENT SOCIETY"|"947991"|"0"
"01-0379498"|"Stanley Museum Inc"|"947992"|""
"01-0379899"|"EAGLE HILL INSTITUTE"|"947993"|"0"
"01-0441229"|"DOWNEAST AIDS NETWORK INC"|"947995"|""
"01-0468832"|"MUNICIPAL REVIEW COMMITTEE INC"|"947996"|"1"
"01-0505729"|"FRIENDS OF THE ST LAWRENCE CHURCH"|"947997"|""
"01-0613834"|"HIRES FAMILY RESOURCES INC"|"947999"|"0"
"01-0628727"|"SUNSET WOODS ASSOCIATION"|"948000"|"0"
"01-0690378"|"PERRY MENNONITE RECEPTION CENTER"|"948002"|""
"01-0706027"|"MID-SOUTH MINORITY COUNCIL TADP, INC"|"948003"|""
"01-0728655"|"APEX PROFESSIONAL SERVICES"|"948004"|"0"
"01-0972999"|"LEGACY CONNECTIONS"|"948010"|"0"
"01-6020038"|"CAMDEN FIRST AID ASSOCIATION"|"948012"|"0"
"01-0043280"|"Portland Regional Chamber"|"950768"|"0"
"01-0216657"|"SANFORD LIBRARY ASSOCIATION, INC."|"950771"|"0"
"01-0331728"|"PATHWAYS INC"|"950772"|"0"
"01-0360256"|"York Public Library"|"950774"|"0"
"01-0366544"|"COMMONSENSE HOUSING, INC."|"950775"|"0"
"01-0485045"|"RANGELEY REGION HEALTH AND WELLNESS PARTNERSHIP"|"950778"|"0"
"01-0538232"|"Big Rock"|"950780"|"0"
"01-6040875"|"MELVIN SIMMONS TRUST KENNEBEC SAVINGS BANK TRUSTEE"|"950783"|"0"
"01-0504725"|"ELDERCARE NETWORK OF LINCOLN COUNTY"|"953093"|"0"
"01-0574830"|"NCCNEUMANN SENIOR HOUSING CORPORATION"|"953094"|"0"
"01-0633329"|"Cambridge Valley Community Development Preservation Partnership Inc"|"953095"|"0"
"01-6208491"|"SEDGWICK CMS 501(C)(9) WELFARE TRUST"|"953096"|"0"
"01-0369891"|"LANDMARK HUMAN RESOURCES, INC"|"954223"|"0"
"01-0562891"|"Atlantic Cape Family Support Organization, Inc"|"954224"|"0"
"01-0589882"|"JARED C. BRUCE ACADEMY"|"954225"|"0"
"01-0964525"|"Tanque Verde Soccer Club Inc"|"954226"|"0"
"01-6004866"|"UNITED WAY OF MID COAST MAINE, INC."|"954227"|""
"01-0574137"|"Yuma-Southwest Contractors Association"|"955134"|"0"
"01-0598137"|"The Thelma Gaylord Lyric Theate End"|"955135"|""
"01-0661535"|"SD PROPERTIES INC"|"955136"|"0"
"01-0706736"|"AMERICAN EAGLE LIFECARE CORPORATION"|"955137"|"12"
"01-0725238"|"LEAD MARYLAND FOUNDATION INC"|"955511"|""
"01-0670943"|"Torrey Pines Pop Warner Inc"|"957369"|"0"
"01-0388637"|"New England Baptist Bible College"|"957698"|""
"01-0645244"|"HEAD START OF EASTERN ORANGE COUNTY INC"|"958623"|"2"
"01-0140290"|"PINE GROVE CEMETERY CORPORATION"|"959379"|"0"
"01-0376890"|"Pines Health Services"|"959380"|"9"
"01-0449348"|"The Cobscook Community Learning Center"|"959381"|""
"01-0488538"|"Maine Association of Nonprofits"|"959382"|"0"
"01-0516646"|"NORTHWEST ATLANTIC MARINE ALLIANCE INC"|"959383"|""
"01-0588347"|"CPYSC"|"959384"|""
"01-0629345"|"VOLUNTEER CHRISTIAN TELEVISION INC"|"959385"|""
"01-0652445"|"RODNEY STREET TENNIS AND TUTORING ASSOCIATION INC"|"959386"|"0"
"01-0691450"|"STRATEGIC WORLD IMPACT INC"|"959387"|"0"
"01-0711547"|"CROSS-GENERATION"|"959388"|"0"
"01-0883062"|"CHICAGO COMMUNITY LAND TRUST"|"959390"|"0"
"01-6196051"|"INTERNATIONAL BROTHERHOOD OF TEAMSTERS VOLUNTARY EMPLOYEE BENEFITS TRUST"|"959392"|"4"
"01-0380150"|"MECHANIC FALLS DEVELOPMENT COMMISSION"|"960749"|""
"01-0457589"|"MAINE RESOURCE RECOVERY ASSOCIATION"|"960751"|"0"
"01-0554061"|"MOUNT EPHRAIM SENIOR HOUSING INITIATIVE"|"960752"|"0"
"01-0595845"|"USA SOUTH ATHLETIC CONFERENCE, INC."|"960753"|"0"
"01-0626449"|"GATEWAY MONTESSORI SCHOOL INC"|"960754"|"0"
"01-0793953"|"LAKE BOWEN Baptist Church Childcare"|"960755"|"0"
"02-0156447"|"Fraternal Order of Eagles, Lamprey Aerie #1934"|"960756"|"0"
"02-0241746"|"COE-BROWN NORTHWOOD ACADEMY"|"960758"|""
"01-0132580"|"OQUOSSOC ANGLING ASSOCIATION"|"961776"|"0"
"01-0244457"|"NEW ENGLAND ELECTRIC RAILWAY HISTORICAL SOCIETY"|"961777"|"0"
"01-0416974"|"FRANNIE PEABODY CENTER"|"961778"|"0"
"01-0561554"|"THE SHEPHERD'S CROOK MINISTRIES INC"|"961780"|""
"01-6129359"|"Weathervane Seafoods Health & Welfare Trust"|"961782"|"0"
"01-0345660"|"BOOTHBAY REGION AMBULANCE SERVICE"|"962664"|"0"
"01-0424895"|"SOUTH PARK DEVELOPMENT CORPORATION"|"962665"|""
"01-0621556"|"THE GILL ST. BERNARD'S PARENTS' ASSOCIATION, INC."|"962666"|"0"
"01-0211476"|"THE CHAPMAN HOUSE"|"963958"|"0"
"01-0342874"|"MERTON IRA STAPLES AMVETS POST #1"|"963959"|"0"
"01-0353284"|"MATTAWAMKEAG HOUSING CORPORATION"|"963960"|""
"01-0357799"|"ORRINGTON HOUSING CORPORATION"|"963961"|""
"01-0377559"|"UNITED WAY OF TRI VALLEY AREA"|"963962"|"0"
"01-0382676"|"Employees of Municipal and Other Public Employers E"|"963963"|"1"
"01-0643676"|"International Cultural Exchange Org Inc"|"963964"|""
"01-0665790"|"COUNCIL OF STATE HISTORICAL RECORDS COORDINATORS INC"|"963965"|"0"
"01-0808098"|"INDEPENDENT WORLD TELEVISION INC"|"963968"|""
"01-6011487"|"PINE TREE STATE 4-H FOUNDATION UNIVERSITY OF MAINE"|"963969"|""
"01-0409494"|"HARRINGTON FAMILY HEALTH CENTERINC"|"965240"|""
"01-0488464"|"GREAT POND MOUNTAIN CONSERVATION TRUST"|"965241"|"0"
"01-0538683"|"EMC AFFORDABLE HOUSING PRESERVATION CORP"|"965243"|"0"
"01-6019477"|"GARD W TWADDLE NURSES ENDOWMENT"|"965244"|"0"
"01-0131770"|"ODD FELLOWS HALL"|"966084"|"0"
"01-0262394"|"LOUIS T GRAVES MEMORIAL PUBLIC LIBRARY"|"966085"|"0"
"01-0520096"|"CENTER THEATRE INC"|"966086"|""
"01-0597067"|"THE GARRISON INSTITUTE, INC"|"966087"|"0"
"01-0621494"|"NEIGHBORHOOD LEADERSHIP INSTITUTE"|"966088"|"0"
"01-0667694"|"Family Health Center of Southern Oklahoma, Inc."|"966089"|"0"
"01-0794788"|"ECUMENICAL COMMUNITY OF CHAUTAUQUA INC"|"966090"|""
"01-0142660"|"PORTLAND COUNTRY CLUB"|"967007"|"1"
"01-0275159"|"Junior Achievement of Maine Inc"|"967008"|"0"
"01-0347381"|"Sacopee Valley Health Center"|"967009"|"1"
"01-0357293"|"HERITAGE COURT INC"|"967010"|"0"
"01-0364464"|"Vose Library"|"967011"|"0"
"01-0367582"|"PORT RESOURCES INC"|"967012"|"0"
"01-0460969"|"HABITAT FOR HUMANITY 7 RIVERS MAINE"|"967014"|"0"
"01-0220588"|"MAINE BETTER TRANSPORTATION ASSOCIATION"|"968473"|"0"
"01-0225267"|"Tarratine Club of Dark Harbor"|"968474"|"0"
"01-0567777"|"Austin Drive Community Development, Inc."|"968475"|""
"01-0647374"|"NATIONAL INITIATIVE FOR CHILDREN'S HEALTHCARE QUALITYINC"|"968476"|"7"
"01-0813672"|"ASIAN FESTIVAL CORP"|"968477"|""
"01-0211570"|"YOUNG WOMEN'S CHRISTIAN ASSOCIATION OF CENTRAL MAINE"|"969454"|"0"
"01-0496076"|"FRATERNAL ORDER OF EAGLES #4352"|"969455"|""
"01-0527277"|"Maine Indoor Air Quality Council"|"969456"|""
"01-6000784"|"AUBURN PUBLIC LIBRARY"|"969458"|"0"
"01-0211478"|"UNITED WAY OF EASTERN MAINE"|"970591"|""
"01-0615880"|"THE CHILDREN'S GARDEN INC"|"970592"|"0"
"01-0226382"|"MAINE OSTEOPATHIC ASSOCIATION"|"970763"|""
"01-0779978"|"CENTER FOR AUTOMOTIVE RESEARCH"|"971016"|"0"
"01-0718987"|"DEKALB AQUATICS SWIM TEAM INC"|"971627"|""
"01-0803184"|"CHRIST ENRICHMENT CENTER INC"|"971628"|""
"01-0360872"|"SPECIAL CHILDREN'S FRIENDS"|"971774"|"0"
"01-0558182"|"JCPE INVESTMENTS (NFP)"|"972230"|"0"
"01-0481696"|"BIRCH BAY RETIREMENT VILLAGE"|"972566"|"0"
"01-0342399"|"ST ANDRE HEALTH CARE FACILITY"|"972579"|"8"
"01-0635895"|"SHELTER CARE PROVIDERS OF SAN DIEGO INC"|"972580"|"0"
"01-0857998"|"Communities In Schools of Southeast"|"972581"|"0"
"01-6022787"|"Medical Care Development Inc"|"972582"|"2"
"01-0357595"|"Somerset Humane Society"|"972903"|"0"
"01-0351795"|"BELDGRADE REGIONAL HEALTH CENTER, INC."|"973824"|"0"
"01-0018927"|"AMERICAN LEGION POST 5 BOURQUE-LANIGAN"|"974896"|"0"
"01-0204000"|"MAINE STATE EMPLOYEES ASSOCIATION"|"974897"|"0"
"01-0211814"|"YOUNG MEN'S CHRISTIAN ASSOCIATION SANFORD-SPRINGVALE"|"974898"|"0"
"01-0370716"|"SPURWINK/RI"|"974899"|"0"
"01-0689500"|"San Jose Soccer Complex Foundation"|"974901"|"0"
"01-0730325"|"THE MOUNT KENYA ACADEMY FOUNDATION, INC."|"974902"|"0"
"01-0796325"|"GLENNWOOD FOUNDATION INC"|"974903"|"0"
"01-0885325"|"HARRIET TUBMAN CENTER"|"974904"|""
"01-0351501"|"Community Partners Inc"|"976873"|"1"
"01-0509802"|"CAFE INC"|"976874"|""
"01-0659217"|"DONATE LIFE NORTH CAROLINA"|"976876"|"0"
"01-0702102"|"UNIVEST FOUNDATION"|"976877"|"0"
"01-0851915"|"PROJECT FAITH FOUNDATION INC."|"976878"|""
"01-0911124"|"STEPHEN J PONZILLO JR MEMORIAL LIBRARY & MUSEUM OF THE GRAND LODGE OF MARYLAND"|"976879"|"0"
"02-0103715"|"THE NEW HAMPSHIRE DEPARTMENT OF THE AMERICAN LEGION"|"976880"|""
"01-0215915"|"HANCOCK COUNTY TRUSTEES OF PUBLIC RESERVATIONS"|"978102"|""
"01-0572814"|"HOUSTON TEXANS FOUNDATION"|"978103"|"0"
"01-0724516"|"ORGANIZACION DE IGUALDAD DE DERECHOS"|"978104"|"0"
"01-0224214"|"UNION FAIR SOCIETY"|"978688"|"0"
"01-0406214"|"NAMI MAINE"|"978689"|""
"01-6000802"|"PORTLAND PUBLIC LIBRARY"|"978691"|"0"
"01-0401717"|"The Ark"|"979188"|""
"01-0858717"|"CHICAGOLAND USBC ASSOCIATION"|"979308"|"0"
"01-0803117"|"ATRIUS HEALTH INC"|"979405"|"3"
"01-0287624"|"HOME INC"|"979611"|"0"
"01-0810218"|"LITTLE RIVER CHAMBER OF COMMERCE AND VIS"|"979612"|""
"01-0224718"|"CUMBERLAND FARMERS CLUB -PREVOST"|"979915"|""
"01-0490316"|"OGUNQUIT PLAYHOUSE FOUNDATION"|"980699"|"0"
"01-0473116"|"Peregrine Corporation"|"981693"|"0"
"01-0927325"|"ELECTRIFICATION COALITION ALLIANCE"|"982049"|"0"
"01-0317317"|"FRATERNAL ORDER OF EAGLES AERIE NO. 3177"|"982732"|"0"
"01-0713126"|"NORTH RIVER CARE INC"|"982948"|""
"01-0798626"|"Harrison Center for the Arts Inc"|"982949"|"0"
"01-0913226"|"Americas Agenda Health Care for Kids"|"982950"|"0"
"01-0589927"|"MINOT COMMUNITY FOUNDATION"|"983635"|"0"
"01-0927327"|"ELECTRIFICATION COALITION FOUNDATION"|"983905"|"0"
"01-0498427"|"Pleasant River Ambulance Service"|"984006"|"0"
"01-0545327"|"Penobscot Valley Hospital"|"984102"|"15"
"01-0793127"|"HAPPILY EVER AFTER Educational Programs, Inc."|"984206"|"0"
"01-0127336"|"NEW AUBURN SOCIAL CLUB INC"|"984411"|"0"
"01-0131335"|"Oak Grove Cemetery Association"|"984412"|""
"01-0224138"|"ROCKLAND FESTIVAL CORPORATION"|"984413"|"0"
"01-0237721"|"UNIVERSITY OF MAINE PULP & PAPER FOUNDATION"|"984414"|"0"
"01-0317232"|"UNITED SOCIETY OF SHAKERS SABBATHDAY LAKE INC"|"984415"|"0"
"01-0356732"|"CARRIAGE MUSEUM OF AMERICA, INC."|"984416"|"0"
"01-0356733"|"Yarmouth Chamber of Commerce"|"984417"|""
"01-0377623"|"CASTINE HISTORICAL SOCIETY INC."|"984418"|"0"
"01-0424837"|"GEORGES RIVER LAND TRUST"|"984419"|"0"
"01-0438881"|"SHADY NOOK IMPROVEMENT ASSOCIATION, INC."|"984420"|"0"
"01-0445336"|"Humane Society of Knox County"|"984421"|"0"
"01-0493230"|"PROJECT SHARE"|"984424"|"1"
"01-0523819"|"Mary's Walk"|"984425"|"0"
"01-0532938"|"DOWNEAST SALMON FEDERATION"|"984426"|"0"
"01-0633520"|"PINK RIBBONS PROJECT"|"984427"|"0"
"01-0773533"|"FIRST BAPTIST CHILDREN'S ACADEMY, INC."|"984428"|"0"
"01-0796181"|"LITTLE LAMBS DAYCARE INC"|"984429"|"0"
"02-0196520"|"Bellwether Community Credit Union"|"984432"|"5"
"01-0315931"|"Coastal Opportunities"|"986601"|"0"
