"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"CLOTH_CBX"|"CLOTH_NON_CASH_CONTRIB"|"CLOTH_NON_CASH_METHOD"|"SEC_PUB_CBX"|"SEC_PUB_NUM_CONTRIB"|"SEC_PUB_NON_CASH_CONTRIB"|"SEC_PUB_NON_CASH_METHOD"|"SEC_STOCK_CBX"|"SEC_STOCK_NUM_CONTRIB"|"SEC_STOCK_NON_CASH_CONTRIB"|"SEC_STOCK_NON_CASH_METHOD"|"SEC_TRUST_CBX"|"SEC_TRUST_NUM_CONTRIB"|"SEC_TRUST_NON_CASH_CONTRIB"|"SEC_TRUST_NON_CASH_METHOD"|"SEC_MISC_CBX"|"SEC_MISC_NUM_CONTRIB"|"SEC_MISC_NON_CASH_CONTRIB"|"SEC_MISC_NON_CASH_METHOD"|"FOOD_CBX"|"FOOD_NUM_CONTRIB"|"FOOD_NON_CASH_CONTRIB"|"FOOD_NON_CASH_METHOD"|"DRUG_CBX"|"DRUG_NUM_CONTRIB"|"DRUG_NON_CASH_CONTRIB"|"DRUG_NON_CASH_METHOD"
"01-0346779"|"NORRIDGEWOCK HOUSING CORPORATION"|"1204052"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0354752"|"Lincolnville Volunteer Fire Department"|"1204053"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0356422"|"MOOSEHEAD MARINE MUSEUM"|"1204054"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0369722"|"WAWENOCK GOLF CLUB"|"1204055"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0371869"|"BOOTHBAY REGION LAND TRUST"|"1204056"|""|""|""|"Y"|"7"|"156299.0000"|"QUOTED MEAN VALUE"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0372429"|"Falmouth Conservation Trust"|"1204057"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0372829"|"BOOTH BAY RAILWAY VILLAGE"|"1204058"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0382451"|"WHITNEY BROOKSIDE CORPORATION"|"1204059"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0441229"|"DOWN EAST AIDS NETWORK INC"|"1204062"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0456895"|"MOUNT AUBURN CEMETERY CORP CO MARY E KEOUGH"|"1204063"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0458555"|"SCARBOROUGH FISH & GAME ASSOCIATION"|"1204064"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0461075"|"MARIAN MOVEMENT OF PRIESTS"|"1204065"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0478977"|"BIDDEFORD FREE CLINIC"|"1204066"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0483786"|"BICYCLE COALITION OF MAINE"|"1204067"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0493123"|"WALDO COUNTY YMCA"|"1204069"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0505729"|"FRIENDS OF THE ST LAWRENCE CHURCH"|"1204070"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0509793"|"PITTSTON FAIR ASSOCIATION"|"1204071"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0509853"|"PINE CREST DEVELOPMENT CORPORATION DEVELOPMENT CORP"|"1204072"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0518900"|"THE POPTECH INSTITUTE"|"1204073"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0520096"|"CENTER THEATRE INC"|"1204074"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0523819"|"Mary's Walk"|"1204075"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0530866"|"INSTITUTE FOR HUMANE EDUCATION"|"1204076"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0533179"|"FREEMAN FOREST HOUSING CORP"|"1204077"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0569069"|"Colchester Football Booster Assoc"|"1204078"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0584192"|"BRIGHT WORLD FOUNDATION"|"1204079"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0589514"|"GREEN POWER EMC"|"1204080"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0595671"|"RESOURCE NY INC"|"1204081"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0601585"|"OWEN HOUSE LTD"|"1204082"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0619670"|"FOUNDATION FOR THE CHALLENGED"|"1204084"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0620340"|"WHISPERS OF HOPE HORSE FARM"|"1204085"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0633893"|"James Moore Evangelistic Association"|"1204086"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0637750"|"ARIZONA ADVOCACY NETWORK"|"1204087"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0648145"|"ORTHOCAROLINA RESEARCH INSTITUTE INC FMRLY O L MILLER RESEARCH INSTITUTE"|"1204088"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0691450"|"STRATEGIC WORLD IMPACT INC"|"1204090"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0692980"|"PROMISE MINISTRIES"|"1204091"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0695292"|"SOWERS OF THE HARVEST MINISTRIES INC"|"1204092"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0706799"|"GREEN BLUE INSTITUTE"|"1204093"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0710522"|"TMT Three Maroon Circle Inc"|"1204094"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0712524"|"SOUTH CAROLINA EQUALTY"|"1204095"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0714863"|"Community Housing Services Cedar Canyon Inc"|"1204096"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0736882"|"SPORTS GIFT, INC."|"1204097"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0768541"|"FRIENDS OF YOUTH SPORTS"|"1204099"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0769741"|"JOHNNY BURKE'S CHILDREN'S FOUNDATION"|"1204100"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0774114"|"GOVERNMENT INVESTMENT OFFICERS ASSOCIATION"|"1204101"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0777850"|"OPERATION HOMEFRONT MO & & SOUTHWEST ILL INC"|"1204102"|"Y"|"3598413.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"Y"|"8"|"47262.0000"|""|""|""|""|""
"01-0778962"|"Texas Archive of the Moving Image"|"1204103"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0779341"|"CHOICES FOR COMMUNITY LIVING-DELAWARE INC"|"1204104"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0779923"|"C & SANDRA S SULLIVAN FOUNDATION"|"1204105"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0794788"|"ECUMENICAL COMMUNITY OF CHAUTAUQUA INC"|"1204106"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0796181"|"LITTLE LAMBS DAYCARE INC"|"1204107"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0817065"|"STRATEGIC MARKETPLACE INITIATIV C/0 TERI GALLAGHER"|"1204108"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0825899"|"Dalton Convention and Visitors Bureau"|"1204109"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0857922"|"Clock Tower Place Funding Company"|"1204110"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0863576"|"JANICE BARNETT MINISTRIES INC"|"1204111"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0909843"|"Friends of Kenya Wildlife Trust"|"1204113"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0920922"|"MIGHTY WRITERS"|"1204114"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0953296"|"SHREE PASHUPATINATH FOUNDATION USA"|"1204115"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-6015740"|"BOOTHBAY REGION HUMANE SOCIETY"|"1204116"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-6024157"|"PEJEPSCOT HISTORICAL SOCIETY"|"1204117"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-6047645"|"GOOSE ROCKS BEACH FIRE COMPANY"|"1204118"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0142660"|"PORTLAND COUNTRY CLUB"|"1212234"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-6036492"|"AMERICAN LEGION 202 MEM POST"|"1212236"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-6117658"|"Downeast Energy Corp. Health/Dental Plan"|"1212237"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0100593"|"KENNEBUNK RIVER CLUB"|"1213296"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0211490"|"BOY SCOUTS OF AMERICA 0218 PINE TREE COUNCIL INC"|"1213297"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0249865"|"Wiscasset Public Library"|"1213298"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0355797"|"BLUE KNIGHTS MOTORCYCLE CLUB"|"1213299"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0425071"|"Friends of Acadia"|"1213301"|""|""|""|"Y"|"14"|"27340.0000"|"Market Price"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0446468"|"Kennebec Estuary Land Trust"|"1213302"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0478004"|"THE MAINE NARROW GAUGE RAILROAD AND INDUSTRIAL HERITAGE TRUST"|"1213303"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0509087"|"HALL-DALE AFTER SCHOOL PROGRAM"|"1213304"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0517984"|"CENTER FOR FURNITURE CRAFTSMANSHIP"|"1213305"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0537084"|"Western Mountains Charitable Foundation"|"1213306"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0573988"|"PROGRESSIVE ARTS ALLIANCE INCORPORATED"|"1213307"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0582284"|"COMMUNITY CONNECTIONS INC"|"1213308"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0652445"|"RODNEY STREET TENNIS AND TUTORING ASSOCIATION INC"|"1213309"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0674195"|"CYPRESS LANDING GOLF CLUB"|"1213310"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0679073"|"PARKER COUNTY HEALTH FOUNDATION"|"1213311"|""|"15923.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0774996"|"MAD DADS"|"1213313"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0871294"|"New Redeemed Bible Fellowship Inc"|"1213314"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-6011487"|"PINE TREE STATE 4-H FOUNDATION UNIVERSITY OF MAINE"|"1213316"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-6018651"|"AMERICAN LEGION POST 0068"|"1213317"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0269301"|"MAINE ASSOCIATION OF REALTORS"|"1216571"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0418902"|"UNITED BIKERS OF MAINE"|"1216572"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0484605"|"ALBION ASSOCIATES"|"1216573"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0491904"|"MAINE RENEWABLE ENERGY ASSOCIATION"|"1216574"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0788905"|"MASTER BREWERS ASSOCIATION OF THE AMERICAS INC"|"1216575"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0891955"|"COALITION AGAINST DOMAIN NAME ABUSE INC"|"1216576"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-6019359"|"BOOTHBAY REGION STUDENT AID FUND, INC."|"1217615"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0412269"|"Downeast Family Young Men's Christian Association"|"1219892"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0414169"|"THE WOODLANDS CLUB"|"1219893"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0508465"|"HOSPICE REGATTA OF MAINE"|"1219894"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0523156"|"PHILLIPS-STRICKLAND CHARITIES"|"1219896"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0523162"|"PSH PROPERTIES II"|"1219897"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0671151"|"American Friends of Lucerne Festivatl"|"1219899"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0674962"|"SHINER NURSING & REHAB CENTER INC"|"1219900"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0717802"|"GLOBAL VISION CITADELLE MINISTRIES INC"|"1219901"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0771671"|"SUB-SAHARAN AFRICAN YOUTH AND FAMIL"|"1219902"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0771966"|"Fibromuscular Dysplasia Society of America Inc"|"1219903"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0813672"|"ASIAN FESTIVAL CORP"|"1219904"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0897461"|"United African Organization"|"1219905"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0897469"|"SEIU HEALTHCARE MICHIGAN"|"1219906"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0909860"|"COMMUNITY CONNECTIONS OF NY INC"|"1219907"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-6010068"|"FARMINGTON PUBLIC LIBRARY ASS"|"1219908"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0116390"|"SHRINERS INTERNATIONAL"|"1224767"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0210495"|"American Legion Post 0015 Henry Pratt"|"1224768"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0220091"|"NORTHEAST HARBOR LIBRARY"|"1224769"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0261795"|"FIVE COUNTY CREDIT UNION"|"1224770"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0376890"|"Pines Health Services"|"1224771"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0478281"|"FRIENDS OF FORT KNOX"|"1224772"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0562689"|"Triangle Lightning"|"1224773"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0628076"|"GIRLS ON THE RUN OF SILICON VALLEY INC"|"1224774"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0670794"|"Together Enhancing Autism Awareness in Mississippi"|"1224775"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0686191"|"4th Street Basement Boutique"|"1224776"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0849087"|"Open Space Alliance for North Brooklyn Inc"|"1224777"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0953997"|"Beacon of Hope"|"1224778"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-6162280"|"King-Thomas Scholarship Trust"|"1224779"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"02-0211990"|"AMERICAN LEGION CLUB WHITEMAN-DAVIDSON POST 49"|"1224781"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"02-0223176"|"NEW HAMPSHIRE MEDICAL SOCIETY"|"1224782"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0496076"|"FRATERNAL ORDER OF EAGLES #4352"|"1226617"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"02-0130185"|"ROCHESTER LODGE OF ELKS #1393"|"1226619"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0961799"|"HOPE BUILDERS INTERNATIONAL"|"1226885"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0781066"|"LONG ISLAND LIBERTY LACROSSE INC"|"1227102"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0206603"|"COMMUNITY CREDIT UNION"|"1227768"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0207022"|"FAIRMOUNT CEMETERY ASSOC"|"1227769"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0317602"|"Oceanview Manor Inc"|"1227770"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0347202"|"HILL STREET TERRACE HOUSING CORPORATION"|"1227771"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0434603"|"WOMEN UNLIMITED"|"1227772"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0645907"|"LIFE EDUCATION FOUNDATION"|"1227773"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0654320"|"The Lio Mission Inc."|"1227774"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0659307"|"Jefferson Park Ministries, Inc"|"1227775"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0808707"|"ISLAMIC ORGANIZATION OF NORTH AMERICA"|"1227776"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0908221"|"HOLSTEN HUMAN CAPITAL DEVELOPMENT NFP"|"1227777"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0750822"|"TMG FOUNDATION"|"1237240"|""|""|""|""|""|""|""|"Y"|"2"|"314900.0000"|"INDEPENDENT EVAL"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0212442"|"PINE TREE SOCIETY FOR HANDICAPPED CHILDREN AND ADULTS, INC."|"1237825"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0216933"|"MAINE MEDICAL ASSOCIATION"|"1237826"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0237912"|"Boothbay Region YMCA"|"1237827"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0325912"|"MATTANAWCOOK TERRACE HOUSING CORPORATION"|"1237828"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0357213"|"FREEPORT CONSERVATION TRUST"|"1237829"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0425010"|"Camp Runoia Alumnae Organization"|"1237830"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0528014"|"MAINE FARMLAND TRUST"|"1237831"|""|""|""|"Y"|"12"|"108084.0000"|"ACTIVE MARKET"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0566111"|"SCHENECTADY COMMUNITY HOME INC"|"1237832"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0570609"|"Camp Smile Foundation Inc"|"1237833"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0649812"|"TWINSBURG YOUTH SOFTBALL LEAGUE INC"|"1237834"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0701611"|"VISION HOPE COMMUNITY DEVELOPMENT"|"1237835"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0773533"|"FIRST BAPTIST CHILDREN'S ACADEMY INC"|"1237837"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0786312"|"Missouri Valley Eclipse Amateur Athletic Club"|"1237839"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-0932008"|"A A PLUS"|"1237843"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""
