"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"EFILE"|"ORGNAME"|"DBA"|"PHONE"|"CO_ATTN"|"STREET"|"SUITE"|"CITY"|"STATE"|"COUNTRY"|"ZIP"|"PERIOD_BEGIN"|"PERIOD_END"|"CHANGE_ADDR_CBX"|"CHANGE_NAME_CBX"|"INIT_RET_CBX"|"FINAL_RET_CBX"|"APP_PEND_CBX"|"PRINCIPAL_NAME"|"RECEIPT_TOT"|"TYPE"|"WEB"|"ORG_TYPE_CORPORATION_CBX"|"ORG_TYPE_TRUST_CBX"|"ORG_TYPE_ASSOCIATION_CBX"|"ORG_TYPE_OTHER_CBX"|"ORG_TYPE"|"FORMATION_YEAR"|"LEGAL_DOM"|"GROUP_RET_STATUS_CBX"|"GROUP_RET_ALL_AFFIL_CBX"|"GROUP_RET_GEN"|"LAST_MODIFIED"|"Prefix"|"FirstName"|"MiddleName"|"LastName"|"Suffix"|"Gender"|"ParseNameFlag"
"01-0532411"|"Maine Space Grant Consortium"|"943765"|"Y"|"Maine Space Grant Consortium"|""|"207-622-4688"|""|"87 Wmthrop Street"|"200"|"Augusta"|"ME"|"USA"|"04330"|"3/1/2011 12:00:00 AM"|"2/29/2012 12:00:00 AM"|""|""|""|""|""|"DrTerry Shehata"|"1654207.0000"|"03"|"www.msgc.org"|"Y"|""|""|""|""|"2000"|"ME"|"N"|""|""|"3/11/2013 1:47:36 PM"|""|"Drterry"|""|"Shehata"|""|"Unknown"|"True"
"01-0488811"|"MAINE STATE GOLF ASSOCIATION INC"|"944726"|"Y"|"MAINE STATE GOLF ASSOCIATION INC"|""|"207-829-3549"|""|"58 VAL HALLA ROAD"|""|"CUMBERLAND"|"ME"|"USA"|"04021"|"1/1/2011 12:00:00 AM"|"12/31/2011 12:00:00 AM"|""|""|""|""|""|"NANCY STORY"|"991141.0000"|"03"|"WWW.MESGA.ORG"|"Y"|""|""|""|""|"1995"|"ME"|"N"|""|"5505"|"3/12/2013 10:20:43 AM"|""|"Nancy"|""|"Story"|""|"Female"|"True"
"01-0650805"|"KOAL TO DIAMOND"|"944727"|"Y"|"KOAL TO DIAMOND"|""|""|""|"PO BOX 6014"|""|"Pine Bluff"|"AR"|"USA"|"71611"|"1/1/2011 12:00:00 AM"|"12/31/2011 12:00:00 AM"|""|""|""|""|""|"GEORGE WHITE"|"3365.0000"|"03"|""|"Y"|""|""|""|""|"2007"|"AR"|"N"|""|""|"3/12/2013 10:21:44 AM"|""|"George"|""|"White"|""|"Male"|"True"
"01-0662412"|"WEST BARTOW FRONT PORCH REVITALIZATION C"|"944728"|"Y"|"WEST BARTOW FRONT PORCH REVITALIZATION C"|""|""|""|"P O BOX 726"|""|"BARTOW"|"FL"|"USA"|"33831"|"1/1/2011 12:00:00 AM"|"12/31/2011 12:00:00 AM"|""|""|""|""|""|""|"159677.0000"|"03"|""|"Y"|""|""|""|""|"2002"|"FL"|"N"|""|""|"3/12/2013 10:22:18 AM"|""|""|""|""|""|""|""
"01-0748205"|"THE FRIENDS OF THALAMUS"|"944729"|"Y"|"THE FRIENDS OF THALAMUS"|""|"917-359-2719"|""|"200 EAST 61ST STREET"|""|"NEW YORK"|"NY"|"USA"|"10021"|"1/1/2011 12:00:00 AM"|"12/31/2011 12:00:00 AM"|""|""|""|""|""|"MARIA CLARA PIEROTTI"|"305000.0000"|"03"|""|"Y"|""|""|""|""|"2005"|"NY"|"N"|""|""|"3/12/2013 10:22:25 AM"|""|"Maria"|"Clara"|"Pierotti"|""|"Female"|"True"
"01-0851113"|"LIFELINX CORPORATION"|"944730"|"Y"|"LIFELINX CORPORATION"|""|"203-483-0399"|""|"2785 BOSTON POST ROAD"|""|"GUILFORD"|"CT"|"USA"|"06437"|"1/1/2011 12:00:00 AM"|"12/31/2011 12:00:00 AM"|""|""|""|""|""|"WILLIAM WELSH TREASURER"|"56027.0000"|"03"|"HTTP://WWW.LIFELINX.ORG/"|"Y"|""|""|""|""|""|""|"N"|""|""|"3/12/2013 10:22:31 AM"|""|"William"|"Welsh"|"Treasurer"|""|"Male"|"True"
"01-0022415"|"Kennebec Valley Chamber of Commerce"|"945409"|"N"|"Kennebec Valley Chamber of Commerce"|""|"207-623-4559"|""|"P.O. Box 676"|""|"Augusta"|"ME"|"USA"|"04332-0676"|"1/1/2011 12:00:00 AM"|"12/31/2011 12:00:00 AM"|""|""|""|""|""|"Peter G. Thompson"|"455555.0000"|"06"|"WWW.augustamaine.com"|"Y"|""|""|""|""|"1932"|"ME"|"N"|""|""|"3/13/2013 10:29:59 AM"|""|"Peter"|"G"|"Thompson"|""|"Male"|"True"
"01-0516517"|"Senior Needs Committee of Wells and Ogunquit"|"945410"|"Y"|"Senior Needs Committee of Wells and Ogunquit"|""|"207-646-5596"|""|"PO Box 987"|""|"Wells"|"ME"|"USA"|"04090"|"1/1/2011 12:00:00 AM"|"12/31/2011 12:00:00 AM"|""|""|""|""|""|"Joseph Allara"|"176796.0000"|"03"|"www.wocam.org"|"Y"|""|""|""|""|"1997"|"ME"|"N"|""|""|"3/13/2013 10:30:45 AM"|""|"Joseph"|""|"Allara"|""|"Male"|"True"
"01-0211517"|"Cedars Nursing Care Center"|"946082"|"Y"|"Cedars Nursing Care Center"|""|"207-772-5456"|""|"630 Ocean Avenue"|""|"Portland"|"ME"|"USA"|"04103"|"5/1/2011 12:00:00 AM"|"4/30/2012 12:00:00 AM"|""|""|""|""|""|"Kathryn J Callnan"|"11697422.0000"|"03"|"www.thecedarsportland.org"|"Y"|""|""|""|""|"1929"|"ME"|"N"|""|""|"3/13/2013 11:40:55 AM"|""|"Kathryn"|"J"|"Callnan"|""|"Female"|"True"
"01-0868717"|"H E L P MINISTRIES, INC"|"946084"|"N"|"H E L P MINISTRIES, INC"|""|"727-542-3741"|""|"1381 OAK VILLAGES DR"|""|"LARGO"|"FL"|"USA"|"33778"|"7/1/2011 12:00:00 AM"|"6/30/2012 12:00:00 AM"|""|""|""|""|""|"JC COBB"|"2242877.0000"|"03"|""|"Y"|""|""|""|""|"2007"|"FL"|"N"|""|""|"3/13/2013 11:41:07 AM"|""|"Cobb"|""|"Jc"|""|"Male"|"True"
"02-0172115"|"ANCIENT ACCEPTED SCOTTISH RITE OF FREE MASONRY NMJ VALLEY OF NASHUA CONSISTORY"|"946086"|"Y"|"ANCIENT ACCEPTED SCOTTISH RITE OF FREE MASONRY NMJ VALLEY OF NASHUA CONSISTORY"|""|"603-882-4931"|""|"196 MAIN ST"|"16"|"NASHUA"|"NH"|"USA"|"03060-2914"|"8/1/2011 12:00:00 AM"|"7/31/2012 12:00:00 AM"|""|""|""|""|""|"JOSEPH J H BEAUMONT"|"6687091.0000"|"10"|""|""|""|""|"Y"|"DOMESTIC FRATERNAL ORGANIZATION"|"1864"|"NH"|"N"|""|"0259"|"3/13/2013 11:41:19 AM"|"Joseph"|"J"|"h"|"Beaumont"|""|"Male"|"False"
"01-0287022"|"THE THEATER AT MONMOUTH"|"946564"|"N"|"THE THEATER AT MONMOUTH"|""|"207-933-2952"|""|"P O BOX 385"|""|"MONMOUTH"|"ME"|"USA"|"04259"|"1/1/2011 12:00:00 AM"|"12/31/2011 12:00:00 AM"|""|""|""|""|""|""|"715433.0000"|"03"|""|"Y"|""|""|""|""|"1970"|"ME"|"N"|""|""|"3/14/2013 10:31:34 AM"|""|""|""|""|""|""|""
"01-0528831"|"Waterfall Arts"|"946565"|"Y"|"Waterfall Arts"|""|"207-338-2222"|""|"256 High Street"|""|"Belfast"|"ME"|"USA"|"04915"|"1/1/2011 12:00:00 AM"|"12/31/2011 12:00:00 AM"|""|""|""|""|""|""|"243911.0000"|"03"|"www.waterfallarts.org"|"Y"|""|""|""|""|"2000"|"ME"|"N"|"N"|""|"3/14/2013 10:32:04 AM"|""|""|""|""|""|""|""
"01-0647817"|"IGLESIA PENTPODER DESDE LO ALTO INC"|"946566"|"Y"|"IGLESIA PENTPODER DESDE LO ALTO INC"|""|""|""|"115 RIDGE AVE"|""|"ALLENTOWN"|"PA"|"USA"|"18102"|"1/1/2011 12:00:00 AM"|"12/31/2011 12:00:00 AM"|""|""|""|""|""|"IDILIA FIGUEROA"|"108121.0000"|"03"|""|"Y"|""|""|""|""|"2007"|"PA"|"N"|""|""|"3/14/2013 10:32:12 AM"|""|"Idilia"|""|"Figueroa"|""|"Female"|"True"
"01-0712520"|"SOUTH CAROLINA EQUALITY COALITION"|"946567"|"Y"|"SOUTH CAROLINA EQUALITY COALITION"|""|"803-256-6500"|""|"PO BOX 544"|""|"COLUMBIA"|"SC"|"USA"|"29202"|"1/1/2011 12:00:00 AM"|"12/31/2011 12:00:00 AM"|""|""|""|""|""|"CHRISTINE JOHNSON"|"10568.0000"|"04"|"WWW.SCEQUALITY.ORG"|"Y"|""|""|""|""|"2002"|"SC"|"N"|""|""|"3/14/2013 10:32:19 AM"|""|"Christine"|""|"Johnson"|""|"Female"|"True"
"01-0810817"|"THE SCHOOL OF THE IMMACULATA INC"|"946568"|"Y"|"THE SCHOOL OF THE IMMACULATA INC"|""|""|""|"4265 13TH AVE N BLDG 2"|""|"ST PETERSBURG"|"FL"|"USA"|"33713"|"1/1/2011 12:00:00 AM"|"12/31/2011 12:00:00 AM"|""|""|""|""|""|"EVA LEFKIMIOTIS"|"475032.0000"|"03"|"WWW.IMMACULATASCHOOL.COM"|"Y"|""|""|""|""|"2008"|"FL"|"N"|""|""|"3/14/2013 10:32:25 AM"|""|"Eva"|""|"Lefkimiotis"|""|"Female"|"True"
"01-0205722"|"Brookside Cemetery Association, Inc."|"947211"|"N"|"Brookside Cemetery Association, Inc."|""|"207-244-3735"|"Robert B. Fernald"|"P.O. Box 99"|""|"Mount Desert"|"ME"|"USA"|"04660"|"10/1/2011 12:00:00 AM"|"9/30/2012 12:00:00 AM"|""|""|""|""|""|"Robert B. Fernald"|"164212.0000"|"13"|""|"Y"|""|""|""|""|"1859"|"ME"|"N"|""|""|"3/14/2013 11:41:10 AM"|""|"Robert"|"B"|"Fernald"|""|"Male"|"True"
"01-0265231"|"UPLIFT INC"|"947212"|"Y"|"UPLIFT INC"|""|"207-582-8021"|""|"PO BOX 1106"|""|"GARDINER"|"ME"|"USA"|"04345"|"7/1/2011 12:00:00 AM"|"6/30/2012 12:00:00 AM"|""|""|""|""|""|"TRISH GOSLINE"|"6089159.0000"|"03"|"WWW.UPLIFTMAINE.ORG"|"Y"|""|""|""|""|"1959"|"ME"|"N"|""|""|"3/14/2013 11:41:17 AM"|""|"Trish"|""|"Gosline"|""|"Female"|"True"
"01-0389416"|"Northern Aroostook Alternatives Inc"|"947213"|"Y"|"Northern Aroostook Alternatives Inc"|""|"207-868-5023"|""|"267 Mam Street"|""|"Van Buren"|"ME"|"USA"|"04785"|"7/1/2011 12:00:00 AM"|"6/30/2012 12:00:00 AM"|""|""|""|""|""|"Linda McGlinn"|"1475652.0000"|"03"|"WWW.northernaroostookalternatives.com"|"Y"|""|""|""|""|"1983"|"ME"|"N"|""|""|"3/14/2013 11:41:25 AM"|""|"Linda"|""|"McGlinn"|""|"Female"|"True"
"01-0603820"|"KALAMAZOO REGIONAL CHAMBER FOUNDATION"|"947215"|"Y"|"KALAMAZOO REGIONAL CHAMBER FOUNDATION"|""|"269-381-4000"|""|"346 W MICHIGAN AVE"|""|"KALAMAZOO"|"MI"|"USA"|"49007-3783"|"5/1/2011 12:00:00 AM"|"4/30/2012 12:00:00 AM"|""|""|""|""|""|"JEFFREY HAWKINS"|"499344.0000"|"03"|"WWW.KAZOOCHAMBER.COM"|"Y"|""|""|""|""|"2002"|"MI"|"N"|""|""|"3/14/2013 11:41:40 AM"|""|"Jeffrey"|""|"Hawkins"|""|"Male"|"True"
"01-0274746"|"CENTRAL MAINE BIBLE CONFERENCE"|"947753"|"N"|"CENTRAL MAINE BIBLE CONFERENCE"|""|"207-722-3456"|""|"81 WEST FAIRHAVEN LANE"|""|"BROOKS"|"ME"|"USA"|"04921"|"9/1/2010 12:00:00 AM"|"8/31/2011 12:00:00 AM"|""|""|""|""|""|"JAMES MILLER"|"370785.0000"|"03"|"WWW.FAIRHAVENCAMPS.ORG"|"Y"|""|""|""|""|"1950"|"ME"|"N"|""|""|"3/18/2013 11:04:10 AM"|""|"James"|""|"Miller"|""|"Male"|"True"
"01-0288757"|"Child And Family Opportunities, Inc."|"947754"|"N"|"Child And Family Opportunities, Inc."|""|"207-667-2995"|""|"P.O. Box 648"|""|"Ellsworth"|"ME"|"USA"|"04605"|"12/1/2010 12:00:00 AM"|"11/30/2011 12:00:00 AM"|""|""|""|""|""|"Doug Orville"|"5539996.0000"|"03"|"www.childandfamilyopp.org"|"Y"|""|""|""|""|"1970"|"ME"|"N"|""|""|"3/18/2013 11:04:18 AM"|""|"Doug"|""|"Orville"|""|"Male"|"True"
"01-0339295"|"MAINE HUMANITIES COUNCIL"|"947755"|"Y"|"MAINE HUMANITIES COUNCIL"|""|"207-773-5051"|""|"674 BRIGHTON AVENUE"|""|"PORTLAND"|"ME"|"USA"|"04102-1012"|"11/1/2010 12:00:00 AM"|"10/31/2011 12:00:00 AM"|""|""|""|""|""|"JOHN OPPERMAN"|"1997728.0000"|"03"|"WWW.MAINEHUMANITIES.ORG"|"Y"|""|""|""|""|"1976"|"ME"|"N"|""|""|"3/18/2013 11:04:26 AM"|""|"John"|""|"Opperman"|""|"Male"|"True"
"01-0368188"|"SO MAINE EMERGENCY MED SERVICES COUNCIL INC"|"947756"|"N"|"SO MAINE EMERGENCY MED SERVICES COUNCIL INC"|""|"207-741-2790"|""|"474 RIVERSIDE INDUSTRIAL PARKWAY"|""|"PORTLAND"|"ME"|"USA"|"04103"|"7/1/2010 12:00:00 AM"|"6/30/2011 12:00:00 AM"|""|""|""|""|""|"MARC A MINKLER"|"484751.0000"|"03"|"WWW.SMEMS.ORG"|"Y"|""|""|""|""|"1980"|"ME"|"N"|""|""|"3/18/2013 11:04:34 AM"|""|"Marc"|"A"|"Minkler"|""|"Male"|"True"
"01-0870395"|"Music Haven, Inc."|"947757"|"N"|"Music Haven, Inc."|""|"203-745-9030"|""|"117 Whalley Avenue"|""|"New Haven"|"CT"|"USA"|"06511"|"7/1/2010 12:00:00 AM"|"6/30/2011 12:00:00 AM"|""|""|""|""|""|"Tina Lee Hadari"|"209458.0000"|"03"|"www.musichavenct.org"|"Y"|""|""|""|""|"2006"|"CT"|"N"|""|""|"3/18/2013 11:04:42 AM"|""|"Tina"|"Lee"|"Hadari"|""|"Female"|"True"
"01-0279387"|"Pine Tree Legal Assistance, Inc."|"947987"|"N"|"Pine Tree Legal Assistance, Inc."|""|"207-774-4753"|""|"P.O. Box 547"|""|"Portland"|"ME"|"USA"|"04112"|"1/1/2011 12:00:00 AM"|"12/31/2011 12:00:00 AM"|""|""|""|""|""|"Nan Heald"|"5045988.0000"|"03"|"WWW.PTLA.ORG"|"Y"|""|""|""|""|"1966"|"ME"|"N"|""|""|"3/18/2013 11:39:27 AM"|""|"Nan"|""|"Heald"|""|"Female"|"True"
"01-0282197"|"GUILFORD DEVELOPMENT CORPORATION"|"947988"|"Y"|"GUILFORD DEVELOPMENT CORPORATION"|""|"207-876-4239"|""|"99 RNERBEND DRNE"|""|"GUILFORD"|"ME"|"USA"|"04443"|"1/1/2011 12:00:00 AM"|"12/31/2011 12:00:00 AM"|""|""|""|""|""|"FRANK RUKSZINS"|"340993.0000"|"04"|""|"Y"|""|""|""|""|"1971"|"ME"|"N"|""|""|"3/18/2013 11:39:44 AM"|""|"Frank"|""|"Rukszins"|""|"Male"|"True"
"01-0358743"|"GLENBURN HOUSING CORPORATION"|"947989"|"Y"|"GLENBURN HOUSING CORPORATION"|"SUNNY GABLES"|""|""|"4 UNION STREET BOX 9"|""|"BANGOR"|"ME"|"USA"|"04401"|"1/1/2011 12:00:00 AM"|"12/31/2011 12:00:00 AM"|""|""|""|""|""|"BERNARD EMERY"|"209261.0000"|"04"|""|"Y"|""|""|""|""|""|""|"N"|""|""|"3/18/2013 11:40:19 AM"|""|"Bernard"|""|"Emery"|""|"Male"|"True"
"01-0371037"|"UNION COUNTRY CLUB INC"|"947990"|"N"|"UNION COUNTRY CLUB INC"|""|"207-845-3131"|""|"209 FISHTOWN RD"|""|"APPLETON"|"ME"|"USA"|"04862"|"1/1/2011 12:00:00 AM"|"12/31/2011 12:00:00 AM"|""|""|""|""|""|"DAVID GIBBS"|"180460.0000"|"07"|""|"Y"|""|""|""|""|"1980"|"ME"|"N"|""|""|"3/18/2013 11:40:25 AM"|""|"David"|""|"Gibbs"|""|"Male"|"True"
"01-0372129"|"NORTH AMERICAN LAKE MANAGEMENT SOCIETY"|"947991"|"Y"|"NORTH AMERICAN LAKE MANAGEMENT SOCIETY"|""|"608-233-2836"|""|"PO BOX 5443"|""|"MADISON"|"WI"|"USA"|"53705-5443"|"1/1/2011 12:00:00 AM"|"12/31/2011 12:00:00 AM"|""|""|""|""|""|"LINDA GREEN"|"615768.0000"|"03"|"WWW.NALMS.ORG"|"Y"|""|""|""|""|"1980"|"ME"|"N"|""|""|"3/18/2013 11:40:31 AM"|""|"Linda"|""|"Green"|""|"Female"|"True"
"01-0379498"|"Stanley Museum Inc"|"947992"|"Y"|"Stanley Museum Inc"|""|"207-265-2729"|""|"PO Box 77"|""|"Kingfield"|"ME"|"USA"|"04947"|"1/1/2011 12:00:00 AM"|"12/31/2011 12:00:00 AM"|""|""|""|""|""|"D Howard Randall Jr"|"79389.0000"|"03"|"www.stanleymuseum.org"|"Y"|""|""|""|""|"1981"|"ME"|"N"|""|""|"3/18/2013 11:40:37 AM"|""|"Randall"|"D"|"Howard"|"Jr       "|"Male"|"True"
"01-0379899"|"EAGLE HILL INSTITUTE"|"947993"|"N"|"EAGLE HILL INSTITUTE"|""|"207-546-2821"|""|"P O BOX 9"|""|"STEUBEN"|"ME"|"USA"|"04680-0009"|"1/1/2011 12:00:00 AM"|"12/31/2011 12:00:00 AM"|""|"Y"|""|""|""|"JOERG-HENNER LOTZE"|"484572.0000"|"03"|"WWW.EAGLEHILL.US"|"Y"|""|""|""|""|"1981"|"ME"|"N"|""|""|"3/18/2013 11:40:43 AM"|""|"Joerg-Henner"|""|"Lotze"|""|"Unknown"|"True"
"01-0441229"|"DOWNEAST AIDS NETWORK INC"|"947995"|"Y"|"DOWNEAST AIDS NETWORK INC"|""|"207-667-3506"|""|"25 PINE STREET"|"A"|"ELLSWORTH"|"ME"|"USA"|"04605"|"1/1/2011 12:00:00 AM"|"12/31/2011 12:00:00 AM"|""|""|""|""|""|"RON KING"|"307607.0000"|"03"|"HTTP://WWW.DOWNEASTAIDSNETWORK.ORG/"|"Y"|""|""|""|""|"1988"|"ME"|"N"|""|""|"3/18/2013 11:40:56 AM"|""|"Ron"|""|"King"|""|"Male"|"True"
"01-0468832"|"MUNICIPAL REVIEW COMMITTEE INC"|"947996"|"Y"|"MUNICIPAL REVIEW COMMITTEE INC"|""|"207-942-6389"|""|"40 HARLOW STREET"|""|"BANGOR"|"ME"|"USA"|"04401"|"1/1/2011 12:00:00 AM"|"12/31/2011 12:00:00 AM"|""|""|""|""|""|"Gregory Lounder"|"389088.0000"|"03"|"www.mrcmaine.org"|"Y"|""|""|""|""|"1991"|"ME"|"N"|"N"|""|"3/18/2013 11:41:02 AM"|""|"Gregory"|""|"Lounder"|""|"Male"|"True"
"01-0505729"|"FRIENDS OF THE ST LAWRENCE CHURCH"|"947997"|"Y"|"FRIENDS OF THE ST LAWRENCE CHURCH"|""|""|""|"76 CONGRESS STREET"|""|"PORTLAND"|"ME"|"USA"|"04101"|"1/1/2011 12:00:00 AM"|"12/31/2011 12:00:00 AM"|""|""|""|""|""|"DEIRDRE NICE"|"183173.0000"|"03"|"WWW.STLAWRENCEARTS.ORG"|""|""|""|"Y"|"NON PROFIT"|"1996"|"ME"|"N"|""|""|"3/18/2013 11:41:08 AM"|""|"Deirdre"|""|"Nice"|""|"Female"|"True"
"01-0613834"|"HIRES FAMILY RESOURCES INC"|"947999"|"Y"|"HIRES FAMILY RESOURCES INC"|"BETHEL RIDGE FAMILY RESOURCES"|"509-658-2994"|""|"PO BOX 5"|""|"NACHES"|"WA"|"USA"|"98937"|"1/1/2011 12:00:00 AM"|"12/31/2011 12:00:00 AM"|""|""|""|""|""|"GREG HIRES"|"291689.0000"|"03"|""|"Y"|""|""|""|""|"2002"|"WA"|"N"|"Y"|""|"3/18/2013 11:41:20 AM"|""|"Greg"|""|"Hires"|""|"Male"|"True"
"01-0628727"|"SUNSET WOODS ASSOCIATION"|"948000"|"N"|"SUNSET WOODS ASSOCIATION"|""|"847-926-1612"|"LEE SMITH"|"1150 HALF DAY ROAD"|""|"HIGHLAND PARK"|"IL"|"USA"|"60035"|"1/1/2011 12:00:00 AM"|"12/31/2011 12:00:00 AM"|""|""|""|""|""|"DAVID WIGODNER"|"255500.0000"|"03"|""|"Y"|""|""|""|""|"2002"|"IL"|"N"|""|""|"3/18/2013 11:41:27 AM"|""|"David"|""|"Wigodner"|""|"Male"|"True"
"01-0690378"|"PERRY MENNONITE RECEPTION CENTER"|"948002"|"Y"|"PERRY MENNONITE RECEPTION CENTER"|""|"717-789-4552"|""|"365 MONTOUR ROAD"|""|"LANDISBURG"|"PA"|"USA"|"17040"|"1/1/2011 12:00:00 AM"|"12/31/2011 12:00:00 AM"|""|""|""|""|""|"EUGENE NOLT"|"63757.0000"|"03"|""|"Y"|""|""|""|""|"2002"|"PA"|"N"|""|""|"3/18/2013 11:41:39 AM"|""|"Eugene"|""|"Nolt"|""|"Male"|"True"
"01-0706027"|"MID-SOUTH MINORITY COUNCIL TADP, INC"|"948003"|"N"|"MID-SOUTH MINORITY COUNCIL TADP, INC"|""|"901-525-6512"|""|"158 MADISON AVENUE"|""|"MEMPHIS"|"TN"|"USA"|"38103"|"1/1/2011 12:00:00 AM"|"12/31/2011 12:00:00 AM"|""|""|""|""|""|"LUKE YANCY"|"228955.0000"|"03"|""|"Y"|""|""|""|""|"1973"|"TN"|"N"|""|""|"3/18/2013 11:41:46 AM"|""|"Luke"|""|"Yancy"|""|"Male"|"True"
"01-0728655"|"APEX PROFESSIONAL SERVICES"|"948004"|"N"|"APEX PROFESSIONAL SERVICES"|""|"909-648-7308"|""|"1400 W. EDGEHILL"|"APT 2"|"SAN BERNARDINO"|"CA"|"USA"|"92405-5116"|"1/1/2011 12:00:00 AM"|"12/31/2011 12:00:00 AM"|""|""|""|""|""|"PAULA MORGAN"|"355942.0000"|"03"|"WWW.HARMONYHOMESFFA.COM"|"Y"|""|""|""|""|"2006"|"CA"|"N"|""|""|"3/18/2013 11:41:52 AM"|""|"Paula"|""|"Morgan"|""|"Female"|"True"
"01-0972999"|"LEGACY CONNECTIONS"|"948010"|"N"|"LEGACY CONNECTIONS"|""|"626-397-4147"|""|"505 E. COLORADO BLVD."|"20lE"|"PASADENA"|"CA"|"USA"|"91101"|"1/1/2011 12:00:00 AM"|"12/31/2011 12:00:00 AM"|""|""|""|""|""|"JAMES W. HIRSCHMANN III"|"1230626.0000"|"03"|""|"Y"|""|""|""|""|"2010"|"CA"|"N"|""|""|"3/18/2013 11:42:29 AM"|""|"James"|"W"|"Hirschmann"|"III"|"Male"|"True"
"01-6020038"|"CAMDEN FIRST AID ASSOCIATION"|"948012"|"N"|"CAMDEN FIRST AID ASSOCIATION"|""|"207-236-8087"|""|"P.O. BOX 368"|""|"CAMDEN"|"ME"|"USA"|"04843"|"1/1/2011 12:00:00 AM"|"12/31/2011 12:00:00 AM"|""|""|""|""|""|"CAMDEN FIRST AID ASSOCIATION"|"887479.0000"|"03"|""|"Y"|""|""|""|""|"1936"|"ME"|"N"|""|""|"3/18/2013 11:42:41 AM"|"Camden"|"First"|"aid"|"Association"|""|"Unknown"|"False"
"01-0043280"|"Portland Regional Chamber"|"950768"|"N"|"Portland Regional Chamber"|""|"207-772-2811"|""|"443 Congress Street"|""|"Portland"|"ME"|"USA"|"04101"|"7/1/2011 12:00:00 AM"|"6/30/2012 12:00:00 AM"|""|""|""|""|""|"W. GODFREY WOOD"|"1264785.0000"|"06"|"WWW.portlandregion, com"|"Y"|""|""|""|""|"1952"|"ME"|"N"|""|""|"3/18/2013 6:44:56 PM"|""|"Wood"|"W"|"Godfrey"|""|"Male"|"True"
"01-0216657"|"SANFORD LIBRARY ASSOCIATION, INC."|"950771"|"N"|"SANFORD LIBRARY ASSOCIATION, INC."|""|"207-324-4714"|""|"952 MAIN STREET"|""|"SANFORD"|"ME"|"USA"|"04073"|"7/1/2011 12:00:00 AM"|"6/30/2012 12:00:00 AM"|""|""|""|""|""|"SANFORD LIBRARY ASSOCIATION, INC"|"574934.0000"|"03"|"WWW.LBGOODALL.ORG"|"Y"|""|""|""|""|"1923"|"ME"|"N"|""|""|"3/18/2013 6:45:15 PM"|"Sanford"|"Library"|"association,"|"Inc"|""|"Unknown"|"False"
"01-0331728"|"PATHWAYS INC"|"950772"|"Y"|"PATHWAYS INC"|""|"207-795-4085"|""|"368 MINOT AVENUE PO BOX 1267"|""|"AUBURN"|"ME"|"USA"|"04211-1267"|"7/1/2011 12:00:00 AM"|"6/30/2012 12:00:00 AM"|""|""|""|""|""|"ROBERT KENNELLY"|"2007868.0000"|"03"|"WWW.PATHWAYSMAINE.COM"|"Y"|""|""|""|""|"1975"|"ME"|"N"|""|""|"3/18/2013 6:45:21 PM"|""|"Robert"|""|"Kennelly"|""|"Male"|"True"
"01-0360256"|"York Public Library"|"950774"|"N"|"York Public Library"|""|"207-363-2818"|""|"15 Long Sands Road"|""|"York"|"ME"|"USA"|"03909"|"7/1/2011 12:00:00 AM"|"6/30/2012 12:00:00 AM"|""|""|""|""|""|"York Public Library"|"708758.0000"|"03"|"www.york.lib.me.us"|"Y"|""|""|""|""|"1922"|"ME"|"N"|""|""|"3/18/2013 6:45:34 PM"|""|"York"|"Public"|"Library"|""|"Male"|"True"
"01-0366544"|"COMMONSENSE HOUSING, INC."|"950775"|"N"|"COMMONSENSE HOUSING, INC."|""|"207-989-1303"|""|"15 RIVERSIDE DRIVE"|""|"EDDINGTON"|"ME"|"USA"|"04428"|"7/1/2011 12:00:00 AM"|"6/30/2012 12:00:00 AM"|""|""|""|""|""|"MARIE BRISETTE"|"3911108.0000"|"03"|""|"Y"|""|""|""|""|"1978"|"ME"|"N"|"Y"|""|"3/18/2013 6:45:40 PM"|""|"Marie"|""|"Brisette"|""|"Female"|"True"
"01-0485045"|"RANGELEY REGION HEALTH AND WELLNESS PARTNERSHIP"|"950778"|"Y"|"RANGELEY REGION HEALTH AND WELLNESS PARTNERSHIP"|""|"207-864-4397"|""|"PO BOX 722"|""|"RANGELEY"|"ME"|"USA"|"04970"|"7/1/2011 12:00:00 AM"|"6/30/2012 12:00:00 AM"|""|""|""|""|""|""|"675938.0000"|"03"|""|"Y"|""|""|""|""|"1993"|"ME"|"N"|"N"|""|"3/18/2013 6:45:52 PM"|""|""|""|""|""|""|""
"01-0538232"|"Big Rock"|"950780"|"N"|"Big Rock"|""|"207-425-6711"|""|"PO Box 1001"|""|"Mars Hill"|"ME"|"USA"|"04758"|"5/1/2011 12:00:00 AM"|"4/30/2012 12:00:00 AM"|""|""|""|""|""|"Kevin Lord"|"623359.0000"|"03"|"www.bigrockmaine.com"|"Y"|""|""|""|""|"2000"|"ME"|"N"|""|""|"3/18/2013 6:46:05 PM"|""|"Kevin"|""|"Lord"|""|"Male"|"True"
