"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"FUNDRAISING_MAIL_CBX"|"FUNDRAISING_EMAIL_CBX"|"FUNDRAISING_PHONE_CBX"|"FUNDRAISING_PERSON_CBX"|"FUNDRAISING_NON_GOV_GRANTS_CBX"|"FUNDRAISING_GOV_GRANTS_CBX"|"FUNDRAISING_SPECIAL_EVENTS_CBX"|"FUNDRAISING_PROF_CBX"|"FUNDRAISING_TOTAL_GROSS_RECEIPTS"|"TOTAL_PAID_TO_FUNDRAISER"|"FUNDRAISING_TOTAL_PAID_ORG"
"01-6011388"|"PINE TREE COUNCIL BSATR DTD 1957 449515014"|"806399"|""|""|""|""|""|""|""|""|""|""|""
"01-6144341"|"AFSCME Maine Membership Benefit Fund"|"806401"|""|""|""|""|""|""|""|""|""|""|""
"02-0209443"|"Veterans of Foreign Wars VFW-NH 808"|"806405"|""|""|""|""|""|""|""|""|""|""|""
"01-0288480"|"THREE RIVERS AMBULANCE SERVICE"|"806852"|""|""|""|""|""|""|""|""|""|""|""
"01-0340560"|"Yarmouth Senior Housing Inc."|"806856"|""|""|""|""|""|""|""|""|""|""|""
"01-0353744"|"Christian Fellowship, Inc"|"806858"|""|""|""|""|""|""|""|""|""|""|""
"01-0356422"|"MOOSEHEAD MARINE MUSEUM"|"806861"|""|""|""|""|""|""|""|""|""|""|""
"01-0364856"|"SHRINERS INTERNATIONAL"|"806864"|""|""|""|""|""|""|""|""|""|""|""
"01-0021545"|"MAINE STATE CHAMBER OF COMMERCE"|"806865"|""|""|""|""|""|""|""|""|""|""|""
"01-0370079"|"HARPSWELL NECK FIRE & RESCUE, INC."|"806867"|""|""|""|""|""|""|""|""|""|""|""
"01-0024645"|"Bangor Symphony Orchestra"|"806868"|""|""|""|""|""|""|""|""|""|""|""
"01-0371869"|"BOOTHBAY REGION LAND TRUST"|"806870"|""|""|""|""|""|""|""|""|""|""|""
"01-0095414"|"INDEPENDENT ORDER OF ODD FELLOWS GRAND LODGE OF MAINE"|"806871"|""|""|""|""|""|""|""|""|""|""|""
"01-0211810"|"UNIVERSITY OF NEW ENGLAND"|"806875"|""|""|""|""|""|""|""|""|""|""|""
"01-0412269"|"JAMES R. WIGGINS DOWNEAST FAMILY YMCA"|"806878"|""|""|""|""|""|""|""|"N"|""|""|"0.0000"
"01-0275545"|"LONESOME PINE TRAILS, INC."|"806880"|""|""|""|""|""|""|""|""|""|""|""
"01-0571372"|"Gandhi Memorial Trust Fund N.F.P."|"806881"|""|""|""|""|""|""|""|""|""|""|""
"01-0278395"|"WOODFORDS FAMILY SERVICES"|"806884"|""|""|""|""|""|""|""|""|""|""|""
"01-0583485"|"South Martin Conservation Alliance, Inc"|"806885"|""|""|""|""|""|""|""|""|""|""|""
"01-0310087"|"HANCOCK COUNTY PLANNING COMMISSION"|"806887"|""|""|""|""|""|""|""|""|""|""|""
"01-0600248"|"EASTERN NC REGIONAL SCIENCE CENTER"|"806888"|""|""|""|""|""|""|""|""|""|""|""
"01-0323144"|"GREATER PORTLAND CHRISTIAN SCHOOL"|"806892"|""|""|""|""|""|""|""|""|""|""|""
"01-0625542"|"SALEM HEALTH AND WELLNESS FOUNDATION INC"|"806894"|""|""|""|""|""|""|""|""|""|""|""
"01-0361089"|"YORK COUNTY SHELTER PROGRAMS INC"|"806895"|""|""|""|""|""|""|""|""|""|""|""
"01-0371992"|"Downeast Transportation"|"806897"|""|""|""|""|""|""|""|""|""|""|""
"01-0403485"|"Community Television Network"|"806900"|""|""|""|""|""|""|""|""|""|""|""
"01-0646506"|"Angels of Grace, Inc."|"806901"|""|""|""|""|""|""|""|""|""|""|""
"01-0438695"|"MAINE HOUSING AND BUILDING MATERIALS EXCHANGE"|"806903"|""|""|""|""|""|""|""|""|""|""|""
"01-0441147"|"HABITAT FOR HUMANITY OF GREATOR BANGOR"|"806904"|""|""|""|""|""|""|""|""|""|""|""
"01-0706799"|"Green Blue Institute"|"806906"|""|""|""|""|""|""|""|""|""|""|""
"01-0482508"|"THE NEXT STEP DOMESTIC VIOLENCE PROJECT"|"806908"|""|""|""|""|""|""|""|""|""|""|""
"01-0714415"|"NEW JERUSALEM COMMUNITY DEVEL"|"806909"|""|""|""|""|""|""|""|""|""|""|""
"01-0485193"|"MOUNT DAVID HOUSING INC"|"806911"|""|""|""|""|""|""|""|""|""|""|""
"01-0725409"|"AMERICAN PILGRIMS ON THE CAMINO"|"806913"|""|""|""|""|""|""|""|""|""|""|""
"01-0489978"|"SOUTHERN MAINE ECONOMIC DEVELOPMENT DISTRICT"|"806915"|""|""|""|""|""|""|""|""|""|""|""
"01-0736882"|"SPORTS GIFT, INC."|"806917"|""|""|""|""|""|""|""|""|""|""|""
"01-0493897"|"Sunrise County Economic Council"|"806919"|""|""|""|""|""|""|""|""|""|""|""
"01-0501998"|"GREATER HOULTON CHRISTIAN ACA"|"806923"|""|""|""|""|""|""|""|"N"|""|""|""
"01-0759127"|"SHREVEPORT SCOTTISH RITE FOUNDATION, INC"|"806925"|""|""|""|""|""|""|""|""|""|""|""
"01-0547297"|"THE NEW SCHOOL"|"806927"|""|""|""|""|""|""|""|""|""|""|""
"01-0761875"|"LOS ANGELES PRESS CLUB"|"806929"|""|""|""|""|""|""|""|""|""|""|""
"01-0558393"|"DREAMLAND PRESCHOOL, INC"|"806931"|""|""|""|""|""|""|""|""|""|""|""
"01-6015752"|"ARUNDEL LODGE NO. 76, AF & AM"|"806937"|""|""|""|""|""|""|""|""|""|""|""
"01-0662680"|"TIFTON JUDICIAL CIRCUIT SHELTER INC"|"806938"|""|""|""|""|""|""|""|""|""|""|""
"01-0701608"|"PARTNERSHIP ACADEMY"|"806939"|""|""|""|""|""|""|""|""|""|""|""
"01-0719892"|"ALEXANDER HAMILTON HOME-SCHOOL ASSOCIATION"|"806941"|""|""|""|""|""|""|""|"N"|""|""|""
"01-0726348"|"SOUTHWEST WASHINGTON WORKFORCE DEVELOPMENT COUNCIL"|"806946"|""|""|""|""|""|""|""|""|""|""|""
"01-0778179"|"The Brooklyn Montesson Ltd"|"806949"|""|""|""|""|""|""|""|""|""|""|""
"01-0819395"|"Patterson Park Public Charter School"|"806952"|""|""|""|""|""|""|""|"N"|""|""|"0.0000"
"01-0932846"|"GENESIS HEALTHCARE, INC."|"806956"|""|""|""|""|""|""|""|""|""|""|""
"01-0951147"|"BUILDERS DEVELOPMENT CORPORATION"|"806960"|""|""|""|""|""|""|""|""|""|""|""
"01-6000785"|"'BANGOR PUBLIC LIBRARY"|"806966"|""|""|""|""|""|""|""|""|""|""|""
"01-6011843"|"GREATER ANDROSCOGGIN HUMANE SOCIETY"|"806971"|""|""|""|""|""|""|""|""|""|""|""
"02-0114695"|"CAMP TECUMSEH INC"|"806983"|""|""|""|""|""|""|""|""|""|""|""
"01-0216655"|"ODD FELLOWS' AND REBEKAHS' HOME OF MAINE"|"807347"|""|""|""|""|""|""|""|""|""|""|""
"01-0216811"|"WATERVILLE LODGE #33 F & A M"|"807351"|""|""|""|""|""|""|""|""|""|""|""
"01-0224898"|"Hebron Academy Incorporated"|"807355"|"Y"|"Y"|"Y"|"Y"|"Y"|""|""|"N"|""|"37873.0000"|""
"01-0316041"|"Youth Altematives Ingraham"|"807359"|""|""|""|""|""|""|""|""|""|""|""
"01-0357314"|"MERCY ENDOWMENT FOUNDATION"|"807363"|""|""|""|""|""|""|""|""|""|""|""
"01-0366057"|"Maine Rural Water Association"|"807367"|""|""|""|""|""|""|""|""|""|""|""
"01-0378758"|"Maine College of Art"|"807372"|""|""|""|"Y"|""|""|""|"N"|""|""|""
"01-0388818"|"Maine Handicapped Skiing Sunday River Ski Resort"|"807377"|""|""|""|""|""|""|""|""|""|""|""
"01-0461436"|"THE GENESIS FUND"|"807380"|""|""|""|""|""|""|""|""|""|""|""
"01-0477512"|"MAKE-A-WISH FOUNDATION OF MAINE"|"807384"|""|""|""|""|""|""|""|""|""|""|""
"01-0518745"|"MAINE MANUFACTURING EXTENSION PARTNERSHIP"|"807388"|""|""|""|""|""|""|""|""|""|""|""
"01-0530420"|"Jewish Community Alliance of Southern Maine"|"807389"|""|""|""|""|""|""|""|""|""|""|""
"01-0558388"|"Link A Community Assessment & Resource Center"|"807399"|""|""|""|""|""|""|""|""|""|""|""
"01-0564286"|"DAYTON LEARNING CENTER"|"807403"|""|""|""|""|""|""|""|""|""|""|""
"01-0628536"|"ARROW CHILD AND FAMILY MINISTRIES"|"807408"|""|""|""|""|""|""|""|""|""|""|""
"01-0660264"|"TEAM ACADEMY CHARTER SCHOOL"|"807413"|""|""|""|""|""|""|""|""|""|""|""
"01-0735866"|"Thorndale Economic Development Corporation"|"807416"|""|""|""|""|""|""|""|""|""|""|""
"01-0935534"|"THE ACADEMY OF ALAMEDA"|"807421"|""|""|""|""|""|""|""|""|""|""|""
"01-6009240"|"UNITED MID-COAST CHARITIES, INC"|"807427"|""|""|""|""|""|""|""|""|""|""|""
"01-0203708"|"AMERICAN LEGION POST 1"|"821186"|""|""|""|""|""|""|""|""|""|""|""
"01-0223014"|"Ocean Park Association"|"821187"|"Y"|"Y"|"Y"|"Y"|"Y"|""|"Y"|""|"0.0000"|"18000.0000"|"0.0000"
"01-0792511"|"HIGH WAY EDUCATION INC."|"821188"|""|""|""|""|""|""|""|""|""|""|""
"01-0817613"|"WALKER MINISTRIES INC"|"821189"|""|""|""|""|""|""|""|""|""|""|""
"01-0821110"|"Children of Abraham, Inc."|"821190"|""|""|""|""|""|""|""|""|""|""|""
"02-0119917"|"DAVIGNON CLUB, INC."|"821193"|""|""|""|""|""|""|""|"N"|""|""|"0.0000"
"01-0215213"|"BOWDOIN COLLEGE"|"821347"|""|"Y"|"Y"|"Y"|""|""|""|"Y"|"0.0000"|"81000.0000"|"0.0000"
"01-0319802"|"Spurwink Services Inc"|"821349"|""|""|""|""|""|""|""|""|""|""|""
"01-0350707"|"PORTLAND OVATIONS"|"821351"|""|""|""|""|""|""|""|""|""|""|""
"01-0376014"|"WOMANCAREAEGIS ASSOCIATION"|"821354"|""|""|""|""|""|""|""|""|""|""|""
"01-0386912"|"CENTRAL MAINE COMMUNITY HEALTH CORPORATION"|"821355"|""|""|""|""|""|""|""|""|""|""|""
"01-0386913"|"CENTRAL MAINE HEALTHCARE CORPORATION"|"821357"|""|""|""|""|""|""|""|""|""|""|""
"01-0478709"|"Maine Island Trail Association"|"821358"|""|""|""|""|""|""|""|""|""|""|""
"01-0502709"|"Atlantic States Rural Water and Wastewater Association"|"821360"|""|""|""|""|""|""|""|""|""|""|""
"01-0518516"|"LifeFhght of Maine"|"821361"|""|""|""|""|""|""|""|""|""|""|""
"01-0523509"|"Center for Cetacean Research and Conservation"|"821363"|""|""|""|""|""|""|""|""|""|""|""
"01-0554709"|"FLORIDA PROTON THERAPY INSTITUTE INC"|"821365"|""|""|""|""|""|""|""|""|""|""|""
"01-0603214"|"SAINT FRANCIS HOSPITAL SOUTH, LLC"|"821370"|""|""|""|""|""|""|""|""|""|""|""
"01-0621106"|"COALITION OF CHILDREN IN NEED ASSN"|"821373"|"Y"|"Y"|""|"Y"|"Y"|""|""|"Y"|"83646.0000"|"26160.0000"|"57486.0000"
"01-0639602"|"KIPP Austin Public Schools Inc"|"821374"|"Y"|"Y"|"Y"|"Y"|"Y"|""|""|"N"|"1509000.0000"|"40000.0000"|"1469000.0000"
"01-0802914"|"Assoc Students of California State Univ Channel Islands Inc"|"821376"|""|""|""|""|""|""|""|""|""|""|""
"01-0573723"|"VFW POST 34 CANTEEN INC"|"823250"|""|""|""|""|""|""|""|""|""|""|""
"01-0782731"|"HOME SWEETS HOME YOUTH SERIVCES INC"|"823256"|""|""|""|""|""|""|""|""|""|""|""
"01-0857922"|"Clock Tower Place Funding Company"|"823261"|""|""|""|""|""|""|""|""|""|""|""
"01-0790428"|"ST JOSEPH HEALTH SYSTEM FOUNDATION"|"823311"|""|""|""|""|""|""|""|""|""|""|""
"01-0863627"|"CHICAGO VIRTUAL CHARTER SCHOOL"|"823313"|""|""|""|""|""|""|""|""|""|""|""
"01-0781066"|"LONG ISLAND LIBERTY LACROSSE INC."|"824167"|""|""|""|""|""|""|""|""|""|""|""
"01-0119375"|"MEGANTIC FISH AND GAME"|"824296"|""|""|""|""|""|""|""|""|""|""|""
"01-0130427"|"BRIDGTON HOSPITAL"|"824297"|""|""|""|""|""|""|""|""|""|""|""
"01-0145135"|"PROUTS NECK COUNTRY CLUB"|"824298"|""|""|""|""|""|""|""|""|""|""|""
"01-0212542"|"TRUSTEES OF SAINT JOSEPH'S COLLEGE SAINT JOSEPH'S COLLEGE OF MAINE"|"824299"|""|""|""|""|""|""|""|""|""|""|""
"01-0215227"|"RUMFORD HOSPITAL"|"824300"|""|""|""|""|""|""|""|""|""|""|""
"01-0280723"|"York-Cumberland Assoc for Handicapped Persons"|"824301"|""|""|""|""|""|""|""|""|""|""|""
"01-0351334"|"Yarmouth Histoncal Society"|"824302"|""|""|""|""|""|""|""|""|""|""|""
"01-0535770"|"ORONO ECONOMIC DEVELOPMENT CORP"|"824303"|""|""|""|""|""|""|""|""|""|""|""
"01-0539222"|"MaineStream Finance"|"824304"|""|""|""|""|""|""|""|""|""|""|""
"01-0603628"|"LEARNINGSPRING SCHOOL"|"824307"|""|""|""|""|""|""|""|""|""|""|""
"01-0679337"|"SAN FRANCISCO FOUNDATION"|"824308"|""|""|""|""|""|""|""|""|""|""|""
"01-0717030"|"PORTAGE BAY INSURANCE"|"824309"|""|""|""|""|""|""|""|""|""|""|""
"01-0723319"|"TOBACCO FREE ALLEGHENY"|"824310"|""|""|""|""|""|""|""|""|""|""|""
"01-0806645"|"REGIONAL LOCAL UNION NO 846 OF THE INTERNATIONAL ASSOCIATION"|"824312"|""|""|""|""|""|""|""|""|""|""|""
"01-6004444"|"Falmouth Memorial Library Association"|"824313"|""|""|""|""|""|""|""|""|""|""|""
"02-0202220"|"THE CHESHIRE HEALTH FOUNDATION"|"824314"|"Y"|"Y"|""|"Y"|""|""|"Y"|""|""|""|""
"02-0223321"|"COTTAGE HOSPITAL"|"824316"|""|""|""|""|""|""|""|""|""|""|""
"02-0223322"|"CURRIER MUSEUM OF ART"|"824317"|""|""|""|""|""|""|""|""|""|""|""
"01-0199142"|"ABENAKEE CLUB"|"824598"|""|""|""|""|""|""|""|""|""|""|""
"01-0277845"|"Stanwood Wildlife Sanctuary"|"824599"|""|""|""|""|""|""|""|""|""|""|""
"01-0383489"|"PINE TREE QUILTERS GUILD, INC."|"824600"|""|""|""|""|""|""|""|""|""|""|""
"01-0463933"|"The Presque Isle Historical Society"|"824602"|""|""|""|""|""|""|""|""|""|""|""
"01-0477639"|"WELLPOINT RETIREE VEBA TRUST"|"824604"|""|""|""|""|""|""|""|""|""|""|""
"01-0479444"|"PARENT RESOURCE CENTER"|"824606"|""|""|""|""|""|""|""|""|""|""|""
"01-0517035"|"CMP PRM NON-UNION VEBA TRUST"|"824609"|""|""|""|""|""|""|""|""|""|""|""
"01-0527044"|"OCTOBER CORPORATION"|"824611"|""|""|""|""|""|""|""|""|""|""|""
"01-0561825"|"Abingdon Feeder Cattle Association, Incorporated"|"824613"|""|""|""|""|""|""|""|""|""|""|""
"01-0637920"|"THE MEDICAL STAFF OF PARKVIEW COMMUNITY HOSPITAL"|"824615"|""|""|""|""|""|""|""|""|""|""|""
"01-0705428"|"Ukrainian Ministry, Inc."|"824619"|""|""|""|""|""|""|""|""|""|""|""
"01-0723520"|"Edward M. Armfield Sr. Civic & Recreation Center"|"824621"|""|""|""|""|""|""|""|""|""|""|""
"01-0731740"|"IRENE'S CHRIST, AN ACADEMY INC"|"824623"|""|""|""|""|""|""|""|""|""|""|""
"01-0773840"|"Syracuse Community Center Inc"|"824624"|""|""|""|""|""|""|""|""|""|""|""
"01-0909843"|"Friends of Kenya Wildlife Trust"|"824628"|""|""|""|""|""|""|""|""|""|""|""
"01-0946106"|"Volunteer & Exempt Fireman's Benevolent Assn. of Inwood"|"824630"|""|""|""|""|""|""|""|""|""|""|""
"01-6011528"|"Walter Bisbee Trust"|"824633"|""|""|""|""|""|""|""|""|""|""|""
"01-6016305"|"EPHRIAN H JOHNSON POST #9 AMERICAN LEGION"|"824635"|""|""|""|""|""|""|""|""|""|""|""
"01-6149025"|"THE MARK AND EMILY TURNER MEMORIAL LIBRARY CHARITABLE TRUST"|"824636"|""|""|""|""|""|""|""|""|""|""|""
"02-0199215"|"UKRAINIAN AMERICAN CITIZENS C"|"824638"|""|""|""|""|""|""|""|""|""|""|""
"01-0454046"|"Isle au Haut Development Lorp"|"830175"|""|""|""|""|""|""|""|""|""|""|""
"01-0857925"|"Saugus Plaza Funding Company"|"830176"|""|""|""|""|""|""|""|""|""|""|""
"01-0265559"|"Kennebec Valley Mental Health Center"|"830225"|""|""|""|""|""|""|""|""|""|""|""
"01-0274725"|"Peoples Regional Opportunity Program"|"830227"|""|""|""|""|""|""|""|""|""|""|""
"01-0387674"|"CENTRAL MAINE REAL ESTATE MANAGEMENT CORP"|"830228"|""|""|""|""|""|""|""|""|""|""|""
"01-0492747"|"Evergreen Behavioral Services"|"830230"|""|""|""|""|""|""|""|""|""|""|""
"01-0729873"|"North Carolina Motorsports Association"|"830231"|""|""|""|""|""|""|""|"N"|""|""|""
"01-6019960"|"WALTON LINCOLN TRUST OCHR"|"830233"|""|""|""|""|""|""|""|""|""|""|""
"01-0264870"|"CHRISTMAS COVE IMPROVEMENT ASSOCIATION"|"831451"|""|""|""|""|""|""|""|""|""|""|""
"01-0508465"|"HOSPICE REGATTA OF MAINE"|"831453"|""|""|""|""|""|""|""|""|""|""|""
"01-0523776"|"Spring Point Ledge Light Trust"|"831454"|""|""|""|""|""|""|""|""|""|""|""
"01-0528754"|"THE OPERA HOUSE AT BOOTHBAY HARBOR"|"831455"|""|""|""|""|""|""|""|""|""|""|""
"01-0551364"|"TECH COAST ANGELS INC."|"831456"|""|""|""|""|""|""|""|""|""|""|""
"01-0593756"|"THE HERITAGE SOCCER CLUB, INC."|"831458"|""|""|""|""|""|""|""|""|""|""|""
"01-0594671"|"GILEAD COMMUNITY DEVELOPMENT CORPORATION INC"|"831459"|""|""|""|""|""|""|""|""|""|""|""
"01-0637750"|"ARIZONA ADVOCACY NETWORK"|"831460"|""|""|""|""|""|""|""|""|""|""|""
"01-0847951"|"MOORPARK SAINTS PYFL"|"831461"|""|""|""|""|""|""|""|""|""|""|""
"01-6010461"|"OCEAN VIEW CEMETERY"|"831462"|""|""|""|""|""|""|""|""|""|""|""
"01-6016268"|"Tardiff Belanger Post #39, The Arnerican Legion"|"831463"|""|""|""|""|""|""|"Y"|"N"|"0.0000"|"0.0000"|"0.0000"
"01-6018568"|"The American Legion"|"831464"|""|""|""|""|""|""|""|""|""|""|""
"01-6038550"|"DONALD V HENRY"|"831465"|""|""|""|""|""|""|"Y"|"N"|""|""|""
"01-6072252"|"TRUSTEES OF LOT OWNERS OF RIVERSIDE CEMETERY UNITRUST"|"831466"|""|""|""|""|""|""|""|""|""|""|""
"02-0104257"|"St. John's Masonic Lodge"|"831467"|""|""|""|""|""|""|""|""|""|""|""
"02-0119965"|"CLUB MONT ROYAL"|"831468"|""|""|""|""|""|""|""|""|""|""|""
"01-0211548"|"Rediugton Memorial Hospital Asasotiation"|"831624"|""|""|""|""|""|""|""|""|""|""|""
"01-0211568"|"CUMBERLAND COUNTY YMCA"|"831627"|""|""|""|""|""|""|""|""|""|""|""
"01-0223755"|"BERWICK ACADEMY"|"831628"|""|""|""|""|""|""|""|""|""|""|""
"01-0281875"|"Eastern Maine Development Corporation"|"831631"|""|""|""|""|""|""|""|""|""|""|""
"01-0339851"|"REGIONAL TRANSPORTATION PROGRAM"|"831636"|""|""|""|""|""|""|""|""|""|""|""
"01-0356077"|"CENTRAL MAINE MEDICAL CENTER COLLEGE OF NURSING AND HEALTH PROFESSIONS"|"831637"|""|""|""|""|""|""|""|""|""|""|""
"01-0374565"|"WINTER FOUNDATION"|"831639"|""|""|""|""|""|""|""|""|""|""|""
"01-0443470"|"Attendant Services Maine, Inc."|"831640"|""|""|""|""|""|""|""|""|""|""|""
"01-0479776"|"Maine Education Association Benefits Trust"|"831642"|""|""|""|""|""|""|""|""|""|""|""
"01-0483267"|"INSTITUTE FOR CIVIC LEADERSHIP"|"831644"|""|""|""|""|""|""|""|""|""|""|""
"01-0493869"|"SMART CHILD & FAMILY SERVICES"|"831646"|""|""|""|""|""|""|""|""|""|""|""
"01-0578476"|"BRANDYWINE SCHOOL OF EARLY LEARNING, INC"|"831649"|""|""|""|""|""|""|""|""|""|""|""
"01-0606871"|"THE HOUSE NEXT DOOR FAMILY FOUNDATION"|"831652"|""|""|""|""|""|""|""|""|""|""|""
"01-0639265"|"Meritus Healthcare Foundation, Inc."|"831654"|""|""|""|""|""|""|""|"N"|""|""|"0.0000"
"01-0760254"|"Penn Foundation Trust"|"831660"|""|""|""|""|""|""|""|""|""|""|""
"01-0772160"|"Circle K International Inc"|"831663"|""|""|""|""|""|""|""|""|""|""|""
"01-0803067"|"EAST BAY GOLF FOUNDATION"|"831664"|""|""|""|""|""|""|""|"N"|""|""|"0.0000"
"01-0484018"|"VAALAND CLUB"|"836227"|""|""|""|""|""|""|""|""|""|""|""
"01-0948527"|"OPEN IDENTITY EXCHANGE,INC."|"836229"|""|""|""|""|""|""|""|""|""|""|""
"01-0972230"|"JOSEPH OMOSHEWA MINISTRIES WORLDWIDE"|"836230"|""|""|""|""|""|""|""|""|""|""|""
"01-6015613"|"ORR'S BAILEY YACHT CLUB"|"836231"|""|""|""|""|""|""|""|""|""|""|""
"01-0553431"|"AMERICAN FRIENDS OF YESHIVAT HESDER SDEROT,INC"|"836824"|""|""|""|""|""|""|""|""|""|""|""
"01-0745909"|"Academy For New Musical Theatre"|"836826"|""|""|""|""|""|""|""|""|""|""|""
"01-0748214"|"ARBOR BAY SCHOOL"|"836829"|""|""|""|""|""|""|""|""|""|""|""
"02-0222111"|"Trustees of Dartmouth College"|"836837"|""|""|""|""|""|""|""|""|""|""|""
"02-0222123"|"Capital Region Health Care Corporation"|"836840"|""|""|""|""|""|""|""|""|""|""|""
"01-0199596"|"THE WOMEN'S BOARD OF THE MAINE GENERAL HOSPITAL"|"836994"|""|""|""|""|""|""|""|""|""|""|""
"01-0269460"|"CHEWONKI FOUNDATION INC"|"836997"|""|""|""|""|""|""|""|""|""|""|""
"01-0275156"|"Western Maine Community Action Inc"|"837003"|""|""|""|""|""|""|""|""|""|""|""
"01-0346260"|"PORTLAND EDUCATION ASSOCIATION"|"837005"|""|""|""|""|""|""|""|""|""|""|""
"01-0364852"|"HOPE AND JUSTICE PROJECT INC"|"837008"|""|""|""|""|""|""|""|""|""|""|""
"01-0468460"|"G & H AMBULANCE SERVICE INC"|"837011"|""|""|""|""|""|""|""|""|""|""|""
"01-0472964"|"BIDDEFORD-SACO AREA ECONOMIC DEVELOPMENT CORPORATION"|"837015"|""|""|""|""|""|""|""|""|""|""|""
"01-0482767"|"PEAKS ISLAND CHILDREN'S WORKSHOP PO BOX 80"|"837017"|""|""|""|""|""|""|""|""|""|""|""
"01-0501407"|"UNION WORKERS BENEFITS TRUST"|"837019"|""|""|""|""|""|""|""|""|""|""|""
"01-0502563"|"CAMP BEECH CLIFF"|"837022"|"Y"|"Y"|"Y"|"Y"|"Y"|""|"Y"|"Y"|"158194.0000"|"42050.0000"|"116144.0000"
"01-0552793"|"LATINAS UNIDAS POR UN NUEVO AMANECER"|"837024"|""|""|""|""|""|""|""|""|""|""|""
"01-0648561"|"NORTHWEST CONNECTICUT AHEC INC"|"837027"|""|""|""|""|""|""|""|""|""|""|""
"01-0866698"|"COMPREHENSIVE SENIOR CARE CORPORATION"|"837030"|""|""|""|""|""|""|""|""|""|""|""
"01-6274657"|"NEW YORK UNIVERSITY VEBA TRUST"|"837032"|""|""|""|""|""|""|""|""|""|""|""
"01-0162690"|"Sorrento Village Improvement Association"|"837296"|""|""|""|""|""|""|""|""|""|""|""
"01-0459677"|"VBUAIDUC"|"837306"|""|""|""|""|""|""|""|""|""|""|""
"01-0544282"|"Main Street Bath"|"837309"|""|""|""|""|""|""|"Y"|"N"|""|""|"0.0000"
"01-0584486"|"ST. LOUIS SENIOR 006 PROJECT"|"837313"|""|""|""|""|""|""|""|""|""|""|""
"01-0644063"|"Berkshire Emergency Squad"|"837316"|""|""|""|""|""|""|""|""|""|""|""
"01-0656986"|"THE SURF CLUB OF RYE, INC"|"837320"|""|""|""|""|""|""|""|""|""|""|""
"01-0701794"|"MAKING A DIFFERENCE FOUNDATION"|"837322"|""|""|""|""|""|""|""|""|"0.0000"|"0.0000"|"0.0000"
"01-0777386"|"ROCHESTER NY CHAPTER NECA, INC."|"837326"|""|""|""|""|""|""|""|""|""|""|""
"01-0863786"|"MANALIVE-SACRAMENTO, INC."|"837328"|""|""|""|""|""|""|""|""|""|""|""
"01-0868265"|"COVENANT OF LOVE UUL, CORP"|"837330"|""|""|""|""|""|""|""|""|""|""|""
"01-0922089"|"GOOSES GAMERS BASEBALL INC"|"837337"|""|""|""|""|""|""|""|""|""|""|""
"01-0953997"|"Beacon of Hope"|"837346"|""|""|""|""|""|""|""|""|""|""|""
"01-0966281"|"IGLESIA CRISTIANADE EL DIOS VIVENTE"|"837357"|""|""|""|""|""|""|""|""|""|""|""
"02-0237992"|"American Legion Post #22-Guyer Carignan"|"837365"|""|""|""|""|""|""|""|""|""|""|""
"01-0212172"|"WEBBER AVENUE SOCIAL CLUB INC"|"838394"|""|""|""|""|""|""|""|""|""|""|""
"01-0249865"|"Wiscasset Public Library"|"838397"|""|""|""|""|""|""|""|""|""|""|""
"01-0365191"|"ASSOCIATION OF SMALL BUSINESS DEV. CENTR"|"838400"|""|""|""|""|""|""|""|""|""|""|""
"01-0453264"|"Maine Tree Foundation"|"838408"|""|""|""|""|""|""|""|""|""|""|""
"01-0505695"|"BOSSOV BALLET THEATRE BOSSOV BALLET THEATR"|"838411"|""|""|""|""|""|""|""|""|""|""|""
"01-0531191"|"Caribou Economic Growth Council foImerly Caribou Chamber of Commerce & I"|"838414"|""|""|""|""|""|""|""|""|""|""|""
"01-0589194"|"Brazilian Arts Foundation"|"838419"|""|""|""|""|""|""|""|""|""|""|""
"01-0596752"|"WORLD MISSIONS ADVANCE"|"838424"|""|""|""|""|""|""|""|""|""|""|""
"01-0659307"|"Jefferson Park Ministries, Inc"|"838443"|""|""|""|""|""|""|""|""|""|""|""
"01-0716364"|"CNameoforganizationBranch Brook Park Alliance, Inc."|"838448"|"Y"|""|""|""|"Y"|"Y"|"Y"|"Y"|"731362.0000"|"84214.0000"|"647148.0000"
"01-0865460"|"SAN MARINO COMMUNITY ATHLETICS ASSOCIATION"|"838464"|""|""|""|""|""|""|""|""|""|""|""
"01-0897461"|"United African Organization"|"838466"|""|""|""|""|""|""|""|""|""|""|""
"01-0966096"|"Maryland Dental Action Coalition, Inc."|"838468"|""|""|""|""|""|""|""|""|""|""|""
"01-6024157"|"PEJEPSCOT HISTORICAL SOCIETY"|"838472"|""|""|""|""|""|""|""|""|""|""|""
"01-0211494"|"CENTRAL MAINE MEDICAL CENTER"|"839051"|""|""|""|""|""|""|""|""|""|""|""
"01-0211497"|"PRESIDENT & TRUSTEES OF COLBY COLLEGE"|"839058"|""|""|""|""|""|""|""|""|""|""|""
"01-0223482"|"Millinocket Regional Hospital"|"839061"|""|""|""|""|""|""|""|""|""|""|""
"01-0272879"|"Skills Inc"|"839063"|""|""|""|""|""|""|""|""|""|""|""
"01-0323280"|"Penguis Mental Health Association"|"839069"|""|""|""|""|""|""|""|""|""|""|""
"01-0358090"|"SPRUCE RUN ASSOCIATION"|"839076"|""|""|""|""|""|""|""|""|""|""|""
