"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"TOTAL_OFFICERS"|"VOTING_MEMBERS"|"RELATIONS_CBX"|"DELEGATE_CONTROL_CBX"|"DOC_CHANGES_CBX"|"ASSET_DIVISION_CBX"|"STOCKHOLDERS_CBX"|"GOVERNING_BODY_CBX"|"SUBJECT_APPROVAL_CBX"|"DOCUMENT_MEETINGS_CBX"|"DOCUMENT_COMMITTEE_CBX"|"LOCAL_CHAPTERS_CBX"|"WRITTEN_POLICIES_CBX"|"REVIEW_990_CBX"|"OFFICERS_AT_ORG_ADDESSS_CBX"|"CONFLICT_OF_INTEREST_CBX"|"OFFICERS_DISCLOSE_INTEREST_CBX"|"ENFORCE_COMPLIANCE_CBX"|"WHISTLEBLOWER_POLICY_CBX"|"DOCUMENT_DESTRUCTION_CBX"|"CEO_SALARY_APPROVAL_CBX"|"OFFICERS_SALARY_APPROVAL_CBX"|"JOINT_VENTURE_CBX"|"ENSURE_EXEMPT_STATUS_CBX"|"OWN_WEBSITE_CBX"|"ANOTHER_WEBSITE_CBX"|"UPON_REQUEST_CBX"|"FILING_EXCEPTION"|"STATES_FILED_TEXT"|"SCH_O_VI_CBX"|"OTHER_CBX"
"01-0579367"|"TURNING POINT COMMUNITY SERVICES INC"|"1330051"|"6"|"6"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"Y"|"N"|"Y"|"N"|"N"|"Y"|"N"|"Y"|"Y"|"N"|""|""|""|"Y"|"None"|"NJ"|"Y"|""
"01-0466967"|"OXFORD COUNTY MENTAL HEALTH SERVICES"|"1331637"|"8"|"8"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"N"|"N"|""|"Y"|"N"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"N"|"N"|""|""|"Y"|"Y"|"None"|""|"Y"|""
"01-0043285"|"ANDROSCOGGIN COUNTY CHAMBER OF COMMERCE"|"1349302"|"36"|"36"|"N"|"N"|"N"|"N"|"N"|"Y"|"N"|"Y"|"N"|"N"|""|"Y"|"N"|"Y"|"Y"|"N"|"Y"|"Y"|"Y"|"Y"|"N"|""|""|"Y"|"Y"|"None"|""|"Y"|""
"01-0342515"|"MOTIVATIONAL SERVICES INC"|"631559"|"12"|"12"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"N"|"N"|"N"|"N"|"N"|"Y"|"N"|"N"|"Y"|"Y"|"Y"|"N"|"N"|"N"|""|""|"Y"|"None"|""|"Y"|""
"01-0389416"|"Northern Aroostook Altenratives Inc"|"631563"|"11"|"11"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"Y"|"N"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"N"|""|""|""|"Y"|"None"|""|"Y"|""
"01-0211476"|"THE CHAPMAN HOUSE"|"1349303"|"8"|"8"|"Y"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"Y"|"N"|"Y"|"Y"|"N"|"Y"|"N"|"Y"|"N"|"N"|""|""|"Y"|"Y"|"None"|""|"Y"|""
"01-0331728"|"PATHWAYS INC"|"635244"|"7"|"7"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"N"|"N"|""|"Y"|"N"|"N"|""|""|"N"|"N"|"Y"|"Y"|"N"|""|"Y"|""|"Y"|"None"|""|"Y"|""
"01-0421229"|"THE HOUSING FOUNDATION-HAMPDEN"|"635246"|"6"|"6"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"N"|"N"|""|"N"|"N"|"Y"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|""|""|""|"Y"|"None"|""|"Y"|""
"01-0372086"|"ST FRANCIS COMMUNITY"|"1349310"|"8"|"8"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"Y"|"N"|"Y"|"Y"|"Y"|"N"|"Y"|"N"|"N"|"N"|""|""|""|"Y"|"None"|"ME"|"Y"|""
"01-0608595"|"AMERICAN CARIBBEAN EXPERIENCE INC"|"1349322"|"8"|"8"|"Y"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"Y"|"N"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"N"|""|""|""|"Y"|"None"|"GA"|"Y"|""
"01-0367553"|"SETON VILLAGE"|"638155"|"14"|"14"|"N"|"N"|"N"|"N"|"Y"|"Y"|"Y"|"Y"|"Y"|"N"|""|"N"|"N"|"N"|""|""|"N"|"N"|"Y"|"N"|"N"|""|""|""|"Y"|"None"|""|"Y"|""
"01-0792334"|"GAMA INTERNATIONAL"|"639789"|"16"|"16"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|"Y"|"Y"|"N"|""|"N"|"N"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"N"|""|""|"Y"|"Y"|"None"|"VA"|"Y"|""
"01-0699969"|"COMPASS CHARTER MIDDLE SCHOOL INC"|"641205"|"5"|"5"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"Y"|"N"|"Y"|"Y"|"Y"|"N"|"Y"|"N"|"Y"|"N"|""|""|""|"Y"|"None"|""|"Y"|""
"01-0681650"|"VIRGINIA STATE UNIVERSITY REAL ESTATE FOUNDATION"|"1349324"|"4"|"4"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"Y"|"N"|"N"|""|""|"N"|"N"|"N"|"N"|"N"|""|""|""|""|"None"|""|"Y"|""
"01-0242095"|"ROBERT W. TRAIP TRUST"|"643657"|"6"|"6"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"Y"|"N"|"Y"|"Y"|"Y"|"Y"|"Y"|"N"|"N"|"N"|""|""|""|"Y"|"None"|""|"Y"|""
"01-0357293"|"HERITAGE COURT INC"|"643659"|"3"|"3"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"Y"|"N"|"N"|""|""|"N"|"N"|"N"|"N"|"N"|""|""|""|"Y"|"None"|""|"Y"|""
"01-0795152"|"CHRISTIAN FRIENDS OF NEW AMERICANS"|"643662"|"10"|"10"|"Y"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|"N"|"Y"|"N"|"N"|""|"N"|"N"|"Y"|"N"|"N"|"N"|"N"|""|""|"Y"|"None"|""|"Y"|""
"01-0283465"|"WATERVILLE AREA YMCA"|"645407"|"25"|"24"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"N"|"N"|""|"N"|"N"|"Y"|"N"|"N"|"Y"|"Y"|"N"|"N"|"N"|""|""|"Y"|"Y"|"None"|""|"Y"|""
"01-0697206"|"LHASA HAPPY HOMES RESCUE INC"|"1349325"|"4"|"0"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"Y"|"N"|"N"|""|""|"N"|"N"|"N"|"N"|"N"|""|""|""|"Y"|"None"|"CA"|"Y"|""
"01-0729151"|"HEALTHPLUS PARTNERS INC"|"1349326"|"5"|"5"|"N"|"N"|"N"|"N"|"Y"|"Y"|"Y"|"Y"|"Y"|"N"|""|"Y"|"N"|"Y"|"Y"|"Y"|"Y"|"Y"|"N"|"N"|"N"|""|""|""|"Y"|"None"|"MI"|"Y"|""
"01-0615880"|"THE CHILDREN'S GARDEN INC"|"649556"|"2"|"0"|"Y"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"N"|"N"|"N"|""|""|""|"N"|"N"|"N"|"N"|""|""|""|"Y"|"None"|""|"Y"|""
"01-0270233"|"Blue Hill Society for Aid to Children Inc"|"1323823"|"10"|"10"|"Y"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"Y"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"N"|"N"|""|""|""|"Y"|"None"|""|"Y"|""
"01-0493230"|"PROJECT SHARE"|"1323827"|"14"|"14"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"Y"|"N"|"Y"|"N"|"Y"|"N"|"N"|"Y"|"Y"|"N"|""|""|"Y"|"Y"|"None"|""|"Y"|""
"01-0207716"|"VICTORIA MANSION"|"662305"|"23"|"23"|"N"|"N"|"N"|"N"|"Y"|"Y"|"Y"|"Y"|"Y"|"N"|""|"Y"|"N"|"Y"|"N"|"Y"|"N"|"N"|"Y"|"N"|"N"|""|""|""|"Y"|"None"|""|"Y"|""
"01-0499730"|"AMERICAN LIGHTHOUSE FOUNDATION"|"1323828"|"11"|"11"|"Y"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"Y"|"Y"|"N"|"N"|"N"|""|""|"N"|"N"|"N"|"N"|"N"|""|""|"Y"|"Y"|"None"|""|"Y"|""
"01-0521521"|"PISCATAQUIS COUNTY ECONOMIC DEVELOP P C E D C"|"1323829"|"4"|"4"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"N"|"N"|"N"|""|""|"N"|"N"|"N"|"N"|"N"|""|""|""|""|"None"|""|"Y"|""
"01-0221132"|"D.A. HURD PUBLIC LIBRARY ASSOCIATION"|"667822"|"10"|"10"|"Y"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"N"|"N"|"N"|""|""|"N"|"N"|"Y"|"N"|"N"|""|""|""|"Y"|"None"|""|"Y"|""
"01-0268926"|"TOPSHAM PUBLIC LIBRARY"|"667823"|"12"|"12"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"Y"|"N"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"N"|"N"|""|""|""|"Y"|"None"|"ME"|"Y"|""
"01-0371166"|"PENOBSCOT CHRISTIAN SCHOOL"|"1341367"|"7"|"7"|"N"|"N"|"N"|"N"|"Y"|"Y"|"Y"|"Y"|"N"|"N"|""|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|""|""|"Y"|"None"|""|"Y"|""
"01-0927325"|"ELECTRIFICATION COALITION ALLIANCE"|"1349332"|"2"|"1"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"N"|"N"|"Y"|"Y"|"Y"|"N"|"Y"|"N"|"N"|"N"|""|""|""|"Y"|"None"|"NJ TN"|"Y"|""
"01-0568739"|"Korean American Foundation - Greater Washington"|"677037"|"0"|"0"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"Y"|"N"|"N"|""|""|"N"|"N"|"N"|"N"|"N"|""|""|""|"Y"|"None"|""|"Y"|""
"01-6123853"|"BC&T, LOCAL # 334 RETIREE HEALTH TRUST (NISSEN DIVISION)"|"677043"|"5"|"5"|"N"|"N"|"N"|"N"|"Y"|"N"|"N"|"Y"|"N"|"N"|""|"N"|"N"|"N"|""|""|"N"|"N"|"N"|"N"|"N"|""|""|""|"Y"|"None"|""|"Y"|""
"01-0286579"|"WILTON FREE PUBLIC LIBRARY"|"685658"|"5"|"5"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"Y"|"N"|"N"|""|""|"N"|"N"|"N"|"N"|"N"|""|""|""|"Y"|"None"|""|"Y"|""
"01-0562891"|"ATLANTIC CAPE FAMILY SUPPORT ORGANIZATION INC."|"685671"|"9"|"9"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"N"|"N"|""|"Y"|"N"|"Y"|"Y"|"Y"|"Y"|"N"|"Y"|"Y"|"N"|""|""|""|"Y"|"None"|"NJ"|"Y"|""
"01-0869799"|"Washington's National Park Fund"|"685677"|"14"|"14"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"Y"|"N"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"N"|""|"Y"|"Y"|"Y"|"None"|"WA"|"Y"|""
"01-0892950"|"JUMP OF OHIO INC"|"685678"|"5"|"5"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"Y"|"N"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"N"|"N"|""|""|""|"Y"|"None"|""|"Y"|""
"01-6015247"|"Naples Public Library"|"685681"|"12"|"12"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"N"|"N"|""|"Y"|"N"|"Y"|"Y"|"Y"|"N"|"N"|"Y"|"N"|"N"|""|""|""|"Y"|"None"|""|"Y"|""
"01-0511356"|"NORDX"|"1341669"|"10"|"1"|"N"|"N"|"N"|"N"|"Y"|"Y"|"Y"|"Y"|"Y"|"N"|""|"Y"|"N"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"N"|"N"|""|""|""|"Y"|"None"|""|"Y"|""
"01-0839874"|"North Grand Neighborhood Services"|"1341672"|"8"|"8"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"N"|"N"|"N"|""|""|"N"|"N"|"N"|"N"|"N"|""|""|""|"Y"|"None"|""|"Y"|""
"01-0279335"|"THE PIERRE MONTEUX MEMORIAL FOUNDATION, INC."|"696921"|"13"|"13"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"Y"|"N"|"N"|""|""|"N"|"N"|"N"|"N"|"N"|""|""|""|"Y"|"None"|""|"Y"|""
"01-0342356"|"Western Maine Transportation Services, Inc"|"696923"|"13"|"13"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"N"|"N"|"Y"|"N"|"Y"|"N"|"N"|"Y"|"Y"|"N"|""|""|""|"Y"|"None"|""|"Y"|""
"01-0347381"|"Sacopee Valley Health Center"|"696927"|"13"|"13"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"Y"|"N"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"N"|"N"|""|""|""|"Y"|"None"|""|"Y"|""
"01-0351077"|"MAINE CANCER FOUNDATION"|"696930"|"18"|"18"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"Y"|"N"|"Y"|"N"|"Y"|"Y"|"Y"|"Y"|"N"|"N"|""|""|""|"Y"|"None"|"ME"|"Y"|""
"01-0352258"|"CHILDREN'S MUSEUM & THEATRE OF MAINE"|"696933"|"14"|"14"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|"Y"|"Y"|"N"|""|"Y"|"N"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"N"|""|""|"Y"|"Y"|"None"|"ME"|"Y"|""
"01-0409428"|"SCARBOROUGH ECONOMIC DEV CORP"|"696946"|"9"|"9"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"Y"|"N"|"Y"|"Y"|"Y"|"N"|"N"|"Y"|"Y"|"N"|""|""|""|"Y"|"None"|""|"Y"|""
"01-0534293"|"THE CHILDREN'S CENTER"|"696953"|"12"|"12"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"Y"|"N"|"Y"|"Y"|"Y"|"Y"|"Y"|"N"|"N"|"N"|""|""|""|"Y"|"None"|"ME"|"Y"|""
"01-0645482"|"OVERTURE CENTER FOUNDATION INC"|"696962"|"21"|"21"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"N"|"N"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"N"|"N"|""|""|""|"Y"|"None"|"WI"|"Y"|""
"01-0683331"|"JFK MEDICAL CENTER CHARTER SCHOOL, INC."|"696968"|"7"|"7"|"N"|"Y"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"Y"|"N"|"Y"|"Y"|"Y"|"Y"|"Y"|"N"|"N"|"N"|""|""|"Y"|"Y"|"None"|"FL"|"Y"|""
"01-0694632"|"SEYMOUR OSMAN COMMUNITY CENTER AND YOUTH HAVEN"|"696970"|"9"|"9"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"Y"|"N"|"Y"|"Y"|"N"|"Y"|"Y"|"N"|"N"|"N"|""|""|""|"Y"|"None"|""|"Y"|""
"01-0784491"|"FOR THE KID IN ALLOF US INC"|"696976"|"20"|"20"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"N"|"N"|"N"|""|""|"N"|"N"|"N"|"N"|"N"|""|""|""|"Y"|"None"|"GA"|"Y"|""
"01-6011501"|"UNIVERSITY OF MAINE FOUNDATION"|"696991"|"7"|"7"|"N"|"N"|"N"|"N"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"N"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"N"|""|"Y"|""|"Y"|"None"|"NH"|"Y"|""
"01-0803356"|"STEWART COUNTY ANIMAL MANAGEMENT PROGRAM"|"697770"|"0"|"0"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"N"|"N"|"N"|""|""|"N"|"N"|"N"|"N"|"N"|""|""|""|"Y"|"None"|"TN"|"Y"|""
"01-0805468"|"LIVING BREAD RADIO INC"|"697772"|""|""|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"N"|"N"|"N"|""|""|"N"|"N"|"N"|"N"|"N"|""|""|""|""|"None"|""|""|""
"01-0780689"|"Hollenbeck Police Activities League"|"704936"|"15"|"15"|"Y"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"Y"|"N"|"N"|""|""|"N"|"N"|"N"|"N"|"N"|""|""|""|"Y"|"None"|"CA"|""|""
"01-0191203"|"MAINE AUTOMOBILE DEALERS ASSOCIATION, INC."|"706783"|"10"|"10"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|"Y"|"N"|"N"|""|"N"|"N"|"Y"|"N"|"N"|"Y"|"N"|"N"|"N"|"N"|""|""|""|"Y"|"None"|""|"Y"|""
"01-0228262"|"Northeast Hearing & Speech Center, Inc."|"706787"|"12"|"12"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"N"|"N"|"Y"|"Y"|"Y"|"N"|"Y"|"N"|"N"|"N"|""|""|""|"Y"|"None"|"ME"|"Y"|""
"01-0267689"|"KATAHDIN FRIENDS, INC."|"706788"|"8"|"8"|"Y"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"Y"|"N"|"Y"|"Y"|"Y"|"Y"|"N"|"Y"|"Y"|"N"|""|""|""|"Y"|"None"|""|"Y"|""
"01-0288347"|"MAINE AUTOMOBILE DEALERS ASSOCIATION, INC. INSURANCE TRUST"|"706790"|"7"|"7"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"N"|"N"|""|"N"|"N"|"Y"|"N"|"N"|"Y"|"N"|"N"|"N"|"N"|""|""|""|"Y"|"None"|""|"Y"|""
"01-0322531"|"Aroostook Area Agency on Aging, Inc."|"706792"|"17"|"17"|"N"|"N"|"N"|"N"|"Y"|"Y"|"Y"|"Y"|"Y"|"N"|""|"Y"|"N"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"N"|""|""|"Y"|"Y"|"None"|""|"Y"|""
"01-0343697"|"GROUP HOME FOUNDATION, INC."|"706795"|"6"|"6"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"Y"|"Y"|"Y"|"N"|"N"|"Y"|"Y"|"Y"|"N"|"N"|""|""|"Y"|"Y"|"None"|""|"Y"|""
"01-0407276"|"SUNRISE OPPORTUNITIES"|"706801"|"8"|"8"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"N"|"N"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"N"|""|""|""|"Y"|"None"|""|"Y"|""
"01-0431293"|"Horizons Unlimited, Inc."|"706803"|"3"|"1"|"Y"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"N"|"N"|""|"Y"|"N"|"N"|""|""|"N"|"N"|"N"|"N"|"N"|""|""|""|"Y"|"None"|""|"Y"|""
"01-0443774"|"HANCOCK COUNTY HABITAT FOR HUMANITY"|"706805"|"6"|"6"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"Y"|"N"|"N"|""|""|"N"|"N"|"N"|"N"|"N"|""|""|"Y"|"Y"|"None"|""|"Y"|""
"01-0460969"|"HABITAT FOR HUMANITY 7 RIVERS MAINE"|"706807"|"19"|"19"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"Y"|"N"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"N"|""|""|""|"Y"|"None"|"ME"|"Y"|""
"01-0525631"|"Harbor Schools of Maine, Inc."|"706817"|"6"|"6"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"Y"|"N"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"N"|""|""|""|"Y"|"None"|""|"Y"|""
"01-0553077"|"Links of Hope, Inc."|"706822"|"8"|"8"|"Y"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"Y"|"N"|"Y"|"N"|"N"|"N"|"N"|"Y"|"N"|"N"|""|""|""|"Y"|"None"|"FL"|"Y"|""
"01-0586454"|"Full Spectrum Farms, Inc"|"706825"|"13"|"13"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"Y"|"N"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"N"|""|""|""|"Y"|"None"|""|"Y"|""
"01-0688897"|"Ohio Network of Children's Advocacy Centers"|"706828"|"6"|"1"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"Y"|"Y"|"N"|""|"Y"|"N"|"Y"|"N"|"Y"|"N"|"Y"|"Y"|"Y"|"N"|""|""|""|"Y"|"None"|"OH"|"Y"|""
"01-0378598"|"FRIENDS OF THE KOTZSCHMAR ORGAN, INC."|"590190"|"21"|"21"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"Y"|"N"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"N"|""|""|""|"Y"|"None"|"ME"|"Y"|""
"01-0211517"|"CEDARS NURSING CARE CENTER"|"593902"|"10"|"9"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"N"|"N"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"N"|""|""|""|"Y"|"None"|""|"Y"|""
"01-0491710"|"ASSOCIATION OF COMPUTER TECHNOLOGY EDUCATORS OF MAINE"|"621387"|"11"|"11"|"N"|"N"|"N"|"N"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|""|"N"|""|""|"N"|"N"|"Y"|"N"|"N"|""|""|""|"Y"|"None"|"ME"|"Y"|""
"01-0639118"|"ST STEPHEN'S HUMAN SERVICES INC"|"631567"|"8"|"8"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"Y"|"N"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"N"|""|""|"Y"|"Y"|"None"|"MN"|"Y"|""
"01-0746064"|"The Laurel Park Community Boosters Club"|"623365"|"5"|"5"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|"Y"|"Y"|"N"|""|"N"|"N"|"N"|""|""|"N"|"Y"|"N"|"N"|"N"|""|""|""|"Y"|"None"|""|"Y"|""
"01-0607900"|"MOUND STREET HEALTH CAREERS ACADEMY"|"647447"|"9"|"9"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"N"|"N"|""|"N"|"N"|"Y"|"Y"|"Y"|"N"|"N"|"Y"|"Y"|"N"|""|""|""|"Y"|"None"|"OH"|"Y"|""
"01-0518428"|"NORTH ATLANTIC FIGURE SKATING CLUB"|"651153"|"11"|"11"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"N"|"N"|""|"N"|"N"|"N"|""|""|"N"|"N"|"N"|"N"|"N"|""|""|""|"Y"|"None"|""|"Y"|""
"01-0819638"|"TRANSFORMATIVE INQUIRY DESIGNS FOR EFFECTIVE SCHOO"|"693283"|"5"|"5"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"N"|"N"|""|"Y"|"N"|"Y"|"N"|"Y"|"Y"|"Y"|"N"|"N"|"N"|""|""|""|"Y"|"None"|"IL CA"|""|""
"02-0222248"|"YMCA OF GREATER MANCHESTER"|"598996"|"23"|"23"|"Y"|"N"|"N"|"N"|"Y"|"Y"|"N"|"Y"|"Y"|"Y"|"Y"|"Y"|"N"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"N"|"N"|""|"Y"|""|"Y"|"None"|"NH"|"Y"|""
"01-0142660"|"PORTLAND COUNTRY CLUB"|"599824"|"12"|"11"|"Y"|"N"|"N"|"N"|"Y"|"Y"|"Y"|"Y"|"Y"|"N"|""|"Y"|"N"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"N"|""|""|""|"Y"|"None"|""|"Y"|""
"01-0554061"|"MOUNT EPHRAIM SENIOR HOUSING INITIATIVE"|"599825"|"6"|"6"|"N"|"Y"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|""|"Y"|"N"|"N"|""|""|"N"|"N"|"N"|"N"|"N"|""|""|""|"Y"|"None"|""|"Y"|""
"01-0538683"|"EMC AFFORDABLE HOUSING PRESERVATION CORP"|"604334"|"4"|"4"|"Y"|"N"|"N"|"N"|"Y"|"Y"|"N"|"Y"|"Y"|"N"|""|"Y"|"N"|"Y"|"Y"|"Y"|"N"|"N"|"N"|"N"|"N"|""|""|""|"Y"|"None"|""|"Y"|""
"02-0147630"|"HOLDERNESS SCHOOL"|"635250"|"27"|"27"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"N"|"N"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"N"|""|""|"Y"|"Y"|"None"|"NH"|"Y"|""
"01-0858717"|"CHICAGOLAND USBC ASSOCIATION"|"636345"|"4"|"4"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"Y"|"N"|"Y"|"Y"|"N"|"N"|"Y"|"N"|"N"|"N"|""|""|""|"Y"|"None"|"IL"|""|""
"01-0366544"|"COMMONSENSE HOUSING, INC"|"642174"|"7"|"7"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"Y"|"N"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"Y"|"N"|""|""|""|"Y"|"None"|""|"Y"|""
"01-0284280"|"Multiple Handicapped Association of Aroostook"|"649017"|"12"|"12"|"N"|"N"|"N"|"N"|"N"|"N"|"N"|"Y"|"Y"|"N"|""|"Y"|"N"|"N"|""|""|"N"|"N"|"N"|"N"|"N"|""|""|""|"Y"|"None"|""|"Y"|""
