"C_EIN"|"C_Org_Name"|"GOV_GRANT_ID"|"XML_DOCUMENT_ID"|"ORG_NAME"|"STREET"|"CITY"|"STATE"|"COUNTRY"|"ZIP"|"EIN"|"SECTION"|"ORG_CASH"|"ORG_NON_CASH"|"ORG_METHOD_VALUE"|"ORG_DESCR_NON_CASH"|"GRANT_PURPOSE"
"01-0477310"|"CHRISTIAN MISSION SERVICES"|"51878"|"1279955"|"OUR FAMILY SERVI"|"14454 85658"|""|""|"USA"|""|"94-2598560"|""|"8450.0000"|""|""|""|"GENSUPPORT"
"01-0477310"|"CHRISTIAN MISSION SERVICES"|"51879"|"1279955"|"PLANTED"|"PO BOX 33915"|""|""|"USA"|""|"65-0243661"|""|"17487.0000"|""|""|""|"GENSUPPORT"
"01-0477310"|"CHRISTIAN MISSION SERVICES"|"51880"|"1279955"|"LIGONIER MINISTR"|"PO BOX 32886"|""|""|"USA"|""|"39-0816851"|""|"84973.0000"|""|""|""|"GENSUPPORT"
"01-0477310"|"CHRISTIAN MISSION SERVICES"|"51881"|"1279955"|"SAMARITAN CENTER"|"1490 S"|""|"FL"|"USA"|"34997"|"59-1373247"|""|"15600.0000"|""|""|""|"GENSUPPORT"
"01-0477310"|"CHRISTIAN MISSION SERVICES"|"51882"|"1279955"|"SAMARATANS PURSE"|"PO BOX 28607"|""|""|"USA"|""|"58-1437002"|""|"18587.0000"|""|""|""|"GENSUPPORT"
"01-0477310"|"CHRISTIAN MISSION SERVICES"|"51883"|"1279955"|"SHEPARDS THEOLOGY"|"6051 T 27518"|""|""|"USA"|""|"20-0180768"|""|"21343.0000"|""|""|""|"GENSUPPORT"
"01-0477310"|"CHRISTIAN MISSION SERVICES"|"51884"|"1279955"|"ZOIE SKY"|"767 MA 48433"|""|""|"USA"|""|"27-1420872"|""|"9037.0000"|""|""|""|"GENSUPPORT"
"01-0477310"|"CHRISTIAN MISSION SERVICES"|"51885"|"1279955"|"MILWAUKEE RESCUE"|"830 NO 53233"|""|""|"USA"|""|""|""|"18587.0000"|""|""|""|"GENSUPPORT"
"01-0477310"|"CHRISTIAN MISSION SERVICES"|"51886"|"1279955"|"WISDOM FOR HEART"|"PO BOX 27512"|""|""|"USA"|""|"27-0273165"|""|"26343.0000"|""|""|""|"GENSUPPORT"
"01-0477310"|"CHRISTIAN MISSION SERVICES"|"51887"|"1279955"|"FOUNDERS MINISTR"|"PO BOX 33915"|""|""|"USA"|""|"65-0243661"|""|"17487.0000"|""|""|""|"GENSUPPORT"
"01-0477310"|"CHRISTIAN MISSION SERVICES"|"51888"|"1279955"|"GAP MINISTRIES"|"7974 N 85704"|""|""|"USA"|""|"86-0999503"|""|"26524.0000"|""|""|""|"GENSUPPORT"
"01-0972999"|"LEGACY CONNECTIONS"|"51889"|"1279962"|"ROSE BOWL OPERATING COMPANY"|"1001 ROSE BOWL DRIVE"|"PASADENA"|"CA"|"USA"|"91103"|"95-4729202"|"501(C)(3)"|"105065.0000"|"0.0000"|""|""|"PAYMENT FOR ROSEBOWL RENOVATIONS AND TO ROSE BOWL OPERATING COMMITTEE FOR AMERICAFEST."
"01-0424895"|"SOUTH PARK DEVELOPMENT CORPORATION"|"53682"|"1282368"|"CITY OF LEWISTON"|"27 PINE STREET"|"LEWISTON"|"ME"|"USA"|"04240"|""|""|"25000.0000"|""|""|""|"MUNICIPAL FUNDING"
"02-0172115"|"ANCIENT ACCEPTED SCOTTISH RITE OF FREE MASONRY NMJ VALLEY OF NASHUA CONSISTORY"|"53683"|"1282380"|"CHILDREN'S DYSLEXIA CENTER (NEW HAMPSHIRE SEACOAST & NASHUA)"|"33 MARRETT ROAD"|"LEXINGTON"|"MA"|"USA"|"02420-0519"|""|"501(C)(3)"|"289796.0000"|""|""|""|"ANNUAL CONTRIBUTION TOWARD ENDOWMENT COMMITTED PRIOR TO OPENING OF CENTERS"
"01-0633520"|"PINK RIBBONS PROJECT"|"54394"|"1284610"|"HARRIS COUNTY HOSPITAL DISTRICT FOUNDATION"|"2525 HOLLYHALL STE 235"|"HOUSTON"|"TX"|"USA"|"77054"|"76-0408224"|""|"99000.0000"|""|""|""|""
"01-0633520"|"PINK RIBBONS PROJECT"|"54395"|"1284610"|"UNIVERSITY OF TEXAS MD ANDERSON CANCER CENTER"|"1220 HOLCOMBE ACB52315"|"HOUSTON"|"TX"|"USA"|"77030"|"74-6000203"|""|"31325.0000"|""|""|""|"GRANTS ARE DISTRIBUTED TO LOCAL ORGANIZATIONS AND CAUSES"
"01-0633520"|"PINK RIBBONS PROJECT"|"54396"|"1284610"|"SAN JOSE CLINIC"|"2615 FANNIN ST"|"HOUSTON"|"TX"|"USA"|"77002"|""|""|"27356.0000"|""|""|""|"GRANTS ARE DISTRIBUTED TO LOCAL ORGANIZATIONS"
"01-0633520"|"PINK RIBBONS PROJECT"|"54397"|"1284610"|"THE ROSE DIAGNOSTIC CENTER"|"12700 N FEATHERWOOD"|"HOUSTON"|"TX"|"USA"|"77034"|"76-0193812"|""|"44270.0000"|""|""|""|"GRANTS ARE DISTRIBUTED TO LOCAL ORGANIZATIONS"
"01-0633520"|"PINK RIBBONS PROJECT"|"54398"|"1284610"|"UNIVERSITY OF TEXAS MEDICAL BRANCH"|"301 UNIVERSITY BLVD"|"GALVESTON"|"TX"|"USA"|"77555-1041"|"76-0682238"|""|"62233.0000"|""|""|""|"GRANTS ARE DISTRIBUTED TO LOCAL ORGANIZATIONS"
"01-0633520"|"PINK RIBBONS PROJECT"|"54399"|"1284610"|"SPRING BRANCH COMMUNITY HEALTH CENTER"|""|""|""|"USA"|""|""|""|"7500.0000"|""|""|""|"GRANTS ARE DISTRIBUTED TO LOCAL ORGANIZATIONS"
"01-0734263"|"LEE & HERMAN OSTROW FAMILY FOUNDATION"|"55281"|"1286260"|"JEWISH COMMUNITY FOUNDATION OF LA"|"6505 WILSHIRE BLVD"|"LOS ANGELES"|"CA"|"USA"|"90048"|"95-6111928"|"501(C)(3)"|"13536.0000"|""|""|""|"GENERAL SUPPORT"
"01-0734263"|"LEE & HERMAN OSTROW FAMILY FOUNDATION"|"55282"|"1286260"|"JEWISH FEDERATION COUNCIL OF GREATER LA"|"6505 WILSHIRE BLVD"|"LOS ANGELES"|"CA"|"USA"|"90048"|"95-1643388"|"501(C)(3)"|"50085.0000"|""|""|""|"GENERAL SUPPORT"
"01-0734263"|"LEE & HERMAN OSTROW FAMILY FOUNDATION"|"55283"|"1286260"|"NARSAD RESEARCH INSTITUTE-BRAIN & BEHAVIOR"|"60 CUTTER MILL ROAD"|"GREAT NECK"|"NY"|"USA"|"11021"|"11-3401438"|"501(C) (3)"|"21465.0000"|""|""|""|"GENERAL SUPPORT"
"01-0351077"|"Maine Cancer Foundation"|"56274"|"1289038"|"The Jackson Laboratory"|"600 Main Street"|"Bar Harbor"|"ME"|"USA"|"04609"|"01-0211513"|"3"|"89818.0000"|"0.0000"|""|""|"Cancer Research - Dec of optimized ex vivo organotypic slice culture systems"
"01-0351077"|"Maine Cancer Foundation"|"56275"|"1289038"|"The Jackson Laboratory"|"600 Main Street"|"Bar Hsrbor"|"ME"|"USA"|"04609"|"01-0211513"|"3"|"99999.0000"|"0.0000"|""|""|"1.Assessing Therapeutic Potential of a New Drug ICG-001 in Glioblastoma; 2. Defining"
"01-0351077"|"Maine Cancer Foundation"|"56276"|"1289038"|"Maine Medical Center"|"81 Research Drive"|"Scarborough"|"ME"|"USA"|"04074"|"01-0238552"|"3"|"99989.0000"|"0.0000"|""|""|"Cancer research: 1.Numb5 & numb6 promote invasive oehavior of breast cancer oy inducing"
"01-0351077"|"Maine Cancer Foundation"|"56277"|"1289038"|"Maine Medical Center"|"81 Research Drive"|"Scarborough"|"ME"|"USA"|"04074"|"01-0238552"|"3"|"248029.0000"|"0.0000"|""|""|"Cancer Research: 1. miR-590 a novel candidate microRNA in Acute Myeloid Leukemia; 2. Dev of a"
"01-0351077"|"Maine Cancer Foundation"|"56278"|"1289038"|"University of Maine"|"5717 Corbett Hall"|"Orono"|"ME"|"USA"|"04469-5717"|"01-6000769"|"3"|"49965.0000"|"0.0000"|""|""|"Cancer Research: enhanced integrin-mediated mechanotransduction at focal adhesions"
"01-0351077"|"Maine Cancer Foundation"|"56279"|"1289038"|"University of New England"|"11 Hills Beach Road"|"Biddeford"|"ME"|"USA"|"04005"|"01-0211810"|"3"|"50000.0000"|"0.0000"|""|""|"Cancer Research: the role of kappa opiod receptor in regulating cancer proliferation in vitro"
"01-0351077"|"Maine Cancer Foundation"|"56280"|"1289038"|"University of New England"|"11 Hills Beach Road"|"Biddeford"|"ME"|"USA"|"04005"|"01-0211810"|"3"|"22540.0000"|"0.0000"|""|""|"Improvement the treatment of cancer related pain"
"01-0351077"|"Maine Cancer Foundation"|"56281"|"1289038"|"Community Concepts"|"17-19 Market Square"|"South Pals"|"ME"|"USA"|"04281"|"01-0424969"|"3"|"10000.0000"|"0.0000"|""|""|"Patient Support - Provide Transportation"
"01-0351077"|"Maine Cancer Foundation"|"56282"|"1289038"|"Down East Hospice"|"24 Hospital Lane"|"Calais"|"ME"|"USA"|"04619"|"01-0441482"|"3"|"10000.0000"|"0.0000"|""|""|"Volunteer hospice services"
"01-0351077"|"Maine Cancer Foundation"|"56283"|"1289038"|"Healthy Community Coalition"|"111 Franklin Health CMNS"|"Parmington"|"ME"|"USA"|"04938"|"22-3305743"|"3"|"10000.0000"|"0.0000"|""|""|"Coquering cancer in Greater Franklin County"
"01-0351077"|"Maine Cancer Foundation"|"56284"|"1289038"|"Hospice of Southern Maine"|"180 US Route One"|"Scarborpugh"|"ME"|"USA"|"04074"|"01-0540180"|"3"|"10000.0000"|"0.0000"|""|""|"VOluTiteer prograln Suppor t"
"01-0351077"|"Maine Cancer Foundation"|"56285"|"1289038"|"Lake Region Senior Service"|"PO Box 816"|"Bridgton"|"ME"|"USA"|"04009"|"26-0418458"|"3"|"10000.0000"|"0.0000"|""|""|"Patient Support - Transportation"
"01-0351077"|"Maine Cancer Foundation"|"56286"|"1289038"|"Maine Heal th"|"110 Free Street"|"Portland"|"ME"|"USA"|"04101-3908"|"01-0431680"|"3"|"7406.0000"|"0.0000"|""|""|"iPads: a tool for education and relieving stress during IV therapy"
"01-0351077"|"Maine Cancer Foundation"|"56287"|"1289038"|"Penquis Community Action Program"|"PO Box 1162"|"Bangor"|"ME"|"USA"|"04402"|"01-6023748"|"3"|"9000.0000"|"0.0000"|""|""|"Ride to Health"
"01-0351077"|"Maine Cancer Foundation"|"56288"|"1289038"|"York County Community Action Corp"|"6 Spruce Street"|"Sanford"|"ME"|"USA"|"04073"|"01-6020406"|"3"|"10000.0000"|"0.0000"|""|""|"Patient Support - Connecting to Cancer Care"
"01-0351077"|"Maine Cancer Foundation"|"56289"|"1289038"|"Eastern Maine Medical Center Cancer Care"|"33 Whtiing Hill Care Suite 21"|"Brewer"|"ME"|"USA"|"04412"|"01-0211501"|"3"|"49900.0000"|"0.0000"|""|""|"Cancer research: cytometric profiling of the non-maligant leukocytes in patients"
"01-0351077"|"Maine Cancer Foundation"|"56290"|"1289038"|"Husson University"|"1 Husson Circle"|"Bangoe"|"ME"|"USA"|"04401"|"01-0271210"|"3"|"97750.0000"|"0.0000"|""|""|"Cancer research: 1. Inhibition of intercellular adhesion molecule-1 in lung cancer"
"01-0351077"|"Maine Cancer Foundation"|"56291"|"1289038"|"Aroostook Cty CAP"|"PO Box 1116"|"Presqueu"|"ME"|"USA"|"04769"|"01-0315849"|"3"|"15000.0000"|"0.0000"|""|""|"To keep Aroostook County healthy"
"01-0351077"|"Maine Cancer Foundation"|"56292"|"1289038"|"Bangor YMCA"|"17 2nd Street"|"Bangor"|"ME"|"USA"|"04401"|"01-0211485"|"3"|"10000.0000"|"0.0000"|""|""|"Fostering connections"
"01-0351077"|"Maine Cancer Foundation"|"56293"|"1289038"|"Beth C. Wright Cancer Resource Center"|"23 Commerce Park"|"Elsworth"|"ME"|"USA"|"04605"|"26-0074846"|"3"|"9800.0000"|"0.0000"|""|""|"E|valuation of financial assistance program"
"01-0351077"|"Maine Cancer Foundation"|"56294"|"1289038"|"Cancer Community Center"|"778 Main Street"|"South Portland"|"ME"|"USA"|"04106"|"01-0513301"|"3"|"10000.0000"|"0.0000"|""|""|"Cancer survivor wellness program"
"01-0351077"|"Maine Cancer Foundation"|"56295"|"1289038"|"Dean Snell Cancer Foundation"|"PO Box 104"|"Brunswick"|"ME"|"USA"|"04011"|"27-0970735"|"3"|"10000.0000"|"0.0000"|""|""|"Patient transportation assistance program"
"01-0351077"|"Maine Cancer Foundation"|"56296"|"1289038"|"Maine Migrant Health Program"|"9 Green Street 41"|"Augusta"|"ME"|"USA"|"04332"|"01-0414441"|"3"|"5980.0000"|"0.0000"|""|""|"Colorectal cancer prevention campaign"
"01-0351077"|"Maine Cancer Foundation"|"56297"|"1289038"|"Maine Medical Center"|"81 Research Drive"|"Scarborough"|"ME"|"USA"|"04074"|"01-0238552"|"3"|"10000.0000"|"0.0000"|""|""|"Endometrical cancer & obesity"
"01-0351077"|"Maine Cancer Foundation"|"56298"|"1289038"|"Stephens Memorial Hospital"|"181 Main Street"|"Norway"|"ME"|"USA"|"04268"|"01-0219904"|"3"|"7040.0000"|"0.0000"|""|""|"MS cancer awareness & prevention"
"01-0351077"|"Maine Cancer Foundation"|"56299"|"1289038"|"washington Hancock CAP"|"Po Box 299"|"Ellsworth"|"ME"|"USA"|"04605"|"23-7226828"|"3"|"8000.0000"|"0.0000"|""|""|"Transportation"
"01-6019477"|"GARD W TWADDLE NURSES ENDOWMENT"|"56300"|"1289055"|"CMMC COLLEGE OF NURSING AND HEATH PROFESSIONS"|"PO BOX 4500"|"LEWISTON"|"ME"|"USA"|"04243-4500"|"01-0356077"|"501(C)(3)"|"57125.0000"|""|""|""|"SCHOLARSHIPS"
"01-6040875"|"MELVIN SIMMONS TRUST KENNEBEC SAVINGS BANK TRUSTEE"|"56301"|"1289056"|"CITY OF HALLOWELL"|"1 WINTHROP ST"|"HALLOWELL"|"ME"|"USA"|"04347"|"01-6000029"|""|"50285.0000"|"0.0000"|""|""|"SUPPORT OF PHYSICAL FITNESS"
"01-6169936"|"THE WELCH FUND FOR HARVARD"|"57048"|"1298703"|"PRES. & FELLOWS OF HARVARD COLLEGE"|"1033 MASSACHUSETTS AVENUE 3RD FLOOR"|"CAMBRIDGE"|"MA"|"USA"|"02138"|"04-2103580"|"501(C)(3)"|"283543.0000"|"0.0000"|"FMV"|""|"COMPUTER SCIENCE PROFESSORSHIP AND ENDOWMENT FOR HARVARD SOCCER"
"02-0136438"|"Fraternal Order of Eagles # 1464"|"57978"|"1299783"|"FOE Charity Foundation"|"1623 Gateway Circle South"|"Grove City"|"OH"|"USA"|"43123"|"20-2479590"|""|"10202.0000"|""|""|""|""
"01-0284906"|"YORK COMMUNITY SERVICE ASSOCIATION"|"61394"|"1301355"|"TOWN OF YORK - YORK PARKS AND RECREATION DEPARTMENT"|"200 US ROUTE 1"|"YORK"|"ME"|"USA"|"03909"|""|""|"7373.0000"|"0.0000"|""|""|"SCHOLARSHIP GRANT TO TOWN OF YORK, MAINE'S PARKS AND REC DEPARTMENT"
"01-0794834"|"International Society for Autism Research"|"61420"|"1301397"|"Vanderbilt University Medical Center"|"Department of Finance AT 40303"|"Atlanta"|"GA"|"USA"|"31192"|"62-0476822"|""|"12500.0000"|""|""|""|"To support innovative research on autism spectrum disorders"
"01-0794834"|"International Society for Autism Research"|"61421"|"1301397"|"University of Pittsburgh"|"PO Box 371220"|"Pittsburgh"|"PA"|"USA"|"15251"|"25-0965591"|""|"12500.0000"|""|""|""|"To support innovative research on autism spectrum disorders"
"01-0559608"|"ALLIED MEDIA PROJECTS, INC."|"62467"|"1301760"|"EMERGENCE MEDIA, LLC"|"4126 THIRD ST."|"DETROIT"|"MI"|"USA"|"48201"|"26-2176009"|""|"42180.0000"|"0.0000"|""|""|"FOR THE PRODUCTION AND PRESENTATION OF THE ""COMPLEX MOVEMENTS"" MUSIC PERFORMANCE AND ART"
"01-6004404"|"United Way of Kennebec Valley"|"62637"|"1301796"|"Alzheimer's Care Center"|"154 Dresden Ave"|"Gardiner"|"ME"|"USA"|"04345"|"22-2789192"|"501(c)(3)"|"20000.0000"|"0.0000"|""|""|"Support for programs of respite and support"
"01-6004404"|"United Way of Kennebec Valley"|"62638"|"1301796"|"2-1-1 Maine"|"50 Lydia Lane"|"So. Portland"|"ME"|"USA"|"04106"|"30-0194364"|"501(c)(3)"|"24335.0000"|"0.0000"|""|""|"Statewide information and referral service"
"01-6004404"|"United Way of Kennebec Valley"|"62639"|"1301796"|"Family Planning Assoc of Maine"|"43 Gabriel Drive"|"Augusta"|"ME"|"USA"|"04330"|"01-0317679"|"501(c)(3)"|"6000.0000"|"0.0000"|""|""|"Family life education services"
"01-6004404"|"United Way of Kennebec Valley"|"62640"|"1301796"|"Augusta Salvation Army- Capitol City Corps"|"11 N Pearl Street"|"Augusta"|"ME"|"USA"|"04330"|"13-5562351"|"501(c)(3)"|"16000.0000"|"0.0000"|""|""|"Comprehensive and emergency services"
"01-6004404"|"United Way of Kennebec Valley"|"62641"|"1301796"|"Big Brothers/Big Sisters of Kennebec Valley"|"8 Green Street, #2"|"Augusta"|"ME"|"USA"|"04330"|"01-0376502"|"501(c)(3)"|"23999.0000"|"0.0000"|""|""|"One-on-one mentoring"
"01-6004404"|"United Way of Kennebec Valley"|"62642"|"1301796"|"Boy Scouts of America"|"131 Johnson Rd"|"Portland"|"ME"|"USA"|"04102-1968"|"01-0211490"|"501(c)(3)"|"3568.0000"|"0.0000"|""|""|"Character building and camping"
"01-6004404"|"United Way of Kennebec Valley"|"62643"|"1301796"|"Bread of Life Ministries"|"157 Water St."|"Augusta"|"ME"|"USA"|"04330"|"22-2717615"|"501(c)(3)"|"58000.0000"|"0.0000"|""|""|"Soup kitchen, homeless shelter"
"01-6004404"|"United Way of Kennebec Valley"|"62644"|"1301796"|"Catholic Charities - Maine"|"136 State St."|"Augusta"|"ME"|"USA"|"04330"|"01-0280225"|"501(c)(3)"|"5000.0000"|"0.0000"|""|""|"Home and family services"
"01-6004404"|"United Way of Kennebec Valley"|"62645"|"1301796"|"Children's Center"|"1 Alden Avenue"|"Augusta"|"ME"|"USA"|"04330"|"01-0275447"|"501(c)(3)"|"62000.0000"|"0.0000"|""|""|"Early intervention and support"
"01-6004404"|"United Way of Kennebec Valley"|"62646"|"1301796"|"Crisis & Counseling Centers, Inc."|"32 Winthrop St."|"Augusta"|"ME"|"USA"|"04330"|"01-0288363"|"501(c)(3)"|"23000.0000"|"0.0000"|""|""|"Crisis and residential units"
"01-6004404"|"United Way of Kennebec Valley"|"62647"|"1301796"|"Kennebec Valley Community Action Program"|"97 Water Street"|"Waterville"|"ME"|"USA"|"04901"|"01-0277678"|"501(c)(3)"|"17000.0000"|"0.0000"|""|""|"Transportation and nurturing parent program, personal body safety"
"01-6004404"|"United Way of Kennebec Valley"|"62648"|"1301796"|"Families Matter"|"30 Mayflower Road"|"Augusta"|"ME"|"USA"|"04330"|"22-3409412"|"501(c)(3)"|"16750.0000"|"0.0000"|""|""|"Personal social awareness"
"01-6004404"|"United Way of Kennebec Valley"|"62649"|"1301796"|"Augusta Food Bank"|"9 Summer St."|"Augusta"|"ME"|"USA"|"04330"|"01-0545734"|"501(c)(3)"|"18000.0000"|"0.0000"|""|""|"Food bank services"
"01-6004404"|"United Way of Kennebec Valley"|"62650"|"1301796"|"Family Violence Project"|"83 Western Ave."|"Augusta"|"ME"|"USA"|"04330"|"01-0360714"|"501(c)(3)"|"50000.0000"|"0.0000"|""|""|"School-based abuse prevention"
"01-6004404"|"United Way of Kennebec Valley"|"62651"|"1301796"|"Girl Scouts kennebec Council"|"138 Gannett Drive"|"So Portland"|"ME"|"USA"|"04106"|"01-0269802"|"501(c)(3)"|"2059.0000"|"0.0000"|""|""|"Development, career development"
"01-6004404"|"United Way of Kennebec Valley"|"62652"|"1301796"|"Goodwill Industris of Northern New England"|"347 Leighton Road"|"Augusta"|"ME"|"USA"|"04330"|"01-0284340"|"501(c)(3)"|"29000.0000"|"0.0000"|""|""|"Employment services and Good Works program"
"01-6004404"|"United Way of Kennebec Valley"|"62653"|"1301796"|"HealthReach Network"|"PO Box 829"|"Waterville"|"ME"|"USA"|"04903-0829"|"01-0524384"|"501(c)(3)"|"41490.0000"|"0.0000"|""|""|"Homecare, hospice, WIC, Horizon program & Maine General Health counseling program, RSVP program"
"01-6004404"|"United Way of Kennebec Valley"|"62654"|"1301796"|"Kennebec Valley YMCA"|"31 Union St."|"Augusta"|"ME"|"USA"|"04330"|"01-0211811"|"501(c)(3)"|"65000.0000"|"0.0000"|""|""|"Youth, teen & childcare services"
"01-6004404"|"United Way of Kennebec Valley"|"62655"|"1301796"|"Kennebec Behavioral Health"|"67 Eustis Parkway"|"Waterville"|"ME"|"USA"|"04901"|"01-0265559"|"501(c)(3)"|"28500.0000"|"0.0000"|""|""|"Substance abuse, capitol clubhouse, family visit"
"01-6004404"|"United Way of Kennebec Valley"|"62656"|"1301796"|"Literacy Volunteers of Greater Augusta"|"12 Spruce Street"|"Augusta"|"ME"|"USA"|"04330"|"23-7409748"|"501(c)(3)"|"15500.0000"|"0.0000"|""|""|"Community literacy"
"01-6004404"|"United Way of Kennebec Valley"|"62657"|"1301796"|"Maine Poison Control Center"|"Maine Medical Center"|"Portland"|"ME"|"USA"|"04102"|"01-0238552"|"501(c)(3)"|"1000.0000"|"0.0000"|""|""|"Poison control"
"01-6004404"|"United Way of Kennebec Valley"|"62658"|"1301796"|"Motivational Services"|"18 Green St."|"Augusta"|"ME"|"USA"|"04330"|"01-0342515"|"501(c)(3)"|"24000.0000"|"0.0000"|""|""|"LINC social club"
"01-6004404"|"United Way of Kennebec Valley"|"62659"|"1301796"|"Rural Community Action Ministry Emergency Shelter"|"81 Church Hill Road"|"Leeds"|"ME"|"USA"|"04263"|"23-7072697"|"501(c)(3)"|"20000.0000"|"0.0000"|""|""|"Housing, elderly and disabled"
"01-6004404"|"United Way of Kennebec Valley"|"62660"|"1301796"|"Southern kennebec Child Development"|"337 Maine Avenue"|"Farmingdale"|"ME"|"USA"|"04344"|"01-0285449"|"501(c)(3)"|"29000.0000"|"0.0000"|""|""|"Childcare & child development"
"01-6004404"|"United Way of Kennebec Valley"|"62661"|"1301796"|"Spectrum Generations"|"Town Farm Rd."|"Hallowell"|"ME"|"USA"|"04347"|"01-0318051"|"501(c)(3)"|"52000.0000"|"0.0000"|""|""|"Meals on Wheels"
"01-6004404"|"United Way of Kennebec Valley"|"62662"|"1301796"|"Sexual Assault Crisis & Support"|"PO Box 417"|"Winthrop"|"ME"|"USA"|"04364"|"22-2979419"|"501(c)(3)"|"22000.0000"|"0.0000"|""|""|"Sexual assault education"
"01-6004404"|"United Way of Kennebec Valley"|"62663"|"1301796"|"Gardiner Boys and Girls Club"|"14 Pray Street"|"Gardiner"|"ME"|"USA"|"04345"|"01-0344605"|"501(c)(3)"|"29000.0000"|"0.0000"|""|""|"Childcare subsidies and summer scholarships"
"01-6004404"|"United Way of Kennebec Valley"|"62664"|"1301796"|"Winthrop Area YMCA"|"29 Town Hall Lane"|"Winthrop"|"ME"|"USA"|"04364"|"01-0186800"|"501(c)(3)"|"20000.0000"|"0.0000"|""|""|"Youth and family programs/Kids' Club"
"01-6004404"|"United Way of Kennebec Valley"|"62665"|"1301796"|"NAMI Maine"|"1 Bangor Street"|"Augusta"|"ME"|"USA"|"04330"|"01-0406214"|"501(c)(3)"|"1400.0000"|"0.0000"|""|""|"Mental illness awareness"
"01-6004404"|"United Way of Kennebec Valley"|"62666"|"1301796"|"Legal Services for the Elderly"|"9 Green St."|"Augusta"|"ME"|"USA"|"04330"|"01-0359131"|"501(c)(3)"|"8000.0000"|"0.0000"|""|""|"Elder Abuse Law Project"
"01-6004404"|"United Way of Kennebec Valley"|"62667"|"1301796"|"American Red Cross, United Valley Chapter"|"1180 Lisbon Street"|"Lewiston"|"ME"|"USA"|"04240"|"53-0196605"|"501(c)(3)"|"24000.0000"|"0.0000"|""|""|"Disaster services"
"01-6004404"|"United Way of Kennebec Valley"|"62668"|"1301796"|"Community Dental Center"|"93 Main Street"|"Waterville"|"ME"|"USA"|"04901"|"01-0524329"|"501(c)(3)"|"16800.0000"|"0.0000"|""|""|"Dental clinic"
"01-6004404"|"United Way of Kennebec Valley"|"62669"|"1301796"|"Augusta Boys & Girls Club"|"22 Armory Street"|"Augusta"|"ME"|"USA"|"04330"|"01-0545750"|"501(c)(3)"|"10000.0000"|"0.0000"|""|""|"Americorp and Vista support"
"01-6004404"|"United Way of Kennebec Valley"|"62670"|"1301796"|"Children's Discovery Museum"|"171 Capitol Street"|"Augusta"|"ME"|"USA"|"04330"|"01-0437848"|"501(c)(3)"|"3000.0000"|"0.0000"|""|""|"Children's experiential education"
"01-6004404"|"United Way of Kennebec Valley"|"62671"|"1301796"|"All About Prevention"|"PO Box 57"|"Brunswick"|"ME"|"USA"|"04011"|"01-0427425"|"501(c)(3)"|"5500.0000"|"0.0000"|""|""|"HIV education and prevention"
"01-0544705"|"ST ANTHONYS MONASTERY ASSOCIATION"|"64591"|"1305778"|"FRANCISCAN MONASTERY"|"28 BEACH AVE"|"KENNEBUNK"|"ME"|"USA"|"04043"|"22-2288242"|"CHURCH"|"62300.0000"|""|""|""|"RESTORATION"
"01-0488811"|"MAINE STATE GOLF ASSOCIATION INC"|"66512"|"1309783"|"STATE OF MAINE CADDIE SCHOLARSHIP FUND"|"5 ROBIN LANE"|"FALMOUTH"|"ME"|"USA"|"04105"|"23-7124528"|"501(C)(3)"|"90031.0000"|"0.0000"|""|""|"ENABLE THE FUND TO PROVIDE SCHOLARSHIPS TO DESERVING UNDERGRADUATE COLLEGE STUDENTS"
"01-0505002"|"CAMDEN PUBLIC LIBRARY CENTENNIAL FUND"|"66513"|"1309785"|"CAMDEN PUBLIC LIBRARY"|"55 MAIN ST"|"CAMDEN"|"ME"|"USA"|"04843"|""|"170(B)(1)(A)(V)"|"32487.0000"|"0.0000"|""|""|"FUND LIBRARY OPERATIONS"
"01-0357314"|"MERCY ENDOWMENT FOUNDATION"|"68801"|"1314814"|"MERCY HOSPITAL"|"144 STATE STREET"|"PORTLAND"|"ME"|"USA"|"04101"|"01-0211534"|"501(C)(3)"|"1000000.0000"|""|""|""|"MERCY HOSPITAL CARDIOLOGY DEPARTMENT"
"01-0572814"|"HOUSTON TEXANS FOUNDATION"|"70286"|"1317044"|"SCHEDULE ATTACHED"|""|""|""|"USA"|""|""|""|"1096977.0000"|""|""|""|"EDUCATIONAL, FINANCI"
"01-0572814"|"HOUSTON TEXANS FOUNDATION"|"70287"|"1317044"|"SCHEDULE ATTACHED"|""|""|""|"USA"|""|""|""|""|"86203.0000"|""|""|"EDUCATION-YOUTH"
"01-0095414"|"INDEPENDENT ORDER OF ODD FELLOWS GRAND LODGE OF MAINE"|"70789"|"1317251"|"ODD FELLOWS' AND REBEKAHS' OF MAINE"|"85 CARON LANE"|"AUBURN"|"ME"|"USA"|"04210"|"01-0216655"|"3"|"13434.0000"|""|""|""|"OPERATIONS"
"01-0095414"|"INDEPENDENT ORDER OF ODD FELLOWS GRAND LODGE OF MAINE"|"70790"|"1317251"|"ODD FELLOWS' AND REBEKAHS' OF MAINE"|"85 CARON LANE"|"AUBURN"|"ME"|"USA"|"04210"|"01-0216655"|"3"|"70000.0000"|""|""|""|"IMPRO VEMENTS"
