"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"SCH_O_XII_CBX"|"ACCOUNT"|"FINS_REVIEWED_CBX"|"FINS_AUDITED_CBX"|"OVERSIGHT_COMMITTEE_CBX"|"SCB_STMT_CBX"|"RQ_AUDIT_CBX"|"DID_RQ_AUDIT_CBX"|"REVIEWED_SCB_CBX"|"AUDITED_SCB_CBX"
"01-0922089"|"GOOSES GAMERS BASEBALL INC"|"837337"|""|"C"|"N"|"N"|""|""|"N"|""|""|""
"01-0953997"|"Beacon of Hope"|"837346"|""|"C"|"N"|"N"|""|""|""|""|""|""
"01-0966281"|"IGLESIA CRISTIANADE EL DIOS VIVENTE"|"837357"|""|""|"N"|"N"|""|""|"N"|"N"|""|""
"02-0237992"|"American Legion Post #22-Guyer Carignan"|"837365"|"Y"|"A"|"N"|"N"|""|""|"N"|""|""|""
"01-0212172"|"WEBBER AVENUE SOCIAL CLUB INC"|"838394"|""|"A"|"N"|"N"|""|""|""|""|""|""
"01-0249865"|"Wiscasset Public Library"|"838397"|""|"C"|"N"|"N"|""|""|"N"|""|""|""
"01-0365191"|"ASSOCIATION OF SMALL BUSINESS DEV. CENTR"|"838400"|""|"A"|"N"|"Y"|"N"|"S"|"N"|""|""|""
"01-0453264"|"Maine Tree Foundation"|"838408"|""|"A"|"N"|"N"|""|""|"N"|""|""|""
"01-0505695"|"BOSSOV BALLET THEATRE BOSSOV BALLET THEATR"|"838411"|""|"C"|"N"|"N"|""|""|""|""|""|""
"01-0531191"|"Caribou Economic Growth Council foImerly Caribou Chamber of Commerce & I"|"838414"|""|"A"|"N"|"N"|""|""|"N"|""|""|""
"01-0589194"|"Brazilian Arts Foundation"|"838419"|""|"A"|"N"|"N"|""|""|"N"|""|""|""
"01-0596752"|"WORLD MISSIONS ADVANCE"|"838424"|""|"C"|"N"|"N"|""|""|""|""|""|""
"01-0659307"|"Jefferson Park Ministries, Inc"|"838443"|""|"A"|"Y"|"N"|""|"S"|"N"|""|""|""
"01-0716364"|"CNameoforganizationBranch Brook Park Alliance, Inc."|"838448"|"Y"|"A"|"N"|"Y"|"Y"|""|"N"|"Y"|""|""
"01-0865460"|"SAN MARINO COMMUNITY ATHLETICS ASSOCIATION"|"838464"|""|"C"|"N"|"N"|""|""|"N"|""|""|""
"01-0897461"|"United African Organization"|"838466"|""|"C"|"N"|"N"|""|""|"N"|""|""|""
"01-0966096"|"Maryland Dental Action Coalition, Inc."|"838468"|""|"A"|"N"|"Y"|"N"|"S"|"N"|""|""|""
"01-6024157"|"PEJEPSCOT HISTORICAL SOCIETY"|"838472"|""|"C"|"N"|"N"|""|""|"N"|""|""|""
"01-0211494"|"CENTRAL MAINE MEDICAL CENTER"|"839051"|""|"A"|"N"|"Y"|"Y"|"C"|"N"|""|""|""
"01-0211497"|"PRESIDENT & TRUSTEES OF COLBY COLLEGE"|"839058"|""|"A"|"N"|"Y"|"Y"|"S"|"Y"|"Y"|""|""
"01-0223482"|"Millinocket Regional Hospital"|"839061"|"Y"|"A"|"N"|"Y"|"Y"|"C"|"Y"|"Y"|""|""
"01-0272879"|"Skills Inc"|"839063"|"Y"|"A"|"N"|"Y"|"Y"|"C"|"N"|""|""|""
"01-0323280"|"Penguis Mental Health Association"|"839069"|"Y"|"A"|"N"|"Y"|"Y"|"S"|"N"|""|""|""
"01-0358090"|"SPRUCE RUN ASSOCIATION"|"839076"|""|"A"|"N"|"Y"|"Y"|"C"|"Y"|"Y"|""|""
"01-0368096"|"Alpha One"|"839081"|"Y"|"A"|"N"|"Y"|"Y"|"C"|"Y"|"Y"|""|""
"01-0482994"|"MAINE ADULT EDUCATION ASSOCIATION"|"839084"|""|"A"|"N"|"N"|""|""|"N"|""|""|""
"01-0488478"|"KENNEBEC VALLEY COUNCIL OF GOVERNMENTS"|"839092"|"Y"|"A"|"N"|"Y"|"Y"|"S"|"Y"|"Y"|""|""
"01-0553478"|"EAST MOUNTAIN HOSPITAL INC"|"839098"|""|"A"|"N"|"Y"|"Y"|"S"|"N"|""|""|""
"01-0560081"|"NATIONAL NURSING CENTERS CONSORTIUM INC"|"839104"|"Y"|"A"|"N"|"Y"|"Y"|"B"|"Y"|"Y"|""|""
"01-0598494"|"TEN CROSS STREET CORPORATION"|"839108"|"Y"|"A"|"N"|"Y"|"Y"|"B"|"Y"|"Y"|""|""
"01-0676306"|"Alliance Foundation for Community Health Inc"|"839112"|""|"A"|"N"|"Y"|"Y"|"C"|"N"|""|""|""
"01-0833578"|"ALLIANCE JUDY IVIE BURTON TECHNOLOGY ACADEMY HIGH SCHOOL"|"839121"|""|"A"|"N"|"Y"|"Y"|"C"|"Y"|"Y"|""|""
"01-0833582"|"ALLIANCE HUNTINGTON PARK COLLEGE-READY ACADEMY HIGH SCHOOL"|"839126"|""|"A"|"N"|"Y"|"Y"|"C"|"Y"|"Y"|""|""
"01-0833588"|"ALLIANCE RICHARD MERKIN MIDDLE SCHOOL"|"839130"|""|"A"|"N"|"Y"|"Y"|"C"|"Y"|"Y"|""|""
"01-6010995"|"Wayne Library Association"|"839138"|""|"C"|"N"|"N"|""|""|"N"|""|""|""
"01-6038250"|"BPO ELKS MILLINOCKET LODGE NO 1521"|"843498"|""|"A"|"Y"|"N"|"Y"|"C"|"N"|""|""|""
"01-0342596"|"BAR HARBOR HISTORICAL SOCIETY INC"|"845618"|""|"C"|"Y"|"N"|"Y"|"S"|"N"|""|""|""
"01-6114884"|"JOHN CHABOT EDUCATIONAL FOUNDATION TRUST"|"845620"|""|"C"|"N"|"N"|""|""|"N"|""|""|""
"01-0116390"|"SHRINERS INTERNATIONAL"|"846024"|""|"A"|"N"|"Y"|"Y"|"S"|""|""|""|""
"01-0220091"|"NORTHEAST HARBOR LIBRARY"|"846027"|""|"A"|"N"|"Y"|"N"|"S"|"N"|""|""|""
"01-0269721"|"Harraseeket Yacht Club"|"846031"|""|"C"|"N"|"N"|""|""|"N"|""|""|""
"01-0425115"|"MID-MAINE HOMELESS SHELTER"|"846034"|""|"A"|"N"|"N"|""|""|"N"|""|""|""
"01-0457896"|"C & M CONSULTING AND MANAGEMENT SERVICES"|"846037"|""|"A"|"N"|"N"|""|""|"N"|""|""|""
"01-0597551"|"THE CRADDOCK CENTER INC"|"846040"|""|"A"|"Y"|"N"|"Y"|"C"|"N"|""|""|""
"01-0649812"|"TWINSBURG YOUTH SOFTBALL LEAGUE INC"|"846043"|""|"A"|"N"|"N"|""|""|""|""|""|""
"01-0729385"|"The Chesapeake Rivers Association, Inc."|"846046"|""|"C"|"Y"|"Y"|"N"|"S"|"N"|""|""|""
"01-0769456"|"VENTURA HILLSIDES CONSERVANCY"|"846048"|""|"C"|"N"|"N"|""|""|"N"|""|""|""
"01-0954243"|"AMAZING GRACE EVANGELICAL MINISTRIES"|"846051"|""|"A"|"N"|"N"|"Y"|"S"|"N"|""|""|""
"01-0409063"|"Maine Education Credit Union"|"846061"|""|"A"|"N"|"N"|"N"|""|"N"|"N"|""|""
"01-0495262"|"SHAW HOUSE"|"846064"|""|"A"|"N"|"Y"|"Y"|"C"|"N"|""|""|""
"01-0729134"|"CLARE OAKS"|"846065"|""|"A"|"N"|"N"|""|""|"N"|""|""|""
"01-6006058"|"PORTLAND MAINE SYMPHONY ORCHESTRA"|"846066"|"Y"|"A"|"N"|"Y"|"Y"|"S"|"N"|""|""|""
"01-0903800"|"CARMEL IDEAS FOUNDATION"|"847752"|""|"C"|"Y"|"N"|"N"|""|"N"|""|""|""
"01-0211508"|"Good Will Home Association"|"847931"|"Y"|"A"|"N"|"Y"|"Y"|"S"|"N"|""|""|""
"01-0347504"|"COASTAL ENTERPRISES INC"|"847932"|""|"A"|"N"|"Y"|"Y"|"C"|"Y"|"Y"|""|""
"01-0387418"|"PENOBSCOT THEATRE COMPANY"|"847934"|""|"A"|"N"|"Y"|"Y"|"C"|"N"|""|""|""
"01-0434603"|"WOMEN UNLIMITED"|"847935"|"Y"|"A"|"N"|"Y"|"Y"|"S"|"N"|""|""|""
"01-0484310"|"MAINE INITIATIVESINC"|"847936"|""|"A"|"N"|"Y"|"Y"|"C"|"N"|""|""|""
"01-0527066"|"EASTERN MAINE HEALTHCARE SYSTEMS"|"847937"|""|"A"|"N"|"Y"|"Y"|"C"|"Y"|"Y"|""|""
"01-0612870"|"METHODIST TRANSPLANT PHYSICIANS"|"847938"|""|"A"|"N"|"N"|""|""|"N"|""|""|""
"01-0447619"|"MAHOOSUC LAND TRUST INC"|"847964"|""|"A"|"Y"|"N"|"Y"|"S"|"N"|""|""|""
"01-0536785"|"UNITY FOUNDATION"|"847966"|""|"A"|"N"|"Y"|"Y"|"S"|"N"|""|""|""
"01-0565782"|"The China Training Network"|"847968"|""|"C"|"N"|"N"|""|""|"N"|""|""|""
"01-0765675"|"JOAN MALE FAMILY SUPPORT CENTER FOUNDATION"|"847972"|""|"A"|"N"|"N"|""|""|""|""|""|""
"01-0974476"|"CHARTER BOARD PARTNERS"|"847974"|""|"C"|"N"|"N"|""|""|"N"|""|""|""
"02-0223176"|"NEW HAMPSHIRE MEDICAL SOCIETY"|"847975"|"Y"|"A"|"N"|"Y"|"Y"|"C"|"N"|""|""|""
"02-0239519"|"World Affairs Council of New Hampshire"|"847977"|""|"C"|"N"|"N"|""|""|"N"|""|""|""
"01-0224532"|"FRIEND MEMORIAL PUBLIC LIBRARY"|"850496"|"Y"|"A"|"Y"|"N"|"Y"|"S"|"N"|""|""|""
"01-0317540"|"Swans Island Educational Society"|"850498"|""|"A"|"N"|"N"|""|""|"N"|""|""|""
"01-0357548"|"The Conservation Trust of Brooksville, Castine & Penobscott"|"850501"|""|"C"|""|""|""|"S"|""|""|""|""
"01-0603034"|"Rural Health Collaborative of Southern Ohio"|"850504"|""|"A"|"N"|"N"|""|""|"N"|""|""|""
"01-0648145"|"ORTHOCAROLINA RESEARCH INSTITUTE, INC FMRLY O. L. MILLER RESEARCH INSTITUTE"|"850506"|""|"A"|"N"|"Y"|"Y"|"S"|"N"|""|""|""
"01-0904345"|"PHOENIX LODGE 2 FRATERNAL ORDER OF POLICE"|"850510"|""|"C"|"Y"|"N"|"N"|""|"N"|""|""|""
"01-0939141"|"RESTAURANT OPPORTUNITIES CENTERS UNITEC"|"850511"|""|"A"|"N"|"Y"|"Y"|"S"|"N"|""|""|""
"01-0964541"|"PRAISEALUJAH DISCIPLESHIP"|"850513"|""|"C"|"N"|"N"|""|""|""|""|""|""
"02-0223334"|"WEBSTER HOUSE"|"850516"|""|"A"|"N"|"Y"|"Y"|"S"|"N"|""|""|""
"01-0315847"|"HALFWAY HOUSE INC"|"850522"|""|"A"|"N"|"Y"|"N"|"S"|"N"|""|""|""
"01-0319524"|"MAINE PRESERVATION"|"850523"|""|"A"|"N"|"N"|""|""|"N"|""|""|""
"01-0377246"|"New Hope for Women, Inc."|"850526"|"Y"|"A"|"N"|"Y"|"Y"|"S"|"N"|""|""|""
"01-0496139"|"ISLAND COMMONS RESOURCE CENTER"|"850527"|""|"A"|"N"|"N"|""|""|"N"|""|""|""
"01-0546327"|"Sebasticook Family Doctors"|"850528"|"Y"|"A"|"N"|"Y"|"Y"|"S"|"Y"|"Y"|""|""
"01-0630527"|"PERSONAL ASSISTANCE OPTIONS INC"|"850531"|""|"A"|"N"|"Y"|"Y"|"C"|"N"|""|""|""
"01-0384674"|"CONVENTION & VISITORS BUREAU OF GREATER PORTLAND"|"852668"|""|"C"|"N"|"N"|""|""|"N"|""|""|""
"01-0318746"|"BELFAST AREA CHAMBER OF COMMERCE"|"852937"|""|"C"|"N"|"N"|""|""|"N"|""|""|""
"01-0412221"|"Maine Council of Self Insurers"|"852938"|""|"C"|"Y"|"Y"|"Y"|""|"N"|""|""|""
"01-0654320"|"The Lio Mission Inc."|"852940"|"Y"|"A"|"N"|"N"|""|""|"N"|"N"|""|""
"01-0211542"|"CATHERINE MORRILL DAY NURSERY"|"852964"|"Y"|"A"|"N"|"Y"|"Y"|"S"|"N"|""|""|""
"01-0315849"|"AROOSTOOK COUNTY ACTION PROGRAMS INC"|"852966"|""|"A"|"N"|"Y"|"Y"|"S"|"Y"|"Y"|""|""
"01-0865446"|"Cosby High School Athletic Boosters"|"853229"|""|""|""|""|""|""|""|""|""|""
"01-0495250"|"Ingraham Housing Corporation"|"853388"|"Y"|"A"|"N"|"Y"|"Y"|""|"N"|""|""|""
"01-0153960"|"ST ANDREWS HOSPITAL"|"853594"|""|"A"|"N"|"Y"|"Y"|"S"|"N"|""|""|""
"01-0315732"|"Midcoast Maine Community Action"|"853595"|"Y"|"A"|"N"|"Y"|"Y"|"S"|"Y"|"Y"|""|""
"01-0465231"|"Norumbega Medical Specialists LTD"|"853597"|""|"A"|"N"|"Y"|"Y"|"C"|"N"|""|""|""
"01-0263628"|"SEBASTICOOK VALLEY HEALTH"|"853837"|""|"A"|"N"|"Y"|"Y"|"B"|"N"|""|""|""
"01-0849648"|"ACADEMY IN MANAYUNK"|"853838"|""|"A"|"N"|"Y"|"Y"|"S"|"N"|""|""|""
"01-0187940"|"ROCKLAND CEMETERY ASSOCIATION"|"854038"|""|"A"|"Y"|"N"|"Y"|"S"|"N"|""|""|""
"01-0277678"|"Kennebec Valley Community Action Program"|"854124"|"Y"|"A"|"N"|"Y"|"Y"|"S"|"Y"|"Y"|""|""
"01-0618964"|"OASIS CARE, INC."|"854125"|""|"A"|"N"|"N"|""|""|"Y"|"N"|""|""
"01-0366464"|"KATAHDIN SHARED SERVICES INC"|"854203"|"Y"|"A"|"Y"|"Y"|"Y"|""|"N"|""|""|""
"01-0418902"|"United Bikers of Maine"|"854204"|""|"O"|"N"|"N"|""|""|""|""|""|""
"02-0205076"|"WINONA SOCIAL CLUB, INC"|"854456"|""|"O"|"N"|"N"|""|""|"N"|""|""|""
"01-0100593"|"KENNEBUNK RIVER CLUB"|"855026"|""|"A"|"N"|"N"|""|""|""|""|""|""
"02-0127246"|"GREATER DOVER CHAMBER OF COMMERCE"|"855031"|""|"A"|"Y"|"N"|"Y"|"S"|"N"|""|""|""
"01-0234189"|"Northern Maine Medical Center"|"855113"|"Y"|"A"|"N"|"Y"|"Y"|"C"|"N"|""|""|""
"01-0377901"|"Eastern Maine Medical Center Auxiliary"|"855117"|""|"A"|"N"|"Y"|"Y"|"C"|"N"|""|""|""
"01-0382340"|"COVE'S EDGE INC"|"855119"|""|"A"|"N"|"Y"|"Y"|"S"|"N"|""|""|""
"01-0421234"|"Lakewood A Continuing Care Center"|"855122"|""|"A"|"N"|"Y"|"Y"|"C"|"N"|"N"|""|""
"01-0430751"|"Rosscare Nursing Homes, Inc."|"855125"|""|"A"|"N"|"Y"|"Y"|"C"|"N"|""|""|""
"01-0459837"|"Acadia Hospital Corporation"|"855127"|""|"A"|"N"|"Y"|"Y"|"C"|"N"|"N"|""|""
"01-0487091"|"COASTAL MEDICAL CARE"|"855129"|""|"A"|"N"|"Y"|"Y"|"S"|"N"|""|""|""
"01-0489824"|"WESTERN MAINE MULTI-MEDICAL SPECIALISTS"|"855132"|""|"A"|"N"|"Y"|"Y"|"S"|"N"|""|""|""
"01-0524835"|"SPRING HARBOR COMMUNITY SERVICES"|"855133"|""|"A"|"N"|"Y"|"Y"|"S"|"N"|""|""|""
"01-0542842"|"GERIATRIC RESOURCE NETWORK"|"855135"|"Y"|"A"|"N"|"N"|""|""|"Y"|"Y"|""|""
"01-0569403"|"HRCA BROOKLINE HOUSING 1550 BEACON PLAZA INC"|"855138"|"Y"|"A"|"N"|"Y"|"Y"|"B"|"N"|""|""|""
"01-0818232"|"COMMUNITY CONNECTIONS REAL ESTATE FOUNDATION"|"855140"|"Y"|"A"|"N"|"Y"|"Y"|"B"|"N"|""|""|""
"01-6023681"|"VISITING BOARD OF THE CHILDREN'S HOSPITAL"|"855142"|""|"A"|"N"|"N"|""|""|"N"|""|""|""
"02-0222157"|"Monadnock Community Hospital"|"855150"|"Y"|"A"|"N"|"Y"|"Y"|"S"|"N"|""|""|""
"01-0211781"|"PRESIDENT AND TRUSTEES OF BATES COLLEGE"|"860414"|""|"A"|"N"|"Y"|"Y"|"S"|"Y"|"Y"|""|""
"01-0212444"|"York Hospital"|"860415"|""|"A"|"N"|"Y"|"Y"|"S"|"N"|""|""|""
"01-0284446"|"REDINGTON-FAIRVIEW GENERAL HOSPITAL"|"860416"|""|"A"|"N"|"Y"|"Y"|"S"|"N"|"N"|""|""
"01-0328442"|"EASTERN MAINE HOMECARE"|"860417"|"Y"|"A"|"N"|"Y"|"Y"|"S"|"N"|""|""|""
"01-0424969"|"COMMUNITY CONCEPTS INC"|"860418"|"Y"|"A"|"N"|"Y"|"Y"|"B"|"Y"|"Y"|""|""
"01-0484154"|"MAHC INC"|"860419"|""|"A"|"Y"|"N"|""|"C"|"N"|""|""|""
"01-0496076"|"FRATERNAL ORDER OF EAGLES #4352"|"860420"|""|"C"|"Y"|"Y"|"Y"|""|"N"|""|""|""
"01-0540981"|"COMMUNITY CONCEPTS FINANCE CORPORATION"|"860421"|"Y"|"A"|"N"|"Y"|"Y"|"B"|"N"|""|""|""
"01-0727280"|"BRONX CHARTER SCHOOL FOR THE ARTS"|"860422"|"Y"|"A"|"N"|"Y"|"Y"|"S"|"Y"|"Y"|""|""
"01-0729555"|"FIRST DEFENSE LEGAL AID"|"860423"|""|""|""|""|""|""|""|""|""|""
"01-0782573"|"Advisors Charitable Gift Fund"|"860424"|""|"A"|"N"|"Y"|"Y"|""|"N"|""|""|""
"02-0222174"|"PHILLIPS EXETER ACADEMY"|"860425"|""|"A"|"N"|"Y"|"Y"|"S"|"N"|""|""|""
"02-0222182"|"SAINT ANSELM COLLEGE"|"860426"|""|"A"|"N"|"Y"|"Y"|"S"|"Y"|"Y"|""|""
"01-0562775"|"NEW JERSEY EMERGENCY PREPAREDNESS AS"|"861450"|""|"A"|"N"|"Y"|"Y"|""|"N"|""|""|""
"01-0697869"|"ATZUM, INC."|"861451"|""|"C"|"Y"|"N"|""|""|""|""|""|""
"01-0914846"|"COMMUNITY IST-AMERICA'S CHARITIES OF GREATER WASHINGTON DC"|"861452"|""|"A"|"N"|"Y"|"Y"|"C"|"N"|""|""|""
"01-0371166"|"PENOBSCOT CHRISTIAN SCHOOL"|"862334"|""|"A"|"N"|"N"|""|""|"N"|""|""|""
"01-0179500"|"THE WEBBER HOSPITAL ASSOC"|"862775"|""|"A"|"N"|"Y"|"Y"|"S"|"N"|""|""|""
"01-0211485"|"YOUNG MEN'S CHRISTIAN ASSOCIATION BANGOR"|"862776"|""|"A"|"N"|"Y"|"Y"|"C"|"N"|""|""|""
"01-0211501"|"Eastern Maine Medical Center"|"862777"|""|"A"|"N"|"Y"|"Y"|"C"|"Y"|"Y"|""|""
"01-0211505"|"THE TRUSTEES OF FRYEBURG ACADEMY"|"862778"|""|"A"|"Y"|"Y"|"Y"|"S"|"N"|""|""|""
"01-0211796"|"MILES MEMORIAL HOSPITAL"|"862779"|""|"A"|"N"|"Y"|"Y"|"S"|"N"|""|""|""
"01-0215911"|"Mid Coast Hospital"|"862780"|"Y"|"A"|"N"|"Y"|"Y"|"B"|"Y"|"Y"|""|""
"01-0217211"|"INLAND HOSPITAL"|"862781"|""|"A"|"N"|"Y"|"Y"|"C"|"N"|"N"|""|""
"01-0219904"|"STEPHENS MEMORIAL HOSPITAL ASSOC"|"862782"|""|"A"|"N"|"Y"|"Y"|"B"|"N"|""|""|""
"01-0227195"|"BLUE HILL MEMORIAL HOSPITAL"|"862783"|""|"A"|"N"|"Y"|"Y"|"B"|"N"|"N"|""|""
"01-0266289"|"Maine Hospital Association Inc"|"862784"|"Y"|"A"|"N"|"Y"|"Y"|"C"|"N"|""|""|""
"01-0280225"|"Catholic Charities Maine"|"862785"|"Y"|"A"|"N"|"Y"|"Y"|"C"|"Y"|"Y"|""|""
"01-0389222"|"TAMC ENDOWMENTS"|"862786"|""|"A"|"N"|"Y"|"N"|"C"|"N"|"N"|""|""
"01-0389226"|"TAMC TITLE CORPORATION"|"862787"|""|"A"|"N"|"Y"|"N"|"C"|"N"|"N"|""|""
"01-0411788"|"WESTERN MAINE HEALTH CARE CORP"|"862788"|""|"A"|"N"|"Y"|"Y"|"S"|"N"|""|""|""
"01-0431680"|"MAINEHEALTH"|"862789"|""|"A"|"N"|"Y"|"Y"|"S"|"Y"|"Y"|""|""
"01-0434215"|"MMC REALTY CORP"|"862790"|""|"A"|"N"|"Y"|"Y"|"S"|"N"|""|""|""
"01-0496221"|"Mid Coast Geriatric Services Corporation"|"862792"|"Y"|"A"|"N"|"Y"|"Y"|"B"|"N"|""|""|""
"01-0511356"|"NORDX"|"862794"|""|"A"|"N"|"Y"|"Y"|"S"|"N"|""|""|""
"01-0524834"|"SPRING HARBOR HOSPITAL"|"862795"|""|"A"|"N"|"Y"|"Y"|"S"|"N"|""|""|""
"01-0547055"|"Maine Community Action Association"|"862796"|"Y"|"A"|"N"|"Y"|"Y"|"S"|"Y"|"Y"|""|""
"01-0560598"|"CHILD DEVELOPMENT CENTER CORPORATION"|"862797"|""|"A"|"N"|"Y"|"Y"|"C"|"N"|""|""|""
"01-0569404"|"CENTER COMMUNITIES OF BROOKLINE INC"|"862798"|"Y"|"A"|"N"|"Y"|"Y"|"B"|"N"|""|""|""
"01-0628051"|"SHOLOM COMMUNITY ALLIANCE HOME HEALTHCARE"|"862799"|""|"A"|"N"|"Y"|"Y"|"C"|"N"|""|""|""
"01-0732928"|"US RUSSIA FOUNDATION FOR ECONOMIC ADVANCEMENT AND THE RULE OF LAW"|"862800"|"Y"|"A"|"N"|"Y"|"Y"|"S"|"N"|""|""|""
"01-0829282"|"GOOD SHEPHERD MEDICAL CENTER-LINDEN"|"862801"|"Y"|"A"|"N"|"Y"|"Y"|"C"|"N"|""|""|""
"01-0852888"|"TEAM READ"|"862802"|"Y"|"A"|"Y"|"N"|"Y"|"S"|"N"|""|""|""
"02-0110580"|"Blue Mountain Forest Association"|"862803"|"Y"|"A"|"Y"|"N"|"Y"|"S"|"N"|""|""|""
"02-0179953"|"GREATER PORTSMOUTH CHAMBER OF COMMERCE"|"862804"|"Y"|"A"|"N"|"N"|""|""|"N"|""|""|""
"02-0222131"|"FRISBIE MEMORIAL HOSPITAL"|"862805"|""|"A"|"N"|"Y"|"Y"|"C"|"N"|""|""|""
"01-0195310"|"THE YORKS CHAMBER OF COMMERCE INC"|"864958"|""|"A"|"N"|"N"|""|""|"N"|""|""|""
"01-0427824"|"WATERSHED CENTER FOR THE CERAMIC ARTS"|"864959"|""|"A"|"N"|"N"|""|""|"N"|""|""|""
"01-0671151"|"American Friends of Lucerne Festival"|"864962"|""|"C"|"Y"|"Y"|"N"|"S"|""|""|""|""
"01-0777925"|"ELEVA BROILER FESTIVAL INC"|"864964"|""|"C"|"N"|"N"|""|""|""|""|""|""
"01-0838125"|"SAFE FAMILY MINISTRIES"|"864966"|""|"C"|"Y"|"Y"|"Y"|""|"N"|""|""|""
"01-0890941"|"LAHAK HANOCHOS INC"|"864968"|""|"A"|"N"|"N"|""|""|"N"|""|""|""
"01-0906593"|"MANAGEMENT SERVICES, INC"|"864969"|""|"A"|"N"|"Y"|"Y"|"C"|"N"|""|""|""
"01-0908221"|"HOLSTEN HUMAN CAPITAL DEVELOPMENT NFP"|"864970"|""|"A"|"N"|"N"|""|""|"N"|""|""|""
"01-0941732"|"Connecticut Catholic Public Affairs Conference, Inc."|"864971"|""|"C"|"N"|"N"|""|""|"N"|""|""|""
"02-0102440"|"ABENAQUI COUNTRY CLUB, INC."|"864972"|""|"A"|"Y"|"N"|"Y"|""|"N"|""|""|""
"02-0103680"|"American Guernsey Association"|"864973"|""|"A"|"Y"|"N"|"N"|"C"|"N"|""|""|""
"01-0061310"|"Fraternal Order of Eagles"|"866812"|""|"C"|"N"|"N"|""|""|"N"|""|""|""
"02-0130185"|"ROCHESTER LODGE OF ELKS #1393"|"866814"|""|"A"|"N"|"N"|""|""|"N"|""|""|""
"01-0177170"|"WALDO COUNTY GENERAL HOSPITAL"|"867258"|""|"A"|"N"|"Y"|"Y"|"B"|"N"|""|""|""
"01-0724306"|"THE PHILLY AND CHARLIE DAKE FOUNDATION"|"867414"|""|"A"|"N"|"Y"|"Y"|"S"|"N"|""|""|""
"01-0833397"|"Global Refuge International"|"867415"|""|"A"|"Y"|"N"|"N"|"S"|"N"|""|""|""
"01-6010198"|"AUBURN MASONIC ASSOCIATION"|"867416"|""|"C"|"N"|"N"|""|""|"N"|""|""|""
"01-0749311"|"UFCW UNIONS & PARTICIPATING EMPLOYERS HEALTH & WELFARE FUND"|"867962"|""|"A"|"N"|"Y"|"Y"|"C"|""|""|""|""
"02-0223390"|"MANCHESTER HISTORIC ASSOCIATION"|"867963"|""|"A"|"N"|"Y"|"Y"|"S"|"N"|""|""|""
"01-0095705"|"International Brotherhood of Electrical Workers Local 567"|"868421"|""|"C"|"N"|"N"|""|""|"N"|""|""|""
"01-0131390"|"OAKDALE COUNTRY CLUB"|"868422"|""|"C"|"N"|"N"|""|""|"N"|""|""|""
"01-0211811"|"Kennebec Valley YMCA"|"868423"|"Y"|"A"|"N"|"Y"|"Y"|"S"|"N"|""|""|""
"01-0211813"|"PENOBSCOT BAY YMCA"|"868424"|""|"A"|"N"|"Y"|"Y"|"C"|"N"|""|""|""
"01-0241528"|"SOUTHWEST HARBOR LIBRARY"|"868425"|""|"A"|"N"|"N"|""|""|"N"|""|""|""
"01-0269301"|"MAINE ASSOCIATION OF REALTORS"|"868426"|"Y"|"O"|"Y"|"N"|"Y"|""|"N"|"N"|""|""
"01-0287814"|"Caribou Country Club"|"868427"|""|"C"|"N"|"N"|""|""|"N"|""|""|""
"01-0369904"|"CASA INC"|"868428"|""|"A"|"N"|"Y"|"N"|"S"|"N"|""|""|""
"01-0377308"|"BELGRADE LAKES ASSOCIATION"|"868429"|""|"C"|"Y"|"Y"|"Y"|"S"|"N"|""|""|""
"01-0390410"|"MAINE SELF-INSURANCE GUARANTEE ASSOCIATION"|"868430"|""|"A"|"N"|"Y"|"N"|"S"|"N"|"N"|""|""
"01-0457499"|"ST MARTIN DE PORRES RESIDENCE INC"|"868431"|""|"A"|"N"|"Y"|"N"|"S"|"N"|""|""|""
"01-0477310"|"CHRISTIAN MISSION SERVICES"|"868432"|""|"C"|"N"|"N"|""|""|"N"|""|""|""
"01-0507505"|"MAINE DAIRY PROMOTION BOARD"|"868433"|"Y"|"A"|"N"|"Y"|"Y"|"S"|"N"|""|""|""
"01-0507513"|"MAINE DAIRY AND NUTRITION COUNCIL"|"868434"|"Y"|"A"|"N"|"Y"|"Y"|"S"|"N"|""|""|""
"01-0523209"|"MAINE COMPOSITES ALLIANCE"|"868435"|""|"A"|"N"|"N"|""|""|"N"|""|""|""
"01-0536008"|"MAINE CONSERVATION VOTERS"|"868437"|""|"A"|"Y"|"N"|"Y"|"S"|"N"|""|""|""
"01-0621026"|"INSTITUTO MAZATLAN BELLAS ARTES DE SACRAMENTO"|"868438"|""|"C"|"N"|"N"|""|""|"N"|""|""|""
"01-0645907"|"LIFE EDUCATION FOUNDATION"|"868439"|""|"C"|"Y"|"N"|"Y"|"S"|"N"|""|""|""
"01-0654014"|"Ministry Services Group, Inc"|"868440"|""|"C"|"N"|"N"|""|""|"N"|""|""|""
"01-0678012"|"MCDUFFIE MUSEUM INC"|"868441"|""|"C"|"N"|"N"|""|""|"N"|""|""|""
"01-0688619"|"WHITE OAK GROVE OUTREACH CENTER INC"|"868442"|""|"C"|"Y"|"N"|"N"|""|"N"|""|""|""
"01-0709509"|"SINGLES PLEASING THE LORD INC"|"868443"|""|"C"|"N"|"N"|""|""|"N"|""|""|""
