"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"FIRM_NAME"|"FIRM_STREET"|"FIRM_CITY"|"FIRM_STATE"|"FIRM_COUNTRY"|"FIRM_ZIP"|"FIRM_EIN"|"FIRM_PHONE"|"DISCUSS_WITH_PREPARER_CBX"|"PREP_SELF_EMP_CBX"
"02-0127246"|"GREATER DOVER CHAMBER OF COMMERCE"|"855031"|"HODGDON, WILSON & GRIFFIN, CPAS"|"600 STATE ST STE B"|"PORTSMOUTH"|"NH"|"USA"|"03801-4385"|"02-0400922"|"603-436-9101"|""|""
"01-0234189"|"Northern Maine Medical Center"|"855113"|"Baker Newman & Noyes"|"Box 507"|"Portland"|"ME"|"USA"|"04112"|""|"207-879-2100"|"Y"|""
"01-0377901"|"Eastern Maine Medical Center Auxiliary"|"855117"|""|""|""|""|""|""|""|""|"N"|""
"01-0382340"|"COVE'S EDGE INC"|"855119"|"MAINEHEALTH"|"110 FREE ST"|"PORTLAND"|"ME"|"USA"|"04101-3908"|""|""|"N"|""
"01-0421234"|"Lakewood A Continuing Care Center"|"855122"|""|""|""|""|""|""|""|""|""|""
"01-0430751"|"Rosscare Nursing Homes, Inc."|"855125"|""|""|""|""|""|""|""|""|"N"|""
"01-0459837"|"Acadia Hospital Corporation"|"855127"|""|""|""|""|""|""|""|""|""|""
"01-0487091"|"COASTAL MEDICAL CARE"|"855129"|"MAINEHEALTH"|"110 FREE ST"|"PORTLAND"|"ME"|"USA"|"04101-3908"|""|""|"N"|""
"01-0489824"|"WESTERN MAINE MULTI-MEDICAL SPECIALISTS"|"855132"|"MAINEHEALTH"|"110 FREE ST"|"PORTLAND"|"ME"|"USA"|"04101-3908"|""|""|"N"|""
"01-0524835"|"SPRING HARBOR COMMUNITY SERVICES"|"855133"|"MAINEHEALTH"|"110 FREE ST"|"PORTLAND"|"ME"|"USA"|"04101-3908"|""|""|""|""
"01-0542842"|"GERIATRIC RESOURCE NETWORK"|"855135"|"MAINEHEALTH"|"110 FREE ST"|"PORTLAND"|"ME"|"USA"|"04101-3908"|""|""|"N"|""
"01-0569403"|"HRCA BROOKLINE HOUSING 1550 BEACON PLAZA INC"|"855138"|"CLIFTONLARSONALLEN LLP"|"300 CROWN COLONY DRIVE SUITE 310"|"QUINCY"|"MA"|"USA"|"02169"|""|"617-984-8100"|"Y"|""
"01-0818232"|"COMMUNITY CONNECTIONS REAL ESTATE FOUNDATION"|"855140"|"RUBINO & MCGEEHIN CHARTERED"|"6903 ROCKLEDGE DRIVE SUITE 1200"|"BETHESDA"|"MD"|"USA"|"20817"|""|"301-564-3636"|"Y"|""
"01-6023681"|"VISITING BOARD OF THE CHILDREN'S HOSPITAL"|"855142"|"MAINEHEALTH"|"110 FREE ST"|"PORTLAND"|"ME"|"USA"|"04101-3908"|""|""|""|""
"02-0222157"|"Monadnock Community Hospital"|"855150"|"BAKER NEWMAN & NOYES"|"BOX 507"|"PORTLAND"|"ME"|"USA"|"04112"|""|"207-879-2100"|"Y"|""
"01-0484154"|"MAHC INC"|"860419"|"HOBSON & COMPANY LLC"|"PO BOX 108"|"SACO"|"ME"|"USA"|"04072-0108"|""|"207-283-0023"|"Y"|""
"01-0496076"|"FRATERNAL ORDER OF EAGLES #4352"|"860420"|""|""|""|""|""|""|""|""|""|""
"01-0540981"|"COMMUNITY CONCEPTS FINANCE CORPORATION"|"860421"|"RUNYON KERSTEEN OUELLETTE"|"20 LONG CREEK DRIVE"|"SOUTH PORTLAND"|"ME"|"USA"|"04106"|""|"207-773-2986"|"Y"|""
"01-0727280"|"BRONX CHARTER SCHOOL FOR THE ARTS"|"860422"|"LUTZ AND CARR CPAS LLP"|"300 EAST 42ND STREET"|"NEW YORK"|"NY"|"USA"|"10017"|""|"212-697-2299"|"Y"|""
"01-0729555"|"FIRST DEFENSE LEGAL AID"|"860423"|"A.L. TAYLOR & ASSOCIATES, PC"|"119 EAST 95TH STREET"|"CHICAGO"|"IL"|"USA"|"60619"|"36-3818674"|"773-990-2990"|"Y"|""
"01-0782573"|"Advisors Charitable Gift Fund"|"860424"|"Northeast Retirement Services"|"4A Gill St"|"Woburn"|"MA"|"USA"|"01801-2124"|"04-2686260"|"781-970-5020"|""|""
"02-0222174"|"PHILLIPS EXETER ACADEMY"|"860425"|"PricewaterhouseCoopers LLP"|"125 High Street"|"Boston"|"MA"|"USA"|"02110"|""|"617-530-5000"|"Y"|""
"02-0222182"|"SAINT ANSELM COLLEGE"|"860426"|""|""|""|""|""|""|""|""|""|""
"01-0211781"|"PRESIDENT AND TRUSTEES OF BATES COLLEGE"|"860414"|""|""|""|""|""|""|""|""|""|""
"01-0212444"|"York Hospital"|"860415"|"BAKER NEWMAN & NOYES"|"PO BOX 507"|"PORTLAND"|"ME"|"USA"|"04112"|""|"207-879-2100"|""|""
"01-0284446"|"REDINGTON-FAIRVIEW GENERAL HOSPITAL"|"860416"|"Macdonald Page & Co LLC"|"30 Long Creek Dr"|"South Portland"|"ME"|"USA"|"04106"|""|"207-774-5701"|""|""
"01-0328442"|"EASTERN MAINE HOMECARE"|"860417"|"BRAD BORBIDGE PA"|"197 LOUDON ROAD STE 350"|"CONCORD"|"NH"|"USA"|"03301"|""|"603-224-0849"|"Y"|""
"01-0424969"|"COMMUNITY CONCEPTS INC"|"860418"|"RUNYON KERSTEEN OUELLETTE"|"20 LONG CREEK DRIVE"|"SOUTH PORTLAND"|"ME"|"USA"|"04106"|""|"207-773-2986"|"Y"|""
"01-0266289"|"Maine Hospital Association Inc"|"862784"|"Berry Dunn McNeil & Parker LLC"|"PO Box 1100"|"Portland"|"ME"|"USA"|"04104-1100"|""|"207-775-2387"|"Y"|""
"01-0628051"|"SHOLOM COMMUNITY ALLIANCE HOME HEALTHCARE"|"862799"|"CLIFTONLARSONALLEN LLP"|"220 SOUTH SIXTH STREET SUITE 300"|"MINNEAPOLIS"|"MN"|"USA"|"55402"|""|"612-376-4500"|"Y"|""
"01-0732928"|"US RUSSIA FOUNDATION FOR ECONOMIC ADVANCEMENT AND THE RULE OF LAW"|"862800"|"LEFKOWITZ GARFINKEL ET AL PC"|"TEN WEYBOSSET STREET - SUITE 700"|"PROVIDENCE"|"RI"|"USA"|"02903"|""|"401-421-4800"|"Y"|""
"01-0829282"|"GOOD SHEPHERD MEDICAL CENTER-LINDEN"|"862801"|"BKD LLP"|"2800 POST OAK BLVD STE 3200"|"HOUSTON"|"TX"|"USA"|"77056"|""|"713-499-4600"|"Y"|""
"01-0852888"|"TEAM READ"|"862802"|"CLIFTONLARSONALLEN LLP"|"3000 NORTHUP WAY SUITE 200"|"BELLEVUE"|"WA"|"USA"|"98004-1446"|""|"425-250-6100"|"Y"|""
"02-0110580"|"Blue Mountain Forest Association"|"862803"|"Berry Dunn McNeil & Parker LLC"|"1000 Elm Street 15th Floor"|"Manchester"|"NH"|"USA"|"03101"|""|"603-669-7337"|"Y"|""
"02-0179953"|"GREATER PORTSMOUTH CHAMBER OF COMMERCE"|"862804"|"BIGELOW & COMPANY CPA, P . C ."|"500 MARKET STREET SUITE 5"|"PORTSMOUTH"|"NH"|"USA"|"03801"|""|"603-433-7383"|""|""
"02-0222131"|"FRISBIE MEMORIAL HOSPITAL"|"862805"|""|""|""|""|""|""|""|""|""|""
"01-0280225"|"Catholic Charities Maine"|"862785"|"Berry Dunn McNeil & Parker LLC"|"PO Box 1100"|"Portland"|"ME"|"USA"|"04104-1100"|""|"207-775-2387"|"Y"|""
"01-0389222"|"TAMC ENDOWMENTS"|"862786"|""|""|""|""|""|""|""|""|""|""
"01-0389226"|"TAMC TITLE CORPORATION"|"862787"|""|""|""|""|""|""|""|""|""|""
"01-0411788"|"WESTERN MAINE HEALTH CARE CORP"|"862788"|"MAINEHEALTH"|"110 FREE ST"|"PORTLAND"|"ME"|"USA"|"04101-3908"|""|""|"N"|""
"01-0431680"|"MAINEHEALTH"|"862789"|"MAINEHEALTH"|"110 FREE ST"|"PORTLAND"|"ME"|"USA"|"04101-3908"|""|""|""|""
"01-0434215"|"MMC REALTY CORP"|"862790"|"MAINEHEALTH"|"110 FREE ST"|"PORTLAND"|"ME"|"USA"|"04101-3908"|""|""|""|""
"01-0496221"|"Mid Coast Geriatric Services Corporation"|"862792"|"BAKER NEWMAN & NOYES LLC"|"PO BOX 507"|"PORTLAND"|"ME"|"USA"|"04112"|""|"207-879-2100"|""|""
"01-0562775"|"NEW JERSEY EMERGENCY PREPAREDNESS AS"|"861450"|"Neal Curry CPA"|"517 White Horse Pike"|"Haddon Heights"|"NJ"|"USA"|"08035-1708"|"22-3339059"|"856-546-4683"|"N"|""
"01-0697869"|"ATZUM, INC."|"861451"|"BACHRACH, WASCHITZ & WASCHITZ, LLP"|"PO Box 871, 598 W. Broadway"|"Monticello"|"NY"|"USA"|"12701"|"14-0697030"|"845-794-5210"|""|""
"01-0914846"|"COMMUNITY IST-AMERICA'S CHARITIES OF GREATER WASHINGTON DC"|"861452"|"RAFFA, P.C."|"1899 L STREET NW, SUITE 900"|"WASHINGTON"|"DC"|"USA"|"20036"|"52-1511275"|"202-822-5000"|"Y"|""
"01-0179500"|"THE WEBBER HOSPITAL ASSOC"|"862775"|"MAINEHEALTH"|"110 FREE ST"|"PORTLAND"|"ME"|"USA"|"04101-3908"|""|""|""|""
"01-0211485"|"YOUNG MEN'S CHRISTIAN ASSOCIATION BANGOR"|"862776"|"EDWARDS FAUST & SMITH"|"716 UNION ST"|"BANGOR"|"ME"|"USA"|"04401-3156"|""|"207-947-4575"|"Y"|""
"01-0211501"|"Eastern Maine Medical Center"|"862777"|""|""|""|""|""|""|""|""|""|""
"01-0211505"|"THE TRUSTEES OF FRYEBURG ACADEMY"|"862778"|""|""|""|""|""|""|""|""|""|""
"01-0211796"|"MILES MEMORIAL HOSPITAL"|"862779"|"MAINEHEALTH"|"110 FREE ST"|"PORTLAND"|"ME"|"USA"|"04101-3908"|""|""|"N"|""
"01-0215911"|"Mid Coast Hospital"|"862780"|"BAKER NEWMAN & NOYES"|"BOX 507"|"PORTLAND"|"ME"|"USA"|"04112"|""|"207-879-2100"|"Y"|""
"01-0217211"|"INLAND HOSPITAL"|"862781"|""|""|""|""|""|""|""|""|""|""
"01-0219904"|"STEPHENS MEMORIAL HOSPITAL ASSOC"|"862782"|"MAINEHEALTH"|"110 FREE ST"|"PORTLAND"|"ME"|"USA"|"04101-3908"|""|""|"N"|""
"01-0227195"|"BLUE HILL MEMORIAL HOSPITAL"|"862783"|""|""|""|""|""|""|""|""|""|""
"01-0511356"|"NORDX"|"862794"|"MAINEHEALTH"|"110 FREE ST"|"PORTLAND"|"ME"|"USA"|"04101-3908"|""|""|""|""
"01-0524834"|"SPRING HARBOR HOSPITAL"|"862795"|"MAINEHEALTH"|"110 FREE ST"|"PORTLAND"|"ME"|"USA"|"04101-3908"|""|""|""|""
"01-0547055"|"Maine Community Action Association"|"862796"|"Gibson LeClair, LLC"|"150 Capitol Street, Suite 3"|"Augusta"|"ME"|"USA"|"04330"|""|"207-623-8401"|""|""
"01-0560598"|"CHILD DEVELOPMENT CENTER CORPORATION"|"862797"|"PARENTEBEARD LLC"|"400 MARKET STREET"|"WILLIAMSPORT"|"PA"|"USA"|"17701"|""|"570-323-6023"|"Y"|""
"01-0569404"|"CENTER COMMUNITIES OF BROOKLINE INC"|"862798"|"CLIFTONLARSONALLEN LLP"|"300 CROWN COLONY DRIVE SUITE 310"|"QUINCY"|"MA"|"USA"|"02169"|""|"617-984-8100"|"Y"|""
"01-0371166"|"PENOBSCOT CHRISTIAN SCHOOL"|"862334"|""|""|""|""|""|""|""|""|""|""
"01-0195310"|"THE YORKS CHAMBER OF COMMERCE INC"|"864958"|"WillIam A Friberg, CPA"|"11 Sanborn Lane"|"Eliot"|"ME"|"USA"|"03903"|"20-0887253"|"207-451-9197"|""|""
"01-0427824"|"WATERSHED CENTER FOR THE CERAMIC ARTS"|"864959"|"JOHN T. CHIPMAN & COMPANY LLP"|"955 WASHINGTON STREET"|"NORWOOD"|"MA"|"USA"|"02062"|"04-2690326"|"781-762-6272"|"Y"|""
"01-0671151"|"American Friends of Lucerne Festival"|"864962"|"David Fisher"|"1419 Geranium Street, N. W."|"Washington"|"DC"|"USA"|"20012"|""|"202-723-1989"|""|""
"01-0777925"|"ELEVA BROILER FESTIVAL INC"|"864964"|"HAUKENESS FINANCIAL SERVICE"|"W19433 US HWY 10"|"STRUM"|"WI"|"USA"|"54770"|"39-2039643"|"715-695-2602"|"Y"|""
"01-0838125"|"SAFE FAMILY MINISTRIES"|"864966"|""|""|""|""|""|""|""|""|""|""
"01-0890941"|"LAHAK HANOCHOS INC"|"864968"|""|""|""|""|""|""|""|""|""|""
"01-0906593"|"MANAGEMENT SERVICES, INC"|"864969"|"FOOTE AND LLOYD, CPAS"|"TWO WEST MICHIGAN AVENUE, SUITE 210"|"BATTLE CREEK"|"MI"|"USA"|"49017"|"38-1617072"|"269-962-7518"|"Y"|""
"01-0908221"|"HOLSTEN HUMAN CAPITAL DEVELOPMENT NFP"|"864970"|"FLS GROUP LLC"|"4711 GOLF RD STE 200"|"SKOKIE"|"IL"|"USA"|"60076-1236"|"27-0515957"|"773-777-4445"|"Y"|""
"01-0941732"|"Connecticut Catholic Public Affairs Conference, Inc."|"864971"|"MATTHEW A. BYRNE CPA"|"134 Farmington Avenue"|"Hartford"|"CT"|"USA"|"06105"|""|""|"Y"|""
"02-0102440"|"ABENAQUI COUNTRY CLUB, INC."|"864972"|"WEIDEMA AND LAVIN, CPAS', PA"|"1 PARK AVENUE, SUITE 2-1"|"HAMPTON"|"NH"|"USA"|"03842"|"02-0466178"|"603-926-3679"|""|""
"02-0103680"|"American Guernsey Association"|"864973"|"The Accounting Dept. Inc."|"405A N. Brice Rd. P. O. Box 577"|"Blacklick"|"OH"|"USA"|"43004"|"31-1270785"|"614-759-9967"|"Y"|""
"01-0177170"|"WALDO COUNTY GENERAL HOSPITAL"|"867258"|"MAINEHEALTH"|"110 FREE ST"|"PORTLAND"|"ME"|"USA"|"04101-3908"|""|""|"N"|""
"01-0724306"|"THE PHILLY AND CHARLIE DAKE FOUNDATION"|"867414"|"CUSACK & COMPANY CPAS LLC"|"7 AIRPORT PARK BLVD"|"LATHAM"|"NY"|"USA"|"12110"|""|"518-786-3550"|"Y"|""
"01-0833397"|"Global Refuge International"|"867415"|""|""|""|""|""|""|""|""|"Y"|""
"01-6010198"|"AUBURN MASONIC ASSOCIATION"|"867416"|"OUELLETTE & ASSOCIATES PA"|"1111 LISBON STREET"|"LEWISTON"|"ME"|"USA"|"04240"|"01-0448675"|"207-786-0328"|"Y"|""
"01-0369904"|"CASA INC"|"868428"|"OUELLETTE & ASSOCIATES PA"|"1111 LISBON STREET"|"LEWISTON"|"ME"|"USA"|"04240"|"01-0448675"|"207-786-0328"|"Y"|""
"01-0836208"|"Hand in Hand / Mano en Mano, Inc."|"868447"|""|""|""|""|""|""|""|""|""|""
"01-0862621"|"ST JOSEPH SHELTER"|"868449"|"BRENNER & COMPANY, LLP, CPA'S"|"245 COURT STREET NE"|"SALEM"|"OR"|"USA"|"97301"|"93-0572369"|"503-585-8414"|"Y"|""
"01-0881719"|"Fisher House in St Louis"|"868450"|"HAUK KRUSE & ASSOCIATES LLC"|"721 EMERSON RD STE 120"|"SAINT LOUIS"|"MO"|"USA"|"63141-6769"|""|"314-993-4285"|"Y"|""
"01-0939609"|"FOOD OF LIFE OUTREACH MINSTRIES INC"|"868451"|"BLAZING TRAILS FINANCIAL"|"PO BOX 2003"|"ROCKVILLE"|"MD"|"USA"|"20847"|"20-8115297"|"240-205-2858"|"Y"|""
"01-0956221"|"PATRICKSBURG FOOD PANTRY INC"|"868452"|"C&A ASSOCIATES"|"2837 S WALKER RAMP RD"|"Rockville"|"IN"|"USA"|"47872"|""|"765-344-2208"|"N"|""
"02-0128010"|"DUBLIN LAKE CLUB"|"868453"|"LYNN C RUST CPA PC"|"217R OLD HOMESTEAD HIGHWAY"|"SWANZEY"|"NH"|"USA"|"03446-2140"|"02-0476947"|"603-358-6565"|"Y"|""
"02-0156800"|"GUARDIAN ANGEL CREDIT UNION"|"868454"|"ALBERT R MORRISSETTE CPA"|"424 SECOND AVE"|"BERLIN"|"NH"|"USA"|"03570-1134"|""|"603-752-3469"|"Y"|""
"02-0221111"|"ASSOCIATED GENERAL CONTRACTORS OF NH"|"868456"|"PETER C BRANKMAN & COMPANY PC"|"10 FAYETTE STREET"|"CONCORD"|"NH"|"USA"|"03301-3708"|""|"603-225-7616"|"Y"|""
"02-0227519"|"Ancient Arabric Order of Nobles of the Mystic Shrine of N A - Bektash Shriners"|"868457"|"Brent W. Washburn, CPA"|"64 Hooksett Turnpike Road"|"Concord"|"NH"|"USA"|"03301-8400"|"02-0371720"|"603-224-6133"|"Y"|""
"01-0377308"|"BELGRADE LAKES ASSOCIATION"|"868429"|"JAMES LAWSON"|"32 MILLWOOD CIR"|"NORWELL"|"MA"|"USA"|"02061"|""|"617-951-7692"|"Y"|""
"01-0390410"|"MAINE SELF-INSURANCE GUARANTEE ASSOCIATION"|"868430"|"Macdonald Page & Co LLC"|"227 Water Street PO Box 2749"|"Augusta"|"ME"|"USA"|"04338"|""|"207-774-5701"|"Y"|""
"01-0457499"|"ST MARTIN DE PORRES RESIDENCE INC"|"868431"|"OUELLETTE & ASSOCIATES"|"1111 LISBON STREET"|"LEWISTON"|"ME"|"USA"|"04240"|"01-0448675"|"207-786-0328"|"Y"|""
"01-0477310"|"CHRISTIAN MISSION SERVICES"|"868432"|"PROFESSIONAL MANAGEMENT SERV"|"1229 S OLD US 23"|"BRIGHTON"|"MI"|"USA"|"48114"|"27-0273165"|"810-225-9955"|"Y"|""
"01-0507505"|"MAINE DAIRY PROMOTION BOARD"|"868433"|"AUSTIN ASSOCIATES PA CPA'S"|"PO BOX 3400"|"AUBURN"|"MA"|"USA"|"04212-3400"|"01-0371550"|"207-783-9111"|"Y"|""
"01-0507513"|"MAINE DAIRY AND NUTRITION COUNCIL"|"868434"|"AUSTIN ASSOCIATES PA CPA'S"|"PO BOX 3400"|"AUBURN"|"MA"|"USA"|"04212-3400"|"01-0371550"|"207-783-9111"|"Y"|""
"01-0523209"|"MAINE COMPOSITES ALLIANCE"|"868435"|"STANTON W. GAVITT JR. CPA"|"55 GREENWOOD LN"|"PORTLAND"|"ME"|"USA"|"04103"|""|"207-878-4514"|"N"|""
"01-0536008"|"MAINE CONSERVATION VOTERS"|"868437"|"MACDONALD PAGE & CO LLC"|"30 LONG CREEK DR"|"SOUTH PORTLAND"|"ME"|"USA"|"04106"|"01-0242373"|"207-774-5701"|"Y"|""
"01-0621026"|"INSTITUTO MAZATLAN BELLAS ARTES DE SACRAMENTO"|"868438"|"AGUIRRE'S TAX & ACCOUNTING SERVICES"|"1926 H STREET"|"SACRAMENTO"|"CA"|"USA"|"95814"|"68-0314837"|"916-444-7910"|"Y"|""
"01-0645907"|"LIFE EDUCATION FOUNDATION"|"868439"|""|""|""|""|""|""|""|""|""|""
"01-0287814"|"Caribou Country Club"|"868427"|"Felch & Company LLC"|"PO Box 906"|"Caribou"|"ME"|"USA"|"04736"|"01-0540055"|"207-498-3176"|"Y"|""
"01-0654014"|"Ministry Services Group, Inc"|"868440"|"AUTRY CONSULTING SERVICES, LLC"|"PO BOX 3211"|"MERIDIAN"|"MS"|"USA"|"39303"|"56-2478314"|"601-485-4771"|"Y"|""
"01-0678012"|"MCDUFFIE MUSEUM INC"|"868441"|"F LEWIS SMITH CPA PC"|"P O BOX 1760"|"THOMSON"|"GA"|"USA"|"30824"|""|"706-595-7992"|"Y"|""
"01-0688619"|"WHITE OAK GROVE OUTREACH CENTER INC"|"868442"|"ACCOUNTING MANAGEMENT SERVICE"|"498 ARNETT BLVD"|"DANVILLE"|"VA"|"USA"|"24540"|""|"434-793-4040"|"N"|""
"01-0709509"|"SINGLES PLEASING THE LORD INC"|"868443"|"LAWHORH AND COMPANY"|"P O BOX 4938"|"CLEVELAND"|"TN"|"USA"|"37320-4938"|""|"423-473-9300"|"Y"|""
"01-0095705"|"International Brotherhood of Electrical Workers Local 567"|"868421"|"Filler and Associates PA"|"70 Center Street PO Box 4177"|"Portland"|"ME"|"USA"|"04101-0377"|"01-0378528"|"207-772-0153"|"Y"|""
"01-0131390"|"OAKDALE COUNTRY CLUB"|"868422"|"kelly O Newklrk CPA PC"|"PO Box 151 918 Walkers Mills Road"|"Bethel"|"ME"|"USA"|"04217"|""|"207-875-2401"|""|""
"01-0211811"|"Kennebec Valley YMCA"|"868423"|"Gibson LeClair, LLC"|"150 Capitol Street, Suite 3"|"Augusta"|"ME"|"USA"|"04330"|"45-0512128"|"207-623-8401"|""|""
"01-0211813"|"PENOBSCOT BAY YMCA"|"868424"|"EDWARDS FAUST & SMITH"|"716 UNION ST"|"BANGOR"|"ME"|"USA"|"04401-3156"|""|"207-947-4575"|"Y"|""
"01-0241528"|"SOUTHWEST HARBOR LIBRARY"|"868425"|"HORTON, MCFARLAND & VEYSEY, LLC"|"P. O. BOX 543"|"ELLSWORTH"|"ME"|"USA"|"04605"|"01-0219197"|""|"Y"|""
"01-0269301"|"MAINE ASSOCIATION OF REALTORS"|"868426"|"Macdonald Page & Co LLC"|"227 Water Street PO Box 2749"|"Augusta"|"ME"|"USA"|"04338"|""|"207-774-5701"|"Y"|""
"02-0244311"|"EXETER DAY SCHOOL"|"872587"|"MURPHY, POWERS & WILSON CPAS, PC"|"ONE MERRILL INDUSTRIAL DRIVE"|"HAMPTON"|"NH"|"USA"|"03842-1942"|"02-0466387"|"603-926-8063"|"Y"|""
"01-0491854"|"EqualityMaine"|"873258"|"Purdy Powers & Company"|"130 Middle Street"|"Portland"|"ME"|"USA"|"04101"|""|"207-775-3496"|"Y"|""
"01-0515357"|"EqualityMaine Foundation"|"873259"|"Purdy Powers & Company"|"130 Middle Street"|"Portland"|"ME"|"USA"|"04101"|""|"207-775-3496"|"Y"|""
"01-0790552"|"Theater Arts Group"|"873260"|""|""|""|""|""|""|""|""|""|""
"01-0061310"|"Fraternal Order of Eagles"|"866812"|"BRUCE J CORT, EA"|"472 ROOSEVELT TRAIL - P O BOX 1014"|"WINDHAM"|"ME"|"USA"|"04062"|"01-0399898"|"207-892-5224"|"Y"|""
"02-0130185"|"ROCHESTER LODGE OF ELKS #1393"|"866814"|"Gerard R. Gravel, EA, MST"|"P. O. Box 1326"|"Rochester"|"NH"|"USA"|"03866-1326"|"02-0266664"|"603-332-1326"|"Y"|""
"01-0749311"|"UFCW UNIONS & PARTICIPATING EMPLOYERS HEALTH & WELFARE FUND"|"867962"|"SHULMAN KURTZ TURER & TOPAZ LLC"|"101 N LAKEVIEW DRIVE"|"GIBBSBORO"|"NJ"|"USA"|"08026-1046"|""|"856-627-7444"|"Y"|""
"02-0223390"|"MANCHESTER HISTORIC ASSOCIATION"|"867963"|"Hession & Pare, P.C."|"62 Stark Street"|"Manchester"|"NH"|"USA"|"03101-1970"|"02-0428003"|"603-669-5477"|"Y"|""
"01-0535534"|"SOMERSET ECONOMIC DEVELOPMENT ECONOMIC DEVELOPMENT"|"873877"|"TAX-PRO INC"|"438 Somerset Ave"|"Pittsfield"|"ME"|"USA"|"04967-1314"|"01-0450701"|"207-487-5006"|"Y"|""
"01-0779923"|"THOMAS C & SANDRA S SULLIVAN FOUNDATION"|"873888"|"MALONEY + NONOTNY LLC"|"1111 SUPERIOR AVENUE, SUITE 700"|"CLEVELAND"|"OH"|"USA"|"44114"|"34-0677006"|"216-363-0100"|"Y"|""
"01-0828143"|"NORTHVILLE AMATEUR RADIO ASSOC INC"|"873889"|"J and Ms Enterprieses LTD"|"P O Box 1063"|"Carmel"|"NY"|"USA"|"10512"|""|"845-225-3140"|"N"|""
"01-0857526"|"A FAMILY AFFAIR BRIDGES INC"|"873891"|""|""|""|""|""|""|""|"916-427-6787"|"Y"|""
"01-0911420"|"FairVote Minnesota"|"873893"|"Bookkeepers Plus of SWPL, LLC"|"1639 Beach Pkwy Apt 101"|"Cape Coral"|"FL"|"USA"|"33904"|"27-0885087"|"888-239-5855"|"Y"|""
"01-6047645"|"GOOSE ROCKS BEACH FIRE COMPANY"|"873897"|"ROGERS & HUTCHINS, P. C. , CPA'S"|"62 Portland Road Suite 45"|"Kennebunk"|"ME"|"USA"|"04043-7235"|"01-0473508"|"207-985-1456"|""|""
"01-6242128"|"Euclid Hitachi Retirees VEBA Benefit Plan"|"873898"|"Hill, Stonestreet & Co."|"4141 Rockside Road, Ste. 100"|"Cleveland"|"OH"|"USA"|"44131"|"34-1521313"|"216-524-5885"|""|""
"02-0215228"|"AMERICAN LEGION POST #8"|"873900"|"LEONE MCDONNELL & ROBERTS PA"|"5 NELSON STREET"|"DOVER"|"NH"|"USA"|"03820-3714"|"02-0417217"|"603-749-2700"|"Y"|""
"01-0552691"|"FULCRUM POINT NEW MUSIC PROJECT"|"873878"|"WALTER J NEWTON & CO CPAS"|"30 E ADAMS ST STE 440"|"CHICAGO"|"IL"|"USA"|"60603-5639"|""|"312-726-6532"|""|""
"01-0640326"|"AHWATUKEE CHILDREN'S THEATRE INC"|"873879"|"SECHLER CPA PC"|"921 E ORANGE DRIVE"|"PHOENIX"|"AZ"|"USA"|"85014"|""|"602-230-2700"|"Y"|""
"01-0673538"|"AMERICAN FRIENDS OF YESHIVAT LEV HATORAH"|"873881"|"LAWRENCE B GOODMAN & CO PA"|"32 - 16 BROADWAY"|"FAIR LAWN"|"NJ"|"USA"|"07410"|"22-2562877"|"201-791-8300"|"Y"|""
"01-0024245"|"BANGOR REGION CHAMBER OF COMMERCE"|"873857"|"THE CPA SOLUTION, LLC"|"50 COLUMBIA STREET, SUITE 85"|"BANGOR"|"ME"|"USA"|"04401"|"20-5144604"|"207-947-0003"|"Y"|""
"01-0135937"|"LE PASSE-TEMPS INC"|"873859"|"B&M TAX SERVICE"|"47 TOWNSEND BROOK RD"|"AUBURN"|"ME"|"USA"|"04210"|""|"207-782-5440"|"Y"|""
"01-0207022"|"FAIRMOUNT CEMETERY ASSOC"|"873860"|""|""|""|""|""|""|""|""|""|""
"01-0210495"|"American Legion Post 0015 Henry Pratt"|"873861"|"Felch & Company LLC"|"PO Box 906"|"Caribou"|"ME"|"USA"|"04736"|"01-0540055"|"207-498-3176"|"Y"|""
"01-0217234"|"BIDDEFORD POOL YACHT CLUB"|"873862"|"Simensky, Enqstrom & Associates, CPA's"|"P. O. Box 760"|"Saco"|"ME"|"USA"|"04072"|"01-0353028"|"207-284-5943"|""|""
"01-0244422"|"Laborers Intl Union of North America 327 Local Union"|"873863"|"Filler and Associates PA"|"70 Center Street PO Box 4177"|"Portland"|"ME"|"USA"|"04101-0377"|"01-0378528"|"207-772-0153"|"Y"|""
"01-0280430"|"Fort Kent Housing Inc"|"873864"|"Davis CPA PA"|"118 Academy St"|"Presque Isle"|"ME"|"USA"|"04769"|""|"207-762-6084"|"Y"|""
"01-0309344"|"KC-FATHER DRUILLETTE COUNCIL"|"873865"|"Lawrence & Gagnon CPAs P. A."|"PO Box 2397"|"Bangor"|"ME"|"USA"|"04402-2397"|""|"207-990-1887"|"N"|""
"01-0687154"|"NORTHEASTERN ECONOMIC DEVELOPMENT COMPANY OF PA"|"873883"|"William Owens & Company"|"5 John St"|"Carbondale"|"PA"|"USA"|"18407-1891"|"20-5941266"|"570-281-9760"|"Y"|""
"01-0729841"|"LOVE INC OF GREATER SHELDON"|"873884"|"VAN BRUGGEN & VANDE VEGTE PC"|"827 MAIN PO BOX 399"|"BOYDEN"|"IA"|"USA"|"51234"|""|"712-725-2065"|""|""
