"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"TOTAL_COMP_ORG"|"TOTAL_COMP_RELATED_ORG"|"TOTAL_COMP_OTHER"|"TOTAL_PERSONS_100000"|"FORMER_1A_CBX"|"ANYBODY_150000_CBX"|"ANYBODY_COMP_UNRELATED_CBX"
"01-0216811"|"WATERVILLE LODGE #33 F & A M"|"807351"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0224898"|"Hebron Academy Incorporated"|"807355"|"284811.0000"|"0.0000"|"55228.0000"|"2"|"N"|"Y"|"N"
"01-0316041"|"Youth Altematives Ingraham"|"807359"|"574869.0000"|"0.0000"|"54371.0000"|"4"|"N"|"Y"|"N"
"01-0357314"|"MERCY ENDOWMENT FOUNDATION"|"807363"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0366057"|"Maine Rural Water Association"|"807367"|"87604.0000"|"18035.0000"|"19985.0000"|"0"|"N"|"N"|"N"
"01-0378758"|"Maine College of Art"|"807372"|"486835.0000"|""|"46960.0000"|"3"|"N"|"N"|"N"
"01-0388818"|"Maine Handicapped Skiing Sunday River Ski Resort"|"807377"|"60000.0000"|"0.0000"|"7313.0000"|"0"|"N"|"N"|"N"
"01-0461436"|"THE GENESIS FUND"|"807380"|"81828.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0477512"|"MAKE-A-WISH FOUNDATION OF MAINE"|"807384"|"79386.0000"|"0.0000"|"8459.0000"|"0"|"N"|"N"|"N"
"01-0518745"|"MAINE MANUFACTURING EXTENSION PARTNERSHIP"|"807388"|""|""|""|""|"N"|"N"|"N"
"01-0530420"|"Jewish Community Alliance of Southern Maine"|"807389"|"79511.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0558388"|"Link A Community Assessment & Resource Center"|"807399"|"80192.0000"|""|""|"0"|"N"|"N"|"N"
"01-0564286"|"DAYTON LEARNING CENTER"|"807403"|"33100.0000"|""|""|"0"|"N"|"N"|"N"
"01-0628536"|"ARROW CHILD AND FAMILY MINISTRIES"|"807408"|"516115.0000"|"0.0000"|"49198.0000"|"3"|"Y"|"Y"|"N"
"01-0660264"|"TEAM ACADEMY CHARTER SCHOOL"|"807413"|""|""|""|""|"N"|"N"|"N"
"01-0735866"|"Thorndale Economic Development Corporation"|"807416"|""|""|""|"0"|"N"|"N"|"N"
"01-0935534"|"THE ACADEMY OF ALAMEDA"|"807421"|"53496.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-6009240"|"UNITED MID-COAST CHARITIES, INC"|"807427"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0203708"|"AMERICAN LEGION POST 1"|"821186"|"60793.0000"|"0.0000"|"0.0000"|""|"N"|"N"|"N"
"01-0223014"|"Ocean Park Association"|"821187"|"57200.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0792511"|"HIGH WAY EDUCATION INC."|"821188"|"0.0000"|""|""|""|"N"|"N"|"N"
"01-0817613"|"WALKER MINISTRIES INC"|"821189"|"0.0000"|"0.0000"|"6695.0000"|""|"N"|"N"|"N"
"01-0821110"|"Children of Abraham, Inc."|"821190"|""|""|""|""|"N"|"N"|"N"
"02-0119917"|"DAVIGNON CLUB, INC."|"821193"|"41423.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0215213"|"BOWDOIN COLLEGE"|"821347"|"3110992.0000"|"0.0000"|"648373.0000"|"85"|"N"|"Y"|"N"
"01-0319802"|"Spurwink Services Inc"|"821349"|"938664.0000"|"0.0000"|"63435.0000"|"7"|"N"|"Y"|"N"
"01-0350707"|"PORTLAND OVATIONS"|"821351"|"78173.0000"|"0.0000"|"6769.0000"|"0"|"N"|"N"|"N"
"01-0376014"|"WOMANCAREAEGIS ASSOCIATION"|"821354"|"41820.0000"|""|""|""|"N"|"N"|"N"
"01-0386912"|"CENTRAL MAINE COMMUNITY HEALTH CORPORATION"|"821355"|"0.0000"|"1726909.0000"|"172687.0000"|"0"|"N"|"Y"|"N"
"01-0386913"|"CENTRAL MAINE HEALTHCARE CORPORATION"|"821357"|"4911220.0000"|"302691.0000"|"600998.0000"|"27"|"Y"|"Y"|"N"
"01-0478709"|"Maine Island Trail Association"|"821358"|"66323.0000"|"0.0000"|"8458.0000"|"0"|"N"|"N"|"N"
"01-0502709"|"Atlantic States Rural Water and Wastewater Association"|"821360"|"18035.0000"|"87604.0000"|"19985.0000"|"0"|"N"|"N"|"N"
"01-0518516"|"LifeFhght of Maine"|"821361"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0523509"|"Center for Cetacean Research and Conservation"|"821363"|"0.0000"|"0.0000"|"0.0000"|""|"N"|"N"|"N"
"01-0554709"|"FLORIDA PROTON THERAPY INSTITUTE INC"|"821365"|"350601.0000"|"326982.0000"|"99621.0000"|"3"|"N"|"Y"|"N"
"01-0603214"|"SAINT FRANCIS HOSPITAL SOUTH, LLC"|"821370"|"671229.0000"|"4625881.0000"|"896003.0000"|"7"|"N"|"Y"|"N"
"01-0621106"|"COALITION OF CHILDREN IN NEED ASSN"|"821373"|""|""|""|""|"N"|"N"|"N"
"01-0639602"|"KIPP Austin Public Schools Inc"|"821374"|"384420.0000"|""|"29260.0000"|"2"|"N"|"N"|"N"
"01-0802914"|"Assoc Students of California State Univ Channel Islands Inc"|"821376"|""|"659515.0000"|"24109.0000"|"0"|"N"|"Y"|"N"
"01-0573723"|"VFW POST 34 CANTEEN INC"|"823250"|""|""|""|"0"|"N"|"N"|"N"
"01-0782731"|"HOME SWEETS HOME YOUTH SERIVCES INC"|"823256"|""|""|""|"0"|"N"|"N"|"N"
"01-0857922"|"Clock Tower Place Funding Company"|"823261"|"0.0000"|"0.0000"|""|""|"N"|"N"|"N"
"01-0790428"|"ST JOSEPH HEALTH SYSTEM FOUNDATION"|"823311"|""|"1070220.0000"|"27323.0000"|""|"N"|"Y"|"N"
"01-0863627"|"CHICAGO VIRTUAL CHARTER SCHOOL"|"823313"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0781066"|"LONG ISLAND LIBERTY LACROSSE INC."|"824167"|"0.0000"|"0.0000"|"0.0000"|""|"N"|"N"|"N"
"01-0119375"|"MEGANTIC FISH AND GAME"|"824296"|"35500.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0130427"|"BRIDGTON HOSPITAL"|"824297"|"1754747.0000"|"805813.0000"|"309539.0000"|"22"|"Y"|"Y"|"N"
"01-0145135"|"PROUTS NECK COUNTRY CLUB"|"824298"|""|""|""|"0"|"N"|"N"|"N"
"01-0212542"|"TRUSTEES OF SAINT JOSEPH'S COLLEGE SAINT JOSEPH'S COLLEGE OF MAINE"|"824299"|"1056844.0000"|"0.0000"|"122779.0000"|"8"|"Y"|"Y"|"N"
"01-0215227"|"RUMFORD HOSPITAL"|"824300"|"1543883.0000"|"838042.0000"|"290157.0000"|"15"|"N"|"Y"|"N"
"01-0280723"|"York-Cumberland Assoc for Handicapped Persons"|"824301"|"203313.0000"|""|"9200.0000"|"1"|"N"|"N"|"N"
"01-0351334"|"Yarmouth Histoncal Society"|"824302"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0535770"|"ORONO ECONOMIC DEVELOPMENT CORP"|"824303"|""|""|""|""|"N"|"N"|"N"
"01-0539222"|"MaineStream Finance"|"824304"|"0.0000"|"306828.0000"|"24906.0000"|"0"|"N"|"Y"|"N"
"01-0603628"|"LEARNINGSPRING SCHOOL"|"824307"|"97022.0000"|"0.0000"|"7785.0000"|"0"|"N"|"N"|"N"
"01-0679337"|"SAN FRANCISCO FOUNDATION"|"824308"|"1483259.0000"|"0.0000"|"281637.0000"|"10"|"N"|"Y"|"N"
"01-0717030"|"PORTAGE BAY INSURANCE"|"824309"|"0.0000"|"1197578.0000"|"191554.0000"|"4"|"N"|"Y"|"N"
"01-0723319"|"TOBACCO FREE ALLEGHENY"|"824310"|"79600.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0806645"|"REGIONAL LOCAL UNION NO 846 OF THE INTERNATIONAL ASSOCIATION"|"824312"|"162630.0000"|"0.0000"|"54649.0000"|"0"|"N"|"N"|"N"
"01-6004444"|"Falmouth Memorial Library Association"|"824313"|"62732.0000"|"0.0000"|"8642.0000"|"0"|"N"|"N"|"N"
"02-0202220"|"THE CHESHIRE HEALTH FOUNDATION"|"824314"|"0.0000"|"938501.0000"|"101118.0000"|"0"|"N"|"Y"|"N"
"02-0223321"|"COTTAGE HOSPITAL"|"824316"|"2069995.0000"|"0.0000"|"179345.0000"|"7"|"Y"|"Y"|"N"
"02-0223322"|"CURRIER MUSEUM OF ART"|"824317"|"289224.0000"|"0.0000"|"17008.0000"|"2"|"N"|"Y"|"N"
"01-0199142"|"ABENAKEE CLUB"|"824598"|""|""|""|"0"|"N"|"N"|"N"
"01-0277845"|"Stanwood Wildlife Sanctuary"|"824599"|"17000.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0383489"|"PINE TREE QUILTERS GUILD, INC."|"824600"|"0.0000"|"0.0000"|"0.0000"|""|"N"|"N"|"N"
"01-0463933"|"The Presque Isle Historical Society"|"824602"|""|""|""|"0"|"N"|"N"|"N"
"01-0477639"|"WELLPOINT RETIREE VEBA TRUST"|"824604"|"15619.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0479444"|"PARENT RESOURCE CENTER"|"824606"|""|""|""|""|"N"|"N"|"N"
"01-0517035"|"CMP PRM NON-UNION VEBA TRUST"|"824609"|""|""|""|"0"|"N"|"N"|"N"
"01-0527044"|"OCTOBER CORPORATION"|"824611"|"39200.0000"|"852792.0000"|"157402.0000"|"0"|"N"|"Y"|"N"
"01-0561825"|"Abingdon Feeder Cattle Association, Incorporated"|"824613"|""|""|""|""|"N"|"N"|"N"
"01-0637920"|"THE MEDICAL STAFF OF PARKVIEW COMMUNITY HOSPITAL"|"824615"|"84000.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0705428"|"Ukrainian Ministry, Inc."|"824619"|""|""|""|""|""|""|""
"01-0723520"|"Edward M. Armfield Sr. Civic & Recreation Center"|"824621"|""|""|""|""|""|""|""
"01-0731740"|"IRENE'S CHRIST, AN ACADEMY INC"|"824623"|""|""|""|""|"N"|"N"|"N"
"01-0773840"|"Syracuse Community Center Inc"|"824624"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0909843"|"Friends of Kenya Wildlife Trust"|"824628"|""|""|""|""|""|""|""
"01-0946106"|"Volunteer & Exempt Fireman's Benevolent Assn. of Inwood"|"824630"|"0.0000"|"0.0000"|"550.0000"|""|"N"|"N"|"N"
"01-6011528"|"Walter Bisbee Trust"|"824633"|"31881.0000"|""|""|"0"|"N"|"N"|"N"
"01-6016305"|"EPHRIAN H JOHNSON POST #9 AMERICAN LEGION"|"824635"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-6149025"|"THE MARK AND EMILY TURNER MEMORIAL LIBRARY CHARITABLE TRUST"|"824636"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"02-0199215"|"UKRAINIAN AMERICAN CITIZENS C"|"824638"|"0.0000"|"0.0000"|"0.0000"|""|"N"|"N"|"N"
"01-0454046"|"Isle au Haut Development Lorp"|"830175"|"270.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0857925"|"Saugus Plaza Funding Company"|"830176"|"0.0000"|"0.0000"|""|""|"N"|"N"|"N"
"01-0265559"|"Kennebec Valley Mental Health Center"|"830225"|"1068372.0000"|"215354.0000"|"141754.0000"|"14"|"N"|"Y"|"N"
"01-0274725"|"Peoples Regional Opportunity Program"|"830227"|"196483.0000"|"0.0000"|"10586.0000"|"0"|"N"|"N"|"N"
"01-0387674"|"CENTRAL MAINE REAL ESTATE MANAGEMENT CORP"|"830228"|"0.0000"|"1726908.0000"|"172687.0000"|"0"|"N"|"Y"|"N"
"01-0492747"|"Evergreen Behavioral Services"|"830230"|"86385.0000"|"852360.0000"|"99729.0000"|"0"|"N"|"Y"|"N"
"01-0729873"|"North Carolina Motorsports Association"|"830231"|"46875.0000"|""|"18750.0000"|"0"|"N"|"N"|"N"
"01-6019960"|"WALTON LINCOLN TRUST OCHR"|"830233"|"1344.0000"|""|""|"0"|"N"|"N"|"N"
"01-0264870"|"CHRISTMAS COVE IMPROVEMENT ASSOCIATION"|"831451"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0508465"|"HOSPICE REGATTA OF MAINE"|"831453"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0523776"|"Spring Point Ledge Light Trust"|"831454"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0528754"|"THE OPERA HOUSE AT BOOTHBAY HARBOR"|"831455"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0551364"|"TECH COAST ANGELS INC."|"831456"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0593756"|"THE HERITAGE SOCCER CLUB, INC."|"831458"|""|""|""|"0"|"N"|"N"|"N"
"01-0594671"|"GILEAD COMMUNITY DEVELOPMENT CORPORATION INC"|"831459"|"0.0000"|"0.0000"|"0.0000"|""|"N"|"N"|"N"
"01-0637750"|"ARIZONA ADVOCACY NETWORK"|"831460"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0847951"|"MOORPARK SAINTS PYFL"|"831461"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-6010461"|"OCEAN VIEW CEMETERY"|"831462"|"6000.0000"|""|""|"0"|"N"|"N"|"N"
"01-6016268"|"Tardiff Belanger Post #39, The Arnerican Legion"|"831463"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-6018568"|"The American Legion"|"831464"|"0.0000"|"0.0000"|"0.0000"|""|"N"|"N"|"N"
"01-6038550"|"DONALD V HENRY"|"831465"|"0.0000"|"0.0000"|"0.0000"|""|"N"|"N"|"N"
"01-6072252"|"TRUSTEES OF LOT OWNERS OF RIVERSIDE CEMETERY UNITRUST"|"831466"|""|""|""|"0"|"N"|"N"|"N"
"02-0104257"|"St. John's Masonic Lodge"|"831467"|""|""|""|""|"N"|"N"|"N"
"02-0119965"|"CLUB MONT ROYAL"|"831468"|"0.0000"|"0.0000"|"0.0000"|""|"N"|"N"|"N"
"01-0211548"|"Rediugton Memorial Hospital Asasotiation"|"831624"|"11894.0000"|"618654.0000"|"255029.0000"|""|"N"|"Y"|"N"
"01-0211568"|"CUMBERLAND COUNTY YMCA"|"831627"|"194673.0000"|"0.0000"|"13627.0000"|"1"|"N"|"N"|"N"
"01-0223755"|"BERWICK ACADEMY"|"831628"|"188212.0000"|"0.0000"|"30560.0000"|"1"|"N"|"Y"|"N"
"01-0281875"|"Eastern Maine Development Corporation"|"831631"|"111598.0000"|"0.0000"|"5238.0000"|"1"|"N"|"N"|"N"
"01-0339851"|"REGIONAL TRANSPORTATION PROGRAM"|"831636"|"150533.0000"|"0.0000"|"27901.0000"|"0"|"N"|"N"|"N"
"01-0356077"|"CENTRAL MAINE MEDICAL CENTER COLLEGE OF NURSING AND HEALTH PROFESSIONS"|"831637"|"0.0000"|"2664877.0000"|"279346.0000"|"0"|"Y"|"Y"|"N"
"01-0374565"|"WINTER FOUNDATION"|"831639"|"10000.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0443470"|"Attendant Services Maine, Inc."|"831640"|"0.0000"|"252997.0000"|"13775.0000"|"0"|"N"|"Y"|"N"
"01-0479776"|"Maine Education Association Benefits Trust"|"831642"|"124615.0000"|""|"23057.0000"|"1"|"N"|"N"|"N"
"01-0483267"|"INSTITUTE FOR CIVIC LEADERSHIP"|"831644"|"72873.0000"|"0.0000"|"2800.0000"|"0"|"N"|"N"|"N"
"01-0493869"|"SMART CHILD & FAMILY SERVICES"|"831646"|"68799.0000"|""|"6516.0000"|"0"|"N"|"N"|"N"
"01-0578476"|"BRANDYWINE SCHOOL OF EARLY LEARNING, INC"|"831649"|"71527.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0606871"|"THE HOUSE NEXT DOOR FAMILY FOUNDATION"|"831652"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0639265"|"Meritus Healthcare Foundation, Inc."|"831654"|"0.0000"|"771510.0000"|"50687.0000"|"0"|"N"|"Y"|"N"
"01-0760254"|"Penn Foundation Trust"|"831660"|""|"359750.0000"|"11817.0000"|"0"|"N"|"Y"|"N"
"01-0772160"|"Circle K International Inc"|"831663"|"53894.0000"|"0.0000"|"12369.0000"|"0"|"N"|"N"|"N"
"01-0803067"|"EAST BAY GOLF FOUNDATION"|"831664"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0484018"|"VAALAND CLUB"|"836227"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0948527"|"OPEN IDENTITY EXCHANGE,INC."|"836229"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0972230"|"JOSEPH OMOSHEWA MINISTRIES WORLDWIDE"|"836230"|""|""|""|""|"N"|"N"|"N"
"01-6015613"|"ORR'S BAILEY YACHT CLUB"|"836231"|"0.0000"|"0.0000"|"0.0000"|""|"N"|"N"|"N"
"01-0553431"|"AMERICAN FRIENDS OF YESHIVAT HESDER SDEROT,INC"|"836824"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0745909"|"Academy For New Musical Theatre"|"836826"|"68250.0000"|"0.0000"|"0.0000"|""|"N"|"N"|"N"
"01-0748214"|"ARBOR BAY SCHOOL"|"836829"|""|""|""|"0"|"N"|"N"|"N"
"02-0222111"|"Trustees of Dartmouth College"|"836837"|"8056262.0000"|"0.0000"|"897774.0000"|"734"|"Y"|"Y"|"N"
"02-0222123"|"Capital Region Health Care Corporation"|"836840"|"0.0000"|"1601294.0000"|"362381.0000"|"0"|"N"|"Y"|"N"
"01-0199596"|"THE WOMEN'S BOARD OF THE MAINE GENERAL HOSPITAL"|"836994"|""|""|""|"0"|"N"|"N"|"N"
"01-0269460"|"CHEWONKI FOUNDATION INC"|"836997"|"139009.0000"|"0.0000"|"38467.0000"|"0"|"N"|"N"|"N"
"01-0275156"|"Western Maine Community Action Inc"|"837003"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0346260"|"PORTLAND EDUCATION ASSOCIATION"|"837005"|"25909.0000"|""|""|""|"N"|"N"|"N"
"01-0364852"|"HOPE AND JUSTICE PROJECT INC"|"837008"|"61506.0000"|""|""|""|"N"|"N"|"N"
"01-0468460"|"G & H AMBULANCE SERVICE INC"|"837011"|"62712.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0472964"|"BIDDEFORD-SACO AREA ECONOMIC DEVELOPMENT CORPORATION"|"837015"|"79902.0000"|"0.0000"|"11595.0000"|"0"|"N"|"N"|"N"
"01-0482767"|"PEAKS ISLAND CHILDREN'S WORKSHOP PO BOX 80"|"837017"|"26898.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0501407"|"UNION WORKERS BENEFITS TRUST"|"837019"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0502563"|"CAMP BEECH CLIFF"|"837022"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0552793"|"LATINAS UNIDAS POR UN NUEVO AMANECER"|"837024"|"46781.0000"|"0.0000"|"4920.0000"|"0"|"N"|"N"|"N"
"01-0648561"|"NORTHWEST CONNECTICUT AHEC INC"|"837027"|"84300.0000"|"0.0000"|"30400.0000"|"0"|"N"|"N"|"N"
"01-0866698"|"COMPREHENSIVE SENIOR CARE CORPORATION"|"837030"|"362539.0000"|"0.0000"|"12594.0000"|"2"|"N"|"Y"|"N"
"01-6274657"|"NEW YORK UNIVERSITY VEBA TRUST"|"837032"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0162690"|"Sorrento Village Improvement Association"|"837296"|""|""|"0.0000"|"0"|"N"|"N"|"N"
"01-0459677"|"VBUAIDUC"|"837306"|""|""|""|""|"N"|"N"|"N"
"01-0544282"|"Main Street Bath"|"837309"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0584486"|"ST. LOUIS SENIOR 006 PROJECT"|"837313"|""|""|""|""|"N"|"N"|"N"
"01-0644063"|"Berkshire Emergency Squad"|"837316"|""|""|""|""|"N"|"N"|"N"
"01-0656986"|"THE SURF CLUB OF RYE, INC"|"837320"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0701794"|"MAKING A DIFFERENCE FOUNDATION"|"837322"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0777386"|"ROCHESTER NY CHAPTER NECA, INC."|"837326"|"59250.0000"|"0.0000"|"9150.0000"|"0"|"N"|"N"|"N"
"01-0863786"|"MANALIVE-SACRAMENTO, INC."|"837328"|"41455.0000"|""|""|"0"|"Y"|"N"|"N"
"01-0868265"|"COVENANT OF LOVE UUL, CORP"|"837330"|""|""|""|""|"N"|"N"|"N"
"01-0922089"|"GOOSES GAMERS BASEBALL INC"|"837337"|""|""|""|""|"N"|"N"|"N"
"01-0953997"|"Beacon of Hope"|"837346"|""|""|""|"0"|"N"|"N"|"N"
"01-0966281"|"IGLESIA CRISTIANADE EL DIOS VIVENTE"|"837357"|""|""|""|""|"N"|"N"|"N"
"02-0237992"|"American Legion Post #22-Guyer Carignan"|"837365"|"28285.0000"|"0.0000"|"0.0000"|""|"N"|"N"|"N"
"01-0212172"|"WEBBER AVENUE SOCIAL CLUB INC"|"838394"|""|""|""|"0"|"N"|"N"|"N"
"01-0249865"|"Wiscasset Public Library"|"838397"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0365191"|"ASSOCIATION OF SMALL BUSINESS DEV. CENTR"|"838400"|"259476.0000"|"0.0000"|"15474.0000"|"2"|"N"|"Y"|"N"
"01-0453264"|"Maine Tree Foundation"|"838408"|"63860.0000"|"0.0000"|"4124.0000"|"0"|"N"|"N"|"N"
"01-0505695"|"BOSSOV BALLET THEATRE BOSSOV BALLET THEATR"|"838411"|"47076.0000"|""|""|"0"|"N"|"N"|"N"
"01-0531191"|"Caribou Economic Growth Council foImerly Caribou Chamber of Commerce & I"|"838414"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0589194"|"Brazilian Arts Foundation"|"838419"|"50000.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0596752"|"WORLD MISSIONS ADVANCE"|"838424"|"18500.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0659307"|"Jefferson Park Ministries, Inc"|"838443"|"10777.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0716364"|"CNameoforganizationBranch Brook Park Alliance, Inc."|"838448"|"0.0000"|"0.0000"|"0.0000"|""|"N"|"N"|"N"
"01-0865460"|"SAN MARINO COMMUNITY ATHLETICS ASSOCIATION"|"838464"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0897461"|"United African Organization"|"838466"|"60000.0000"|"0.0000"|"0.0000"|""|"N"|"N"|"N"
"01-0966096"|"Maryland Dental Action Coalition, Inc."|"838468"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-6024157"|"PEJEPSCOT HISTORICAL SOCIETY"|"838472"|"14428.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0211494"|"CENTRAL MAINE MEDICAL CENTER"|"839051"|"4421356.0000"|"2423048.0000"|"468691.0000"|"233"|"N"|"Y"|"N"
"01-0211497"|"PRESIDENT & TRUSTEES OF COLBY COLLEGE"|"839058"|"2701770.0000"|"0.0000"|"473163.0000"|"89"|"Y"|"Y"|"N"
"01-0223482"|"Millinocket Regional Hospital"|"839061"|"2473907.0000"|"0.0000"|"437505.0000"|"18"|"N"|"Y"|"N"
"01-0272879"|"Skills Inc"|"839063"|"589126.0000"|"0.0000"|"36894.0000"|"2"|"N"|"Y"|"N"
"01-0323280"|"Penguis Mental Health Association"|"839069"|"0.0000"|"135176.0000"|"10094.0000"|"0"|"N"|"N"|"N"
"01-0358090"|"SPRUCE RUN ASSOCIATION"|"839076"|"24506.0000"|""|"6157.0000"|""|"N"|"N"|"N"
"01-0368096"|"Alpha One"|"839081"|"0.0000"|"252997.0000"|"13775.0000"|"0"|"N"|"Y"|"N"
"01-0482994"|"MAINE ADULT EDUCATION ASSOCIATION"|"839084"|"35087.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0488478"|"KENNEBEC VALLEY COUNCIL OF GOVERNMENTS"|"839092"|"96006.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0553478"|"EAST MOUNTAIN HOSPITAL INC"|"839098"|"443876.0000"|"0.0000"|"80592.0000"|"2"|"N"|"Y"|"N"
"01-0560081"|"NATIONAL NURSING CENTERS CONSORTIUM INC"|"839104"|"199159.0000"|"722171.0000"|"863563.0000"|"1"|"N"|"Y"|"N"
"01-0598494"|"TEN CROSS STREET CORPORATION"|"839108"|"0.0000"|"189829.0000"|"21704.0000"|"0"|"N"|"N"|"N"
"01-0676306"|"Alliance Foundation for Community Health Inc"|"839112"|"0.0000"|"1596802.0000"|"99767.0000"|"0"|"Y"|"Y"|"N"
"01-0833578"|"ALLIANCE JUDY IVIE BURTON TECHNOLOGY ACADEMY HIGH SCHOOL"|"839121"|"167780.0000"|"597608.0000"|"87464.0000"|"1"|"N"|"Y"|"N"
"01-0833582"|"ALLIANCE HUNTINGTON PARK COLLEGE-READY ACADEMY HIGH SCHOOL"|"839126"|"157282.0000"|"597608.0000"|"130015.0000"|"1"|"N"|"Y"|"N"
"01-0833588"|"ALLIANCE RICHARD MERKIN MIDDLE SCHOOL"|"839130"|"177126.0000"|"597608.0000"|"88235.0000"|"1"|"N"|"Y"|"N"
"01-6010995"|"Wayne Library Association"|"839138"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-6038250"|"BPO ELKS MILLINOCKET LODGE NO 1521"|"843498"|"1667.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0342596"|"BAR HARBOR HISTORICAL SOCIETY INC"|"845618"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-6114884"|"JOHN CHABOT EDUCATIONAL FOUNDATION TRUST"|"845620"|"7692.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0116390"|"SHRINERS INTERNATIONAL"|"846024"|"9600.0000"|""|""|"0"|"N"|"N"|"N"
"01-0220091"|"NORTHEAST HARBOR LIBRARY"|"846027"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0269721"|"Harraseeket Yacht Club"|"846031"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0425115"|"MID-MAINE HOMELESS SHELTER"|"846034"|"6044.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
"01-0457896"|"C & M CONSULTING AND MANAGEMENT SERVICES"|"846037"|"0.0000"|"0.0000"|"0.0000"|"0"|"N"|"N"|"N"
