"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"CASH_BOY"|"CASH_EOY"|"SAVINGS_BOY"|"SAVINGS_EOY"|"PLEDGES_GRANTS_BOY"|"PLEDGES_GRANTS_EOY"|"ACCOUNTS_RECEIVABLE_BOY"|"ACCOUNTS_RECEIVABLE_EOY"|"QUALIFIED_RECEIVABLE_BOY"|"QUALIFIED_RECEIVABLE_EOY"|"DISQUALIFIED_RECEIVABLE_BOY"|"DISQUALIFIED_RECEIVABLE_EOY"|"LOANS_RECEIVABLE_BOY"|"LOANS_RECEIVABLE_EOY"|"INVENTORY_BOY"|"INVENTORY_EOY"|"PREPAID_BOY"|"PREPAID_EOY"|"LBE_BASE"|"LESS_DEPRECIATION"|"LBE_BOY"|"LBE_EOY"|"PUBLIC_SECURITIES_BOY"|"PUBLIC_SECURITIES_EOY"|"OTHER_SECURITIES_BOY"|"OTHER_SECURITIES_EOY"|"INVEST_PROGRAMS_BOY"|"INVEST_PROGRAMS_EOY"|"INTANG_ASSETS_BOY"|"INTANG_ASSETS_EOY"|"OTHER_ASSETS_BOY"|"OTHER_ASSETS_EOY"|"ASSETS_TOTAL_BOY"|"ASSETS_TOTAL_EOY"|"ACCOUNTS_PAYABLE_BOY"|"ACCOUNTS_PAYABLE_EOY"|"GRANTS_PAYABLE_BOY"|"GRANTS_PAYABLE_EOY"|"DEFERRED_REVENUE_BOY"|"DEFERRED_REVENUE_EOY"|"TAX_EXEMPT_BONDS_BOY"|"TAX_EXEMPT_BONDS_EOY"|"ESCROW_LIABILITY_BOY"|"ESCROW_LIABILITY_EOY"|"PAYABLE_OFFICERS_BOY"|"PAYABLE_OFFICERS_EOY"|"SECURED_NOTES_PAYABLE_BOY"|"SECURED_NOTES_PAYABLE_EOY"|"UNSECURED_NOTES_PAYABLE_BOY"|"UNSECURED_NOTES_PAYABLE_EOY"|"LIABILITY_OTHER_BOY"|"LIABILITY_OTHER_EOY"|"LIABILITY_TOTAL_BOY"|"LIABILITY_TOTAL_EOY"|"UNRESTRICTED_BOY"|"UNRESTRICTED_EOY"|"TEMP_RESTRICTED_BOY"|"TEMP_RESTRICTED_EOY"|"PERM_RESTRICTED_BOY"|"PERM_RESTRICTED_EOY"|"CAPITAL_BOY"|"CAPITAL_EOY"|"PAID_IN_BOY"|"PAID_IN_EOY"|"RETAINED_BOY"|"RETAINED_EOY"|"NET_TOTAL_BOY"|"NET_TOTAL_EOY"|"BALANCES_BOY"|"BALANCES_EOY"
"01-0342399"|"ST ANDRE HEALTH CARE FACILITY"|"972579"|"139685.0000"|"256488.0000"|"14219.0000"|"15910.0000"|""|""|"1192956.0000"|"828793.0000"|""|""|""|""|""|""|"12896.0000"|"13134.0000"|"88118.0000"|"76534.0000"|"7001772.0000"|"4184965.0000"|"2356315.0000"|"2816807.0000"|"1181243.0000"|"1182309.0000"|""|""|""|""|""|""|"660519.0000"|"110879.0000"|"5645951.0000"|"5300854.0000"|"946400.0000"|"771575.0000"|""|""|""|""|""|""|""|""|""|""|"1244216.0000"|"1085982.0000"|"150000.0000"|"49500.0000"|"621406.0000"|"511732.0000"|"2962022.0000"|"2418789.0000"|"2683929.0000"|"2882065.0000"|""|""|""|""|""|""|""|""|""|""|"2683929.0000"|"2882065.0000"|"5645951.0000"|"5300854.0000"
"01-0796325"|"GLENNWOOD FOUNDATION INC"|"974903"|"16671.0000"|"23980.0000"|""|""|""|""|""|""|""|""|""|""|"2500.0000"|"2500.0000"|""|""|""|""|""|""|""|""|""|"-40.0000"|""|""|""|""|""|""|""|""|"19171.0000"|"26440.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"90.0000"|"0.0000"|"90.0000"|"19171.0000"|"26350.0000"|""|""|""|""|""|""|""|""|""|""|"19171.0000"|"26350.0000"|"19171.0000"|"26440.0000"
"01-0885325"|"HARRIET TUBMAN CENTER"|"974904"|"187837.0000"|"391571.0000"|"36209.0000"|""|""|""|""|"90000.0000"|""|""|""|""|""|""|""|""|""|"700.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"224046.0000"|"482271.0000"|"11869.0000"|"48203.0000"|""|""|""|"22853.0000"|""|""|""|""|""|""|""|""|""|""|""|""|"11869.0000"|"71056.0000"|"212177.0000"|"321215.0000"|""|"90000.0000"|""|""|""|""|""|""|""|""|"212177.0000"|"411215.0000"|"224046.0000"|"482271.0000"
"01-0712431"|"HILLSIDE FOOD OUTREACH INC"|"989110"|"10989.0000"|"12440.0000"|""|""|""|""|""|""|""|""|""|""|""|""|"1850.0000"|"5685.0000"|""|""|"113146.0000"|"99406.0000"|"15254.0000"|"13740.0000"|""|""|""|""|""|""|""|""|"11330.0000"|"9678.0000"|"39423.0000"|"41543.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"17365.0000"|"13514.0000"|"308.0000"|""|"17673.0000"|"13514.0000"|"21750.0000"|"28029.0000"|""|""|""|""|""|""|""|""|""|""|"21750.0000"|"28029.0000"|"39423.0000"|"41543.0000"
"01-0339631"|"BIDDEFORD YOUTH HOCKEY ASSOCIATION"|"989819"|"12635.0000"|"22871.0000"|"9737.0000"|"1746.0000"|""|""|""|"5338.0000"|""|""|""|""|""|""|""|""|""|""|"190957.0000"|"172885.0000"|"20213.0000"|"18072.0000"|""|""|""|""|""|""|""|""|"300.0000"|"300.0000"|"42885.0000"|"48327.0000"|"4817.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"4817.0000"|"0.0000"|""|""|""|""|""|""|""|""|""|""|"38068.0000"|"48327.0000"|"38068.0000"|"48327.0000"|"42885.0000"|"48327.0000"
"01-0265648"|"NEW ENGLAND MUSIC CAMP ASSOCIATION"|"996445"|"27233.0000"|"62726.0000"|"97058.0000"|"103700.0000"|""|""|"408344.0000"|"579678.0000"|""|""|""|""|""|""|"4806.0000"|"4689.0000"|""|""|"1910035.0000"|"936625.0000"|"803317.0000"|"973410.0000"|"4976597.0000"|"4599020.0000"|""|""|""|""|""|""|""|""|"6317355.0000"|"6323223.0000"|"12812.0000"|"54349.0000"|""|""|"486020.0000"|"620520.0000"|""|""|""|""|""|""|""|""|""|"30000.0000"|""|""|"498832.0000"|"704869.0000"|"5818523.0000"|"5618354.0000"|""|""|""|""|""|""|""|""|""|""|"5818523.0000"|"5618354.0000"|"6317355.0000"|"6323223.0000"
"01-0325912"|"MATTANAWCOOK TERRACE HOUSING CORPORATION"|"996446"|"19503.0000"|"138077.0000"|"105411.0000"|"180428.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"1603004.0000"|"682339.0000"|"964034.0000"|"920665.0000"|""|""|""|""|""|""|"2840.0000"|"2637.0000"|""|""|"1091788.0000"|"1241807.0000"|"102273.0000"|"5992.0000"|""|""|""|""|""|""|""|""|""|""|"1132485.0000"|"1339427.0000"|""|""|"11646.0000"|"18527.0000"|"1246404.0000"|"1363946.0000"|"-154616.0000"|"-122139.0000"|""|""|""|""|""|""|""|""|""|""|"-154616.0000"|"-122139.0000"|"1091788.0000"|"1241807.0000"
"01-0360077"|"New Beginnings, Inc"|"996447"|"8750.0000"|"8708.0000"|"952735.0000"|"953752.0000"|"327707.0000"|"410321.0000"|"204996.0000"|"206436.0000"|""|""|""|""|""|""|""|""|"13670.0000"|"15870.0000"|"2294626.0000"|"964205.0000"|"1023714.0000"|"1330421.0000"|"127924.0000"|"126312.0000"|""|""|""|""|""|""|"0.0000"|"25320.0000"|"2659496.0000"|"3077140.0000"|"154667.0000"|"146432.0000"|""|""|"79123.0000"|"66634.0000"|""|""|""|""|""|""|"738722.0000"|"966276.0000"|""|""|"17961.0000"|"11599.0000"|"990473.0000"|"1190941.0000"|"1669023.0000"|"1886199.0000"|""|""|""|""|""|""|""|""|""|""|"1669023.0000"|"1886199.0000"|"2659496.0000"|"3077140.0000"
"01-0391479"|"Maine Community Foundation Inc"|"996449"|"219.0000"|"219.0000"|"12741785.0000"|"30911229.0000"|"1677532.0000"|"1133652.0000"|""|""|""|""|""|""|""|""|""|""|"186212.0000"|"186197.0000"|"805871.0000"|"343819.0000"|"408831.0000"|"462052.0000"|"171007883.0000"|"170255820.0000"|"67124859.0000"|"69526488.0000"|"1012190.0000"|"1225768.0000"|""|""|"3482085.0000"|"2871939.0000"|"257641596.0000"|"276573364.0000"|"64005.0000"|"93648.0000"|"5000.0000"|"20000.0000"|""|""|""|""|""|""|""|""|""|""|""|""|"36864024.0000"|"41690764.0000"|"36933029.0000"|"41804412.0000"|"218486865.0000"|"231898564.0000"|"2221702.0000"|"2870388.0000"|""|""|""|""|""|""|""|""|"220708567.0000"|"234768952.0000"|"257641596.0000"|"276573364.0000"
"01-0467644"|"RAGGED MOUNTAIN REC AREA FOUNDATION"|"996450"|"549564.0000"|"762693.0000"|"403351.0000"|"403386.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"149474.0000"|"155533.0000"|""|""|""|""|""|""|"105000.0000"|"105000.0000"|"1207389.0000"|"1426612.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"0.0000"|"0.0000"|"1273.0000"|"1273.0000"|"882300.0000"|"1095048.0000"|"323816.0000"|"330291.0000"|""|""|""|""|""|""|"1207389.0000"|"1426612.0000"|"1207389.0000"|"1426612.0000"
"01-0492643"|"Mid Coast Hunger Prevention Program"|"996451"|"185603.0000"|"239823.0000"|"364847.0000"|"391536.0000"|"413.0000"|""|""|""|""|""|""|""|""|""|""|""|"5787.0000"|"7928.0000"|"617693.0000"|"202159.0000"|"431042.0000"|"415534.0000"|""|"1924.0000"|""|""|""|""|""|""|""|""|"987692.0000"|"1056745.0000"|"11064.0000"|"9688.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"11064.0000"|"9688.0000"|"952678.0000"|"1047057.0000"|"23950.0000"|"0.0000"|""|""|""|""|""|""|""|""|"976628.0000"|"1047057.0000"|"987692.0000"|"1056745.0000"
"01-0527022"|"MAINE DISCOVERY MUSEUM"|"996452"|"20120.0000"|"80073.0000"|"55570.0000"|"40052.0000"|"76384.0000"|"76384.0000"|"11116.0000"|"10198.0000"|""|""|""|""|""|""|""|"45.0000"|"12538.0000"|"3778.0000"|"3529434.0000"|"1142304.0000"|"2446482.0000"|"2387130.0000"|"1000.0000"|"1000.0000"|""|""|""|""|""|""|""|""|"2623210.0000"|"2598660.0000"|"66540.0000"|"85955.0000"|""|""|"38271.0000"|"38271.0000"|""|""|""|""|""|""|"493850.0000"|"493850.0000"|""|""|"8433.0000"|"7263.0000"|"607094.0000"|"625339.0000"|"1977874.0000"|"1935079.0000"|"13000.0000"|"13000.0000"|"25242.0000"|"25242.0000"|""|""|""|""|""|""|"2016116.0000"|"1973321.0000"|"2623210.0000"|"2598660.0000"
"01-0588077"|"DEMOCRATIC FARMER LABOR PARTY BUILDING FUND"|"996454"|"503.0000"|"40620.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"1355000.0000"|"236770.0000"|"692307.0000"|"1118230.0000"|""|""|""|""|""|""|""|""|""|""|"692810.0000"|"1158850.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"588168.0000"|"1150446.0000"|"588168.0000"|"1150446.0000"|""|""|""|""|""|""|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"104642.0000"|"8404.0000"|"104642.0000"|"8404.0000"|"692810.0000"|"1158850.0000"
"01-0604413"|"THE FOUNDATION OF ST. LAWRENCE NYSARC, INC."|"996455"|""|""|"244056.0000"|"300434.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"879804.0000"|"882006.0000"|""|""|""|""|""|""|""|""|"1123860.0000"|"1182440.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"0.0000"|"0.0000"|"799600.0000"|"858180.0000"|""|""|"324260.0000"|"324260.0000"|""|""|""|""|""|""|"1123860.0000"|"1182440.0000"|"1123860.0000"|"1182440.0000"
"01-0606353"|"MIDWEST REGION LABORERS'-EMPLOYERS' COOPERATION & EDUCATION TRUST"|"996456"|"471381.0000"|"535620.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"124635.0000"|"51387.0000"|"56372.0000"|"73248.0000"|"279113.0000"|"295600.0000"|""|""|""|""|""|""|"119.0000"|"106.0000"|"806985.0000"|"904574.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"10526.0000"|"4085.0000"|"10526.0000"|"4085.0000"|"796459.0000"|"900489.0000"|""|""|""|""|""|""|""|""|""|""|"796459.0000"|"900489.0000"|"806985.0000"|"904574.0000"
"01-0608944"|"Roofing Contractors Association of South Florida, Inc."|"996457"|"15958.0000"|"14971.0000"|"28290.0000"|"28343.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"5296.0000"|"5296.0000"|"1905.0000"|""|""|""|""|""|""|""|""|""|""|""|"46153.0000"|"43314.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"2265.0000"|"2309.0000"|"2265.0000"|"2309.0000"|""|""|""|""|""|""|""|""|""|""|"43888.0000"|"41005.0000"|"43888.0000"|"41005.0000"|"46153.0000"|"43314.0000"
"01-0466131"|"LA PUBLIC THEATER INC"|"989820"|"14105.0000"|"2496.0000"|""|"16827.0000"|"100706.0000"|"0.0000"|"528.0000"|"0.0000"|""|""|""|""|""|""|""|""|""|""|"1517330.0000"|"285509.0000"|"1264622.0000"|"1231821.0000"|"74920.0000"|"83291.0000"|""|""|""|""|""|""|"4250.0000"|"0.0000"|"1459131.0000"|"1334435.0000"|"20814.0000"|"8460.0000"|""|""|"43324.0000"|"38338.0000"|""|""|""|""|""|""|"127448.0000"|"86937.0000"|""|"2600.0000"|""|""|"191586.0000"|"136335.0000"|"1166342.0000"|"1197944.0000"|"101203.0000"|"156.0000"|""|""|""|""|""|""|""|""|"1267545.0000"|"1198100.0000"|"1459131.0000"|"1334435.0000"
"01-0564933"|"AUSTIN HINDU TEMPLE AND COMMUNITY CENTER"|"990225"|""|""|"464565.0000"|"710532.0000"|""|""|""|""|""|""|""|""|""|""|""|""|"18773.0000"|"11200.0000"|"2883934.0000"|"92674.0000"|"2791061.0000"|"2791260.0000"|""|""|"4745.0000"|""|""|""|""|""|""|""|"3279144.0000"|"3512992.0000"|""|""|""|""|""|""|""|""|""|""|""|""|"988517.0000"|"907433.0000"|""|""|"3556.0000"|"4304.0000"|"992073.0000"|"911737.0000"|""|""|""|""|""|""|"0.0000"|"0.0000"|"1618887.0000"|"1618887.0000"|"668184.0000"|"982368.0000"|"2287071.0000"|"2601255.0000"|"3279144.0000"|"3512992.0000"
"01-0736732"|"MOUNT ST MARY'S HDFC INC"|"990226"|"4236.0000"|"474.0000"|""|""|""|""|"15920.0000"|"46997.0000"|""|""|""|""|""|""|""|""|"3635.0000"|"1187.0000"|"4797976.0000"|"773101.0000"|"4141863.0000"|"4024875.0000"|""|""|""|""|""|""|""|""|"132148.0000"|"133398.0000"|"4297802.0000"|"4206931.0000"|"9139.0000"|"8992.0000"|""|""|"913757.0000"|"887424.0000"|""|""|""|""|""|""|""|""|""|""|"8659.0000"|"9074.0000"|"931555.0000"|"905490.0000"|"3366247.0000"|"3301441.0000"|""|""|""|""|""|""|""|""|""|""|"3366247.0000"|"3301441.0000"|"4297802.0000"|"4206931.0000"
"01-0741733"|"INTERNATIONAL PARTNERSHIP FOR MICROBICIDES INC"|"990227"|"1000.0000"|"1000.0000"|"25460044.0000"|"10304928.0000"|"969239.0000"|"1237588.0000"|"561202.0000"|"141133.0000"|""|""|""|""|""|""|""|""|"2509185.0000"|"1454339.0000"|"10957352.0000"|"6353634.0000"|"5958068.0000"|"4603718.0000"|"45625169.0000"|"34124359.0000"|""|""|""|""|""|""|"436130.0000"|"733840.0000"|"81520037.0000"|"52600905.0000"|"8519027.0000"|"2886888.0000"|""|""|"49693990.0000"|"28615297.0000"|""|""|""|""|""|""|""|""|""|""|""|""|"58213017.0000"|"31502185.0000"|"23307020.0000"|"21098720.0000"|""|""|""|""|""|""|""|""|""|""|"23307020.0000"|"21098720.0000"|"81520037.0000"|"52600905.0000"
"01-0938132"|"7 RIVERS ALLIANCE"|"990228"|"31.0000"|"1976.0000"|"30767.0000"|"60164.0000"|"138774.0000"|"56724.0000"|"2500.0000"|"2820.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"172072.0000"|"121684.0000"|"54052.0000"|"8715.0000"|""|""|"9500.0000"|"9950.0000"|""|""|""|""|""|""|""|""|""|""|""|""|"63552.0000"|"18665.0000"|"28520.0000"|"63019.0000"|"80000.0000"|"40000.0000"|""|""|""|""|""|""|""|""|"108520.0000"|"103019.0000"|"172072.0000"|"121684.0000"
"01-0358732"|"MOBIUS INC"|"990539"|"1590517.0000"|"1468848.0000"|""|""|""|""|"729744.0000"|"926267.0000"|""|""|""|""|"7636.0000"|"5059.0000"|"8049.0000"|"5961.0000"|"11742.0000"|"104115.0000"|"3046029.0000"|"1310377.0000"|"1702844.0000"|"1735652.0000"|""|""|"68000.0000"|"68000.0000"|""|""|""|""|"25497.0000"|"24478.0000"|"4144029.0000"|"4338380.0000"|"351949.0000"|"420421.0000"|""|""|""|""|""|""|""|""|""|""|"1616455.0000"|"1636467.0000"|""|""|""|""|"1968404.0000"|"2056888.0000"|"2163895.0000"|"2271890.0000"|"11730.0000"|"9602.0000"|""|""|""|""|""|""|""|""|"2175625.0000"|"2281492.0000"|"4144029.0000"|"4338380.0000"
"01-0778873"|"EASTON MOUNTAIN, INC."|"991957"|"18957.0000"|"45550.0000"|""|"15129.0000"|""|""|"10107.0000"|"19020.0000"|""|""|""|""|""|""|"7203.0000"|"10459.0000"|"7248.0000"|"7120.0000"|"304284.0000"|"185600.0000"|"133597.0000"|"118684.0000"|""|""|""|""|""|""|""|""|"2882.0000"|"4834.0000"|"179994.0000"|"220796.0000"|"39937.0000"|"76647.0000"|""|""|"57152.0000"|"54794.0000"|""|""|""|""|""|""|"28134.0000"|"50722.0000"|""|""|"82445.0000"|"125209.0000"|"207668.0000"|"307372.0000"|"-37807.0000"|"-88536.0000"|"10133.0000"|"1960.0000"|""|""|""|""|""|""|""|""|"-27674.0000"|"-86576.0000"|"179994.0000"|"220796.0000"
"01-0826246"|"CALIFORNIA COUNCIL OF LAND TRUSTS"|"991958"|"38857.0000"|"106481.0000"|"29910.0000"|"86.0000"|""|""|"0.0000"|"1000.0000"|""|""|""|""|""|""|""|""|""|""|"10347.0000"|"10347.0000"|"115.0000"|"0.0000"|""|""|""|""|""|""|""|""|"1600.0000"|"1600.0000"|"70482.0000"|"109167.0000"|""|""|""|""|"64114.0000"|"103793.0000"|""|""|""|""|""|""|""|""|""|""|""|""|"64114.0000"|"103793.0000"|"6368.0000"|"5374.0000"|""|""|""|""|""|""|""|""|""|""|"6368.0000"|"5374.0000"|"70482.0000"|"109167.0000"
"01-0888847"|"BETHEL TOWERS INC"|"991959"|"42331.0000"|"99437.0000"|""|""|""|""|"11470.0000"|"28958.0000"|""|""|""|""|""|""|""|""|"63367.0000"|"69772.0000"|"1664145.0000"|"300531.0000"|"1409871.0000"|"1363614.0000"|""|""|""|""|"514963.0000"|"619666.0000"|"38164.0000"|"36429.0000"|"38844.0000"|"39610.0000"|"2119010.0000"|"2257486.0000"|"56165.0000"|"33109.0000"|""|""|""|""|""|""|""|""|""|""|"1058824.0000"|"778455.0000"|""|""|"787128.0000"|"790359.0000"|"1902117.0000"|"1601923.0000"|"216893.0000"|"655563.0000"|""|""|""|""|""|""|""|""|""|""|"216893.0000"|"655563.0000"|"2119010.0000"|"2257486.0000"
"01-6254546"|"SEIU Healthcare PA Training & Education Fund"|"991960"|"0.0000"|"0.0000"|"630272.0000"|"594331.0000"|"0.0000"|"0.0000"|"43085.0000"|"92022.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|""|""|"0.0000"|""|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"3565.0000"|"8663.0000"|"676922.0000"|"695016.0000"|"41029.0000"|"78362.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"41029.0000"|"78362.0000"|"635893.0000"|"616654.0000"|""|""|""|""|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"635893.0000"|"616654.0000"|"676922.0000"|"695016.0000"
"01-0764022"|"MillerCoors LLC Long-Term Disability & Survivor Income Benefit Plan Trust"|"996462"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"7290909.0000"|"5806000.0000"|""|""|""|""|""|""|""|""|"7290909.0000"|"5806000.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"0.0000"|"0.0000"|""|""|""|""|""|""|"7290909.0000"|"5806000.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"7290909.0000"|"5806000.0000"|"7290909.0000"|"5806000.0000"
"01-0800764"|"HERITAGE REGIONAL LIBRARY FDN"|"996463"|""|""|"163346.0000"|"269061.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"163346.0000"|"269061.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"0.0000"|"0.0000"|""|""|"163346.0000"|"269061.0000"|""|""|""|""|""|""|""|""|"163346.0000"|"269061.0000"|"163346.0000"|"269061.0000"
"01-0804043"|"SALMON OF AMERICAS, INC"|"996464"|"20589.0000"|"269386.0000"|""|""|""|""|"160140.0000"|"8140.0000"|""|""|""|""|"335000.0000"|"0.0000"|""|""|""|""|"6732.0000"|"6520.0000"|"637.0000"|"212.0000"|""|""|""|""|""|""|""|""|"5262.0000"|"5775.0000"|"521628.0000"|"283513.0000"|"138.0000"|"1158.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"138.0000"|"1158.0000"|"521490.0000"|"282355.0000"|""|""|""|""|""|""|""|""|""|""|"521490.0000"|"282355.0000"|"521628.0000"|"283513.0000"
"01-0921490"|"IDignity, Inc."|"996467"|"57340.0000"|"214392.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"4601.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"3210.0000"|"669.0000"|"1568.0000"|"2541.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"63509.0000"|"216933.0000"|"3891.0000"|"2609.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|""|""|"3891.0000"|"2609.0000"|"59618.0000"|"207324.0000"|"0.0000"|"7000.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"59618.0000"|"214324.0000"|"63509.0000"|"216933.0000"
"01-6004404"|"United Way of Kennebec Valley"|"996469"|"30214.0000"|"51890.0000"|"273576.0000"|"317284.0000"|"854388.0000"|"801621.0000"|"49584.0000"|"30266.0000"|""|""|""|""|""|""|""|""|""|"8554.0000"|"60099.0000"|"50389.0000"|"8197.0000"|"9710.0000"|""|""|"143092.0000"|"138583.0000"|""|""|""|""|"0.0000"|"2000.0000"|"1359051.0000"|"1359908.0000"|"67592.0000"|"41485.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"245342.0000"|"172118.0000"|"312934.0000"|"213603.0000"|"140703.0000"|"222037.0000"|"905414.0000"|"924268.0000"|""|""|""|""|""|""|""|""|"1046117.0000"|"1146305.0000"|"1359051.0000"|"1359908.0000"
"01-0281533"|"Green Valley Association"|"991062"|"356724.0000"|"414319.0000"|"235350.0000"|"236759.0000"|""|""|"143728.0000"|"71188.0000"|""|""|""|""|""|""|""|""|"16279.0000"|"45597.0000"|"1415194.0000"|"956894.0000"|"478575.0000"|"458300.0000"|""|""|""|""|""|""|""|""|""|""|"1230656.0000"|"1226163.0000"|"209862.0000"|"196362.0000"|""|""|""|""|""|""|""|""|""|""|"23161.0000"|"5123.0000"|""|""|""|""|"233023.0000"|"201485.0000"|"997633.0000"|"1024678.0000"|""|""|""|""|""|""|""|""|""|""|"997633.0000"|"1024678.0000"|"1230656.0000"|"1226163.0000"
"01-0422035"|"TEDFORD HOUSING"|"991063"|""|""|"683734.0000"|"312986.0000"|""|""|"136197.0000"|"115276.0000"|""|""|""|""|""|""|""|""|""|"7185.0000"|"5981642.0000"|"638763.0000"|"4522988.0000"|"5342879.0000"|""|""|"260386.0000"|"249818.0000"|""|""|""|""|""|""|"5603305.0000"|"6028144.0000"|"10408.0000"|"50889.0000"|""|""|""|""|""|""|""|""|""|""|"3524354.0000"|"3640122.0000"|""|""|"30566.0000"|"39183.0000"|"3565328.0000"|"3730194.0000"|"2026650.0000"|"2258950.0000"|"11327.0000"|"39000.0000"|""|""|""|""|""|""|""|""|"2037977.0000"|"2297950.0000"|"5603305.0000"|"6028144.0000"
"01-0532835"|"SAFE PASSAGE"|"991064"|"53667.0000"|"136554.0000"|"331088.0000"|"377344.0000"|"169239.0000"|"65048.0000"|""|"0.0000"|""|"0.0000"|""|"0.0000"|""|"0.0000"|""|"0.0000"|""|"0.0000"|""|""|""|"0.0000"|"3140203.0000"|"3088883.0000"|""|"0.0000"|""|"0.0000"|""|"0.0000"|""|"0.0000"|"3694197.0000"|"3667829.0000"|"6213.0000"|"8503.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"486361.0000"|"156716.0000"|"492574.0000"|"165219.0000"|"1815028.0000"|"2206176.0000"|"344436.0000"|"254275.0000"|"1042159.0000"|"1042159.0000"|""|""|""|""|""|""|"3201623.0000"|"3502610.0000"|"3694197.0000"|"3667829.0000"
"01-6024421"|"Town of Mount Desert Medical Center"|"991066"|"478.0000"|"1787.0000"|"50233.0000"|"50168.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"326895.0000"|"284621.0000"|"31830.0000"|"42274.0000"|"1464279.0000"|"1476150.0000"|""|""|""|""|""|""|""|""|"1546820.0000"|"1570379.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"0.0000"|"0.0000"|"82540.0000"|"94229.0000"|"1464280.0000"|"1476150.0000"|""|""|""|""|""|""|""|""|"1546820.0000"|"1570379.0000"|"1546820.0000"|"1570379.0000"
