"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"GRANTS_ORGS_US"|"GRANTS_INDIVIDUALS_US"|"GRANTS_ORGS_NON_US"|"BENEFITS_TOTAL"|"COMPENSATION_CURRENT"|"COMPENSATION_DISQUALIFIED"|"WAGES_TOTAL"|"PENSION_TOTAL"|"EMPLOYEE_BENEFITS_TOTAL"|"PAYROLL_TAX_TOTAL"|"FEES_MANAGEMENT"|"FEES_LEGAL"|"ACCOUNTING_FEES_TOTAL"|"FEES_LOBBYING"|"FUNDRAISING_TOTAL"|"FEES_INVESTMENTS"|"FEES_OTHER"|"ADS_PROMO"|"OFFICE"|"INFO_TECH"|"EXP_ROYALTIES"|"OCCUPANCY_TOTAL"|"TRAVEL_TOTAL"|"ENTERTAIN_OFFICIALS"|"MEETINGS_TOTAL"|"INTEREST_TOTAL"|"PAYMENTS"|"DEPRECIATION_TOTAL"|"INSURANCE"|"EXPENSE_A_TOTAL"|"EXPENSE_B_TOTAL"|"EXPENSE_C_TOTAL"|"EXPENSE_D_TOTAL"|"EXPENSE_E_TOTAL"|"EXPENSES_TOTAL"|"TOTAL_PROGRAM_SERVICES"|"TOTAL_MANAGEMENT"|"TOTAL_FUNDRAISING"|"REPORT_COSTS_CBX"|"JOINT_TOTAL"|"JOINT_SERVICES"|"JOINT_GENERAL"|"JOINT_FUNDRAISING"|"ALL_OTHER_EXPENSES"|"EXPENSE_A_DESC"|"EXPENSE_B_DESC"|"EXPENSE_C_DESC"|"EXPENSE_D_DESC"
"01-0366667"|"MAINE OPTOMETRIC ASSOCIATION"|"1000938"|""|""|""|""|"40848.0000"|"0.0000"|""|""|""|"3188.0000"|""|"49647.0000"|"3500.0000"|"8975.0000"|""|""|""|"174.0000"|"4635.0000"|""|""|""|""|""|"108033.0000"|""|""|"6135.0000"|"2055.0000"|"124971.0000"|"10732.0000"|"6610.0000"|"4272.0000"|""|"394946.0000"|""|""|""|""|""|""|""|""|"21171.0000"|""|""|""|""
"01-0430078"|"DOWNEAST COASTAL CONSERVANCY"|"1000939"|"1000.0000"|""|""|""|"36110.0000"|""|"68050.0000"|""|"12766.0000"|"9318.0000"|""|"2904.0000"|"7027.0000"|""|""|""|"37498.0000"|"6036.0000"|"6455.0000"|""|""|"16927.0000"|"4706.0000"|""|"3710.0000"|""|""|"6615.0000"|"4625.0000"|"10637.0000"|"3150.0000"|"2770.0000"|"130.0000"|""|"240434.0000"|"183425.0000"|"48505.0000"|"8504.0000"|""|""|""|""|""|""|""|""|""|""
"01-0436739"|"Eastport Arts Center"|"1000940"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"34406.0000"|"0.0000"|"866.0000"|"2632.0000"|"0.0000"|"0.0000"|"3729.0000"|"0.0000"|"0.0000"|"0.0000"|"22796.0000"|"1940.0000"|"8128.0000"|"458.0000"|"0.0000"|"22990.0000"|"2027.0000"|"0.0000"|"0.0000"|"33.0000"|"0.0000"|"18420.0000"|"7239.0000"|"456.0000"|"35.0000"|"0.0000"|"0.0000"|""|"130893.0000"|"75293.0000"|"53513.0000"|"2087.0000"|""|""|""|""|""|"4738.0000"|""|""|""|""
"01-0544705"|"ST ANTHONYS MONASTERY ASSOCIATION"|"1000941"|"62300.0000"|""|""|""|"97614.0000"|""|"228767.0000"|""|""|"24695.0000"|""|"4484.0000"|"9932.0000"|""|""|""|"115844.0000"|"39710.0000"|"6197.0000"|""|""|""|"10260.0000"|""|""|""|""|""|"26475.0000"|"110294.0000"|"103278.0000"|"87323.0000"|"19044.0000"|""|"946217.0000"|"946217.0000"|"0.0000"|"0.0000"|""|""|""|""|""|""|""|""|""|""
"01-0547255"|"UAW Local 3999 BIW Dental Benefit Trust Fund"|"1000942"|""|""|""|""|""|""|""|""|""|""|""|""|"7476.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"375114.0000"|"4764.0000"|""|""|""|"387354.0000"|"387354.0000"|"0.0000"|"0.0000"|""|""|""|""|""|""|""|""|""|""
"01-0581489"|"NEIGHBORHOOD LENDING PARTNERS, INC."|"1003075"|""|""|""|""|""|""|"111676.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"111676.0000"|"0.0000"|"111676.0000"|"0.0000"|""|""|""|""|""|""|""|""|""|""
"01-0746157"|"AM DAWG INC."|"1003076"|""|""|""|""|"0.0000"|"0.0000"|""|""|""|""|""|"5000.0000"|"750.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"4738.0000"|"902.0000"|"12409.0000"|"928.0000"|"585.0000"|"354.0000"|""|"25970.0000"|"7054.0000"|"18916.0000"|"0.0000"|""|""|""|""|""|"304.0000"|""|""|""|""
"01-0279587"|"Waban Projects Inc"|"1003072"|""|""|""|""|"128980.0000"|""|"7526739.0000"|"65092.0000"|""|"609314.0000"|""|""|""|""|""|""|"218245.0000"|""|""|""|""|"668948.0000"|""|""|""|""|""|"535512.0000"|""|"2571046.0000"|"331044.0000"|"118332.0000"|""|""|"12773252.0000"|"11520387.0000"|"1252865.0000"|"0.0000"|""|""|""|""|""|""|""|""|""|""
"01-0388609"|"STILLWATER MONTESSORI SCHOOL"|"1003074"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"93061.0000"|"0.0000"|"157964.0000"|"0.0000"|"16173.0000"|"19599.0000"|"0.0000"|"0.0000"|"941.0000"|"0.0000"|"0.0000"|"0.0000"|"2244.0000"|"342.0000"|"13301.0000"|"0.0000"|"0.0000"|"60678.0000"|"737.0000"|"0.0000"|"855.0000"|"0.0000"|"0.0000"|"2336.0000"|"2846.0000"|"10070.0000"|"3095.0000"|"565.0000"|"4799.0000"|""|"389606.0000"|"334582.0000"|"52648.0000"|"2376.0000"|""|""|""|""|""|""|""|""|""|""
"01-0245341"|"CORNELIA WARREN COMMUNITY ASSOCIATION"|"998737"|""|""|""|""|""|""|""|""|""|""|""|""|"650.0000"|""|""|"280.0000"|""|""|"44.0000"|""|""|""|""|""|""|""|""|""|""|"255435.0000"|""|""|""|""|"256409.0000"|"255435.0000"|"974.0000"|"0.0000"|""|""|""|""|""|""|""|""|""|""
"01-0346260"|"PORTLAND EDUCATION ASSOCIATION"|"998739"|"1000.0000"|""|""|""|"25167.0000"|""|""|""|""|"2216.0000"|""|""|"1295.0000"|""|""|""|"1000.0000"|""|"1202.0000"|""|""|""|""|""|"17922.0000"|""|"338908.0000"|"157.0000"|""|"14301.0000"|"1154.0000"|"255.0000"|""|""|"404577.0000"|"404577.0000"|""|""|""|""|""|""|""|""|""|""|""|""
"01-0373341"|"ATLANTIC PARTNERS EMS, INC."|"998740"|""|""|""|""|""|""|"384880.0000"|""|"54823.0000"|"36757.0000"|""|"3169.0000"|"6710.0000"|""|""|""|""|""|"40349.0000"|""|""|"14644.0000"|"16491.0000"|""|""|"3241.0000"|""|"18536.0000"|"10617.0000"|"114465.0000"|"71449.0000"|"56683.0000"|"44655.0000"|""|"933683.0000"|"887661.0000"|"46022.0000"|"0.0000"|""|""|""|""|""|"56214.0000"|""|""|""|""
"01-0544448"|"UNIVERSITY OF MAINE SCHOOL OF LAW FOUNDATION"|"998741"|"180272.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"6050.0000"|"0.0000"|"0.0000"|"13187.0000"|"0.0000"|"0.0000"|"432.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"210.0000"|"0.0000"|"0.0000"|"12207.0000"|"3650.0000"|"517.0000"|"18104.0000"|""|""|""|"234629.0000"|"192479.0000"|"42150.0000"|"0.0000"|""|""|""|""|""|""|""|""|""|""
"01-0694632"|"SEYMOUR OSMAN COMMUNITY CENTER AND YOUTH HAVEN"|"998742"|""|""|""|""|""|""|""|""|""|""|""|"4450.0000"|""|""|""|""|""|""|"4204.0000"|"210.0000"|""|""|"663.0000"|""|"496.0000"|""|""|""|"3481.0000"|"246543.0000"|"26138.0000"|"16458.0000"|"3230.0000"|""|"305923.0000"|"305923.0000"|"0.0000"|"0.0000"|""|""|""|""|""|"50.0000"|""|""|""|""
"01-0844012"|"The Sun-Times Judge Marovitz Lawyer Lend-A-Hand to Youth Program"|"998744"|"210000.0000"|""|""|""|"122862.0000"|""|""|""|""|""|""|""|"5632.0000"|""|""|"7868.0000"|"378.0000"|"216.0000"|"13375.0000"|""|""|""|"799.0000"|""|"568.0000"|""|""|"409.0000"|""|"10498.0000"|"2760.0000"|"530.0000"|"146.0000"|""|"376041.0000"|"267429.0000"|"43885.0000"|"64727.0000"|""|""|""|""|""|""|""|""|""|""
"01-0246804"|"VNA HOME HEALTH & HOSPICE"|"1000365"|""|""|""|""|"108480.0000"|""|"6454107.0000"|"229425.0000"|"990691.0000"|"523883.0000"|""|"6455.0000"|"45000.0000"|""|""|""|"452384.0000"|"16867.0000"|""|""|""|"316422.0000"|"304113.0000"|""|"35498.0000"|""|""|"112883.0000"|"12150.0000"|"520056.0000"|"287380.0000"|"134174.0000"|"72956.0000"|""|"10730848.0000"|"8956488.0000"|"1774360.0000"|"0.0000"|""|""|""|""|""|"107924.0000"|""|""|""|""
"01-0478004"|"THE MAINE NARROW GAUGE RAILROAD AND INDUSTRIAL HERITAGE TRUST"|"1000366"|""|""|""|""|"39597.0000"|""|"19391.0000"|""|""|"4895.0000"|""|"10.0000"|"4350.0000"|""|""|""|"2353.0000"|"15195.0000"|"7393.0000"|""|""|"82119.0000"|"85.0000"|""|""|"5008.0000"|""|"54430.0000"|"20584.0000"|"20607.0000"|"7419.0000"|"4658.0000"|"4417.0000"|""|"302407.0000"|"215368.0000"|"71049.0000"|"15990.0000"|""|""|""|""|""|"9896.0000"|""|""|""|""
"01-0687133"|"GOLISANO CHILDREN'S MUSEUM OF NAPLES INC"|"1000367"|""|""|""|""|"201923.0000"|""|"361514.0000"|""|"59716.0000"|"46753.0000"|""|""|"7600.0000"|""|""|"637.0000"|"60240.0000"|"16976.0000"|"45900.0000"|"64599.0000"|""|"37770.0000"|"9880.0000"|""|"7548.0000"|""|""|"24915.0000"|"2297.0000"|"138567.0000"|"95435.0000"|"49936.0000"|"17948.0000"|""|"1302064.0000"|"708052.0000"|"233115.0000"|"360897.0000"|""|""|""|""|""|"51910.0000"|""|""|""|""
"01-0275130"|"Unity College"|"1000593"|""|"5828608.0000"|""|""|"514902.0000"|""|"5340063.0000"|"219434.0000"|"949527.0000"|"460243.0000"|""|""|""|""|""|""|"354763.0000"|"78819.0000"|"702505.0000"|"284221.0000"|""|"363259.0000"|"242873.0000"|""|"65424.0000"|"138675.0000"|""|"839229.0000"|"113010.0000"|"576858.0000"|"359976.0000"|"206848.0000"|"101284.0000"|""|"17911087.0000"|"14061569.0000"|"3339865.0000"|"509653.0000"|""|""|""|""|""|"170566.0000"|""|""|""|""
"01-0719207"|"FIRST MEDICAL INSURANCE COMPANY (RRG)"|"1004652"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"83123.0000"|"2346.0000"|"23700.0000"|"0.0000"|"0.0000"|"207159.0000"|"20250.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"849.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"4038200.0000"|"534174.0000"|"372982.0000"|"5684.0000"|""|"5288560.0000"|"4945356.0000"|"343204.0000"|"0.0000"|""|""|""|""|""|""|""|""|""|""
"01-0697213"|"HELPING HANDS OUTREACH"|"1007737"|""|""|""|""|"81335.0000"|""|""|""|"5520.0000"|"7297.0000"|""|""|"390.0000"|""|""|""|"4552.0000"|"3548.0000"|"4995.0000"|""|""|"5588.0000"|"7331.0000"|""|"4078.0000"|""|"15260.0000"|""|""|"7876.0000"|"585.0000"|""|""|""|"149809.0000"|"135787.0000"|"3955.0000"|"10067.0000"|""|""|""|""|""|"1454.0000"|""|""|""|""
"01-0765884"|"NORTH CLACKAMAS CHRISTIAN SCHOOL"|"1007738"|""|""|""|""|"679643.0000"|""|""|""|"101569.0000"|"37995.0000"|""|""|"4111.0000"|""|""|""|""|""|"5388.0000"|""|""|""|"17042.0000"|""|""|"29677.0000"|""|"77457.0000"|""|"213437.0000"|"41908.0000"|"27516.0000"|"18719.0000"|""|"1297173.0000"|"752314.0000"|"455581.0000"|"89278.0000"|""|""|""|""|""|"42711.0000"|""|""|""|""
"01-0819513"|"DANSVILLE FIRE DEPARTMENT INC"|"1007740"|""|"1300.0000"|""|"1875.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""|"1331.0000"|"2985.0000"|""|""|"11512.0000"|""|""|""|""|""|"67216.0000"|"3469.0000"|"9687.0000"|"2530.0000"|"2193.0000"|"1730.0000"|""|"108127.0000"|"108127.0000"|"0.0000"|"0.0000"|""|""|""|""|""|"2299.0000"|""|""|""|""
"01-0930709"|"Glenwood Family Ministries"|"1007741"|""|""|""|""|"5000.0000"|""|"29197.0000"|""|"3266.0000"|"2545.0000"|""|""|"1242.0000"|""|""|""|""|""|""|"107.0000"|""|""|""|""|"479.0000"|""|""|"1390.0000"|"2582.0000"|"3335.0000"|"1407.0000"|"6696.0000"|"3258.0000"|""|"61462.0000"|"58227.0000"|"2424.0000"|"811.0000"|""|""|""|""|""|"958.0000"|""|""|""|""
"01-0735797"|"HOMELAND PROTECTION INSTITUTE, LTD."|"1004653"|""|""|""|""|"153254.0000"|""|"116870.0000"|""|"3215.0000"|"17848.0000"|""|"313.0000"|"31804.0000"|""|""|""|"649588.0000"|""|"94787.0000"|""|""|"42311.0000"|"42151.0000"|""|""|""|""|"3251.0000"|"4877.0000"|"2790.0000"|"1041.0000"|"298.0000"|""|""|"1164398.0000"|"931520.0000"|"232878.0000"|"0.0000"|""|""|""|""|""|""|""|""|""|""
"01-0803109"|"INTERNATIONAL SEMATECH MANUFACTURING INITIATIVE INC"|"1004656"|""|""|""|""|"610835.0000"|""|"6460010.0000"|"898689.0000"|"2093064.0000"|"723403.0000"|""|"1110.0000"|"29524.0000"|""|""|""|"1507745.0000"|"1267.0000"|"103203.0000"|"72152.0000"|""|"5187.0000"|"1146290.0000"|""|"290194.0000"|"437.0000"|""|"587686.0000"|""|"2317606.0000"|"153865.0000"|"61636.0000"|"42018.0000"|""|"14083054.0000"|""|""|""|""|""|""|""|""|"-3022867.0000"|""|""|""|""
"01-0811961"|"INTERNATIONAL ASSOCIATION OF SOFTWARE ARCHITECTS"|"1004657"|""|""|""|""|"152240.0000"|""|"193477.0000"|""|""|"30113.0000"|""|"11.0000"|"20825.0000"|""|""|""|"191847.0000"|"8253.0000"|"86630.0000"|"60145.0000"|""|"121507.0000"|"72289.0000"|""|"28996.0000"|"534.0000"|""|"5967.0000"|"989.0000"|"68379.0000"|"8363.0000"|"6280.0000"|"3215.0000"|""|"1062958.0000"|""|""|""|""|""|""|""|""|"2898.0000"|""|""|""|""
"01-0867393"|"CR JRS CHIP"|"1004659"|""|""|""|"7600.0000"|"82930.0000"|""|"290908.0000"|""|""|""|""|""|"13121.0000"|""|""|""|""|"7834.0000"|""|""|""|"75189.0000"|"8444.0000"|""|""|""|""|"1929.0000"|"21670.0000"|"6652.0000"|"1323.0000"|""|""|""|"517600.0000"|"313160.0000"|"158778.0000"|"45662.0000"|""|""|""|""|""|""|""|""|""|""
"01-6010506"|"LOCAL 716 HEALTH & WELFARE TRUST FUND"|"1004660"|"0.0000"|"0.0000"|"0.0000"|"2398490.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"105749.0000"|"48989.0000"|"34660.0000"|"0.0000"|"0.0000"|"29118.0000"|"4000.0000"|"0.0000"|"4524.0000"|"2440.0000"|"0.0000"|"3012.0000"|"0.0000"|"0.0000"|"3972.0000"|"0.0000"|"0.0000"|"0.0000"|"2277.0000"|"4340.0000"|"3099.0000"|"995.0000"|"7554.0000"|""|"2655394.0000"|"0.0000"|"0.0000"|"0.0000"|""|""|""|""|""|"1133.0000"|""|""|""|""
"01-6011483"|"PORTLAND FIREFIGHTERS' UNION LOCAL #740"|"1004661"|"7149.0000"|"400.0000"|""|"7043.0000"|"95244.0000"|""|"8666.0000"|""|""|"8547.0000"|""|"20250.0000"|""|""|""|""|"5893.0000"|""|"28945.0000"|""|""|""|"5397.0000"|""|"11564.0000"|""|"50671.0000"|"1739.0000"|"13424.0000"|"14571.0000"|""|""|""|""|"279503.0000"|""|""|""|""|""|""|""|""|""|""|""|""|""
"01-6021794"|"CHARLOTTE HOBBS MEMORIAL LIBRARY"|"1004662"|""|""|""|""|"22775.0000"|""|"28165.0000"|"1310.0000"|""|"2713.0000"|""|""|""|""|""|"2797.0000"|""|""|"7234.0000"|"6245.0000"|""|""|""|""|""|""|""|"23634.0000"|"4171.0000"|"10143.0000"|"6950.0000"|"5941.0000"|"2388.0000"|""|"129081.0000"|"106223.0000"|"14864.0000"|"7994.0000"|""|""|""|""|""|"4615.0000"|""|""|""|""
"01-0211509"|"GOULD ACADEMY"|"1007727"|""|"2477200.0000"|""|""|"376312.0000"|""|"4365016.0000"|"201026.0000"|"683354.0000"|"341509.0000"|""|"22357.0000"|"24683.0000"|""|""|"15632.0000"|"2445.0000"|""|"178508.0000"|"163034.0000"|""|"1281934.0000"|"139339.0000"|""|"124210.0000"|"165862.0000"|""|"672355.0000"|"128755.0000"|"706057.0000"|"610812.0000"|"488389.0000"|"128801.0000"|""|"13438439.0000"|"10664041.0000"|"2047207.0000"|"727191.0000"|""|""|""|""|""|""|""|""|""|""
"01-0248668"|"HUBBARD FREE LIBRARY"|"1007728"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"41170.0000"|"0.0000"|"4081.0000"|"3150.0000"|"0.0000"|"60.0000"|"3000.0000"|"0.0000"|""|"4998.0000"|"0.0000"|"0.0000"|"6474.0000"|"0.0000"|"0.0000"|"30539.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"14009.0000"|"8460.0000"|"322.0000"|""|""|"116263.0000"|"108205.0000"|"8058.0000"|"0.0000"|""|""|""|""|""|""|""|""|""|""
"01-0370896"|"Maine Association of Retirees, Inc."|"1007732"|""|""|""|""|"61354.0000"|""|"105814.0000"|""|""|"14321.0000"|""|""|""|""|""|""|"8509.0000"|"21420.0000"|"5867.0000"|""|""|"14155.0000"|"9763.0000"|""|"7586.0000"|""|""|""|"4093.0000"|"18286.0000"|"12206.0000"|"11316.0000"|"4434.0000"|""|"319791.0000"|""|""|""|""|""|""|""|""|"20667.0000"|""|""|""|""
"01-0388492"|"TURNER PUBLIC LIBRARY ANDROSCOGGIN SAVINGS BANK, MANAGER"|"1007734"|""|""|""|""|"9897.0000"|"0.0000"|"7019.0000"|""|""|""|""|""|"455.0000"|""|""|"2089.0000"|""|""|"2811.0000"|"784.0000"|""|"6756.0000"|""|""|""|"21.0000"|""|"9849.0000"|"1017.0000"|"2564.0000"|"1065.0000"|"857.0000"|"191.0000"|""|"45782.0000"|"39277.0000"|"6505.0000"|"0.0000"|""|""|""|""|""|"407.0000"|""|""|""|""
"01-0439009"|"AUBURN RESIDENTIAL DEVELOPMENT CORP"|"1007735"|""|""|""|""|""|""|""|""|""|""|"6624.0000"|""|"100.0000"|""|""|""|""|""|""|""|""|""|""|""|""|"6558.0000"|""|"27695.0000"|"7020.0000"|"25028.0000"|"20883.0000"|"16493.0000"|"3284.0000"|""|"114039.0000"|"114039.0000"|"0.0000"|"0.0000"|""|""|""|""|""|""|""|""|""|""
"01-0633672"|"EARLY CHILDHOOD COUNCIL OF LARIMER COUNTY, INC"|"1007736"|""|""|""|""|""|""|"341989.0000"|""|"16109.0000"|"30498.0000"|""|""|"12650.0000"|""|""|""|"15037.0000"|"1262.0000"|"10866.0000"|"348.0000"|""|"34647.0000"|"3297.0000"|""|"11539.0000"|""|""|"4022.0000"|"2054.0000"|"74517.0000"|"43715.0000"|"22102.0000"|"20124.0000"|""|"654962.0000"|"608589.0000"|"36930.0000"|"9443.0000"|""|""|""|""|""|"10186.0000"|""|""|""|""
"01-0697206"|"LHASA HAPPY HOMES RESCUE INC"|"1004651"|""|""|""|""|""|""|""|""|""|""|""|""|"2595.0000"|""|""|""|""|""|""|""|""|"20171.0000"|""|""|""|"291.0000"|""|""|"3553.0000"|"34068.0000"|"5725.0000"|"3987.0000"|"3942.0000"|""|"97115.0000"|"91066.0000"|"5721.0000"|"328.0000"|""|""|""|""|""|""|""|""|""|""
"01-0920313"|"IMPACT PERSONAL SAFETY, INC."|"1010938"|""|""|""|""|"66157.0000"|"0.0000"|""|""|""|"15620.0000"|""|""|"1200.0000"|""|""|""|"34566.0000"|"2097.0000"|"5198.0000"|""|""|"9457.0000"|"5677.0000"|""|""|""|""|"9851.0000"|"1469.0000"|"2594.0000"|"2007.0000"|"1262.0000"|"619.0000"|""|"158738.0000"|"129825.0000"|"26661.0000"|"2252.0000"|""|""|""|""|""|"964.0000"|""|""|""|""
"01-0211513"|"THE JACKSON LABORATORY"|"1004639"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"3216170.0000"|"0.0000"|"42254382.0000"|"3570929.0000"|"7510320.0000"|"3219119.0000"|"0.0000"|"467973.0000"|"310600.0000"|"17187.0000"|"0.0000"|"116667.0000"|"3094379.0000"|"300323.0000"|"1250391.0000"|"1947957.0000"|"20887.0000"|"7503122.0000"|"2159768.0000"|"0.0000"|"528525.0000"|"2018729.0000"|"0.0000"|"10652121.0000"|"722710.0000"|"743459.0000"|"425035.0000"|"15404548.0000"|"133422.0000"|""|"110652465.0000"|"93499414.0000"|"16076514.0000"|"1076537.0000"|""|"0.0000"|""|""|""|"3063742.0000"|""|""|""|""
"01-0211812"|"Bath Area Family YMCA"|"1004640"|""|""|""|""|"67649.0000"|""|"1169532.0000"|"50532.0000"|"79468.0000"|"90715.0000"|""|"3456.0000"|"14358.0000"|""|""|""|"45389.0000"|"15457.0000"|"11049.0000"|""|""|"240985.0000"|"24823.0000"|""|""|"40928.0000"|""|"132757.0000"|"33140.0000"|"174257.0000"|"130476.0000"|"45498.0000"|"38640.0000"|""|"2446278.0000"|"2033410.0000"|"385225.0000"|"27643.0000"|""|""|""|""|""|"37169.0000"|""|""|""|""
"01-0284906"|"YORK COMMUNITY SERVICE ASSOCIATION"|"1004641"|"6000.0000"|"74216.0000"|""|""|""|""|"125689.0000"|""|""|"9317.0000"|""|""|"3356.0000"|""|""|"4200.0000"|"1200.0000"|"779.0000"|"6493.0000"|""|""|"16333.0000"|"1467.0000"|""|""|""|""|"7238.0000"|"6432.0000"|"34184.0000"|"13241.0000"|"3923.0000"|"1723.0000"|""|"316691.0000"|"302722.0000"|"10046.0000"|"3923.0000"|""|""|""|""|""|""|""|""|""|""
"01-0345195"|"SACOPEE RESCUE UNIT INC"|"1004642"|""|""|""|""|""|""|"95532.0000"|""|""|"7308.0000"|""|""|"1075.0000"|""|""|""|""|""|"1673.0000"|""|""|""|""|""|""|"4148.0000"|""|"71689.0000"|"22714.0000"|"4447.0000"|"2475.0000"|"10891.0000"|"12000.0000"|""|"304737.0000"|"303662.0000"|"1075.0000"|"0.0000"|""|""|""|""|""|"70785.0000"|""|""|""|""
"01-0357895"|"FIFTH MAINE REGIMENT MUSEUM"|"1004643"|""|""|""|""|"0.0000"|"0.0000"|""|""|""|""|""|""|""|""|""|""|""|"3727.0000"|"1342.0000"|""|""|"2953.0000"|""|""|""|""|""|""|"4708.0000"|"21424.0000"|"9790.0000"|"2755.0000"|"2397.0000"|""|"57382.0000"|"35906.0000"|"14994.0000"|"6482.0000"|""|""|""|""|""|"8286.0000"|""|""|""|""
"01-0377183"|"SUMMER STREET ASSOCIATES CO UPLIFT INC"|"1004644"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"2640.0000"|""|"11156.0000"|""|"120.0000"|""|""|""|""|"13916.0000"|"13916.0000"|"0.0000"|"0.0000"|""|""|""|""|""|""|""|""|""|""
"01-0455007"|"MARINE ENVIRONMENTAL RESEARCH INSTITUTE, INC."|"1004645"|""|""|""|""|""|""|"251065.0000"|""|"43844.0000"|"23930.0000"|""|"10846.0000"|"7250.0000"|""|""|""|"62817.0000"|"1535.0000"|"77994.0000"|"3687.0000"|""|"58066.0000"|"2164.0000"|""|"6864.0000"|""|""|"34164.0000"|"17446.0000"|"30000.0000"|"15030.0000"|"13620.0000"|"9982.0000"|""|"685687.0000"|"545547.0000"|"64055.0000"|"76085.0000"|""|""|""|""|""|"15383.0000"|""|""|""|""
"01-0505456"|"Sail Maine"|"1004647"|""|""|""|""|""|""|"241491.0000"|""|"10032.0000"|"31187.0000"|""|""|"240.0000"|""|"281.0000"|""|"4755.0000"|"8008.0000"|"43982.0000"|"5574.0000"|""|"49726.0000"|"2579.0000"|""|""|""|""|"24455.0000"|"5099.0000"|"3812.0000"|"148.0000"|""|""|""|"431369.0000"|"326645.0000"|"94189.0000"|"10535.0000"|""|""|""|""|""|""|""|""|""|""
"01-0596561"|"LIBERTY LODGE INC"|"1004648"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"42362.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"3430.0000"|"0.0000"|"76.0000"|"4990.0000"|"0.0000"|""|"0.0000"|"300.0000"|"0.0000"|"675.0000"|"0.0000"|"0.0000"|"63568.0000"|"5.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"9757.0000"|"16849.0000"|"26973.0000"|"161.0000"|""|""|""|"169146.0000"|"160571.0000"|"8575.0000"|"0.0000"|""|""|""|""|""|""|""|""|""|""
"01-0608595"|"AMERICAN CARIBBEAN EXPERIENCE INC"|"1004649"|""|""|""|""|""|""|"40000.0000"|""|""|"3025.0000"|""|""|"13020.0000"|""|""|""|""|"9686.0000"|"6657.0000"|"5966.0000"|""|"15032.0000"|"39800.0000"|""|""|""|""|"18543.0000"|""|"281900.0000"|"191676.0000"|"55863.0000"|"51580.0000"|""|"732748.0000"|"709742.0000"|"13320.0000"|"9686.0000"|""|""|""|""|""|""|""|""|""|""
"01-0621493"|"ALS THERAPY ALLIANCE INC."|"1004650"|"1620557.0000"|""|""|""|"0.0000"|"0.0000"|""|""|""|""|"50250.0000"|""|"4388.0000"|""|"50250.0000"|""|""|"62353.0000"|"3046.0000"|""|""|""|"29835.0000"|""|"47205.0000"|""|""|""|"1823.0000"|"99026.0000"|"39720.0000"|"28378.0000"|"25000.0000"|""|"2078955.0000"|"1695319.0000"|"44691.0000"|"338945.0000"|""|""|""|""|""|"17124.0000"|""|""|""|""
"01-0709661"|"UNIVERSAL SCHOOL"|"1014962"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"480383.0000"|"0.0000"|"12626.0000"|"26014.0000"|"0.0000"|"1004.0000"|"1628.0000"|"0.0000"|"0.0000"|"0.0000"|"395.0000"|"0.0000"|"0.0000"|"4625.0000"|"0.0000"|"50565.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"0.0000"|"3841.0000"|"5946.0000"|"6928.0000"|"2140.0000"|"1861.0000"|"3222.0000"|""|"620586.0000"|"588457.0000"|"32129.0000"|"0.0000"|""|""|""|""|""|"19408.0000"|""|""|""|""
