"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"PROVIDE_DESCRIPTION"|"NEEDS_ASSESSMENT"|"PATIENT_EDUCATION"|"COMMUNITY_INFORMATION"|"COMMUNITY_ACIVITIES"|"OTHER_INFORMATION"|"AFFILIATED_SYSTEM"|"IDENTIFY_STATES"|"SUPPLEMENTAL_INFORMATION"|"FRG_DESCR"
"01-0736063"|"Mc Closkey Family Foundation Inc"|"1031678"|""|""|""|""|""|""|""|""|""|""
"01-0773957"|"GIFTS OF LOVE INTERNATIONAL"|"1031679"|""|""|""|""|""|""|""|""|""|""
"01-0813367"|"HOUSING WITH HEART INC"|"1031681"|""|""|""|""|""|""|""|""|""|""
"01-3253364"|"SPONTANEOUS CELEBRATIONS INC"|"1031682"|""|""|""|""|""|""|""|""|""|""
"01-0368153"|"THE PROGRESS CENTER INC"|"1032977"|""|""|""|""|""|""|""|""|""|""
"01-0466967"|"OXFORD COUNTY MENTAL HEALTH SERVICES"|"1032978"|""|""|""|""|""|""|""|""|""|""
"01-0472964"|"BIDDEFORD-SACO AREA ECONOMIC DEVELOPMENT CORPORATION"|"1032979"|""|""|""|""|""|""|""|""|""|""
"01-0762655"|"O A.C.B.H A. Foundation"|"1032981"|""|""|""|""|""|""|""|""|""|""
"02-0222167"|"NEW HAMPSHIRE ODD FELLOWS HOME"|"1032983"|""|""|""|""|""|""|""|""|""|""
"01-0368571"|"The Arts and Recreation Center"|"1033831"|""|""|""|""|""|""|""|""|""|""
"01-0368574"|"WENDELL GILLEY MUSEUM OF BIRD CARVING"|"1033832"|""|""|""|""|""|""|""|""|""|""
"01-0512570"|"FAIRFIELD POLICE ATHLETIC LEAGUE"|"1033835"|""|""|""|""|""|""|""|""|""|""
"01-0533472"|"Tanglewood Camp and Learning Center"|"1033836"|""|""|""|""|""|""|""|""|""|""
"01-0565671"|"The San Diego River Park Foundation"|"1033837"|""|""|""|""|""|""|""|""|""|""
"01-0611469"|"FRIENDS OF FIREFIGHTERS INC"|"1033838"|""|""|""|""|""|""|""|""|""|""
"01-0704374"|"BENDERS LANDING POA CO CHAPARRAL MANAGEMENT"|"1033839"|""|""|""|""|""|""|""|""|""|""
"01-0802772"|"ST LUKE HOUSING MINISTRY INC"|"1033840"|""|""|""|""|""|""|""|""|""|""
"01-0833168"|"UNIVERSITIES ALLIED FOR ESSENTIAL MEDICINES CORP"|"1033842"|""|""|""|""|""|""|""|""|""|""
"01-6015740"|"BOOTHBAY REGION HUMANE SOCIETY"|"1033843"|""|""|""|""|""|""|""|""|""|""
"01-0224769"|"TRUSTEES OF THORNTON ACADEMY"|"1035103"|""|""|""|""|""|""|""|""|""|""
"01-0332769"|"FREEPORT COMMUNITY SERVICES"|"1035104"|""|""|""|""|""|""|""|""|""|""
"01-0353371"|"SALT, INC."|"1035105"|""|""|""|""|""|""|""|""|""|""
"01-0360072"|"Small Woodland Owners Association of Maine"|"1035106"|""|""|""|""|""|""|""|""|""|""
"01-0369553"|"YESTERDAY'S CHILDREN INC"|"1035107"|""|""|""|""|""|""|""|""|""|""
"01-0529871"|"Maine Technology Institute"|"1035108"|""|""|""|""|""|""|""|""|""|""
"01-0699969"|"COMPASS CHARTER MIDDLE SCHOOL INC"|"1035109"|""|""|""|""|""|""|""|""|""|""
"01-0916973"|"HUMILITY OF MARY SHELTER INC"|"1035110"|""|""|""|""|""|""|""|""|""|""
"02-0116973"|"GREATER NASHUA CHAMBER OF COMMERCE"|"1035111"|""|""|""|""|""|""|""|""|""|""
"01-0353275"|"Martin's Point Health Care Inc"|"1037637"|""|""|""|""|""|""|""|""|""|""
"01-0724773"|"AMERICAN FEDERATION OF STATE COUNTY MUNICIPAL EMPLOYEES LOCAL 199"|"1037638"|""|""|""|""|""|""|""|""|""|""
"01-0885377"|"America Gives Back Inc"|"1037640"|""|""|""|""|""|""|""|""|""|""
"01-0267877"|"KENNEBUNK BEACH IMPROVEMENT ASSOCIATION"|"1038763"|""|""|""|""|""|""|""|""|""|""
"01-0488477"|"RIVERVIEW FOUNDATION"|"1038764"|""|""|""|""|""|""|""|""|""|""
"01-0564677"|"TEXAS OILMAN'S CHARITY INVITATIONAL FISHING TOURNAMENT INC"|"1038765"|""|""|""|""|""|""|""|""|""|""
"01-0572077"|"ENABLE AMERICA INC"|"1038766"|""|""|""|""|""|""|""|""|""|""
"01-0801476"|"AFRICAN GENESIS CORRECTIVE HISTORY"|"1038767"|""|""|""|""|""|""|""|""|""|""
"01-0217277"|"MAINE FARM BUREAU ASSOCIATION"|"1039105"|""|""|""|""|""|""|""|""|""|""
"01-0249577"|"BREAKWATER SCHOOL"|"1039106"|""|""|""|""|""|""|""|""|""|""
"01-0368070"|"THE WILLIAM A FARNSWORTH LIBRARY AND ART MUSEUM INC"|"1039373"|""|""|""|""|""|""|""|""|""|""
"01-0485474"|"TELESIS HOUSING CORPORATION"|"1039374"|""|""|""|""|""|""|""|""|""|""
"01-0493869"|"SMART CHILD & FAMILY SERVICES"|"1039676"|""|""|""|""|""|""|""|""|""|""
"01-0079380"|"cPort Credit Union"|"1039918"|""|""|""|""|""|""|""|""|""|""
"01-0551879"|"Kids Cancer Foundation Inc"|"1039920"|""|""|""|""|""|""|""|""|""|""
"01-0581980"|"GEDE FOUNDATION"|"1039921"|""|""|""|""|""|""|""|""|""|""
"01-0775179"|"ECOM FOUNDATION FOR DEVELOPMENT OF ORIGIN RESOURCES"|"1039922"|""|""|""|""|""|""|""|""|""|""
"02-0172481"|"NEW HAMPSHIRE MOTOR TRANSPORT ASSOC"|"1039923"|""|""|""|""|""|""|""|""|""|""
"01-0248780"|"Maine Audubon Society"|"1040372"|""|""|""|""|""|""|""|""|""|""
"01-0282768"|"CHI DELTA PHI HOUSE CORP."|"1040373"|""|""|""|""|""|""|""|""|""|""
"01-0545281"|"Greenwood"|"1040375"|""|""|""|""|""|""|""|""|""|""
"01-0725179"|"THE FLORENCE MELTON ADULT MINI-SCHOOL CORPORATION"|"1040377"|""|""|""|""|""|""|""|""|""|""
"01-0211783"|"Calais Regional Hospital"|"1040770"|"Part I, Line 7, Column (f) The bad Debt expense included on Form 990, Part IX, Line 25, column (A), but subtracted for purposes of calculating the percentage in this column is $1061262 Part III, Line 4 Patient accounts receivable are stated at the amount management expencts to collect from outstanding balances Management Provides for probable uncollectible amounts through a charge to earnings and a credit to a valuation allowance based on its assessment of the current status of individual accounts Balances that are still outstanding after management has used reasonable collection efforts are written off through a charge to the valuation allowace and a credit to patient accounts receivable Part III, Line 8 The Organization used the Hospital's as-filed cost reports to obtain Medicare and Medicaid costs and expected reimbursement Part III, Line 9b Self-pay accounts receive a minimum of 3 statements and a final notice Patients must complete an application for Free Care and provide necessary qualifying support in order to receive Free Care Applications are kept on file and tracked in log The lo of patients who are eligible for Free Care is maintained electronically and is available at registration points to simplify the application of Free Care for current services Part V, Section B, Line 13g Notices of the Free Care Program are posted at the front desk in the main lobby, in the registration areas, patient billing department, cashier's office, credit manager's office"|"Part VI, Line 2 Healthcare Community Needs urveys are completed every three years The Hospital conducts interviews with various community groups, trustees and staff and conducts and annual community survey In addition, the Hospital Participates in joint efforts with other healthcare Providers to analyze and act upon regioanl health status indicators and data"|"Part VI, Line 3 Notices of the Free Care program are psoted at the front desk in the main lobby, in the registration areas, patient billing department, cashier's office, credit manager's office, Surgical Services department, Orthopedic Department, and Rural Health Care Clinic Applications are available at all of these points Assistance in Completing the applications is provided by the credit manager and staff"|"Part VI, Line 4 We serve A rural population of approximately 14,000 (40 miles North, South and West)"|""|"Part VI, Line 5 The Hospital Participates in programs for community support, including health walks and local fairs and conferences The Hospital supports economic development through participation in Chamber of Commerce, Rotary Club, economic development organizations, and the Aroostook/Washington County Workforce Board The Hospital enhances coalition building by participating in community outreach activities and working with local and regional agencies and organizations to improve access to services The Hospital works to improve the health status in our communities by participating in blood drives, cancer, cardiac and diabetic support groups, providing blood pressure screenings, flu clinics, heath fairs, wellness programming, and senior activities The Hospital encourages workforce development through job shadowing, preceptorships, and mentoring programs and participating in career fairs and in area youth coaching programs The Hospital has an open medical staff The Board of Directors are community members from throughout the service area"|""|""|""|""
"01-0531683"|"RESOURCES FIRST FOUNDATION"|"1040771"|""|""|""|""|""|""|""|""|""|""
"01-0884383"|"MILAGRE KIDS SCHOOLS INC"|"1040772"|""|""|""|""|""|""|""|""|""|""
"01-0511583"|"Northern New Center for Financial Training"|"1041209"|""|""|""|""|""|""|""|""|""|""
"01-0223879"|"SKOWHEGAN STATE FAIR"|"1041607"|""|""|""|""|""|""|""|""|""|""
"01-0369983"|"BANGOR POLICE RELIEF ASSOCIATION"|"1041608"|""|""|""|""|""|""|""|""|""|""
"01-0494481"|"RICHMOND ELDERCARE COALITION"|"1041609"|""|""|""|""|""|""|""|""|""|""
"01-0544421"|"Oxford Hills Christian Academy"|"1041610"|""|""|""|""|""|""|""|""|""|""
"01-0856707"|"MONGIL CORPORATION"|"1041611"|""|""|""|""|""|""|""|""|""|""
"01-0211784"|"CAMP FIRE HITINOWA COUNCIL INC"|"1043298"|""|""|""|""|""|""|""|""|""|""
"01-0710884"|"CHRISTIAN OUTDOOR ALLIANCE INC"|"1043299"|""|""|""|""|""|""|""|""|""|""
"01-0857784"|"THE KEROSENE LAMP FOUNDATION"|"1043300"|""|""|""|""|""|""|""|""|""|""
"01-6010284"|"Scarborough Public Library"|"1043589"|""|""|""|""|""|""|""|""|""|""
"02-0235942"|"Meredith Chamber of Commerce"|"1043820"|""|""|""|""|""|""|""|""|""|""
"01-0216888"|"WOLVES SOCIAL CLUB"|"1043933"|""|""|""|""|""|""|""|""|""|""
"01-0372086"|"ST FRANCIS COMMUNITY"|"1043934"|""|""|""|""|""|""|""|""|""|""
"01-0824387"|"STOP THE SILENCE STOP CHILD SEXUAL ABUSE INC"|"1043935"|""|""|""|""|""|""|""|""|""|""
"01-0849087"|"Open Space Alliance for North Brooklyn Inc"|"1043936"|""|""|""|""|""|""|""|""|""|""
"01-6000787"|"Brunswick Public Library Association d/b/a Curtis Memonal Library"|"1044414"|""|""|""|""|""|""|""|""|""|""
"01-0717788"|"PROVIDING AUTISM LINKS & SUPPORT INC"|"1044909"|""|""|""|""|""|""|""|""|""|""
"01-6014288"|"KENNEBUNKPORT HISTORICAL SOCIETY"|"1044910"|""|""|""|""|""|""|""|""|""|""
"01-0495589"|"PORTLAND CONSERVATORY OF MUSIC"|"1045429"|""|""|""|""|""|""|""|""|""|""
"02-0170390"|"CLUB NATIONAL, INC."|"1045430"|""|""|""|""|""|""|""|""|""|""
"01-0408591"|"INDUSTRIAL ENERGY CONSUMER GROUP"|"1045904"|""|""|""|""|""|""|""|""|""|""
"01-0686191"|"4TH STREET BASEMENT BOUTIQUE"|"1045905"|""|""|""|""|""|""|""|""|""|""
"01-0784491"|"FOR THE KID IN ALL OF US INC"|"1046205"|""|""|""|""|""|""|""|""|""|""
"01-0173095"|"Trefethen-Evergreen Improvement Association"|"1046491"|""|""|""|""|""|""|""|""|""|""
"01-0538121"|"HARDY GIRLS, HEALTHY WOMEN, INC."|"1046492"|""|""|""|""|""|""|""|""|""|""
"01-0635954"|"Fayetteville Main Street Tourism Association, Inc"|"1046494"|""|""|""|""|""|""|""|""|""|""
"01-0215686"|"RICE PUBLIC LIBRARY"|"1047025"|""|""|""|""|""|""|""|""|""|""
"01-0398692"|"SHEEPSCOT VALLEY CHILDREN'S HOUSE"|"1047026"|""|""|""|""|""|""|""|""|""|""
"01-0449192"|"BUCKSPORT AREA CHILD CARE CENTER"|"1047027"|""|""|""|""|""|""|""|""|""|""
"01-0518193"|"ENVIRONMENT NORTHEAST"|"1048233"|""|""|""|""|""|""|""|""|""|""
"01-0740393"|"THE RENAISSANCE SCHOOL"|"1048234"|""|""|""|""|""|""|""|""|""|""
"01-0482994"|"MAINE ADULT EDUCATION ASSOCIATION"|"1048500"|""|""|""|""|""|""|""|""|""|""
"01-0130335"|"NORTHEAST HARBOR TENNIS CLUB"|"1048744"|""|""|""|""|""|""|""|""|""|""
"01-0220430"|"THE LINCOLN HOME"|"1048745"|""|""|""|""|""|""|""|""|""|""
"01-0490195"|"COMMUNITY HOUSING OF MAINE INC"|"1050591"|""|""|""|""|""|""|""|""|""|""
"01-0870395"|"MUSIC HAVEN INC"|"1050592"|""|""|""|""|""|""|""|""|""|""
"01-0355896"|"JOHN F MURPHY HOMES INC"|"1051351"|""|""|""|""|""|""|""|""|""|""
"01-0586306"|"Barceda Families"|"1052191"|""|""|""|""|""|""|""|""|""|""
"01-0414441"|"Maine Migrant Health Program, Inc."|"1052534"|""|""|""|""|""|""|""|""|""|""
"01-0733041"|"SARASOTA CREW, INC"|"1052536"|""|""|""|""|""|""|""|""|""|""
"01-0261795"|"FIVE COUNTY CREDIT UNION"|"1052686"|""|""|""|""|""|""|""|""|""|""
"01-0355797"|"BLUE KNIGHTS MOTORCYCLE CLUB"|"1052687"|""|""|""|""|""|""|""|""|""|""
"01-0343697"|"GROUP HOME FOUNDATION INC"|"1053131"|""|""|""|""|""|""|""|""|""|""
"01-0490882"|"FRATERNAL ORDER OF EAGLES #4330"|"1053132"|""|""|""|""|""|""|""|""|""|""
"01-0544094"|"BRIXHAM MONTESSORI FRIENDS SCHOOL"|"1053133"|""|""|""|""|""|""|""|""|""|""
"01-0594994"|"COOPERATIVE HEALTHCARE SERVICES INC"|"1053134"|""|""|""|""|""|""|""|""|""|""
"01-0688897"|"OHIO NETWORK OF CHILDREN'S ADVOCACY CENTERS"|"1053135"|""|""|""|""|""|""|""|""|""|""
"01-0795152"|"Christian Friends of New Americans"|"1053136"|""|""|""|""|""|""|""|""|""|""
"01-0697940"|"WOMEN IN PROGRESS INC"|"1053402"|""|""|""|""|""|""|""|""|""|""
"01-0735741"|"FAUNA SANCTUARY INC"|"1053403"|""|""|""|""|""|""|""|""|""|""
"01-0263198"|"Down East Community Hospital"|"1053733"|"Part I, Line 6a The senior leadership team, with approval by the board of trustees, manages the community benefit activities of the Hospital A n expense budget is identified annually for community benefit activities Community benefit activities are reported each year in the Hospital's annual report Part I, Line 7, Column (f) The Bad Debt expense included on Form 990, Part IX, Line 25, Column (A ), but subtracted for purposes of calculating the percentage in this column is $ 1939992 Part III, Line 4 Bad debt expense represents actual and estimated write-offs as identified by the Hospital Actual write- offs represent accounts that have exceeded 90 days in Accounts Receivable with no payment plans established Estimated write-offs represent bad debts that are expected based on payment percentage assumptions as determined by the age and payor type of the receivable Part V, Section B, Line 19d The Organization offers only free care, so no amount was billed to eligible individuals"|"Part VI, Line 2 DECH participates with Eastern Maine Health System's community health needs assessment process Community meetings are held in the hospital's service area and information is collected and reported in a formalized report that the hospital then uses to evaluate and respond to the health needs of its service area"|"Part VI, Line 3 Each private pay patient that receives a bill from the Hospital will receive a copy of the Hospital's free care guidelines and application with their bill The free care guidelines are posted throughout the hospital in patient waiting areas and the application is also available on the Hospital's website At every opportunity, billing personnel will communicate to patients the free care policy and encourage patients to apply The Hospital also contracts with a collection organization who will reviewcertain private pay patients' eligibility for MaineCare (Medicaid) insurance coverage The Organization will contact the patients and help take them through the MaineCare application process, if applicable"|"Part VI, Line 4 Down East Community Hospital provides services to rural communities of Washington County, with 81% of its admissions coming from its service area covering 24 towns from Harrington to Lubec (14% come from the HSA for Calais Regional Hospital and 1% come from the HSA for Maine Coast Memorial Hospital) The population of 32,175 for the Hospital Service Area (HSA ) has an average household income of$26,081, compared to $46,933 forthe State of Maine Of the HSA population, approximately 18% fall belowthe poverty line and the average age is 40 2 years"|""|"Part VI, Line 5 The Hospital furthers its exempt purpose by promoting the health of the community The board consists of volunteer community members that are elected by the Corporators of the Hospital The Hospital has an open medical staff where all applicants have the opportunity to obtain membership as long as the guidelines as determined by the medical staff bylaws are met"|""|""|"A procedure did exist during 2011, but was not documented in policy format During 2012, a formal policy was developed and implemented"|""
"01-0693398"|"THE CENTER HELPING OBESITY IN CHILDREN END SUCCESSFULLY INC"|"1053734"|""|""|""|""|""|""|""|""|""|""
"01-0681241"|"CERTIFIED FUNCTIONAL SAFETY EXPERT GOVERNANCE BOARD INC"|"1054081"|""|""|""|""|""|""|""|""|""|""
"01-0690242"|"PORTER'S CALL"|"1054082"|""|""|""|""|""|""|""|""|""|""
"01-0790641"|"J AUSTIN WHITE CULTURAL CENTER INC"|"1054083"|""|""|""|""|""|""|""|""|""|""
"01-0486399"|"NEW HOPE HOSPICE INC"|"1054540"|""|""|""|""|""|""|""|""|""|""
"01-0628124"|"LATINA BREAST CANCER AGENCY"|"1056825"|""|""|""|""|""|""|""|""|""|""
"01-0207716"|"VICTORIA MANSION"|"1056884"|""|""|""|""|""|""|""|""|""|""
"01-0362343"|"THE CHILD HEALTH CENTER"|"1057165"|""|""|""|""|""|""|""|""|""|""
"01-0212181"|"OLD ORCHARD BEACH CHAMBER OF COMMERCE"|"1058672"|""|""|""|""|""|""|""|""|""|""
"01-6018086"|"Norway Pine Grove Cemetery Corporation"|"1061281"|""|""|""|""|""|""|""|""|""|""
"01-0622078"|"MUSLIM WOMEN'S COALITION A NJ NONPTOFIT CORPORATION"|"1061410"|""|""|""|""|""|""|""|""|""|""
"01-0063057"|"FRATERNAL ORDER OF EAGLES #804"|"1061574"|""|""|""|""|""|""|""|""|""|""
"01-0216933"|"MAINE MEDICAL ASSOCIATION"|"1064518"|""|""|""|""|""|""|""|""|""|""
"01-0263908"|"SKOWHEGAN SCHOOL OF PAINTING AND SCULPTURE, INC"|"1064519"|""|""|""|""|""|""|""|""|""|""
"01-0473460"|"DOWNTOWN IMPROVEMENT DISTRICT, INC"|"1064520"|""|""|""|""|""|""|""|""|""|""
"01-0578709"|"WOMEN'S ENEWS"|"1064521"|""|""|""|""|""|""|""|""|""|""
"01-0610304"|"COMMUNITY HEALTH NETWORK INC"|"1064522"|""|""|""|""|""|""|""|""|""|""
"01-0679411"|"AMERICAN FRIENDS OF RETORNO"|"1064523"|""|""|""|""|""|""|""|""|""|""
"01-0708733"|"DEMOCRACY NOW! PRODUCTIONS, INC."|"1064524"|""|""|""|""|""|""|""|""|""|""
"01-0963657"|"NATIONAL MEDICAL FELLOWSHIPS, INC."|"1064526"|""|""|""|""|""|""|""|""|""|""
"01-6169936"|"THE WELCH FUND FOR HARVARD"|"1064527"|""|""|""|""|""|""|""|""|""|""
"01-0114035"|"MAINE EDUCATION ASSOCIATION"|"1065620"|""|""|""|""|""|""|""|""|""|""
"01-0191203"|"MAINE AUTOMOBILE DEALERS ASSOCIATION, INC"|"1065622"|""|""|""|""|""|""|""|""|""|""
"01-0196359"|"THE IRIS NETWORK"|"1065623"|""|""|""|""|""|""|""|""|""|""
"01-0211503"|"Franklin Memorial Hospital"|"1065624"|"Part I, Line 7 The Organization used an overall cost to charge ratio for lines 7a and 7b A cost to charge ratio using the internal financial accounting of the practices by group was used to calculate the amount reported on line 7g Part I, Line 7g The Organization has included costs associated with primary care (Family practice, Pediatrics, Internal Medicine and Women's Care), Behavioral Services, Child & Adolescent Developmental Pediatrics and physical therapy services provided in Rangeley, ME as subsidized health services Part II See 990, Schedule H, Part line 5 Part III, Line 4 Patient accounts receivable are stated at the amount management expects to collect form outstanding balances Management provides for probable uncollectible amounts through a charge to operations and a credit to a valuation allowance based on its assessment of individual accounts and historical adjustments Balances that are still outstanding after management has used reasonable collection efforts are written off through a chare to the valuation allowance and a credit to patient accounts receivable Franklin Memorial Hospital used the RCC calculated form Worksheet 2 and multiplied it by the bad debts expense per the financials Bad debts include 100% of the charges written off due to no payment If a payment is made on a bad debt account, then that payment reduces the bad debt expense in the year received FMH has estimated that approximately 20% of the bad debt accounts in attributable."|"Part VI, Line 2 The Franklin Memorial Hospital Network conducts a health visioning process every two years that is used to identify needs and perceived priorities in the community A physician survey is conducted periodically to assist in gathering information about clinical care needs, referral patterns, specialist needs, etc The Long-Range Planning Committee, board of directors, and senior leadership use this and other data in developing goals and priorities, making decisions, and setting long-term goals and strategies The Organization seeks to meet the needs of the population whenever feasible through direct provision of services, contractual relationships, or through referral"|"Part VI, Line 3 When patients are registered there are brochures available that describe Franklin Memorial Hospital's charity care programs When a patient is admitted with no insurance, registration sends a financial counselor up to the patient's room to meet the patient Each bill provided to a patient has the phone number to call if the patient needs financial assistance The Organization's billers also refer patients to the Organization's financial counselors when a patient is identified as needing assistance The Organization's pre-collection and collection agencies also educate patients and help to set them up with financial assistance when needed"|"Part VI, Line 4 Franklin Memorial Hospital's service area covers 2,200 square miles which extends to the Canadian border It is one of the most rural and economically challenged regions in Maine, including several areas that have been federally designated as health professional shortage and medically underserved areas"|""|"Part VI, Line 5 Community BuildingPhysical Improvements and Housing 1 Development and maintenance of the rail trail which is on FMH property - available to the public to encourage health and wellness Economic Development 1 Member of Greater Franklin Development Corporation - an organization committed to economic developmentCommunity Support 1 Perform disaster drills with the community 1-2 times a year2 Community Dental (provide low cost rental space)Coalition building 1 Healthy Community Coalition of Greater Franklin County, founded in 1989, is one of the oldest health coalitions in the country Its mission is to measurably improve the well-being of all people in Greater Franklin County and neighboring towns using a coordinated public health approach of education, promotion, and outreach With its qualified staff of public health professionals, Healthy Community Coalition offers health screenings, health information, and program and events to support healthy lifestyles that prevent disease and improve quality of life Its community outreach efforts appear in every town and corner of the region In the past year, more than 8,000 individuals benefited from the outreach activities of the Coalition with 3,572 seeking services of the Mobile Health Unit, where health risk appraisals (HRAs) are routinely offered HRAs include a blood pressure and cholesterol check and individualized health education"|"Part VI, Line 6 Franklin Communith Health Network Supporting OrganizationFranklin Memorial Hospital Community hospitalHealthy Community Coalition A subsidiary of FCHN - HCC's mission is to measurably improve the health and well-being of all people in Greater Franklin County using a coordinated approach of education, health promotion, and outreach HCC offers health screenings, health information, and programs and events to support healthy lifestyles that prevent disease and improve quality of life Evergreen Behavioral Services Operates 24/7 emergency mental health response services for the Greater Franklin County area as as well as bordering towns of Androscoggin & Oxford counties"|""|""|""
"01-0211536"|"North Yarmouth Academy"|"1065625"|""|""|""|""|""|""|""|""|""|""
"01-0211538"|"Camp O-AT-KA, Inc."|"1065626"|""|""|""|""|""|""|""|""|""|""
"01-0211543"|"BOYS & GIRLS CLUBS OF SOUTHERN MAINE"|"1065627"|""|""|""|""|""|""|""|""|""|""
"01-0266289"|"Maine Hospital Association Inc"|"1065631"|""|""|""|""|""|""|""|""|""|""
"01-0315000"|"Portland Electrical Joint Apprenticeship & Training Fund"|"1065632"|""|""|""|""|""|""|""|""|""|""
"01-0316964"|"RILEY SCHOOL INC"|"1065633"|""|""|""|""|""|""|""|""|""|""
"01-0319421"|"UNIVERSITY OF MAINE STUDENT GOVERNMENT"|"1065634"|""|""|""|""|""|""|""|""|""|""
"01-0319802"|"Spurwink Services Inc"|"1065635"|""|""|""|""|""|""|""|""|""|""
"01-0322531"|"Aroostook Area Agency on Aging, Inc."|"1065636"|""|""|""|""|""|""|""|""|""|""
"01-0329208"|"AMERICAN VETERANS WWII POST NUMBER 3"|"1065637"|""|""|""|""|""|""|""|""|""|""
"01-0343943"|"SEXUAL ASSAULT RESPONSE SERVICES OF SOUTHERN MAINE"|"1065638"|""|""|""|""|""|""|""|""|""|""
"01-0346613"|"NORTHEAST OCCUPATIONAL EXCHANGE"|"1065639"|""|""|""|""|""|""|""|""|""|""
"01-0349706"|"Onpoint Health Data"|"1065640"|""|""|""|""|""|""|""|""|""|""
"01-0351143"|"Belfast Free Library"|"1065641"|""|""|""|""|""|""|""|""|""|""
"01-0352258"|"CHILDREN'S MUSEUM AND THEATRE OF MAINE"|"1065642"|""|""|""|""|""|""|""|""|""|""
"01-0352636"|"FAMILY CRISIS SERVICES"|"1065643"|""|""|""|""|""|""|""|""|""|""
"01-0355090"|"LOVEJOY HEALTH CENTER, INC"|"1065644"|""|""|""|""|""|""|""|""|""|""
"01-0357357"|"TRI-COUNTY EMERGENCY MEDICAL SERVIC"|"1065645"|""|""|""|""|""|""|""|""|""|""
"01-0362343"|"THE CHILD HEALTH CENTER"|"1065646"|""|""|""|""|""|""|""|""|""|""
"01-0369793"|"Facilities Inc"|"1065647"|""|""|""|""|""|""|""|""|""|""
"01-0376664"|"MAINE ELKS ASSOCIATION"|"1065648"|""|""|""|""|""|""|""|""|""|""
"01-0380763"|"LAUDHOLM TRUST"|"1065649"|""|""|""|""|""|""|""|""|""|""
"01-0406704"|"DANFORTH HABILITATION ASSOCIA"|"1065650"|""|""|""|""|""|""|""|""|""|""
"01-0411761"|"AREA IV MENTAL HEALTH SERVICES COALITION"|"1065651"|""|""|""|""|""|""|""|""|""|""
"01-0431293"|"Horizons Unlimited Inc"|"1065652"|""|""|""|""|""|""|""|""|""|""
"01-0449761"|"FREEPORT HOUSING TRUST INC"|"1065653"|""|""|""|""|""|""|""|""|""|""
"01-0451523"|"HEALTHY KIDS A FAMILY RESOURCE NETWORK"|"1065654"|""|""|""|""|""|""|""|""|""|""
"01-0455018"|"ROTARY INTERNATIONAL DISTRICT 7780"|"1065655"|""|""|""|""|""|""|""|""|""|""
"01-0459572"|"THE ASSOCIATES OF THE OSHER MAP LIBRARY"|"1065656"|""|""|""|""|""|""|""|""|""|""
"01-0467869"|"MAINE AQUACULTURE INNOVATION CENTER"|"1065657"|""|""|""|""|""|""|""|""|""|""
"01-0475374"|"CHILDREN'S ODYSSEY"|"1065658"|""|""|""|""|""|""|""|""|""|""
"01-0499734"|"UNITED SOCCER FEDERATION OF MAINE"|"1065659"|""|""|""|""|""|""|""|""|""|""
"01-0504322"|"Independent Transportation Network"|"1065661"|""|""|""|""|""|""|""|""|""|""
"01-0516064"|"CO-OCCURRING COLLABORATIVE SERVING MAINE"|"1065663"|""|""|""|""|""|""|""|""|""|""
"01-0518516"|"LifeFlight of Maine"|"1065664"|""|""|""|""|""|""|""|""|""|""
"01-0544901"|"WATERVILLE MAIN STREET"|"1065666"|""|""|""|""|""|""|""|""|""|""
"01-0547006"|"ASHLAND CARE GIVERS ASSOCIATION"|"1065667"|""|""|""|""|""|""|""|""|""|""
"01-0555559"|"ECS MINISTRIES"|"1065668"|""|""|""|""|""|""|""|""|""|""
"01-0558393"|"DREAMLAND PRESCHOOL, INC."|"1065669"|""|""|""|""|""|""|""|""|""|""
"01-0565752"|"CANOPY: TREES FOR PALO ALTO"|"1065670"|""|""|""|""|""|""|""|""|""|""
"01-0568739"|"Korean American Foundation - Greater Washington"|"1065671"|""|""|""|""|""|""|""|""|""|""
"01-0595450"|"VISITATION HOUSE INC"|"1065672"|""|""|""|""|""|""|""|""|""|""
"01-0597016"|"Pelican Isle Yacht Club Inc"|"1065673"|""|""|""|""|""|""|""|""|""|""
"01-0602033"|"TN VOL MANUFACTURING & SERVICES INC"|"1065674"|""|""|""|""|""|""|""|""|""|""
"01-0602637"|"INTERNATIONAL PACKAGED CONCRETE MANUFACTURERS ASSOCIATION INC"|"1065675"|""|""|""|""|""|""|""|""|""|""
"01-0620969"|"Slavic Assistance Center, Inc."|"1065676"|""|""|""|""|""|""|""|""|""|""
"01-0621106"|"COALITION OF CHILDREN IN NEED ASSN"|"1065677"|""|""|""|""|""|""|""|""|""|""
"01-0653458"|"FOUNDATION FOR CHILDREN"|"1065679"|""|""|""|""|""|""|""|""|""|""
"01-0672424"|"NASHOBA LEARNING GROUP INC"|"1065680"|""|""|""|""|""|""|""|""|""|""
"01-0684986"|"AMERICAN SOCIETY OF TRANSPORTATION AND LOGISTICS, INC."|"1065681"|""|""|""|""|""|""|""|""|""|""
"01-0709457"|"CAMBRIDGE INTERNATIONAL ACADEMIES USA INC"|"1065682"|""|""|""|""|""|""|""|""|""|""
"01-0720150"|"Idaho Virtual Academy LEA No 452"|"1065683"|""|""|""|""|""|""|""|""|""|""
"01-0770318"|"CORRECTIONAL OFFICERS ASSOC. OF DEL"|"1065684"|""|""|""|""|""|""|""|""|""|""
